Gujarati,Odiya
સરનામું ફાઇલ,ଠିକଣା ଫାଇଲ୍ |
સરનામું ફોર્મેટ,ଠିକଣା ଫର୍ମାଟ୍
સરનામું જનરેટર,ଠିକଣା ଜେନେରେଟର
એડ્રેસ લાઇન,ଠିକଣା ରେଖା
સરનામું મેપિંગ,ଠିକଣା ମ୍ୟାପିଂ
સરનામું સૂચક,ଠିକଣା ସୂଚକ
સરનામું રજીસ્ટર,ଠିକଣା ରେଜିଷ୍ଟର
સરનામું ભંગાણ,ଠିକଣା ଭାଙ୍ଗିବା
સરનામા અનુવાદ,ଠିକଣା ଅନୁବାଦ
"1. એડ્રેસેબલ મેમરી, 2. એડ્રેસેબલ મેમરી","1. ଠିକଣା ଯୋଗ୍ୟ ସ୍ମୃତି, ୨। ଠିକଣା ସ୍ମୃତି"
સંબોધન,ଠିକଣା
"1. પર્યાપ્તતા માપદંડ, 2. પર્યાપ્તતા માપદંડ","1. ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ, 2 ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ |"
જોડાણ,ସଂଲଗ୍ନ
"1. મેનેજમેન્ટ, 2. નિયંત્રણ","1. ପରିଚାଳନା, 2 ନିୟନ୍ତ୍ରଣ"
"1. મેનેજર, 2. નિયંત્રક","1. ପରିଚାଳକ, 2 ନିୟନ୍ତ୍ରକ"
એડોબ એક્રોબેટ,ଆଡୋବ ଆକ୍ରୋବାଟ୍ |
એડોબ ફોટોશોપ,ଆଡୋବ ଫଟୋସପ୍ |
ABAP (એડવાન્સ્ડ બિઝનેસ પ્રોગ્રામિંગ),ABAP (ଉନ୍ନତ ବ୍ୟବସାୟ ପ୍ରୋଗ୍ରାମିଂ)
"1. અદ્યતન ડેટા, 2. અદ્યતન ડેટા","1. ଉନ୍ନତ ତଥ୍ୟ, ୨। ଉନ୍ନତ ତଥ୍ୟ"
અદ્યતન માહિતી સિસ્ટમ,ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |
એડવાન્સ ટેકનોલોજી (AT),ଉନ୍ନତ ଜ୍ଞାନକ Technology ଶଳ (AT)
ક્રિયા,କାର୍ଯ୍ୟ
એકત્રીકરણ,ଏକୀକରଣ
એરબોર્ન કમ્પ્યુટર સિસ્ટમ,ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |
aldus પૃષ્ઠ બનાવવું,aldus page-make
ચેતવણી બોક્સ,ଆଲର୍ଟ ବାକ୍ସ
અલ્ગોલ (કોમ્પ્યુટર ભાષા),algol (କମ୍ପ୍ୟୁଟର ଭାଷା)
"1. અલ્ગોરિધમ , 2. અલ્ગોરિધમ","1. ଆଲଗୋରିଦମ, ୨ ଆଲଗୋରିଦମ |"
"1. અલ્ગોરિધમ વિશ્લેષણ, 2. અલ્ગોરિધમ વિશ્લેષણ","1. ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ, ୨। ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |"
અલ્ગોરિધમ કાર્યક્ષમતા,ଆଲଗୋରିଦମ ଦକ୍ଷତା |
"1. ઈલિયાસ, 2. ઉપનામ, 3. ઉર્ફે","1. ଏଲିୟସ୍, ୨ ଡାକନାମ, 3 ଆକା"
ગોઠવણી,ଶ୍ରେଣୀବଦ୍ଧତା |
"1. ફાળવણી, 2. ફાળવણી","1. ବଣ୍ଟନ, ୨ ଆବଣ୍ଟନ"
"1. આલ્ફાબેટીક, 2. મૂળાક્ષરોનો ક્રમ","1. ବର୍ଣ୍ଣାନୁକ୍ରମିକ, ୨ ବର୍ଣ୍ଣାନୁକ୍ରମିକ କ୍ରମ |"
આલ્ફાન્યૂમેરિક,ବର୍ଣ୍ଣମାଳା
"1. આલ્ફાન્યૂમેરિક કીબોર્ડ ,2. આલ્ફાન્યૂમેરિક કીબોર્ડ","1. ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍, 2 ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍ |"
આલ્ફા-પરીક્ષણ (પ્રથમ સ્તર પરીક્ષણ),ଆଲଫା-ପରୀକ୍ଷା (ପ୍ରଥମ ସ୍ତର ପରୀକ୍ଷା)
"1. આલ્ફા સંસ્કરણ, 2. આલ્ફા ફોર્મ","1. ଆଲଫା ସଂସ୍କରଣ, ୨ ଆଲଫା ଫର୍ମ |"
alt કી,alt କି
અલ્ટાવિસ્ટા,altavista
બહુવિધતા,ବହୁଗୁଣ
અસ્પષ્ટ વ્યાકરણ,ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ
અમેરિકન નેશનલ સ્ટેન્ડીઝ ઇન્સ્ટિટ્યુટ (ANSI),ଆମେରିକୀୟ ନ୍ୟାସନାଲ ଷ୍ଟାଣ୍ଡିସ୍ ଇନଷ୍ଟିଚ୍ୟୁଟ୍ (ANSI)
અમેરિકન સ્ટાન્ડર્ડ કટ (ascii),ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କଟ୍ (ascii)
"1. અનુરૂપ, 2. એનાલોગ","1. ଅନୁରୂପ, 2 analog"
"1. એનાલોગ કોમ્પ્યુટર, 2. એનાલોગ કોમ્પ્યુટર","1. ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର, 2. ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |"
"1. એનાલોગ ઉપકરણ, 2. એનાલોગ ઉપકરણ","1. ଆନାଗଲ୍ ଡିଭାଇସ୍, 2 analog ଉପକରଣ"
"1. એનાલોગ મોડેમ, 2. એનાલોગ મોડેમ","1. ଆନାଗଲ୍ ମୋଡେମ୍, ୨ ଆନାଗଲ୍ ମୋଡେମ୍ |"
ડિજિટલ કન્વર્ટર માટે એનાલોગ,ଡିଜିଟାଲ୍ କନଭର୍ଟର ସହିତ ଅନୁରୂପ |
અંત (ડિજિટલ/પ્લેન લોજિક &#39;અને&#39; વપરાયેલ),ଶେଷ (ଡିଜିଟାଲ୍ / ବିମାନ ତର୍କ &#39;ଏବଂ&#39; ବ୍ୟବହୃତ)
અંતિમ સર્કિટ,ଶେଷ ସର୍କିଟ |
અંતિમ દરવાજો અને દરવાજો,ଶେଷ ଫାଟକ ଏବଂ ଫାଟକ |
એન્ડ નોટ ઓપરેશન (બાકાત),ଶେଷ ନୁହେଁ ଅପରେସନ୍ (ବହିଷ୍କାର)
"1. એનિમેશન, 2. કંપન","1. ଆନିମେସନ୍, 2. କମ୍ପନ |"
નૉૅધ,ଧ୍ୟାନ ଦିଅନ୍ତୁ
અસંગતતા,ଅସଙ୍ଗତି |
અગાઉના,ପୂର୍ବ
આગોતરી પેજીંગ,ଆଶାକର୍ମୀ ପେଜିଂ |
પ્રતિ-સપ્રમાણ,କାଉଣ୍ଟର-ସିମେଟ୍ରିକ୍ |
એન્ટિવાયરલ પ્રોગ્રામ,ଆଣ୍ଟିଭାଇରାଲ୍ ପ୍ରୋଗ୍ରାମ୍ |
"1. ઉપલેટ, 2. અરજી","1. ଆପଲେଟ୍, 2 ପ୍ରୟୋଗ"
એપ્લિકેશન ડેવલપર,ପ୍ରୟୋଗ ବିକାଶକାରୀ |
એપ્લિકેશન પ્રોગ્રામિંગ,ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ
"1. એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ, 2. એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ (API)","1. ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍, 2 ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍ (API)"
એપ્લિકેશન સોફ્ટવેર,ପ୍ରୟୋଗ ସଫ୍ଟୱେର୍
એપ્લિકેશન ભાષા,ପ୍ରୟୋଗ ଭାଷା
અંદાજ સિદ્ધાંત,ଆନୁମାନିକ ନୀତି
માળખું,ଗଠନ
ક્ષેત્ર ટ્રાન્સફર,କ୍ଷେତ୍ର ସ୍ଥାନାନ୍ତର
"1. પરિમાણ, સ્વતંત્ર ચલ, 2. કોણ","1. ପାରାମିଟର, ସ୍ independent ାଧୀନ ଭେରିଏବଲ୍, 2. କୋଣ"
"1. અંકગણિત અને તર્ક એકમ, 2. અંકગણિત અને તર્ક એકમ","1. ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ, ୨। ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ |"
અંકગણિત તપાસ,ଗାଣିତିକ ଯାଞ୍ଚ |
અંકગણિત સતત,ଗାଣିତିକ ସ୍ଥିର |
અંકગણિત માહિતી,ଗାଣିତିକ ତଥ୍ୟ
અંકગણિત સૂચના,ଗାଣିତିକ ନିର୍ଦ୍ଦେଶ
ગાણિતિક અને તાર્કિક એકમ (ALU),ଗାଣିତିକ ଏବଂ ଲଜିକାଲ୍ ୟୁନିଟ୍ (ALU)
ARPA નેટ (RPNet),ARPA ନେଟ (RPNet)
એરે,ଆରେ
"1. એરે કેશ, 2. એરે ઝડપ, 3. એરે મેમરી","1. ଆରେ କ୍ୟାଚ୍, 2 ଆରେ ଗତି, 3 ଆରେ ମେମୋରୀ"
એરે કમ્પ્યુટર,ଆରେ କମ୍ପ୍ୟୁଟର |
એરે તત્વ,ଆରେ ଉପାଦାନ |
એરે નામ,ଆରେ ନାମ
એરે પ્રોસેસર,ଆରେ ସଞ୍ଚାଳକ
તીર કી,ତୀର କି
સંધિ,ଚୁକ୍ତି
જંકશન પોઈન્ટ,ଜଙ୍କସନ୍ ପଏଣ୍ଟ |
કૃત્રિમ કોમ્પેક્શન,କୃତ୍ରିମ ସଙ୍କୋଚନ |
કૃત્રિમ નિયંત્રણ,କୃତ୍ରିମ ନିୟନ୍ତ୍ରଣ |
કૃત્રિમ સંવેદના,କୃତ୍ରିମ ଅର୍ଥ |
માઉન્ટ,ଆରୋହଣ
ચડતા સૉર્ટ,ଆରୋହଣ କ୍ରମ
ascii મૂળાક્ષરો,ascii ବର୍ଣ୍ଣମାଳା |
ascii નિયંત્રણ પ્રતીક,ascii ନିୟନ୍ତ୍ରଣ ପ୍ରତୀକ |
ascii ફાઇલ,ascii ଫାଇଲ୍ |
ascii ફોન્ટ,ascii ଫଣ୍ଟ
ASCII ટ્રાન્સફર,ASCII ସ୍ଥାନାନ୍ତର |
પાસા ગુણોત્તર,ଆନୁମାନିକ ଅନୁପାତ
"1. એસ્પી, 2. ASPI","1. ଆସ୍ପି, ୨ ASPI"
એ એસ આર કલાડ,ଏକ S R କାଲାଡ୍ |
"1. સ્મરણ, 2. એસેમ્બલિંગ, 3. એસેમ્બલ કરવા માટે","1. ସ୍ମରଣ, ୨ ଏକତ୍ରିତ, 3 ଏକତ୍ର ହେବା"
"1. એસેમ્બલર, 2. રીમાઇન્ડર","1. ଏକତ୍ରକାରୀ, 2 ସ୍ମରଣୀୟ"
"1. એસેમ્બલિંગ, 2. યાદ","1. ଏକତ୍ର ହେବା, 2 ସ୍ମରଣ"
"1. યાદગાર ભાષા, 2. એસેમ્બલીંગ ભાષા","1. ସ୍ମୃତି ଭାଷା, ୨। ଭାଷା ଏକତ୍ର କରିବା |"
નિશ્ચય,ନିଷ୍ଠା
"1. ઉલ્લેખિત કાર્ય, 2. ફાળવણી","1. ନିର୍ଦ୍ଦିଷ୍ଟ କାର୍ଯ୍ୟ, 2 ଆବଣ୍ଟନ"
સોબત,ସାଥୀତା
સહયોગી સરનામું,ସହଯୋଗୀ ଠିକଣା
"1. સહયોગી મેમરી, 2. સહયોગી મેમરી","1. ଆସୋସିଏଟିଭ୍ ମେମୋରୀ, 2 ସହଯୋଗୀ ସ୍ମୃତି"
ફૂદડી (* ચિહ્ન),ନକ୍ଷତ୍ର (* ଚିହ୍ନ)
અસમપ્રમાણ,ଅସୀମିତ |
"1. અસુમેળ, 2. અસુમેળ","1. ଅସନ୍ତୁଳିତ, 2 ଅସନ୍ତୁଳିତ |"
અસુમેળ ડિજિટલ સબ્સ્ક્રાઇબર લાઇન (ADSL),ଅସନ୍ତୁଳିତ ଡିଜିଟାଲ୍ ସବସ୍କ୍ରାଇବର ଲାଇନ (ADSL)
અસિંક્રોનસ ટાઈમ ડિવિઝન મલ્ટિપ્લેક્સિંગ (ATDM),ଅସନ୍ତୁଳିତ ସମୟ ବିଭାଗ ମଲ୍ଟିପ୍ଲେସିଙ୍ଗ୍ (ATDM)
અસુમેળ ટ્રાન્સફર,ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର |
અસિંક્રોનસ ટ્રાન્સફર મોડ (ATM),ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର ମୋଡ୍ (ଏଟିଏମ୍)
"1. અણુ, 2. પરમાન","1. ପରମାଣୁ, ୨ ପରମାନ"
જોડાયેલ દસ્તાવેજ,ସଂଲଗ୍ନିତ ଡକ୍ୟୁମେଣ୍ଟ୍ |
"1. જોડાયેલ ફાઇલ/મિસિલ, 2. જોડેલી ફાઈલ","1. ସଂଲଗ୍ନ ଫାଇଲ୍ / ମିସାଇଲ୍, 2 ସଂଲଗ୍ନ ଫାଇଲ୍ |"
"1. બિડાણ, 2. સંલગ્ન","1. ଆବଦ୍ଧ, 2 ଅନୁବନ୍ଧିତ"
"1. ગુણધર્મો, 2. વિશેષતા","1. ଗୁଣ, 2 ବିଶେଷତା"
સાંભળી શકાય તેવું,ଶ୍ରବଣଯୋଗ୍ୟ |
"1. ઓડિટ પ્રોગ્રામિંગ, 2. ઓડિટ પ્રોગ્રામિંગ","1. ଅଡିଟ୍ ପ୍ରୋଗ୍ରାମିଂ, 2 ପ୍ରୋଗ୍ରାମିଂ ଅଡିଟ୍ କରନ୍ତୁ |"
એકાઉન્ટ વેરિફિકેશન,ଖାତା ଯାଞ୍ଚ |
પ્રમોશન,ପଦୋନ୍ନତି
પ્રમાણપત્ર પ્રોટોકોલ,ପ୍ରମାଣପତ୍ର ପ୍ରୋଟୋକଲ୍ |
લેખન પદ્ધતિ,ଲେଖକ ପଦ୍ଧତି
"1. સત્તા, 2. સત્તા, 3. ટ્રિબ્યુનલ","1. ପ୍ରାଧିକରଣ, ୨ ପ୍ରାଧିକରଣ, 3 ଟ୍ରିବ୍ୟୁନାଲ"
સ્વતઃ અમૂર્ત,ଅଟୋ ଅବଷ୍ଟ୍ରାକ୍ଟ |
"1. ઓટો બુટીંગ, 2. સ્વ બુટ","1. ଅଟୋ ବୁଟିଙ୍ଗ୍, 2 ସେଲ୍ ବୁଟ୍"
ઓટોકેડ (કોમ્પ્યુટર ભાષા),ଅଟୋକ୍ୟାଡ୍ (ଏକ କମ୍ପ୍ୟୁଟର ଭାଷା)
ઓટો લોગ-ઓન,ଅଟୋ ଲଗ୍ ଅନ୍ |
ઓટોમેટા,ଅଟୋମେଟା |
ઓટોમેટા સિદ્ધાંત,ସ୍ୱୟଂଚାଳିତ ତତ୍ତ୍। |
આપોઆપ ગણતરી,ସ୍ୱୟଂଚାଳିତ ଗଣନା
સ્વચાલિત ડેટા પ્રોસેસિંગ,ସ୍ୱୟଂଚାଳିତ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |
આપોઆપ ભૂલ સુધારણા,ସ୍ୱୟଂଚାଳିତ ତ୍ରୁଟି ସଂଶୋଧନ |
સ્વતઃ કાર્ય,ଅଟୋ ଫଙ୍କସନ୍
"1. સ્વચાલિત અનુક્રમણિકા, 2. આપોઆપ યાદી","1. ସ୍ୱୟଂଚାଳିତ ସୂଚକାଙ୍କ, 2 ସ୍ୱୟଂଚାଳିତ ତାଲିକା |"
સ્વતઃ-સંગ્રહ કૉલ,ଅଟୋ-ସଂଗ୍ରହ କଲ୍ |
"1. ઓટોમેટિક પ્રોગ્રામિંગ, 2. આપોઆપ પ્રોગ્રામિંગ","1. ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ, 2 ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ |"
"1. સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ, 2. સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ","1. ସ୍ୱୟଂଚାଳିତ ପୁନରୁଦ୍ଧାର ପ୍ରୋଗ୍ରାମ, 2. ସ୍ୱୟଂଚାଳିତ ପୁନରୁଦ୍ଧାର ପ୍ରୋଗ୍ରାମ |"
આપોઆપ નિયમિત,ଅଟୋ ରୁଟିନ୍ |
આપોઆપ સિસ્ટમ પુનઃપ્રાપ્તિ,ସ୍ୱୟଂଚାଳିତ ତନ୍ତ୍ର ପୁନରୁଦ୍ଧାର
"1. ઓટોમેટિક ટેલર મશીન (ATM), 2. સ્વ ઉપાડ માટે બેંક એ.ટી.એમ","1. ସ୍ୱୟଂଚାଳିତ ଟେଲର୍ ମେସିନ୍ (ଏଟିଏମ୍), ୨ | ଆତ୍ମ ପ୍ରତ୍ୟାହାର ପାଇଁ ବ୍ୟାଙ୍କ ଏଟିଏମ୍ |"
ઓટોમેશન,ସ୍ୱୟଂଚାଳିତ
"1. ઑટોપ્લે , 2. ઓટો વોક","1. ଅଟୋପ୍ଲେ, 2 ଅଟୋ ଚାଲିବା |"
અવાજ,କଣ୍ଠଦାନ
મદદનીશ,ସହକାରୀ
સહાયક મેમરી,ସହାୟକ ସ୍ମୃତି
સહાયક સંગ્રહ,ସହାୟକ ଷ୍ଟୋରେଜ୍
ઉપલબ્ધ યાદી,ଉପଲବ୍ଧ ତାଲିକା |
ઉપલબ્ધ સમય,ଉପଲବ୍ଧ ସମୟ |
સરેરાશ,ହାରାହାରି
AWK (કોમ્પ્યુટર આદેશ),AWK (ଏକ କମ୍ପ୍ୟୁଟର ନିର୍ଦ୍ଦେଶ)
પછી,ପରେ
પોસ્ટ પ્રોસેસર,ପୋଷ୍ଟ ପ୍ରୋସେସର୍ |
પશ્ચાદવર્તી કાર્ય કાઢી નાખવું,ପରବର୍ତ୍ତୀ କାର୍ଯ୍ୟ ବିଲୋପ |
પૃષ્ઠભૂમિ પ્રક્રિયા,ପୃଷ୍ଠଭୂମି ପ୍ରକ୍ରିୟାକରଣ |
આનુષંગિક સ્ટોર્સ,ଆନୁଷଙ୍ଗିକ ଷ୍ଟୋରଗୁଡିକ |
બેક પેચીંગ,ପଛ ପ୍ୟାଚିଂ |
"1. પશ્ચિમ, 2. બેકસ્પેસ","1. ପଶ୍ଚିମ, ୨ ବ୍ୟାକସ୍ପେସ୍ |"
બેકટ્રેકિંગ,ବ୍ୟାକଟ୍ରାକ୍
"1. બેક-અપ, 2. વળતર","1. ବ୍ୟାକ୍ ଅପ୍, 2 ପରିଶୋଧ"
"1. પૂરક મેમરી, 2. બેકઅપ મેમરી","1. ସଂପୃକ୍ତ ସ୍ମୃତି, ୨। ବ୍ୟାକ୍ ଅପ୍ ମେମୋରୀ |"
પાછળની ભૂલ સુધારણા,ପଛ ତ୍ରୁଟି ସଂଶୋଧନ |
(આવક-ખર્ચ) બેલેન્સ શીટ,(ଆୟ-ବ୍ୟୟ) ବାଲାନ୍ସ ସିଟ୍ |
પાટો,ବ୍ୟାଣ୍ଡେଜ୍ |
"1. બેન્ડ પહોળાઈ, 2. બેન્ડવિડ્થ/ક્ષમતા","1. ବ୍ୟାଣ୍ଡ ଓସାର, 2 ବ୍ୟାଣ୍ଡୱିଡଥ୍ / ସାମର୍ଥ୍ୟ |"
બેંકરનું અલ્ગોરિધમ,ବ୍ୟାଙ୍କର ଆଲଗୋରିଦମ |
"1. બાર કોડ, 2. બાર કોડ","1. ବାର୍ କୋଡ୍, 2 ବାର୍ କୋଡ୍"
બારકોડ સ્કેનર,ବାରକୋଡ୍ ସ୍କାନର୍ |
બાર ગ્રાફ,ବାର୍ ଗ୍ରାଫ୍ |
આધાર સરનામું,ମୂଳ ଠିକଣା
આધાર બેન્ડ,ବେସ୍ ବ୍ୟାଣ୍ଡ |
આધાર નંબર,ଆଧାର ସଂଖ୍ୟା
આધાર ટેબલ,ଆଧାର ଟେବୁଲ୍ |
મૂળભૂત (કોમ્પ્યુટર ભાષા),ବେସିକ୍ (ଏକ କମ୍ପ୍ୟୁଟର ଭାଷା)
"1. મૂળભૂત નિયંત્રણ, 2. આધાર નિયંત્રણ","1. ମ Basic ଳିକ ନିୟନ୍ତ୍ରଣ, ୨। ଆଧାର ନିୟନ୍ତ୍ରଣ |"
"1. મૂળ રોકાણ, 2. આધાર રોકાણ","1. ମୂଳ ବିନିଯୋଗ, ୨। ମୂଳ ବିନିଯୋଗ |"
મૂળભૂત સૂચના,ମ basic ଳିକ ନିର୍ଦ୍ଦେଶ
આધાર મુદ્દો,ମୂଳ ସମସ୍ୟା |
મૂળભૂત તબક્કો,ମ basic ଳିକ ପର୍ଯ୍ୟାୟ |
"1. બેચ, 2. જૂથ, 3. આપત્તિ","1. ବ୍ୟାଚ୍, ୨ ଗୋଷ୍ଠୀ, 3 ବିପର୍ଯ୍ୟୟ |"
"1. બેચ ફાઇલ, 2. બેચ ફાઇલ","1. ବ୍ୟାଚ୍ ଫାଇଲ୍, 2 ବ୍ୟାଚ୍ ଫାଇଲ୍ |"
બેચ સ્થિતિ,ବ୍ୟାଚ୍ ସ୍ଥିତି
"1. બેચ પ્રોસેસિંગ, 2. જૂથ પ્રક્રિયા","1. ବ୍ୟାଚ୍ ପ୍ରକ୍ରିୟାକରଣ, 2 ଗୋଷ୍ଠୀ ପ୍ରକ୍ରିୟାକରଣ |"
"1. બેચ સિસ્ટમ, 2. કૅટપલ્ટ સિસ્ટમ","1. ବ୍ୟାଚ୍ ସିଷ୍ଟମ୍, 2 କାଟାପଲ୍ଟ ସିଷ୍ଟମ୍ |"
