Punjabi,Marathi
ਏਰੀਅਲ ਇੰਡਕੈਕਟੈਂਸ,एरियल इंडक्टन्स
ਏਰੀਅਲ ਇਨਸੂਲੇਟਰ,एरियल इन्सुलेटर
ਹਵਾਈ ਲੋਡਿੰਗ ਕੋਇਲ,एरियल लोडिंग कॉइल
ਹਵਾਈ ਫੋਟੋਗ੍ਰਾਫੀ,एरियल फोटोग्राफी
ਏਰੀਅਲ ਪਾਵਰ,हवाई शक्ती
ਏਰੀਅਲ ਰੇਡੀਏਸ਼ਨ ਰੀਸੈਂਟਸ,एरियल रेडिएशन रीस्टन्स
ਏਰੀਅਲ ਪ੍ਰਤੀਕਰਮ,हवाई प्रतिक्रिया
ਐਰੋਡਾਇਨਾਮਿਕਸ,एरोडायनामिक्स
ਏਜੰਸੀ,एजन्सी
ਏਅਰ ਕੰਪ੍ਰੈਸਰ,एअर कॉम्प्रेसर
ਏਅਰ ਕੰਡੈਂਸਰ,एअर कंडेन्सर
ਹਵਾ ਠੰ .ੀ,वातानुकूलित
ਏਅਰ ਕੋਰਡ ਕੋਇਲ,एअर कोर्ड कॉइल
ਏਅਰ ਕੰਡੀਸ਼ਨਿੰਗ,वातानुकुलीत
ਅਲਬਾਡੋ,अल्बेडो
ਐਲਗੋਰਿਦਮ,अल्गोरिदम
ਅਲਾਇਸਿੰਗ,अलियासिंग
ਐਲਿੰਗਿੰਗ,संरेखित
ਅਲਾਈਨਮੈਂਟ,संरेखन
ਸਾਰੇ ਵੇਵ ਏਰੀਅਲ,सर्व वेव्ह एरियल
ਅਲਾਟਮੈਂਟ,वाटप
ਵਰਣਮਾਲਾ,वर्णमाला
ਅਲਫਾਨੁਮਿਕ,अल्फान्यूमेरिक
ਅੱਖਰ ਅੱਖਰ,अल्फान्यूमेरिक वर्ण
ਅਲਫਾਨੁਮਿਕ ਜਾਣਕਾਰੀ,अल्फान्यूमेरिक माहिती
ਬਦਲਵੇਂ ਮੌਜੂਦਾ (ਏ.ਸੀ.),वैकल्पिक चालू (ए.सी.)
ਬਦਲਵਾਂ,वैकल्पिक
ਅਲਟਰਨੇਟਰ,अल्टरनेटर
ਉਚਾਈ,समुद्रसपाटीपासूनची उंची
ਅਗੇਬੀ ਦੀ ਉਚਾਈ,अपोजीची उंची
ਚਰਿੱਜ ਦੀ ਉਚਾਈ,पेरिगीची उंची
ਸ਼ੁਕੀਨ ਰੇਡੀਓ ਸੰਚਾਰ,हौशी रेडिओ संप्रेषण
ਮਾਹੌਲ,वातावरण
ਮਾਹੌਲ ਮਾਈਕ੍ਰੋਫੋਨ,वातावरण मायक्रोफोन
ਅੰਬੀਨਟ ਦੀ ਸਥਿਤੀ,वातावरणीय स्थिती
ਅੰਬੀਨਟ ਲਾਈਟਿੰਗ,वातावरणीय प्रकाश
ਅੰਬੀਨਟ ਸ਼ੋਰ,सभोवतालचा आवाज
ਵਾਤਾਵਰਣ ਦਾ ਤਾਪਮਾਨ,वातावरणीय तापमान
ਅਮੈਰੀਕਨ ਸਟੈਂਡਰਡ ਕੋਡ,अमेरिकन मानक कोड
ਐਂਪੀਅਰ,अँपियर
ਐਂਪਰ ਮੀਟਰ,अ‍ॅम्पेअर मीटर
ਸਹਾਇਕਤਾ,प्रवर्धन
ਐਪਲੀਫਿਕੇਸ਼ਨ ਫੈਕਟਰ,प्रवर्धन घटक
ਐਂਪਲੀਫਾਇਰ,एम्पलीफायर
ਐਂਪਲੀਫਾਇਰ ਲਾਭ,एम्पलीफायर गेन
ਐਂਪਲੀਫਾਇਰ ਸ਼ੋਰ,एम्पलीफायर आवाज
ਅਮਲੀਫਾਈਸਿੰਗ ਉਪਕਰਣ,एम्प्लिफाइंग उपकरणे
ਸਰਪਲੱਸਿੰਗ ਕਲਸਟ੍ਰੋਨ,क्लीस्ट्रॉनचे विस्तार
ਅਮਲੀਫਾਈਸਿੰਗ ਯੂਨਿਟ,एम्प्लिफाइंग युनिट
ਐਪਲੀਟਿ .ਡ,मोठेपणा
ਐਪਲੀਟਿ itude ਡ ਭਟਕਣਾ,मोठेपणा विकृती
ਐਪਲੀਟਿ ord ਡ ਸੈਕਸੀਅਨ,मोठेपणा सहन
ਐਪਲੀਟਿ let ਟ ਫੈਕਟਰ,मोठेपणा घटक
ਐਪਲੀਟਿ .ਡ ਸੀਮਾ,मोठेपणा मर्यादा
ਐਪਲੀਟਿ .ਡ,मोठेपणा मॉड्यूलेटेड
ਐਪਲੀਟਿ let ਟ ਮੇਲੂਲੇਸ਼ਨ,मोठेपणा मॉड्यूलेशन
ਐਨਾਲਾਗ (ਐਨਾਲਾਗ),एनालॉग (अ‍ॅनालॉग)
ਐਨਾਲਾਗ ਸਰਕਿਟ,एनालॉग सर्किट
ਐਨਾਲਾਗ ਕੰਪਿ .ਟਰ,एनालॉग संगणक
ਐਨਾਲਾਗ ਰੇਡੀਓ ਬਾਰੰਬਾਰਤਾ ਚੈਨਲ,एनालॉग रेडिओ फ्रिक्वेन्सी चॅनेल
ਐਨਾਲਾਗ ਪ੍ਰਤੀਨਿਧਤਾ,एनालॉग प्रतिनिधित्व
ਐਨਾਲਾਗ ਸਿਗਨਲ,एनालॉग सिग्नल
ਐਨਾਲਾਗ ਡਿਜੀਟਲ,डिजिटल टू डिजिटल
ਐਨਾਲਾਗ ਤੋਂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ,डिजिटल कन्व्हर्टर टू एनालॉग
ਐਨਾਲਾਗ ਵੀਡੀਓ,एनालॉग व्हिडिओ
ਸਮਾਨ,समान
ਸਮਾਨਤਾ,समानता
ਵਿਸ਼ਲੇਸ਼ਣ,विश्लेषण
ਡਾਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ,डेटाचे विश्लेषण
ਵਿਸ਼ਲੇਸ਼ਣ ਘਣਤਾ,विश्लेषणात्मक घनता
ਵਿਸ਼ਲੇਸ਼ਣ,विश्लेषण
ਵਿਸ਼ਲੇਸ਼ਕ,विश्लेषक
Ancilliay ਉਪਕਰਣ,उपकरणे
ਅਤੇ ਗੇਟ,आणि गेट
ਕੋਲੀਮੈਂਟ ਦਾ ਕੋਣ,कोलिमेशनचा कोन
ਧਰੁਵੀਕਰਨ ਦਾ ਕੋਣ,ध्रुवीकरणाचा कोन
ਘੁੰਮਣ ਦਾ ਕੋਣ,रोटेशनचा कोन
ਐਂਗਟਰੋਮ (å),अँगस्ट्रॉम (Å)
ਕੋਣੀ,कोनीय
ਕੋਣੀ ਪ੍ਰਵੇਗ,कोनीय प्रवेग
ਕੋਣੀ ਕੋ-ਆਰਡੀਨੇਟ,कोनीय समन्वय
ਐਂਗਲੇਨਰ ਫੁਲੈਕਸ਼ਨ,कोनीय विक्षेपण
ਐਂਗੂਲਰ ਫੈਲਾਅ,कोनीय फैलाव
ਕੋਣੀ ਵਿਸਥਾਪਨ,कोनीय विस्थापन
ਐਂਗਲੇਰ ਐਰਰ,कोनीय त्रुटी
ਕੋਣੀ ਦੀ ਬਾਰੰਬਾਰਤਾ,कोनीय वारंवारता
ਕੋਣੀ ਗਤੀ,कोनीय गती
ਕੋਣੀ ਮੋਸ਼ਨ,कोनीय गती
ਐਂਗਲੇਰ ਵੇਗ,कोनीय गती
ਐਨੀਮੇਸ਼ਨ,अ‍ॅनिमेशन
ਐਨੋਡ,एनोड
ਐਨੋਡ ਬੈਟਰੀ,एनोड बॅटरी
ਐਨੋਡ ਗੁਣ,एनोड वैशिष्ट्य
ਅਨੋਡ ਸਰਕਟ,एनोड सर्किट
ਐਨੋਡ ਡਿਸਪੈਂਪੇਸ਼ਨ,एनोड अपव्यय
ਐਨੋਡ ਕੁਸ਼ਲਤਾ,एनोड कार्यक्षमता
ਐਨੋਡ ਇਨਪੁਟ ਪਾਵਰ,एनोड इनपुट पॉवर
ਐਡੀਡ ਦੀ ਵਰਤੋਂ,एनोड मॉड्यूलेशन
ਐਂਟੀਨਾ,अँटेना
ਐਂਟੀਨਾ ਬੀਅਵਿਡਥ,अँटेना बीमविड्थ
ਐਂਟੀਨਾ ਬੂਸਟਰ,अँटेना बूस्टर
ਐਂਟੀਨਾ ਬਦਲਾਓ ਸਵਿੱਚ,अँटेना चेंजओव्हर स्विच
ਐਂਟੀਨਾ ਕੋਇਲ,अँटेना कॉइल
ਐਟੀਨਨਾ ਕੌਂਫਿਗਰੇਸ਼ਨ,अँटेना कॉन्फिगरेशन
ਐਂਟੀਨਾ ਕਪਲਰ,अँटेना कपलर
ਐਂਟੀਨਾ ਕਰਾਸ ਪੋਲਰ ਪੈਟਰਨ,अँटेना क्रॉस ध्रुवीय नमुना
ਐਂਟੀਨਾ ਮੌਜੂਦਾ,अँटेना करंट
ਐਂਟੀਨਾ ਡਾਇਰੈਕਟਰਵਿਟੀ ਲਾਭ,अँटेना डायरेक्टिव्हिटी गेन
ਐਂਟੀਨਾ ਡੁਪਲੈਕਸਰ,अँटेना डुप्लेक्सर
ਐਂਟੀਨਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਖੇਤਰ,अँटेना प्रभावी क्षेत्र
ਐਂਟੀਨਾ ਕੁਸ਼ਲਤਾ,अँटेना कार्यक्षमता
ਐਂਟੀਨਾ ਫੀਡ,अँटेना फीड
ਐਂਟੀਨਾ ਪੈਰ ਪ੍ਰਿੰਟ,अँटेना फूट प्रिंट
ਐਂਟੀਨਾ ਲਾਭ,अँटेना गेन
ਐਂਟੀਨਾ ਉਚਾਈ,अँटेना उंची
ਐਂਟੀਨਾ ਪ੍ਰੇਸ਼ਾਨ,अँटेना प्रतिबाधा
ਐਂਟੀਨਾ ਇੰਡਸੀਕਟੈਂਸ,अँटेना इंडक्टन्स
ਐਂਟੀਨਾ ਪੈਟਰਨ,अँटेना पॅटर्न
ਐਂਟੀਨਾ ਪਲੇਕਸਰ,अँटेना प्लेक्सर
ਐਂਟੀਨਾ ਧਰੁਵੀਕਰਨ,अँटेना ध्रुवीकरण
ਐਂਟੀਨਾ ਪਾਵਰ,अँटेना पॉवर
ਐਂਟੀਨਾ ਪਾਵਰ ਲਾਭ,अँटेना पॉवर गेन
ਐਂਟੀਨਾ ਰੇਡੀਏਸ਼ਨ ਟਾਕਰਾ,अँटेना रेडिएशन प्रतिरोध
ਐਂਟੀਨਾ ਪ੍ਰਤੀਕ੍ਰਿਆ,अँटेना रिएक्टन्स
ਐਂਟੀਨਾ ਰਿਫਲੈਕਟਰ,अँटेना परावर्तक
ਐਂਟੀਨਾ ਟਾਕਰੇ,अँटेना प्रतिकार
ਐਂਟੀਨਾ ਗੂੰਜਕ ਬਾਰੰਬਾਰਤਾ,अँटेना रेझोनंट वारंवारता
ਐਂਟੀਨਾ ਸਪੇਸਿੰਗ,अँटेना स्पेसिंग
ਐਂਟੀਨਾ ਸਵਿਚਿੰਗ ਰੂਮ,अँटेना स्विचिंग रूम
ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਕੋਇਲ,अँटेना ट्यूनिंग कॉइल
ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਹੱਟ,अँटेना ट्यूनिंग झोपडी
ਅਪਰਚਰ,छिद्र
ਅਪੋਜੀ,अपोजी
ਅਪੋਜੀ ਰਾਕੇਟ,अपोजी रॉकेट
ਉਪਕਰਣ,उपकरणे
ਸਪੱਸ਼ਟ,उघड
ਐਪਲਿਟ,Let पलेट
ਐਪਲੀਕੇਸ਼ਨ,अर्ज
ਲਗਭਗ,अंदाजे
Aquive ਹੱਲ,जलीय द्रावण
ਆਰਕ,कंस
ਆਰਕੀਟੈਕਚਰ,आर्किटेक्चर
ਧੁਨੀ ਰਿਕਾਰਡਿੰਗ ਦਾ ਆਰਕਵਲ ਟ੍ਰਾਂਸਫਰ,ध्वनी रेकॉर्डिंगचे संग्रहण हस्तांतरण
ਪੁਰਾਲੇਖ,संग्रहण
ਹਿਸਾਬ ਕੋਡਿੰਗ,अंकगणित कोडिंग
ਆਰਮਚਰ,आर्मेचर
ਆਰਮਟਿ ure ਟਰ ਹਵਾ,आर्मेचर विंडिंग
ਐਰੇ,रचना
ਅਰੈਸਟਰ,अरेस्टर
ਬਿਆਨ,बोलता
ਆਰਟੀਫੈਕਟ (= ਆਰਟਫੈਕਟ),कलाकृती (= कलाकृती)
ਚੜ੍ਹਨਾ,चढत्या
ਆਕਾਰ ਅਨੁਪਾਤ,प्रसर गुणोत्तर
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,असेंबलर
ਜ਼ੋਰ,प्रतिपादन
ਅਸਾਈਨਮੈਂਟ,असाइनमेंट
ਅਸਾਈਨਮੈਂਟ ਚੈਨਲ,असाइनमेंट चॅनेल
ਅਸਮੈਟ੍ਰਿਕਲ,असममित
ਅਸਿੰਕਰੋਨਸ,एसिन्क्रोनस
ਵਾਤਾਵਰਣ,वातावरण
ਵਾਯੂਮੰਡਲ ਦਾ ਨੁਕਸਾਨ,वातावरणीय नुकसान
ਵਾਯੂਮੰਡਲ ਸ਼ੋਰ,वातावरणीय आवाज
ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ,वातावरणीय दबाव
ਵਾਯੂਮੰਡਲ ਪ੍ਰਸਾਰ,वातावरणीय प्रसार
ਵਾਯੂਮੰਡਲ ਰੇਡੀਓ-ਵੇਵ,वातावरणीय रेडिओ-वेव्ह
ਵਾਯੂਮੰਡਲ,वातावरण
ਐਟਮ,अणू
ਪ੍ਰਮਾਣੂ ਬਣਤਰ,अणु रचना
ਲਗਾਵ,संलग्नक
ਪਟੀਸ਼ਨ,क्षीणन
ਅਟੁੱਟ ਨੁਕਸਾਨ,क्षमतेचे नुकसान
ਅਵਾਜ਼ ਦੀਆਂ ਲਹਿਰਾਂ ਦਾ ਧਿਆਨ,ध्वनी लहरींचे लक्ष वेधणे
Attetuator,अ‍ॅटेन्युएटर
ਐਟੀਟਨਿਟਰ-ਪੈਡ,अ‍ॅटेन्युएटर-पॅड
ਆਡੀਬਿਲਟੀ ਥ੍ਰੈਸ਼ੋਲਡ,ऑडिबिलिटी थ्रेशोल्ड
ਸੁਣਨਯੋਗ,ऐकण्यायोग्य
ਆਡੀਅਲ ਬਾਰੰਬਾਰਤਾ,ऐकण्यायोग्य वारंवारता
ਸੁਣਨਯੋਗ ਧੁਨ,ऐकण्यायोग्य टोन
ਸੁਣਨਯੋਗ-ਸਪੈਕਟ੍ਰਮ,ऐकण्यायोग्य-स्पेक्ट्रम
ਹਾਜ਼ਰੀਨ,प्रेक्षक
ਆਡੀਓ,ऑडिओ
ਆਡੀਓ ਅਮਲੀਫਾਇਰ,ऑडिओ एम्पलीफायर
ਆਡੀਓ ਵਿਸ਼ਲੇਸ਼ਕ,ऑडिओ विश्लेषक
ਆਡੀਓ ਪ੍ਰਸਾਰਣ,ऑडिओ प्रसारण
ਆਡੀਓ ਕੇਬਲ,ऑडिओ केबल
ਆਡੀਓ ਚੇਨ,ऑडिओ साखळी
ਆਡੀਓ ਕੋਡਕ,ऑडिओ कोडेक
ਆਡੀਓ ਕੰਪ੍ਰੈਸਨ,ऑडिओ कॉम्प्रेशन
ਆਡੀਓ ਕੰਪ੍ਰੈਸਰ,ऑडिओ कॉम्प्रेसर
ਆਡੀਓ ਕੰਸੋਲ,ऑडिओ कन्सोल
ਆਡੀਓ ਵਿਗਾੜ,ऑडिओ विकृती
ਆਡੀਓ ਡਾਇਨਾਮਿਕ ਰੇਂਜ,ऑडिओ डायनॅमिक श्रेणी
ਆਡੀਓ ਫਾਈਲ ਫਾਰਮੈਟ,ऑडिओ फाइल स्वरूप
ਆਡੀਓ ਫਰੇਮ ਫਾਰਮੈਟ,ऑडिओ फ्रेम स्वरूप
ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਐਂਪਲੀਫਾਇਰ,ऑडिओ फ्रिक्वेन्सी एम्पलीफायर
ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਜਰਨੇਟਰ,ऑडिओ फ्रिक्वेन्सी जनरेटर
ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਦੀ ਸੀਮਾ,ऑडिओ वारंवारता श्रेणी
ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਜਵਾਬ,ऑडिओ वारंवारता प्रतिसाद
ਆਡੀਓ ਸੀਮਾ,ऑडिओ लिमिटर
ਆਡੀਓ ਲਾਈਨ,ऑडिओ लाइन
ਆਡੀਓ ਮਿਕਸਰ,ऑडिओ मिक्सर
ਆਡੀਓ ਸੰਚਾਲਨ,ऑडिओ मॉड्यूलेशन
ਆਡੀਓ c ਸਿਲੇਟਰ,ऑडिओ ऑसीलेटर
ਆਡੀਓ ਆਉਟਪੁੱਟ,ऑडिओ आउटपुट
ਆਡੀਓ ਪਾਵਰ,ऑडिओ पॉवर
ਆਡੀਓ ਕੁਆਲਟੀ,ऑडिओ गुणवत्ता
ਆਡੀਓ ਸਿਗਨਲ,ऑडिओ सिग्नल
ਆਡੀਓ ਸਿਗਨਲ ਪ੍ਰੋਸੈਸਿੰਗ,ऑडिओ सिग्नल प्रक्रिया
ਆਡੀਓ ਸਪੈਕਟ੍ਰਮ,ऑडिओ स्पेक्ट्रम
ਆਡੀਓ ਸਟੋਰੇਜ,ऑडिओ स्टोरेज
ਆਡੀਓ ਸਬ-ਕੈਰੀਅਰ,ऑडिओ सब-कॅरियर
ਆਡੀਓ ਟਰਾਂਸਫਾਰਮਰ,ऑडिओ ट्रान्सफॉर्मर
ਆਡੀਓ ਟ੍ਰਾਂਸਮੀਟਰ,ऑडिओ ट्रान्समीटर
ਆਡੀਓ / ਵੀਡੀਓ ਸੰਕੁਚਨ,ऑडिओ/व्हिडिओ कॉम्प्रेशन
ਆਡੀਓ-ਬਾਰੰਬਾਰਤਾ,ऑडिओ-फ्रिक्वेन्सी ऑसीलेटर
ਆਡੀਓ-ਬਾਰੰਬਾਰਤਾ ਸੰਕੇਤ,ऑडिओ-फ्रिक्वेन्सी सिग्नल
ਆਡੀਓਮੈਟਰੀ,ऑडिओमेट्री
ਆਡੀਓ-ਵਿਜ਼ੂਅਲ ਸਹਾਇਤਾ,ऑडिओ-व्हिज्युअल मदत
ਆਡੀਟਰੀ ਧਾਰਨਾ,श्रवणविषयक समज
ਪ੍ਰਮਾਣਿਕਤਾ,प्रमाणीकरण
ਅਧਿਕਾਰਤ ਕੈਰੀਅਰ ਬਾਰੰਬਾਰਤਾ,अधिकृत वाहक वारंवारता
ਆਟੋ ਕੈਡ,ऑटो कॅड
ਆਟੋ ਨਿਦਾਨ,ऑटो डायग्नोस्टिक्स
ਆਟੋਮੈਟਿਕ,स्वयंचलित
ਆਟੋਮੈਟਿਕ ਕੰਟਰੋਲ,स्वयंचलित नियंत्रण
ਆਟੋਮੈਟਿਕ ਖੋਜ,स्वयंचलित शोध
ਆਟੋਮੈਟਿਕ ਉਪਕਰਣ,स्वयंचलित उपकरणे
ਆਟੋਮੈਟਿਕ ਬਾਰੰਬਾਰਤਾ ਨਿਯੰਤਰਣ,स्वयंचलित वारंवारता नियंत्रण
ਆਟੋਮੈਟਿਕ ਸੀਮਾ,स्वयंचलित मर्यादा
ਆਟੋਮੈਟਿਕ ਮਸ਼ੀਨ,स्वयंचलित मशीन
ਆਟੋਮੈਟਿਕ ਫਾਸੇ ਕੰਟਰੋਲ,स्वयंचलित Phasae नियंत्रण
ਆਟੋਮੈਟਿਕ ਤਸਵੀਰ ਸੰਚਾਰ,स्वयंचलित चित्र संप्रेषण
ਆਟੋਮੈਟਿਕ ਪਲੇਅਬੈਕ,स्वयंचलित प्लेबॅक
ਆਟੋਮੈਟਿਕ ਪਾਵਰ ਕੰਟਰੋਲ,स्वयंचलित उर्जा नियंत्रण
ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ,स्वयंचलित प्रोग्रामिंग
ਆਟੋਮੈਟਿਕ ਰਿਕਾਰਡਿੰਗ,स्वयंचलित रेकॉर्डिंग
ਆਟੋਮੈਟਿਕ ਰੀਸੈੱਟ,स्वयंचलित रीसेट
ਆਟੋਮੈਟਿਕ ਸ਼ਟਰ,स्वयंचलित शटर
ਆਟੋਮੈਟਿਕ ਸਿਸਟਮ,स्वयंचलित प्रणाली
ਆਟੋਮੈਟਿਕ ਟੈਲੀਫੋਨ,स्वयंचलित टेलिफोन
ਆਟੋਮੈਟਿਕ ਤਾਪਮਾਨ ਨਿਯੰਤਰਣ,स्वयंचलित तापमान नियंत्रण
ਆਟੋਮੈਟਿਕ ਵੋਲਟੇਜ ਰੈਗੂਲੇਟਰ,स्वयंचलित व्होल्टेज नियामक
ਆਟੋਮੈਟਿਕ ਵਾਲੀਅਮ ਕੰਪ੍ਰੈਸਰ,स्वयंचलित व्हॉल्यूम कॉम्प्रेसर
ਆਟੋਮੈਟਿਕ ਵਾਲੀਅਮ ਨਿਯੰਤਰਣ,स्वयंचलित व्हॉल्यूम नियंत्रण
