Odiya,Tamil
କୋଭାରିଆନ୍ସ ବିଶ୍ଳେଷଣ |,இணைநிலை பகுப்பாய்வு
ଗଣନା-ତଥ୍ୟ ବିଶ୍ଳେଷଣ |,கணக்கெடுப்பு-தரவு பகுப்பாய்வு
ଭିନ୍ନତା ବିଶ୍ଳେଷଣ |,மாறுபாடு பகுப்பாய்வு
ଆନାଲିଟିକାଲ୍ ଜ୍ୟାମିତି |,பகுப்பாய்வு வடிவியல்
ବିଶ୍ଳେଷଣାତ୍ମକ କାର୍ଯ୍ୟ,பகுப்பாய்வு செயல்பாடு
କୋଣ,கோணம்
ଟାଙ୍ଗେଣ୍ଟ୍ କୋଣ |,தொடுகோடு கோணம்
ବିଘ୍ନ କୋଣ |,விலகல் கோணம்
ଉଦାସୀନତା କୋଣ,மனச்சோர்வு கோணம்
ବିଘ୍ନ କୋଣ |,விலகல் கோணம்
ବିଭାଜନ କୋଣ |,விலகல் கோணம்
ଉଚ୍ଚତା କୋଣ,உயர கோணம்
ଘଟଣାର କୋଣ,நிகழ்வு கோணம்
ପ୍ରୋଜେକ୍ଟର କୋଣ,திட்ட கோணம்
ପ୍ରତିଫଳନ କୋଣ,பிரதிபலிப்பு கோணம்
ପ୍ରତିଫଳନ କୋଣ,ஒளிவிலகல் கோணம்
ଘୂର୍ଣ୍ଣନ କୋଣ,சுழற்சி கோணம்
ପ୍ରତିଫଳନର ସଂପୂର୍ଣ୍ଣ କୋଣ |,பிரதிபலிப்பு முழுமையான கோணம்
କୋଣାର୍କ ତ୍ୱରଣ |,கோண முடுக்கம்
କୋଣାର୍କ ବେଗ |,கோண வேகம்
କୋଣାର୍କ ଗତି,கோண வேகம்
କୋଣାର୍କ ବେଗ |,கோண வேகம்
ଆଙ୍ଗୁଠି ରିଙ୍ଗ୍ |,மோதிர விரல்
ଉତ୍ତର,பதில்
କାଉଣ୍ଟର ଡେରିଭେଟିଭ୍ |,எதிர் வழித்தோன்றல்
ଆଇସୋମେଟ୍ରିକ୍ କାର୍ଯ୍ୟ,ஐசோமெட்ரிக் செயல்பாடு
"ଆଚ୍ଛାଦିତ, ପ୍ରଯୁଜ୍ୟ, ପ୍ରଯୁଜ୍ୟ |","மறைக்கக்கூடிய, பொருந்தக்கூடிய, பொருந்தக்கூடிய"
"ଆବେଦନ ପ୍ରୟୋଗ,",விண்ணப்ப விண்ணப்பம்
ଗତିଶୀଳ ପ୍ରୋଗ୍ରାମିଂ ପ୍ରୟୋଗ |,பயன்பாட்டு டைனமிக் நிரலாக்கம்
ପ୍ରୟୋଗ ହୋଇଥିବା ଜ୍ୟାମିତି |,பயன்படுத்தப்படும் வடிவியல்
ପ୍ରୟୋଗ ହୋଇଥିବା ଗଣିତ |,பயன்பாட்டு கணிதம்
ପ୍ରୟୋଗ ପରିସଂଖ୍ୟାନ |,பயன்பாட்டு புள்ளிவிவரங்கள்
"ପ୍ରାୟ, ପ୍ରାୟ","தோராயமாக, தோராயமாக"
ପ୍ରାୟ ନିରନ୍ତର କାର୍ଯ୍ୟ |,தோராயமாக தொடர்ச்சியான செயல்பாடு
"ମାକ୍ରୋ ପଦ୍ଧତି, ଆନୁମାନିକ ପଦ୍ଧତି |","மேக்ரோ முறை, தோராய முறை"
ଆନୁମାନିକ ସମାଧାନ,தோராயமான தீர்வு
ଆନୁମାନିକ ସମସ୍ୟା,தோராயமான பிரச்சனை
ଆନୁମାନିକ ସମ୍ପତ୍ତି,தோராயமான சொத்து
ଦକ୍ଷତା ପରୀକ୍ଷା,திறன் சோதனை
ଆର୍ଗନ୍ ଚିତ୍ର,ஆர்கான் வரைபடம்
ସ୍ବେଚ୍ଛାକୃତ,தன்னார்வ
"ଅନିୟମିତ, ଅନିୟମିତ |","சீரற்ற, சீரற்ற"
ଇଚ୍ଛାଧୀନ ସ୍ଥିର |,தன்னிச்சையான மாறிலி
ମାଗଣା ଉପାଦାନ |,இலவச உறுப்பு
ଇଚ୍ଛାଧୀନ ବିନ୍ଦୁ |,தன்னிச்சையான புள்ளி
ଆର୍କିମିଡେଙ୍କ ନିୟମ |,ஆர்க்கிமிடின் சட்டம்
ଆର୍କିମିଡିସ୍ ନିୟମ |,ஆர்க்கிமிடிஸ் சட்டம்
"ଆର୍କ-ଲମ୍ବ, ଆର୍କ-ଲମ୍ବ |","வில்-நீளம், வில்-நீளம்"
ବୃତ୍ତାକାର,வட்ட வில்
ଓଲଟା ସାଇନ ବଣ୍ଟନ |,தலைகீழ் சைன் விநியோகம்
ଓଲଟା ସାଇନ ରୂପାନ୍ତର |,தலைகீழ் சைன் மாற்றம்
"କ୍ଷେତ୍ର, କ୍ଷେତ୍ର","பகுதி, பகுதி"
ଆ regional ୍ଚଳିକ ସଂରଚନା,பிராந்திய கட்டமைப்பு
ଏକ ଜଟିଳ ସଂଖ୍ୟାର କୋଣ |,ஒரு கலப்பு எண்ணின் கோணம்
ଗାଣିତିକ ଅର୍ଥ |,எண்கணித சராசரி
ଡିଜିଟାଲ୍ ଅପରେସନ୍,டிஜிட்டல் செயல்பாடு
ଡିଜିଟାଲ୍ ୟୁନିଟ୍ |,டிஜிட்டல் அலகு
"ବିନ୍ୟାସ, ବ୍ୟବସ୍ଥା","கட்டமைப்பு, ஏற்பாடு"
"ଆରେ, ଆରେ","வரிசை, வரிசை"
କୃତ୍ରିମ ଉପଗ୍ରହ |,செயற்கை செயற்கைக்கோள்
କୃତ୍ରିମ ଭେରିଏବଲ୍ |,செயற்கை மாறி
ଚ imb ିବାକୁ,ஏறுவதற்கு
ଆରୋହଣ,ஏறுமுகம்
ତୀବ୍ରତାର କ୍ରମ,அளவின் ஏறுவரிசை
ଆରୋହଣ ଗ୍ରେଡ୍,ஏறும் தரம்
ଏକତ୍ରକାରୀ ଭାଷା |,அசெம்பிளர் மொழி
"ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା ଆସାଇନମେଣ୍ଟ ପ୍ରଶ୍ନ,",ஒதுக்கீட்டுச் சிக்கல் ஒதுக்கீட்டுக் கேள்வி
ସହଯୋଗୀ ନିୟମ |,துணை விதி
ଅପରେଟର୍ମାନଙ୍କର ଆସୋସିଏଟିଭ୍ ନିୟମ |,ஆபரேட்டர்களின் துணை விதி
ଆସୋସିଏଟିଭ୍ ଅପରେସନ୍ |,துணை செயல்பாடு
ସାଥୀତା,தோழமை
ଅନୁମାନ କରାଯାଉଥିବା ଅର୍ଥ |,சராசரியாக கருதப்படுகிறது
ସମ୍ଭାବ୍ୟ ବଣ୍ଟନ ଅନୁମାନ କରାଯାଇଛି |,நிகழ்தகவு விநியோகம் என்று கருதப்படுகிறது
"କଳ୍ପିତ, ସ୍ୱୀକାର,","கற்பனை செய்து, ஒப்புக்கொண்ட"
ଜ୍ୟୋତିଷ ଶାସ୍ତ୍ର,ஜோதிடம்
"ମହାକାଶଚାରୀ ଇଞ୍ଜିନିୟର ସ୍ପେସ୍ ଇଞ୍ଜିନିୟର,",விண்வெளி பொறியாளர் விண்வெளி பொறியாளர்
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନୀ *,வானியலாளர்*
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ ଘଣ୍ଟା |,வானியல் கடிகாரம்
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ,வானியல்
ଅସୀମିତ ବକ୍ର,சமச்சீரற்ற வளைவு
ଅସୀମତା |,சமச்சீரற்ற தன்மை
ଅସ୍ମିପଟୋଟିକ୍ |,அறிகுறியற்ற
ବୃଦ୍ଧି,மோசமாக்கும்
ପ୍ରଗତିଶୀଳ ଆକଳନକାରୀ |,முற்போக்கான மதிப்பீட்டாளர்
ରିଟ୍ରୋଗ୍ରେଡ୍ ଦ୍ୱିପାକ୍ଷିକ ଆକଳନକାରୀ |,பிற்போக்கு சார்பு மதிப்பீட்டாளர்
ପ୍ରତ୍ୟାବର୍ତ୍ତନ ଆଚରଣ |,பிற்போக்கு நடத்தை
ଆକ୍ରମଣାତ୍ମକ ବଣ୍ଟନ କାର୍ଯ୍ୟ |,தீவிர விநியோக செயல்பாடு
ଉପର ବିସ୍ତାର,மேல்நோக்கி பரவியது
ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |,வளிமண்டல அழுத்தம்
"ଅନିୟମିତ ଭାବରେ,",தற்செயலாக
ସମ୍ପତ୍ତି *,சொத்து*
ଗୁଣଧର୍ମ-ନମୁନା-ଯାନ୍ତ୍ରିକ |,பண்பு-மாதிரி-பொறிமுறை
ବୃଦ୍ଧି ହୋଇଥିବା ମାଟ୍ରିକ୍ସ,ஆக்மென்ட் மேட்ரிக்ஸ்
ଅଟୋକୋରେଲେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,தன்னியக்க தொடர்பு குணகம்
ଅଟୋକୋରେଲେସନ୍ ଫଙ୍କସନ୍,தன்னியக்க தொடர்பு செயல்பாடு
କୋଭାରିଆନ୍ସ |,இணை மாறுபாடு
ସ୍ୱୟଂଚାଳିତ କମ୍ପ୍ୟୁଟର |,தானியங்கி கணினி
ଆତ୍ମସମ୍ମାନ,தன்னியக்க பின்னடைவு
ସହାୟକ ସମୀକରଣ,துணை சமன்பாடு
ହାରାହାରି ନମୁନା ସଂଖ୍ୟା ବକ୍ର (MPC ବକ୍ର),சராசரி மாதிரி எண் வளைவு (MPC வளைவு)
"axiom, axiom","கோட்பாடு, கோட்பாடு"
axiom ପଦ୍ଧତି |,கோட்பாடு அணுகுமுறை
ସମ୍ଭାବ୍ୟତା axiom |,நிகழ்தகவு கோட்பாடு
ଅକ୍ଷ,அச்சு
ଭୁଜାକ୍,புஜக்ஷா
ପୃଥିବୀ ଅକ୍ଷ,பூமி அச்சு
ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ,சுழற்சி அச்சு
ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ,சுழற்சி அச்சு
ସ୍ପିନ୍ ଅକ୍ଷ,சுழல் அச்சு
ପୋଷ୍ଟ ରିପ୍ଲେସମେଣ୍ଟ,பிந்தைய மாற்று
ପରେ,பின்னர்
ପଛ ସନ୍ନିବେଶ ସୂତ୍ର |,பின் செருகும் சூத்திரம்
"ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ |","சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை"
ସନ୍ତୁଳିତ ଡିଜାଇନ୍ |,சீரான வடிவமைப்பு
ତୂଳନା ପତ୍ର,இருப்பு தாள்
କ୍ଷେପଣାସ୍ତ୍ର,ஏவுகணை
"ବାଲିଷ୍ଟିକ୍, ଅସ୍ତ୍ରଶସ୍ତ୍ର |","பந்துவீச்சு, ஆயுதம்"
"ସ୍ତମ୍ଭ, ବାଡ଼ି, କୋବ୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ରେଖା, ରେଖା, ପରୀକ୍ଷା ରେଖା, ଧାର |","நெடுவரிசை, பட்டை, கோப், பட்டை, பட்டை, பட்டை, பட்டை, பட்டை, பட்டை, வரி, வரி, சோதனை வரி, விளிம்பு"
"ଆଧାର, ଆଧାର, ଆଧାର, ଆଧାର, ଆଧାର |","அடிப்படை, அடிப்படை, அடிப்படை, அடிப்படை, அடிப்படை"
ମୂଳ କୋଣ,அடிப்படை கோணம்
"ଲୋଗାରିଦମର ଆଧାର, ଲୋଗାରିଦମର ଆଧାର |","மடக்கையின் அடிப்படை, மடக்கையின் அடிப்படை"
"ମ basic ଳିକ, ମ basic ଳିକ,","அடிப்படை, அடிப்படை"
ମୂଳ ସମନ୍ୱିତ ସମାଧାନ |,அடிப்படை ஒத்திசைவான தீர்வு
ମୂଳ ସମାଧାନ |,அடிப்படை தீர்வு
ବେସ୍ ଭେରିଏବଲ୍ |,அடிப்படை மாறி
ଆଧାର,அடித்தளம்
ମୂଳ ଉପାଦାନ |,அடிப்படை உறுப்பு
ବେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,அடிப்படை அணி
ଭେକ୍ଟର ସ୍ପେସ୍ ର ଆଧାର |,திசையன் இடத்தின் அடிப்படை
ଜନସଂଖ୍ୟା ଆଧାର |,துணை மக்கள்தொகை அடிப்படையில்
ଅସାଧୁ,நேர்மையற்ற
bez-rule,bez-விதி
ବେଜ୍-ଥିଓରେମ୍ |,bez-theorem
bernoulli- ବଣ୍ଟନ |,பெர்னோலி-விநியோகம்
ବର୍ନୁଲି ସଂଖ୍ୟା |,பெர்னோலி எண்கள்
ବର୍ନୁଲି ସମ୍ଭାବ୍ୟ କାର୍ଯ୍ୟ |,பெர்னோலி நிகழ்தகவு செயல்பாடு
ବର୍ନୁଲି-ସମୀକରଣ |,பெர்னோலி-சமன்பாடு
ବେରୀ କାର୍ଯ୍ୟ,பெர்ரி செயல்பாடு
ସର୍ବୋତ୍ତମ ଆଡିଶିନ୍ |,சிறந்த ஒட்டுதல்
ସର୍ବୋତ୍ତମ ଆଡେସିନ୍ ରେଖା |,சிறந்த ஒட்டுதல் வரி
ସର୍ବୋତ୍ତମ ସମାଧାନ |,சிறந்த தீர்வு
ସର୍ବୋତ୍ତମ ଟିପ୍ସ |,சிறந்த குறிப்புகள்
ବିଟା ବଣ୍ଟନ |,பீட்டா விநியோகம்
"ପକ୍ଷପାତ, ପକ୍ଷପାତ |","சார்பு, சார்பு"
ପକ୍ଷପାତିତ ମୂଲ୍ୟାଙ୍କନ |,பாரபட்சமான மதிப்பீடு
ଦ୍ୱିପାକ୍ଷିକ ସମୀକରଣ |,ஈருறுப்புச் சமன்பாடு
ଏକକ କଭର |,ஒற்றை கவர்
ଏକକ କଭର ମାନଚିତ୍ର,ஒற்றை அட்டை வரைபடம்
ଏକକ କଭର ମ୍ୟାପିଂ |,ஒற்றை அட்டை மேப்பிங்
ଚତୁର୍ଭୁଜ ଚତୁର୍ଭୁଜ |,இருபடி இருபடி
ବିଲିନାର୍ ଫଙ୍କସନ୍,இருமுனை செயல்பாடு
bilinear hermitian homogeneity |,பைலினியர் ஹெர்மிடியன் ஒருமைப்பாடு
"ଦ୍ୱି-ଭେରିଏବଲ୍, ବାଇନାରୀ, ଡୁଆଲ୍ |","இருமாறு, இருமை, இரட்டை"
"ବାଇନାରୀ କୋଡ୍, ବାଇନାରୀ କୋଡ୍ |","பைனரி குறியீடு, பைனரி குறியீடு"
"ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ, ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ |","பைனரி குறியிடப்பட்ட தசம, பைனரி குறியிடப்பட்ட தசம"
ବାଇନାରୀ ଏନକୋଡିଂ |,பைனரி குறியாக்கம்
ବାଇନାରୀ କମ୍ପ୍ୟୁଟର |,பைனரி கணினி
ବାଇନାରୀ ସଂଖ୍ୟା,பைனரி எண்கள்
ବାଇନାରୀ ଅପରେସନ୍ |,பைனரி செயல்பாடு
ବାଇନାରୀ ପଦ୍ଧତି |,பைனரி முறை
ବାଇନାରୀ ଭେରିଏବଲ୍ |,பைனரி மாறி
ଦ୍ୱିପାକ୍ଷିକ ଗୁଣବତ୍ତା |,ஈருறுப்புக் குணகம்
ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ |,இருவகைப் பரவல்
ଦ୍ୱିପାକ୍ଷିକ ସମୀକରଣ |,ஈருறுப்புச் சமன்பாடு
ଦ୍ୱିପାକ୍ଷିକ ଭିନ୍ନତା |,இருவகை மாறுபாடு
ଦ୍ୱିପାକ୍ଷିକ ଅଭିବ୍ୟକ୍ତି |,இருமொழி வெளிப்பாடு
ଦ୍ୱିପାକ୍ଷିକ ରାଣ୍ଡମ୍ ଭେରିଏବଲ୍ |,ஈருறுப்பு சீரற்ற மாறி
ଦ୍ୱିପାକ୍ଷିକ ତତ୍ତ୍। |,ஈருறுப்பு தேற்றம்
"ଅଧା, ବିଫୁର୍କେସନ୍ |","பாதி, பிளவு"
"ବିସେକ୍ଟ ପଦ୍ଧତି, ସେମିଡିଭିଜନ୍ ପଦ୍ଧତି |","இரு பிரிவு முறை, அரைப்பிரிவு முறை"
ଅଧା ବିସେକ୍ଟର |,அரை இருசமவெட்டி
ଦ୍ୱିପାକ୍ଷିକ |,இருவகை
"ଡୱେଙ୍କ୍ (ବାଇନାରୀ ସଂଖ୍ୟା), ଅନି, ବର୍ମା, ଟୁକ୍ |","ட்வயங்க் (பைனரி எண்), அனி, பர்மிஸ், துக்"
ଦ୍ୱିପାକ୍ଷିକ ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ ଦ୍ୱିପାକ୍ଷିକ |,ஈருறுப்பு இருவகைப் பரவல் இருவகை
ବିଭାରିଏଟ୍ ସମ୍ପର୍କ କୋଏଫିସିଏଣ୍ଟ୍ |,இருவகை தொடர்பு குணகம்
ବିଭାରିଏଟ୍ ବଣ୍ଟନ |,இருவகை விநியோகம்
ସାଧାରଣ ବଣ୍ଟନ,இருவகை இயல்பான-விநியோகம்
ବିଭେକ୍ଟର୍ |,பைவெக்டர்
ବୋଲ୍ଟମ୍ୟାନ୍ ସମୀକରଣ |,போல்ட்மேன் சமன்பாடு
ବୁଲିୟନ୍ ବୀଜ ବର୍ଣ୍ଣନା *,பூலியன் இயற்கணிதம்*
ବୋଷ-ଆଇନଷ୍ଟାଇନ ପରିସଂଖ୍ୟାନ |,போஸ்-ஐன்ஸ்டீன் புள்ளிவிவரங்கள்
ସୀମିତତା ପ୍ରତିବନ୍ଧକ |,வரம்பு கட்டுப்பாடுகள்
ସୀମା ସ୍ତର |,எல்லை நிலை
ସୀମା ରେଖା |,எல்லைக் கோடு
ସୀମା ମୂଲ୍ୟ,வரம்பு மதிப்பு
ସୀମା ମୂଲ୍ୟ ସମସ୍ୟା |,எல்லை மதிப்பு பிரச்சனை
"ସୀମାବଦ୍ଧ କାର୍ଯ୍ୟ ସୀମିତ ଫଳ,",எல்லைக்குட்பட்ட செயல்பாடு எல்லைக்குட்பட்ட பழம்
"ସୀମାବଦ୍ଧ ମ୍ୟାଟ୍ରିକ୍ସ, ସୀମାବଦ୍ଧ ମ୍ୟାଟ୍ରିକ୍ସ, ସୀମାବଦ୍ଧ ଟେବୁଲ୍,","எல்லைக்குட்பட்ட அணி, எல்லைக்குட்பட்ட அணி எல்லைக்குட்பட்ட அட்டவணை"
"ସୀମାବଦ୍ଧ ଅଞ୍ଚଳ ସୀମାବଦ୍ଧ ଅଞ୍ଚଳ,",எல்லைக்குட்பட்ட பிரதேசம் எல்லைக்குட்பட்ட பிரதேசம்
"ସୀମାବଦ୍ଧ ସେଟ୍ ସୀମାବଦ୍ଧ ସେଟ୍,",எல்லைக்குட்பட்ட தொகுப்பு எல்லைக்குட்பட்ட தொகுப்பு
ବ୍ରାଉନି ଗତି |,பிரவுனி இயக்கம்
ଗଣନା କରିବାକୁ,கணக்கெடுக்க
ଗଣନା,கணக்கீடு
"କାଲକୁଲେଟର, କାଲକୁଲେଟର","கால்குலேட்டர், கால்குலேட்டர்"
ଗଣନା *,கணக்கீடு*
ଗଣନା କାର୍ଯ୍ୟ ପଦ୍ଧତି |,கணக்கீட்டு நடவடிக்கை முறை
"କାଲକୁଲେଟର, କାଲକୁଲେଟର","கால்குலேட்டர், கால்குலேட்டர்"
