Telugu,English
క్రౌన్ (మొక్క),Crown (plant)
ముక్క,Crumb
క్రస్ట్,Crust
క్రిప్టోమ్,Cryptogam
మెడ (పండ్లు),Cull (fruits)
కుల్మ్,Culm
సాగు,Cultivar
సాగు,Cultivation
సాగు,Cultivator
సంస్కృతి,Culture
క్యూరింగ్,Curing
కర్లింగ్,Curling
కరెన్సీ,Currency
క్యూటికల్,Cuticle
కట్టింగ్,Cutting
తిత్తి,Cyst
సైటోక్రోమ్,Cytochrome
సైటోగామి,Cytogamy
సైటోజెనిసిస్,Cytogenesis
సైటోజెనెటిక్స్,Cytogenetics
సైటోకినిసిస్,Cytokinesis
సైటోలజీ,Cytology
సైటోలిసిస్,Cytolysis
సైటోమీర్,Cytomere
సైటోప్లాజమ్,Cytoplasm
క్యాబేజీ,Cabbage
కాక్టస్,Cactus
కలేన్ద్యులా,Calendula
ఫలారిస్,Canary grass (phalaris)
Canna,Canna
కాపారిస్,Capparis
క్యాప్సికం,Capsicum
కారాంబోలా,Carambola
కారాపా,Carapa
ఏలకులు,Cardamom
కార్నేషన్,Carnation
కారెట్,Carrot
జీడి పప్పు,Cashew nut
కాసియా,Cassia
కాస్టర్,Castor
కాలీఫ్లవర్,Cauliflower
సెలెరీ,Celery
ఛాంపాక్,Champac
చెనోపోడియం,Chenopodium
చెర్రీ టమొూటా,Cherry tomato
చెర్రీ,Cherry
"చిక్పా, గ్రామ్","Chickpea, gram"
మిరపకాయలు,Chillies
చైనా టర్పెంటైన్ చెట్టు,China turpentine tree
చౌ చౌ,Chow-chow
క్రిసాన్తిమం,Chrysanthemum
"చుఫా, ఎర్త్ బాదం","Chufa, earth almond"
సికోరీ,Cichory
దాల్చిన చెక్క,Cinnamon
సిట్రాన్,Citron
సిట్రోనెల్లా గడ్డి,Citronella grass
క్లైంబింగ్ జాస్మిన్,Climbing jasmine
లవంగం,Clove
క్లస్టర్ బీన్,Cluster bean
కోకో,Cocoa
కొబ్బరి,Coconut
కాఫీ,Coffee
కోలియస్,Coleus
కోలోకాసియా,Colocasia
"కోలోసిన్త్, చేదు ఆపిల్","Colocynth, bitter apple"
సాధారణ పర్స్లేన్,Common purslane
కొత్తిమీర,Coriander
పత్తి,Cotton
కౌపీయా,Cowpea
క్యూబ్బ్,Cubeb
దోసకాయ,Cucumber
కుకుర్బిట్స్,Cucurbits
జీలకర్ర,Cumin
కరివేపాకు ఆకు,Curry leaf
సీతాఫలం,Custard apple
క్యాప్సూల్ బోరర్,Capsule borer
గొంగళి పురుగు,Caterpiller
సిట్రస్ సైలా,Citrus psylla
క్రికెట్,Cricket
కాకి,Crow
కట్ పురుగు,Cut worm
పాల,Dairy
పాల,Dairying
ఆనకట్ట,Dam
రోజు-తటస్థ,Day-neutral
పుష్పించే రోజుల తరువాత,Days after flowering
పూర్తి బ్లూమ్ తర్వాత రోజులు,Days after full bloom
డెబ్లోసింగ్,Deblossoming
డీకాల్సిఫికేషన్,Decalcification
డికాంట్,Decant
క్షయం,Decay
ఆకురాల్చే,Deciduous
దశాంశం,Decimal
లోపం,Deficiency
మట్టి,Deflocculation (soil)
డెఫ్లోరేషన్,Defloration
డీఫోలియేషన్,Defoliation
అటవీ నిర్మూలన,Deforestation
క్షీణత,Degeneration
క్షీణత,Degradation
డిగ్రీ రోజులు,Degree days
డిగ్రీ,Degree
డీహిస్సెన్స్,Dehiscence
డెహల్లింగ్,Dehulling
డెహస్కింగ్,Dehusking
నిర్జలీకరణం,Dehydration
డీహైడ్రేటర్,Dehydrator
డిమాండ్,Demand
డీనాటరేషన్,Denaturation
తిరస్కరణ,Denudation
డిపాజిట్,Deposit
నిక్షేపణ,Deposition
తరుగుదల డీసాలినైజేషన్,Depreciation desalinization
డీసికేషన్,Desiccation
రూపకల్పన,Design
డెస్సికేటర్,Dessicator
డెస్టొనింగ్,Destoning
డెస్కరింగ్,Desuckering
డెసినాప్సిస్,Desynapsis
డిటాసెల్,Detassel
డిటాసెలింగ్,Detasseling
నిర్ణయాధికారి,Determinant
విలువ తగ్గింపు,Devaluation
డివెగెటేషన్,Devegetation
విచలనం,Deviation
డైడ్,Diad
రోగ నిర్ధారణ,Diagnosis
డైకోగామి,Dichogamy
డైకోటోమి,Dichotomy
విత్తనం,Dicotyledon (seed)
డై బ్యాక్ (వ్యాధి),Die back (disease)
విస్తరణ,Diffusion
డైజెస్టిబిలిటీ,Digestibility
డైహైబ్రిడ్,Dihybrid
ఒక రకానికి చెందిన వ్యక్తి,Dike (dyke)
పలుచన,Dilute
డైయోసియస్,Dioecious
డిప్లాయిడ్,Diploid
డిప్లాయిడ్,Diploid
డిప్లొనెమా,Diplonema
విడదీయడం,Disbudding
డిస్కింగ్,Discing
డిస్కౌంట్,Discount
క్రిమిసంహారక,Disinfection
చెదరగొట్టడం,Dispersion
వ్యాప్తి,Dissemination
వైవిధ్యీకరణ,Diversification
వైవిధ్యభరితమైన వ్యవసాయం,Diversified farming
DNA నిచ్చెన,DNA Ladder
DNA రిసెప్టర్,DNA receptor
డాకేజ్,Dockage
ఆధిపత్యం,Dominant
నిద్రాణస్థితి,Dormancy
మోతాదు,Dose
డబుల్ సిగ్మోయిడ్ కర్వ్,Double sigmoid curve
ముసాయిదా (ముసాయిదా),Draft (draught)
హరించడం,Drain
పారుదల,Drainage
డ్రా,Draw
డ్రించింగ్,Drenching
డ్రెస్సింగ్ (విత్తనం),Dressing (seed)
డ్రిల్ (ఎన్.),Drill (n.)
డ్రిల్లింగ్ (ఎగ్. ఇంజిగ్),Drilling (ag. engg)
వ్యవసాయ శాస్త్రం,Drilling (agronomy)
బిందు సేద్యం,Drip irrigation
డ్రైలాండ్ వ్యవసాయం,Dryland farming
దుమ్ము,Dust
డస్టర్,Duster
దుమ్ము,Dusting
మరగుజ్జు,Dwarf
మరగుజ్జు పిరమిడ్,Dwarf pyramid
మరగుజ్జు,Dwarfing
డైసీ,Daisy
తేదీలు,Dates
రోజు జాస్మిన్,Day jasmine
మెంతులు,Dill
దిననాథ్ గడ్డి,Dinanath grass
డాడర్,Dodder
"డూబ్ గడ్డి, బెర్ముడా గడ్డి","Doob grass, bermuda grass"
డ్రూస్,Druce
పొడి అల్లం,Dry ginger
బీటిల్‌ను డీఫోలైట్ చేస్తుంది,Defoliating beetle
డ్రోన్,Drone
బాతు,Duck
ఎకాలజీ,Ecology
ఎకోనొమెట్రిక్స్,Econometrics
ఆర్థిక సామర్థ్యం,Economic efficiency
ఎకోటైప్,Ecotype
ఎక్టోట్రోఫిక్,Ectotrophic
ఎడాఫిక్,Edaphic
ఎడాఫాలజీ,Edaphology
అంచు,Edging
తినదగిన భాగం,Edible part
డిమాండ్ యొక్క స్థితిస్థాపకత,Elasticity of demand
ఉత్పత్తి యొక్క స్థితిస్థాపకత,Elasticity of production
విద్యుద్విశ్లేషణ,Electrolysis
ఎలెక్ట్రోఫోరేసిస్,Electrophoresis
ఎలివియేషన్,Eluviation
ఎమాస్క్యులేటర్,Emasculator
ఎంబాంకింగ్,Embanking
పిండం,Embryo
పిండశాస్త్రం,Embryology
ఆవిర్భావం,Emergence
ఎమల్సిఫైయర్,Emulsifier
ఎండోజెనస్,Endogenous
ఎండోమిటోసిస్,Endomitosis
ఎండోపరాసైట్,Endoparasite
ఎండోస్పెర్మ్,Endosperm
ఎంటర్ప్రైజ్,Enterprise
కీటకాలజీ,Entomology
పర్యావరణం,Environment
ఎంజైమ్,Enzyme
ఎపికోటిల్ అంటుకట్టుట,Epicotyl grafting
ఎపిఫైట్,Epiphyte
ఈక్విటీ,Equity
నిర్మూలన,Eradication
అవసరమైన పోషకాలు,Essential nutrients
అంచనా,Estimation
ఎటిలేషన్,Etiolation
యూజెనిక్,Eugenic
మూల్యాంకనం,Evaluation
ఆవిరిపోటు,Evaporimeter
ఇవాపో-ట్రాన్స్పిరేషన్,Evapo-transpiration
ఎవర్‌గ్రీన్ విప్లవం,Evergreen revolution
సతత హరిత,Evergreen
పరిణామం,Evolution
ఎక్సైజ్,Excise
అలసట,Exhaustion (fertility)
దోపిడీ,Exploitation
అన్వేషణ,Exploration
ఎక్స్‌ట్రషన్,Extrusion
కళ్ళు,Eye (sugercane/potato)
తినదగిన పైన్,Edible pine
"ఏనుగు పాదం, యమ","Elephant foot, yam"
యూకలిప్టస్,Eucalyptus
వానపాము,Earthworm
కీటక శాస్త్రవేత్త,Entomologist
పర్యావరణవేత్త,Environmentalist
కారకం,Factor
కారకాల ఉత్పాదకత,Factor productivity
కారకం,Factorage
కారకమైన బ్లాక్ డిజైన్,Factorial block design
ఫ్యాకల్టీ,Facultative
ఫాలో,Fallow
కుటుంబం,Family
వ్యవసాయ మదింపు,Farm appraisal
వ్యవసాయ బడ్జెట్,Farm budgeting
వ్యవసాయ వ్యాపారం,Farm business
వ్యవసాయ ప్రణాళిక,Farm planning
రైతు,Farmer
వ్యవసాయం,Farming
ఫాసియేషన్,Fasciation
మలం,Fecundation
కిణ్వ ప్రక్రియ,Fermentation
సంతానోత్పత్తి,Fertility
ఎరువులు,Fertilizer
ఎరువుల వినియోగ సామర్థ్యం,Fertilizer use efficiency
ఫైబరస్,Fibrous
ఫీల్డ్,Field
క్షేత్ర సామర్థ్యం,Field capacity
క్షేత్ర ప్రదర్శన,Field demonstration
స్థిరీకరణ,Fixation
వరదలు,Flooding
ప్రవాహ రేఖ చిత్రం,Flow diagram
ఆహార విలువ,Food value
మేట,Forage (fodder)
అంచనా,Forecasting
అటవీ,Forest
అటవీప్రాంతం,Forestation
ఫ్రాండ్,Frond
ఫ్రాస్ట్ రెసిస్టెంట్,Frost resistant
ఫ్రాస్ట్,Frost
స్తంభింపచేసిన (పండు & కూరగాయలు),Frozen (fruit & vegetable)
ఫలితం,Fructification
ఫ్రూట్ డ్రాప్,Fruit drop
పండు-సెట్ (పండ్ల అమరిక),Fruit-set (fruit setting)
ధూమపానం,Fumigation
శిలీంద్ర సంహారిణి,Fungicide
శిలీంధ్ర,Fungistatic
ఫంగస్,Fungus
ఫ్యూరో,Furow
ఫ్యూజన్,Fusion
ఫజ్,Fuzz
మసక,Fuzzy
"ఫెన్నెల్, సోంపు","Fennel, anise"
FENUGREEK,Fenugreek
అత్తి,Fig
ఫింగర్ మిల్లెట్,Finger millet
ఫైర్-ఫ్లేమ్ బుష్,Fire-flame bush
అటవీ జ్వాల,Flame of forest
ఫ్రెంచ్ బీన్,French bean
ఫ్లీ,Flea
ఫాక్స్,Fox
ఫ్రూట్ ఫ్లై,Fruit fly
పిత్తాశయం,Gall (Hort)
గామేట్,Gamete
తోట,Garden
గేజ్ (నీరు),Gauge (water)
జీన్ బ్యాంక్,Gene bank
జన్యు ట్యాగింగ్,Gene tagging
జన్యుశాస్త్రం,Geneology
జన్యు పటం,Genetic map
జన్యుశాస్త్రం,Genetics
జన్యువు,Genome
జెనోమిక్ లైబ్రరీ,Genomic library
జెనోమిక్స్,Genomics
జన్యురూపం,Genotype
జన్యురూపం,Genotype
జాతి,Genus
జాతి,Genus
జెర్మ్,Germ
జెర్మిసైడ్,Germicide
అంకురోత్పత్తి,Germination
జెర్మ్ప్లాజమ్,Germplasm
గిబ్బెరెల్లిక్ ఆమ్లం,Gibberellic acid
జిన్నింగ్,Ginning
గ్లూమ్,Glume
గ్లూటినస్,Glutinous
గ్లైకోలిసిస్,Glycolysis
గ్నిస్,Gneiss
గోల్డెన్ రివల్యూషన్,Golden revolution
గ్రేడింగ్,Grading
అంటు వేసిన మొక్క,Grafted plant
అంటుకట్టుట-అపజయం,Graft-incompatible
గ్రన్నా,Granna
గ్రాన్యులేషన్,Granulation
ఆకుపచ్చ ఎరువు,Green manure
హరిత విప్లవం,Green revolution
పెరుగుదల మరియు అభివృద్ధి,Growth and development
గుమ్మోసిస్,Gummosis
గైనోడియోసియస్,Gynodioecious
పిత్తాశయ గింజ,Gall nut
వెల్లుల్లి,Garlic
గెర్బెరా,Gerbera
గెర్కిన్,Gherkin
అల్లం,Ginger
గ్లాడియోలస్,Gladiolus
మేక కలుపు (అగెరాటమ్),Goat weed (ageratum)
ద్రాక్షపండు,Grapefruit
ద్రాక్ష,Grapes
ఆకుపచ్చ గ్రామ్,Green gram
గ్రెవియా,Grewia
వేరుశనగ,Groundnut
గువా,Guava
గినియా గడ్డి,Guinea grass
