Gujarati,Bengali
શ્રવણશક્તિ એટેન્યુએશન,শাব্দিক মনোযোগ ধ্রুবক
શ્રવણની ભીનાશ,শাব্দিক স্যাঁতসেঁতে
ધ્વનિ વિલંબ રેખા,শাব্দিক বিলম্ব লাইন
ધ્વનિની વિકૃતિ,শাব্দিক বিকৃতি
શ્રવણ નલિક,শাব্দিক নালী
શ્રવણશક્તિ,শাব্দিক শক্তি
શ્રવણશક્તિ,শাব্দিক প্রতিক্রিয়া
શ્રદ્ધ ફિલ્ટર,শাব্দিক ফিল্টার
શ્રવણનો અવરોધ,শাব্দিক প্রতিবন্ধকতা
ધ્વનિ -પ્રચાર,শাব্দিক প্রচার ধ্রুবক
શ્રવણ પ્રતિકાર,শাব্দিক প্রতিরোধের
ધ્વનિભ્રમણાથી ઇન્સ્યુલેટેડ,শাব্দিকভাবে অন্তরক
ધ્વનિશાસ્ત્ર,অ্যাকোস্টিকস
સંપાદન,অধিগ্রহণ
ટૂંકાક્ષર,সংক্ষিপ্ত বিবরণ
કાર્યવાહી ક્ષેત્ર,অ্যাকশন এরিয়া
સક્રિય ફિલામેન્ટ,সক্রিয় ফিলামেন্ট
સક્રિય,সক্রিয়
સક્રિય ક્ષેત્ર,সক্রিয় এলাকা
સક્રિય બારી,সক্রিয় উইন্ডো
અનુકૂલનક્ષમતા,অভিযোজনযোগ্যতা
એડેપ્ટર (એડેપ્ટર),অ্যাডাপ্টার (অ্যাডাপ্টার)
અનુકૂલનશીલ વિભેદક પલ્સ મોડ્યુલેશન,অভিযোজিত ডিফারেনশিয়াল পালস কোড মড্যুলেশন
સરનામા પુસ્તિકા,ঠিকানা বই
સરનાવ બસ,ঠিকানা বাস
ઠરાવ,ঠিকানা রেজোলিউশন
સંલગ્ન ચેનલ દખલ,সংলগ্ন চ্যানেল হস্তক্ষেপ
સંલગ્ન ચેનલ પસંદગી,সংলগ্ন চ্যানেল নির্বাচন
સંલગ્ન આવર્તન,সংলগ্ন ফ্রিকোয়েন্সি
સંલગ્ન આવર્તન ચેનલ,সংলগ্ন ফ্রিকোয়েন্সি চ্যানেল
અડીને ચિત્ર વાહક,সংলগ্ন ছবি ক্যারিয়ার
અડીને ધ્વનિ વાહક,সংলগ্ন সাউন্ড ক্যারিয়ার
સંલગ્ન મથક,সংলগ্ন স্টেশন
ગોઠવણપાત્ર,সামঞ্জস্যযোগ্য
ગોઠવણપાત્ર કન્ડેન્સર,সামঞ্জস্যযোগ্য কনডেন্সার
ગોઠવણ,সামঞ্জস্য চাপ
સમાયોજન,সামঞ্জস্য করা রেঞ্চ
સમાયોજન,সামঞ্জস্য
વહીવટકર્તા,প্রশাসক
અદ્યતન ટેકનોલોજી,উন্নত প্রযুক্তি
હવાઈ,এরিয়াল
હવાઈ ​​એરે,এরিয়াল অ্যারে
હવાઈ ​​બૂસ્ટર,এরিয়াল বুস্টার
હવાઈ ​​પ્રવાહ,এরিয়াল কারেন্ট
હવાઈ ​​કમાણી સ્વીચ,এরিয়াল আর্থিং সুইচ
હવાઈ ​​કાર્યક્ષમતા,বায়বীয় দক্ষতা
હવાઈ ​​અવરોધ,বায়বীয় প্রতিবন্ধকতা
હવાઈ ​​લિટક્શન,এরিয়াল ইন্ডাক্ট্যান্স
હવાઈ ​​ઇન્સ્યુલેટર,এরিয়াল ইনসুলেটর
હવાઈ ​​લોડિંગ કોઇલ,এরিয়াল লোডিং কয়েল
હવાઈ ​​ફોટોગ્રાફી,আকাশ থেকে ছবি তোলা
હવાઈ ​​શક્તિ,বায়বীয় শক্তি
હવાઈ ​​કિરણોત્સર્ગ,বায়বীয় বিকিরণ পুনর্নির্মাণ
હવાઈ ​​પ્રતિક્રિયા,বায়বীয় বিক্রিয়া
વાયુમિશ્રણશાસ્ત્ર,এয়ারোডাইনামিক্স
સંસ્થા,এজেন্সি
હવાઈ ​​સંકોચન,বায়ু সংকোচকারী
હવાઈ ​​કન્ડેન્સર,এয়ার কনডেন্সার
હવાઈ ​​ઠંડુ,ঠান্ডা বাতাস
હવાઈ ​​બાંધેલી કોથળી,বায়ু কর্ড কয়েল
વાતાનુકૂલન,এয়ারকন্ডিশনিং
અલ્બેડો,আলবেডো
અલ્ગોરિધમનો,অ্যালগরিদম
પરવાના,এলিয়াসিং
સંલગ્ન,সারিবদ্ধ
ગોઠવણી,প্রান্তিককরণ
બધા તરંગ હવાઈ,সমস্ত তরঙ্গ বিমান
ફાળવણી,বরাদ্দ
વર્ણાનુક્રમ,বর্ণমালা
મૂર્તિમંત,বর্ণমালা
વર્ણ -અક્ષર,আলফানিউমেরিক চরিত্র
વર્ણ -મૂર્તિમંત માહિતી,আলফানিউমেরিক তথ্য
વૈકલ્પિક વર્તમાન (એ.સી.),বিকল্প বর্তমান (এ.সি.)
એકાંતરણ,বিকল্প
પરાકારી,বিকল্প
Altંચાઈ,উচ্চতা
અનુગામી alt ંચાઇ,অপোজির উচ্চতা
પેરગીની alt ંચાઇ,পেরিগির উচ্চতা
કલાપ્રેમી રેડિયો સંચાર,অপেশাদার রেডিও যোগাযোগ
વાતાવરણ,পরিবেশ
આજુબાજુના માઇક્રોફોન,পরিবেশ মাইক্রোফোন
આસપાસની શરત,পরিবেষ্টিত অবস্থা
આસપાસની આજુબાજુની પ્રકાશ,পরিবেষ্টনকারী আলো
આજુબાજુનો અવાજ,পরিবেষ্টিত শব্দ
આસપાસનું તાપમાન,পরিবেষ্টিত তাপমাত্রা
અમેરિકન માનક સંહિતા,আমেরিকান স্ট্যান্ডার্ড কোড
ષડયંત્ર,অ্যাম্পিয়ার
Amાંદું મીટર,অ্যাম্পের মিটার
વિસ્તૃત કરવું તે,পরিবর্ধন
વિસ્તૃત પરિબળ,প্রশস্তকরণ ফ্যাক্টর
પ્રવેધક,পরিবর্ধক
વિપુલ લાભ,পরিবর্ধক লাভ
એમ્પ્લીફાયર અવાજ,পরিবর্ধক শব্দ
વિસ્તૃત સાધનસામગ્રી,পরিবর্ধক সরঞ্জাম
ક્લીસ્ટ્રોનને વિસ્તૃત કરવું,ক্লাইস্ট্রনকে প্রশস্তকরণ
વિસ્તૃત એકમ,পরিবর্ধক ইউনিট
કંપનવિસ્તાર,প্রশস্ততা
કંપનવિસ્તારની વિકૃતિ,প্রশস্ততা বিকৃতি
કંપનવિસ્તાર,প্রশস্ততা ভ্রমণ
કંપનવિસ્તાર પરિબળ,প্রশস্ততা ফ্যাক্টর
મર્યાદિત મર્યાદા,প্রশস্ততা সীমাবদ্ধ
કંપનવિસ્તાર -મોડ્યુલેટેડ,প্রশস্ততা মোডুলেটেড
કંપનલી -મોડ્યુલેશન,প্রশস্ততা মড্যুলেশন
એનાલોગ (એનાલોગ),অ্যানালগ (অ্যানালগ)
એનાશ,অ্যানালগ সার্কিট
એનાલોગ કમ્પ્યુટર,অ্যানালগ কম্পিউটার
એનાલોગ રેડિયો આવર્તન ચેનલ માટે એનાલોગ રેડિયો આવર્તન ચેનલ,অ্যানালগ রেডিও ফ্রিকোয়েন্সি চ্যানেল
મનોલોગ પ્રતિનિધિત્વ,অ্যানালগ উপস্থাপনা
એનાલોગ સંકેત,এনালগ সংকেত
ડિજિટલથી એનાલોગ,ডিজিটাল অ্যানালগ
ડિજિટલ કન્વર્ટર માટે એનાલોગ,ডিজিটাল কনভার্টারে অ্যানালগ
એટાલી -વિડિઓ,অ্যানালগ ভিডিও
સમાન,সাদৃশ্য
સાદ્રશ્ય,উপমা
વિશ્લેષણ,বিশ্লেষণ
આંકડા,ডেটা বিশ্লেষণ
વિશ્લેષણાત્મક ઘનતા,বিশ্লেষণাত্মক ঘনত্ব
વિશ્લેષણ કરવું,বিশ্লেষণ করুন
વિશ્લેષક,বিশ্লেষক
સૌધિતિક સાધનસામગ્રી,আনুষঙ্গিক সরঞ্জাম
અને દરવાજો,এবং গেট
ખાત્ય ખૂણા,কলিমেশন কোণ
ધ્રુવીકરણ ખૂણા,মেরুকরণের কোণ
પરિભ્રમણ,ঘূর্ণনের কোণ
એંગસ્ટ્રોમ (Å),অ্যাংস্ট্রোম (Å)
કોણીય,কৌণিক
કોતરણી પ્રવેગક,কৌণিক ত্বরণ
કોતરણી સમન્વય,কৌণিক সমন্বয়
કોતરણી,কৌণিক ডিফ্লেশন
કોમણ -ફેલાવો,কৌণিক বিচ্ছুরণ
કોણીય વિસ્થાપન,কৌণিক স্থানচ্যুতি
કોણીય ભૂલ,কৌণিক ত্রুটি
કોણીય આવર્તન,কৌণিক কম্পাংক
કોતરણી ગતિ,কৌণিক ভরবেগ
કોણીય ગતિ,কৌণিক গতি
કોતરણી વેગ,কৌণিক বেগ
પ્રસન્નતા,অ্যানিমেশন
એનોડ,আনোড
એનોડ બ batteryણ,আনোড ব্যাটারি
એનોડ લાક્ષણિકતા,অ্যানোড বৈশিষ্ট্য
એનોડ સર્કિટ,আনোড সার্কিট
એનોડ વિઘટન,অ্যানোড অপচয়
એનોડ કાર્યક્ષમતા,আনোড দক্ষতা
એનોડ ઇનપુટ પાવર,আনোড ইনপুট শক্তি
એનોડ મોડ્યુલેશન,অ্যানোড মড্যুলেশন
એન્ટેના,অ্যান্টেনা
એન્ટેના બીમવિડ્થ,অ্যান্টেনা বিমউইথ
એન્ટેના,অ্যান্টেনা বুস্টার
એન્ટેના ચેન્જઓવર સ્વીચ,অ্যান্টেনা চেঞ্জওভার সুইচ
કોઇ,অ্যান্টেনা কয়েল
એન્ટેના રૂપરેખાંકન,অ্যান্টেনা কনফিগারেশন
એન્ટેના કપડા,অ্যান্টেনা কাপলার
એન્ટેના ક્રોસ ધ્રુવીય પદ્ધતિ,অ্যান্টেনা ক্রস পোলার প্যাটার্ন
એન્ટેના પ્રવાહ,অ্যান্টেনা কারেন্ট
એન્ટેના નિર્દેશન લાભ,অ্যান্টেনা ডাইরেক্টিভিটি লাভ
એન્ટેના ડુપ્લેક્સર,অ্যান্টেনা ডুপ্লেক্সার
એન્ટેના અસરકારક ક્ષેત્ર,অ্যান্টেনা কার্যকর অঞ্চল
વૈશ્વિક કાર્યક્ષમતા,অ্যান্টেনা দক্ষতা
એન્ટેના ફીડ,অ্যান্টেনা ফিড
એન્ટેના પગની છાપ,অ্যান্টেনা ফুট প্রিন্ট
એન્ટેના લાભ,এন্টেনা
એન્ટેના height ંચાઇ,অ্যান্টেনার উচ্চতা
એન્ટેના અવરોધ,অ্যান্টেনা প্রতিবন্ধকতা
એન્ટેના,অ্যান্টেনা ইন্ডাক্ট্যান্স
એન્ટેનાનો દાખલો,অ্যান্টেনা প্যাটার্ন
એન્ટેના નાવિક,অ্যান্টেনা প্লেক্সার
એન્ટેના ધ્રુવીકરણ,অ্যান্টেনা মেরুকরণ
એન્ટેના શક્તિ,অ্যান্টেনা শক্তি
એન્ટેના વીજળી લાભ,অ্যান্টেনা পাওয়ার লাভ
એન્ટેના રેડિયેશન પ્રતિકાર,অ্যান্টেনা বিকিরণ প্রতিরোধের
એન્ટેના પ્રતિક્રિયા,অ্যান্টেনা প্রতিক্রিয়া
એન્ટેના પરાવર્તક,অ্যান্টেনা প্রতিচ্ছবি
એન્ટેના પ્રતિકાર,অ্যান্টেনা প্রতিরোধের
એન્ટેના પડઘો આવર્તન,অ্যান্টেনা অনুরণিত ফ্রিকোয়েন্সি
એન્ટેના અંતર,অ্যান্টেনা ব্যবধান
એન્ટેના સ્વિચિંગ રૂમ,অ্যান্টেনা স্যুইচিং রুম
એન્ટેના ટ્યુનિંગ કોઇલ,অ্যান্টেনা টিউনিং কয়েল
એન્ટેના ટ્યુનિંગ ઝૂંપડી,অ্যান্টেনা টিউনিং হাট
છિદ્ર,অ্যাপারচার
પ્રાણઘાતક,অপোজি
અજેતા રોકેટ,অ্যাপোজি রকেট
ઉપકરણ,যন্ত্রপাতি
સ્પષ્ટ,আপাত
સાદડી,অ্যাপলেট
નિયમ,আবেদন
આશરે,আনুমানিক
જળસ,জলীয় সমাধান
ચાપ,আর্ক
સ્થાપત્ય,আর্কিটেকচার
ધ્વનિ રેકોર્ડિંગનું આર્કાઇવલ ટ્રાન્સફર,সাউন্ড রেকর্ডিংয়ের সংরক্ষণাগার স্থানান্তর
દફ્તર,সংরক্ষণাগার
અંકગણિત કોડિંગ,গাণিতিক কোডিং
હાથ,আর্মার
આર્મચર વિન્ડિંગ,আর্ম্যাচার বাতাস
કળ,অ্যারে
કરચલો,অ্যারেস্টার
સ્પષ્ટીકરણ,বক্তৃতা
આર્ટિફેક્ટ (= આર્ટિફેક્ટ),আর্টিফ্যাক্ট (= আর্টফ্যাক্ট)
ચડતું,আরোহী
પાસા ગુણોત્તર,আনুমানিক অনুপাত
ભેગા કરનાર,এসেম্বলার
નિશ્ચય,দাবী
સોંપણી,অ্যাসাইনমেন্ট
નાબૂદ,অ্যাসাইনমেন্ট চ্যানেল
અસમપ્રમાણ,অসম্পূর্ণ
અસુમેળવાળું,অ্যাসিঙ্ক্রোনাস
વાતાવરણ,বায়ুমণ্ডল
વાતાવરણીય નુકસાન,বায়ুমণ্ডলীয় ক্ষতি
વાતાવરણીય અવાજ,বায়ুমণ্ডলীয় শব্দ
વાતાવરણ નુ દબાણ,বায়ুমণ্ডলীয় চাপ
વાતાવરણીય પ્રચાર,বায়ুমণ্ডলীয় প্রচার
વાતાવરણીય તરંગ,বায়ুমণ্ডলীয় রেডিও-তরঙ্গ
વાતાવરણીય,বায়ুমণ্ডল
અણુ,পরমাণু
અણુનું માળખું,পারমাণবিক গঠন
જોડાણ,সংযুক্তি
વ્યવહાલ,মনোযোগ
અંતરચળી,মনোযোগ ক্ষতি
ધ્વનિ તરંગો,শব্দ তরঙ্গের মনোযোগ
હલકાઈ કરનાર,অ্যাটেনুয়েটর
વિકેન્દ્ર,অ্যাটেনুয়েটর-প্যাড
શ્રદ્ધાળુ થ્રેશોલ્ડ,অডিবিলিটি থ্রেশহোল্ড
શ્રાવ્ય,শ্রুতিমধুর
શ્રાવ્ય આવર્તન,শ্রুতিমধুর ফ্রিকোয়েন্সি
શિરદર્શક સ્વર,শ্রুতিমধুর সুর
શિરદર્શક,শ্রুতি-বর্ণালী
શ્રોતા,শ্রোতা
Audડિસ,শ্রুতি
Audio ડિઓ એમ્પ્લીફાયર,অডিও পরিবর্ধক
Audio ડિઓ વિશ્લેષક,অডিও বিশ্লেষক
Audio ડિઓ બ્રોડકાસ્ટિંગ,অডিও সম্প্রচার
Audષધિસનું aution ડિઓબલ,অডিও কেবল
શાસ્ત્ર,অডিও চেইন
કડકા,অডিও কোডেক
Audતુ),অডিও সংক্ষেপণ
કોમ્પ્રેસર,অডিও সংক্ষেপক
Audio ડિઓ કન્સોલ,অডিও কনসোল
Audio ડિઓની વિકૃતિ,অডিও বিকৃতি
Dynamડિસ,অডিও গতিশীল পরিসীমা
Audio ડિઓ ફાઇલ ફોર્મેટ,অডিও ফাইল ফর্ম্যাট
Audio ડિઓ ફ્રેમ ફોર્મેટ,অডিও ফ্রেম ফর্ম্যাট
Audio ડિઓ આવર્તન એમ્પ્લીફાયર,অডিও ফ্রিকোয়েন্সি পরিবর্ধক
Audio ડિઓ આવર્તન જનરેટર,অডিও ফ্রিকোয়েন্সি জেনারেটর
Audio ડિઓ આવર્તન શ્રેણી,অডিও ফ্রিকোয়েন্সি ব্যাপ্তি
Audio ડિઓ આવર્તન પ્રતિસાદ,অডিও ফ্রিকোয়েন্সি প্রতিক্রিয়া
સત્તાધિકારી,অডিও সীমাবদ্ধ
Audષધિ,অডিও লাইন
Audડિસર,অডিও মিক্সার
Audio ડિઓ મોડ્યુલેશન,অডিও মড্যুলেশন
ઓડિસ -ઓસિલેટર,অডিও দোলক
Audio ડિઓ આઉટપાત,অডিও আউটপুট
Auth ડિઓ સત્તાની સત્તા,অডিও শক্তি
કવિતા,অডিও মানের
શ્રદ્ધા,অডিও সংকেত
Audio ડિઓ સિગ્નલ પ્રક્રિયા,অডিও সিগন্যাল প্রসেসিং
Audio ડિઓ સ્પેક્ટ્રમ,অডিও বর্ণালী
Audio ડિઓ સંગ્રહ,অডিও স্টোরেজ
Audડિસ,অডিও সাব-ক্যারিয়ার
ઈડનીસ પરિશ્રમ,অডিও ট্রান্সফর্মার
Audio ડિઓ ટ્રાન્સમીટર,অডিও ট্রান্সমিটার
Audio ડિઓ/વિડિઓ કમ્પ્રેશન,অডিও/ভিডিও সংক্ষেপণ
Audડ-આવર્તન ઓસિલેટર,অডিও-ফ্রিকোয়েন্সি দোলক
પુનરાવર્તન સંકેત,অডিও-ফ্রিকোয়েন্সি সিগন্যাল
કવિતા,অডিওমেট্রি
વિઝ્યુઅલી સહાય,অডিও-ভিজ্যুয়াল সহায়তা
ઉપદેશની ધારણા,শ্রুতি উপলব্ধি
પ્રમાણીકરણ,প্রমাণীকরণ
અધિકૃત વાહક આવર્તન,অনুমোদিত ক্যারিয়ার ফ্রিকোয়েন্সি
ઓટો કેડ,অটো ক্যাড
સ્વત -નિદાન,অটো ডায়াগনস্টিকস
સ્વચાલિત,স্বয়ংক্রিয়
સ્વચાલિત નિયંત્રણ,স্বয়ংক্রিয় নিয়ন্ত্রণ
સ્વચાલિત તપાસ,স্বয়ংক্রিয় সনাক্তকরণ
સ્વચાલિત સાધનો,স্বয়ংক্রিয় সরঞ্জাম
સ્વચાલિત આવર્તન નિયંત્રણ,স্বয়ংক্রিয় ফ্রিকোয়েন্সি নিয়ন্ত্রণ
સ્વચાલિત મર્યાદા,স্বয়ংক্রিয় সীমাবদ্ধ
સ્વચાલિત યંત્ર,স্বয়ংক্রিয় মেশিন
આપમેળે phાંકણું નિયંત્રણ,স্বয়ংক্রিয় ফ্যাসি নিয়ন্ত্রণ
સ્વચાલિત ચિત્ર પ્રસારણ,স্বয়ংক্রিয় চিত্র সংক্রমণ
સ્વચાલિત પ્લેબેક,স্বয়ংক্রিয় প্লেব্যাক
સ્વચાલિત વીજળી નિયંત્રણ,স্বয়ংক্রিয় শক্তি নিয়ন্ত্রণ
સ્વચાલિત કાર્યક્રમ,স্বয়ংক্রিয় প্রোগ্রামিং
સ્વચાલિત રેકોર્ડિંગ,স্বয়ংক্রিয় রেকর্ডিং
સ્વચાલિત ફરીથી સેટ કરવું,স্বয়ংক্রিয় রিসেট
સ્વચાલિત શટર,স্বয়ংক্রিয় শাটার
સ્વચાલિત પદ્ધતિ,স্বয়ংক্রিয় সিস্টেম
સ્વચાલિત ટેલિફોન,স্বয়ংক্রিয় টেলিফোন
સ્વચાલિત તાપમાને નિયંત્રણ,স্বয়ংক্রিয় তাপমাত্রা নিয়ন্ত্রণ
સ્વચાલિત વોલ્ટેજ નિયમનકાર,স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রক
સ્વચાલિત વોલ્યુમ કોમ્પ્રેસર,স্বয়ংক্রিয় ভলিউম সংক্ষেপক
સ્વચાલિત વોલ્યુમ નિયંત્રણ,স্বয়ংক্রিয় ভলিউম নিয়ন্ত্রণ
સ્વચાલિત વોલ્યુમ વિસ્તૃતર,স্বয়ংক্রিয় ভলিউম এক্সপেন্ডার
સ્વચાલિતતા,অটোমেশন
સ્વચાલિત નિયંત્રણ,অটোমেশন নিয়ন্ত্রণ
સ્વચાલિત આવર્તન નિયંત્રક,অটোমেশন ফ্রিকোয়েন্সি নিয়ামক
સહાયક,সহায়ক
સહાયક audio ડિઓ બસ,সহায়ক অডিও বাস
ઉપલબ્ધ શક્તિ,উপলব্ধ শক্তি
હિમપ્રપાત,তুষারপাত ভাঙ্গন
સરેરાશ,গড় আয়ু
સરેરાશ દબાણ,গড় চাপ
સામન્ય ગતિ,গড় গতি
સ્પિનનો ધરી,স্পিনের অক্ষ
અઝિમુથ,আজিমুথ
અજીમુથ ખૂન,আজিমুথ কোণ
અઝીમુથ ભૂલ,আজিমুথ ত্রুটি
પાછલી બાજુ,পিছনে আলো
પૂર્વ -પ્રક્ષેપણ,পিছনে অভিক্ষেপ
બેક વોલ્ટેજ (= વિપરીત વોલ્ટેજ),ব্যাক ভোল্টেজ (= বিপরীত ভোল্টেজ)
બેકફાયર (આર્ક બેક),ব্যাকফায়ার (আর্ক ব্যাক)
પૃષ્ઠભૂમિ,পটভূমি আলো
પાછળનો ઘોંઘાટ,পিছনের শব্দ
પૃષ્ઠભૂમિ,পটভূমি প্রক্ষেপণ
પીઠ,ব্যাকআপ
શરમાળ,বাফেল
બાફવું,বেকিং
સંતુલિત audio ડિઓ,সুষম অডিও
વારેલી audio ડિઓ લાઇન,ভারসাম্যহীন অডিও লাইন
સંતુલન પ્રસારણ રેખા,সুষম সংক্রমণ লাইন
સંતુલન,ভারসাম্য
બાલાસ,ব্যালাস্ট
બાલાસ,ব্যালাস্ট ফ্যাক্টর
બારીક,বালুন
પહાડી,ব্যান্ড
બેન્ડ પાસ ફિલ્ટર,ব্যান্ড পাস ফিল্টার
પસંદગીકાર,ব্যান্ড নির্বাচক
વિભાજન,ব্যান্ড বিভাজন
બેન્ડ સ્ટોપ ફિલ્ટર,ব্যান্ড স্টপ ফিল্টার
સજાગ,ব্যান্ড সুইচ
આવરણ,ব্যান্ড টিউনিং
બ bandન્ટવિડ્થ,ব্যান্ডউইথ
બાર,বার
બાર -સંહિતા,বার কোড
અવલંબ,বার ডেটা
સરખામણી,বেয়ার ব্যান্ড
દીવો,বেয়ার ল্যাম্প
કોઠાર,শস্যাগার দরজা
પાયાની પટ્ટી,বেস ব্যান্ড
પાયાનો સંકેત,বেস ব্যান্ড সিগন্যাল
પાયાનો બેન્ડ પદ્ધતિ,বেস ব্যান্ড সিস্টেম
આધાર બ્રાઉઝર,বেস ব্রাউজার
આધાર -કલેકટર જંકશન,বেস কালেক্টর জংশন
આધાર -ઇન્સ્લેટર,বেস ইনসুলেটর
પાળનાર,বাস
બાસ,বাস ক্ষতিপূরণ
બાસ લાઉડ સ્પીકર (વૂફર),বাস লাউডস্পিকার (ওফার)
બેચ સ્કેનીંગ,ব্যাচ স্ক্যানিং
બ batteryટરી ચાર્જ,ব্যাটারি চার্জ হইতেছে
બીમ,মরীচি
ધબક,বীট
આવર્તન ઓસિલેટરને હરાવ્યું,বীট ফ্রিকোয়েন্সি দোলক
પોત,বেল
પક્ષપાત,পক্ষপাত
પૂર્વગ્રહ,বায়াস সার্কিট
પક્ષપાત,বায়াস ফ্রিকোয়েন্সি
પૂર્વગ્રહ,অত্যাধিক ভোল্টেজ
આગળની દિશામાં પક્ષપાતી,সামনের দিকে পক্ষপাতদুষ্ট
દ્વિ-દિશાકીય માઇક્રોફોન,দ্বি-দিকনির্দেশক মাইক্রোফোন
પાટિયું,বিলবোর্ড
પાટિયાની અરજી,বিলবোর্ড অ্যাপ্লিকেশন
દ્વિ ધાતુયુક્ત તત્વ,দ্বি-ধাতব উপাদান
દ્વિસંગી,বাইনারি
દ્વિસંગી કોડેડ દશાંશ,বাইনারি কোডেড দশমিক
દ્વિસંગી અંક (બીટ),বাইনারি অঙ্ক (বিট)
દ્વિસંગી સંખ્યા,বাইনারি সংখ্যা
દ્વિપ્રહાર સુનાવણી,বাইনোরাল শুনানি
દૂરબાહિક,বাইনোকুলার
જૈવિક,বায়োমেট্রিক
દ્વિધ્રુવી ટ્રાંઝિસ્ટર,বাইপোলার ট্রানজিস্টর
બીક ફાળવણી,বিট বরাদ্দ
પટાનો દર,বিট রেট
બ્લેક એન્ડ વ્હાઇટ ટીવી,কালো এবং সাদা টিভি
ખાલી,ফাঁকা
ખાલી અંતરાલ,ফাঁকা ব্যবধান
નારાજી સ્તર,ব্ল্যাঙ্কিং স্তর
લોહીલુહાણ પ્રતિકાર,ব্লিডার প্রতিরোধের
ખળભળાટ મચાવનારું કેમેરો,ব্লিমড ক্যামেরা
આંખ આડા કાન,অন্ধ ঝলক
ઝબકવું,পলক
ઝબૂકતું,জ্বলজ্বল
અવરોધ,ব্লক কোড
રેખાક્રુતિ,ব্লক ডায়াগ্রাম
અવરોધ,ব্লক ইন্টারলিভ
અવરોધકારક કેપેસિટર,ব্লকিং ক্যাপাসিটার
ઓસિલેટરને અવરોધિત કરી રહ્યું છે,দোলক ব্লক করা
મોર,পুষ্প
ફાટવું,ল্যাম্প ব্লো
ફટકો,পাইপ ব্লো
બ્લોઅર,ব্লোয়ার
બ્લુટુથ,ব্লুটুথ
શરીરની આવરણ,দেহ ক্যাপাসিট্যান্স
પુસ્તકો,বুকমার্ক
બુલિયન બીજગણિત,বুলিয়ান বীজগণিত
બૂમ,বুম
વધતું જાય તેવું,প্রচার করা
બારીક,বুস্টার
બૂસ્ટર પ્રકાશ,বুস্টার লাইট
વધવું,বুস্টিং
મતાધિકાર,বুটিং
બુટસ્ટ્રેપ,বুটস্ট্র্যাপ
તળિયે,নীচে আলো
પ્રકાશ ઉછાળો,বাউন্স লাইট
ભાંગી નાખવું,ভাঙ্গা
તૂટી પડતાં વોલ્ટેજ,ভাঙ্গন ভোল্টেজ
પુલ તત્વ,সেতু উপাদান
પુલ સુધારક,সেতু সংশোধনকারী
બ્રિજ્ડ ‘ટી’ એટેન્યુએટર,ব্রিজযুক্ত ‘টি’ অ্যাটেনুয়েটর
પુષ્કળ માળખું,ব্রিজযুক্ত কাঠামো
શરાબ,ব্রিজিং
બ્રિજિંગ એમ્પ્લીફાયર,ব্রিজিং এম্প্লিফায়ার
પુલ,ব্রিজিং ক্ষতি
ઘાટા,উজ্জ্বলতা
