Kannada,Telugu
ವೈಶಾಲ್ಯ ವಿಹಾರ,వ్యాప్తి విహారయాత్ర
ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಫ್ಯಾಕ್ಟರ್,వ్యాప్తి కారకం
ವೈಶಾಲ್ಯ,వ్యాప్తి పరిమితి
ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಮಾಡ್ಯುಲೇಟೆಡ್,వ్యాప్తి మాడ్యులేటెడ్
ವೈಶಾಲ್ಯ,యాంప్లిట్యూడ్ మాడ్యులేషన్
ಅನಲಾಗ್ (,అనలాగ్ (అనలాగ్)
ಸರ್ಕ್ಯೂಟ್,అనలాగ్ సర్క్యూట్
ಅನಾನುಕೂಲ ಕಂಪ್ಯೂಟರ್,అనలాగ్ కంప్యూటర్
ಅನಲಾಗ್ ರೇಡಿಯೋ ಆವರ್ತನ ಚಾನಲ್,ఫ్రీక్వెన్సీ ఛానల్
ಸಾದೃಶ್ಯ ನಿರೂಪಣೆ,అనలాగ్ ప్రాతినిధ్యం
ಅನಾಲಾಗ್ ಸಂಕೇತ,అనలాగ్ సిగ్నల్
ಡಿಜಿಟಲ್ಗೆ ಅನಲಾಗ್,డిజిటల్‌కు అనలాగ్
ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್,డిజిటల్ కన్వర్టర్‌కు అనలాగ్
ಅನಾನುಕೂಲ ವಿಡಿಯೋ,అనలాగ్ వీడియో
ಹೋಲುವ,సారూప్యత
ಸಾದೃಶ್ಯ,సారూప్యత
ವಿಶ್ಲೇಷಣೆ,విశ్లేషణ
ಡೇಟಾದ ವಿಶ್ಲೇಷಣೆ,డేటా యొక్క విశ్లేషణ
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಸಾಂದ್ರತೆ,విశ్లేషణాత్మక సాంద్రత
ವಿಶ್ಲೇಷಿಸು,విశ్లేషించడానికి
ವಿಶ್ಲೇಷಕ,ఎనలైజర్
ಪೂರಕ ಉಪಕರಣಗಳು,సహాయక పరికరాలు
ಮತ್ತು ಗೇಟ್,మరియు గేట్
ಘರ್ಷಣೆಯ ಕೋನ,కొలిమేషన్ యొక్క కోణం
ಧ್ರುವೀಕರಣದ ಕೋನ,ధ్రువణ కోణం
ತಿರುಗುವಿಕೆಯ ಕೋನ,భ్రమణ కోణం
ಆಂಗ್‌ಸ್ಟ್ರಾಮ್ (Å),గోరు
ಕೋನೀಯ,కోణీయ
ಕೋನೀಯ ವೇಗವರ್ಧನೆ,కోణీయ త్వరణం
ಕೋನೀಯ ಸಮನ್ವಯ,కోణీయ సమన్వయాలు
ಕೋನೀಯ ವಿಚಲನ,కోణీయ విక్షేపం
ಕೋನೀಯ ಪ್ರಸರಣ,కోణీయ చెదరగొట్టడం
ಕೋನೀಯ ಸ್ಥಳಾಂತರ,కోణీయ స్థానభ్రంశం
ಕೋನೀಯ ದೋಷ,కోణీయ లోపం
ಕೋನೀಯ ಆವರ್ತನ,కోణీయ పౌన .పున్యం
ಕೋನೀಯ ಆವೇಗ,కోణీయ మొమెంటం
ಕೋನೀಯ ಚಲನೆ,కోణీయ కదలిక
ಕೋನೀಯ ವೇಗ,కోణీయ వేగం
ಅನೆ,యానిమేషన్
ಆವರಣ,యానోడ్
ಆನೋಡ್ ಬ್ಯಾಟರಿ,యానోడ్ బ్యాటరీ
ಆನೋಡ್ ವಿಶಿಷ್ಟ ಲಕ್ಷಣಗಳು,యానోడ్ లక్షణం
ಆಂಡ್ಹ್ಯೋಡ್ ವೃತ್ತ,యానోడ్ సర్క్యూట్
ಆನೋಡ್ ಹರಡುವಿಕೆ,యానోడ్ వెదజల్లడం
ಆನೋಡ್ ದಕ್ಷತೆ,యానోడ్ సామర్థ్యం
ಆನೋಡ್ ಇನ್ಪುಟ್ ಶಕ್ತಿ,యానోడ్ ఇన్పుట్ శక్తి
ಆನೋಡ್ ಮಾಡ್ಯುಲೇಷನ್,యానోడ్ మాడ్యులేషన్
ಆನಂತಾ,యాంటెన్నా
ಆಂಟೆನಾ ಬೀಮ್‌ವಿಡ್ತ್,యాంటెన్నా బీమ్విడ్త్
ಆಂಟೆನಾ ಬೂಸ್ಟರ್,యాంటెన్నా బూస్టర్
ಆಂಟೆನಾ ಚೇಂಜ್ಓವರ್ ಸ್ವಿಚ್,యాంటెన్నా చేంజ్ఓవర్ స్విచ్
ಆಂಟೆನಾ ಕಾಯಿಲ್,యాంటెన్నా కాయిల్
ಆಂಟೆನಾ ಸಂರಚನೆ,యాంటెన్నా కాన్ఫిగరేషన్
ಆಂಟೆನಾ ಸಹಕ,యాంటెన్నా కప్లర్
ಆಂಟೆನಾ ಕ್ರಾಸ್ ಪೋಲಾರ್ ಪ್ಯಾಟರ್ನ್,యాంటెన్నా క్రాస్ ధ్రువ నమూనా
ಪ್ರವಾಹ,యాంటెన్నా కరెంట్
ಆಂಟೆನಾ ನಿರ್ದೇಶನ ಲಾಭ,యాంటెన్నా డైరెక్టివిటీ లాభం
ಆಂಟೆನಾ ಡ್ಯುಪ್ಲೆಕ್ಸರ್,యాంటెన్నా డ్యూప్లెక్సర్
ಆಂಟೆನಾ ಪರಿಣಾಮಕಾರಿ ಪ್ರದೇಶ,యాంటెన్నా ప్రభావవంతమైన ప్రాంతం
ಆಂಟೆನಾ ದಕ್ಷತೆ,యాంటెన్నా సామర్థ్యం
ಆಂಟೆನಾ ಫೀಡ್,యాంటెన్నా ఫీడ్
ಆಂಟೆನಾ ಕಾಲು ಮುದ್ರಣ,యాంటెన్నా ఫుట్ ప్రింట్
ಆಂಟೆನಾ ಗಳಿಕೆ,యాంటెన్నా లాభం
ಆಂಟೆನಾ ಎತ್ತರ,యాంటెన్నా ఎత్తు
ಪ್ರತಿರೋಧ,యాంటెన్నా ఇంపెడెన్స్
ಆಂಟೆನಾ ಪ್ರಚೋದನೆ,యాంటెన్నా ఇండక్టెన్స్
ಆಂಟೆನಾ ಮಾದರಿ,యాంటెన్నా నమూనా
ಪತಂಗ,యాంటెన్నా ప్లెక్సర్
ಆಂಟೆನಾ ಧ್ರುವೀಕರಣ,యాంటెన్నా ధ్రువణత
ಆಂಟೆನಾ ಶಕ್ತಿ,యాంటెన్నా శక్తి
ಆಂಟೆನಾ ವಿದ್ಯುತ್ ಲಾಭ,యాంటెన్నా శక్తి లాభం
ಆಂಟೆನಾ ವಿಕಿರಣ ಪ್ರತಿರೋಧ,యాంటెన్నా రేడియేషన్ నిరోధకత
ಆಂಟೆನಾ ಪ್ರತಿಕ್ರಿಯೆ,యాంటెన్నా రియాక్టెన్స్
ಆಂಟೆನಾ ಪ್ರತಿಫಲನ,యాంటెన్నా రిఫ్లెక్టర్
ಆಂಟೆನಾ ಪ್ರತಿರೋಧ,యాంటెన్నా నిరోధకత
ಆಂಟೆನಾ ಪ್ರತಿಧ್ವನಿಸುವ ಆವರ್ತನ,యాంటెన్నా ప్రతిధ్వని ఫ్రీక్వెన్సీ
ಆಂತರಿಕ ಅಂತರ,యాంటెన్నా స్పేసింగ్
ಆಂಟೆನಾ ಸ್ವಿಚಿಂಗ್ ರೂಮ್,యాంటెన్నా స్విచింగ్ రూమ్
ಆಂಟೆನಾ ಟ್ಯೂನಿಂಗ್ ಕಾಯಿಲ್,యాంటెన్నా ట్యూనింగ్ కాయిల్
ಆಂಟೆನಾ ಟ್ಯೂನಿಂಗ್ ಹಟ್,యాంటెన్నా ట్యూనింగ్ హట్
ದ್ಯುತಿರಂಧ್ರ,ఎపర్చరు
ಮಂಜುಗಡ್ಡೆಯ,అపోజీ
ಕಟಾ ರಾಕೆಟ್,అపోజీ రాకెట్
ಉಪಕರಣ,ఉపకరణం
ಸ್ಪಷ್ಟ,స్పష్టంగా
ರಭಸ,ఆప్లెట్
ಅನ್ವಯಿಸು,అప్లికేషన్
ಅಂದಾಜು,సుమారు
ಅಕ್ವೌಸ್ ಪರಿಹಾರ,అక్వేస్ ద్రావణం
ಚಾಪ,ఆర్క్
ವಾಸ್ತುಶಿಲ್ಪಿ,వాస్తుశిల్పం
ಧ್ವನಿ ರೆಕಾರ್ಡಿಂಗ್ ಆರ್ಕೈವಲ್ ವರ್ಗಾವಣೆ,సౌండ్ రికార్డింగ్ యొక్క ఆర్కైవల్ బదిలీ
ಆರ್ಕೈವ್ಸ್,ఆర్కైవ్స్
ಅಂಕಗಣಿತದ ಕೋಡಿಂಗ್,అంకగణిత కోడింగ్
ಶಸ್ತ್ರಾಸ್ತ್ರ,ఆర్మేచర్
ಆರ್ಮೇಚರ್ ವಿಂಡಿಂಗ್,ఆర్మేచర్ వైండింగ్
ರಂಗ,అమరిక
ಬಂಧಕ,అరేస్టర్
ಉಚ್ಚ್ಯ,ఉచ్చారణ
ಕಲಾಕೃತಿ (= ಕಲಾಕೃತಿ),(= కళాఖండము
ಏರಿಕೆ,ఆరోహణ
ಶೋಧ ಅನುಪಾತ,కారక నిష్పత్తి
ಷೋಬರೆ,సమీకరించేవాడు
ಪ್ರತಿಪಾದಿಸುವುದು,వాదన
ನಿಯೋಜನೆ,అప్పగింత
ನಿಯೋಜನೆ ಚಾನೆಲ್,అసైన్‌మెంట్ ఛానల్
ಅಸಮ್ಮತಿಗೆ ಸಂಬಂಧಿಸಿದ,అసమాన
ಅಸಮಕಾಲಿಕ,అసమకాలిక
ವಾತಾವರಣ,వాతావరణం
ವಾತಾವರಣದ ನಷ್ಟ,వాతావరణ నష్టం
ವಾತಾವರಣದ ಶಬ್ದ,వాతావరణ శబ్దం
ವಾತಾವರಣದ ಒತ್ತಡ,వాతావరణ పీడనం
ವಾತಾವರಣದ ಪ್ರಸರಣ,వాతావరణ ప్రచారం
ವಾತಾವರಣದ ರೇಡಿಯೋ ತರಂಗ,వాతావరణ రేడియో-వేవ్
ವಾತಾವರಣದ,వాతావరణం
ಪರಮಾಣು,అణువు
ಪರಮಾಣು ರಚನೆ,అణు నిర్మాణం
ಬಾಂಧಾಣ,అటాచ్మెంట్
ಗಮನ,అటెన్యుయేషన్
ಅಟೆನ್ಯೂಯೇಷನ್ ​​ನಷ್ಟ,అటెన్యుయేషన్ నష్టం
ಧ್ವನಿ ತರಂಗಗಳ ಅಟೆನ್ಯೂಯೇಷನ್,ధ్వని తరంగాల యొక్క అటకన
ಕೈಗೆಟುಕುವವನು,అటెన్యూయేటర్
ಅಟೆಂಡು-ಪ್ಯಾಡ್,అటెన్యూయేటర్-ప్యాడ్
ಶ್ರದ್ಧೆಯ ಮಿತಿ,విడిబిలిటీ థ్రెషోల్డ్
ಶ್ರವ್ಯ,వినగల
ಶ್ರವ್ಯ ಆವರ್ತನ,వినగల ఫ్రీక్వెన్సీ
ಶ್ರವ್ಯ ಸ್ವರ,వినగల స్వరం
ಸ್ವಸಾಧ್ಯ,వినగల-స్పెక్ట్రం
ಪ್ರೇಕ್ಷಕರು,ప్రేక్షకులు
ಆವಿಷ್ಕಾರ,ఆడియో
ಆಡಿಯೊ ಆಂಪ್ಲಿಫೈಯರ್,ఆడియో యాంప్లిఫైయర్
ಆಡಿಯೊ ವಿಶ್ಲೇಷಕ,ఆడియో ఎనలైజర్
ಆಡಿಯೊ ಪ್ರಸಾರ,ఆడియో ప్రసారం
ಆಡಿಯೊ ಕೇಬಲ್,ఆడియో కేబుల్
ಆಡಿಯೊ ಸರಪಳಿ,ఆడియో గొలుసు
ಆಡಿಯೊ ಕೋಡೆಕ್,ఆడియో కోడెక్
ಆಡಿಯೊ ಸಂಕೋಚನ,ఆడియో కుదింపు
ಆಡಿಯೊ ಸಂಕೋಚಕ,ఆడియో కంప్రెసర్
ಆಡಿಯೊ ಕನ್ಸೋಲ್,ఆడియో కన్సోల్
ಆಡಿಯೊ ಅಸ್ಪಷ್ಟತೆ,ఆడియో వక్రీకరణ
ಆಡಿಯೊ ಡೈನಾಮಿಕ್ ಶ್ರೇಣಿ,ఆడియో డైనమిక్ పరిధి
ಆಡಿಯೊ ಫೈಲ್ ಸ್ವರೂಪ,ఆడియో ఫైల్ ఫార్మాట్
ಆಡಿಯೊ ಫ್ರೇಮ್ ಸ್ವರೂಪ,ఆడియో ఫ్రేమ్ ఫార్మాట్
ಆಡಿಯೊ ಆವರ್ತನ ಆಂಪ್ಲಿಫಯರ್,ఆడియో ఫ్రీక్వెన్సీ యాంప్లిఫైయర్
ಆಡಿಯೊ ಆವರ್ತನ ಜನರೇಟರ್,ఆడియో ఫ్రీక్వెన్సీ జనరేటర్
ಆಡಿಯೊ ಆವರ್ತನ ಶ್ರೇಣಿ,ఆడియో ఫ్రీక్వెన్సీ పరిధి
ಆಡಿಯೊ ಆವರ್ತನ ಪ್ರತಿಕ್ರಿಯೆ,ఆడియో ఫ్రీక్వెన్సీ ప్రతిస్పందన
ಆವಿಷ್ಕಾರದ ಮಿತಿ,ఆడియో పరిమితి
ಆಡಿಯೊ ಮಾರ್ಗ,ఆడియో లైన్
ಆಡಿಯೊ ಮಿಕ್ಸರ್,ఆడియో మిక్సర్
ಆಡಿಯೊ ಮಾಡ್ಯುಲೇಷನ್,ఆడియో మాడ్యులేషన్
ಆವಿಭರಣ,ఆడియో ఓసిలేటర్
ಆಡಿಯೊ ಉತ್ಪಾದನೆ,ఆడియో అవుట్పుట్
ಆಡಿಯೊ ಶಕ್ತಿ,ఆడియో శక్తి
ಆಡಿಯೊ ಗುಣಮಟ್ಟ,ఆడియో నాణ్యత
ಆಡಿಯೊ ಸಂಕೇತ,ఆడియో సిగ్నల్
ಆಡಿಯೊ ಸಿಗ್ನಲ್ ಸಂಸ್ಕರಣೆ,ఆడియో సిగ్నల్ ప్రాసెసింగ్
ಆಡಿಯೊ ವರ್ಣಪಟಲ,ఆడియో స్పెక్ట్రం
ಆಡಿಯೊ ಸಂಗ್ರಹಣೆ,ఆడియో నిల్వ
ಆಡಿಯೊ ಉಪನಾಮ,ఆడియో సబ్ క్యారియర్
ಆಡಿಯೊ ಪರಿವರ್ತಕ,ఆడియో ట్రాన్స్ఫార్మర్
ಆಡಿಯೊ ಟ್ರಾನ್ಸ್ಮಿಟರ್,ఆడియో ట్రాన్స్మిటర్
ಆಡಿಯೋ/ವಿಡಿಯೋ ಸಂಕೋಚನ,శ్రవణ/వీడియో కుదింపు
ಆಡಿಯೊ ಆವರ್ತನ ಆಂದೋಲಕ,ఆడియో-ఫ్రీక్వెన్సీ ఓసిలేటర్
ಆವರ್ತನ ಆವರ್ತನ ಸಂಕೇತ,ఆడియో-ఫ్రీక్వెన్సీ సిగ్నల్
ಆಲಿಕಲ್ಲು ಮಾಪನ,ఆడియోమెట్రీ
ಆಡಿಯೋ ದೃಶ್ಯ ಸಹಾಯ,ఆడియో-విజువల్ ఎయిడ్
ಶ್ರವಣೇಂದ್ರಿಯ ಗ್ರಹಿಕೆ,శ్రవణ అవగాహన
ದೃentೀಕರಣ,ప్రామాణీకరణ
ಅಧಿಕೃತ ವಾಹಕ ಆವರ್ತನ,అధీకృత క్యారియర్ ఫ్రీక్వెన్సీ
ಆಟೋ ಸಿಎಡಿ,ఆటో క్యాడ్
ಸ್ವಯಂ ರೋಗನಿರ್ಣಯ,ఆటో డయాగ్నస్టిక్స్
