Bengali,Assamese
শোষণ বর্তমান,শোষণ কাৰেণ্ট
শোষণ বক্ররেখা*,শোষণ বক্ৰ*
শোষণ ফ্র্যাকচার,শোষণ ভাঙন
শোষণ কোর,শোষণ কোৰ
শোষণ ফ্যাক্টর,শোষণ কাৰক
শোষণ ফিল্টার,শোষণ ফিল্টাৰ
শোষণ শিখা ফটোমেট্রি*,শোষণ শিখা ফটোমেট্ৰি*
শোষণ হাইগ্রোমিটার,শোষণ হাইগ্ৰ’মিটাৰ
শোষণ সূচক,শোষণ ঘাত
শোষণ প্রান্তিক,শোষণ প্ৰান্তীয়
শোষণ লাইন,শোষণ ৰেখা
শোষণ ক্ষতি,শোষণ ক্ষতি
শোষণ মড্যুলেশন,শোষণ মডুলেচন
আলো শোষণ,পোহৰ শোষণ
বিকিরণ শক্তি শোষণ,বিকিৰণ শক্তি শোষণ কৰা
শোষণ শিখর,শোষণ শিখৰ
শোষণ ফটোমেট্রি,শোষণ আলোকমিতি
শোষণ অনুপাত,শোষণ অনুপাত
শোষণ পরিসীমা*,শোষণ পৰিসৰ*
শোষণ স্পেকট্রাম ফটোমেট্রি*,শোষণ বৰ্ণালী আলোকমিতি*
শোষণ বর্ণালী*,শোষণ বৰ্ণালী*
"শোষণ নল, শোষণ নল","শোষণ নলী, শোষণ নলী"
শোষণ হাইগ্রোমিটার,শোষণ হাইগ্ৰ’মিটাৰ
শোষক*,শোষক*
শোষক বাষ্পীভবনকারী,শোষক বাষ্পীভৱনকাৰী
শোষণ আইন*,শোষণ নিয়ম*
শোষণ মাধ্যম,শোষণ মাধ্যম
"শোষণ ক্ষমতা, শোষণ*","শোষণ ক্ষমতা, শোষণ ক্ষমতা*"
শোষণ*,শোষণ ক্ষমতা*
স্টুডিও সজ্জা,ষ্টুডিঅ&#39; সজ্জা
বহুগুণ অনুপাত,বহুগুণতা অনুপাত
বিভ্রান্তি,abvolt
সম্পর্কিত,বিষয়ে
ত্বরান্বিত করা,ত্বৰান্বিত কৰক
ত্বরণ-স্টপ দূরত্ব,ত্বৰণ-বন্ধ দূৰত্ব
তাড়াতাড়ি,খৰধৰকৈ উঠিল
দ্রুত সময়ের প্রভাব পরীক্ষা,দ্ৰুত সময় প্ৰভাৱ পৰীক্ষা
দ্রুত প্রবাহ,দ্ৰুত প্ৰবাহ
দ্রুত গতি,দ্ৰুত গতি
দ্রুত শরীর,দ্ৰুত শৰীৰ
এক্সিলারেটর ওজনকারী,ত্বৰণকাৰী ওজনকাৰী
এক্সিলারেটর ইলেক্ট্রোড*,ত্বৰণকাৰী ইলেক্ট্ৰ&#39;ড*
এক্সিলারেটরের সময়*,ত্বৰক সময়*
এক্সিলারেটর ফেজ,ত্বৰণকাৰী পৰ্যায়
অ্যাক্সিলারেটর হার,ত্বৰণকাৰীৰ হাৰ
এক্সিলারেটর ভোল্টেজ*,এক্সিলেটৰ ভোল্টেজ*
ত্বরণ,বেগ বৃদ্ধি
ত্বরিত জ্বলন,ত্বৰান্বিত দহন
ত্বরণ সহগ,ত্বৰণ সহগ
ত্বরণ উপাদান,ত্বৰণ উপাদান
মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি,মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ
ত্বরণ ফ্যাক্টর,ত্বৰণ কাৰক
ত্বরিত চার্জ,ত্বৰিত চাৰ্জ
অভিকর্ষের ত্বরণ,মাধ্যাকৰ্ষণৰ ত্বৰণ
ত্বরণ সম্ভাবনা,ত্বৰণ বিভৱ
ত্বরণ আইন,ত্বৰণ আইন
ত্বরণ প্রক্রিয়া,ত্বৰণ প্ৰক্ৰিয়া
ত্বরণ অঞ্চল,ত্বৰণ অঞ্চল
ত্বরণ পদ্ধতি,ত্বৰণ পদ্ধতি
"ত্বরণ সহনশীলতা, ত্বরণ সহনশীলতা","ত্বৰণ সহনশীলতা, ত্বৰণ সহনশীলতা"
ত্বরণ ভেক্টর,ত্বৰণ ভেক্টৰ
ত্বরণ-ভোল্টেজ,ত্বৰণ-ভোল্টেজ
ত্বরণ তরঙ্গ,ত্বৰণ তৰংগ
এক্সিলারেটর,ত্বৰণকাৰী
"ত্বরণ, ত্বরণক*","accelerate, ত্বৰণকাৰী*"
অ্যাক্সিলারেটর সমীকরণ,ত্বৰক সমীকৰণ
এক্সিলারেটর*,ত্বৰণকাৰী*
অ্যাক্সিলোমিটার,এক্সিলেৰমিটাৰ
অ্যাক্সিলোমিটার মিল,এক্সিলেৰমিটাৰ মিলন
prestresser,প্ৰিষ্ট্ৰেছাৰ
বৈধ অক্ষর,বৈধ আখৰ
গ্রহণযোগ্যতা কোণ,গ্ৰহণযোগ্যতা কোণ
গ্রহণযোগ্যতা স্পেসিফিকেশন,গ্ৰহণযোগ্যতা নিৰ্দিষ্টকৰণ
গ্রহণযোগ্য পরীক্ষা,গ্ৰহণযোগ্য পৰীক্ষা
"গ্রহণকারী*, গ্রহণকারী","গ্ৰহণকাৰী*, গ্ৰহণকাৰী"
রিসেপ্টর পরমাণু,ৰিচেপ্টৰ পৰমাণু
রিসেপ্টর বন্ড,ৰিচেপ্টৰ বণ্ড
রিসিভার সার্কিট,ৰিচিভাৰ চাৰ্কিট
রিসেপ্টর স্তর,ৰিচেপ্টৰ স্তৰ
দাতা অণু,দাতা অণু
রিসেপ্টর সম্পত্তি,ৰিচেপ্টৰ বৈশিষ্ট্য
রিসেপ্টর সম্পত্তি স্তর,ৰিচেপ্টৰ বৈশিষ্ট্যৰ স্তৰ
অ্যাক্সিলারেটর পায়ের পাতার মোজাবিশেষ,এক্সিলেটৰৰ নলী
"অ্যাক্সেস, অপেক্ষা, অ্যাক্সেস","প্ৰৱেশ, অপেক্ষা, প্ৰৱেশ"
ভুজ অ্যাক্সেস করুন,প্ৰৱেশ ভূজ
অ্যাক্সেস সিস্টেম,অভিগম ব্যৱস্থাপ্ৰণালী
প্রবেশাধিকার সময়,প্ৰৱেশ সময়
অ্যাক্সেসযোগ্যতা,অভিগম্যতা
"অতিরিক্ত, সহায়ক, আনুষঙ্গিক (v, ), আনুষাঙ্গিক","অতিৰিক্ত, সহায়ক, আনুষংগিক (v, ), আনুষংগিক"
অতিরিক্ত সীমাবদ্ধতা,অতিৰিক্ত নিষেধাজ্ঞা
কাকতালীয়,কাকতালীয়
আকস্মিক সংশোধন,আকস্মিক সংশোধন
দুর্ঘটনাজনিত বায়োজেনেসিস,আকস্মিক জৈৱজন্ম
আকস্মিক ডাইভারশন,আকস্মিক ডাইভাৰচন
ভিজিটর ত্রুটি,দৰ্শকৰ ভুল
"হঠাৎ বন্ধ, হঠাৎ বাতা","হঠাৎ বন্ধ, হঠাৎ বন্ধ"
দুর্ঘটনাজনিত সংক্রমণ,আকস্মিক সংক্ৰমণ
এলোমেলো পার্থক্য,ৰেণ্ডম ভ্যাৰিয়েন্স
সমন্বয়,সমন্বয়
অবস্থিত,অৱস্থিত
সঞ্চিত ত্রুটি,সঞ্চিত ভুল
"accumulation, accumulation","সঞ্চয়, সঞ্চয়"
শক্তি সঞ্চয়,শক্তি সংৰক্ষণ
সঞ্চয়ক*,এক্যুলেটৰ*
সঠিকতা,শুদ্ধতা
বাস্তবতা,বাস্তৱতা
বাস্তব যন্ত্র পর্যবেক্ষণ,বাস্তৱ যন্ত্ৰ পৰ্যবেক্ষণ
সঠিক পরিসীমা চিহ্নিতকারী,সঠিক ৰেঞ্জ মাৰ্কাৰ
নির্ভুলতা স্ক্যানিং,নিখুঁত স্কেনিং
অনুশীলন করা,অভ্যাস
এক্সিলারেটর সেল*,ত্বৰক কোষ*
অ্যাক্রোমেটিক লেন্স*,ৰঙীন লেন্স*
অ্যাক্রোমেটিক*,অৰঙীন*
অ্যাক্রোম্যাটিক বিশ্লেষক,ৰঙীন বিশ্লেষক
ফ্রিকোয়েন্সি নিরপেক্ষ অ্যান্টেনা,ফ্ৰিকুৱেন্সি নিউট্ৰেল এন্টেনা
অ্যাক্রোমেটিক আকৃতি,ৰঙীন আকৃতি
অ্যাক্রোম্যাটিক ফ্রিঞ্জ,achromatic ফ্ৰিঞ্জ
অ্যাক্রোমেটিক লেন্স*,ৰঙীন লেন্স*
অ্যাক্রোম্যাটিক পয়েন্ট পাথ,ৰঙীন বিন্দু পথ
অ্যাক্রোম্যাটিক লেন্স,ৰঙীন লেন্স
অ্যাক্রোমেটিক প্রিজম,ৰঙীন প্ৰিজম
অ্যাক্রোম্যাটিক টেলিস্কোপ,achromatic টেলিস্কোপ
বর্ণহীনতা*,achromaticity*
অ্যাক্রোমাটাইজেশন*,achromatization*
বর্ণহীনতা*,achromaticity*
"স্থিতিস্থাপক, অবাধ্য, অবাধ্য","ইলাষ্টিক, অপ্ৰতিৰোধক, অবাধ্য"
"আকর্ণ হোস, বানজু হোস","একৰ্ণ নলী, বঞ্জু নলী"
ক্ষুদ্রাকৃতির ভালভ,ক্ষুদ্ৰ ভালভ
ইকোফোনি,প্ৰতিধ্বনি
শাব্দিক,একাউষ্টিক
শাব্দ শোষণ,ধ্বনি শোষণ ক্ষমতা
অ্যাকোস্টিক অ্যাটেন্যুয়েশন সহগ,শব্দৰ ক্ষীণকৰণ সহগ
অ্যাকোস্টিক অ্যাটেন্যুয়েশন,শব্দৰ ক্ষীণকৰণ
শাব্দ চোর অ্যালার্ম,একাউষ্টিক চোৰ এলাৰ্ম
অ্যাকোস্টিক ক্যাপাসিট্যান্স,ধ্বনিযুক্ত ধাৰণক্ষমতা
শ্রবণ কেন্দ্র,শ্ৰৱণ কেন্দ্ৰ
শাব্দ ব্যাখ্যা,ধ্বনিগত ব্যাখ্যা
শাব্দ আবরণ,একাউষ্টিক কভাৰ
শাব্দ প্রতিক্রিয়া,ধ্বনিগত প্ৰতিক্ৰিয়া
শাব্দিক উপাদান,ধ্বনি উপাদান
শাব্দ পরিবাহিতা,ধ্বনি পৰিবাহীতা
শাব্দ স্যাঁতসেঁতে,একাউষ্টিক ডেম্পিং
শাব্দ বিচ্ছুরণ,ধ্বনিগত বিক্ষিপ্ততা
শব্দ হ্যাকার,শব্দ হেকাৰ
শাব্দ শক্তি*,ধ্বনি শক্তি*
শাব্দ শক্তি সমীকরণ,ধ্বনি শক্তি সমীকৰণ
শাব্দিক সমীকরণ,ধ্বনি সমীকৰণ
শাব্দ পুনঃস্থাপন,শব্দ পুনৰুদ্ধাৰ
ক্ল্যাডনি আকার,ক্লেডনি আকৃতি
শাব্দ ফিল্টার,একাউষ্টিক ফিল্টাৰ
শব্দ জেনারেটর,শব্দ উৎপাদক
শাব্দ ঝাঁঝরি,একাউষ্টিক গ্ৰেটিং
শব্দের সংরোধ*,একাউষ্টিক ইম্পিডেন্স*
শাব্দিক জড়তা,শব্দৰ জড়তা
শাব্দ তীব্রতা,শব্দৰ তীব্ৰতা
শাব্দ হস্তক্ষেপ মিটার,শব্দৰ হস্তক্ষেপ মিটাৰ
শাব্দ হস্তক্ষেপ আবিষ্কারক,একাউষ্টিক ইন্টাৰফেৰেন্স ডিটেক্টৰ
শাব্দ লেন্স,একাউষ্টিক লেন্স
শব্দ লাইন,শব্দ ৰেখা
শাব্দ ভর,ধ্বনিযুক্ত ভৰ
শাব্দ উপাদান,ধ্বনিগত পদাৰ্থ
অ্যাকোস্টিক মানে মুক্ত পথ,শব্দৰ অৰ্থ মুক্ত পথ
শাব্দ মোড,একাউষ্টিক মোড
শাব্দিক শব্দ,শব্দৰ শব্দ
শাব্দিক ওহম*,ধ্বনিযুক্ত ওম*
"অ্যাকোস্টিক প্যানেল, অ্যাকোস্টিক বোর্ড","একাউষ্টিক পেনেল, একাউষ্টিক বৰ্ড"
শাব্দ ফেজ ধ্রুবক,ধ্বনি পৰ্যায় ধ্ৰুৱক
শাব্দ রিসিভার,একাউষ্টিক ৰিচিভাৰ
শাব্দ চাপ,শব্দৰ চাপ
শব্দের প্রতিসাম্য নিয়ম,শব্দৰ প্ৰতিসমতা নিয়ম
শাব্দ সংক্রমণ,শব্দ সংক্ৰমণ
শাব্দ বৈশিষ্ট্য,ধ্বনিগত ধৰ্ম
শাব্দ চতুর্ভুজ,ধ্বনিযুক্ত চতুৰ্ভুজ
শাব্দ বিকিরণ উপাদান,ধ্বনি বিকিৰণ মৌল
শাব্দ বিকিরণ,ধ্বনি বিকিৰণ
শব্দরোধী,শব্দ নিবাৰণ
অ্যাকোস্টিক রেডিওমিটার,একাউষ্টিক ৰেডিঅ&#39;মিটাৰ
শাব্দ প্রতিক্রিয়া,ধ্বনিগত প্ৰতিক্ৰিয়া
অ্যাকোস্টিক পারস্পরিক তত্ত্ব,ধ্বনিগত পাৰস্পৰিকতা উপপাদ্য
শাব্দ হ্রাস ফ্যাক্টর,শব্দ হ্ৰাস কাৰক
শাব্দ প্রতিফলন সহগ,ধ্বনি প্ৰতিফলন সহগ
শাব্দ প্রতিসরণ,ধ্বনি বিবৰ্তন
শাব্দ প্রতিরোধের,শব্দ প্ৰতিৰোধ ক্ষমতা
শাব্দ প্রতিক্রিয়া,ধ্বনিগত প্ৰতিক্ৰিয়া
শাব্দ বিচ্ছুরণ,ধ্বনিগত বিক্ষিপ্ততা
শ্রবণ বিন্দু,শুনা বিন্দু
শাব্দিক অনমনীয়তা,শব্দৰ কঠিনতা
শাব্দ ব্যবস্থা,শব্দ ব্যৱস্থা
শাব্দ থার্মোমিটার,একাউষ্টিক থাৰ্মোমিটাৰ
শাব্দ বেগ,শব্দৰ বেগ
শব্দ - তরঙ্গ,শব্দ তৰংগ
শাব্দিক,একাউষ্টিক
শব্দ শোষণ সহগ,শব্দ শোষণ সহগ
শব্দ শোষণ উপাদান,শব্দ শোষণ উপাদান
শাব্দ সার্কিট,একাউষ্টিক বৰ্তনী
শাব্দ প্রতিক্রিয়া,ধ্বনিগত প্ৰতিক্ৰিয়া
শাব্দ বিলম্ব লাইন,শব্দ বিলম্ব ৰেখা
শাব্দ বিকৃতি,ধ্বনিগত বিকৃতি
শাব্দিক ধ্বনিবিদ্যা,একাউষ্টিক একাউষ্টিক
শাব্দ ফিল্টার,একাউষ্টিক ফিল্টাৰ
শব্দের সংরোধ*,একাউষ্টিক ইম্পিডেন্স*
ফোনোগ্রাফ,ফ&#39;ন&#39;গ্ৰাফ
শাব্দিক ওহম*,ধ্বনিযুক্ত ওম*
শাব্দিক ধ্রুবক,ধ্বনি ধ্ৰুৱক
শাব্দিক ফোনন,একাউষ্টিক ফ&#39;নন
শাব্দ সংক্রমণ ধ্রুবক,ধ্বনি সংবহন ধ্ৰুৱক
শব্দ পরিবর্তন সহগ,শব্দ পৰিৱৰ্তন সহগ
শাব্দ প্রতিরোধের,শব্দ প্ৰতিৰোধ ক্ষমতা
শাব্দিক অনমনীয়তা,শব্দৰ কঠিনতা
শব্দ ইউনিট,শব্দ একক
শব্দরোধী,শব্দ নিবাৰণ
শাব্দ পার্শ্ব লাইন,একাউষ্টিক চাইড লাইন
"ধ্বনিবিদ্যা, ধ্বনিবিদ্যা","শব্দবিজ্ঞান, ধ্বনিবিজ্ঞান"
শব্দ মিটার,শব্দ মিটাৰ
শব্দ চাপ,শব্দৰ চাপ
অধিগ্রহণ রাডার,অধিগ্ৰহণ ৰাডাৰ
সালোকসংশ্লেষী বিকিরণ,সালোক সংশ্লেষণ বিকিৰণ
অ্যাক্টিনিয়াম নির্গমন,এক্টিনিয়াম নিৰ্গমন
অ্যাক্টিনো-ইউরেনিয়াম,এক্টিনো-ইউৰেনিয়াম
অ্যাক্টিনো-ইউরেনিয়াম সিরিজ,এক্টিনো-ইউৰেনিয়াম শৃংখলা
তেজস্ক্রিয়,ৰেডিঅ&#39;ইলেক্ট্ৰিক
"অ্যাক্টিনোমিটার, ফটোমাইক্রোমিটার","এক্টিনোমিটাৰ, ফটোমাইক্ৰ&#39;মিটাৰ"
"কর্ম, কাজ","কাৰ্য্য, কাৰ্য্য"
কর্ম এবং প্রতিক্রিয়া,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
কর্ম ধ্রুবক,ক্ৰিয়া ধ্ৰুৱক
প্রভাব গোলক,প্ৰভাৱৰ ক্ষেত্ৰ
"সক্রিয়, সক্রিয়","সক্ৰিয় কৰা হৈছে, সক্ৰিয় কৰা হৈছে"
সক্রিয় বিস্তার,সক্ৰিয় প্ৰসাৰণ
"সক্রিয় ফাইবার, সক্রিয় ফাইবার","সক্ৰিয় কৰা ফাইবাৰ, সক্ৰিয় কৰা ফাইবাৰ"
সক্রিয়করণ প্রভাব,সক্ৰিয়কৰণ প্ৰভাৱ
সক্রিয়করণ প্রভাব,সক্ৰিয়কৰণ প্ৰভাৱ
সক্রিয়করণ বিশ্লেষণ,সক্ৰিয়কৰণ বিশ্লেষণ
কার্যকলাপ কেন্দ্র,কাৰ্য্যকলাপ কেন্দ্ৰ
সক্রিয়করণ পরীক্ষক,সক্ৰিয়কৰণ পৰীক্ষক
অ্যাক্টিভেশন শক্তি,সক্ৰিয়কৰণ শক্তি
সক্রিয়করণ এনট্রপি,সক্ৰিয়কৰণ এণ্ট্ৰপি
সক্রিয়করণ ওভারভোল্টেজ,সক্ৰিয়কৰণ অতিভোল্টেজ
সক্রিয়করণ হার,সক্ৰিয়কৰণৰ হাৰ
"সক্রিয়কারী, সক্রিয়কারী","সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা"
অ্যাক্টিভেটর পরমাণু,সক্ৰিয়কৰ্তা পৰমাণু
এক্সিলারেটর,ত্বৰণকাৰী
সক্রিয় শোষণ,সক্ৰিয় শোষণ
সক্রিয় বায়বীয়,সক্ৰিয় আকাশী
বিকিরণ বিপদ অঞ্চল,বিকিৰণৰ বিপদজনক অঞ্চল
সক্রিয় ডিভাইস,সক্ৰিয় ডিভাইচ
সক্রিয় টার্গেটিং,সক্ৰিয় লক্ষ্য নিৰ্ধাৰণ
সক্রিয় হাইড্রোজেন*,সক্ৰিয় হাইড্ৰজেন*
সক্রিয় জাল,সক্ৰিয় জাল
সক্রিয় লাইন সক্রিয় লাইন,সক্ৰিয় ৰেখা সক্ৰিয় ৰেখা
সক্রিয় লুপ,সক্ৰিয় লুপ
সক্রিয় কোড*,সক্ৰিয় ক&#39;ড*
সক্রিয় উপাদান,সক্ৰিয় উপাদান
সক্রিয় অণু,সক্ৰিয় অণু
সক্রিয় জাল,সক্ৰিয় জাল
সক্রিয় পুনর্শোষণ,সক্ৰিয় পুনৰ শোষণ
সক্রিয় এলাকা,সক্ৰিয় অঞ্চল
সক্রিয় নিয়ন্ত্রণ,সক্ৰিয় নিয়ন্ত্ৰণ
সক্রিয় স্যাটেলাইট,সক্ৰিয় উপগ্ৰহ
সক্রিয় বিচ্ছিন্ন সৌর শিখা,সক্ৰিয় বিভাজনশীল সৌৰ শিখা
সক্রিয় মাইক্রোনিউট্রিয়েন্ট,সক্ৰিয় অণুপুষ্টিকৰ উপাদান
সক্রিয় ট্র্যাকিং সিস্টেম,সক্ৰিয় অনুসৰণ ব্যৱস্থা
সক্রিয় ট্রান্সডুসার,সক্ৰিয় ট্ৰেন্সডুচাৰ
