Punjabi,Kannada
ਅਨੁਕੂਲਤਾ,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
ਅਡੈਪਟਰ,ಅಳವಡಗಾರ
ਅਡੈਪਟਿਵ ਚੈਨਲ ਅਲਾਟਮੈਂਟ,ಹೊಂದಾಣಿಕೆಯ ಚಾನಲ್ ಹಂಚಿಕೆ
ਅਨੁਕੂਲ ਏਕੀਕਰਣ,ಹೊಂದಾಣಿಕೆಯ ಏಕೀಕರಣ
ਅਨੁਕੂਲਤਾ ਦੇ ਟਰਾਂਸਵਰਸਟਲ ਬਰਾਬਰੀ,ಅಡಾಪ್ಟಿವ್ ಟ್ರಾನ್ಸ್‌ವರ್ಸಲ್ ಈಕ್ವಲೈಜರ್
ਇੰਦਰਾਜ਼ ਸ਼ਾਮਲ ਕੀਤਾ,ಪ್ರವೇಶವನ್ನು ಸೇರಿಸಲಾಗಿದೆ
ਐਡੇਂਡ,ಸೇರಿಸು
ਐਡਰਰ,ಸೇರಿಸುವವನು
ਐਡਰੈਸਬਰਸਟਰੈਕਟਰ,ಸೇಡ್ ಸಬ್ಟ್ರಾಕ್ಟರ್
ਫਾਈਲ ਸ਼ਾਮਲ ਕਰੋ,ಕಡತವನ್ನು ಸೇರಿಸು
ਵਾਧੂ ਅੱਖਰ (= ਵਿਸ਼ੇਸ਼ ਚਰਿੱਤਰ),ಹೆಚ್ಚುವರಿ ಅಕ್ಷರ (= ವಿಶೇಷ ಅಕ್ಷರ)
ਜੋੜ ਰਿਕਾਰਡਰ,ಸೇರ್ಪಡೆ ರೆಕಾರ್ಡರ್
ਜੋੜ ਸਾਰਣੀ,ಸೇರ್ಪಡೆ ಮೇಜು
ਜੋੜ,ಸಂಯೋಜಕ ಗುಣಲಕ್ಷಣ
ਮੋਡ ਸ਼ਾਮਲ ਕਰੋ,ಮೋಡ್ ಸೇರಿಸಿ
ਓਪਰੇਸ਼ਨ ਸ਼ਾਮਲ ਕਰੋ,ಕಾರ್ಯಾಚರಣೆ ಸೇರಿಸಿ
ਪਤਾ,ಭಾಷಣ
ਸੰਬੋਧਿਤਯੋਗਤਾ ਉਪਾਅ,ವಿಳಾಸದ ಅಳತೆ
ਪਤਾ ਕਰਨ ਯੋਗ ਹਰੀਜੱਟਲ ਸਥਿਤੀ,ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸಮತಲ ಸ್ಥಾನ
ਪਤਾ ਕਰਨ ਯੋਗ ਬਿੰਦੂ,ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಬಿಂದು
ਪਤਾ ਕਰਨ ਯੋਗ ਸਥਿਤੀ,ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಥಾನ
ਪਤਾ ਕਰਨ ਯੋਗ ਰਜਿਸਟਰ,ವಿಳಾಸ ಮಾಡಬಹುದಾದ ರಿಜಿಸ್ಟರ್
ਪਤਾ ਕਰਨ ਯੋਗ ਸਟੋਰੇਜ,ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸಂಗ್ರಹಣೆ
ਪਤਾ ਕਰਨ ਯੋਗ ਲੰਬਕਾਰੀ ਸਥਿਤੀ,ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಲಂಬ ಸ್ಥಾನ
ਪਤਾ ਬੱਸ,ವಿಳಾಸ ಬಸ್
ਪਤਾ ਕੋਡ,ವಿಳಾಸ ಕೋಡ್
ਪਤਾ ਕੰਪਰੇਟਰ,ವಿಳಾಸ ಹೋಲಿಕೆದಾರ
ਪਤਾ ਬਕਾਏ,ವಿಳಾಸ ಗಣನೆ
ਪਤਾ ਲਗਾਤਾਰ,ವಿಳಾಸ ಸ್ಥಿರ
ਪਤਾ ਬਦਲਣਾ,ವಿಳಾಸ ಪರಿವರ್ತನೆ
ਪਤਾ ਡਾਟਾ,ವಿಳಾಸ ಡೇಟಾ
ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ,ವಿಳಾಸ ಮೆಮೊರಿ
ਪਤਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ,ವಿಳಾಸ ಪರಿಣಾಮಕಾರಿ
ਪਤਾ ਖੇਤਰ,ವಿಳಾಸ ಕ್ಷೇತ್ರ
ਪਤਾ ਫਾਰਮੈਟ,ವಿಳಾಸ ಸ್ವರೂಪ
ਪਤਾ ਮੁਫਤ ਪ੍ਰੋਗਰਾਮ,ವಿಳಾಸ ಉಚಿತ ಕಾರ್ಯಕ್ರಮ
ਸੰਬੋਧਨ ਕਰਨਾ,ಸಂಬೋಧಿಸುವುದು
ਸੰਬੋਧਨ ਕਰਨਾ  ਅੱਖਰ,ಸಂಬೋಧಿಸುವುದು  ಪಾತ್ರ
ਰੁਕਾਵਟ ਨੂੰ ਸੰਬੋਧਿਤ ਕਰਨਾ,ಅಡಚಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ
ਪਤਾ ਲਗਾਉਣ,ವಿಳಾಸ ಲೂಪ್
ਵਰਚੁਅਲ ਮੈਮੋਰੀ ਨੂੰ ਸੰਬੋਧਨ ਕਰਨਾ,ವರ್ಚುವಲ್ ಮೆಮೊರಿಯನ್ನು ಉದ್ದೇಶಿಸಿ
ਪਤਾ ਲਗਾਉਣਾ,ವಿಳಾಸ ಇಂಟರ್ಲೇಟಿಂಗ್
ਬਰੇਸ਼ਨ ਰਹਿਤ ਨਿਰਦੇਸ਼ ਦਾ ਫਾਰਮੈਟ,ವಿಳಾಸವಿಲ್ಲದ ಸೂಚನಾ ಸ್ವರೂಪ
ਐਡਰੈੱਸ ਲਾਈਨ,ವಿಳಾಸ ಸಾಲು
ਪਤਾ ਮੈਪਿੰਗ,ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್
ਪਤਾ ਮਾਰਕ,ವಿಳಾಸ ಗುರುತು
ਪਤਾ ਸੋਧ,ವಿಳಾಸ ಮಾರ್ಪಾಡು
ਪਤਾ ਭਾਗ,ವಿಳಾಸದ ಭಾಗ
ਪਤਾ ਪੁਆਇੰਟਰ,ವಿಳಾಸ ಪಾಯಿಂಟರ್
ਪਤਾ ਰਜਿਸਟਰ,ವಿಳಾಸ ನೋಂದಣಿ
ਪਤਾ ਸਿਗਨਲ,ವಿಳಾಸ ಸಂಕೇತ
ਪਤਾ ਅਕਾਰ,ವಿಳಾಸದ ಗಾತ್ರ
ਪਤਾ ਸਪੇਸ,ವಿಳಾಸ ಸ್ಥಳ
ਪਤਾ ਸਪੇਸ ਪਛਾਣਕਰਤਾ,ವಿಳಾಸ ಬಾಹ್ಯಾಕಾಶ ಗುರುತಿಸುವಿಕೆ
ਪਤਾ ਬੰਦ,ವಿಳಾಸ ನಿಲುಗಡೆ
ਪਤਾ ਟਰੇਸ,ವಿಳಾಸ ಜಾಡಿನ
ਪਤਾ ਟਰੈਕ,ವಿಳಾಸ ಟ್ರ್ಯಾಕ್
ਪਤਾ ਅਨੁਵਾਦ,ವಿಳಾಸ ಅನುವಾದ
ਪਤਾ ਅਨੁਵਾਦਕ,ವಿಳಾಸ ಅನುವಾದಕ
ਸ਼ਾਮਲ ਕਰੋ-ਘਟਾਓ,ಕಕ್ಸಚ್ಚುವಿಕೆಯನ್ನು ಸೇರಿಸಿ ಸಮಯ
ਸਮਾਂ ਸ਼ਾਮਲ ਕਰੋ,ಸಮಯವನ್ನು ಸೇರಿಸಿ
ਅਡਜੈਂਸੀ,ಪಕ್ಕದ
ਐਡਜੈਂਸੀ structure ਾਂਚਾ,ಪಕ್ಕದ ರಚನೆ
ਨਾਲ ਲੱਗਦੇ ਚੈਨਲ,ಪಕ್ಕದ ಚಾನಲ್
ਨਾਲ ਲੱਗਦੇ ਡੋਮੇਨ,ಪಕ್ಕದ ಡೊಮೇನ್
ਨਾਲ ਲੱਗਦੀ ਮੈਟ੍ਰਿਕਸ,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ਨਾਲ ਲੱਗਦੀ ਨੋਡ,ಪಕ್ಕದ ನೋಡ್
ਆਸ ਪਾਸ ਦੇ ਉਪਰਾਸਾ,ಪಕ್ಕದ ಸುಬೇರಿಯಾ
ਐਡਰਜਾਈਨ (ਸਿਸਟਮ),ಹೊಂದಾಣಿಕೆ (ಸಿಸ್ಟಮ್)
ਵਿਵਸਥਤ ਕਰੋ,ಸರಿಹೊಂದಿಸು
ਵਿਵਸਥਤ ਹੱਦ ਤੱਕ,ಹೊಂದಾಣಿಕೆ ವ್ಯಾಪ್ತಿ
ਟੈਕਸਟ ਮੋਡ ਨੂੰ ਵਿਵਸਥਤ ਕਰੋ,ಪಠ್ಯ ಮೋಡ್ ಅನ್ನು ಹೊಂದಿಸಿ
ਪ੍ਰਬੰਧਕੀ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ,ಆಡಳಿತ ದತ್ತಾಂಶ ಸಂಸ್ಕರಣೆ
ਪ੍ਰਬੰਧਕੀ ਕਾਰਵਾਈ,ಆಡಳಿತಾತ್ಮಕ ಕಾರ್ಯಾಚರಣೆ
ਪ੍ਰਬੰਧਕੀ ਆਪਰੇਟਰ,ಆಡಳಿತಕಾರಕ
ਪ੍ਰਬੰਧਕੀ ਆਪਰੇਟਰ ਸਟੇਸ਼ਨ,ಆಡಳಿತ ನಿರ್ವಾಹಕ ಕೇಂದ್ರ
ਪ੍ਰਬੰਧਕੀ ਸਹਾਇਤਾ ਸਿਸਟਮ,ಆಡಳಿತಾತ್ಮಕ ಬೆಂಬಲ ವ್ಯವಸ್ಥೆ
ਤਕਨੀਕੀ ਸੰਚਾਰ ਸੇਵਾ,ಸುಧಾರಿತ ಸಂವಹನ ಸೇವೆ
ਐਡਵਾਂਸਡ ਜਾਣਕਾਰੀ ਸਿਸਟਮ,ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ
ਐਡਵਾਂਸਡ ਆਪਟੀਕਲ ਅੱਖਰ ਪਾਠਕ,ಸುಧಾರಿತ ಆಪ್ಟಿಕಲ್ ಕ್ಯಾರೆಕ್ಟರ್ ರೀಡರ್
ਤਕਨੀਕੀ ਵਿਗਿਆਨਕ ਕੰਪਿ computer ਟਰ,ಸುಧಾರಿತ ವೈಜ್ಞಾನಿಕ ಕಂಪ್ಯೂಟರ್
ਏਰੀਅਲ,ವೈಮಾನಿಕ
ਸਮੁੱਚੀ,ಒಟ್ಟು
ਸਮੁੱਚੀ ਸਮੀਕਰਨ,ಒಟ್ಟು ಅಭಿವ್ಯಕ್ತಿ
ਉਦੇਸ਼ ਸਰਕਲ,ಗುರಿ ವೃತ್ತ
ਉਦੇਸ਼ ਖੇਤਰ (= ਪ੍ਰਤੀਕ ਦਾ ਨਿਸ਼ਾਨਾ),ಗುರಿ ಕ್ಷೇತ್ರ (= ಗುರಿ ಚಿಹ್ನೆ)
ਪ੍ਰਤੀਕ ਬਣਾਉਣਾ,ಗುರಿ ಚಿಹ್ನೆ
ਏਅਰਬੋਰਨ ਕੰਪਿ Computer ਟਰ ਸਿਸਟਮ,ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ
ਅਲਜਬ੍ਰਿਕ ਈਗਨਵੈਲਯੂ ਦੀ ਸਮੱਸਿਆ,ಬೀಜಗಣಿತ ಐಜೆನ್ವಾಲ್ಯು ಸಮಸ್ಯೆ
ਅਲਜਬ੍ਰਿਕ  ਏਕੀਕਰਣ,ಬೀಜಗಣಿತದ  ಏಕೀಕರಣ
ਅਲਜਬ੍ਰਿਕ ਭਾਸ਼ਾ,ಬೀಜಗಣಿತದ ಭಾಷೆ
ਅਲਜਬਰਾਇਕ ਹੇਰਾਫੇਰੀ,ಬೀಜಗಣಿತದ ಕುಶಲ
ਅਲਜਬਰਾਇਕ ਹੇਰਾਫੇਰੀ ਭਾਸ਼ਾ,ಬೀಜಗಣಿತದ ಕುಶಲ ಭಾಷೆ
ਐਲਜਬਰੇਕ ਅਧਾਰਤ ਭਾਸ਼ਾ,ಬೀಜಗಣಿತ ಆಧಾರಿತ ಭಾಷೆ
ਅਲਜਬੈਰਾਿਕ ਸ਼ਿਫਟ,ಬೀಜಗಣಿತದ ಶಿಫ್ಟ್
ਐਲਜਬ੍ਰਿਕ ਸਾਈਨ ਕਨਵੈਨਸ਼ਨ,ಬೀಜಗಣಿತ ಚಿಹ್ನೆ ಸಮಾವೇಶ
ਐਲਗੋਲ,ಪಾಚಕ
ਐਲਗੋਲ ਵਿਸ਼ੇਸ਼ਤਾ,ಆಲ್ಗೋಲ್ ವೈಶಿಷ್ಟ್ಯ
ਐਲਗੋਲ ਪ੍ਰੋਗਰਾਮਿੰਗ,ಅಲ್ಗೋಲ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
ਐਲਗੋਰਿਦਮ,ಅಲ್ಗಾರಿದಮ್
ਐਲਗੋਰਿਦਮ ਐਸੋਸੀਏਟਿਵ ਭਾਸ਼ਾ,ಅಲ್ಗಾರಿದಮ್ ಸಹಾಯಕ ಭಾಷೆ
ਐਲਗੋਰਿਦਮ ਵਰਗੀਕਰਣ,ಅಲ್ಗಾರಿದಮ್ ವರ್ಗೀಕರಣ
ਐਲਗੋਰਿਦਮ ਦੀ ਗੁੰਝਲਤਾ,ಅಲ್ಗಾರಿದಮ್ ಸಂಕೀರ್ಣತೆ
ਐਲਗੋਰਿਦਮ ਕੰਪੂਟਿਟੀ,ಅಲ್ಗಾರಿದಮ್ ಗಣನೀಯತೆ
ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ,ಕ್ರಮಾವಧಿಕ ವಿಶ್ಲೇಷಣೆ
ਐਲਗੋਰਿਦਮਿਕ ਪਹੁੰਚ,ಕ್ರಮಾವಧಿಕ ವಿಧಾನ
ਐਲਗੋਰਿਦਮਿਕ ਭਾਸ਼ਾ,ಕ್ರಮಬದ್ಧ ಭಾಷೆ
ਐਲਗੋਰਿਦਮਿਕ ਰੁਟੀਨ,ಅಲ್ಗಾರಿದಮಿಕ್ ವಾಡಿಕೆಯ
ਐਲਗੋਰਿਧੀਮਿਕ ਸਿਧਾਂਤ,ಕ್ರಮಾವಧಿಕ ಸಿದ್ಧಾಂತ
ਉਪਨਾਮ,ಅಲಿಯಾಸ್
ਅਲਾਇਸਿੰਗ,ಅಲಿಯಾಸೆ
ਅਲਾਇਸ ਨਾਮ (= ਵਿਕਲਪਿਕ ਨਾਮ),ಅಲಿಯಾಸ್ ಹೆಸರು (= ಪರ್ಯಾಯ ಹೆಸರು)
ਅਲਾਈਨਮੈਂਟ,ಜೋಡಣೆ
ਨਿਰਧਾਰਤ ਕਰੋ,ನಿಯೋಜಿಸು
ਅਲਾਕਸੇਸ਼ਨ structure ਾਂਚਾ,ಹಂಚಿಕೆ ರಚನೆ
ਸਾਰੇ-ਉਦੇਸ਼ ਕੰਪਿ computer ਟਰ,ಎಲ್ಲಾ ಉದ್ದೇಶದ ಕಂಪ್ಯೂಟರ್
ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ,ವರ್ಣಮಾಲೆಯ ಪಾತ್ರ
ਵਰਣਮਾਲਾ ਅੱਖਰ ਸੈਟ,ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರಗಳ ಸೆಟ್
ਵਰਣਮਾਲਾ ਅੱਖਰ ਸਬਸੈੱਟ,ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ ಉಪವಿಭಾಗ
ਵਰਣਮਾਲਾ ਕੋਡ,ವರ್ಣಮಾಲೆ ಸಂಕೇತ
ਵਰਣਮਾਲਾ ਸ਼ਿਫਟ,ವರ್ಣಮಾಲೆ ಶಿಫ್ಟ್
ਵਰਣਮਾਲਾ ਸਤਰ,ವರ್ಣಮಾಲೆಯ ದಾರ
ਵਰਣਮਾਲਾ ਸ਼ਬਦ,ವರ್ಣಮಾಲೆ ಪದ
ਵਰਣਮਾਲਾ,ವರ್ಣಮಾಲೆ
ਕਫਾਈਜੋਮੈਟ੍ਰਿਕਸ,ಆಲ್ಫೇಜೀಟ್ರಿಕ್ಸ್
ਅਲਫ਼ਾਮਿਕ,ಆಲ್ಫಾಮನ
ਅਲਫੋਮੋਸੈਕ,ವರ್ಣಮಾಲೆಯ
ਅਲਫਾਨੁਮਿਕ,ವರ್ಣಮಾಲೆಯ
ਅਲਫਾਨੂਮੇਰਿਕਲ ਕੀਬੋਰਡ ਡਿਵਾਈਸ,ಆಲ್ಫಾನ್ಯೂಮರಿಕಲ್ ಕೀಬೋರ್ಡ್ ಸಾಧನ
ਅਲਫਾਨੁਮਿਕ ਅੱਖਰ ਸਮੂਹ,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಅಕ್ಷರ ಸೆಟ್
ਅੱਖਰ ਕੋਡ,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೋಡ್
ਅੱਖਰ ਕੋਡਿਡ ਅੱਖਰ ਸਮੂਹ,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೋಡೆಡ್ ಅಕ್ಷರ ಸೆಟ್
ਅਲਫਾਨੁਮਿਕ ਡੇਟਾ,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಡೇಟಾ
