Kannada,Assamese
ಕೃಷಿ ಕ್ಲಿನಿಕ್,কৃষি ক্লিনিক
1. ಕೃಷಿ ಕಾರ್ಮಿಕ 2. ಕೃಷಿ ಕಾರ್ಮಿಕ,১/ কৃষি শ্ৰম ২) কৃষি শ্ৰম
ಕೃಷಿ ಮಾರುಕಟ್ಟೆ,কৃষি বিপণন
ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ,কৃষি প্ৰযুক্তি
1. ಕೃಷಿ 2. ಕೃಷಿ 3. ಕೃಷಿ ವಿಜ್ಞಾನ,1. কৃষি 2. কৃষি 3. কৃষি বিজ্ঞান
ಕೃಷಿ ಅರಣ್ಯ,কৃষি বনজ
ಕೃಷಿ ಜೀವವೈವಿಧ್ಯ,কৃষি জৈৱ বৈচিত্ৰ্য
ಕೃಷಿ ಸಾವಯವ ದೋಷಗಳು,কৃষি জৈৱিক দোষ
ಕೃಷಿ ಜೀವಶಾಸ್ತ್ರ,কৃষি জীৱবিজ্ঞান
ಕೃಷಿ-ಹವಾಮಾನ ವೈವಿಧ್ಯ,কৃষি-জলবায়ু বৈচিত্ৰ্য
ಕೃಷಿ ಹವಾಮಾನ ವಲಯದ ಸೃಷ್ಟಿ,কৃষি জলবায়ু মণ্ডল সৃষ্টি
ಕೃಷಿ ಅರಣ್ಯ,কৃষি বনানীকৰণ
ಕೃಷಿಶಾಸ್ತ್ರ,কৃষি বিজ্ঞান
ಕೃಷಿಶಾಸ್ತ್ರ,কৃষিভিত্তিক
ಕೃಷಿ ಪಶುಪಾಲಕ,কৃষি পশুপালন
ಬೆಳೆ ಸಂಸ್ಕರಣೆ,শস্য প্ৰক্ৰিয়াকৰণ
ಹುಲ್ಲು ವಿಜ್ಞಾನ,ঘাঁহ বিজ্ঞান
ಬೆಳೆ ಪ್ರಕಾರ,শস্যৰ প্ৰকাৰ
ಎಪಿಫೈಟ್,এপিফাইট
ಐಕಿಯೋಚಿ ಮಣ್ಣು,আইকিওচি মাটি
ಬಣ್ಣಗುರುಡು,ৰঙৰ অন্ধতা
ಅಲ್ಫಿಸೋಲ್,আলফিছল
ಪಾಚಿ,শেলাই
ಪಾಚಿ ರೋಗ,শেলাইৰ ৰোগ
ಕ್ಷಾರ ನೀರು,ক্ষাৰকীয় পানী
ಕ್ಷಾರೀಯ,ক্ষাৰকীয়
ಪರ್ಯಾಯ,বিকল্প
ಅಲ್ಲೆಲೋ ರಸಾಯನಶಾಸ್ತ್ರ,allelo ৰসায়ন বিজ্ঞান
ಆಲೀಲ್,এলিল
ಅಲೆಲೋಪತಿ,এলেল&#39;পেথী
ವೇಥಿ ಬೆಳೆ,ভেঠী শস্য
ಪೂರ್ಣಗೊಳ್ಳುವಿಕೆ,consummation
ಫಲೀಕರಣ,নিষেচন কৰা
1. ಸಾಪೇಕ್ಷತೆ 2. ಅಲೋಮೆಟ್ರಿ,১.আপেক্ষিকতা ২.এলোমেট্ৰি
ಮಲ್ಟಿಪ್ಲಾಯ್ಡ್,multiploidy
1. ಪ್ಯಾರಾಜಿಗೋಸಿಟಿ,১/ পেৰাজাইগোচিটি
1. ಪರ್ಯಾಯ ವರ್ಷದ ಕಾರ್ಯ 2. ಪರ್ಯಾಯ ಕಾರ್ಯ,1. বিকল্প বছৰৰ ফলন 2. বিকল্প ফলন
ಪರ್ಯಾಯ ಭೂಮಿ ಬಳಕೆ,বিকল্প ভূমি ব্যৱহাৰ
ಪರಿಸರ,পৰিৱেশ
ಸುಧಾರಕ,সংস্কাৰক
ಮಿಟೋಸಿಸ್,মাইট’ছিছ
ಅಮೀನನ್,আমিনন
ಅಮೋನಿಯನ್,এমোনিয়ন
ಆಮ್ನಿಫೆರಸ್,amniferous
1. ನಿಷ್ಪರಿಣಾಮಕಾರಿ ರೂಪ 2. ಅರೂಪಿ,১.অকাৰ্যকৰী ৰূপ ২.অৰূপী
ಉಭಯಚರ ಮಿಶ್ರಣ,উভচৰ মিশ্ৰণ
ಆಂಫೋಟರಿಕ್,এম্ফোটেৰিক
ಸಂಗ್ರಹಣೆ,ষ্টকপাইলিং
1. ಆಮ್ಲಜನಕರಹಿತ 2. ಆಮ್ಲಜನಕರಹಿತ ಜೀವಿಗಳು,১/ এনাৰোবিক ২.এনাৰোবিক জীৱ
ಹ್ಯಾಪ್ಲಾಯ್ಡ್,হেপ্লয়ড
ಕೋನೀಯ ನೆಟ್ಟ,কৌণিক ৰোপণ
ಪಶುಸಂಗೋಪನೆ,পশুপালন
ಪ್ರಾಣಿಗಳ ಮಲವಿಸರ್ಜನೆ,পশুৰ মল-মূত্ৰ
ಜೀವನ ಶಕ್ತಿ,জীৱন্ত শক্তি
ಅಸಂಗತ,অস্বাভাৱিক
ಒಂದು ವರ್ಷದ ಸಸ್ಯ,এবছৰীয়া উদ্ভিদ
ವಾರ್ಷಿಕ,বছেৰেকীয়া
1. ಭಾವಪರವಶತೆ 2. ಪ್ರಕಾಶ,1. আনন্দ 2. উজ্জ্বলতা
ಆಂಥ್ರಾಕ್ಸ್,এন্থ্ৰেক্স
ಮಾನವಜನ್ಯ ಅಂಶಗಳು,মানৱজনিত কাৰকসমূহ
ಬದುಕುಳಿಯುವಿಕೆ,জীয়াই থকা
1. ಪ್ರತಿಜೀವಕ 2. ಪ್ರತಿಜೀವಕ,১/ এন্টিবায়টিক ২। এন্টিবায়টিক
ಹಿಮ್ಮೆಟ್ಟಿಸುವ,repulsive
ಉತ್ಕರ್ಷಣ ನಿರೋಧಕ,এন্টিঅক্সিডেন্ট
ಆಂಟಿಟಾಕ್ಸಿನ್,এন্টিটক্সিন
ಉಂಗುರದ ಬೆರಳು,ৰিং ফিংগাৰ
1. ಗಿಡಹೇನು 2. ಮಾಹು 3. ಚೇಪಾ,১.এফিড ২.মহু ৩.চেপা
ಮೇಲಿನ ಮೊಗ್ಗು,শীৰ্ষ কলি
ಗರಿಷ್ಠ ಪರಿಣಾಮಕಾರಿತ್ವ,শীৰ্ষ ফলপ্ৰসূতা
ಜೇನುಸಾಕಣೆ,মৌমাখি ৰখা
ಅಲೈಂಗಿಕತೆ,অযৌনতা
ಅಪೊಪ್ಟೋಸಿಸ್,এপ&#39;প্টোছিছ
ಅನುಬಂಧಗಳು,appendages
ಜೀರ್ಣಕಾರಕವಾಗಿ,appetizer
ಅನ್ವಯಿಸಲಾಗಿದೆ,প্ৰয়োগ কৰা হৈছে
ಜಲವಾಸಿ ಕಳೆ,জলজ অপতৃণ
1. ಮರ 2. ಮರದ ನಿವಾಸಿ,১.গছ ২.গছৰ বাসিন্দা
ಕವಲೊಡೆಯುತ್ತಿದೆ,শাখা-প্ৰশাখা
ಪ್ರೊಟೊಬೊಟಾನಿಕಲ್ ದಾಖಲೆಗಳು,প্ৰ&#39;ট&#39;বোটানিকেল ৰেকৰ্ড
ವಲಯ ಸಂಖ್ಯೆ,জ&#39;ন নম্বৰ
1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
ಒಣ ಪರಿಸರ ವ್ಯವಸ್ಥೆ,শুকান পৰিৱেশ তন্ত্ৰ
ಕೋಟಿಲ್ಡನ್,কুটিলডন
ಸೌರಭ್,সৌৰভ
ಆರೊಮ್ಯಾಟಿಕ್ ಸಸ್ಯ,সুগন্ধিযুক্ত উদ্ভিদ
ಪರಿಮಳಯುಕ್ತ ಅಕ್ಕಿ,সুগন্ধি চাউল
ಇಕ್ಷು ಪುಷ್ಪನ್,ইক্ষু পুষ্পন
ಅಸೆಪ್ಟಿಕ್,বীজাণুমুক্ত
1. ಅಸೆಪ್ಟಿಕ್ 2. ಅಸೆಪ್ಟಿಕ್,১.এচেপ্টিক ২.এচেপ্টিক
ಅಲೈಂಗಿಕ ಸಂತಾನೋತ್ಪತ್ತಿ,অযৌন প্ৰজনন
ಗಾತ್ರ,আকাৰ
ಆಸ್ತಿ,সম্পত্তি
1. ಸಮೀಕರಣ 2. ಸಮೀಕರಣ,১/ আত্মসাৎ ২. আত্মসাৎ
1. ಸಂಘ 2. ಸಂಘ,১.সংঘ ২.সংঘ
1. ಕಾಲಮ್ 2. ಸಂಕೋಚನ,1. স্তম্ভ 2. astringency
ಹೆಟೆರೋಜೈಗೋಸಿಟಿ,হেটেৰ&#39;জাইগোচিটি
1. ಪೂರ್ವಜ 2. ಅಟಾವಿಸಂ,১.পূৰ্বপুৰুষ ২.আটাভিজম
ಕಣ,কণা
1. ದೃಢೀಕರಣ 2. ದುರ್ಬಲತೆ,1. অনিশ্চয়তা 2. বিকলতা
ಸ್ವಯಂ ಜೋಡಣೆ,self pairing
ಆಟೋಲಿಸಿಸ್,অটোলাইছিছ
1. ಸ್ವಾಭಾವಿಕ ಆಕ್ಸಿಡೀಕರಣ 2. ಸ್ವಾಭಾವಿಕ ಉತ್ಕರ್ಷಣ,1. স্বতঃস্ফূৰ্ত অক্সিডেচন 2. স্বতঃস্ফূৰ্ত অক্সিডেচন
ಸ್ವಯಂ ಮಲ್ಟಿಪ್ಲೆಕ್ಸ್,self multiplexed
ಆಕ್ಸಿನ್,অক্সিন
1. ಷೂಕ್ 2. ಟೋಡ್,১/ জোকাৰি যোৱা ২. টোড
ದಂಡದ ವೈರಸ್,পেনাল ভাইৰাছ
1. ಬ್ಯಾಸಿಲಸ್ 2. ಬ್ಯಾಸಿಲಸ್,১.বেচিলাছ ২.বেচিলাছ
1. ಬ್ಯಾಕ್ಟೀರಿಯಾ 2. ಬ್ಯಾಕ್ಟೀರಿಯಾ,১/ বেক্টেৰিয়া ২) বেক্টেৰিয়া
ಬ್ಯಾಕ್ಟೀರಿಯಾದ ವಿಷ,বেক্টেৰিয়াৰ বিষাক্ত পদাৰ্থ
ಬಗಸೆ,বাগাছ
ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್,বেলেন্স শ্বীট
ಸಮತೋಲಿತ ರಸಗೊಬ್ಬರ ಬಳಕೆ,সুষম সাৰৰ ব্যৱহাৰ
ಬಾರ್ ಗ್ರಾಫ್,বাৰ গ্ৰাফ
ತೊಗಟೆ,বাকলি
1. ವಾಯುಭಾರ ಮಾಪಕ 2. ವಾಯುಭಾರ ಮಾಪಕ,১.বেৰ’মিটাৰ ২.বেৰ’মিটাৰ
1. ಬಜರ್ 2. ಜಡ 3. ಬಂಜರು,১. বাজাৰ ২. নিষ্ক্ৰিয় ৩. বন্যাৰ্ত
1. ಬೇಸ್ 2. ಬೇಸ್ 3. ಕುಪಾಂಗ್,1. ভিত্তি 2. ভিত্তি 3. কুপাং
1. ತಾಲಾ 2. ಜಲಾನಯನ ಪ್ರದೇಶ,১.তালা ২.বেচিন
ತಲಾಬಿಸಾರಿ,তালাবিছাৰী
1. ಬೇಸಿಸ್ಟರ್ನಮ್ 2. ರೂಟ್ ಹೋಲ್ಡರ್,১.বেচিষ্টেৰনাম ২.মূল ধাৰণকাৰী
ಗಲ್ಫ್ ಮಾನ್ಸೂನ್,উপসাগৰীয় বাৰিষা
ಹಣ್ಣಿನ ಗಿಡ,ফলৰ উদ্ভিদ
ಹಾಸಿಗೆ,বিছনা
ಹಾಸಿಗೆ ಸಸ್ಯ,বিচনা উদ্ভিদ
ಹಾಸಿಗೆ,বিচনা চাদৰ
ಬೀಟ್ ಮೊಲಾಸಸ್,বুটমাহৰ গুড়
ಬೆಲ್ಲೋಸ್,bellows
1. ಪಟ್ಟಿ 2. ಭೂಪ್ರದೇಶ,১.ষ্ট্ৰিপ ২.ভূখণ্ড
ಲಾಭ-ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ,লাভ-খৰচ বিশ্লেষণ
ಮಹತ್ವಾಕಾಂಕ್ಷಿ (ಮಾದರಿ),আকাংক্ষিত (Sampling)
ದ್ವೈವಾರ್ಷಿಕ ಸಸ್ಯಗಳು,দ্বিবাৰ্ষিক উদ্ভিদ
ದ್ವಿಪದ,দ্বিপদ
ಜೈವಿಕ ಅಂಶ,বায়&#39;ফেক্টৰ
ಜೈವಿಕ ಹವಾಮಾನ,জৈৱিক জলবায়ু
ಜೈವಿಕ ಶಕ್ತಿ,জৈৱ শক্তি
ಪ್ರಾಣಿಗಳ ಪರಿಸರ ವಿಜ್ಞಾನ,প্ৰাণীৰ পৰিস্থিতিতন্ত্ৰ
1. ಬಯೋ-ಪ್ರೊಸೆಸರ್ 2. ಬಯೋ-ರಿಯಾಕ್ಟರ್,১/ বায়’-প্ৰচেছৰ ২.বায়’-ৰিয়ক্টৰ
ಜೀವಗೋಳ,জৈৱমণ্ডল
ಜೈವಿಕ,জৈৱিক
ಪ್ರಾಣಿಸಂಕುಲ,প্ৰাণীজগত
ದಿವಿಲಿಂಗಿ,ডিভিলিংগি
ಧವಳನ್,ধাৱলান
1. ಪ್ರಧ್ವಸನ್ (ರೋಗ) 2. ಗಸ್ಟ್ ರೋಗ,১/প্ৰধ্বাসন (ৰোগ) ২) গাষ্ট ৰোগ
ಮಿಶ್ರಣ,মিশ্ৰণ
1. ಅಂಗಮಾರಿ (ರೋಗ) 2. ರೋಗ (ರೋಗ),১.আংমাৰী (ৰোগ) ২.ব্লাইট (ৰোগ) ২.
1. ಬ್ಲಿಸ್ಟರ್ 2. ಬ್ಲಿಸ್ಟರ್ 3. ಎರಪ್ಶನ್ 4. ಬ್ಲಿಸ್ಟರ್,১/ ফোহা ২. ফোহা ৩. বিস্ফোৰণ ৪. ফোহা
ನೀಲಿ ಕ್ರಾಂತಿ,নীলা বিপ্লৱ
ಪ್ಲಾನರ್ ಹೀಟಿಂಗ್ ಚೇಂಬರ್,প্লেনাৰ হিটিং চেম্বাৰ
ಪ್ಲ್ಯಾನರ್ ತಾಪನ ತಂತ್ರಜ್ಞಾನ,সমতল উত্তাপন প্ৰযুক্তি
ಹೊಟ್ಟು,ব্ৰাণ
ಕವಲೊಡೆಯುತ್ತಿದೆ,শাখা-প্ৰশাখা
1. ರೆಂಬೆ 2. ಉಪಶಾಖೆ,১.ডাল ২.উপশাখা
ತಳಿ,বংশবৃদ্ধি
ಸಂತಾನೋತ್ಪತ್ತಿ,প্ৰজনন
ಆರಂಭಿಕ ಮೊಳಕೆಯೊಡೆಯುವಿಕೆ ಚಿಕಿತ್ಸೆ,আগতীয়াকৈ অংকুৰণৰ চিকিৎসা
1. ಮರಿ 2. ಮೊಟ್ಟೆ 3. ಭ್ರೂಣ,১. পোৱালি ২. কণী ৩. ভ্ৰূণ
ಮೊಳಕೆಯೊಡೆಯುತ್ತಿದೆ,budding
ಬಜೆಟ್,বাজেট
1.ಆಂಫೋಟೆರಿಕ್ 2. ಬಫರ್,১.এম্ফোটেৰিক ২.বাফাৰ
ಸಿಹಿ ಆಲೂಗಡ್ಡೆ,মিঠা আলু
ಬಂಟ್ (ರೋಗ),বান্ট (ৰোগ)
1. ಉಪ ಉತ್ಪನ್ನ 2. ಉಪ ಉತ್ಪನ್ನ,1. উপ-উৎপাদন 2. উপ-উৎপাদন
c ತೇವಾಂಶದ ನಿರ್ದಿಷ್ಟ ಕರ್ವ್,c আৰ্দ্ৰতা নিৰ্দিষ্টকৰণ বক্ৰ
ಎಣ್ಣೆ ಕೇಕ್,তেলৰ কেক
1. ಸುಣ್ಣ 2. ಕ್ಯಾಲ್ಸಿಯಂ,১.চূণ ২.কেলচিয়াম
ಕ್ಯಾಲ್ಸಿಯಾನ್,calcion
ಫಾಸ್ಫೇಟ್ ತೆಗೆಯುವಿಕೆ,ফছফেট আঁতৰোৱা
1. ಕಿನಾಟಾ 2. ಕ್ಯಾಲಟಾ,১.কিনাটা ২.কালাটা
1.ಕ್ಯಾಲಸ್ 2. ಕಿರಣ,১.কেলাছ ২.ৰশ্মি
1. ಸೀಪಲ್ಸ್ 2. ಕ್ಯಾಲಿಕ್ಸ್,1. ফুলৰ গুটি 2. calyx
ಹೊರಗಿನ ಅಂತ್ಯ,বাহ্যিক শেষ
ಈಧಾ,এধা
ಕ್ಯಾನ್ಸರ್ (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ),কেন্সাৰ (বেক্টেৰিয়াৰ ৰোগ)
ಕ್ಯಾನಿಂಗ್,কেনিং
ಆಕಾಶ,আকাশ
ಹಣಕಾಸು,বিত্ত
ಪರಾಗಸ್ಪರ್ಶ (ಅಂಜೂರದ ಹಣ್ಣುಗಳು),পৰগাছা (ডুমুৰৰ)
1. ಕ್ಯಾಪ್ಸುಲ್ 2. ಕ್ಯಾಪ್ಸುಲ್ 3. ಕ್ಯಾಪ್ಸುಲ್,১.কেপচুল ২.কেপচুল ৩.কেপচুল
ಕಾರ್ಬೊನೈಸ್ಡ್,কাৰ্বনাইজড
ಕಾರ್ಬೊನಾನ್,কাৰ্বনেন
ಕ್ಯಾರಪೇಸ್,carapace
ಕಂಕಣ,এপাত হাতৰ অলংকাৰ
1. ಎರಕ (ಕಬ್ಬಿಣ) 2. ಕ್ಷಿತಿ (ಕೀಟ),1. ঢালাই (লোহা) 2. ক্ষীপতি (পোক)
ಕ್ಯಾಟಬಾಲಿಸಮ್,কেটাবলিজম
ಪ್ರೇರಣೆ,প্ৰৰোচনা
1. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್ 2. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್,1. পোক 2. পোক
ಸಿ ಡಿ. ಎನ್. ಎ. ಸಂಗ್ರಹಣೆ,গ ঘ. এন. ক. সংগ্ৰহ
ವ್ಯಾಪ್ತಿ,পৰিসৰ
1. ಕೋಶ 2. ಕೋಶ,১.কোষ ২.কোষ
ಕೇಂದ್ರ ಮುಂಭಾಗದ ವ್ಯವಸ್ಥೆ,কেন্দ্ৰীয় ফ্ৰন্ট ব্যৱস্থা
1. ಪಾಯಿಂಟ್ 2. ಫೋಕಸ್,1. বিন্দু 2. ফোকাচ
ಕೇಂದ್ರಾಪಗಾಮಿ,কেন্দ্ৰচালিতকৰণ
ಕೇಂದ್ರಾಪಗಾಮಿ,কেন্দ্ৰচালিত কৰক
ನಕ್ಷತ್ರ ಕೇಂದ್ರ,তাৰকা কেন্দ্ৰ
ಎಪಿಜೆನೆಟಿಕ್,এপিজেনেটিক
ಕೇಂದ್ರರಾಜ,কেন্দ্ৰজা
ಮಗ್ಗ,loom
1. ಏಕದಳ 2. ಸೀರಿಯಲ್,১/ শস্যৰ বীজ ২. ছিৰিয়েল
1. ಪ್ರಮಾಣೀಕರಣ 2. ಪ್ರಮಾಣೀಕರಣ,১.প্ৰমাণীকৰণ ২.প্ৰমাণীকৰণ
ಪ್ರಮಾಣೀಕೃತ ಬೀಜ,প্ৰমাণিত বীজ
1. ಹುಲ್ಲು 2. ಕುಟ್ಟಿ 3. ಶಾಲಕ್ ಸಹಪಾತ್ರ,১) খেৰ ২.কুট্টি ৩.শালক সহপাত্ৰ
1. ನಿಭಾಗ್ 2. ಕೈಲಾಜಾ,১.নিভাগ ২.কৈলাজা
ಕೈಮೊಗ್ರಫಿ,চাইম&#39;গ্ৰাফী
1. ಕಿಯಾಜ್ಮಾ 2. ಕಾರ್ಯನಿರತ,১.কিয়াজমা ২.ব্যস্ত
ಸೂಪರ್ ಕೂಲಿಂಗ್ ಗಂಟೆಗಳು,ছুপাৰকুলিং ঘন্টা
ಫ್ರಾಸ್ಟ್ ಹಾನಿ,হিম ক্ষতি
1. ವಿಚಿರೋಟಕಿ 2. ಚಿಮೆರಾ,১/ ভিচিৰোটাকি ২.চিমেৰা
ಹಸಿರು ಗಂಜಿ,সেউজীয়া দাইল
1. ಎಲೆಗಳು 2. ಹಸಿರು,১.পাতল ২.সেউজীয়া
ಸೈನೋಸಿಸ್,চাইন&#39;ছিছ
ಜೈವಿಕ ವಿತರಣಾ ವಿಜ್ಞಾನ,জৈৱিক বিতৰণ বিজ্ঞান
1. ಕ್ರೊಮಾಟಿಡ್ಸ್ 2. ಅರ್ಧ ವರ್ಣತಂತುಗಳು,১) ক্ৰ’মেটিড ২) আধা ক্ৰম’জম
ಕ್ರೊಮಾಟಿನ್,ক্ৰ&#39;মেটিন
ಕ್ರೊಮ್ಯಾಟೋಗ್ರಫಿ,ক্ৰ&#39;মাট&#39;গ্ৰাফী
ಕ್ರೊಮಾಟಿಲೇಷನ್,ক্ৰ&#39;মেটিনেচন
ಹೃತ್ಕರ್ಣದ ಬಿಂದು,অলিন্দৰ বিন্দু
ಕ್ರೊಮಾಟೊಜೆನೆಸಿಸ್,ক্ৰ&#39;মেট&#39;জেনেছিছ
1. ಕ್ರೋಮೋಪ್ರೋಟೀನ್ 2. ಪಿಗ್ಮೆಂಟ್ಪ್ರೋಟೀನ್,১/ ক্ৰম’প্ৰটিন ২.ৰঞ্জক প্ৰটিন
1. ವರ್ಣತಂತುಗಳು 2. ವರ್ಣತಂತುಗಳು,১.ক্ৰম’জম ২.ক্ৰম’জম
1. ದೀರ್ಘಕಾಲದ 2. ದೀರ್ಘಕಾಲದ 3. ದೀರ್ಘಕಾಲದ 4. ಬಳಕೆಯಲ್ಲಿಲ್ಲದ,1. দীৰ্ঘদিনীয়া 2. দীৰ্ঘদিনীয়া 3. দীৰ্ঘদিনীয়া 4. অচল
ಸಿಟ್ರೇಂಜ್,ট্যাগ এর সাথে ছবি &#39;citrange&#39;:
ಶರತ್ಕಾಲದ ಹಬ್ಬ,পতন উৎসৱ
ವರ್ಗೀಕರಣ,শ্ৰেণীবিভাজন
1. ಮಣ್ಣು 2. ಮಣ್ಣು,১.মাটি ২.মাটি
