Bengali,Marathi
সিমেন্টেশন প্রক্রিয়া,सिमेंटेशन प्रक्रिया
কেন্দ্রীভূত করা,केंद्रीकरण
সেন্টারিং এবং শাটারিং,सेंटरिंग आणि शटरिंग
কেন্দ্রীয় মিশ্র কংক্রিট,केंद्रीय मिश्रित कंक्रीट
কেন্দ্রীয় মিশুক,मध्यवर्ती मिक्सर
কেন্দ্রাতিগ পাখা,केंद्रापसारक पंखा
চক,खडू
চেম্ফার,चांफर
চেম্ফার ফালা,चेंफर पट्टी
চ্যানেল বিম,चॅनेल बीम
চরিত্রগত লোড,वैशिष्ट्यपूर्ण भार
চারিত্রিক শক্তি,वैशिष्ट्यपूर्ण ताकद
বন্ধ চার্জ,चार्ज बंद
চার্জিং,चार्ज होत आहे
চেক করা হচ্ছে,तपासत आहे
রাসায়নিক বন্ধন,रासायनिक बंध
চেরনোজেম,चेरनोझेम
চেস্টনাট মাটি,चेस्टनट माती
চিমনি নর্দমা,चिमणी गटर
চিপ বোর্ড,चिप बोर्ड
চিপিং,चिपिंग
চিপস,चिप्स
চুট,चुटे
শ্রেণী (কংক্রিটের),वर्ग (काँक्रीटचा)
কাদামাটি,चिकणमाती
কাদামাটি বিষয়বস্তু,चिकणमाती सामग्री
মাটির প্যান,मातीचा तवा
পরিস্কার করা,क्लीनआउट
পরিষ্কার কর,साफ करा
ক্লিট,क्लीट
ক্লিঙ্কার,क्लिंकर
ক্লিপ,क्लिप
জমাট বাঁধা,गोठणे
মোটা সমষ্টি,खडबडीत एकूण
মোটা দানাদার মাটি,खडबडीत दाणेदार माती
কোট,कोट
কফার বাঁধ,कोफर धरण
সংহতি,एकसंधता
কলয়েড,कोलायड
কোলয়েডাল আর্দ্রতা সমতুল্য অনুপাত,कोलोइडल आर्द्रता समतुल्य गुणोत्तर
কলয়েডাল সিস্টেম,कोलाइडल प्रणाली
কোলুভিয়াল মাটি,कोल्व्हियल माती
কলাম,स्तंभ
কম্বড ফিনিস,कॉम्बेड फिनिश
সম্মিলিত পাদদেশ,एकत्रित पाया
মিলিত জল,एकत्रित पाणी
বৈঠকখানা,सामान्य खोली
সমাপনী সনদ,पूर्णत्वाचे प्रमाणपत्र
উপাদান বর্গক্ষেত্র,घटक चौरस
কংক্রিট,काँक्रीट
কংক্রিশন,काँक्रिशन
একত্রিত হার/সমতল হার,एकत्रित दर/सपाट दर
দূষক,दूषित पदार्थ
আলকোভ রান্না করা,पाककला alcove
মোকাবিলা করা,सामना करणे
করবেল,कॉर्बेल
কার্নিস,कॉर्निस
কাপলার,कपलर
"যুগল, দ্বিগুণ","युग्मक, दुहेरी"
"কাপলার, পুটলগ","कपलर, पुटलॉग"
"কাপলার, সুইভেল","युग्मक, कुंडा"
কোর্স,अभ्यासक्रम
র্যান্ডম ধ্বংসস্তূপ রাজমিস্ত্রি কোর্স করা,यादृच्छिक भंगार दगडी बांधकाम
ঢাকা এলাকা,झाकलेले क्षेत्र
হামাগুড়ি,रांगणे
ক্রীপ সহগ,रांगणे गुणांक
ক্রোটোভাইন,क्रोटोवाइन
কাকের পা,कावळा पाय
চূর্ণবিচূর্ণ গঠন,लहानसा तुकडा रचना
প্রতিবন্ধক,अंकुश
কারেন্ট,चालू
বক্ররেখা প্রতিরোধের,वक्र प्रतिकार
স্যাঁতসেঁতে প্রুফ কোর্স,ओलसर पुरावा कोर्स
সমাপ্তির তারিখ,पूर्ण होण्याची तारीख
মৃত লোড,मृत भार
মরা জল,मृत पाणी
ডেসিবেল,डेसिबल
ডিফ্লোকুলেশন,Deflocculation
বায়ুচলাচল বা বায়ু স্থান অনুপাত ডিগ্রী,वायुवीजन किंवा हवेच्या जागेचे प्रमाण
সমষ্টির ডিগ্রি,एकत्रीकरणाची पदवी
বিচ্ছুরণ ডিগ্রী,फैलाव पदवी
স্যাচুরেশন ডিগ্রী,संपृक्तता पदवी
ঘনত্ব,घनता
মরুভূমির ফুটপাথ,वाळवंट फुटपाथ
মরুভূমির মাটি,वाळवंटी माती
বিস্তারিত,तपशील
উন্নয়নের সময়কাল,विकास कालावधी
ডি-দিগন্ত,डी-क्षितिज
তির্যক বন্ধন,कर्ण बंध
ডায়াগ্রাম,आकृती
ডিজিটাল ডক,डिजिटल डॉक
পার্থক্য জলের হার,विभेदक पाणी दर
পাতলা বায়ুচলাচল,सौम्य वायुवीजन
ডিলুভিয়াম,डिलुव्हियम
খাবার কক্ষ,जेवणाची खोली
দিকনির্দেশনা পেগ,दिशा पेग
বিচ্ছুরণ,फैलाव
ডিস্টেম্পার,डिस्टेंपर
ডক,गोदी
দরজা,दार
ডর্মার,डोर्मर
ডর্মার চেক,डॉर्मर चेक
ডাবল ফ্লেমিশ বন্ড,दुहेरी फ्लेमिश बाँड
ডবল লেয়ার,दुहेरी थर
দোয়েল,डोवेल
অঙ্কন বোর্ড,रेखाचित्र बोर्ड
বৈঠকখানা,रेखाचित्र खोली
প্রবাহ,वाहून नेणे
শুকনো বাল্বের তাপমাত্রা,कोरडे बल्ब तापमान
শুকনো ডক,कोरडी गोदी
শুকনো রাবার রাজমিস্ত্রি,कोरडे रबर दगडी बांधकाम
ডাচ বন্ড,डच बाँड
বামন প্রাচীর,बटू भिंत
বাস ইউনিট,निवास एकक
ইভ,इव्ह
ইভস নর্দমা,Eaves गटर
অর্থনৈতিক সম্ভাব্যতা,आर्थिक व्यवहार्यता
এক্টোডাইনামরফিক মাটি,एक्टोडायनामॉर्फिक माती
এডি,एडी
কার্যকরী আকার,प्रभावी आकार
প্রস্ফুটিত,फुलणे
বর্জ্য,सांडपाणी
উচ্চতা,उत्थान
ইলুভিয়েশন,एलिव्हिएशन
এলুভিয়াম,एल्युव्हियम
এন্ডোডাইনামরফিক মাটি,एंडोडायनामॉर्फिक माती
ইঞ্জিনিয়ারিং সম্ভাব্যতা,अभियांत्रिकी व्यवहार्यता
ইংরেজি বন্ড,इंग्रजी बंधन
ইংরেজি বাগান প্রাচীর বন্ধন,इंग्रजी बाग भिंत बंधन
"EPM (প্রতি মিলিয়নের সমতুল্য),&quot;","EPM (समतुल्य प्रति दशलक्ष),&quot;"
সমান ওজন,समतुल्य वजन
অর্গ,अर्ग
বিনিময়যোগ্য,अदलाबदल करण्यायोग्य
বিনিময়যোগ্য অম্লতা,एक्सचेंज करण्यायोग्य आम्लता
বিনিময়যোগ্য সোডিয়াম শতাংশ (ESP),एक्सचेंजेबल सोडियम टक्केवारी (ESP)
ই এস পি,ई.एस.पी.
এক্সচেঞ্জ অ্যাসিডিটি,एक्सचेंज आंबटपणा
এক্সচেঞ্জ কমপ্লেক্স,एक्सचेंज कॉम्प्लेक्स
নিষ্কাশন,एक्झॉस्ट
উন্মুক্ত ফিনিস,उघड समाप्त
আই,डोळा
ভুরু,डोळा कपाळ
সম্মুখ,तोंड देत
বন্ড সম্মুখীন,बाँडचा सामना करत आहे
নিরাপত্তার ফ্যাক্টর,सुरक्षिततेचा घटक
পতন,पडणे
ফেসিয়া,फेसिया
ফেসিয়া বোর্ড,फेशिया बोर्ड
দোষ,दोष
মাঠের আর্দ্রতা,फील्ड ओलावा
চূড়ান্ত আর্দ্রতা সমতুল্য,अंतिम ओलावा समतुल्य
ফিলেট (মর্টার),फिलेट (मोर्टारचा)
চূড়ান্ত,अंतिम
চূড়ান্ত পরিমাপ,अंतिम मोजमाप
চূড়ান্ত অর্থপ্রদান,अंतिम पेमेंटq
চূড়ান্ত প্রাক চাপ,अंतिम पूर्व ताण
চূড়ান্ত উত্তেজনা,अंतिम ताण
আর্থিক সম্ভাব্যতা,आर्थिक व्यवहार्यता
সূক্ষ্ম সমষ্টি,उत्तम एकूण
ফিসার্ড শিলা,फुटलेला खडक
পতাকা পাথর,ध्वजाचा दगड
ফ্লেমিশ বন্ড,फ्लेमिश बाँड
ঝলকানি,चमकत आहे
চটকদার স্রোত,चमकणारा प्रवाह
সমতল ছাদ,सपाट छप्पर
ফ্লেচে,फ्लेचे
ফ্লেমিশ গার্ডেন ওয়াল বন্ড,फ्लेमिश गार्डन भिंत बंधन
চকমকি,चकमक
চকমকি দেয়াল,चकमक भिंत
ভাসমান মেঝে,फ्लोटिंग मजला
ফ্লোকুলেশন,फ्लोक्युलेशन
ফ্লোকুলেশন সীমা,फ्लोक्युलेशन मर्यादा
ফ্লোকুলেশন অনুপাত,फ्लोक्युलेशन गुणोत्तर
ফ্লোকুলস,फ्लोक्युल्स
মেঝে,मजला
মেঝে সিল,मजला सील
প্রবাহ,प्रवाह
ওঠানামা,चढ - उतार
ফুটিং,फूटिंग
ফাউন্ডেশন,पाया
ফ্রি ফল ব্যারো টপিং মিক্সার,फ्री फॉल बॅरो टॉपिंग मिक्सर
ফ্রি ফল মিক্সার (ড্রাম টাইপ),फ्री फॉल मिक्सर (ड्रम प्रकार)
বিনামূল্যে পাথর,मुक्त दगड
ফ্রেশেট,फ्रेशेट
ঘর্ষণ গাদা,घर्षण ढीग
ব্যাঙ,बेडूक
গ্যাবল,गॅबल
গ্যাবলেট,गॅबलेट
গ্যাম্বেলের ছাদ,Gambrel छप्पर
গেজ,गेज
পরিমাপক বিভাগ,गेजिंग विभाग
গেজিং স্টেশন,गेजिंग स्टेशन
সাধারণ অবস্থান পরিকল্পনা,सामान्य स्थान योजना
সাধারণ বায়ুচলাচল,सामान्य वायुवीजन
G দিগন্ত বা gley দিগন্ত,G क्षितीज किंवा gley क्षितीज
হিমবাহ পর্যন্ত,पर्यंत हिमनदी
জিনিস,Gneiss
গুডস ইয়ার্ড,माल यार्ड
গ্রেডিয়েন্ট প্রতিরোধ,ग्रेडियंट प्रतिकार
গ্রানাইট,ग्रॅनाइट
দানাদার গঠন,दाणेदार रचना
দানাদার,दाणेदार
কণিকা,ग्रेन्युल
মহাকর্ষীয় জল মুক্ত জল,गुरुत्वाकर्षण मुक्त पाणी
গ্র্যাভিটেশনাল ইয়ার্ড,गुरुत्वाकर्षण यार्ड
মহান মাটি গ্রুপ,ग्रेट माती गट
গ্রিলেজ ফাউন্ডেশন,ग्रिलेज फाउंडेशन
স্থল হাত ছাঁচনির্মাণ,ग्राउंड हँड मोल्डिंग
দলবদ্ধ ডক,गटबद्ध डॉक
গ্রুপ হাউজিং,समूह गृहनिर्माण
অতিথি কক্ষ,अतिथी खोली
নর্দমা,गटार
নর্দমা বহনকারী,गटार वाहक
গটার চেক,गटर तपासणी
হাতুড়ি ড্রেসিং,हॅमर ड्रेसिंग
হারবার,बंदर
আশ্রয়ের পোতাশ্রয়,आश्रयाचे बंदर
শক্ত প্যান,कडक पॅन
হেডার,शीर्षलेख
হেডার বন্ড,हेडर बॉण्ड
হেডার কোর্স,हेडर कोर्स
হেড গেটের গঠন,हेड गेटची रचना
খালের প্রধান,कालव्याचे प्रमुख
হেড রেগুলেটর,हेड रेग्युलेटर
হেরিং হাড়ের বন্ধন,हेरिंग हाडांचे बंधन
হার্টিং,हृदयविकार
ভিজানোর তাপ,भिजण्याची उष्णता
উচ্চ অ্যালুমিনা সিমেন্ট,उच्च अॅल्युमिना सिमेंट
নিতম্ব,हिप
হিপ ক্যাপিং,हिप कॅपिंग
নিতম্বের শেষ,नितंब टोक
ঘোমটা,हुड
হুড ছাঁচনির্মাণ,हुड मोल्डिंग
হুকের আইন,हुकचा कायदा
হুপ লোহা,हूप लोह
দিগন্ত,क्षितिज
আর্দ্রতা,आर्द्रीकरण
"আর্দ্রতা, পরম","आर्द्रता, निरपेक्ष"
"আর্দ্রতা, আপেক্ষিক","आर्द्रता, सापेक्ष"
হাম্প ইয়ার্ড,कुबड्याचे अंगण
জলবাহী চাপ,हायड्रोलिक दाब
হাইড্রেশন,हायड्रेशन
হাইড্রোলাইসিস,हायड्रोलिसिस
হাইড্রোলাইটিক অ্যাসিডিটি,हायड्रोलाइटिक आम्लता
হাইড্রোমরফিক মাটি,हायड्रोमॉर्फिक माती
হাইড্রোফিলিক কলয়েড,हायड्रोफिलिक कोलाइड
হাইড্রোফোবিক কলয়েড,हायड्रोफोबिक कोलाइड
হাইড্রোস্ট্যাটিক চাপ অনুপাত,हायड्रोस्टॅटिक दाब प्रमाण
হাইগ্রোস্ক্যাপটিক সহগ,हायग्रोस्केप्टिक गुणांक
হাইগ্রোস্কোপিক আর্দ্রতা,हायग्रोस्कोपिक ओलावा
হাইড্রোস্কোপিসিটি,हायड्रोस्कोपीसिटी
হাইগ্রোস্কোপিক আর্দ্রতা,हायग्रोस्कोपिक ओलावा
হাইপারবারিক চেম্বার,हायपरबेरिक चेंबर
হাইপারস্ট্যাটিক ফ্রেম,हायपरस्टॅटिक फ्रेम
হাইপসোমিটার,हायपोमीटर
আলোকসজ্জা,रोषणाई
ইমবিবেশন আর্দ্রতা,इबिबेशन ओलावा
অপরিণত মাটি,अपरिपक्व माती
জব্দ ডক,जप्त डॉक
ভূমি রাজস্ব বৃদ্ধি,जमीन महसुलात वाढ
স্বাধীন ভারা,स्वतंत्र मचान
নিমজ্জিত,इन्ड्युरेटेड
প্রাথমিক prestress,प्रारंभिक prestress
প্রাথমিক উত্তেজনা,सुरुवातीचा ताण
অভ্যন্তরীণ জলপথ বন্দর,अंतर्देशीय जलमार्ग बंदर
অন্তরক বোর্ড,इन्सुलेट बोर्ड
মধ্যবর্তী বন্দর,मध्यवर्ती बंदर
অভ্যন্তরীণ ঘর্ষণ,अंतर्गत घर्षण
ইন্ট্রাজোনাল মাটি,इंट्राझोनल माती
অয়ন,आयन
আয়ন বিনিময়,आयन एक्सचेंज
লোহার প্যান,लोखंडी तवा
সেচ সম্পন্ন ভূমি,बागायती जमीन
সেচ,सिंचन
সেচ সেস,सिंचन उपकर
জাম্ব,जांब
জগল,धडपडणे
জগল পিন,जॉगल पिन
জুল,जौल
জাম্পার,जम्पर
কিলোগ্রাম,किलोग्रॅम
কিলোগ্রাম বল,किलोग्राम बल
কিলোগ্রাম ফোর্স মিটার,किलोग्राम फोर्स मीटर
কিলোওয়াট ঘন্টা,किलोवॅट तास
রাজা বন্ধ,राजा बंद
রান্নাঘর,स्वयंपाकघर
জরিযুক্ত কলাম,लेस केलेला स्तंभ
ল্যাগিং,मागे पडणे
ল্যামেলা মূল,लॅमेला रूट
লেমিনার প্রবাহ,पातळ थरांचा बनवलेला प्रवाह
বাতির গর্ত,दिवा भोक
ভূ - বিস্তৃতি,जमीन संवर्धन
ল্যান্ড স্লাইডিং,लँड स्लाइडिंग
ল্যাটেরাইট,लॅटराइट
ল্যাটেরাইট মাটি,लॅटराइट माती
বড় সংখ্যার আইন,मोठ्या संख्येचा कायदा
বিন্যাস পরিকল্পনা,लेआउट योजना
খাতা,लेजर
চুন প্যান,चुना पॅन
লিন্টেল,लिंटेल
তরল সীমা,द्रव मर्यादा
লাইভ লোড,थेट भार
দোআঁশ,चिकणमाती
স্থানীয় নিষ্কাশন বায়ুচলাচল,स्थानिक एक्झॉस्ट वेंटिलेशन
লোকো ইয়ার্ড,लोको यार्ड
লস,लॉस
নিম্ন প্লাস্টিকের সীমা,कमी प्लास्टिक मर्यादा
কম তাপ সিমেন্ট,कमी उष्णता सिमेंट
মেশিন ছাঁচনির্মাণ,मशीन मोल्डिंग
ম্যাক্রোস্ট্রাকচার,मॅक्रोस्ट्रक्चर
প্রধান প্রধান নিয়ন্ত্রক,मुख्य हेड रेग्युलेटर
প্রধান বন্দর,मुख्य बंदर
বায়ু আপ করা,मेकअप हवा
মানসার্ড,मॅनसार्ड
মার্শালিং ইয়ার্ড,मार्शलिंग यार्ड
রাজমিস্ত্রির কাজ,दगडी बांधकाम
পরিপক্ক তাপমাত্রা,परिपक्व तापमान
মধ্যবর্তী তলা মেঝে,मेझानाइन मजला
যান্ত্রিক বিশ্লেষণ,यांत्रिक विश्लेषण
যান্ত্রিক বায়ুচলাচল,यांत्रिक वायुवीजन
মেট্রিক সিস্টেম,मेट्रिक प्रणाली
মাইক্রোস্ট্রাকচার,मायक्रोस्ट्रक्चर
মিলি সমতুল্য,मिली समतुल्य
মিলি প্রতি লিটার সমতুল্য,मिली समतुल्य प्रति लिटर
খনিজ,खनिज
খনিজ মাটি,खनिज माती
ছোট বন্দর,किरकोळ बंदर
Mitred বন্ধ,Mitred बंद
মোবাইল সয়েল কলয়েড,मोबाइल माती कोलाइड
আর্দ্রতা কন্টেন্ট,आर्द्रतेचा अंश
আর্দ্রতা গ্রেডিয়েন্ট,ओलावा ग्रेडियंट
মনোলিথ,मोनोलिथ
মনোরেল,मोनोरेल
জাতীয় হারবার কাউন্সিল,राष्ट्रीय बंदर परिषद
প্রাকৃতিক বিছানা,नैसर्गिक पलंग
প্রাকৃতিক ফিনিস,नैसर्गिक समाप्त
প্রাকৃতিক পোতাশ্রয়,नैसर्गिक बंदर
প্রাকৃতিক বায়ুচলাচল,नैसर्गिक वायुवीजन
নৌ বন্দর,नौदल बंदर
নিউটন,न्यूटन
অ অভিন্ন প্রবাহ,एकसमान प्रवाह नसतो
জলের হার দখল করে,पाण्याचा दर व्यापतो
তেলে আকা,तेल रंग
তেল কূপ সিমেন্ট,तेल विहीर सिमेंट
খোলা চ্যানেল প্রবাহ,चॅनेल प्रवाह उघडा
সর্বোত্তম আর্দ্রতা,इष्टतम ओलावा
জৈব মাটি,सेंद्रिय माती
ওরিয়েন্টেশন,अभिमुखता
