ab initio,"ಹೊಸತಾಗಿ, ಮೊದಲಿನಿಂದ"
act,"ಅಧಿನಿಯಮ, ಕಾರ್ಯ, ಕೆಲಸ, ವರ್ತಿಸು"
act of God,ದೈವೀಘಟನೆ
act of misconduct,ದುರ್ವರ್ತನೆ ಕ್ರಿಯೆ
acting allowance,ಬದಲಿ ನಿರ್ವಹಣ ಭತ್ಯೆ
action,"ಕ್ರಮ, ಕ್ರಿಯೆ, ಕಾನೂನುರೀತ್ಯಾಕ್ರಮ"
action plan,"ಕಾರ್ಯಯೋಜನೆ, ಕ್ರಿಯಾ ಯೋಜನೆ"
active,"ಸಕ್ರಿಯ, ಕ್ರಿಯಾತ್ಮಕ"
actively,"ಸಕ್ರಿಯವಾಗಿ, ಕ್ರಿಯಾತ್ಮಕವಾಗಿ, ತೀವ್ರವಾಗಿ"
activist,"ಸಕ್ರಿಯ ಕಾರ್ಯಕರ್ತ, ಕ್ರಿಯಾಶೀಲ"
acts of commission and omission,ತಪ್ಪು ಒಪ್ಪುಗಳಕ್ರಿಯೆಗಳು
actual,"ವಾಸ್ತವಿಕ, ಯಥಾರ್ಥ"
actuals,ವಾಸ್ತವಿಕಗಳು
ad hoc,"ತತ್ ಪೂರ್ತ, ತಾತ್ಪೂರ್ತಿಕ"
ad hoc claim,"ತತ್ ಪೂರ್ತಹಕ್ಕು, ತತ್ ಪೂರ್ತ ಹಕ್ಕೊತ್ತಾಯ"
ad hoc committee,ತತ್ ಪೂರ್ತಸಮಿತಿ
ad hoc increase,ತತ್ ಪೂರ್ತ ಹೆಚ್ಚಳ
ad hoc payment,ತತ್ ಪೂರ್ತಬಟವಾಡೆ
ad valorem duty,"ಬೆಲೆಗೆ ತಕ್ಕಂತೆ, ಕ್ರಮಾನುಸಾರ, ಯಥಾ ಮೂಲ್ಯಶುಲ್ಕ"
adaptation,"ಅಳವಡಿಕೆ, ರೂಪಾಂತರ"
addition,"ಕೂಡುವುದು, ಸಂಕಲನ, ಜೋಡಿಸುವುದು, ಸೇರಿಸುವುದು"
addition and alteration,ಸೇರ್ಪಡೆ ಮತ್ತು ಮಾರ್ಪಾಟು
additional charge,ಅಧಿಕ ಪ್ರಭಾರ
additional fund,"ಹೆಚ್ಚುವರಿ ನಿಧಿ, ಹೆಚ್ಚುವರಿಹಣಕಾಸು"
additional grant,ಹೆಚ್ಚುವರಿ ಅನುದಾನ
additional information,ಹೆಚ್ಚಿನ ಸಮಾಚಾರ
additional pay,ಹೆಚ್ಚುವರಿ ವೇತನ
address,"ವಿಳಾಸ, ಭಾಷಣ, ಬಿನ್ನವತ್ತಳೆ, ಮಾನಪತ್ರ ಸಂಬೋಧಿಸು, ಭಾಷಣಮಾಡು"
address of welcome,ಸ್ವಾಗತ ಭಾಷಣ
addressee,ವಿಳಾಸದಾರ
adequate,"ಪರ್ಯಾಪ್ತ, ಸಾಕಷ್ಟು"
adhere to,"ದೃಢವಾಗಿರು, ಬದ್ಧವಾಗಿರು, ಅಂಟಿಕೊಳ್ಳು"
adjacent,"ಪಕ್ಕದ, ಮಗ್ಗುಲಿನ"
adjoining (=contiguous),"ಲಗತ್ತಾದ, ಸೇರಿಕೊಂಡಿರುವ, ಪಕ್ಕದಲ್ಲಿರುವ"
adjournment,"ಮುಂದೂಡಿಕೆ, ನಿಲುವಳಿ"
adjournment motion,ನಿಲುವಳಿ ಸೂಚನೆ
adjudge,"ನ್ಯಾಯ ನಿರ್ಣಯಿಸು, ತೀರ್ಪುಕೊಡು"
adjudicate,ನ್ಯಾಯ ನಿರ್ಣಯ ಮಾಡು
adjudication,"ನ್ಯಾಯ ನಿರ್ಣಯ, ತೀರ್ಪುನೀಡಿಕೆ"
adjudicator,ನ್ಯಾಯ ನಿರ್ಣಯಿಸುವವನು
adjustment,ಹೊಂದಾಣಿಕೆ
administer,"ಆಡಳಿತನಡೆಸು, ಪ್ರಮಾಣ ಮಾಡಿಸು, ನ್ಯಾಯಕೊಡು"
administer oath,ಪ್ರತಿಜ್ಞಾವಿಧಿ ಬೋಧಿಸು
administration,"ಆಡಳಿತ, ಕಾರ್ಯಭಾರ"
administration of justice,ನ್ಯಾಯಾಡಳಿತ
administrative,ಆಡಳಿತಾತ್ಮಕ
administrative action,"ಆಡಳಿತಾತ್ಮಕಕ್ರಿಯೆ, ಆಡಳಿತಾತ್ಮಕಕಾರ್ಯ"
administrative appraisal,ಆಡಳಿತಾತ್ಮಕ ಮೌಲ್ಯನಿರ್ಣಯ
administrative approval,ಆಡಳಿತಾತ್ಮಕ ಅನುಮೋದನೆ
administrative authority,ಆಡಳಿತಾತ್ಮಕ ಪ್ರಾಧಿಕಾರ
administrative control,ಆಡಳಿತಾತ್ಮಕ ನಿಯಂತ್ರಣ
administrative department,"ಆಡಳಿತಾತ್ಮಕ ಇಲಾಖೆ, ಆಡಳಿತಾತ್ಮಕ ವಿಭಾಗ"
administrative head,ಆಡಳಿತ ಮುಖ್ಯಸ್ಥ
administrative headquarters,ಆಡಳಿತಾತ್ಮಕ ಕೇಂದ್ರಕಾರ್ಯಸ್ಥಳ
administrative measures,ಆಡಳಿತಾತ್ಮಕ ಕ್ರಮಗಳು
administrative power,ಆಢಳಿತಾಧಿಕಾರ
administrative sanction,ಆಡಳಿತಾತ್ಮಕ ಮಂಜೂರಾತಿ
administrative technique,ಆಡಳಿತಾತ್ಮಕ ತಂತ್ರ
administrative tribunal,ಆಡಳಿತ ನ್ಯಾಯಮಂಡಳಿ
admissibility,"ಸ್ವೀಕಾರಾರ್ಹತೆ, ಅಂಗೀಕಾರಾರ್ಹತೆ"
admissible expenditure,"ಅಂಗೀಕಾರಯೋಗ್ಯ ಖರ್ಚು, ಅಂಗೀಕಾರಯೋಗ್ಯ ವೆಚ್ಚ"
admit,"ಅಂಗೀಕರಿಸು, ಸೇರಿಸಿಕೋ, ಪ್ರವೇಶಕೊಡು"
admit card,ಪ್ರವೇಶ ಪತ್ರ
admitted,"ಸ್ವೀಕರಿಸಲಾಗಿದೆ, ಒಪ್ಪಲಾಗಿದೆ, ಸೇರಿಸಿಕೊಳ್ಳಲಾಗಿದೆ, ಪ್ರವೇಶನೀಡಿದೆ"
admonish,ವಾಗ್ದಂಡನೆ ವಿಧಿಸು
adoptee,"ದತ್ತಕ, ದತ್ತು ತೆಗೆದು ಕೊಳ್ಳಲಾದವನು"
adoption,"ದತ್ತು ಸ್ವೀಕಾರ, ಅಂಗೀಕರಿಸು, ಸ್ವೀಕಾರ"
adoptor,ದತ್ತು ಸ್ವೀಕರಿಸಿದವನು
adult,ವಯಸ್ಕ
adult franchise,ವಯಸ್ಕಮತದಾನ
adulteration,ಕಲಬೆರಕೆ
adultery,"ಕಲಬೆರಕೆ ವ್ಯಭಿಚಾರ, ಹಾದರ"
advance,"ಮುಂಗಡ, ಮುನ್ನಡೆ, ಮುಂಚಲನ"
advance booking,ಮುಂಗಡ ಕಾದಿರಿಸುವಿಕೆ
advance copy,ಮುಂಗಡ ಪ್ರತಿ
advance payment,ಮುಂಗಡ ಸಂದಾಯ
advanced increment,ಮುಂಗಡ ವೇತನಬಡ್ತಿ
adverse entry,ಪ್ರತಿಕೂಲ/ವಿರುದ್ಧ-ನಮೂದು
adverse remarks,ಪ್ರತಿಕೂಲ ಷರಾ
adverse report,ಪ್ರತಿಕೂಲ ವರದಿ
advertisement,"ಜಾಹೀರಾತು, ಪ್ರಚಾರ"
advice,"ಸಲಹೆ, ಅಭಿಪ್ರಾಯ, ಸೂಚನೆ"
advice of payment,ಸಂದಾಯ ಸೂಚನೆ
advisory committee,ಸಲಹಾ ಸಮಿತಿ
advisory council,ಸಲಹಾ ಪರಿಷತ್ತು
advocate,"ವಕೀಲ, ನ್ಯಾಯವಾದಿ"
affairs,ವ್ಯವಹಾರಗಳು
affidavit,"ಶಪಥ ಪತ್ರ, ಅಫಿಡವಿಟ್ಟು"
affiliation,"ಸಂಲಗ್ನತೆ, ಸಂಯೋಜನೆ"
affirmation,"ದೃಢೀಕರಣ, ಪ್ರತಿಜ್ಞಾವಚನ"
affirmative,ಸಕಾರಾತ್ಮಕ
afford,"ಒದಗಿಸು, ಸಮರ್ಥನಾಗಿರು"
aforesaid,"ಹಿಂದೆಹೇಳಿದ, ಪೂರ್ವೋಕ್ತ"
afresh,ಹೊಸದಾದ
against,ವಿರುದ್ಧವಾದ
age,ವಯಸ್ಸು
age certificate,ವಯಸ್ಸಿನ ಪ್ರಮಾಣ ಪತ್ರ
age for suffrage,"ಮತಾಧಿಕಾರದ ವಯಸ್ಸು, ಮತದಾನದ ವಯಸ್ಸು"
age limit,ವಯೋಮಿತಿ
age of retirement,ನಿವೃತ್ತಿ ವಯಸ್ಸು
age of superannuation,ನಿವೃತ್ತಿ ವಯೋಮಿತಿ
agency,"ಕಾರ್ಯಭಾರ, ಏಜೆನ್ಸಿ"
agenda,ಕಾರ್ಯ ಸೂಚಿ
aggregation,ಒಟ್ಟಾರೆ ಮೌಲ್ಯ
aggrieved,"ಬಾಧಿತ, ತೊಂದರೆಗೊಳಗಾದ"
agitation,"ಚಳುವಳಿ, ಆಂದೋಲನ"
AGM (annual general meeting),ವಾರ್ಷಿಕ ಸಾಮಾನ್ಯಸಭೆ
agreement,"ಒಪ್ಪಂದ, ಒಡಂಬಡಿಕೆ"
agreement form,ಒಡಂಬಡಿಕೆ ನಮೂನೆ
agriculture,"ಕೃಷಿ, ವ್ಯವಸಾಯ"
agro-industry,ಕೃಷಿ-ಕೈಗಾರಿಕೆ
aid,"ಸಹಾಯ, ನೆರವು"
alarm,ಎಚ್ಚರಿಕೆ
alertness,"ಚುರುಕು, ಜಾಗರೂಕತೆ"
alias,"ಉಪನಾಮ, ಉರುಫ್, ಅಲಿಯಾಸ್, ಯಾನೆ"
all inclusive cost,ಎಲ್ಲವನ್ನೂ ಒಳಗೊಂಡ ಬೆಲೆ
All India Services,ಅಖಿಲ ಭಾರತೆ ಸೇವೆಗಳು
all rights reserved,ಎಲ್ಲ ಹಕ್ಕುಗಳನ್ನೂ ಕಾದಿರಿಸಿದೆ
allegation,ಆಪಾದನೆ
allegiance,ನಿಷ್ಠೆ
alliance,"ಮೈತ್ರಿ, ಸಂಬಂಧ"
allied services,ಸಂಬಂಧಿತ ಸೇವೆ
allocation,ನಿಗದಿ
allotment,"ಹಂಚುವುದು, ಹಂಚಿಕೆ"
allotment letter,ಹಂಚಿಕೆ ಪತ್ರ
allottee,"ಭಾಗಸ್ಥ, ಹಂಚಿತ, ಹಂಚಿಕೆಪಡೆದವ"
allow an appeal,"ಮೇಲ್ಮನವಿಗೆ ಸಮ್ಮತಿಸುವುದು, ಅನುಮತಿಸುವುದು"
allowable,ಅನುಮತಿಸಲಾದ
allowable expenses,ಅನುಮತಿಸಲಾದ ವೆಚ್ಚಗಳು
allowance,ಭತ್ಯೆ
alphabetic order,ಅಕಾರಾದಿ ಕ್ರಮ
altercation,"ವಾಕ್ಕಲಹ, ಮಾತಿನ ಜಗಳ"
alternate,"ಪರ್ಯಾಯ, ಒಂದುಬಿಟ್ಟು ಮತ್ತೊಂದು"
alternative,"ಪರ್ಯಾಯ, ಒಂದರಬದಲು ಮತ್ತೊಂದು"
amalgamation,"ಬೆರಸು, ಮಿಶ್ರಗೊಳಿಸು, ಸಂಯೋಜಿಸು"
amended draft,ತಿದ್ದಿದ ಕರಡು
amendment,ತಿದ್ದು ಪಡಿ
amenity,"ಸೌಲಭ್ಯ, ಸೌಕರ್ಯ"
amicable,"ಪರಸ್ಪರ ಸಮ್ಮತಿಯ, ಸ್ನೇಹಪೂರ್ಣ"
ammunition,"ಮದ್ದುಗುಂಡು, ಯುದ್ಧಸಾಮಗ್ರಿ"
amortization of debt,ಪರಾಧೀನ ಮಾಡಲಾಗದ ಋಣ
amount,"ಮೊಬಲಗು, ಮೊತ್ತ"
amount of pension,ಪಿಂಚಣಿಯ ಮೊತ್ತ
analogous post,"ಸದೃಶವಾದ ಹುದ್ದೆ, ಅನುರೂಪವಾದ ಹುದ್ದೆ"
analysis,ವಿಶ್ಲೇಷಣೆ
analytical study,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಅಧ್ಯಯನ
ancestor,"ಪೂರ್ವಜ, ಪೂರ್ವಿಕ"
ancillary industry,"ಅನುಗತ ಕೈಗಾರಿಕೆ, ಅನುಷಂಗೀ ಉದ್ಯಮ"
animosity,"ಬದ್ಧ ದ್ವೇಷ, ಬದ್ಧ ವೈರ"
annexure,"ಅನುಬಂಧ, ಸೇರ್ಪಡೆ"
anniversary,ವಾರ್ಷಿಕೋತ್ಸವ
announcement,"ಘೋಷಣೆ, ಪ್ರಕಟಣೆ, ಸಾರುವುದು"
annoyance,ಸಿಡುಕು
annual financial statement,"ವಾರ್ಷಿಕ ವಿತ್ತವಿವರಣೆ, ವಾರ್ಷಿಕ ಆರ್ಥಿಕ ವಿವರಣೆ"
annual report,ವಾರ್ಷಿಕ ವರದಿ
annuity,ವರ್ಷಾಶನ
anonymous,"ಬೇನಾಮಿ, ಅನಾಮಧೇಯ"
anonymous complaint,"ಬೇನಾಮಿ ದೂರು, ಅನಾಮಧೇಯ ದೂರು"
answer sheet,"ಉತ್ತರ ಪ್ರತ್ರಿಕೆ, ಉತ್ತರದ ಹಾಳೆ"
answerability,"ಉತ್ತರದಾಯಿತ್ವ, ಉತ್ತರ ಕೊಡಬೇಕಾದ್ದು, ಜವಾಬ್ದಾರಿ"
antagonist,ವಿರೋಧ ಕಟ್ಟಕೊಂಡವನು
antecedents,"ಹಿಂದಿನ ನಡತೆ, ಪೂರ್ವಚರಿತ್ರೆ"
anti-corruption measure,ಭ್ರಷ್ಟಾಚಾರ ವಿರೋಧೀ ಕ್ರಮ
anti-dumping,ಪೇರಿಸುವ ವಿರುದ್ಧ
anticipated expenditure,ನಿರೀಕ್ಷಿತ ವೆಚ್ಚ (ಖರ್ಚು)
anticipated income,ನಿರೀಕ್ಷಿತ ವರಮಾನ
anticipation,ನಿರೀಕ್ಷೆ
anticipatory bail,ನಿರೀಕ್ಷಣಾ ಜಾಮೀನು
antique,"ಪ್ರಾಚೀನ, ಪ್ರಾಚೀನ ಅವಶೇಷ, ಪ್ರಾಚೀನ ವಸ್ತು"
apartheid,ವರ್ಣಭೇದ
apathy,"ನಿರಾಸಕ್ತಿ, ಔದಾಸೀನ್ಯ"
apex body,"ಅಗ್ರ ನಿಕಾಯ, ಅಗ್ರ ಸಂಸ್ಥೆ"
apology,"ಕ್ಷಮೆ ಕೇಳು, ತಪ್ಪೊಪ್ಪಿಕೋ"
appeal,"ಅಪೀಲು, ಮೇಲ್ಮನವಿ"
appearance,"ಮುಖಲಕ್ಷಣ, ಮುಖಚರ್ಯೆ, ಚಹರೆ, ಹಾಜರಿ"
appeasement,"ತುಷ್ಟೀಕರಣ, ದೃಷ್ಟಿ"
appellate tribunal,ಮೇಲ್ಮನವಿ ನ್ಯಾಯ ಮಂಡಳಿ
appendix,ಪರಿಶಿಷ್ಟ
appliance,"ಯಂತ್ರೋಪಸಾಧನ, ಪರಿಕರ, ಸಲಕರಣೆ"
applicable,"ಅನ್ವಯ, ಸಾಧ್ಯ"
applicant,"ಅರ್ಜಿದಾರ, ಮನವಿದಾರ"
application,"ಅರ್ಜಿ, ದರಖಾಸ್ತು, ಮನವಿ, ಅನ್ವಯ"
application form,ಅರ್ಜಿ ನಮೂನೆ
applied,"ಅನ್ವಯಿಸಿದ, ಆನ್ವಯಿಕ"
apply,ಅರ್ಜಿ ಸಲ್ಲಿಸು
appointee,"ನಿಯುಕ್ತ ವ್ಯಕ್ತಿ, ನೇಮಿಸಿದ ವ್ಯಕ್ತಿ"
appointing authority,"ನೇಮಕಾಧಿಕಾರಿ, ನೇಮಕಾತಿ ಪ್ರಾಧಿಕಾರ"
appointment,"ನೇಮಕ, ಭೇಟಿ ವ್ಯವಸ್ಥೆ"
appointment letter,ನೇಮಕಾತಿ ಪತ್ರ
Appointments Committee of the Cabinet,ಮಂತ್ರಿ ಮಂಡಳೀಯ ನಿಯುಕ್ತಿ ಸಮಿತಿ
apportionment of wages,ಮಜೂರಿ ಪಾಲು ಮಾಡು
appraiser,ತಿಳಿಯಪಡಿಸುವ
appreciation,"ಮೆಚ್ಚುಗೆ, ಶ್ಲಾಘನೆ, ಬೆಲೆ ಏರಿಕೆ"
apprehension,"ಬಂಧನ, ತಿಳಿ, ಆಶಂಕೆ"
apprentice,"ಅಭ್ಯಾಸಿ, ಅಪ್ರೆಂಟಿಸ್"
approach,"ಬಳಿಸಾರು, ಸಮೀಪಿಸು, ಪ್ರಸ್ತಾವಿಸು, ದಾರಿ, ಮಾರ್ಗ, ದೃಷ್ಟಿಕೋಣ"
appropriate,"ವಶಪಡಿಸಿಕೊ, ಸ್ವಾಧೀನ ಪಡಿಸಿಕೊ, ವಿನಿಯೋಗಿಸಿಕೋ, ಸೂಕ್ತ, ಸಮುಚಿತ, ತಕ್ಕ"
appropriate action,"ಸೂಕ್ತಕ್ರಮ, ಕಾನೂನು ರೀತಿಯಕ್ರಮ"
appropriate head,ಸೂಕ್ತ ಶೀರ್ಷಿಕೆ
appropriation,ಕ್ರಮ ವಿನಿಯೋಗ
approval,"ಅನುಮೋದನೆ, ಒಪ್ಪಿಗೆ"
approximate,"ಅಂದಾಜು, ಸರಿಸುಮಾರು"
aptitude test,ಅಭಿರುಚಿ ಪರೀಕ್ಷೆ
arbitrary,"ಸ್ವೇಚ್ಛಾನುಸಾರ, ಮನಬಂದಂತೆ"
arbitrate,ಮಧ್ಯಸ್ಥಿಕೆ ವಹಿಸು
arbitration,"ಮಧ್ಯಸ್ಥಿಕೆ, ಪಂಚಾಯಿತಿ"
arbitration tribunal,ಪಂಚಾಯಿತಿ ನ್ಯಾಯ ಮಂಡಳಿ
arbitrator,"ಮಧ್ಯಸ್ಥ, ಪಂಚಾಯಿತಿದಾರ"
architecture,"ವಾಸ್ತುಶಿಲ್ಪ, ಕಟ್ಟಡದ ಶೈಲಿ"
archives,"ಪ್ರಾಚೀನ ಪತ್ರಾಗಾರ, ಪತ್ರಾಗಾರ"
area,"ಪ್ರದೇಶ, ಕ್ಷೇತ್ರ, ವಿಸ್ತೀರ್ಣ"
area headquarter,ಪ್ರದೇಶದ ಕೇಂದ್ರ ಕಾರ್ಯಸ್ಥಾನ
argument,"ವಾದ, ಚರ್ಚೆ"
arise,"ಉಂಟಾಗು, ಹುಟ್ಟು, ಏಳು, ಎದ್ದೇಳು"
armed forces,"ಸಶಸ್ತ್ರಬಲ, ಸೇನಾಬಲ"
arrangement,"ವ್ಯವಸ್ಥೆ, ಏರ್ಪಾಡು, ಜೋಡಣೆ"
arrear,ಬಾಕಿ
arrear statement,ಬಾಕಿ ವಿವರಣ ಪಟ್ಟಿ
arrival report,ಆಗಮನ ವಿವರಣಾ ಪಟ್ಟಿ
arrogance,"ದುರಹಂಕಾರ, ಸೊಕ್ಕು"
arsenal,ಆಯುಧಾಗಾರ
article,"ಸರಕು, ವಸ್ತು, ಲೇಖನ, ಅನುಚ್ಛೇದ"
articles,ಅನುಚ್ಛೇದಗಳು
articles of association,ಸಂಘದ ನಿಯಮಾವಳಿ
as is where is,ಇದ್ದಲ್ಲಿ ಇದ್ದಂತೆಯೇ
ascending order,ಏರು ಕ್ರಮ
ascertain,ವಿಚಾರಿಸಿ ಖಚಿತಪಡಿಸಿಕೋ
aspect,"ದೃಷ್ಟಿಕೋಣ, ಅಂಶ, ವಿಷಯ"
aspersion,ದೋಷಾರೋಪಣೆ
assassination,"ಹತ್ಯೆ, ಕೊಲೆ"
assault,"ಆಕ್ರಮಣ ಮಾಡು, ಹಲ್ಲೆ, ದುರಾಕ್ರಮಣ, ಮೇಲೆ ಬೀಳು, ಮಾನಭಂಗಮಾಡು"
assemble,ಒಟ್ಟುಗೂಡು
assembly,"ಸಭೆ, ವಿಧಾನ ಸಭೆ, ಗುಂಪು, ಅಸೆಂಬ್ಲಿ"
assent,"ಒಪ್ಪಿಗೆ, ಸಮ್ಮತಿ, ಅನುಮತಿ"
assert,"ಒತ್ತಿ ಹೇಳು, ನಿಶ್ಚಯಪೂರ್ವಕ ಹೇಳು, ಖಚಿತ ಮಾಡು"
assessee,ತೆರಿಗೆದಾರ
assessment,ಕಂದಾಯ ತೆರಿಗೆ ನಿರ್ಧಾರಣ
assessment year,ಕಂದಾಯ ತೆರಿಗೆ ವರ್ಷ
assessor,"ನ್ಯಾಯದರ್ಶಿ, ಕರ ನಿರ್ಧಾರಕ, ಬೆಲೆ ಕಟ್ಟುವವನು"
assets,ಆಸ್ತಿ
assignee,ವಹಿಸಿಕೊಂಡವ
assignment,"ಕಾರ್ಯನಿಯೋಜನೆ, ನಿಯಮಿತಕಾರ್ಯ"
assignor,ಕಾರ್ಯ ನಿಯೋಜಕ
assistance,"ನೆರವು, ಸಹಾಯ"
associate,"ಸಹವಾಸಿ, ಸಹಸದಸ್ಯ, ಸಂಬಂಧಿಸು, ಸೇರು, ಒಡಗೂಡು"
association,"ಒಡನಾಟ, ಸಹವಾಸ, ಸಂಘ-ಸಂಸ್ಥೆ"
assumption of charge,ಪ್ರಭಾರ ಸ್ವೀಕಾರ
assurance,"ಭರವಸೆ, ಅಶ್ವಾಸನೆ, ದಸ್ತಾವೇಜು, ಕರಾರುಪತ್ರ, ವಿಮೆ"
assurance company,"ಆಶ್ವಾಸನಾ ಕಂಪನಿ, ಸಂಸ್ಥೆ"
