Assamese,Marathi
"চিমেণ্ট, কম জুইত","सिमेंट, कमी उष्णता"
"চিমেণ্ট, শিলৰ কাম","सिमेंट, दगडी बांधकाम"
"চিমেণ্ট, প্ৰাকৃতিক","सिमेंट, नैसर्गिक"
"চিমেণ্ট, পৰ্টলেণ্ড","सिमेंट, पोर्टलँड"
"চিমেণ্ট, পৰ্টলেণ্ড ব্লাষ্ট ফাৰ্নেচৰ স্লেগ","सिमेंट, पोर्टलँड ब्लास्ट फर्नेस स्लॅग"
"চিমেণ্ট, পৰ্টলেণ্ড প&#39;জ&#39;লান","सिमेंट, पोर्टलँड पोझोलन"
"চিমেণ্ট, স্লেগ","सिमेंट, स्लॅग"
"চিমেণ্ট, ছালফেট প্ৰতিৰোধী","सिमेंट, सल्फेट प्रतिरोधक"
"চিমেণ্ট, ছুপাৰ ছালফেটেড","सिमेंट, सुपर सल्फेट"
"চিমেণ্ট, বগা","सिमेंट, पांढरा"
চিমেণ্ট-এগ্ৰিগেটৰ অনুপাত,सिमेंट-एकूण प्रमाण
চিমেণ্টৰ পৰিমাণ,सिमेंट सामग्री
চিমেণ্ট জেল,सिमेंट जेल
চিমেণ্টৰ বন্দুক,सिमेंट बंदूक
চিমেণ্টৰ ভঁৰাল,सिमेंटची भट्टी
চিমেণ্টৰ ৰং,सिमेंट पेंट
চিমেণ্টৰ প্লাষ্টাৰ,सिमेंट प्लास्टर
চিমেণ্টৰ শিল,सिमेंट खडक
চিমেণ্টৰ গোন্ধ,सिमेंट स्लरी
চিমেণ্ট সংৰক্ষণ,सिमेंट स्टोरेज
চিমেণ্টেচন প্ৰক্ৰিয়া,सिमेंटेशन प्रक्रिया
কেন্দ্ৰীকৰণ,केंद्रीकरण
চেণ্টাৰিং আৰু শ্বাটাৰিং,सेंटरिंग आणि शटरिंग
কেন্দ্ৰীয় মিশ্ৰিত কংক্ৰিট,केंद्रीय मिश्रित कंक्रीट
কেন্দ্ৰীয় মিক্সাৰ,मध्यवर्ती मिक्सर
কেন্দ্ৰপৃথক ফেন,केंद्रापसारक पंखा
চক,खडू
চেমফাৰ,चांफर
চেমফাৰ ষ্ট্ৰিপ,चेंफर पट्टी
চেনেল বিম,चॅनेल बीम
বৈশিষ্ট্যপূৰ্ণ বোজা,वैशिष्ट्यपूर्ण भार
বৈশিষ্ট্যপূৰ্ণ শক্তি,वैशिष्ट्यपूर्ण ताकद
চাৰ্জ অফ কৰক,चार्ज बंद
চাৰ্জিং,चार्ज होत आहे
পৰীক্ষা কৰি আছে,तपासत आहे
ৰাসায়নিক বন্ধন,रासायनिक बंध
চেৰনোজেম,चेरनोझेम
চেষ্টনাটৰ মাটি,चेस्टनट माती
চিমনিৰ নালা,चिमणी गटर
চিপ বৰ্ড,चिप बोर्ड
চিপিং,चिपिंग
চিপছ,चिप्स
চুটে,चुटे
শ্ৰেণী (কংক্ৰিটৰ),वर्ग (काँक्रीटचा)
বোকা মাটি,चिकणमाती
মাটিৰ পৰিমাণ,चिकणमाती सामग्री
মাটিৰ কেৰাহী,मातीचा तवा
ক্লিনআউট,क्लीनआउट
চাফ-চিকুণ কৰক,साफ करा
ক্লিট কৰক,क्लीट
ক্লিংকাৰ,क्लिंकर
ক্লিপ,क्लिप
জমা হোৱা,गोठणे
মোটা গোটা পদাৰ্থ,खडबडीत एकूण
মোটা দানাযুক্ত মাটি,खडबडीत दाणेदार माती
কোট,कोट
কফাৰ বান্ধ,कोफर धरण
সংহতি,एकसंधता
কলয়ড,कोलायड
কলয়ডাল আৰ্দ্ৰতাৰ সমতুল্য অনুপাত,कोलोइडल आर्द्रता समतुल्य गुणोत्तर
কলয়ডাল ব্যৱস্থা,कोलाइडल प्रणाली
কলুভিয়াল মাটি,कोल्व्हियल माती
স্তম্ভ,स्तंभ
কম্বড ফিনিচিং,कॉम्बेड फिनिश
সংযুক্ত ফুটিং,एकत्रित पाया
সংযুক্ত পানী,एकत्रित पाणी
কমন ৰুম,सामान्य खोली
সম্পূৰ্ণ হোৱাৰ প্ৰমাণ পত্ৰ,पूर्णत्वाचे प्रमाणपत्र
উপাদান বৰ্গ,घटक चौरस
কংক্ৰিট,काँक्रीट
কংক্ৰিচন,काँक्रिशन
একত্ৰিত হাৰ/ফ্লেট হাৰ,एकत्रित दर/सपाट दर
দূষক পদাৰ্থ,दूषित पदार्थ
ৰন্ধা-বঢ়াৰ এলকোভ,पाककला alcove
মোকাবিলা কৰা,सामना करणे
কৰ্বেল,कॉर्बेल
কৰ্নিচ,कॉर्निस
কাপলাৰ,कपलर
"কাপলাৰ, ডাবল","युग्मक, दुहेरी"
"কাপলাৰ, পুটলগ","कपलर, पुटलॉग"
"কাপলাৰ, চুইভেল","युग्मक, कुंडा"
ধাৰা,अभ्यासक्रम
কোৰ্চ কৰা ৰেণ্ডম ধ্বংসাৱশেষ শিলৰ কাম,यादृच्छिक भंगार दगडी बांधकाम
আবৃত অঞ্চল,झाकलेले क्षेत्र
অধম,रांगणे
ক্ৰিপ সহগ,रांगणे गुणांक
ক্ৰ&#39;ট&#39;ভাইন,क्रोटोवाइन
কাউৰী ভৰি,कावळा पाय
ক্ৰাম গঠন,लहानसा तुकडा रचना
প্ৰতিবন্ধক,अंकुश
সোঁত,चालू
বক্ৰ প্ৰতিৰোধ ক্ষমতা,वक्र प्रतिकार
ডেম্প প্ৰুফ কোৰ্চ,ओलसर पुरावा कोर्स
সম্পূৰ্ণ হোৱাৰ তাৰিখ,पूर्ण होण्याची तारीख
ডেড লোড,मृत भार
মৰা পানী,मृत पाणी
ডেচিবেল,डेसिबल
ডিফ্ল’কুলেচন,Deflocculation
বায়ুমণ্ডলৰ মাত্ৰা বা বায়ু স্থান অনুপাত,वायुवीजन किंवा हवेच्या जागेचे प्रमाण
একত্ৰীকৰণৰ মাত্ৰা,एकत्रीकरणाची पदवी
বিক্ষিপ্ততাৰ মাত্ৰা,फैलाव पदवी
চেচুৰেচনৰ ডিগ্ৰী,संपृक्तता पदवी
ঘনত্ব,घनता
মৰুভূমিৰ ফুটপাথ,वाळवंट फुटपाथ
মৰুভূমিৰ মাটি,वाळवंटी माती
সবিশেষ,तपशील
উন্নয়নৰ সময়ছোৱা,विकास कालावधी
ডি-দিগন্ত,डी-क्षितिज
তিৰ্যক বন্ধন,कर्ण बंध
ডায়াগ্ৰাম,आकृती
ডিজিটেল ডক,डिजिटल डॉक
ভিন্নতামূলক পানীৰ হাৰ,विभेदक पाणी दर
পাতল কৰা ভেণ্টিলেচন,सौम्य वायुवीजन
ডিলুভিয়াম,डिलुव्हियम
খোৱাঘৰ,जेवणाची खोली
দিশৰ পেগ,दिशा पेग
বিক্ষিপ্ততা,फैलाव
ডিষ্টেম্পাৰ,डिस्टेंपर
ডক,गोदी
দুৱাৰ,दार
ডৰ্মাৰ,डोर्मर
ডৰ্মাৰ চেক,डॉर्मर चेक
ডাবল ফ্লেমিছ বণ্ড,दुहेरी फ्लेमिश बाँड
ডাবল লেয়াৰ,दुहेरी थर
ডৱেল,डोवेल
অংকন বৰ্ড,रेखाचित्र बोर्ड
ড্ৰয়িং ৰুম,रेखाचित्र खोली
ড্ৰিফ্ট,वाहून नेणे
শুকান বাল্বৰ উষ্ণতা,कोरडे बल्ब तापमान
শুকান ডক,कोरडी गोदी
শুকান ৰবৰৰ শিলৰ কাম,कोरडे रबर दगडी बांधकाम
ডাচ বণ্ড,डच बाँड
বামন দেৱাল,बटू भिंत
বাসস্থানৰ ইউনিট,निवास एकक
ইভ,इव्ह
ইভছ নালা,Eaves गटर
অৰ্থনৈতিক সম্ভাৱনীয়তা,आर्थिक व्यवहार्यता
বহিঃগতিশীল মাটি,एक्टोडायनामॉर्फिक माती
এডি,एडी
ফলপ্ৰসূ আকাৰ,प्रभावी आकार
ফুলৰ ফুলনি,फुलणे
এফ্লুৱেণ্ট,सांडपाणी
উচ্চতা,उत्थान
এলুভিয়েচন,एलिव्हिएशन
এলুভিয়াম,एल्युव्हियम
এণ্ডোডাইনামৰ্ফিক মাটি,एंडोडायनामॉर्फिक माती
অভিযান্ত্ৰিক সম্ভাৱনীয়তা,अभियांत्रिकी व्यवहार्यता
ইংৰাজী বণ্ড,इंग्रजी बंधन
ইংৰাজী বাগিচাৰ দেৱালৰ বণ্ড,इंग्रजी बाग भिंत बंधन
"ইপিএম (প্ৰতি মিলিয়নৰ সমতুল্য),&quot;","EPM (समतुल्य प्रति दशलक्ष),&quot;"
সমতুল্য ওজন,समतुल्य वजन
Erg,अर्ग
বিনিময়যোগ্য,अदलाबदल करण्यायोग्य
বিনিময়যোগ্য এচিডিটি,एक्सचेंज करण्यायोग्य आम्लता
বিনিময়যোগ্য ছডিয়াম শতাংশ (ESP),एक्सचेंजेबल सोडियम टक्केवारी (ESP)
ই এছ পি.,ई.एस.पी.
বিনিময় এচিডিটি,एक्सचेंज आंबटपणा
এক্সচেঞ্জ কমপ্লেক্স,एक्सचेंज कॉम्प्लेक्स
নিষ্কাশন,एक्झॉस्ट
উন্মুক্ত ফিনিচিং,उघड समाप्त
নয়ন,डोळा
চকুৰ ভ্ৰূ,डोळा कपाळ
মুখামুখি,तोंड देत
বন্ধনৰ সন্মুখীন হোৱা,बाँडचा सामना करत आहे
সুৰক্ষাৰ কাৰক,सुरक्षिततेचा घटक
পৰি যোৱা,पडणे
ফেচিয়া,फेसिया
ফেচিয়া বৰ্ড,फेशिया बोर्ड
দোষ,दोष
পথাৰ আৰ্দ্ৰতা,फील्ड ओलावा
চূড়ান্ত আৰ্দ্ৰতাৰ সমতুল্য,अंतिम ओलावा समतुल्य
ফিলেট (মৰ্টাৰৰ),फिलेट (मोर्टारचा)
চূড়ান্ত,अंतिम
চূড়ান্ত জোখ-মাখ,अंतिम मोजमाप
চূড়ান্ত পেমেণ্টq,अंतिम पेमेंटq
চূড়ান্ত প্ৰি ষ্ট্ৰেছ,अंतिम पूर्व ताण
চূড়ান্ত উত্তেজনা,अंतिम ताण
আৰ্থিক সম্ভাৱনীয়তা,आर्थिक व्यवहार्यता
মিহি গোটা পদাৰ্থ,उत्तम एकूण
ছিন্নভিন্ন শিল,फुटलेला खडक
পতাকা শিল,ध्वजाचा दगड
ফ্লেমিছ বন্ধন,फ्लेमिश बाँड
ফিচফিচাই থকা,चमकत आहे
ঝলমলীয়া ধাৰা,चमकणारा प्रवाह
সমতল চাল,सपाट छप्पर
ফ্লেচে,फ्लेचे
ফ্লেমিছ বাগিচাৰ দেৱালৰ বন্ধন,फ्लेमिश गार्डन भिंत बंधन
ফ্লিন্ট,चकमक
ফ্লিণ্টৰ দেৱাল,चकमक भिंत
ভাসমান মজিয়া,फ्लोटिंग मजला
ফ্লকুলেচন,फ्लोक्युलेशन
ফ্লকুলেচন সীমা,फ्लोक्युलेशन मर्यादा
ফ্লকুলেচন অনুপাত,फ्लोक्युलेशन गुणोत्तर
ফ্লকুলেছ,फ्लोक्युल्स
মজিয়া,मजला
মজিয়াৰ ছীল,मजला सील
বৈ অহা,प्रवाह
উঠা-নমা,चढ - उतार
ফুটিং,फूटिंग
ভেঁটি,पाया
ফ্ৰী ফ&#39;ল বেৰ&#39; টপিং মিক্সাৰ,फ्री फॉल बॅरो टॉपिंग मिक्सर
ফ্ৰী ফ&#39;ল মিক্সাৰ (ড্ৰাম টাইপ),फ्री फॉल मिक्सर (ड्रम प्रकार)
মুক্ত শিল,मुक्त दगड
ফ্ৰেছেট,फ्रेशेट
ঘৰ্ষণৰ স্তূপ,घर्षण ढीग
ভেকুলী,बेडूक
গেবল,गॅबल
গেবলেট,गॅबलेट
গাম্ব্ৰেলৰ চাল,Gambrel छप्पर
জোখ লোৱা,गेज
গেজিং অংশ,गेजिंग विभाग
গেজিং ষ্টেচন,गेजिंग स्टेशन
সাধাৰণ স্থান পৰিকল্পনা,सामान्य स्थान योजना
সাধাৰণ বায়ু চলাচল,सामान्य वायुवीजन
G দিগন্ত বা গ্লে দিগন্ত,G क्षितीज किंवा gley क्षितीज
হিমবাহৰ টিল,पर्यंत हिमनदी
গ্নেইছ,Gneiss
সামগ্ৰীৰ চোতাল,माल यार्ड
গ্ৰেডিয়েণ্ট ৰেজিষ্টেন্স,ग्रेडियंट प्रतिकार
গ্ৰেনাইট,ग्रॅनाइट
দানাদাৰ গঠন,दाणेदार रचना
গ্ৰেনুলেচন,दाणेदार
গ্ৰেনুল,ग्रेन्युल
মহাকৰ্ষণীয় পানীমুক্ত পানী,गुरुत्वाकर्षण मुक्त पाणी
মহাকৰ্ষণীয় চোতাল,गुरुत्वाकर्षण यार्ड
মহান মাটিৰ গোট,ग्रेट माती गट
গ্ৰীলেজ ফাউণ্ডেচন,ग्रिलेज फाउंडेशन
গ্ৰাউণ্ড হেণ্ড মল্ডিং,ग्राउंड हँड मोल्डिंग
গ্ৰুপ কৰা ডক,गटबद्ध डॉक
গ্ৰুপ হাউছিং,समूह गृहनिर्माण
অতিথিশালা,अतिथी खोली
নালা,गटार
নালা বাহক,गटार वाहक
নালা পৰীক্ষা,गटर तपासणी
হাতুৰীৰে ড্ৰেছিং,हॅमर ड्रेसिंग
বন্দৰ,बंदर
আশ্ৰয়ৰ বন্দৰ,आश्रयाचे बंदर
কঠিন কেৰাহী,कडक पॅन
হেডাৰ,शीर्षलेख
হেডাৰ বণ্ড,हेडर बॉण्ड
হেডাৰ পাঠ্যক্ৰম,हेडर कोर्स
হেড গেটৰ গঠন,हेड गेटची रचना
খালৰ মূৰ,कालव्याचे प्रमुख
হেড ৰেগুলেটৰ,हेड रेग्युलेटर
হেৰিং হাড়ৰ বন্ধন,हेरिंग हाडांचे बंधन
হৃদয়স্পৰ্শী,हृदयविकार
তিয়াই থোৱাৰ তাপ,भिजण्याची उष्णता
উচ্চ এলুমিনা চিমেণ্ট,उच्च अॅल्युमिना सिमेंट
কঁকাল,हिप
হিপ কেপিং,हिप कॅपिंग
হিপড এণ্ড,नितंब टोक
ডকাইত,हुड
হুড মল্ডিং,हुड मोल्डिंग
হুক’ৰ আইন,हुकचा कायदा
হুপ লোহা,हूप लोह
দিগন্ত,क्षितिज
আৰ্দ্ৰকৰণ,आर्द्रीकरण
"আৰ্দ্ৰতা, নিৰপেক্ষ","आर्द्रता, निरपेक्ष"
"আৰ্দ্ৰতা, আপেক্ষিক","आर्द्रता, सापेक्ष"
হাম্প চোতাল,कुबड्याचे अंगण
হাইড্ৰলিক চাপ,हायड्रोलिक दाब
জলসিঞ্চন,हायड्रेशन
হাইড্ৰ’লাইছিছ,हायड्रोलिसिस
হাইড্ৰ’লাইটিক এচিডিটি,हायड्रोलाइटिक आम्लता
জলৰূপী মাটি,हायड्रोमॉर्फिक माती
হাইড্ৰফিলিক কলয়ড,हायड्रोफिलिक कोलाइड
হাইড্ৰ’ফ’বিক কলয়ড,हायड्रोफोबिक कोलाइड
হাইড্ৰ’ষ্টেটিক চাপৰ অনুপাত,हायड्रोस्टॅटिक दाब प्रमाण
হাইগ্ৰ’স্কেপ্টিক সহগ,हायग्रोस्केप्टिक गुणांक
হাইগ্ৰস্কোপিক আৰ্দ্ৰতা,हायग्रोस्कोपिक ओलावा
হাইড্ৰস্কোপিচিটি,हायड्रोस्कोपीसिटी
হাইগ্ৰস্কোপিক আৰ্দ্ৰতা,हायग्रोस्कोपिक ओलावा
হাইপাৰবেৰিক চেম্বাৰ,हायपरबेरिक चेंबर
হাইপাৰষ্টেটিক ফ্ৰেম,हायपरस्टॅटिक फ्रेम
হাইপছ’মিটাৰ,हायपोमीटर
আলোকসজ্জা,रोषणाई
ইম্বিবেচন আৰ্দ্ৰতা,इबिबेशन ओलावा
অপৰিপক্ক মাটি,अपरिपक्व माती
জব্দ কৰা ডক,जप्त डॉक
ভূমিৰ ৰাজহ বৃদ্ধি,जमीन महसुलात वाढ
স্বতন্ত্ৰ মৰাপাট,स्वतंत्र मचान
কঠিন,इन्ड्युरेटेड
প্ৰাৰম্ভিক প্ৰিষ্ট্ৰেছ,प्रारंभिक prestress
প্ৰাৰম্ভিক উত্তেজনা,सुरुवातीचा ताण
অভ্যন্তৰীণ জলপথ বন্দৰ,अंतर्देशीय जलमार्ग बंदर
ইনচুলেটিং বৰ্ড,इन्सुलेट बोर्ड
মধ্যৱৰ্তী বন্দৰ,मध्यवर्ती बंदर
আভ্যন্তৰীণ ঘৰ্ষণ,अंतर्गत घर्षण
ইন্ট্ৰাজ’নেল মাটি,इंट्राझोनल माती
আয়ন,आयन
আয়ন বিনিময়,आयन एक्सचेंज
লোহাৰ কেৰাহী,लोखंडी तवा
জলসিঞ্চিত মাটি,बागायती जमीन
জলসিঞ্চন,सिंचन
জলসিঞ্চনৰ চেছ,सिंचन उपकर
জাম্ব,जांब
জগল কৰক,धडपडणे
জগল পিন,जॉगल पिन
জৌলে,जौल
জাম্পাৰ,जम्पर
কিলোগ্ৰাম,किलोग्रॅम
কিলোগ্ৰাম বল,किलोग्राम बल
কিলোগ্ৰাম বল মিটাৰ,किलोग्राम फोर्स मीटर
কিলোৱাট ঘন্টা,किलोवॅट तास
ৰজা বন্ধ,राजा बंद
পাকঘৰ,स्वयंपाकघर
লেচযুক্ত স্তম্ভ,लेस केलेला स्तंभ
পিছ পৰি থকা,मागे पडणे
লেমেলা শিপা,लॅमेला रूट
লেমিনাৰ প্ৰবাহ,पातळ थरांचा बनवलेला प्रवाह
লেম্পৰ ফুটা,दिवा भोक
ভূমি বৃদ্ধি,जमीन संवर्धन
ভূমি পিছলি যোৱা,लँड स्लाइडिंग
লেটাৰাইট,लॅटराइट
লেটাৰাইট মাটি,लॅटराइट माती
বৃহৎ সংখ্যকৰ নিয়ম,मोठ्या संख्येचा कायदा
বিন্যাস পৰিকল্পনা,लेआउट योजना
লেজাৰ,लेजर
চূণৰ কেৰাহী,चुना पॅन
লিণ্টেল,लिंटेल
তৰল সীমা,द्रव मर्यादा
লাইভ লোড,थेट भार
লোম,चिकणमाती
স্থানীয় এক্সজেষ্ট ভেণ্টিলেচন,स्थानिक एक्झॉस्ट वेंटिलेशन
লোকো চোতাল,लोको यार्ड
ল&#39;ছ,लॉस
