Odiya,Marathi
ଟାଙ୍ଗେଣ୍ଟ୍ କୋଣ |,स्पर्शिका कोन
ବିଘ୍ନ କୋଣ |,विक्षेपण कोन
ଉଦାସୀନତା କୋଣ,उदासीनता कोन
ବିଘ୍ନ କୋଣ |,विचलन कोन
ବିଭାଜନ କୋଣ |,विवर्तन कोन
ଉଚ୍ଚତା କୋଣ,उंची कोन
ଘଟଣାର କୋଣ,घटनेचा कोन
ପ୍ରୋଜେକ୍ଟର କୋଣ,प्रक्षेपण कोन
ପ୍ରତିଫଳନ କୋଣ,प्रतिबिंब कोन
ପ୍ରତିଫଳନ କୋଣ,अपवर्तन कोन
ଘୂର୍ଣ୍ଣନ କୋଣ,रोटेशन कोन
ପ୍ରତିଫଳନର ସଂପୂର୍ଣ୍ଣ କୋଣ |,परावर्तनाचा परिपूर्ण कोन
କୋଣାର୍କ ତ୍ୱରଣ |,कोनीय प्रवेग
କୋଣାର୍କ ବେଗ |,कोनीय गती
କୋଣାର୍କ ଗତି,कोनीय गती
କୋଣାର୍କ ବେଗ |,कोनीय गती
ଆଙ୍ଗୁଠି ରିଙ୍ଗ୍ |,अनामिका
ଉତ୍ତର,उत्तर द्या
କାଉଣ୍ଟର ଡେରିଭେଟିଭ୍ |,काउंटर व्युत्पन्न
ଆଇସୋମେଟ୍ରିକ୍ କାର୍ଯ୍ୟ,आयसोमेट्रिक फंक्शन
"ଆଚ୍ଛାଦିତ, ପ୍ରଯୁଜ୍ୟ, ପ୍ରଯୁଜ୍ୟ |","कव्हर करण्यायोग्य, लागू, लागू"
"ଆବେଦନ ପ୍ରୟୋଗ,",अर्ज अर्ज
ଗତିଶୀଳ ପ୍ରୋଗ୍ରାମିଂ ପ୍ରୟୋଗ |,लागू डायनॅमिक प्रोग्रामिंग
ପ୍ରୟୋଗ ହୋଇଥିବା ଜ୍ୟାମିତି |,लागू भूमिती
ପ୍ରୟୋଗ ହୋଇଥିବା ଗଣିତ |,लागू गणित
ପ୍ରୟୋଗ ପରିସଂଖ୍ୟାନ |,लागू आकडेवारी
"ପ୍ରାୟ, ପ୍ରାୟ","अंदाजे, अंदाजे"
ପ୍ରାୟ ନିରନ୍ତର କାର୍ଯ୍ୟ |,अंदाजे सतत कार्य
"ମାକ୍ରୋ ପଦ୍ଧତି, ଆନୁମାନିକ ପଦ୍ଧତି |","मॅक्रो पद्धत, अंदाजे पद्धत"
ଆନୁମାନିକ ସମାଧାନ,अंदाजे उपाय
ଆନୁମାନିକ ସମସ୍ୟା,अंदाजे समस्या
ଆନୁମାନିକ ସମ୍ପତ୍ତି,अंदाजे मालमत्ता
ଦକ୍ଷତା ପରୀକ୍ଷା,योग्यता चाचणी
ଆର୍ଗନ୍ ଚିତ୍ର,आर्गॉन आकृती
ସ୍ବେଚ୍ଛାକୃତ,ऐच्छिक
"ଅନିୟମିତ, ଅନିୟମିତ |","यादृच्छिक, यादृच्छिक"
ଇଚ୍ଛାଧୀନ ସ୍ଥିର |,अनियंत्रित स्थिरांक
ମାଗଣା ଉପାଦାନ |,मुक्त घटक
ଇଚ୍ଛାଧୀନ ବିନ୍ଦୁ |,अनियंत्रित बिंदू
ଆର୍କିମିଡେଙ୍କ ନିୟମ |,आर्किमिडीजचा कायदा
ଆର୍କିମିଡିସ୍ ନିୟମ |,आर्किमिडीजचा कायदा
"ଆର୍କ-ଲମ୍ବ, ଆର୍କ-ଲମ୍ବ |","चाप-लांबी, चाप-लांबी"
ବୃତ୍ତାକାର,वर्तुळ चाप
ଓଲଟା ସାଇନ ବଣ୍ଟନ |,व्यस्त साइन वितरण
ଓଲଟା ସାଇନ ରୂପାନ୍ତର |,व्यस्त साइन रूपांतरण
"କ୍ଷେତ୍ର, କ୍ଷେତ୍ର","क्षेत्र, क्षेत्र"
ଆ regional ୍ଚଳିକ ସଂରଚନା,प्रादेशिक कॉन्फिगरेशन
ଏକ ଜଟିଳ ସଂଖ୍ୟାର କୋଣ |,जटिल संख्येचा कोन
ଗାଣିତିକ ଅର୍ଥ |,अंकगणित सरासरी
ଡିଜିଟାଲ୍ ଅପରେସନ୍,डिजिटल ऑपरेशन
ଡିଜିଟାଲ୍ ୟୁନିଟ୍ |,डिजिटल युनिट
"ବିନ୍ୟାସ, ବ୍ୟବସ୍ଥା","कॉन्फिगरेशन, व्यवस्था"
"ଆରେ, ଆରେ","अॅरे, अॅरे"
କୃତ୍ରିମ ଉପଗ୍ରହ |,कृत्रिम उपग्रह
କୃତ୍ରିମ ଭେରିଏବଲ୍ |,कृत्रिम व्हेरिएबल
ଚ imb ିବାକୁ,चढणे
ଆରୋହଣ,चढत्या
ତୀବ୍ରତାର କ୍ରମ,परिमाणाचा चढता क्रम
ଆରୋହଣ ଗ୍ରେଡ୍,चढत्या श्रेणी
ଏକତ୍ରକାରୀ ଭାଷା |,असेंबलर भाषा
"ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା ଆସାଇନମେଣ୍ଟ ପ୍ରଶ୍ନ,",असाइनमेंट समस्या असाइनमेंट प्रश्न
ସହଯୋଗୀ ନିୟମ |,सहयोगी नियम
ଅପରେଟର୍ମାନଙ୍କର ଆସୋସିଏଟିଭ୍ ନିୟମ |,ऑपरेटर्सचा सहयोगी नियम
ଆସୋସିଏଟିଭ୍ ଅପରେସନ୍ |,सहयोगी ऑपरेशन
ସାଥୀତା,सहवास
ଅନୁମାନ କରାଯାଉଥିବା ଅର୍ଥ |,सरासरी गृहीत धरले
ସମ୍ଭାବ୍ୟ ବଣ୍ଟନ ଅନୁମାନ କରାଯାଇଛି |,गृहीत संभाव्यता वितरण
"କଳ୍ପିତ, ସ୍ୱୀକାର,","कल्पना केली, स्वीकारली"
ଜ୍ୟୋତିଷ ଶାସ୍ତ୍ର,ज्योतिष
"ମହାକାଶଚାରୀ ଇଞ୍ଜିନିୟର ସ୍ପେସ୍ ଇଞ୍ଜିନିୟର,",अंतराळ अभियंता अंतराळ अभियंता
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନୀ *,खगोलशास्त्रज्ञ*
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ ଘଣ୍ଟା |,खगोलशास्त्रीय घड्याळ
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ,खगोलशास्त्र
ଅସୀମିତ ବକ୍ର,असममित वक्र
ଅସୀମତା |,विषमता
ଅସ୍ମିପଟୋଟିକ୍ |,लक्षणे नसलेला
ବୃଦ୍ଧି,त्रासदायक
ପ୍ରଗତିଶୀଳ ଆକଳନକାରୀ |,प्रगतीशील अंदाजक
ରିଟ୍ରୋଗ୍ରେଡ୍ ଦ୍ୱିପାକ୍ଷିକ ଆକଳନକାରୀ |,प्रतिगामी पक्षपाती अनुमानक
ପ୍ରତ୍ୟାବର୍ତ୍ତନ ଆଚରଣ |,प्रतिगामी आचरण
ଆକ୍ରମଣାତ୍ମକ ବଣ୍ଟନ କାର୍ଯ୍ୟ |,आक्रमक वितरण कार्य
ଉପର ବିସ୍ତାର,वर पसरलेला
ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |,वातावरणाचा दाब
"ଅନିୟମିତ ଭାବରେ,",यादृच्छिकपणे
ସମ୍ପତ୍ତି *,मालमत्ता*
ଗୁଣଧର୍ମ-ନମୁନା-ଯାନ୍ତ୍ରିକ |,विशेषता-नमुना-यंत्रणा
ବୃଦ୍ଧି ହୋଇଥିବା ମାଟ୍ରିକ୍ସ,संवर्धित मॅट्रिक्स
ଅଟୋକୋରେଲେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,स्वयंसंबंध गुणांक
ଅଟୋକୋରେଲେସନ୍ ଫଙ୍କସନ୍,स्वयंसंबंध कार्य
କୋଭାରିଆନ୍ସ |,सहप्रसरण
ସ୍ୱୟଂଚାଳିତ କମ୍ପ୍ୟୁଟର |,स्वयंचलित संगणक
ଆତ୍ମସମ୍ମାନ,ऑटोरिग्रेशन
ସହାୟକ ସମୀକରଣ,सहाय्यक समीकरण
ହାରାହାରି ନମୁନା ସଂଖ୍ୟା ବକ୍ର (MPC ବକ୍ର),सरासरी नमुना क्रमांक वक्र (MPC वक्र)
"axiom, axiom","स्वयंसिद्ध, स्वयंसिद्ध"
axiom ପଦ୍ଧତି |,स्वयंसिद्ध दृष्टीकोन
ସମ୍ଭାବ୍ୟତା axiom |,संभाव्यता स्वयंसिद्ध
ଅକ୍ଷ,अक्ष
ଭୁଜାକ୍,भुजक्षा
ପୃଥିବୀ ଅକ୍ଷ,पृथ्वीचा अक्ष
ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ,रोटेशन अक्ष
ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ,रोटेशन अक्ष
ସ୍ପିନ୍ ଅକ୍ଷ,फिरकी अक्ष
ପୋଷ୍ଟ ରିପ୍ଲେସମେଣ୍ଟ,पोस्ट बदली
ପରେ,नंतर
ପଛ ସନ୍ନିବେଶ ସୂତ୍ର |,बॅक इन्सर्टेशन फॉर्म्युला
"ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ |","शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक"
ସନ୍ତୁଳିତ ଡିଜାଇନ୍ |,संतुलित डिझाइन
ତୂଳନା ପତ୍ର,ताळेबंद
କ୍ଷେପଣାସ୍ତ୍ର,क्षेपणास्त्र
"ବାଲିଷ୍ଟିକ୍, ଅସ୍ତ୍ରଶସ୍ତ୍ର |","बॅलिस्टिक्स, शस्त्रे"
"ସ୍ତମ୍ଭ, ବାଡ଼ି, କୋବ୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ରେଖା, ରେଖା, ପରୀକ୍ଷା ରେଖା, ଧାର |","स्तंभ, बार, कोब, बार, बार, बार, बार, बार, बार, रेषा, रेषा, चाचणी रेषा, किनार"
"ଆଧାର, ଆଧାର, ଆଧାର, ଆଧାର, ଆଧାର |","बेस, बेस, बेस, बेस, बेस"
ମୂଳ କୋଣ,बेस कोन
"ଲୋଗାରିଦମର ଆଧାର, ଲୋଗାରିଦମର ଆଧାର |","लॉगरिथमचा आधार, लॉगरिथमचा आधार"
"ମ basic ଳିକ, ମ basic ଳିକ,","मूलभूत, मूलभूत"
ମୂଳ ସମନ୍ୱିତ ସମାଧାନ |,बेस सुसंगत उपाय
ମୂଳ ସମାଧାନ |,बेस सोल्यूशन
ବେସ୍ ଭେରିଏବଲ୍ |,बेस व्हेरिएबल
ଆଧାର,पाया
ମୂଳ ଉପାଦାନ |,मूळ घटक
ବେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,बेस मॅट्रिक्स
ଭେକ୍ଟର ସ୍ପେସ୍ ର ଆଧାର |,वेक्टर स्पेसचा पाया
ଜନସଂଖ୍ୟା ଆଧାର |,उपलोकसंख्या आधार
ଅସାଧୁ,बेईमान
bez-rule,bez-नियम
ବେଜ୍-ଥିଓରେମ୍ |,bez-प्रमेय
bernoulli- ବଣ୍ଟନ |,bernoulli-वितरण
ବର୍ନୁଲି ସଂଖ୍ୟା |,बर्नौली क्रमांक
ବର୍ନୁଲି ସମ୍ଭାବ୍ୟ କାର୍ଯ୍ୟ |,बर्नौली संभाव्यता कार्य
ବର୍ନୁଲି-ସମୀକରଣ |,बर्नौली-समीकरण
ବେରୀ କାର୍ଯ୍ୟ,बोरासारखे बी असलेले लहान फळ कार्य
ସର୍ବୋତ୍ତମ ଆଡିଶିନ୍ |,सर्वोत्तम आसंजन
ସର୍ବୋତ୍ତମ ଆଡେସିନ୍ ରେଖା |,सर्वोत्तम आसंजन ओळ
ସର୍ବୋତ୍ତମ ସମାଧାନ |,सर्वोत्तम उपाय
ସର୍ବୋତ୍ତମ ଟିପ୍ସ |,सर्वोत्तम टिपा
ବିଟା ବଣ୍ଟନ |,बीटा वितरण
"ପକ୍ଷପାତ, ପକ୍ଷପାତ |","पक्षपात, पक्षपात"
ପକ୍ଷପାତିତ ମୂଲ୍ୟାଙ୍କନ |,पक्षपाती मूल्यांकन
ଦ୍ୱିପାକ୍ଷିକ ସମୀକରଣ |,द्विपद समीकरण
ଏକକ କଭର |,एकल कव्हर
ଏକକ କଭର ମାନଚିତ୍ର,सिंगल कव्हर नकाशा
ଏକକ କଭର ମ୍ୟାପିଂ |,सिंगल कव्हर मॅपिंग
ଚତୁର୍ଭୁଜ ଚତୁର୍ଭୁଜ |,चतुर्भुज चौकोन
ବିଲିନାର୍ ଫଙ୍କସନ୍,द्विरेखीय कार्य
bilinear hermitian homogeneity |,द्विरेखीय हर्मिटियन एकजिनसीपणा
"ଦ୍ୱି-ଭେରିଏବଲ୍, ବାଇନାରୀ, ଡୁଆଲ୍ |","द्वि-चर, बायनरी, दुहेरी"
"ବାଇନାରୀ କୋଡ୍, ବାଇନାରୀ କୋଡ୍ |","बायनरी कोड, बायनरी कोड"
"ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ, ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ |","बायनरी कोडेड दशांश, बायनरी कोडेड दशांश"
ବାଇନାରୀ ଏନକୋଡିଂ |,बायनरी एन्कोडिंग
ବାଇନାରୀ କମ୍ପ୍ୟୁଟର |,बायनरी संगणक
ବାଇନାରୀ ସଂଖ୍ୟା,बायनरी अंक
ବାଇନାରୀ ଅପରେସନ୍ |,बायनरी ऑपरेशन
ବାଇନାରୀ ପଦ୍ଧତି |,बायनरी पद्धत
ବାଇନାରୀ ଭେରିଏବଲ୍ |,बायनरी व्हेरिएबल
ଦ୍ୱିପାକ୍ଷିକ ଗୁଣବତ୍ତା |,द्विपदी गुणांक
ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ |,द्विपदी वितरण
ଦ୍ୱିପାକ୍ଷିକ ସମୀକରଣ |,द्विपद समीकरण
ଦ୍ୱିପାକ୍ଷିକ ଭିନ୍ନତା |,द्विपद भिन्नता
ଦ୍ୱିପାକ୍ଷିକ ଅଭିବ୍ୟକ୍ତି |,द्विपदी अभिव्यक्ती
ଦ୍ୱିପାକ୍ଷିକ ରାଣ୍ଡମ୍ ଭେରିଏବଲ୍ |,द्विपदी यादृच्छिक चल
ଦ୍ୱିପାକ୍ଷିକ ତତ୍ତ୍। |,द्विपद प्रमेय
"ଅଧା, ବିଫୁର୍କେସନ୍ |","अर्धा, दुभाजक"
"ବିସେକ୍ଟ ପଦ୍ଧତି, ସେମିଡିଭିଜନ୍ ପଦ୍ଧତି |","दुभाजक पद्धत, अर्धविभाग पद्धत"
ଅଧା ବିସେକ୍ଟର |,अर्धा दुभाजक
ଦ୍ୱିପାକ୍ଷିକ |,"द्विपदी, द्विपदी"
"ଡୱେଙ୍କ୍ (ବାଇନାରୀ ସଂଖ୍ୟା), ଅନି, ବର୍ମା, ଟୁକ୍ |","द्वयंक (बायनरी अंक), अनी, बर्मीज, तुक"
ଦ୍ୱିପାକ୍ଷିକ ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ ଦ୍ୱିପାକ୍ଷିକ |,द्विपदी द्विपद वितरण द्विपदी
ବିଭାରିଏଟ୍ ସମ୍ପର୍କ କୋଏଫିସିଏଣ୍ଟ୍ |,द्विवैरिएट सहसंबंध गुणांक
ବିଭାରିଏଟ୍ ବଣ୍ଟନ |,द्विवैरिएट वितरण
ସାଧାରଣ ବଣ୍ଟନ,द्विवैरिएट सामान्य-वितरण
ବିଭେକ୍ଟର୍ |,bivector
ବୋଲ୍ଟମ୍ୟାନ୍ ସମୀକରଣ |,बोल्टमन समीकरण
ବୁଲିୟନ୍ ବୀଜ ବର୍ଣ୍ଣନା *,बुलियन बीजगणित*
ବୋଷ-ଆଇନଷ୍ଟାଇନ ପରିସଂଖ୍ୟାନ |,बोस-आईन्स्टाईन सांख्यिकी
ସୀମିତତା ପ୍ରତିବନ୍ଧକ |,मर्यादा निर्बंध
ସୀମା ସ୍ତର |,सीमा पातळी
ସୀମା ରେଖା |,सीमारेषा
ସୀମା ମୂଲ୍ୟ,मर्यादा मूल्य
ସୀମା ମୂଲ୍ୟ ସମସ୍ୟା |,सीमा मूल्य समस्या
"ସୀମାବଦ୍ଧ କାର୍ଯ୍ୟ ସୀମିତ ଫଳ,",बाउंड फंक्शन बाउंडेड फळ
"ସୀମାବଦ୍ଧ ମ୍ୟାଟ୍ରିକ୍ସ, ସୀମାବଦ୍ଧ ମ୍ୟାଟ୍ରିକ୍ସ, ସୀମାବଦ୍ଧ ଟେବୁଲ୍,","बाउंडेड मॅट्रिक्स, बाउंडेड मॅट्रिक्स, बाउंडेड टेबल"
"ସୀମାବଦ୍ଧ ଅଞ୍ଚଳ ସୀମାବଦ୍ଧ ଅଞ୍ଚଳ,",सीमाबद्ध प्रदेश सीमाबद्ध प्रदेश
"ସୀମାବଦ୍ଧ ସେଟ୍ ସୀମାବଦ୍ଧ ସେଟ୍,",बाऊंड सेट बाउंडेड सेट
ବ୍ରାଉନି ଗତି |,ब्राउनी मोशन
ଗଣନା କରିବାକୁ,मोजणे
ଗଣନା,गणना
"କାଲକୁଲେଟର, କାଲକୁଲେଟର","कॅल्क्युलेटर, कॅल्क्युलेटर"
ଗଣନା *,गणना*
ଗଣନା କାର୍ଯ୍ୟ ପଦ୍ଧତି |,संगणकीय क्रिया पद्धत
"କାଲକୁଲେଟର, କାଲକୁଲେଟର","कॅल्क्युलेटर, कॅल्क्युलेटर"
"କାଲକୁଲସ୍, କାଲ୍କୁଲସ୍","कॅल्क्युलस, कॅल्क्युलस"
ଭିନ୍ନତା ଗଣନା,भिन्नता कॅल्क्युलस
କ୍ୟାଲୋରୀ,कॅलरीज
ପ୍ରତ୍ୟାହାର ନିୟମ |,नियम रद्द करा
କାନୋନିକାଲ୍ ସମୀକରଣ |,प्रामाणिक समीकरण
କାନୋନିକାଲ୍ ଫର୍ମ |,प्रामाणिक फॉर्म
"କାନୋନିକାଲ୍ ମ୍ୟାଟ୍ରିକ୍ସ, କେ କାନୋନିକାଲ୍ ମ୍ୟାଟ୍ରିକ୍ସ |","कॅनॉनिकल मॅट्रिक्स, के कॅनॉनिकल मॅट्रिक्स"
କ୍ୟାଣ୍ଟର ସେଟ୍ |,cantor सेट
କ୍ୟାଣ୍ଟର ତ୍ରିକୋଣୀୟ ସେଟ୍ |,cantor त्रिकोणी संच
ବାଧାପ୍ରାପ୍ତ ପରିବହନ ସମସ୍ୟା |,वाहतुकीची अडचण
ଦକ୍ଷତା,क्षमता
କ୍ୟାପିଲାରୀ ଫୋର୍ସ |,केशिका शक्ती
"ଗଣନା ସଂଖ୍ୟା, କାର୍ଡିନାଲ୍ ସଂଖ୍ୟା |","संख्या संख्या, मुख्य संख्या"
କାର୍ଟେସିଆନ୍ ଅକ୍ଷ |,कार्टेशियन अक्ष
କାର୍ଟେସିଆନ୍ ସଂଯୋଜନା |,कार्टेशियन समन्वय
କାର୍ଟେସିଆନ୍ ଉତ୍ପାଦ |,कार्टेशियन उत्पादन
ସେଟ୍ ର କାର୍ଟେସିଆନ୍ ଗୁଣନ |,संचांचे कार्टेशियन गुणाकार
"କେସ୍ ଷ୍ଟଡି, କେସ୍ ଷ୍ଟଡି |","केस स्टडी, केस स्टडी"
ବିପର୍ଯ୍ୟସ୍ତ ବକ୍ତବ୍ୟ |,आपत्तीजनक भाषण
