Punjabi,Assamese
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,প্ৰৱেশ সময়
ਮਾਨਤਾ,স্বীকৃতি
ਧੁਨੀ ਵਿਗਿਆਨ,শব্দবিজ্ঞান
"1. ਸੰਖੇਪ ਰੂਪ, 2. ਸੰਖੇਪ, 3. ਤੋਂ ਛੋਟਾ","১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি"
ਕਾਰਵਾਈ ਸੁਨੇਹਾ,কাৰ্য্য বাৰ্তা
ਸਰਗਰਮੀ,সক্ৰিয়কৰণ
ਸਰਗਰਮ ਸਰਵਰ ਪੰਨਾ,সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা
ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ,সক্ৰিয় সংস্কৰণ
acyclic,অচক্ৰীয়
"1. ਏਸਾਈਕਲਿਕ ਗ੍ਰਾਫ਼, 2. acyclic ਗ੍ਰਾਫ਼","১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ"
ਅਦਾ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ,আদা কম্পিউটাৰ ভাষা
"1. ਆਪਟੀਮਾਈਜ਼ਰ, 2. ਆਪਟੀਮਾਈਜ਼ਰ","১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ"
ਜੋੜ),to sum)
sum ਫਾਈਲ,যোগফল নথিপত্ৰ
"1. ਐਡੀਸ਼ਨ ਓਪਰੇਸ਼ਨ, 2. ਸੰਯੁਕਤ ਕਾਰਵਾਈ","1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য"
ਜੋੜਨ ਵਾਲਾ,adder
ਜਾਣੋ,ঠিকনা
ਪਤਾ ਬੱਸ,ঠিকনা বাছ
ਐਡਰੈੱਸ ਫਾਈਲ,ঠিকনা নথিপত্ৰ
ਪਤਾ ਫਾਰਮੈਟ,ঠিকনা বিন্যাস
ਪਤਾ ਜਨਰੇਟਰ,ঠিকনা উৎপাদক
ਐਡਰੈੱਸ ਲਾਈਨ,ঠিকনা ৰেখা
ਪਤਾ ਮੈਪਿੰਗ,ঠিকনা মেপিং
ਪਤਾ ਸੂਚਕ,ঠিকনা সূচক
ਪਤਾ ਰਜਿਸਟਰ,ঠিকনা পঞ্জীয়ন
ਪਤਾ ਟੁੱਟਣ,ঠিকনা ভাঙি যোৱা
ਪਤਾ ਅਨੁਵਾਦ,ঠিকনা অনুবাদ
"1. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ, 2. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ","1. ঠিকনাযোগ্য স্মৃতিশক্তি, 2. ঠিকনাযোগ্য মেমৰি"
ਸੰਬੋਧਨ ਕਰਦੇ ਹੋਏ,সম্বোধন কৰা
"1. ਪੂਰਤੀ ਮਾਪਦੰਡ, 2. ਅਨੁਕੂਲਤਾ ਮਾਪਦੰਡ","১.পৰ্যাপ্ততাৰ মাপকাঠী, ২. পৰ্যাপ্ততাৰ মাপকাঠী"
ਲਗਾਵ,সংলগ্ন কৰা হৈছে
"1. ਪ੍ਰਬੰਧਨ, 2. ਕੰਟਰੋਲ","1. ব্যৱস্থাপনা, 2. নিয়ন্ত্ৰণ"
"1. ਮੈਨੇਜਰ, 2. ਕੰਟਰੋਲਰ","১.পৰিচালক, ২. নিয়ন্ত্ৰক"
ਅਡੋਬ ਐਕਰੋਬੈਟ,এডোব এক্ৰ&#39;বেট
ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ,এডোব ফটোশ্বপ
ABAP (ਐਡਵਾਂਸਡ ਬਿਜ਼ਨਸ ਪ੍ਰੋਗਰਾਮਿੰਗ),ABAP (উন্নত ব্যৱসায়িক প্ৰগ্ৰেমিং)
"1. ਐਡਵਾਂਸਡ ਡੇਟਾ, 2. ਤਕਨੀਕੀ ਡਾਟਾ","1. উন্নত তথ্য, 2. উন্নত তথ্য"
ਤਕਨੀਕੀ ਜਾਣਕਾਰੀ ਸਿਸਟਮ,উন্নত তথ্য ব্যৱস্থা
ਐਡਵਾਂਸਡ ਟੈਕਨਾਲੋਜੀ (ਏ.ਟੀ.),উন্নত প্ৰযুক্তি (AT)
ਕਾਰਵਾਈ,কাৰ্য কৰা
ਏਕੀਕਰਨ,একত্ৰীকৰণ
ਏਅਰਬੋਰਨ ਕੰਪਿਊਟਰ ਸਿਸਟਮ,বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা
aldus page-make,aldus পৃষ্ঠা-নিৰ্মাণ
ਚੇਤਾਵਨੀ ਬਾਕਸ,সতৰ্কবাণী বাকচ
ਐਲਗੋਲ (ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ),algol (কম্পিউটাৰ ভাষা)
"1. ਐਲਗੋਰਿਦਮ, 2. ਐਲਗੋਰਿਦਮ","1. এলগৰিদম, 2. এলগৰিদম"
"1. ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ, 2. ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ","১.এলগৰিদম বিশ্লেষণ, ২. এলগৰিদম বিশ্লেষণ"
ਐਲਗੋਰਿਦਮ ਕੁਸ਼ਲਤਾ,এলগৰিদম দক্ষতা
"1. ਏਲੀਯਾਸ, 2. ਉਪਨਾਮ, 3. ਉਰਫ","১.ইলিয়াছ, ২. ডাকনাম, ৩. aka"
ਅਲਾਈਨਮੈਂਟ,প্ৰান্তিককৰণ
"1. ਵੰਡ, 2. ਵੰਡ","১.আবণ্টন, ২. আবণ্টন"
"1. ਵਰਣਮਾਲਾ, 2. ਵਰਣਮਾਲਾ ਕ੍ਰਮ","১.বৰ্ণানুক্ৰমিক, ২. বৰ্ণানুক্ৰমিক ক্ৰম"
ਅੱਖਰ ਅੰਕੀ,আলফানিউমেৰিক
"1. ਅਲਫਾਨਿਊਮੇਰਿਕ ਕੀਬੋਰਡ, 2. ਅੱਖਰ ਅੰਕੀ ਕੀਬੋਰਡ","1. আলফানিউমেৰিক কিবৰ্ড, 2. আলফানিউমেৰিক কিবৰ্ড"
ਅਲਫ਼ਾ-ਟੈਸਟਿੰਗ (ਪਹਿਲਾ ਪੱਧਰ ਦਾ ਟੈਸਟ),আলফা-পৰীক্ষণ (১ম স্তৰৰ পৰীক্ষা)
"1. ਅਲਫ਼ਾ ਸੰਸਕਰਣ, 2. ਅਲਫ਼ਾ ਫਾਰਮ","1. আলফা সংস্কৰণ, 2. আলফা ৰূপ"
alt ਕੁੰਜੀ,alt কি&#39;
altavista,আলতাভিস্তা
ਬਹੁਲਤਾ,বহুগুণতা
ਅਸਪਸ਼ਟ ਵਿਆਕਰਣ,অস্পষ্ট ব্যাকৰণ
ਅਮਰੀਕਨ ਨੈਸ਼ਨਲ ਸਟੈਂਡੀਜ਼ ਇੰਸਟੀਚਿਊਟ (ANSI),আমেৰিকান নেচনেল ষ্টেণ্ডিজ ইনষ্টিটিউট (ANSI)
ਅਮਰੀਕਨ ਸਟੈਂਡਰਡ ਕੱਟ (ascii),আমেৰিকান ষ্টেণ্ডাৰ্ড কাট (ascii)
"1. ਸਮਾਨ, 2. ਐਨਾਲਾਗ","1. অনুৰূপ, ২. এনালগ"
"1. ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ, 2. ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ","১.এনালগ কম্পিউটাৰ, ২.এনালগ কম্পিউটাৰ"
"1. ਐਨਾਲਾਗ ਯੰਤਰ, 2. ਐਨਾਲਾਗ ਜੰਤਰ","1. এনালগ ডিভাইচ, 2. এনালগ ডিভাইচ"
"1. ਐਨਾਲਾਗ ਮਾਡਮ, 2. ਐਨਾਲਾਗ ਮਾਡਮ","1. এনালগ মডেম, 2. এনালগ মডেম"
ਐਨਾਲਾਗ ਤੋਂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ,এনালগ টু ডিজিটেল কনভাৰ্টাৰ
ਅੰਤ (ਡਿਜੀਟਲ/ਪਲੇਨ ਤਰਕ &#39;ਅਤੇ&#39; ਵਰਤਿਆ ਗਿਆ),শেষ (ডিজিটেল/প্লেন লজিক &#39;আৰু&#39; ব্যৱহৃত)
ਅੰਤ ਸਰਕਟ,শেষ বৰ্তনী
ਅੰਤ ਗੇਟ ਅਤੇ ਗੇਟ,শেষৰ গেট আৰু গেট
ਅੰਤ ਨਹੀਂ ਓਪਰੇਸ਼ਨ (ਬੇਹੱਦ),অপাৰেচন শেষ নহয় (বৰ্জন)
"1. ਐਨੀਮੇਸ਼ਨ, 2. ਵਾਈਬ੍ਰੇਸ਼ਨ","১.এনিমেচন, ২.কম্পন"
ਨੋਟ,দ্ৰষ্টব্য
ਅਸੰਗਤਤਾ,অসামঞ্জস্যতা
ਪਿਛਲਾ,পূৰ্ৱবৰ্তী
ਅਗਾਊਂ ਪੇਜਿੰਗ,প্ৰত্যাশিত পেজিং
ਵਿਰੋਧੀ-ਸਮਮਿਤੀ,প্ৰতি-সমমিতিক
ਐਂਟੀਵਾਇਰਲ ਪ੍ਰੋਗਰਾਮ,এন্টিভাইৰেল প্ৰগ্ৰেম
"1. ਐਪਲਿਟ, 2. ਐਪਲੀਕੇਸ਼ਨ","১.এপলেট, ২. দৰ্খাস্ত"
ਐਪਲੀਕੇਸ਼ਨ ਡਿਵੈਲਪਰ,এপ্লিকেচন ডেভেলপাৰ
ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,এপ্লিকেচন প্ৰগ্ৰেমিং
"1. ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ, 2. ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ (API)","1. এপ্লিকেচন প্ৰগ্ৰামিং আন্তঃপৃষ্ঠ, 2. এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)"
ਐਪਲੀਕੇਸ਼ਨ ਸਾਫਟਵੇਅਰ,এপ্লিকেচন চফ্টৱেৰ
ਐਪਲੀਕੇਸ਼ਨ ਭਾਸ਼ਾ,আবেদন ভাষা
ਲਗਭਗ ਸਿਧਾਂਤ,আনুমানিক নীতি
ਬਣਤਰ,গাঁঠনি
ਖੇਤਰ ਦਾ ਤਬਾਦਲਾ,ক্ষেত্ৰ স্থানান্তৰ
"1. ਪੈਰਾਮੀਟਰ, ਸੁਤੰਤਰ ਵੇਰੀਏਬਲ, 2. ਕੋਣ","1. প্ৰাচল, স্বাধীন চলক, 2. কোণ"
"1. ਅੰਕਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ, 2. ਅੰਕਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ","1. গাণিতিক আৰু যুক্তি একক, 2. গাণিতিক আৰু যুক্তি একক"
ਗਣਿਤ ਦੀ ਜਾਂਚ,গাণিতিক পৰীক্ষা
ਅੰਕਗਣਿਤ ਸਥਿਰ,গাণিতিক ধ্ৰুৱক
ਗਣਿਤ ਡਾਟਾ,গাণিতিক তথ্য
ਗਣਿਤ ਦੀ ਹਿਦਾਇਤ,গাণিতিক নিৰ্দেশনা
ਗਣਿਤ ਅਤੇ ਲਾਜ਼ੀਕਲ ਯੂਨਿਟ (ALU),গাণিতিক আৰু যুক্তিসংগত একক (ALU)
ARPA ਨੈੱਟ (RPNet),ARPA নেট (RPNet)
ਐਰੇ,এৰে
"1. ਐਰੇ ਕੈਸ਼, 2. ਐਰੇ ਸਪੀਡ, 3. ਐਰੇ ਮੈਮੋਰੀ","1. এৰে কেচ, 2. এৰেৰ গতি, ৩. এৰে মেমৰি"
ਐਰੇ ਕੰਪਿਊਟਰ,এৰে কম্পিউটাৰ
ਐਰੇ ਤੱਤ,এৰে উপাদান
ਐਰੇ ਨਾਮ,এৰেৰ নাম
ਐਰੇ ਪ੍ਰੋਸੈਸਰ,এৰে প্ৰচেছৰ
ਤੀਰ ਕੁੰਜੀ,কাঁড় চিহ্ন
ਸੰਧੀ,সন্ধি
ਜੰਕਸ਼ਨ ਬਿੰਦੂ,জংচন পইণ্ট
ਨਕਲੀ ਸੰਕੁਚਿਤ,কৃত্ৰিম সংকোচন
ਨਕਲੀ ਕੰਟਰੋਲ,কৃত্ৰিম নিয়ন্ত্ৰণ
ਨਕਲੀ ਭਾਵਨਾ,কৃত্ৰিম ইন্দ্ৰিয়
ਮਾਊਂਟ,মাউন্ট
ਵਧਦੀ ਲੜੀ,আৰোহী সজাই পৰাই তোলা
ascii ਵਰਣਮਾਲਾ,ascii বৰ্ণমালা
ascii ਕੰਟਰੋਲ ਚਿੰਨ੍ਹ,ascii নিয়ন্ত্ৰণ চিহ্ন
ascii ਫਾਈਲ,ascii ফাইল
ascii ਫੌਂਟ,ascii ফন্ট
ASCII ਟ੍ਰਾਂਸਫਰ,ASCII স্থানান্তৰ
ਆਕਾਰ ਅਨੁਪਾਤ,এস্পেক্ট ৰেচিঅ&#39;
"1. ਐਸਪੀ, 2. ਏ.ਐਸ.ਪੀ.ਆਈ","১.এছপি, ২. এ এছ পি আই"
ਏ ਐਸ ਆਰ ਕਲਾਡ,এ এছ আৰ কালাদ
"1. ਯਾਦ, 2. ਅਸੈਂਬਲਿੰਗ, 3. ਇਕੱਠੇ ਕਰਨ ਲਈ","১/ স্মৰণ, ২। একত্ৰিত কৰা, ৩. একত্ৰিত কৰা"
"1. ਅਸੈਂਬਲਰ, 2. ਯਾਦਗਾਰੀ","১.সমাবেশকাৰী, ২. স্মাৰক"
"1. ਅਸੈਂਬਲਿੰਗ, 2. ਯਾਦ","1. একত্ৰিত কৰা, ২. স্মৃতি"
"1. ਯਾਦਾਸ਼ਤ ਭਾਸ਼ਾ, 2. ਅਸੈਂਬਲਿੰਗ ਭਾਸ਼ਾ","১/ মুখস্থ কৰা ভাষা, ২. ভাষা একত্ৰিত কৰা"
ਦ੍ਰਿੜ੍ਹਤਾ,সংকল্প
"1. ਨਿਰਧਾਰਤ ਕੰਮ, 2. ਵੰਡ","1. নিৰ্দিষ্ট কাম, 2. আবণ্টন"
ਸਾਥੀ,সংগীত্ব
ਸਹਿਯੋਗੀ ਪਤਾ,সহযোগী ঠিকনা
"1. ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ, 2. ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ","১.সংগত স্মৃতি, ২. সহযোগী স্মৃতিশক্তি"
ਤਾਰਾ (* ਚਿੰਨ੍ਹ),তাৰকা চিহ্ন (* চিহ্ন)
ਅਸਮਿਤ,অসমতাপূৰ্ণ
"1. ਅਸਿੰਕ੍ਰੋਨਸ, 2. ਅਸਿੰਕ੍ਰੋਨਸ","1. এচিনক্ৰ&#39;নাছ, 2. এচিনক্ৰ&#39;নাছ"
ਅਸਿੰਕ੍ਰੋਨਸ ਡਿਜੀਟਲ ਸਬਸਕ੍ਰਾਈਬਰ ਲਾਈਨ (ADSL),এচিনক্ৰ&#39;নাছ ডিজিটেল গ্ৰাহক লাইন (ADSL)
ਅਸਿੰਕ੍ਰੋਨਸ ਟਾਈਮ ਡਿਵੀਜ਼ਨ ਮਲਟੀਪਲੈਕਸਿੰਗ (ATDM),এচিংক্ৰ&#39;নাছ সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM)
ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ,এচিনক্ৰ&#39;নাছ স্থানান্তৰ
ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ ਮੋਡ (ATM),এচিংক্ৰ&#39;নাছ ট্ৰেন্সফাৰ মোড (ATM)
"1. ਐਟਮ, 2. ਪਰਮਾਨ","১.পৰমাণু, ২. পৰমণ"
ਨੱਥੀ ਦਸਤਾਵੇਜ਼,সংলগ্ন নথিপত্ৰ
"1. ਨੱਥੀ ਫਾਈਲ/ਮਿਸਲ, 2. ਨੱਥੀ ਫਾਈਲ","1. সংলগ্ন ফাইল/মিছিল, 2. সংলগ্ন ফাইল"
"1. ਦੀਵਾਰ, 2. ਸੰਬੰਧਿਤ","১.আৱৰণ, ২. সংযুক্ত"
"1. ਗੁਣ, 2. ਵਿਸ਼ੇਸ਼ਤਾ","১.গুণ, ২. বৈশিষ্ট্য"
ਸੁਣਨਯੋਗ,শ্ৰৱণযোগ্য
"1. ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ","1. অডিট প্ৰগ্ৰেমিং, 2. অডিট প্ৰগ্ৰেমিং"
ਖਾਤਾ ਪੁਸ਼ਟੀਕਰਨ,একাউণ্ট পৰীক্ষণ
ਤਰੱਕੀ,প্ৰচাৰ
ਸਰਟੀਫਿਕੇਸ਼ਨ ਪ੍ਰੋਟੋਕੋਲ,প্ৰমাণীকৰণ প্ৰট&#39;কল
ਲੇਖਕ ਵਿਧੀ,লেখক পদ্ধতি
"1. ਅਥਾਰਟੀ, 2. ਅਥਾਰਟੀ, 3. ਟ੍ਰਿਬਿਊਨਲ","১.কৰ্তৃত্ব, ২. কৰ্তৃত্ব, ৩. ন্যায়াধিকৰণ"
ਆਟੋ ਐਬਸਟਰੈਕਟ,অটো বিমূৰ্ত
"1. ਆਟੋ ਬੂਟਿੰਗ, 2. ਸਵੈ ਬੂਟ","1. স্বয়ংক্ৰিয় বুটিং, 2. self বুট"
ਆਟੋਕੈਡ (ਇੱਕ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ),AutoCAD (এটা কম্পিউটাৰ ভাষা)
ਆਟੋ ਲੌਗ-ਆਨ,স্বয়ংক্ৰিয় লগ-অন
ਆਟੋਮੇਟਾ,automata
ਆਟੋਮੈਟਾ ਥਿਊਰੀ,automata তত্ত্ব
ਆਟੋਮੈਟਿਕ ਗਣਨਾ,স্বয়ংক্ৰিয় গণনা
ਆਟੋਮੈਟਿਕ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ,স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ
ਆਟੋਮੈਟਿਕ ਗਲਤੀ ਸੁਧਾਰ,স্বয়ংক্ৰিয় ভুল সংশোধন
ਆਟੋ ਫੰਕਸ਼ਨ,অটো ফাংচন
"1. ਆਟੋਮੈਟਿਕ ਇੰਡੈਕਸਿੰਗ, 2. ਆਟੋਮੈਟਿਕ ਸੂਚੀਕਰਨ","1. স্বয়ংক্ৰিয় সূচীভুক্তকৰণ, 2. স্বয়ংক্ৰিয় তালিকাভুক্তকৰণ"
ਸਵੈ-ਸੰਗ੍ਰਹਿ ਕਾਲ,অটো-সংগ্ৰহ কল
"1. ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ","1. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং, 2. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং"
"1. ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ, 2. ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ","1. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম, 2. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম"
ਆਟੋਮੈਟਿਕ ਰੁਟੀਨ,অটো ৰুটিন
ਆਟੋਮੈਟਿਕ ਸਿਸਟਮ ਰਿਕਵਰੀ,স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ
"1. ਆਟੋਮੈਟਿਕ ਟੈਲਰ ਮਸ਼ੀਨਾਂ (ATM), 2. ਸਵੈ ਨਿਕਾਸੀ ਲਈ ਬੈਂਕ ਏ.ਟੀ.ਐਮ","১/ স্বয়ংক্ৰিয় টেলাৰ মেচিন (এটিএম), ২. স্বয়ং উলিওৱাৰ বাবে বেংকৰ ATM"
ਆਟੋਮੇਸ਼ਨ,অটোমেচন
"1. ਆਟੋਪਲੇ, 2. ਆਟੋ ਵਾਕ","1. অটোপ্লে, 2. অটো ৱাক"
ਵੋਕਲਾਈਜ਼ੇਸ਼ਨ,কণ্ঠদান
ਸਹਾਇਕ,সহায়ক
ਸਹਾਇਕ ਮੈਮੋਰੀ,সহায়ক স্মৃতিশক্তি
ਸਹਾਇਕ ਸਟੋਰੇਜ਼,সহায়ক সংৰক্ষণ
ਉਪਲਬਧ ਸੂਚੀ,উপলব্ধ তালিকা
ਉਪਲਬਧ ਸਮਾਂ,উপলব্ধ সময়
ਔਸਤ,গড়
AWK (ਇੱਕ ਕੰਪਿਊਟਰ ਕਮਾਂਡ),AWK (এটা কম্পিউটাৰ কমাণ্ড)
ਬਾਅਦ,পাছত
ਪੋਸਟ ਪ੍ਰੋਸੈਸਰ,পোষ্ট প্ৰচেছৰ
ਪਿਛਲਾ ਫੰਕਸ਼ਨ ਮਿਟਾਉਣਾ,পশ্চাৎ কাৰ্য্য বিলোপন
ਪਿਛੋਕੜ ਦੀ ਕਾਰਵਾਈ,পটভূমি প্ৰক্ৰিয়াকৰণ
ਸਹਾਇਕ ਸਟੋਰ,আনুষংগিক দোকানসমূহ
ਵਾਪਸ ਪੈਚਿੰਗ,বেক পেচিং
"1. ਪੱਛਮ, 2. ਬੈਕਸਪੇਸ","১.পশ্চিম, ২. বেকস্পেচ"
ਬੈਕਟਰੈਕਿੰਗ,পিছুৱাই যোৱা
"1. ਬੈਕ-ਅੱਪ, 2. ਅਦਾਇਗੀ","1. বেক-আপ, 2. ৰিইম্বৰ্চেমেণ্ট"
"1. ਪੂਰਕ ਮੈਮੋਰੀ, 2. ਬੈਕਅੱਪ ਮੈਮੋਰੀ","১/ পৰিপূৰক স্মৃতিশক্তি, ২. বেক-আপ মেমৰি"
ਵਾਪਸ ਗਲਤੀ ਸੁਧਾਰ,পিছলৈ ভুল সংশোধন
(ਆਮਦਨ-ਖਰਚਾ) ਬੈਲੇਂਸ ਸ਼ੀਟ,(আয়-ব্যয়) বেলেন্স শ্বীট
ਪੱਟੀ,পট্টি
"1. ਬੈਂਡ ਚੌੜਾਈ, 2. ਬੈਂਡਵਿਡਥ/ਸਮਰੱਥਾ","১.বেণ্ড প্ৰস্থ, ২. বেণ্ডউইডথ/ক্ষমতা"
ਬੈਂਕਰ ਦਾ ਐਲਗੋਰਿਦਮ,বেংকাৰৰ এলগৰিদম
"1. ਬਾਰ ਕੋਡ, 2. ਬਾਰ ਕੋਡ","1. বাৰ ক&#39;ড, 2. বাৰ ক&#39;ড"
ਬਾਰਕੋਡ ਸਕੈਨਰ,বাৰক&#39;ড স্ক্যানাৰ
ਪੱਟੀ ਗ੍ਰਾਫ,বাৰ গ্ৰাফ
ਅਧਾਰ ਪਤਾ,ভিত্তি ঠিকনা
ਅਧਾਰ ਬੈਂਡ,বেচ বেণ্ড
ਆਧਾਰ ਨੰਬਰ,আধাৰ নম্বৰ
ਅਧਾਰ ਸਾਰਣੀ,ভিত্তি টেবুল
ਬੇਸਿਕ (ਇੱਕ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ),মূল (এটা কম্পিউটাৰ ভাষা)
