English,Malayalam
Absorption ratio,ആഗിരണം അനുപാതം
Absorption series,ആഗിരണം പരിധി*
Absorption spectro photometry,ആഗിരണം സ്പെക്ട്രം ഫോട്ടോമെട്രി*
Absorption spectrum,ആഗിരണം സ്പെക്ട്രം*
Absorption tube,"ആഗിരണം ട്യൂബ്, ആഗിരണം ട്യൂബ്"
Absorption vavemeter,ആഗിരണം ഹൈഗ്രോമീറ്റർ
Absorptive,ആഗിരണം ചെയ്യാവുന്ന*
Absorptive attenuator,ആഗിരണം ചെയ്യാവുന്ന ബാഷ്പീകരണം
Absorptive law,ആഗിരണം നിയമം*
Absorptive medium,ആഗിരണം മീഡിയം
Absorptive power,"ആഗിരണം ചെയ്യാനുള്ള ശേഷി, ആഗിരണം*"
Absorptivity,ആഗിരണം*
Abstract set=studio decoration,സ്റ്റുഡിയോ അലങ്കാരം
Abundance ratio,ഗുണിത അനുപാതം
Abvolt,അബോൾട്ട്
Abwatt,കുറിച്ച്
Accelerate,ത്വരിതപ്പെടുത്തുക
Accelerate-stop distance,ആക്സിലറേഷൻ-സ്റ്റോപ്പ് ദൂരം
Accelerated,തിടുക്കപ്പെട്ടു
Accelerated ageing test,ദ്രുത സമയ ഫല പരിശോധന
Accelerated flow,പെട്ടെന്നുള്ള ഒഴുക്ക്
Accelerated motion,പെട്ടെന്നുള്ള വേഗത
Accelerated system,പെട്ടെന്നുള്ള ശരീരം
Accelerating balance,ആക്സിലറേറ്റർ തൂക്കം
Accelerating electrode,ആക്സിലറേറ്റർ ഇലക്ട്രോഡ്*
Accelerating period,ആക്സിലറേറ്റർ സമയം*
Accelerating phase,ആക്സിലറേറ്റർ ഘട്ടം
Accelerating rate,ആക്സിലറേറ്റർ നിരക്ക്
Accelerating voltage,ആക്സിലറേറ്റർ വോൾട്ടേജ്*
Acceleration,ത്വരണം
Acceleration blowout=rich extinction=flame out,ത്വരിതപ്പെടുത്തിയ ജ്വലനം
Acceleration coefficient,ആക്സിലറേഷൻ കോഫിഫിഷ്യന്റ്
Acceleration component,ത്വരണം ഘടകം
Acceleration due to gravity,ഗുരുത്വാകർഷണം മൂലം ത്വരണം
Acceleration factor,ത്വരണം ഘടകം
Acceleration feedback,ത്വരിതപ്പെടുത്തിയ ചാർജ്
Acceleration of gravity,ഗുരുത്വാകർഷണ ത്വരണം
Acceleration potential,ത്വരണം സാധ്യത
Acceleration principle,ത്വരിതപ്പെടുത്തൽ നിയമം
Acceleration process,ത്വരിതപ്പെടുത്തൽ പ്രക്രിയ
Acceleration space,ആക്സിലറേഷൻ സോൺ
Acceleration technique,ത്വരിതപ്പെടുത്തൽ രീതി
Acceleration tolerance,"ആക്സിലറേഷൻ ടോളറൻസ്, ആക്സിലറേഷൻ ടോളറൻസ്"
Acceleration vector,ആക്സിലറേഷൻ വെക്റ്റർ
Acceleration voltage,ത്വരണം-വോൾട്ടേജ്
Acceleration wave,ത്വരണം തരംഗം
Accelerative,ആക്സിലറേറ്റർ
Accelerator,"ത്വരിതപ്പെടുത്തുക, ആക്സിലറേറ്റർ*"
Accelerator equation,ആക്സിലറേറ്റർ സമവാക്യം
Accelerograph,ആക്സിലറേറ്റർ*
Accelerometer,ആക്സിലറോമീറ്റർ
Accelerometer matching,ആക്സിലറോമീറ്റർ പൊരുത്തപ്പെടുത്തൽ
Accentuator,പ്രിസ്ട്രെസർ
Acceptable character,സാധുവായ പ്രതീകങ്ങൾ
Acceptance angle,സ്വീകാര്യത കോൺ
Acceptance specifications,സ്വീകാര്യത സ്പെസിഫിക്കേഷൻ
Acceptance test,സ്വീകാര്യമായ പരിശോധന
Acceptor,"സ്വീകരിക്കുന്നവൻ*, സ്വീകരിക്കുന്നവൻ"
Acceptor atom,റിസപ്റ്റർ ആറ്റം
Acceptor bond,റിസപ്റ്റർ ബോണ്ട്
Acceptor circuit,റിസീവർ സർക്യൂട്ട്
Acceptor level,റിസപ്റ്റർ ലെവൽ
Acceptor molecule,ദാതാവിന്റെ തന്മാത്ര
Acceptor property,റിസപ്റ്റർ പ്രോപ്പർട്ടി
Acceptor property level,റിസപ്റ്റർ പ്രോപ്പർട്ടി ലെവൽ
Accererating tube,ആക്സിലറേറ്റർ ഹോസ്
Access,"പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനം"
Access arm,ഭുജിലേക്ക് പ്രവേശിക്കുക
Access mechanism,ആക്സസ് സിസ്റ്റം
Access time,പ്രവേശന സമയം
Accessibility,പ്രവേശനക്ഷമത
Accessory,"അധിക, ഓക്സിലറി, ആക്സസറി (v, ), ആക്സസറികൾ"
Accessory condition,അധിക നിയന്ത്രണങ്ങൾ
Accidental coincidence,യാദൃശ്ചികം
Accidental correction,ആകസ്മികമായ തിരുത്തൽ
Accidental degeneracy,ആകസ്മികമായ ബയോജനസിസ്
Accidental double refraction,ആകസ്മികമായ വഴിതിരിച്ചുവിടൽ
Accidental error,സന്ദർശക പിശക്
Accidental jamming,"പെട്ടെന്ന് നിർത്തുക, പെട്ടെന്ന് നിർത്തുക"
Accidental transmission,ആകസ്മികമായ കൈമാറ്റം
Accidental variation,ക്രമരഹിതമായ വ്യതിയാനം
Accommodation,ക്രമീകരിക്കൽ
Accumbent,സ്ഥാനം പിടിച്ചു
Accumulated error,സഞ്ചിത പിശക്
Accumulation,"ശേഖരണം, ശേഖരണം"
Accumulation of energy,ഊർജ്ജ സംഭരണം
Accumulator,ശേഖരണം*
Accuracy,കൃത്യത
Accurate,റിയാലിറ്റി
Accurate instrumental observation,യഥാർത്ഥ ഉപകരണ നിരീക്ഷണം
Accurate range marker,കൃത്യമായ റേഞ്ച് മാർക്കർ
Accurate scanning,കൃത്യമായ സ്കാനിംഗ്
Accustomisation,പ്രാക്ടീസ്
Acdelerating chamber,ആക്സിലറേറ്റർ സെൽ*
Achromat,അക്രോമാറ്റിക് ലെൻസ്*
Achromatic,അക്രോമാറ്റിക്*
Achromatic analyser,അക്രോമാറ്റിക് അനലൈസർ
Achromatic antenna,ഫ്രീക്വൻസി ന്യൂട്രൽ ആന്റിന
Achromatic figure,അക്രോമാറ്റിക് ആകൃതി
Achromatic fringe,അക്രോമാറ്റിക് തൊങ്ങൽ
Achromatic lens,അക്രോമാറ്റിക് ലെൻസ്*
Achromatic locus,അക്രോമാറ്റിക് പോയിന്റ് പാത
Achromatic object lens,അക്രോമാറ്റിക് ലെൻസ്
Achromatic prism,അക്രോമാറ്റിക് പ്രിസം
Achromatic telescope,അക്രോമാറ്റിക് ടെലിസ്കോപ്പ്
Achromaticity,അക്രോമാറ്റിറ്റി*
Achromatisation,അക്രോമാറ്റിസേഷൻ*
Achromatism,അക്രോമാറ്റിറ്റി*
Aclastic,"ഇലാസ്റ്റിക്, അൺഫ്രാക്റ്ററി, റിഫ്രാക്ടറി"
Acorn tube,"അക്രോൺ ഹോസ്, ബഞ്ചു ഹോസ്"
Acorn valve,മിനിയേച്ചർ വാൽവ്
Acouphony,എക്കോഫോണി
Acoustic,അക്കോസ്റ്റിക്
Acoustic absorptivity,അക്കോസ്റ്റിക് ആഗിരണം
Acoustic attenuation coeffcient,അക്കോസ്റ്റിക് അറ്റൻവേഷൻ കോഫിഫിഷ്യന്റ്
Acoustic attenuation constant,അക്കോസ്റ്റിക് അറ്റൻവേഷൻ
Acoustic burglar alarm,അക്കോസ്റ്റിക് കള്ളൻ അലാറം
Acoustic capacitance,അക്കോസ്റ്റിക് കപ്പാസിറ്റൻസ്
Acoustic centre,ശ്രവണ കേന്ദ്രം
Acoustic clarifier,അക്കോസ്റ്റിക് വിശദീകരണം
Acoustic cloud,അക്കോസ്റ്റിക് കവർ
Acoustic compliance,ശബ്ദ പ്രതികരണം
Acoustic component,അക്കോസ്റ്റിക് ഘടകം
Acoustic conductivity,ശബ്ദ ചാലകത
Acoustic damping,അക്കോസ്റ്റിക് ഡാംപിംഗ്
Acoustic dispersion,അക്കോസ്റ്റിക് ഡിസ്പർഷൻ
Acoustic dissipation element,സൗണ്ട് ഹാക്കർ
Acoustic energy,ശബ്ദ ഊർജ്ജം*
Acoustic energy equation,അക്കോസ്റ്റിക് ഊർജ്ജ സമവാക്യം
Acoustic equation,ശബ്ദ സമവാക്യം
Acoustic feedback,അക്കോസ്റ്റിക് പുനഃസ്ഥാപിക്കൽ
Acoustic figures (Chladni figures),ക്ലാഡ്നി രൂപങ്ങൾ
Acoustic filter,അക്കോസ്റ്റിക് ഫിൽട്ടർ
Acoustic generator,ശബ്ദ ജനറേറ്റർ
Acoustic grating,അക്കോസ്റ്റിക് ഗ്രേറ്റിംഗ്
Acoustic impedance,ശബ്ദ തടസ്സം*
Acoustic inertance,അക്കോസ്റ്റിക് ജഡത്വം
Acoustic intensity,ശബ്ദ തീവ്രത
Acoustic interferometer,അക്കോസ്റ്റിക് ഇടപെടൽ മീറ്റർ
Acoustic intrusion detector,അക്കോസ്റ്റിക് ഇടപെടൽ ഡിറ്റക്ടർ
Acoustic lens,അക്കോസ്റ്റിക് ലെൻസ്
Acoustic line,ശബ്ദരേഖ
Acoustic mass,അക്കോസ്റ്റിക് പിണ്ഡം
Acoustic material,അക്കോസ്റ്റിക് മെറ്റീരിയൽ
Acoustic mean free path,അക്കോസ്റ്റിക് അർത്ഥം സ്വതന്ത്ര പാത
Acoustic mode,അക്കോസ്റ്റിക് മോഡ്
Acoustic noise,അക്കോസ്റ്റിക് ശബ്ദം
Acoustic ohm,അക്കോസ്റ്റിക് ഓം*
Acoustic panel,"അക്കോസ്റ്റിക് പാനൽ, അക്കോസ്റ്റിക് ബോർഡ്"
Acoustic phase constant,അക്കോസ്റ്റിക് ഘട്ടം സ്ഥിരം
Acoustic pickup (sound box),അക്കോസ്റ്റിക് റിസീവർ
Acoustic pressure,ശബ്ദ സമ്മർദ്ദം
Acoustic principle of similarity,ശബ്ദത്തിന്റെ സമമിതി നിയമം
Acoustic propagation constant,അക്കോസ്റ്റിക് ട്രാൻസ്മിഷൻ
Acoustic property,ശബ്ദ ഗുണങ്ങൾ
Acoustic quardrupole,അക്കോസ്റ്റിക് ക്വാഡ്രുപോള്
Acoustic radiating element,അക്കോസ്റ്റിക് വികിരണം മൂലകം
Acoustic radiation,അക്കോസ്റ്റിക് വികിരണം
Acoustic radiator,ശബ്ദപ്രതിരോധം
Acoustic radiometer,അക്കോസ്റ്റിക് റേഡിയോമീറ്റർ
Acoustic reactance,ശബ്ദ പ്രതികരണം
Acoustic reciprocity theorem,അക്കോസ്റ്റിക് റിസിപ്രോസിറ്റി സിദ്ധാന്തം
Acoustic reduction factor,അക്കോസ്റ്റിക് റിഡക്ഷൻ ഘടകം
Acoustic reflection coefficient,അക്കോസ്റ്റിക് പ്രതിഫലന ഗുണകം
Acoustic refraction,ശബ്ദ അപവർത്തനം
Acoustic resistance,ശബ്ദ പ്രതിരോധം
Acoustic responsiveness,ശബ്ദ പ്രതികരണം
Acoustic scattering,അക്കോസ്റ്റിക് ചിതറിക്കൽ
Acoustic spot,ശ്രവണ പോയിന്റ്
Acoustic stiffiness,അക്കോസ്റ്റിക് കാഠിന്യം
Acoustic system,ശബ്ദസംവിധാനം
Acoustic thermometer,അക്കോസ്റ്റിക് തെർമോമീറ്റർ
Acoustic velocity,ശബ്ദ പ്രവേഗം
Acoustic wave,ശബ്ദ തരംഗം
Acoustical,അക്കോസ്റ്റിക്
Acoustical absorption co-efficient,ശബ്ദ ആഗിരണം ഗുണകം
Acoustical absorption factor,ശബ്ദ ആഗിരണം ഘടകം
Acoustical circuit,അക്കോസ്റ്റിക് സർക്യൂട്ട്
Acoustical compliance,അക്കോസ്റ്റിക് പ്രതികരണം
Acoustical delay line,അക്കോസ്റ്റിക് കാലതാമസം ലൈൻ
Acoustical distortion,ശബ്ദ വികലത
Acoustical energetics,അക്കോസ്റ്റിക് ശബ്ദശാസ്ത്രം
Acoustical filter,അക്കോസ്റ്റിക് ഫിൽട്ടർ
Acoustical impedance (=acoustic impedance),ശബ്ദ തടസ്സം*
Acoustical labyrinth,ഫോണോഗ്രാഫ്
Acoustical ohm,അക്കോസ്റ്റിക് ഓം*
Acoustical phase constant,അക്കോസ്റ്റിക് സ്ഥിരാങ്കം
Acoustical phonan,അക്കോസ്റ്റിക് ഫോണോൺ
Acoustical propagation constant (=propagation constant),അക്കോസ്റ്റിക് ട്രാൻസ്മിഷൻ സ്ഥിരാങ്കം
Acoustical reduction factor,ശബ്ദ പരിവർത്തന ഗുണകം
Acoustical resistance,ശബ്ദ പ്രതിരോധം
Acoustical stiffness,അക്കോസ്റ്റിക് കാഠിന്യം
Acoustical unit,ശബ്ദ യൂണിറ്റ്
Acoustically insulated,ശബ്ദപ്രതിരോധം
Acoustico-lateral line,അക്കോസ്റ്റിക് സൈഡ് ലൈൻ
Acoustics,"ശബ്ദശാസ്ത്രം, ശബ്ദശാസ്ത്രം"
Acoustimeter,ശബ്ദ മീറ്റർ
Acoustomotive pressure=sound pressure,ശബ്ദ സമ്മർദ്ദം
Acquisition radar,ഏറ്റെടുക്കൽ റഡാർ
Actinic ray,ഫോട്ടോസിന്തറ്റിക് റേഡിയേഷൻ
Actinium emnation,ആക്ടിനിയം എമിഷൻ
Actino-uranium,ആക്ടിനോ-യുറേനിയം
Actino-uranium series,ആക്ടിനോ-യുറേനിയം പരമ്പര
Actinoelectricity,റേഡിയോ ഇലക്ട്രിക്
Actinometer,"ആക്ടിനോമീറ്റർ, ഫോട്ടോമൈക്രോമീറ്റർ"
Action,"പ്രവൃത്തി, പ്രവൃത്തി"
Action and reaction,പ്രവർത്തനവും പ്രതികരണവും
Action constant,പ്രവർത്തന സ്ഥിരത
Action radium (=effective area),സ്വാധീന മേഖല
Activated,"സജീവമാക്കി, സജീവമാക്കി"
Activated diffusion,സജീവ വ്യാപനം
Activated filament,"സജീവമാക്കിയ ഫൈബർ, സജീവമാക്കിയ ഫൈബർ"
Activating effect,സജീവമാക്കൽ പ്രഭാവം
Activation,സജീവമാക്കൽ പ്രഭാവം
Activation analysis,സജീവമാക്കൽ വിശകലനം
Activation centre,പ്രവർത്തന കേന്ദ്രം
Activation cross-section,ആക്ടിവേഷൻ ടെസ്റ്റർ
Activation energy,സജീവമാക്കൽ ഊർജ്ജം
Activation entropy,സജീവമാക്കൽ എൻട്രോപ്പി
Activation over-voltage,സജീവമാക്കൽ അമിത വോൾട്ടേജ്
Activation rate,സജീവമാക്കൽ നിരക്ക്
Activator,"ആക്റ്റിവേറ്റർ, ആക്റ്റിവേറ്റർ"
Activator atom,ആക്റ്റിവേറ്റർ ആറ്റം
Activator of accelerator,ആക്സിലറേറ്റർ
Active absorption,സജീവമായ ആഗിരണം
Active aerial,സജീവമായ ഏരിയൽ
Active area (controlled area),റേഡിയേഷൻ അപകട മേഖല
Active device,സജീവ ഉപകരണം
Active homing,സജീവമായ ടാർഗെറ്റിംഗ്
Active hydrogen,സജീവ ഹൈഡ്രജൻ*
Active lattice,സജീവ മെഷ്
Active line,സജീവ ലൈൻ സജീവ ലൈൻ
Active loop,സജീവ ലൂപ്പ്
Active mass,സജീവ കോഡ്*
Active material,സജീവ ചേരുവകൾ
Active molecule,സജീവ തന്മാത്ര
Active network,സജീവ മെഷ്
Active re-absorption,സജീവമായ പുനഃശോഷണം
Active region,സജീവമായ പ്രദേശം
Active regulation,സജീവമായ നിയന്ത്രണം
Active satellite,സജീവ ഉപഗ്രഹം
Active sunspot prominence,സജീവമായ വിഘടന സൗരജ്വാല
Active trace sub stances,സജീവമായ മൈക്രോ ന്യൂട്രിയന്റുകൾ
Active tracking system,സജീവമായ ട്രാക്കിംഗ് സിസ്റ്റം
Active transducer,സജീവ ട്രാൻസ്ഡ്യൂസർ
Active uptake,സജീവമായ ഉപഭോഗം
Activity coefficient,പ്രവർത്തന ഗുണകം*
Activity index,പ്രവർത്തന സൂചിക
Activity ratio,പ്രവർത്തന അനുപാതം
Activity vector,പ്രവർത്തന വെക്റ്റർ
Actual monitor,യഥാർത്ഥ മോണിറ്റർ
Actual stress,യഥാർത്ഥ സമ്മർദ്ദം
Actuate,പ്രവർത്തനക്ഷമമാക്കാൻ
Actuating,ഉപജ്ഞാതാവ്
Acturator,ഉപജ്ഞാതാവ്
Acuity meter,അക്വിറ്റിയോമീറ്റർ
Acuity of hearing,കേൾവിശക്തി
Acutance,ഫോട്ടോ അക്വിറ്റി മൂല്യം
Acute angle,ന്യൂനകോണ്
Acute exposure,മന്ത്രിക്കുന്നു
Acute triangle,നിശിത ത്രികോണം
Acyclic,അസൈക്ലിക്
Adaptation manoeuver,ഒപ്റ്റിമൈസേഷൻ ആപ്ലിക്കേഷൻ
Adapted stae,ഒപ്റ്റിമൈസ് ചെയ്ത അവസ്ഥ
Adaptive control system,അഡാപ്റ്റീവ് കൺട്രോൾ സിസ്റ്റം
Adaptometer,അഡാപ്റ്റോമീറ്റർ
Adcock antenna,അഡ്‌കോക്ക് ആന്റിന
Add,സംഗ്രഹിക്കാനായി
Add time,സമാഹാര സമയം
Add-subtract time,സമാഹാരം-കുറയ്ക്കൽ സമയം
Adder,ചേർക്കുന്നയാൾ
Addition,"തുക, കൂട്ടിച്ചേർക്കൽ, സംഗ്രഹം (എഡി.), സങ്കലനം (വി.)"
Addition constant,കൂട്ടിച്ചേർക്കൽ സ്ഥിരം
Addition law of acceleration,ത്വരണം-സംഭരണം
Addition law of distance,ദൂരം-സംഭരണം
Addition law of velocity,വേഗത-തുക നിയമം
Addition of vectors,വെക്റ്ററുകളുടെ ആകെത്തുക
Addition reaction,ശേഖരണ പ്രതികരണം
Additional half plane,അധിക നില
Additional tone,"കണക്റ്റീവ് ടോൺ, അധിക ടോൺ (സ്വരാക്ഷരങ്ങൾ)"
Additive,"അഡിറ്റീവ്, സങ്കലനം"
Additive channel,സങ്കലന സംവിധാനം
Additive colour,സംയുക്ത പ്രതീകങ്ങൾ
Additive colour process,മൊത്തം പ്രതീക പ്രക്രിയ
Additive complementary colour,സങ്കലന പൂരക നിറം
Additive constant,സങ്കലന സ്ഥിരാങ്കം
Additive drag,അഡിറ്റീവ് ട്രാക്ഷൻ
Additive effect,സങ്കലന പ്രഭാവം
Additive factor,സങ്കലന ഘടകം
Additive function,സങ്കലന പ്രവർത്തനം
Additive mixing,അഡിറ്റീവ് മിക്സ്
Additive primary,സങ്കലന റൂട്ട്
Additive process,സങ്കലന പ്രക്രിയ
Additive property,കൂട്ടിച്ചേർക്കൽ
Additive quantum number,അഡിറ്റീവ് ക്വാണ്ടം നമ്പർ
Additive reaction,ശേഖരണ പ്രതികരണം
Additivity,കൂട്ടിച്ചേർക്കൽ
Additron,അഡിട്രോൺ
Address,അറിയുക*
Address computation,വിലാസ കണക്കുകൂട്ടൽ
Address counter,വിലാസം
Address decoding,വിലാസ എൻക്രിപ്ഷൻ
Address expression,വിലാസ എക്സ്പ്രഷൻ
Address facility,വിലാസം
Address format,വിലാസ ബാർ
Address light,വിലാസ വെളിച്ചം
Address modification,വിലാസം മാറ്റം
Address part,പതാൻഷ്
Address register,വിലാസ രജിസ്റ്റർ
Address selection swith,വിലാസം തിരഞ്ഞെടുക്കൽ സ്വിച്ച്
Address table sort,വിലാസം അടുക്കുന്നതിനുള്ള പട്ടിക
Addressing,അഭിസംബോധന
Addressograph,അഡ്രെസോഗ്രാഫ്
Addresssing system,വിലാസ സംവിധാനം
Adhesion,അഡീഷൻ
Adhesion tension,adhesion സമ്മർദ്ദം
Adhesional energy,പശ ഊർജ്ജം
Adhesive blocking,പശ തടയൽ
Adiabat,അടിയാബാറ്റ്
Adiabatic,അഡിയബാറ്റിക്
