Punjabi,Bengali
ਐਕਸ਼ਨ ਨਿਰਧਾਰਨ,ক্রিয়া স্পেসিফিকেশন
ਸਰਗਰਮੀ,অ্যাক্টিভেশন
ਕਿਰਿਆਸ਼ੀਲ,সক্রিয়
ਐਕਟਿਵ ਫਾਈਲ,সক্রিয় ফাইল
ਐਕਟਿਵ ਲਾਈਨ,সক্রিয় লাইন
ਕਿਰਿਆਸ਼ੀਲ ਲਿੰਕ,সক্রিয় লিঙ্ক
ਐਕਟਿਵ ਮਾਸਟਰ ਫਾਈਲ,সক্রিয় মাস্টার ফাইল
ਐਕਟਿਵ ਮਾਸਟਰ ਆਈਟਮ,সক্রিয় মাস্টার আইটেম
ਐਕਟਿਵ ਸੈਟੇਲਾਈਟ,সক্রিয় স্যাটেলাইট
ਐਕਟਿਵ ਸਟੇਸ਼ਨ,সক্রিয় স্টেশন
ਐਕਟਿਵ ਸਟੋਰੇਜ,সক্রিয় স্টোরেজ
ਸਰਗਰਮੀ,ক্রিয়াকলাপ
ਸਰਗਰਮੀ ਪੱਧਰ,কর্মকান্ডের পর্যায়
ਗਤੀਵਿਧੀ ਲੋਡਿੰਗ,ক্রিয়াকলাপ লোড হচ্ছে
ਗਤੀਵਿਧੀ ਅਨੁਪਾਤ,ক্রিয়াকলাপ অনুপাত
ਅਸਲ ਪਤਾ (= ਪੂਰਨ ਪਤਾ),আসল ঠিকানা (= পরম ঠিকানা)
ਅਸਲ ਕੋਡ (= ਸੰਪੂਰਨ ਕੋਡ),আসল কোড (= পরম কোড)
ਅਸਲ ਡੇਟਾ ਟ੍ਰਾਂਸਫਰ ਰੇਟ,প্রকৃত ডেটা স্থানান্তর হার
ਅਸਲ ਦਸ਼ਮਲਵ ਬਿੰਦੂ,আসল দশমিক পয়েন্ট
ਅਸਲ ਹਦਾਇਤਾਂ (= ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਹਦਾਇਤ),প্রকৃত নির্দেশ (= কার্যকর নির্দেশ)
ਅਸਲ ਕੁੰਜੀ,আসল কী
ਅਸਲ ਸਮਾਂ,প্রকৃত সময়
ਅਸਲ ਕੰਮ ਦਾ ਸਮਾਂ,আসল কাজের সময়
ਅਦਾਕਾਰੀ ਸੰਕੇਤ,অ্যাকিউটিং সিগন্যাল
ਅਨੁਕੂਲਤਾ,অভিযোজনযোগ্যতা
ਅਡੈਪਟਰ,অ্যাডাপ্টার
ਅਡੈਪਟਿਵ ਚੈਨਲ ਅਲਾਟਮੈਂਟ,অভিযোজিত চ্যানেল বরাদ্দ
ਅਨੁਕੂਲ ਏਕੀਕਰਣ,অভিযোজিত সংহতকরণ
ਅਨੁਕੂਲਤਾ ਦੇ ਟਰਾਂਸਵਰਸਟਲ ਬਰਾਬਰੀ,অভিযোজিত ট্রান্সভার্সাল ইকুয়ালাইজার
ਇੰਦਰਾਜ਼ ਸ਼ਾਮਲ ਕੀਤਾ,যুক্ত এন্ট্রি
ਐਡੇਂਡ,সংযোজন
ਐਡਰਰ,সংযোজন
ਐਡਰੈਸਬਰਸਟਰੈਕਟਰ,অ্যাডার সাবট্র্যাক্টর
ਫਾਈਲ ਸ਼ਾਮਲ ਕਰੋ,ফাইল যুক্ত কর
ਵਾਧੂ ਅੱਖਰ (= ਵਿਸ਼ੇਸ਼ ਚਰਿੱਤਰ),অতিরিক্ত চরিত্র (= বিশেষ চরিত্র)
ਜੋੜ ਰਿਕਾਰਡਰ,সংযোজন রেকর্ডার
ਜੋੜ ਸਾਰਣੀ,সংযোজন টেবিল
ਜੋੜ,সংযোজন বৈশিষ্ট্য
ਮੋਡ ਸ਼ਾਮਲ ਕਰੋ,মোড যুক্ত করুন
ਓਪਰੇਸ਼ਨ ਸ਼ਾਮਲ ਕਰੋ,অপারেশন যুক্ত করুন
ਪਤਾ,ঠিকানা
ਸੰਬੋਧਿਤਯੋਗਤਾ ਉਪਾਅ,ঠিকানা পরিমাপ
ਪਤਾ ਕਰਨ ਯੋਗ ਹਰੀਜੱਟਲ ਸਥਿਤੀ,ঠিকানাযোগ্য অনুভূমিক অবস্থান
ਪਤਾ ਕਰਨ ਯੋਗ ਬਿੰਦੂ,ঠিকানাযোগ্য পয়েন্ট
ਪਤਾ ਕਰਨ ਯੋਗ ਸਥਿਤੀ,ঠিকানাযোগ্য অবস্থান
ਪਤਾ ਕਰਨ ਯੋਗ ਰਜਿਸਟਰ,ঠিকানাযোগ্য নিবন্ধ
ਪਤਾ ਕਰਨ ਯੋਗ ਸਟੋਰੇਜ,ঠিকানাযোগ্য স্টোরেজ
ਪਤਾ ਕਰਨ ਯੋਗ ਲੰਬਕਾਰੀ ਸਥਿਤੀ,ঠিকানাযোগ্য উল্লম্ব অবস্থান
ਪਤਾ ਬੱਸ,ঠিকানা বাস
ਪਤਾ ਕੋਡ,ঠিকানা কোড
ਪਤਾ ਕੰਪਰੇਟਰ,ঠিকানা তুলনামূলক
ਪਤਾ ਬਕਾਏ,ঠিকানা গণনা
ਪਤਾ ਲਗਾਤਾਰ,ধ্রুবক ঠিকানা
ਪਤਾ ਬਦਲਣਾ,ঠিকানা রূপান্তর
ਪਤਾ ਡਾਟਾ,ঠিকানা ডেটা
ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ,সম্বোধন স্মৃতি
ਪਤਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ,ঠিকানা কার্যকর
ਪਤਾ ਖੇਤਰ,ঠিকানা ক্ষেত্র
ਪਤਾ ਫਾਰਮੈਟ,ঠিকানা ফর্ম্যাট
ਪਤਾ ਮੁਫਤ ਪ੍ਰੋਗਰਾਮ,ঠিকানা বিনামূল্যে প্রোগ্রাম
ਸੰਬੋਧਨ ਕਰਨਾ,সম্বোধন
ਸੰਬੋਧਨ ਕਰਨਾ  ਅੱਖਰ,সম্বোধন  চরিত্র
ਰੁਕਾਵਟ ਨੂੰ ਸੰਬੋਧਿਤ ਕਰਨਾ,বাধা সম্বোধন
ਪਤਾ ਲਗਾਉਣ,লুপ সম্বোধন
ਵਰਚੁਅਲ ਮੈਮੋਰੀ ਨੂੰ ਸੰਬੋਧਨ ਕਰਨਾ,ভার্চুয়াল মেমরি সম্বোধন
ਪਤਾ ਲਗਾਉਣਾ,ঠিকানা ইন্টারল্যাকিং
ਬਰੇਸ਼ਨ ਰਹਿਤ ਨਿਰਦੇਸ਼ ਦਾ ਫਾਰਮੈਟ,ঠিকানাহীন নির্দেশাবলী ফর্ম্যাট
ਐਡਰੈੱਸ ਲਾਈਨ,ঠিকানা লাইন
ਪਤਾ ਮੈਪਿੰਗ,ঠিকানা ম্যাপিং
ਪਤਾ ਮਾਰਕ,ঠিকানা চিহ্ন
ਪਤਾ ਸੋਧ,ঠিকানা পরিবর্তন
ਪਤਾ ਭਾਗ,ঠিকানা অংশ
ਪਤਾ ਪੁਆਇੰਟਰ,ঠিকানা পয়েন্টার
ਪਤਾ ਰਜਿਸਟਰ,ঠিকানা রেজিস্টার
ਪਤਾ ਸਿਗਨਲ,ঠিকানা সংকেত
ਪਤਾ ਅਕਾਰ,ঠিকানা আকার
ਪਤਾ ਸਪੇਸ,ঠিকানা স্থান
ਪਤਾ ਸਪੇਸ ਪਛਾਣਕਰਤਾ,ঠিকানা স্পেস আইডেন্টিফায়ার
ਪਤਾ ਬੰਦ,ঠিকানা স্টপ
ਪਤਾ ਟਰੇਸ,ঠিকানা ট্রেস
ਪਤਾ ਟਰੈਕ,ঠিকানা ট্র্যাক
ਪਤਾ ਅਨੁਵਾਦ,ঠিকানা অনুবাদ
ਪਤਾ ਅਨੁਵਾਦਕ,ঠিকানা অনুবাদক
ਸ਼ਾਮਲ ਕਰੋ-ਘਟਾਓ,বিয়োগের সময় যোগ করুন
ਸਮਾਂ ਸ਼ਾਮਲ ਕਰੋ,সময় যোগ করুন
ਅਡਜੈਂਸੀ,সংলগ্নতা
ਐਡਜੈਂਸੀ structure ਾਂਚਾ,সংলগ্ন কাঠামো
ਨਾਲ ਲੱਗਦੇ ਚੈਨਲ,সংলগ্ন চ্যানেল
ਨਾਲ ਲੱਗਦੇ ਡੋਮੇਨ,সংলগ্ন ডোমেন
ਨਾਲ ਲੱਗਦੀ ਮੈਟ੍ਰਿਕਸ,সংলগ্ন ম্যাট্রিক্স
ਨਾਲ ਲੱਗਦੀ ਨੋਡ,সংলগ্ন নোড
ਆਸ ਪਾਸ ਦੇ ਉਪਰਾਸਾ,সংলগ্ন সুবেরিয়া
ਐਡਰਜਾਈਨ (ਸਿਸਟਮ),স্থগিত (সিস্টেম)
ਵਿਵਸਥਤ ਕਰੋ,সামঞ্জস্য করুন
ਵਿਵਸਥਤ ਹੱਦ ਤੱਕ,সামঞ্জস্যযোগ্য মাত্রা
ਟੈਕਸਟ ਮੋਡ ਨੂੰ ਵਿਵਸਥਤ ਕਰੋ,পাঠ্য মোড সামঞ্জস্য করুন
ਪ੍ਰਬੰਧਕੀ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ,প্রশাসনিক ডেটা প্রসেসিং
ਪ੍ਰਬੰਧਕੀ ਕਾਰਵਾਈ,প্রশাসনিক অপারেশন
ਪ੍ਰਬੰਧਕੀ ਆਪਰੇਟਰ,প্রশাসনিক অপারেটর
ਪ੍ਰਬੰਧਕੀ ਆਪਰੇਟਰ ਸਟੇਸ਼ਨ,প্রশাসনিক অপারেটর স্টেশন
ਪ੍ਰਬੰਧਕੀ ਸਹਾਇਤਾ ਸਿਸਟਮ,প্রশাসনিক সহায়তা সিস্টেম
ਤਕਨੀਕੀ ਸੰਚਾਰ ਸੇਵਾ,উন্নত যোগাযোগ পরিষেবা
ਐਡਵਾਂਸਡ ਜਾਣਕਾਰੀ ਸਿਸਟਮ,উন্নত তথ্য সিস্টেম
ਐਡਵਾਂਸਡ ਆਪਟੀਕਲ ਅੱਖਰ ਪਾਠਕ,উন্নত অপটিক্যাল চরিত্র পাঠক
ਤਕਨੀਕੀ ਵਿਗਿਆਨਕ ਕੰਪਿ computer ਟਰ,উন্নত বৈজ্ঞানিক কম্পিউটার
ਏਰੀਅਲ,এরিয়াল
ਸਮੁੱਚੀ,সমষ্টি
ਸਮੁੱਚੀ ਸਮੀਕਰਨ,সামগ্রিক অভিব্যক্তি
ਉਦੇਸ਼ ਸਰਕਲ,লক্ষ্য বৃত্ত
ਉਦੇਸ਼ ਖੇਤਰ (= ਪ੍ਰਤੀਕ ਦਾ ਨਿਸ਼ਾਨਾ),লক্ষ্য ক্ষেত্র (= লক্ষ্য প্রতীক)
ਪ੍ਰਤੀਕ ਬਣਾਉਣਾ,লক্ষ্য প্রতীক
ਏਅਰਬੋਰਨ ਕੰਪਿ Computer ਟਰ ਸਿਸਟਮ,বায়ুবাহিত কম্পিউটার সিস্টেম
ਅਲਜਬ੍ਰਿਕ ਈਗਨਵੈਲਯੂ ਦੀ ਸਮੱਸਿਆ,বীজগণিত ইগেনভ্যালু সমস্যা
ਅਲਜਬ੍ਰਿਕ  ਏਕੀਕਰਣ,বীজগণিত  মিশ্রণ
ਅਲਜਬ੍ਰਿਕ ਭਾਸ਼ਾ,বীজগণিত ভাষা
ਅਲਜਬਰਾਇਕ ਹੇਰਾਫੇਰੀ,বীজগণিত হেরফের
ਅਲਜਬਰਾਇਕ ਹੇਰਾਫੇਰੀ ਭਾਸ਼ਾ,বীজগণিত ম্যানিপুলেশন ভাষা
ਐਲਜਬਰੇਕ ਅਧਾਰਤ ਭਾਸ਼ਾ,বীজগণিতমুখী ভাষা
ਅਲਜਬੈਰਾਿਕ ਸ਼ਿਫਟ,বীজগণিত শিফট
ਐਲਜਬ੍ਰਿਕ ਸਾਈਨ ਕਨਵੈਨਸ਼ਨ,বীজগণিত সাইন কনভেনশন
ਐਲਗੋਲ,অ্যালগল
ਐਲਗੋਲ ਵਿਸ਼ੇਸ਼ਤਾ,অ্যালগল বৈশিষ্ট্য
ਐਲਗੋਲ ਪ੍ਰੋਗਰਾਮਿੰਗ,অ্যালগল প্রোগ্রামিং
ਐਲਗੋਰਿਦਮ,অ্যালগরিদম
ਐਲਗੋਰਿਦਮ ਐਸੋਸੀਏਟਿਵ ਭਾਸ਼ਾ,অ্যালগরিদম সহযোগী ভাষা
ਐਲਗੋਰਿਦਮ ਵਰਗੀਕਰਣ,অ্যালগরিদম শ্রেণিবিন্যাস
ਐਲਗੋਰਿਦਮ ਦੀ ਗੁੰਝਲਤਾ,অ্যালগরিদম জটিলতা
ਐਲਗੋਰਿਦਮ ਕੰਪੂਟਿਟੀ,অ্যালগরিদম গণনাযোগ্যতা
ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ,অ্যালগরিদমিক বিশ্লেষণ
ਐਲਗੋਰਿਦਮਿਕ ਪਹੁੰਚ,অ্যালগরিদমিক পদ্ধতির
ਐਲਗੋਰਿਦਮਿਕ ਭਾਸ਼ਾ,অ্যালগরিদমিক ভাষা
ਐਲਗੋਰਿਦਮਿਕ ਰੁਟੀਨ,অ্যালগরিদমিক রুটিন
ਐਲਗੋਰਿਧੀਮਿਕ ਸਿਧਾਂਤ,অ্যালগরিদমিক তত্ত্ব
ਉਪਨਾਮ,ওরফে
ਅਲਾਇਸਿੰਗ,এলিয়াসিং
ਅਲਾਇਸ ਨਾਮ (= ਵਿਕਲਪਿਕ ਨਾਮ),ওরফে নাম (= বিকল্প নাম)
ਅਲਾਈਨਮੈਂਟ,প্রান্তিককরণ
ਨਿਰਧਾਰਤ ਕਰੋ,বরাদ্দ
ਅਲਾਕਸੇਸ਼ਨ structure ਾਂਚਾ,বরাদ্দ কাঠামো
ਸਾਰੇ-ਉਦੇਸ਼ ਕੰਪਿ computer ਟਰ,সমস্ত উদ্দেশ্যমূলক কম্পিউটার
ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ,বর্ণমালা চরিত্র
ਵਰਣਮਾਲਾ ਅੱਖਰ ਸੈਟ,বর্ণমালা চরিত্র সেট
ਵਰਣਮਾਲਾ ਅੱਖਰ ਸਬਸੈੱਟ,বর্ণমালা চরিত্রের সাবসেট
ਵਰਣਮਾਲਾ ਕੋਡ,বর্ণমালা কোড
ਵਰਣਮਾਲਾ ਸ਼ਿਫਟ,বর্ণমালা শিফট
ਵਰਣਮਾਲਾ ਸਤਰ,বর্ণমালা স্ট্রিং
ਵਰਣਮਾਲਾ ਸ਼ਬਦ,বর্ণমালা শব্দ
ਵਰਣਮਾਲਾ,বর্ণমালা
ਕਫਾਈਜੋਮੈਟ੍ਰਿਕਸ,আলফেজোমেট্রিক্স
ਅਲਫ਼ਾਮਿਕ,বর্ণমালা
ਅਲਫੋਮੋਸੈਕ,আলফামোসাইক
ਅਲਫਾਨੁਮਿਕ,বর্ণমালা
ਅਲਫਾਨੂਮੇਰਿਕਲ ਕੀਬੋਰਡ ਡਿਵਾਈਸ,আলফানুমারিকাল কীবোর্ড ডিভাইস
ਅਲਫਾਨੁਮਿਕ ਅੱਖਰ ਸਮੂਹ,আলফানিউমেরিক চরিত্র সেট
ਅੱਖਰ ਕੋਡ,আলফানিউমেরিক কোড
ਅੱਖਰ ਕੋਡਿਡ ਅੱਖਰ ਸਮੂਹ,আলফানিউমেরিক কোডেড চরিত্র সেট
ਅਲਫਾਨੁਮਿਕ ਡੇਟਾ,আলফানিউমেরিক ডেটা
ਅਲਫਾਨਮੋਰਿਕ ਡਿਸਪਲੇਅ ਡਿਵਾਈਸ,আলফানিউমেরিক ডিসপ্লে ডিভাইস
ਅੱਖਰ ਸੰਪਾਦਕੀ ਅੱਖਰ,আলফানিউমেরিক সম্পাদিত চরিত্র
ਅਲਫਾਨੁਮਿਕ ਖੇਤਰ,আলফানিউমেরিক ফিল্ড
ਅਲਫਨੀਮਿਕ ਹਦਾਇਤ,বর্ণমালা নির্দেশ
ਅਲਫਾਨੁਮਿਕ ਕੀਬੋਰਡ,আলফানিউমেরিক কীবোর্ড
ਅੱਖਰ ਛਾਂਟੀ,আলফানিউমেরিক বাছাই
ਅਲਫਾਨਮੂਮਿਕ ਸਟੋਰੇਜ,আলফানিউমেরিক স্টোরেজ
ਅਸ਼ੁੱਧ ਮੈਮੋਰੀ,পরিবর্তনযোগ্য মেমরি
ਤਬਦੀਲੀ ਸਵਿੱਚ,পরিবর্তন সুইচ
ਬਦਲਣਾ,পরিবর্তন
ਬਦਲੋ,পরিবর্তন মোড
ਵਿਕਲਪਿਕ ਰਿਕਵਰੀ,বিকল্প পুনরুদ্ধার
ਵਿਕਲਪੀ ਰਸਤੇ,বিকল্প রুট
ਵਿਕਲਪਿਕ ਰੂਟਿੰਗ,বিকল্প রাউটিং
ਵਿਕਲਪਿਕ ਟਰੈਕ,বিকল্প ট্র্যাক
ਬਦਲ (= ਜਾਂ ਆਪ੍ਰੇਸ਼ਨ),বিকল্প (= বা অপারেশন)
ਵਿਕਲਪਕ ਗੁਣ,বিকল্প বৈশিষ্ট্য
ਵਿਕਲਪਿਕ ਇਨਕਾਰ (= ਨਾ-ਅਤੇ ਓਪਰੇਸ਼ਨ),বিকল্প অস্বীকার (= না-অপারেশন)
ਅਸਪਸ਼ਟਤਾ ਗਲਤੀ,অস্পষ্টতা ত্রুটি
ਅਸਪਸ਼ਟ ਹਵਾਲਾ,অস্পষ্ট রেফারেন্স
ਐਨਾਲਾਗ,অ্যানালগ
ਐਨਾਲਾਗ ਐਡਰਰ,অ্যানালগ অ্যাডার
ਐਨਾਲਾਗ ਚੈਨਲ,অ্যানালগ চ্যানেল
ਐਨਾਲਾਗ ਕੰਪਿ .ਟਰ,অ্যানালগ কম্পিউটার
ਐਨਾਲਾਗ ਕਨਵਰਟਰ,অ্যানালগ রূপান্তরকারী
ਐਨਾਲਾਗ ਡੇਟਾ,অ্যানালগ ডেটা
ਐਨਾਲਾਗ ਡਿਵਾਈਡਰ,অ্যানালগ বিভাজক
ਐਨਾਲਾਗ ਸਹੂਲਤ ਟਰਮੀਨਲ,অ্যানালগ সুবিধা টার্মিনাল
ਐਨਾਲਾਗ ਫੰਕਸ਼ਨ  ਜੇਨਰੇਟਰ,অ্যানালগ ফাংশন  জেনারেটর
ਐਨਾਲਾਗ ਏਕੀਕਰਣ,অ্যানালগ ইন্টিগ্রেশন
ਐਨਾਲਾਗ ਮਲਟੀਪਲਾਇਰ,অ্যানালগ গুণক
ਐਨਾਲਾਗ ਪ੍ਰੋਗਰਾਮਿੰਗ,অ্যানালগ প্রোগ্রামিং
ਐਨਾਲਾਗ ਸਕੇਲਿੰਗ,অ্যানালগ স্কেলিং
ਐਨਾਲਾਗ ਸਿਗਨਲ,এনালগ সংকেত
ਐਨਾਲਾਗ ਸਿਮੂਲੇਸ਼ਨ,অ্যানালগ সিমুলেশন
ਐਨਾਲਾਗ ਸਵਿਚ,অ্যানালগ সুইচ
ਐਨਾਲਾਗ ਸਿਸਟਮ,অ্যানালগ সিস্টেম
ਐਨਾਲਾਗ ਡਿਜੀਟਲ  ਕਨਵਰਟਰ,ডিজিটাল অ্যানালগ  রূপান্তরকারী
ਐਨਾਲਾਗ ਡਿਜੀਟਲ  ਏਨਕੋਡਰ,ডিজিটাল অ্যানালগ  এনকোডার
ਐਨਾਲਾਗ ਪ੍ਰਸਾਰਣ,অ্যানালগ সংক্রমণ
ਐਨਾਲਾਗ ਕਿਸਮ,অ্যানালগ প্রকার
ਵਿਸ਼ਲੇਸ਼ਣ ਬਲਾਕ,বিশ্লেষণ ব্লক
ਵਿਸ਼ਲੇਸ਼ਣ ਮੋਡ,বিশ্লেষণ মোড
ਵਿਸ਼ਲੇਸ਼ਣ ਇੰਜਣ,বিশ্লেষণাত্মক ইঞ্জিন
ਪੂਰਵਜ ਦਾ ਕੰਮ,পৈতৃক কাজ
ਸਹਾਇਕ ਉਪਕਰਣ,আনুষঙ্গিক সরঞ্জাম
ਅਤੇ,এবং
ਅਤੇ ਸਰਕਟ,এবং সার্কিট
ਅਤੇ ਤੱਤ,এবং উপাদান
ਅਤੇ ਗੇਟ,এবং গেট
ਅਤੇ ਮਾਸਕਿੰਗ,এবং মাস্কিং
ਅਤੇ ਓਪਰੇਸ਼ਨ ਨਹੀਂ (= ਬਾਹਰ ਕੱ .ਣਾ),এবং অপারেশন নয় (= বর্জন
ਅਤੇ ਓਪਰੇਸ਼ਨ,এবং অপারেশন
ਅਨੇਕਸ ਮੈਮੋਰੀ,সংযুক্তি স্মৃতি
ਐਨੋਟੇਸ਼ਨ,টীকা
ਐਨੀਨੀਸੀਆਟਰ,ঘোষণা
ਵਾਪਸ ਜਵਾਬ,উত্তর পাঠাও
ਉੱਤਰ ਦੇਰੀ,উত্তর দেরি
ਜਵਾਬ ਦੇਣ ਦਾ ਸਮਾਂ,উত্তর সময়
ਦੀਵੇ ਦਾ ਜਵਾਬ,উত্তর প্রদীপ
ਜਵਾਬ ਸੂਚੀ,উত্তর তালিকা
ਜਵਾਬ ਸਿਰਫ,শুধুমাত্র উত্তর
ਐਂਟੀਪੇਸ਼ਨ ਮੋਡ,প্রত্যাশা মোড
ਅਨੁਮਾਨਤ ਬਫਰਿੰਗ,প্রত্যাশিত বাফারিং
ਅਨੁਮਾਨਤ ਕੈਰੀ,প্রত্যাশিত বহন
ਅਨੁਮਾਨਤ ਪੈਜਿੰਗ,প্রত্যাশিত পেজিং
ਐਂਟੀਕਾਇਸਿਸ ਓਪਰੇਂਸ,অ্যান্টিকোয়েনসেন্স অপারেশন
ਐਂਟੀਕੋਇੰ.ਰਤਸ ਇੰਦਰਾ ਤੱਤ,অ্যান্টিকোইনসেন্টেন্ট উপাদান
ਅਫੀਮਿਕ ਐਂਟੀਨਾ,অ্যাপেরিওডিক অ্যান্টেনা
ਅਪਰਚਰ ਕਾਰਡ,অ্যাপারচার কার্ড
ਅਪਰਚਰ ਕੋਡ,অ্যাপারচার কোড
ਅਪਰਚਰ ਟਾਈਮ,অ্যাপারচার সময়
ਅੰਤਿਕਾ,সংযোজন
ਅਪੰਡਿਤ ਕੰਮ,অ্যাপেন্ডেজ টাস্ক
