Punjabi,Telugu
ਦੋਸ਼ੀ,ఆరోపణలు
ਪ੍ਰਾਪਤੀ,సాధన
ਪ੍ਰਵਾਨਗੀ,గుర్తింపు
ਬਣ ਰਹੇ,రసీదు గడువు
ਜਾਣ-ਪਛਾਣ,పరిచయము
ਗ੍ਰਹਿਣ,సముపార్జన
ਬਰੀ,సముపార్జన
ਐਕਟ,చట్టం
ਅਦਾਕਾਰੀ ਭੱਤਾ,నటన భత్యం
ਕਾਰਵਾਈ,చర్య
ਕਾਰਵਾਈ ਜੁਗਤ,కార్య ప్రణాళిక
ਕਿਰਿਆਸ਼ੀਲ,క్రియాశీల
ਸਰਗਰਮੀ ਨਾਲ,చురుకుగా
ਕਾਰਜਕਰਤਾ,కార్యకర్త
ਰੱਬ ਦਾ ਕੰਮ,దైవఘటన
ਦੁਰਵਿਵਹਾਰ ਦਾ ਕੰਮ,దుష్ప్రవర్తన చర్య
ਕਮਿਸ਼ਨ ਅਤੇ ਗਲਤੀ ਦਾ ਕੰਮ,కమీషన్ మరియు కమీషన్
ਅਸਲ,అసలు
ਅਸਲ,వాస్తవాలు
ਅਨੁਕੂਲਤਾ,అనుసరణ
ਜੋੜ,అదనంగా
ਅਤਿਰਿਕਤ ਚਾਰਜ,అదనపు ఛార్జ్
ਵਾਧੂ ਫੰਡ,అదనపు ఫండ్
ਅਤਿਰਿਕਤ ਗ੍ਰਾਂਟ,అదనపు గ్రాంట్
ਵਧੀਕ ਜਾਣਕਾਰੀ,అదనపు సమాచారం
ਵਾਧੂ ਤਨਖਾਹ,అదనపు వేతనం
ਜੋੜ ਅਤੇ ਤਬਦੀਲੀ,అదనంగా మరియు మార్పు
ਪਤਾ,చిరునామా
ਐਡਰੈਸਸ,చిరునామా
ਸਵਾਗਤ ਦਾ ਪਤਾ,స్వాగత చిరునామా
ਕਾਫ਼ੀ,తగినంత
ਦਾ ਪਾਲਣ ਕਰੋ,కట్టుబడి
ਐਡ ਹੋਕ,తాత్కాలిక హాక్
ਐਡਹਕ ਕਲੇਮ,తాత్కాలిక దావా
ਐਡਹੌਕ ਕਮੇਟੀ,తాత్కాలిక కమిటీ
ਐਡਹੌਕ ਵਾਧਾ,తాత్కాలిక పెరుగుదల
ਐਡਹੌਕ ਭੁਗਤਾਨ,తాత్కాలిక చెల్లింపు
ਨਾਲ ਲੱਗਦੀ,ప్రక్కనే
ਨਾਲ ਲੱਗਦੀ (= ਸੰਜੋਗ),ప్రక్కనే (= పరస్పర)
ਮੁਲਤਵੀ,వాయిదా
ਮੁਲਤਵੀ ਮੋਸ਼ਨ,వాయిదా చలన
ਇਜਾਜ਼ਤ,అనుబంధం
ਨਿਰਣਾਇਕ,తీర్పు
ਨਿਰਣਾ,తీర్పు
ਨਿਰਣਾਇਕ,న్యాయాధికారి
ਵਿਵਸਥਾ,సర్దుబాటు
ਪ੍ਰਬੰਧਿਤ,నిర్వహించండి
ਸਹੁੰ ਪ੍ਰਬੰਧ,ప్రమాణం చేయండి
ਪ੍ਰਸ਼ਾਸਨ,పరిపాలన
ਜਸਟਿਸ ਦਾ ਪ੍ਰਬੰਧਨ,న్యాయం యొక్క పరిపాలన
ਪ੍ਰਬੰਧਕੀ,పరిపాలనా
ਪ੍ਰਬੰਧਕੀ ਕਾਰਵਾਈ,పరిపాలనా చర్య
ਪ੍ਰਬੰਧਕੀ ਮੁੱਲ,అడ్మినిస్ట్రేటివ్ అప్రైసల్
ਪ੍ਰਬੰਧਕੀ ਪ੍ਰਵਾਨਗੀ,పరిపాలనా ఆమోదం
ਪ੍ਰਬੰਧਕੀ ਅਥਾਰਟੀ,పరిపాలనా అధికారం
ਪ੍ਰਬੰਧਕੀ ਨਿਯੰਤਰਣ,పరిపాలనా నియంత్రణ
ਪ੍ਰਬੰਧਕੀ ਫੈਸਲਾ,పరిపాలనా నిర్ణయం
ਪ੍ਰਬੰਧਕੀ ਵਿਭਾਗ,పరిపాలనా విభాగం
ਪ੍ਰਬੰਧਕੀ ਸਿਰ,అడ్మినిస్ట్రేటివ్ హెడ్
ਪ੍ਰਬੰਧਕੀ ਹੈੱਡਕੁਆਰਟਰ,పరిపాలనా ప్రధాన కార్యాలయం
ਪ੍ਰਬੰਧਕੀ ਉਪਾਅ,పరిపాలనా చర్యలు
ਪ੍ਰਬੰਧਕੀ ਪਾਵਰ,పరిపాలనా శక్తి
ਪ੍ਰਬੰਧਕੀ ਮਨਜੂਰੀ,పరిపాలనా అనుమతి
ਪ੍ਰਬੰਧਕੀ ਤਕਨੀਕ,పరిపాలనా సాంకేతికత
ਪ੍ਰਬੰਧਕੀ ਟ੍ਰਿਬਿ al ਨਲ,అడ్మినిస్ట్రేటివ్ ట్రిబ్యునల్
ਮੰਨਣਯੋਗਤਾ,ప్రవేశం
ਮੰਨਣਯੋਗ ਖਰਚ,ఆమోదయోగ్యమైన వ్యయం
ਮੰਨ ਲਓ,అంగీకరించండి
ਐਡਮਿਟ ਕਾਰਡ,అడ్మిట్ కార్డ్
ਦਾਖਲ,అంగీకరించారు
ਅਸ਼ੁੱਧ,సలహా
ਗੋਦ,దత్తత తీసుకున్న వ్యక్తి
ਗੋਣਾਟਰ,దత్తత
ਗੋਦ ਲੈਣਾ,దత్తత
ਬਾਲਗ,వయోజన
ਵਿਭਚਾਰ,కల్తీ
ਵਿਭਚਾਰ,వ్యభిచారం
ਬਾਲਗ ਫਰੈਂਚਾਇਜ਼ੀ,వయోజన ఫ్రాంచైజ్
ਐਡ ਵੈਲੋਰਮ ਡਿ duty ਟੀ,ప్రకటన విలువ
ਪੇਸ਼ਗੀ,అడ్వాన్స్
ਐਡਵਾਂਸ ਬੁਕਿੰਗ,అడ్వాన్స్ బుకింగ్
ਐਡਵਾਂਸ ਕਾਪੀ,ముందస్తు కాపీ
ਪੇਸ਼ਗੀ ਵਾਧਾ,ముందస్తు పెరుగుదల
ਪੇਸ਼ਗੀ ਭੁਗਤਾਨ ਦੀ,ముందస్తు చెల్లింపు
ਗਲਤ ਪ੍ਰਵੇਸ਼,ప్రతికూల ప్రవేశం
ਗਲਤ ਟਿੱਪਣੀ,ప్రతికూల వ్యాఖ్యలు
ਗਲਤ ਰਿਪੋਰਟ,ప్రతికూల నివేదిక
ਇਸ਼ਤਿਹਾਰ,ప్రకటన
ਸਲਾਹ,సలహా
ਭੁਗਤਾਨ ਦੀ ਸਲਾਹ,చెల్లింపు సలహా
ਸਲਾਹਕਾਰ ਕਮੇਟੀ,సలహా సమితి
ਸਲਾਹਕਾਰ ਪਰਿਸ਼ਦ,సలహా మండలి
ਐਡਵੋਕੇਟ,న్యాయవాది
ਮਾਮਲੇ,వ్యవహారాలు
ਹਲਫੀਆ ਬਿਆਨ,అఫిడవిట్
ਮਾਨਤਾ,అనుబంధం
ਪੁਸ਼ਟੀਕਰਣ,ధృవీకరణ
ਸਕਾਰਾਤਮਕ,ధృవీకరించేది
ਬਰਦਾਸ਼ਤ,స్థోమత
ਉਪਰੋਕਤ,పైన పేర్కొన్నది
ਅਫਰੇਸ਼,అఫ్రెష్
ਦੇ ਵਿਰੁੱਧ,వ్యతిరేకంగా
ਉਮਰ,వయస్సు
ਉਮਰ ਦਾ ਸਰਟੀਫਿਕੇਟ,వయస్సు ధృవీకరణ పత్రం
ਦੁਖੀ ਲਈ ਉਮਰ,ఓటు హక్కు కోసం వయస్సు
ਉਮਰ ਸੀਮਾ,వయో పరిమితి
ਏਜੰਸੀ,ఏజెన్సీ
ਏਜੰਡਾ,ఎజెండా
ਰਿਟਾਇਰਮੈਂਟ ਦੀ ਉਮਰ,పదవీ విరమణ వయస్సు
ਪੂਰਕ ਦੀ ਉਮਰ,పర్యవేక్షణ వయస్సు
ਇਕੱਤਰਤਾ,సమూహనం
ਦੁਖਦਾਈ,బాధపడ్డాడు
ਅੰਦੋਲਨ,ఆందోళన
ਏਜੀਐਮ,AGM
ਸਮਝੌਤਾ,ఒప్పందం
ਸਮਝੌਤਾ ਫਾਰਮ,ఒప్పంద ఫారం
ਖੇਤੀ ਬਾੜੀ,వ్యవసాయం
ਖੇਤੀ-ਉਦਯੋਗ,అగ్రో-ఇండస్ట్రీ
ਸਹਾਇਤਾ,సహాయం
ਅਲਾਰਮ,అలారం
ਚੇਤਾਵਨੀ,అప్రమత్తత
ਉਪਨਾਮ,అలియాస్
ਇਲਜ਼ਾਮ,ఆరోపణ
ਵਫ਼ਾਦਾਰੀ,విధేయత
ਗਠਜੋੜ,కూటమి
ਸਹਿਯੋਗੀ ਸੇਵਾਵਾਂ,అనుబంధ సేవలు
ਸਾਰੇ ਸੰਮਲਿਤ ਲਾਗਤ,అన్ని కలుపుకొని ఖర్చు
ਸਾਰੇ ਭਾਰਤ ਸੇਵਾਵਾਂ,ఆల్ ఇండియా సర్వీసెస్
ਅਲਾਟਮੈਂਟ,కేటాయింపు
ਅਲਾਟਮੈਂਟ,కేటాయింపు
ਅਲਾਟਮੈਂਟ ਪੱਤਰ,కేటాయింపు లేఖ
ਅਲਾਟੀਟੀ,కేటాయింపు
ਮਨਜ਼ੂਰ,అనుమతించదగినది
ਮਨਜ਼ੂਰ ਖਰਚੇ,అనుమతించదగిన ఖర్చులు
ਇੱਕ ਅਪੀਲ ਦੀ ਆਗਿਆ ਦਿਓ,అప్పీల్‌ను అనుమతించండి
ਭੱਤਾ,భత్యం
ਸਾਰੇ ਹੱਕ ਰਾਖਵੇਂ ਹਨ,అన్ని హక్కులూ ప్రత్యేకించుకోవడమైనది
ਵਰਣਮਾਲਾ ਕ੍ਰਮ,అక్షర క్రమం
ਗਰੈਟਰਕੇਸ਼ਨ,వాగ్వాదం
ਵਿਕਲਪਿਕ,ప్రత్యామ్నాయ
ਵਿਕਲਪਿਕ,ప్రత్యామ్నాయం
ਏਕੀਕਰਨ,సమ్మేళనం
ਸੋਧਿਆ ਖਰੜਾ,సవరించిన చిత్తుప్రతి
ਸੋਧ,సవరణ
ਸਹੂਲਤ,సౌకర్యం
ਅਮਲ,స్నేహపూర్వక
ਬਾਰੂਦ,మందుగుండు సామగ్రి
ਕਰਜ਼ੇ ਦਾ ਅਮੋਰਾਈਜ਼ੇਸ਼ਨ,రుణ రుణమాఫీ
ਦੀ ਰਕਮ,మొత్తం
ਪੈਨਸ਼ਨ ਦੀ ਮਾਤਰਾ,పెన్షన్ మొత్తం
ਸਮਾਨ ਪੋਸਟ,సారూప్య పోస్ట్
ਵਿਸ਼ਲੇਸ਼ਣ,విశ్లేషణ
ਵਿਸ਼ਲੇਸ਼ਣ ਅਧਿਐਨ,విశ్లేషణాత్మక అధ్యయనం
ਪੂਰਵਜ,పూర్వీకుడు
ਸਹਾਇਕ ਉਦਯੋਗ,సహాయక పరిశ్రమ
ਵੈਰ,శత్రుత్వం
ਅਨੁਲੱਗ,అనుబంధం
ਵਰ੍ਹੇਗੰ,వార్షికోత్సవం
ਘੋਸ਼ਣਾ,ప్రకటన
ਨਾਰਾਜ਼ਗੀ,కోపం
ਸਾਲਾਨਾ ਵਿੱਤੀ ਬਿਆਨ,వార్షిక ఆర్థిక ప్రకటన
ਸਾਲਾਨਾ ਰਿਪੋਰਟ,వార్షిక నివేదిక
ਐਨੂਅਟੀ,యాన్యుటీ
ਅਗਿਆਤ,అనామక
ਅਗਿਆਤ ਸ਼ਿਕਾਇਤ,అనామక ఫిర్యాదు
ਜਵਾਬ,జవాబుదారీతనం
ਜਵਾਬ ਸ਼ੀਟ,జవాబు పత్రం
ਵਿਰੋਧੀ,విరోధి
ਅਨੌਖੇ,పూర్వజన్మలు
ਅਨੁਮਾਨਤ ਖਰਚੇ,Bean హించిన ఖర్చు
ਅਨੁਮਾਨਤ ਆਮਦਨੀ,Ntic హించిన ఆదాయం
ਉਮੀਦ,Ntic హించడం
ਅਗਾ .ਂ ਜ਼ਮਾਨਤ,ముందస్తు బెయిల్
ਭ੍ਰਿਸ਼ਟਾਚਾਰ ਵਿਰੋਧੀ ਉਪਾਅ,అవినీతి నిరోధక కొలత
ਐਂਟੀ-ਡੰਪਿੰਗ,యాంటీ డంపింగ్
ਪੁਰਾਣੀ,పురాతన
ਨਸਲਵਾਦ,వర్ణవివక్ష
ਉਦਾਸੀ,ఉదాసీనత
ਸੁਪਰੀਮ ਬਾਡੀ,అపెక్స్ బాడీ
ਮੁਆਫੀ,క్షమాపణ
ਅਪੀਲ,అప్పీల్
ਦਿੱਖ,స్వరూపం
ਭੁੱਖ,సంతృప్తి
ਅਪੀਲ ਟ੍ਰਿਬਿ al ਨਲ,అప్పీలేట్ ట్రిబ్యునల్
ਅੰਤਿਕਾ,అపెండిక్స్
ਉਪਕਰਣ,ఉపకరణం
ਲਾਗੂ,వర్తిస్తుంది
ਬਿਨੈਕਾਰ,దరఖాస్తుదారు
ਐਪਲੀਕੇਸ਼ਨ,అప్లికేషన్
ਅਰਜ਼ੀ ਫਾਰਮ,దరఖాస్తు ఫారం
ਲਾਗੂ ਕੀਤਾ,అనువర్తిత
ਲਾਗੂ ਕਰੋ,వర్తించండి
ਨਿਯੁਕਤ,నియామకం
ਨਿਯੁਕਤ ਕਰਨ ਦਾ ਅਧਿਕਾਰ,నియమించే అధికారాన్ని
ਨਿਯੁਕਤੀ,నియామకం
ਮੁਲਾਕਾਤ ਪੱਤਰ,నియామక పత్రం
ਮੰਤਰੀ ਮੰਡਲ ਦੀ ਨਿਯੁਕਤੀਆਂ ਕਮੇਟੀ,నియామకాల కమిటీ క్యాబినెట్
ਤਨਖਾਹ ਦੀ ਵੰਡ,వేతనాల విభజన
ਮੁਲਾਂਕਣ,అంచనా
ਮੁਲਾਂਕਣ,మదింపుదారు
ਕਦਰ,ప్రశంసతో
ਖਦਸ਼ਾ,దిగులు
ਅਪ੍ਰੈਂਟਿਸ,అప్రెంటిస్
ਪਹੁੰਚ,విధానం
ਉਚਿਤ,తగినది
ਉਚਿਤ ਕਾਰਵਾਈ,తగిన చర్య
ਉਚਿਤ ਸਿਰ,తగిన తల
ਨਿਰਧਾਰਤ,కేటాయింపు
ਮਨਜ਼ੂਰੀ,ఆమోదం
ਲਗਭਗ,సుమారు
ਯੋਗਤਾ ਟੈਸਟ,ఆప్టిట్యూడ్ పరీక్ష
ਮਨਮਾਨੀ,ఏకపక్ష
ਆਰਬਿਟਰੇਟ,మధ్యవర్తిత్వం
ਆਰਬਿਟਰੇਸ਼ਨ,మధ్యవర్తిత్వ
ਆਰਬਿਟਰੇਸ਼ਨ ਟ੍ਰਿਬਿ al ਨਲ,మధ్యవర్తిత్వ ట్రిబ్యునల్
ਆਰਬਿਟਰੇਟਰ,మధ్యవర్తి
ਆਰਕੀਟੈਕਚਰ,వాస్తుశిల్పం
ਪੁਰਾਲੇਖ,ఆర్కైవ్స్
ਖੇਤਰ,ప్రాంతం
ਖੇਤਰ ਹੈੱਡਕੁਆਰਟਰ,ఏరియా ప్రధాన కార్యాలయం
ਦਲੀਲ,వాదన
ਪੈਦਾ,తలెత్తండి
ਸੁਰਖਿਆ ਬਲ,సాయుధ దళాలు
ਪ੍ਰਬੰਧ,అమరిక
ਬਰੀਅਰ,బకాయి
ਅਰੇਅਰ ਬਿਆਨ,రాక ప్రకటన
ਆਗਮਨ ਰਿਪੋਰਟ,రాక నివేదిక
ਹੰਕਾਰ,అహంకారం
ਅਰਸੇਨਲ,ఆర్సెనల్
ਲੇਖ,వ్యాసం
ਐਸੋਸੀਏਸ਼ਨ ਦੇ ਲੇਖ,అసోసియేషన్ వ్యాసాలు
ਲੇਖ,వ్యాసాలు
ਚੜ੍ਹਦੇ ਕ੍ਰਮ,ఆరోహణ క్రమం
ਪਤਾ ਲਗਾਓ,నిర్ధారించడం
ਜਿਵੇਂ ਕਿ ਕਿੱਥੇ ਹੈ,ఎక్కడ ఉందో
ਪਹਿਲੂ,కారక
ਦਾਖਲਾ,ఆస్పర్షన్
ਕਤਲ,హత్య
ਹਮਲਾ,దాడి
ਇਕੱਠਾ ਕਰਨ ਯੋਗ,సమీకరించటం
ਅਸੈਂਬਲੀ,అసెంబ్లీ
ਸਹਿਮਤੀ,అస్సెంట్
ਦਾਅਵਾ ਕਰੋ,నొక్కి చెప్పండి
ਮੁਲਾਂਕਣ,మదింపుదారుడు
ਮੁਲਾਂਕਣ,అంచనా
ਮੁਲਾਂਕਣ ਸਾਲ,అసెస్‌మెంట్ ఇయర్
ਮੁਲਾਂਕਣ ਕਰਨ ਵਾਲਾ,మదింపుదారు
ਸੰਪਤੀ,ఆస్తులు
Assigneee,కేటాయించిన
ਅਸਾਈਨਮੈਂਟ,అసైన్‌మెంట్
ਅਸਾਈਨਟਰ,అసైనర్
ਸਹਾਇਤਾ,సహాయం
ਸਹਿਯੋਗੀ,అసోసియేట్
ਐਸੋਸੀਏਸ਼ਨ,అసోసియేషన్
ਚਾਰਜ ਦੀ ਧਾਰਨਾ,ఛార్జ్ యొక్క umption హ
ਭਰੋਸਾ,హామీ
ਅਸ਼ੋਰੈਂਸ ਕੰਪਨੀ,అస్యూరెన్స్ కంపెనీ
ਭਰੋਸਾ,భరోసా
ਛੂਟ 'ਤੇ,డిస్కౌంట్ వద్ద
ਪਰਮਾਣੂ ਸ਼ਕਤੀ,అణు శక్తి
ਬਰਾਬਰ ਵਿਚ,పార్ వద్ద
ਪ੍ਰੀਮੀਅਮ 'ਤੇ,ప్రీమియం వద్ద
ਅਟੈਚ ਕਰੋ,అటాచ్
ਨੱਥੀ ਦਫ਼ਤਰ,జతచేయబడిన కార్యాలయం
ਲਗਾਵ,అటాచ్మెంట్
ਅਟੈਚਮੈਂਟ ਆਰਡਰ,అటాచ్మెంట్ ఆర్డర్
ਪ੍ਰਾਪਤੀ,సాధించడం
ਕੋਸ਼ਿਸ਼,ప్రయత్నం
ਹਾਜ਼ਰੀ,హాజరు
ਹਾਜ਼ਰੀ ਰਜਿਸਟਰ,హాజరు రిజిస్టర్
ਹਾਜ਼ਰੀ ਤਿਲਕ,హాజరు స్లిప్
ਧਿਆਨ,శ్రద్ధ
ਤਸਦੀਕ,ధృవీకరణ
ਪ੍ਰਮਾਣਿਤ ਕਾੱਪੀ,ధృవీకరించబడిన కాపీ
ਰਵੱਈਆ,వైఖరి
ਆਕਰਸ਼ਕ ਤਨਖਾਹ,ఆకర్షణీయమైన జీతం
ਨਿਲਾਮੀ,వేలం
ਨਿਲਾਮੀ,వేలంపాట
ਨਿਲਾਮੀ ਵਿਕਰੀ,వేలం అమ్మకం
ਹਾਜ਼ਰੀਨ,ప్రేక్షకులు
ਆਡੀਓ-ਵਿਜ਼ੂਅਲ ਡਿਸਪਲੇਅ,ఆడియో-విజువల్ డిస్ప్లే
ਆਡੀਓ-ਵਿਜ਼ੂਅਲ ਪ੍ਰਚਾਰ,ఆడియో-విజువల్ పబ్లిసిటీ
ਆਡਿਟ,ఆడిట్
ਆਡਿਟ ਕੀਤੇ ਖਾਤੇ,ఆడిట్ చేసిన ఖాతాలు
ਆਡਿਟ ਬੈਲੇਂਸ ਸ਼ੀਟ,ఆడిట్ చేసిన బ్యాలెన్స్ షీట్
ਆਡਿਟਿੰਗ,ఆడిటింగ్
ਆਡਿਟ ਇਤਰਾਜ਼,ఆడిట్ అభ్యంతరం
ਆਡੀਟਰ ਦੀ ਰਿਪੋਰਟ,ఆడిటర్ నివేదిక
ਆਡੀਟੋਰੀਅਮ,ఆడిటోరియం
ਆਡਿਟ ਪੈਰਾ,ఆడిట్ పేరా
ਆਡਿਟ ਰਿਪੋਰਟ,ఆర్థిక లెక్కల నివేదిక
ਤਪੱਸਿਆ,కాఠిన్యం
ਤਪੱਸਿਆ ਉਪਾਅ,పొదుపు చర్యలు
ਪ੍ਰਮਾਣਿਕ,ప్రామాణికమైన
ਅਧਿਕਾਰਤ ਪ੍ਰਤੀਨਿਧੀ,అధీకృత ప్రతినిధి
ਅਧਿਕਾਰਤ,అధికారిక
ਅਧਿਕਾਰ,అధికారం
ਅਥਾਰਟੀ ਅੱਖਰ,అధికారం లేఖ
ਅਧਿਕਾਰਤ,అధికారం
ਅਧਿਕਾਰਤ ਪੂੰਜੀ,అధీకృత మూలధనం
ਆਟੋਮੈਟਿਕ,ఆటోమేటిక్
ਖੁਦਮੁਖਤਿਆਰੀ,స్వయంప్రతిపత్తి
ਖੁਦਮੁਖਤਿਆਰੀ ਸਰੀਰ,అటానమస్ బాడీ
ਖੁਦਮੁਖਤਿਆਰੀ,స్వయంప్రతిపత్తి
ਸਹਾਇਕ,సహాయక
ਉਪਲੱਬਧ,అందుబాటులో ఉంది
Average ਸਤ,సగటు
Ratuver ਸਤ ਛੁੱਟੀ,సగటు సెలవు
ਘ੍ਰਿਣਾ,విరక్తి
ਟਾਲਣਾ,అవర్ట్
ਬਚਣ,నివారించండి
ਟੈਕਸ ਤੋਂ ਪਰਹੇਜ਼ ਕਰੋ,పన్నును నివారించడం
ਉਡੀਕ ਕੀਤੀ,వేచి ఉంది
ਪੁਰਸਕਾਰ,అవార్డు
ਅਥਾਰਟੀ,అథారిటీ అవార్డు
ਜਾਗਰੂਕਤਾ,అవగాహన
ਵਾਪਸ,బ్యాక్‌డేటెడ్
ਪਿਛੋਕੜ,నేపథ్య
ਬੈਕ ਲਾਗ,బ్యాక్ లాగ్
ਪਿਛੇ ਹਟ ਜਾਣਾ,బ్యాక్ అవుట్
ਬੈਕ ਹਵਾਲਾ,వెనుక సూచన
ਬੈਕ ਅਪ,బ్యాకప్
ਬੈਕਵਾਰਡ ਕਲਾਸਾਂ,వెనుకబడిన తరగతులు
ਪਿਛਲਾ ਕਬੀਲੇ,వెనుకబడిన తెగ
ਮਾੜੀ ਸੌਦਾ,చెడు బేరం
ਮਾੜਾ ਵਿਵਹਾਰ,చెడు ప్రవర్తన
ਬੁਰਾ ਚਰਿੱਤਰ,చెడ్డ పాత్ర
ਮਾੜੀ ਜਲਵਾਯੂ ਭੱਤਾ,చెడు వాతావరణ భత్యం
ਬੁਰਾ ਚਾਲ,చెడు ప్రవర్తన
ਬੁਰਾ ਕਰਜਾ,చెడు రుణం
ਸਾਮਾਨ,సామాను
ਜ਼ਮਾਨਤ,బెయిల్
ਸੰਤੁਲਨ,సంతులనం
ਸੰਤੁਲਨ ਲਿਆਂਦਾ ਗਿਆ,బ్యాలెన్స్ తగ్గింది
ਸੰਤੁਲਨ ਅੱਗੇ ਲਿਆਇਆ,బ్యాలెన్స్ ముందుకు తెచ్చింది
ਸੰਤੁਲਿਤ ਬਜਟ,సమతుల్య బడ్జెట్
ਸੰਤੁਲਨ ਸ਼ੀਟ,బ్యాలెన్స్ షీట్
ਬੈਲਟ,బ్యాలెట్
ਬੈਲਟ ਬਾਕਸ,వోట్లు వేసే డబ్బా
ਬੈਲਟ ਪੇਪਰ,బ్యాలెట్ పేపర్
ਪਾਬੰਦੀ,నిషేధం
ਬੈਂਕ,బ్యాంక్
ਬੈੰਕ ਖਾਤਾ,బ్యాంకు ఖాతా
ਬੈਂਕ ਬੈਲੰਸ,బ్యాంక్ బ్యాలెన్స్
ਬੈਂਕ ਖਰਚੇ,బ్యాంకు చార్జీలు
ਬੈਂਕ ਗਰੰਟੀ,బ్యాంకు హామీ
ਬੈਂਕ ਦੀ ਛੁਟੀ,బ్యాంకు సెలవు
ਬੈਂਕਿੰਗ ਸਹੂਲਤ,బ్యాంకింగ్ సౌకర్యం
ਬੈਂਕਿੰਗ ਘੰਟੇ,బ్యాంకింగ్ గంటలు
ਬੈਂਕਿੰਗ ਟ੍ਰਾਂਜੈਕਸ਼ਨ,బ్యాంకింగ్ లావాదేవీ
ਬੈਂਕ ਰੇਟ,బ్యాంక్ రేటు
ਬੈਂਕ ਮੇਲ-ਮਿਲਾਪ,బ్యాంకు సయోధ్య
ਦੀਵਾਲੀਆ,దివాళా
ਬੈਂਕ ਸੁਰੱਖਿਆ,బ్యాంక్ భద్రత
