Hindi,Gujarati
योजक,પ્રહાર
योजक व्यवकलक,ઉપદેશક
योजी संचिका,ફાઇલ ઉમેરો
विशिष्ट संप्रतीक,વધારાના પાત્ર (= વિશેષ પાત્ર)
योग अभिलेख,વધારાની રેકોર્ડર
योग सारणी,વધારાનો કોઠો
योज्य गुण,ઉમેરણ લક્ષણ
योग विधा,મોડમાં ઉમેરો
योग संक्रिया,કામગીરી ઉમેરો
पता,સંબોધન
पतायोग्यता माप,સરનામા -માપદંડ
पतायोग्य क्षौतिज स्थिति,સરનામું આડી સ્થિતિ
पतायोग्य बिन्दु,સંબોધન - બિંદુ
पतायोग्य स्थिति,પ્રતિયોગી સ્થિતિ
पतायोग्य पंजी,સરનામું રજિસ્ટર
पतायोग्य भंडारण,પ્રત્યુત્તરપાત્ર સંગ્રહ
पतायोग्य ऊर्ध्वाधर स्थिति,સરનાક verભી સ્થિતિ
पता बस,સરનાવ બસ
पता कूट,સરનામું
पता तुलनित्र,સરખામણી કરનાર
पता अभिकलन,સરનામું
पता अचर,નિવારણ
पता रूपांतरण,ધર્મપરિવર્તન
पता आँकड़े,માહિતી
पतायुक्त स्मृति,સંબોધિત મેમરી
प्रभावी पता,સંબોધન અસરકારક
पता क्षेत्र,સરનાવનું ક્ષેત્ર
पता संरूप,સરનાકનું બંધારણ
पता निरपेक्ष क्रमादेश,મફત કાર્યક્રમ
पताभिगमन,સંબોધન
पताभिगमन संप्रतीक,સંબોધન  પાત્ર
पताभिगमन अंतरायन,સંબોધન
पताभिगमन पाश,સંબોધન
पताभिगमन आभासी स्मृति,વર્ચુઅલ મેમરીને સંબોધવા
पता अंतर्ग्रथन,સરનામું
पतारहित अनुदेश संरुप,સરનામાંહીન સૂચના બંધારણ
पता लाइन,સરનામા
पता प्रतिचित्रण,સરનામાંનું નકશો
पता चिह्न,સરનાવ
पता आपरिवर्तन,સરનામા -ફેરફાર
पता भाग,સરનામા ભાગ
पता संकेतक,સરનાક નિર્દેશક
पता पंजी,સરના નોંધણી
पता संकेत,સરનામે સંકેત
पता आमाप,સરનાવનું કદ
पता स्थान,સરનાવની જગ્યા
पता स्थान अभिज्ञापक,સરનામું સ્થાન ઓળખકર્તા
पता विराम,સરનાવ બંધ
पता अनुरेख,સરનામા
पता मार्ग,સરનામા
पता अनुवाद,અનુવાદ
पता अनुवादक,અનુવાદક
संकलन व्यवकलन काल,સબમટ્રેક્ટ સમય ઉમેરવો
संकलन काल,સમય ઉમેરો
संलग्नता,સંલગ્નતા
संलग्नता संरचना,સંલગ્ન માળખું
संलग्न प्रणाल,સંલગ્ન માતૃભાષા
संलग्न प्रांत,સંલગ્ન ડોમેન
सहखंडज मैट्रिक्स,સંલગ્ન મેટ્રિક્સ
संलग्न आसंधि,સંલગ્ન નોડ
संलग्न उपक्षेत्र,સંલગ્ન સુબેરિયા
संलग्न (तंत्र),સંવાદિતા (સિસ્ટમ)
समायोजन,સમાયોજન કરવું
समायोज्य विस्तार,ગોઠવણપાત્ર હદ
समायोज्य पाठ्यांश विधा,ટેક્સ્ટ મોડને સમાયોજિત કરો
प्रशासनिक आँकड़ा संसाधन,વહીવટી માહિતી પ્રક્રિયા
प्रशासनिक प्रचालन,વહીવટી કામગીરી
प्रशासनिक प्रचालक,વહીવટી operatorપરેટર
प्रशासनिक प्रचालन केन्द्र,વહીવટી પ્રચાલક
प्रशासन सहाय तंत्र,વહીવટી સહાયક પદ્ધતિ
उन्नत संचार सेवा,અદ્યતન સંદેશાવ્યવહાર સેવા
उन्नत सूचना तंत्र,અદ્યતન માહિતી પદ્ધતિ
उन्नत प्रकाशिक संप्रतीक पठित्र,અદ્યતન ઓપ્ટિકલ પાત્ર રીડર
उन्नत वैज्ञानिक अभिकलित्र,અદ્યતન વૈજ્ .ાનિક કમ્પ્યુટર
एरियल,હવાઈ
पुंज,સમૂહ
पुंज व्यंजक,કુલ અભિવ્યક્તિ
संधानित्र,લક્ષ્યસ્થાન વર્તુળ
संधान प्रतीक,લક્ષ્ય ક્ષેત્ર (= લક્ષ્યનું પ્રતીક)
संधान प्रतीक,લક્ષ્યસ્થાન પ્રતીક
वायुवाहित अभिकलित्र तंत्र,હવાઈ ​​કમ્પ્યુટર સિસ્ટમ
बीजीय आइगनमान समस्या,બીજગણિત ઇગન્યુલ્યુ સમસ્યા
बीजीय समाकलन,બીજગણિત  એકીકરણ
"बीजीय भाषा, बीज भाषा",બીજગણિત ભાષા
बीजीय प्रकलन,બીજગણિત હેરાફેરી
बीजीय प्रकलन भाषा,બીજગણિત હેરાફેરી ભાષા
बीजोन्मुखी भाषा,બીજગણિત લક્ષી ભાષા
बीजीय विस्थापन,બીજગણિત પાળી
बीजीय चिह्न परिपाटी,બીજગણિત ચિહ્ન સંમેલન
ऐल्गॉल,શિરચ્છેદ
ऐल्गॉल लक्षण,શીલ લક્ષણ
ऐल्गॉल क्रमादेशन,અલ્ગોલ કાર્યક્રમ
"कलन विधि, एल्गोरिथ्म",અલ્ગોરિધમનો
कलन विधि साहचर्य भाषा,અલ્ગોરિધમનો સહયોગી ભાષા
कलन विधि वर्गीकरण,અલ્ગોરિધમનો વર્ગીકરણ
कलन विधि जटिलता,અલ્ગોરિધમની જટિલતા
कलन विधि अभिकलनीयता,અલ્ગોરિધમની ગણતરી
कलन विधि विश्लेषण,અલ્ગોરિધમિક વિશ્લેષણ
कलनविधीय उपगमन,અલ્ગોરિધમિક અભિગમ
कलनविधीय भाषा,અલ્ગોરિધએમ ભાષા
कलनविधीय नेमका,અલ્ગોરિધમનો રૂટિન
कलनविधीय सिद्धांत,અલ્ગોરિધમનો સિદ્ધાંત
अपर,ઉર્ફે
उपघटन,પરવાના
"अपर नाम, उर्फ नाम",ઉપનામ નામ (= વૈકલ્પિક નામ)
सरेखण,ગોઠવણી
नियतन,ફાળવવું
नियतन संरचना,ફાળવણીનું માળખું
सर्वोद्देशीय अभिकलित्र,હેતુસર કમ્પ્યુટર
अक्षरात्मक संप्रतीक,વર્ણાનુક્રમ
अक्षरात्मक संप्रतीक समुच्चय,મૂળાક્ષરોનો પાત્ર સમૂહ
अक्षरात्मक संप्रतीक उपसमुच्चय,મૂળાક્ષરો
अक्षरात्मक कूट,વર્ણાનુક્રમ
अक्षरात्मक विस्थापन,વર્ણાનુક્રમ
अक्षरात्मक रज्जु,વર્ણાનુક્રમ
अक्षरात्मक शब्द,વર્ણાનુક્રમ
वर्णानुक्रमण,મૂળાક્ષરો
अक्षरात्मक ज्यामितिकी,અલ્ફેજ ome મેટ્રિક્સ
अक्षरांकीय,મૂર્તિમંત
अल्फामोजेक,મરણોત્તર
अक्षरांकीय,મૂર્તિમંત
अक्षरांकीय कुंजीपटल युक्ति,આલ્ફાન્યુમેરિકલ કીબોર્ડ ડિવાઇસ
अक्षरांकीय संप्रतीक समुच्चय,મૂળાક્ષર
अक्षरांकीय कूट,મૂળાક્ષર
अक्षरांकीय कूटलिखित संप्रतीक समुच्चय,આલ્ફાન્યુમેરિક કોડેડ પાત્ર સમૂહ
अक्षरांकीय आँकड़े,મૂળાક્ષરીનો ડેટા
अक्षरांकीय प्रदर्श युक्ति,આલ્ફાન્યુમેરિક ડિસ્પ્લે ડિવાઇસ
अक्षरांकीय संपादित संप्रतीक,મૂળાક્ષર સંપાદિત પાત્ર
अक्षरांकीय क्षेत्र,વર્ણ -ક્ષેત્ર
अक्षरांकीय अनुदेश,વર્ણ -સૂચના
अक्षरांकीय कुंजी पटल,મૂળાક્ષર કીબોર્ડ
अक्षरांकीय शाटन,મૂળાક્ષર
अक्षरांकीय भंडारण,મૂળાક્ષર સંગ્રહ
परिवर्तनीय स्मृति,બદલવા યોગ્ય
परिवर्तन स्विच,ફેરફાર -ફેરૂપ
परिवर्तन,પરિવર્તનશીલ
परिवर्तन विधा,ફેરફાર
वैकल्पिक पुनःप्राप्ति,વૈકલ્પિક પુન recovery પ્રાપ્તિ
वैकल्पिक मार्ग,વૈકલ્પિક માર્ગ
वैकल्पिक मार्गचयन,વૈકલ્પિક માર્ગ
वैकल्पिक मार्ग,વૈકલ્પિક પાટા
अथवा' संक्रिया,ફેરબદલ (= અથવા કામગીરી)
वैकल्पिक गुण,વૈકલ્પિક લક્ષણ
तथा पूरक' संक्रिया,વૈકલ્પિક અસ્વીકાર (= નહીં અને કામગીરી)
संदिग्धता त्रुटि,અસ્પષ્ટ ભૂલ
संदिग्धता संर्दभ,અસ્પષ્ટ સંદર્ભ
अनुरूप,પ્રાચય
अनुरूप योजक,એનાશ -ઉપાડનાર
अनुरूप प्रणाल,મનોલોત્ર
अनुरूप अभिकलित्र,એનાલોગ કમ્પ્યુટર
अनुरूप परिवर्तक,એનાશ -રૂપાંતર કરનાર
अनुरूप आँकड़े,મનોજ્ analા આંકડા
अनुरूप विभाजनी,એનાશ -વિભાજક
अनुरूप सुविधा टर्मिनल,એનાલોગ સુવિધા ટર્મિન
अनुरूप फलन जनक,મનોલોગ કાર્ય  જનરેટર
अनुरूप समाकलन,મનોરોગ એકીકરણ
अनुरूप गुणक,એનાલ -ગુણાકાર
अनुरूप क्रमादेशन,એનાશિક કાર્યક્રમ
अनुरूप मापन,એનાલ -સ્તનપાન
अनुरूप संकेत,એનાલોગ સંકેત
अनुरूप अनुकार,એનાશ સિમ્યુલેશન
अनुरूप स्विच,એનાશ -સ્વીચ
अनुरूप तंत्र,પ્રાકૃતિક પદ્ધતિ
अनुरूप अंकीय परिवर्तक,ડિજિટલથી એનાલોગ  એકત્રીકરણ કરનાર
अनुरूप अंकीयकूटलेखक,ડિજિટલથી એનાલોગ  એન્કોડર
अनुरूप संचरण,મનોલોગ પ્રસારણ
अनुरूप प्रकार,એનોગ પ્રકાર
विश्लेषण खंड़क,વિશ્લેષણ -વિધિ
विश्लेषण विधा,વિશ્લેષણ પદ્ધતિ
वैश्लेषिक इंजन,વિશ્લેષણાત્મક
पूर्वज कार्य,પૂર્વજો
सहायक उपकरण,આનુષંગિક સાધનસામગ્રી
तथा',અને
तथा' परिपथ,અને સર્કિટ
तथा' अवयव,અને
तथा' द्वार,અને દરવાજો
तथा' प्रच्छादन,અને માસ્કિંગ
अपवर्जन,અને ઓપરેશન નથી (= બાકાત
तथा' संक्रिया,કામગીરી
चयक स्मृति,જોડાણ મેમરી
टिप्पण,નોંધણી
आख्यापित्र,જાહેરાત કરનાર
तुरत उत्तर,પાછો જવાબ આપો
उत्तर विलंब,જવાબ
उत्तर काल,જવાબદાર સમય
उत्तर बत्ती,જવાબ દીવો
उत्तर सूची,જવાબ સૂચિ
केवल उत्तर,માત્ર
प्रत्याशा विधा,અપેક્ષા -મોડ
प्रत्याशामूलक चयकन,આગોતરક બફર
प्रत्याशामूलक हासिल,આગોતરક કેરી
प्रत्याशामूलक पृष्ठन,આગોતરી પેજિંગ
प्रतिसंपाती संक्रिया,અસત્ય કામગીરી
प्रतिसंपाती अवयव,કૃત્રિમ તત્વ
अनावर्ती ऐन्टेना,અતિશય એન્ટેના
द्वारक पत्रक,છિદ્ર
द्वारक कूट,છિદ્ર
द्वारक काल,છિદ્રનો સમય
अनुबंध,સંલગ્ન
अनुबंध कार्य,સંલગ્ન કાર્ય
अनुप्रयोग विकासक,અરજી વિકાસકર્તા
अनुप्रयोग स्तर,અરજી -સ્તર
अनुप्रयोग मूलक भाषा,અરજીલક્ષી ભાષા
अनुप्रयोग (क्रमादेश) संकुल,અરજી
अनुप्रयोग क्रमादेश,અરજી કાર્યક્રમ
अनुप्रयोग क्रमादेशन,અરજી કાર્યક્રમ
अनुप्रयोग अपेक्षित भाषा,અરજી જરૂરી ભાષા
अनुप्रयोग प्रक्रिया सामग्री,એપ્લિકેશન સોફ્ટવેર
अधिरोपण,અનુકૂળ
सन्निकटन सिद्धांत,આશરે સિદ્ધાંત
स्वेच्छ अभिगम,મનસ્વી પ્રવેશ
स्वेच्छ अनुक्रम अभिकलित्र,મનસ્વી ક્રમ કમ્પ્યુટર
मध्यस्थ,લવાદી
"वास्तुकला, स्थापत्यकला",સ્થાપત્ય
पुराभंडारण,આર્કા
क्षेत्र कूट,વિસ્તાર કોડ
क्षेत्र खोज,વિસ્તાર -શોધ
क्षेत्र स्थानांतरण,વિસ્તાર -તબદીલી
क्षेत्र चर,ક્ષેત્રીય
स्वतंत्र चर,દલીલ
स्वतंत्र चर पता,દલીલ સરનામું
स्वतंत्र चर सूची,દલીલ યાદી
अंकगणितीय अनुदेश,અંકગણિત સૂચના
अंक गणितीय एंव तर्क एकक,અંકગણિત અને તર્ક એકમ
अंकगणितीय नियतन कथन,અંકગણિત સોંપણી નિવેદન
अंकगणितीय जाँच,અંકગણિત તપાસ
अंकगणितीय अचर,ન્યાયશાસ્ત્ર
अंकगणितीय रूपांतर,અંકગણિત
अंकगणितीय आँकड़े,સમાંતરતર ડેટા
अंकगणितीय अपवाद,અંકગણિત અપવાદ
अंकगणितीय व्यंजक,અંકગણિત અભિવ્યક્તિ
अंकगणितीय नियत बिन्दु,અંકગણિત નિયત બિંદુ
अंकगणितीय पदानुक्रम,અંકગણિત વંશવેલો
अंकगणितीय 'यदि' कथन,અંકગણિત જો નિવેદન
अंकगणितीय तर्क,ન્યાયશાસ્ત્રનું તર્કશાસ્ત્ર
अंकगणितीय तर्क एकक,અંકગણિત તર્ક એકમ
अंकगणितीय संक्रिया,ન્યાયશાસ્ત્ર કામગીરી
अंकगणितीय संकारक,સમેટાં પ્રપણ
अंकगणितीय अधिप्रवाह,અંકગણિત ઓવરફ્લો
अंकगणितीय चित्र आँकड़े,અંકગણિત ચિત્ર -માહિતી
अंकगणितीय पूर्वता,અંકગણિત અગ્રતા
अंकगणितीय प्राथमिक अवयव,અંકગણિત પ્રાથમિક
अंकगणितीय पंजी,અંકગણિત રજિસ્ટર
अंकगणितीय संबंध,અંકગણિત સંબંધ
अंकगणितीय क्रमवीक्षण,અંકગણિત સ્કેન
अंकीय अनुभाग,અંકગણિત વિભાગ
अंकगणितीय विस्थापन,અંકગણિત પાળી
अंकगणितीय विस्थापन,અંકગણિત
अंकगणितीय कथन,અંકગણિત નિવેદન
अंकगणितीय पद,ન્યાયશાસ્ત્રની મુદત
अंकगणितीय अधोप्रवाह,અંકગણિત
अंकीय एकक,અંકગણિત એકમ
सरणी,કળ
सरणी परिबंध,એરે બાઉન્ડ
सरणी अभिकलित्र,એરે કમ્પ્યુટર
सरणी विमा,એરેનું પરિમાણ
सरणी अवयव,એરે તત્વ
सरणी व्यंजक,અભિવ્યક્તિ
सरणी नाम,એરે નામ
संरचना सरणी,રચના
सरणी मुद्रण,એરે મુદ્રણ
सरणी संसाधन,એરે પ્રક્રિયા
सरणी संसाधित्र,એરે પ્રોસેસર
संधि बिन्दु,સ્પષ્ટ મુદ્દો
कृत्रिम बोध,કૃત્રિમ માન્યતા
कृत्रिम बुद्धि,કૃત્રિમ બુદ્ધિ
कृत्रिम भाषा,કૃત્રિમ ભાષા
कृत्रिम चर,કૃત્રિમ ચલ
कला अनुप्रयोग आकड़ा बैंक,કળા -એપ્લિકેશન ડેટા બેંક
कला अनुप्रयोग संगीत,કલાકાર -અરજી
कला अनुप्रयोग प्रतिरूप जनन,કળા -એપ્લિકેશન પેટર્ન જનરેશન
आरोहक,ચડતું
आरोही छँटाई,ચ ascતો સ .ર્ટ
आस्की,અયોગ્ય
आस्की नियंत्रण संप्रतीक,ASCII નિયંત્રણ પાત્ર
आस्की कुंजी पटल,ASCII કી બોર્ડ
अभिमुखता,દૃષ્ટિ
अभिमुखता पत्रक,પાસા અને
कोड़ांतरण,ભેગા
कोड़ांतरित उद्गम,ભેગા થયેલા મૂળ
कोडांतरण अवधि,એકત્રીકરણ સમયગાળો
कोडांतरक,ભેગા કરનાર
कोडांतरक निर्देश,એસેમ્બલ નિર્દેશક
कोडांतरक सुविधा,ભેળસેળ કરવાની સુવિધા
कोडांतरण भाषा,જોડાયેલી ભાષા
कोडांतरण,એકત્રીકરણ
कोडांतरण प्रावस्था,ભેગા કરવાનો તબક્કો
कोडांतरण काल,એકત્રીકરણ સમય
कोडांतरण,વિધાનસભા
कोडांतरण भाषा,સભા
कोडांतरण भाषा क्रमादेशन,સભા ભાષા કાર્યક્રમ
कोडांतरण भाषा प्रक्रियासामग्री नम्यता,એસેમ્બલી ભાષા સ software ફ્ટવેર સુગમતા
कोडांतरण सूचीकरण,સભા સૂચિ
कोडांतरण प्रावस्था,સભા તબક્કા
कोडांतरण नेमका,વિધાનસભા દિનચર્યા
कोडांतरण काल,સભા સમય
कोडांतरण एकक,સભા એકમ
नियतन सूचीकरण,સોંપણી અનુક્રમણિકા
नियतन संक्रिया,સોંપણી કામગીરી
नियतन कथन,સોંપણી પત્રક
साहचर्य पता,સંલગ્ન સંબોધન
साहचर्य सरणी पंजी,સહયોગી એરે રજિસ્ટર
साहचर्य कुंजी,સહ -મુખ્ય
साहचर्य भाषा,એકસમાન ભાષા
साहचर्य स्मृति,સંલગ્ન મેમરી
साहचर्य भंडारण,સંલગ્ન સંગ્રહ
कल्पित दशमलव बिन्दु,ધારેલો દશાંશ બિંદુ
असममित युक्ति,અસમપ્રમાણ ઉપકરણ
असममित नि/नि.,અસમપ્રમાણતા I/O
अतुल्यकालिक; अतुल्यकाली,અસુમેળવાળું
अतुल्यकालिक अभिकलित्र,અસમકાલીન કમ્પ્યુટર
अतुल्यकालिक आँकड़ा अंतरण,અસમકાલીન ડેટા સ્થાનાંતરણ
अतुल्यकालिक आँकड़ा प्रेषण,અસુમેળ ડેટા પ્રસારણ
अतुल्यकालिक युक्ति,અસુમેળ ઉપકરણો
" अतुल्यकाली प्रचालन , अतुल्यकाली संक्रिया",અસુમેળ
अतुल्यकालिक संकेतन,અસમકાલીન સંકેત
अतुल्यकालिक समय विभाजन बहुसंकेतन,અસુમેળ સમય વિભાગ મલ્ટીપ્લેક્સિંગ
अतुल्यकालिक संचरण,અસુમેળ
अतुल्यकालिक निष्पादन,અસમકાલીન કાર્યકારી
संलग्न संसाधन,જોડાયેલ પ્રક્રિયા
संलग्न संसाधित्र,જોડાયેલ પ્રોસેસર
संलग्न आलंब संसाधित्र,જોડાયેલ સપોર્ટ પ્રોસેસર
उपस्थितसापेक्ष प्रचालन,ઉપસ્થિત કામગીરી
उपस्थिति लीक मुद्रित्र,ઉપસ્થિત ટ્રેઇલ પ્રિંટર
ध्यान अंतरायन,વિક્ષેપ
ध्यान कुंजी,ધ્યાન
क्षीणन,વ્યવહાલ
क्षीणनांक,વિકેન્દ્રિત સ્થિરતા
क्षीणन विरूपण,વ્યથિત વિકૃતિ
क्षीणन तुल्यकारक,વિકેન્દ્રિત બરાબરી
क्षीणकारी,હલકાઈ કરનાર
गुण,લક્ષણ
श्रव्य सचेतक,શ્રાહ
श्रव्य कैसट,Audio ડિઓ કેસેટ
श्रव्य जाँच,Ation ડિઓની તપાસ
श्रव्य लाइन,Audષધિ
श्रव्य अनुक्रिया,Audio ડિઓનો પ્રતિભાવ
श्रव्य अनुक्रिया संदेश,Auduy ડિઓ પ્રતિસાદ સંદેશ
श्रव्य अनुक्रिया एकक,Audit ડિઓ પ્રતિસાદ એકમ
श्रव्य टेप भंडारण एकक,ખવડ -સંગ્રહ એકમ
श्रव्य दूरसंचार लाइन,Audડતી ટેલિકમ્યુનિકેશન રેખા
श्रव्य अंतक,Audio ડિઓ ટર્મિન
लेखापरीक्षा समादेश भाषा,ઓડિટ ભાષા
लेखापरीक्षा क्रमादेशन,હિસાબ -તપાસણી
लेखा सत्यापन,વિષ્લેષણ
योजक,યોજવું
संवर्थ,વૃદ્ધિ
संवर्धक,વૃદ્ધિ કરનાર
संलेखक,લેખક
संलेखन,લેખક
संलेखन प्रणाली,અર્થતંત્ર
प्राधिकार,અધિકાર
प्राधिकरण कूट,સત્તાપત્ર
प्राधिकृत क्रमादेश संग्रह,અધિકૃત ગ્રંથાલય
प्राधिकृत क्रमादेश,અધિકૃત કાર્યક્રમ
प्राधिकृत क्रमादेश सुविधा,અધિકૃત કાર્યક્રમ સુવિધા
स्व-साराहरण,સ્વત abstractભાશ્રલ
स्वतः उत्तरित्र,શૌર્ય
स्वतः उत्थानी,સ્વત bootટ -બુટિંગ
स्व उपमार्ग,સ્વત by બાયપાસ
स्वतः आह्वान,Auto ટો ક call લ (= સ્વચાલિત ક calling લિંગ)
स्वकूटलेखक,સ્વત autoાંડ
स्वतः डायलन,ઓટો ડાયલ
स्वतः प्रवाह,સ્વચ્છતા
स्वतः सूचक,ઓટો અનુક્રમણિકા
स्वतः सूचकित पताभिगमन,ઓટો અનુક્રમિત સરનામાં
स्वचल प्ररूप,નકલો
स्वचल प्ररूप सिद्धांत,આપમેળે સિદ્ધાંત
स्वचल प्ररूप प्रकार,સ્વત્વાર્પણ પ્રકાર
कंप्यूटरित ग्रंथ सूची,સ્વચાલિત ગ્રંથસૂચિ
कंप्यूटरित आँकड़ा माध्यम,સ્વચાલિત ડેટા માધ્યમ
कंप्यूटरित कोश,સ્વચાલિત શબ્દકોશ
कंप्यूटरित शब्द-संग्रह,સ્વચાલિત સ્થગિત
स्वचालित तर्क आरेख,સ્વચાલિત તર્ક આકૃતિ
स्वचालित प्रबंध,સ્વચાલિત સંચાલન
स्वचालित उत्पादन प्रबंध,સ્વચાલિત ઉત્પાદન વ્યવસ્થાપન
स्वचालित स्टॉक नियंत्रण,સ્વચાલિત સ્ટોક નિયંત્રણ
स्वतः सार,સ્વચાલિત મુદ્દો
स्वतः साराहरण,સ્વચાલિત અમૂર્તતા
स्वतः क्रमादेशित साधन,આપમેળે પ્રોગ્રામ કરેલા સાધનો
स्वतः उत्तर देना,સ્વચાલિત જવાબ
स्वतः आह्वान वितरक,સ્વચાલિત ક call લ વિતરક
स्वतः आह्वान,સ્વચાલિત બોલાવવું
स्वतः जाँच,સ્વચાલિત તપાસ
स्वतः कूटलेखन,સ્વચાલિત કોડિંગ
स्वतः अभिकलन,સ્વચાલિત કમ્પ્યુટિંગ
स्वतः अभिकलन इंजन,સ્વચાલિત કમ્પ્યુટિંગ એન્જિન
स्वतः अचर,સ્વચાલિત સ્થિર
