Punjabi,Assamese
ਵੰਸ਼,বংশ
ਵੰਸ਼,বংশ
ਵੰਸ਼,বংশ
ਵੰਸ਼,বংশ
ਪ੍ਰਾਚੀਨ ਸ਼ਾਸਨ,Ancien শাসন ব্যৱস্থা
ਪ੍ਰਾਚੀਨ,পৌৰাণিক
ਪ੍ਰਾਚੀਨ ਗੀਤ,প্ৰাচীন বেলাড
ਪ੍ਰਾਚੀਨ ਵਿਸ਼ਵਾਸ,প্ৰাচীন বিশ্বাস
ਪ੍ਰਾਚੀਨ ਰਿਵਾਜ,প্ৰাচীন প্ৰথা
ਪ੍ਰਾਚੀਨ ਇਤਿਹਾਸ,প্ৰাচীন ইতিহাস
ਪ੍ਰਾਚੀਨ ਸਮਾਰਕ,প্ৰাচীন কীৰ্তিচিহ্ন
ਕਿੱਸਾ,উপাখ্যান
ਐਂਜਲੋਟ,এঞ্জেলট
ਐਂਜਲਸ,এঞ্জেলছ
ਐਂਜੇਵਿਨ (=ਅੰਜੇਵਿਨ),এঞ্জেভিন (=anjevin)
ਕੋਣ,কোণ
ਐਂਗਲੀਕਨ,এংলিকান
ਐਂਗਲੀਕਨ ਕਮਿਊਨੀਅਨ,এংলিকান কমিউনিয়ন
ਐਂਗਲੀਕਨਵਾਦ,এংলিকানিজম
ਐਂਗਲੋ-ਫੋਬ,এংলো-ফ’ব
ਐਂਗਲੋ-ਫੋਬੀਆ,এংলো-ফ’বিয়া
ਐਂਗਲੋ-ਸੈਕਸਨ,এংলো-চেক্সন
ਐਂਗਲੋ-ਸੈਕਸੋਨਿਜ਼ਮ,এংলো-চেক্সনবাদ
ਐਨਾਲਿਸਟ,এনালিষ্ট
ਇਤਿਹਾਸ,এনালছ
ਅਨੇਕਸ਼ਨ,সংলগ্নকৰণ
ਐਂਟੀ-ਬੇਲਮ,এণ্টে-বেলাম
ਪਿਛਲੀ ਤਾਰੀਖ,এণ্টে তাৰিখ
ਵਿਰੋਧੀ ਮੌਲਵੀਵਾਦ,কেৰাণীবাদ বিৰোধী
ਕਲੈਰੀਕਲ ਵਿਰੋਧੀ ਕਾਨੂੰਨ,কেৰাণী বিৰোধী আইন
ਪੁਰਾਤਨਤਾ,প্ৰাচীনতা
ਵਿਰੋਧੀ ਕਿਰਾਇਆ,ভাড়া বিৰোধী
ਵਿਰੋਧੀ ਕਿਰਾਇਆ,ভাড়া বিৰোধী
ਵਿਰੋਧੀ ਸਾਮੀਵਾਦ,চেমিটিজম বিৰোধী
ਐਨਜ਼ੈਕ,এঞ্জেক
ਅਪੇਲਾ,এপেলা
ਅਰਲੂ,আৰালু
ਆਰਕ ਬਿਸ਼ਪ,আৰ্ক বিচপ
ਆਰਕ ਡਚੀ,আৰ্ক ডাচি
ਆਰਕ ਡਿਊਕ,আৰ্ক ড্যুক
ਪੁਰਾਲੇਖ (=ਪੁਰਾਲੇਖ ਸੰਗ੍ਰਹਿ),আৰ্কাইফ (=আৰ্কাইভ সংগ্ৰহ)
ਆਰਚੀਪੀਸਕੋਪੇਟ,আৰ্কিপিস্কোপেট
ਕੁਲੀਨ,অভিজাত শ্ৰেণী
ਰਈਸ,অভিজাত
ਕੁਲੀਨ ਸਨੋਬਰੀ,অভিজাত স্নোবৰী
ਅਰਿਸਟੋਟਲੀਅਨ,এৰিষ্ট&#39;টেলিয়ান
ਆਰਮਾਡਾ,আৰ্মাডা
ਆਰਮਾਡਾ (= ਸਪੇਨੀ ਆਰਮਾਡਾ),আৰ্মাডা (=স্পেনিছ আৰ্মাডা)
ਸ਼ਸਤਰਧਾਰਕ (=ਸ਼ਸਤਰਧਾਰਕ),আৰ্মৰিষ্ট (=armourist)
ਸ਼ਸਤ੍ਰ (= ਸ਼ਸਤ੍ਰ),কৱচ (=কৱচ)
ਸ਼ਸਤਰਧਾਰਕ,আৰ্মৰিষ্ট
ਆਰੀਅਨ,আৰ্য্য
ਆਰੀਅਨ,আৰ্য্য
ਅਸਕਰੀ,আস্কৰী
ਅਸਾਈਨੈਟ,Assignat
ਅਸਾਈਜ਼,Assize
ਅਸਾਈਜ਼,Assize
ਅਸਾਈਜ਼,Assize
ਅਸਲਾ ਐਕਟ ਦੀ ਸਹਾਇਤਾ,এছাইজ অৱ আৰ্মছ এক্ট
ਡੈਰੇਨ ਪ੍ਰੈਜ਼ੈਂਟਮੈਂਟ ਦੀ ਸਹਾਇਤਾ,ডেৰেইন প্ৰেজেণ্টমেণ্টৰ এছাইজ
ਮੋਰਟ &#39;ਡੀ&#39; ਪੂਰਵਜ ਦੀ ਸਹਾਇਤਾ,মৰ্ট &#39;ডি&#39; পূৰ্বপুৰুষৰ এছাইজ
ਨਾਵਲ ਡੀਸੀਸਿਨ ਦੀ ਸਹਾਇਤਾ,নভেল ডিচেইচিনৰ এছাইজ
ਅੱਤਿਆਚਾਰ,অত্যাচাৰ
ਹਮਲਾ,আক্ৰমণ
ਔਲਿਕ ਕੌਂਸਲ,অলিক কাউন্সিল
ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ (= ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ),গেডেছৰ কুঠাৰ (=গেডেছৰ কুঠাৰ)
ਐਕਸਿਸ (=ਰੋਮ-ਬਰਲਿਨ-ਟੋਕੀਓ ਐਕਸਿਸ),অক্ষ (=ৰোম-বাৰ্লিন-টকিঅ&#39; অক্ষ)
ਬਾਬਲ,বেবিলন
ਬਾਬਲੀ ਗ਼ੁਲਾਮੀ (=ਬੇਬੀਲੋਨ ਦੀ ਗ਼ੁਲਾਮੀ),বেবিলনৰ বন্দীত্ব (=বেবিলনৰ বন্দীত্ব)
ਬਚਨਲ ਭਗਤ,বচনাল ভক্ত
ਬਚਨਲਿਆ,বাচনালিয়া
ਕੁਆਰਾ,অবিবাহিত লোক
ਬਗਦਾਦ ਸਮਝੌਤਾ,বাগদাদ চুক্তি
ਬਾਲਕਨ ਲੀਗ,বাল্কন লীগ
ਬਾਲਕਨ ਸਮਝੌਤਾ,বাল্কন চুক্তি
ਬਾਲਕਨ ਯੁੱਧ,বাল্কন যুদ্ধ
ਬਾਲਟਿਕ ਸਮਝੌਤਾ,বাল্টিক চুক্তি
ਡਾਕੂ,ডাকাত
ਬੈਂਡੁੰਗ ਕਾਨਫਰੰਸ,বাণ্ডুং সন্মিলন
ਦੇਸ਼ ਨਿਕਾਲੇ,নিৰ্বাসন
ਬੈਨਰ,বেনাৰ
ਵਹਿਸ਼ੀ,বৰ্বৰ
ਬਾਰਬੀਕਨ,বাৰ্বিকান
ਬਾਰਡੋਲੀ ਸੱਤਿਆਗ੍ਰਹਿ,বৰদলৈ সত্যাগ্ৰহ
ਬਾਰਨ ਬਰਨਰ,বাৰ্ন বাৰ্নাৰ্ছ
ਬੈਰਨ,বেৰন
ਬੈਰੋਨੇਜ,বেৰনেজ
ਬੈਰੋਨਸ ਮੇਜਰਸ,বেৰনছ মেজৰ
ਬੈਰੋਨਸ ਨਾਬਾਲਗ,বেৰনেছ নাবালক
ਬੈਰੋਨੇਸ,বেৰনেছ
ਬੈਰੋਨੇਟ,বেৰনেট
ਬੈਰੋਨੇਟੇਜ,বেৰনেটেজ
ਬੈਰੋਨੇਟੇਜ,বেৰনেটেজ
ਬੈਰੋਨੇਟਸੀ,বেৰনেটচি
ਬੈਰੋਨੀ,বেৰনি
ਬੈਰਾਕੂਨ,বেৰাকুন
ਬੈਰਾਕੂਨ,বেৰাকুন
ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ),বেৰিকেড (=barricade)
ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ),বেৰিকেড (=barricade)
ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ),বেৰিকেড (=barricade)
ਬੇਸ ਕੈਂਪ,বেচ কেম্প
ਬੇਸਿਲਿਕਾ,বেচিলিকা
ਬੇਸਿਲਿਕਾ,বেচিলিকা
ਬਸਤੀਲਾ,বাষ্টিলা
ਬੈਸਟਿਲ,বেষ্টিল
ਬੈਸਟਿਲ,বেষ্টিল
ਬੈਟਰੀ,বেটাৰি
ਲੜਾਈ,যুদ্ধ
ਬੈਟਲੇ-ਐਰੇ,বাটলে-এৰে
ਲੜਾਈ ਦਾ ਰੋਣਾ,যুদ্ধৰ চিঞৰ
ਲੜਾਈ ਦੀਨ,যুদ্ধৰ ডিন
ਲੜਾਈ ਦਾ ਮੈਦਾਨ,যুদ্ধক্ষেত্ৰ
ਲੜਾਈ ਦਾ ਭਜਨ,যুদ্ধ গীত
ਸਪਰਸ ਦੀ ਲੜਾਈ,স্পাৰ্ছৰ যুদ্ধ
ਸਟੈਂਡਰਡ ਦੀ ਲੜਾਈ,ষ্টেণ্ডাৰ্ডৰ যুদ্ধ
ਬੈਟਲਸ਼ਿਪ,যুদ্ধজাহাজ
ਬੈਟਲਸ਼ਿਪ-ਤਾਕਤ,যুদ্ধজাহাজ-শক্তি
Bayeux tapestry,Bayeux টেপেষ্ট্ৰি
ਬੀਕਨ,বিকন
ਬੀਕਨ ਟਾਵਰ,বিকন টাৱাৰ
ਬੀਵਰ,বিভাৰ
ਬੀਵਰ,বিভাৰ
ਸਮੁੰਦਰ ਦੇ ਭਿਖਾਰੀ,সাগৰৰ ভিক্ষাৰী
ਬੇਲੀਕੋਜ਼,বেলিকোজ
ਬੇਲੀਕੋਸ,বেলিকোজ
ਬੇਲੀਕੋਜ਼,বেলিকোজ
ਬੇਲੀਕੋਸਿਟੀ,বেলিকোচিটি
ਬੇਲੋਨਾ,বেলোনা
ਲਾਭ,বেনিফিচ
ਪਾਦਰੀਆਂ ਦਾ ਲਾਭ,ধৰ্মগুৰুসকলৰ লাভ
ਬੇਨੇਲਕਸ,বেনেলাক্স
ਬਰਲਿਨ ਫ਼ਰਮਾਨ,বাৰ্লিন ডিক্রী
ਬੇਸਰਕਰ,Berserker
ਬੇਸੰਤ (=ਬੇਜ਼ੰਤ),Besant (=বেজান্ট)
ਬੈਥਲ,বেথেল
ਬਾਈਬਲੀਓਲੇਟਰ,বিব্লিঅ&#39;লেটাৰ
ਬਿਬਲਿਓਲਾਟਰੀ,গ্ৰন্থবিজ্ঞান
ਵੱਡੀ ਬਰਥਾ,বিগ বাৰ্থা
ਬਿਗੌਟ,কুসংস্কাৰ
ਬਿਲੀਟਿੰਗ,বিলেটিং
ਅਟੈਂਡਰ ਦਾ ਬਿੱਲ,বিল অৱ এটেইণ্ডাৰ
ਅਧਿਕਾਰਾਂ ਦਾ ਬਿੱਲ,অধিকাৰৰ বিল
ਜੀਵਨੀਕਾਰ,জীৱনীকাৰ
ਜਨਮ ਕਹਾਣੀਆਂ,জন্মৰ কাহিনী
ਬਿਵੁਆਕ,বিভক
ਬਿਵੁਆਕ,বিভক
ਬਿਵੁਆਕ,বিভক
ਬਿਜੋਨੀਆ,বিজোনিয়া
ਕਾਲਾ ਪੰਛੀ,ক&#39;লা চৰাই চোৱা
ਕਾਲਾ ਝੰਡਾ,ক&#39;লা পতাকা
ਕਾਲਾ ਮੋਰੀ,ব্লেক হোল
ਕਾਲਾ ਮੋਰੀ,ব্লেক হোল
ਕਾਲੀ ਲੱਤ (= ਖੁਰਕ),ক&#39;লা ভৰি (=scab)
ਕਾਲੀ ਕਮੀਜ਼,ক&#39;লা চাৰ্ট
ਬਲੇਜ਼ਨ,ব্লেজন
ਬਲੇਜ਼ਨ,ব্লেজন
ਧਮਾਕੇਦਾਰ,ব্লেজনাৰী
ਧਮਾਕੇਦਾਰ,ব্লেজনাৰী
ਬਲਿਟਜ਼ਕਰੀਗ,ব্লিটজক্ৰিগ
ਖੂਨ ਰਹਿਤ ਇਨਕਲਾਬ (= ਸ਼ਾਨਦਾਰ ਇਨਕਲਾਬ),ৰক্তহীন বিপ্লৱ (=গৌৰৱময় বিপ্লৱ)
ਬਲੱਡਵਾਈਟ,ব্লাডৱাইট
ਖੂਨੀ ਮੈਰੀ,ব্লাডি মেৰী
ਨੀਲਾ,নীলা
ਨੀਲਾ ਖੂਨ,নীলা তেজ
ਨੀਲੀ ਕਿਤਾਬ,নীলা কিতাপ
ਨੀਲਾ ਰਿਬਨ,নীলা ফিতা
ਨੀਲਾ ਰਿਬਨ,নীলা ফিতা
ਬਲੂਜ਼ (=ਰਾਇਲ ਹਾਰਸ ਗਾਰਡ),ব্লুজ (=ৰয়েল হৰ্চ গাৰ্ড)
ਨੀਲੀ ਕਮੀਜ਼,নীলা চাৰ্ট
ਬਲੂ ਵਾਟਰ ਸਕੂਲ,ব্লু ৱাটাৰ স্কুল
ਕੰਟਰੋਲ ਬੋਰਡ,নিয়ন্ত্ৰণ ব’ৰ্ড
ਸਰੀਰ ਦੇ ਬਸਤ੍ਰ,শৰীৰৰ কৱচ
ਬੋਅਰ,ব&#39;ৰ
ਲੁੱਟ,লুটপাত
ਬੋਰੋ,বৰো
ਬੁਲੇਉਟੇਰੀਅਨ,Bouleuterion
ਬੋਰਬਨ,বোৰ্বন
ਮੁੱਕੇਬਾਜ਼ ਬਗਾਵਤ,বক্সাৰ বিদ্ৰোহ
ਬ੍ਰੇਸ,ব্ৰেচ
ਬ੍ਰਾਸਾਰਡ,ব্ৰাছাৰ্ড
ਬ੍ਰਾਸਾਰਡ,ব্ৰাছাৰ্ড
ਰੋਟੀ ਦੀਆਂ ਬਸਤੀਆਂ,ব্ৰেড কলনী
ਛਾਤੀ ਪਲੇਟ,ব্ৰেষ্ট প্লেট
ਛਾਤੀ ਦਾ ਕੰਮ,স্তনৰ কাম
ਬਰੇਟਵਾਲਡਾ,ব্ৰেটৱাল্ডা
ਬ੍ਰਿਗੈਂਡ,ব্ৰিগাণ্ড
ਬ੍ਰਿਗੇਂਡੇਜ,ব্ৰিগেণ্ডেজ
ਬ੍ਰਿਟਿਸ਼ ਕਾਮਨਵੈਲਥ ਆਫ ਨੇਸ਼ਨਜ਼,ব্ৰিটিছ কমনৱেলথ অৱ নেচনছ
ਭੂਰੇ ਰੰਗ ਦੀਆਂ ਕਮੀਜ਼ਾਂ (=ਨਾਜ਼ੀਆਂ),ব্ৰাউন চাৰ্ট (=নাজী)
ਬ੍ਰਸੇਲਜ਼ ਸੰਧੀ (ਪੈਕਟ) ਸੰਗਠਨ (= ਪੱਛਮੀ ਯੂਰਪੀਅਨ ਯੂਨੀਅਨ),ব্ৰাছেলছ সন্ধি (পেক্ট) সংগঠন (=পশ্চিম ইউৰোপীয় সংঘ)
ਮੱਝ,বাফ
ਮੱਝ,বাফ
ਮੱਝ-ਕੋਟ,বাফ-কোট
ਮੱਝਾਂ,বাফছ
ਬੁਲੇ (=ਕੌਂਸਲ),বুলে (=পৰিষদ)
ਬਰਗੇਜ,বাৰ্গেজ
ਬਰਗੇਸ,বাৰ্জেছ
ਬਿਜ਼ੰਤੀਨੀ,বাইজেন্টাইন
ਬਿਜ਼ੰਤੀਨੀ ਚਰਚ,বাইজেন্টাইন গীৰ্জা
ਬਿਜ਼ੰਤੀਨੀ ਸਾਮਰਾਜ,বাইজেন্টাইন সাম্ৰাজ্য
ਬਿਜ਼ੰਤੀਨੀ ਯੁੱਗ,বাইজেন্টাইন যুগ
ਬਿਜ਼ੰਤੀਨੀ ਇਤਿਹਾਸਕਾਰ,বাইজেন্টাইন ইতিহাসবিদ
ਕਾਬਲ,কেবাল
ਕੈਸਰਵਾਦ,ছিজাৰীজম
ਖਲੀਫਾ,খলিফা
ਕੈਲੀਗ੍ਰਾਫਰ,কেলিগ্ৰাফাৰ
ਕੈਲੀਗ੍ਰਾਫਿਸਟ,কেলিগ্ৰাফিষ্ট
ਕੈਲੀਗ੍ਰਾਫੀ,কেলিগ্ৰাফী
ਕੈਲਟ੍ਰੋਪ,কেলট্ৰপ
ਦੋਸਤੀ,সতীৰ্থতা
ਕੈਮਰਿਲਾ,কেমাৰিলা
ਕੈਮਰਿਲਾ,কেমাৰিলা
ਕੈਮਲੌਕਮ,কেমেলাকম
ਕੈਮੋਫਲੇਜ,ছদ্মবেশ
ਮੁਹਿੰਮ,অভিযান
ਕੈਂਪ ਫਾਲੋਅਰ,কেম্প অনুগামী
ਕੈਂਪੋ ਸੈਂਟੋ,কেম্পো ছান্টো
ਕੈਂਪਸ ਮਾਰਟੀਅਸ,কেম্পাছ মাৰ্চিয়াছ
ਕੈਨੇਫੋਰਾ,কেনেফোৰা
ਕੈਂਗੂ,কেংগু
ਕੈਨੋਨੇਡ,কেননেড
ਤੋਪ ਚਾਰਾ,কামানৰ ঘাঁহ
ਕੈਨਨ,কেনন
ਕੈਨਨ ਕਾਨੂੰਨ,কেনন আইন
ਕੈਨੋਪਸ ਫ਼ਰਮਾਨ,কেন&#39;পাছৰ ডিক্রী
ਕੈਂਟਿੰਗ ਹਥਿਆਰ,কেনটিং আৰ্মছ
ਬੰਦੀ,বন্দী
ਕੈਪਟਰ,বন্দী
ਕਾਰਡੀਨਲ,কাৰ্ডিনেল
ਕਾਰਲ,কাৰ্ল
ਕੈਰੋਲਿੰਗੀਅਨ ਰਾਜਵੰਸ਼,কেৰ&#39;লিঞ্জিয়ান বংশ
ਕਾਰਥੁਸੀਅਨ ਸੰਪਰਦਾ,কাৰ্থুছিয়ান পন্থা
ਕਾਰਟੋਸਾ,কাৰ্টোছা
ਕੈਸਟਲੀਅਨ,কেষ্টেলিয়ান
ਕੈਸਟਲੀਅਨ,কেষ্টেলিয়ান
ਜਾਤ ਪ੍ਰਣਾਲੀ,জাতি ব্যৱস্থা
ਕਿਲ੍ਹਾ,দুৰ্গ
ਕਿਲ੍ਹਾ,দুৰ্গ
ਕੈਸਲ ਸ਼ਹਿਰ,কেছল টাউন
ਕਾਸਟਰਾ,কাষ্ট্ৰা
ਕਾਸਟਰਾ,কাষ্ট্ৰা
ਕੈਥੇਡਰਾ,কেথেড্ৰা
ਗਿਰਜਾਘਰ,কেথেড্ৰেল
ਕੈਟੋ ਸਟ੍ਰੀਟ ਸਾਜ਼ਿਸ਼,কেটো ষ্ট্ৰীটৰ ষড়যন্ত্ৰ
ਕਾਉਡੀਲੋ,কৌডিলো
ਕੈਵਲੀਅਰ,কেভেলিয়াৰ
ਕੈਵਲੀਅਰ,কেভেলিয়াৰ
ਕੈਵਲੀਅਰ ਸੰਸਦ,কেভেলিয়াৰ সংসদ
ਅਦੁੱਲਮ ਦੀ ਗੁਫਾ,আদুল্লামৰ গুহা
ਗੁਫਾ ਚਿੱਤਰਕਾਰੀ,গুহা চিত্ৰকলা
ਗੁਫਾ ਚਿੱਤਰਕਾਰੀ,গুহা চিত্ৰকলা
ਸੇਂਟਮਵੀਰ,চেণ্টুমভিৰ
ਸੈਂਚੁਰੀਅਨ,চেঞ্চুৰিয়ান
ਸਦੀ,শতিকা
ਚੇਨ ਆਰਮਰ (= ਚੇਨ ਮੇਲ),চেইন আৰ্মৰ (=চেইন মেইল)
ਛੰਤਰੀ,চান্ট্ৰী
ਛੰਤਰੀ,চান্ট্ৰী
ਚੈਪ ਕਿਤਾਬ,চ্যাপ কিতাপ
ਪਾਦਰੀ,চেপলিন
ਅਧਿਆਇ,অধ্যায়
ਹਾਦਸਿਆਂ ਦਾ ਅਧਿਆਇ,দুৰ্ঘটনাৰ অধ্যায়
ਚਾਰਜ,চাৰ্জ
ਚਾਰਜ ਡੀ,চাৰ্জ ডি এফেয়াৰ্ছ
ਚਾਰਜ ਵਿਭਾਜਨ,চাৰ্জ পাৰ্টিং
ਚਾਰਜਰ,চাৰ্জাৰ
ਰੱਥ,ৰথ
ਰੱਥ,ৰথী
ਰੱਥ,ৰথী
ਰੱਥ,ৰথী
ਚੈਰਿਟੀ ਰਸੋਈ,চেৰিটি কিচেন
ਚਾਰਟਰ,চনদ
ਚਾਰਟਿਸਟ ਅੰਦੋਲਨ (=ਚਾਰਟਿਜ਼ਮ),চাৰ্টিষ্ট আন্দোলন (=চাৰ্টিষ্ট)
ਚਾਰਟੋਫਾਈਲੇਸ਼ੀਅਮ,চাৰ্ট’ফাইলেচিয়াম
Chateau,চেট&#39;
ਚੈੱਕ ਪੋਸਟ,পোষ্ট চেক কৰক
ਰਸਾਇਣਕ ਯੁੱਧ,ৰাসায়নিক যুদ্ধ
ਚੈਸਟਰ,চেষ্টাৰ
ਮੁੱਖ,প্ৰধান
ਸਰਦਾਰ,মুখীয়াল
ਸਰਦਾਰ,মুখীয়াল
ਸਰਦਾਰ,মুখীয়াল
ਸ਼ਿਫੋਨ,চিফন
ਸ਼ਿਸ਼ਟਾਚਾਰ,অশ্বাৰোহীতা
ਚੁਣੇ ਹੋਏ ਲੋਕ,নিৰ্বাচিত লোকসকল
ਕ੍ਰਿਸਮੋਗ੍ਰਾਫੀ,ক্ৰীছমোগ্ৰাফী
ਈਸਾਈ-ਜਗਤ,খ্ৰীষ্টান ধৰ্ম
ਈਸਾਈ ਯੁੱਗ,খ্ৰীষ্টান যুগ
ਈਸਾਈ ਸਮਾਜਵਾਦ,খ্ৰীষ্টান সমাজবাদ
ਇਤਹਾਸ,ক্ৰনিকল
ਇਤਿਹਾਸਕਾਰ,ক্ৰনিকলাৰ
Chryse Chersonese,ক্ৰাইজ চেৰ্চোনিজ
ਸਿਮਲੀਅਮ,চিমেলিয়াম
Cinquecento ਸ਼ੈਲੀ,Cinquecento শৈলী
ਸਰਕਮਨੇਵੀਗੇਸ਼ਨ,প্ৰদক্ষিণ
ਸਿਸਟਰਸੀਅਨ ਭਿਕਸ਼ੂ,চিষ্টাৰচিয়ান সন্ন্যাসী
ਕਿਲਾ,দুৰ্গ
ਹਵਾਲਾ,উদ্ধৃতি
ਹਵਾਲਾ,উদ্ধৃতি
ਸਿਵਲ ਅਣਆਗਿਆਕਾਰੀ,নাগৰিক অবাধ্যতা
ਸਿਵਲ ਯੁੱਧ,গৃহযুদ্ধ
ਸਿਵਿਸ ਰੋਮਨਸ,চিভিছ ৰোমানাছ
ਕਲਾਸੀਕਲ ਉਮਰ,ধ্ৰুপদী যুগ
ਕਲੀਫ਼ਟ (=ਕਲੇਫ਼ਟ),ক্লেফ্ট (=klepht)
ਕਲਰਕਵਾਦ,কেৰাণীবাদ
ਕਲਰਚ,ক্লাৰুচ
ਕਲੀਨਿਕ ਅੰਦੋਲਨ,ক্লুনিয়াক আন্দোলন
ਕੋਟ ਸ਼ਸਤ੍ਰ,কোট কৱচ
ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ,কোট অৱ আৰ্মছ
ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ,কোট অৱ আৰ্মছ
ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ,কোট অৱ আৰ্মছ
ਡਾਕ ਦਾ ਕੋਟ,কোট অৱ মেইল
ਸਮੂਹ,কোহৰ্ট
ਕੋਮੀਟੀਆ,কমিটিয়া
Comitia Centuriata,কমিটিয়া চেঞ্চুৰিয়াটা
Comitia Curiata,কমিটিয়া কুৰিয়াটা
ਕੋਮੀਟੀਆ ਟ੍ਰਿਬੂਟਾ,কমিটিয়া ট্ৰিবুটা
ਯਾਦਗਾਰੀ arch,স্মৃতিচাৰণ তোৰণ
ਯਾਦਗਾਰੀ ਸਿੱਕਾ,স্মৃতিচাৰণ মুদ্ৰা
ਯਾਦਗਾਰੀ ਮੋਹਰ,স্মৃতিসৌধ
ਆਮ ਖੇਤਰ,সাধাৰণ ক্ষেত্ৰ
