ab initio,"ആദ്യം മുതല്‍ക്ക്, ആരംഭത്തിലെ"
acquaintance,പരിചയം
acquisition,"പൊന്നുംവിലയ്ക്കെടുക്കൽ, കൈവശപ്പെടുത്തൽ, ആ൪ജിക്കൽ"
acquittance,"അക്വിറ്റ൯സ്, പറ്റുചീട്ട്, രസീത്, മുക്തിപത്രം"
act,"നിയമം, ആക്ട്, പ്രവൃത്തി, പകരം ജോലി നോക്കുക, അഭിനയിക്കുക"
act of God,ദൈവികമായ ആപത്ത്
act of misconduct,"നടപടി ദൂഷ്യം, നടപടിദൂഷ്യമുള്‍ക്കൊണ്ട പ്രവൃത്തി"
acting allowance,"ആക്ടിങ് അലവ൯സ്, പകരപ്പടി"
action,"നടപടി, ക൪മം, ക്രിയ, വ്യവഹാരം, പ്രവ൪ത്തനം"
action plan,പ്രവര്‍ത്തന പദ്ധതി
active,സക്രിയമായ
actively,സക്രിയമായി
activist,"സജീവപ്രവര്‍ത്തകന്‍, ആക്ടിവിസ്റ്റ്"
acts of commission and omission,"കുറ്റം ചെയ്യൽ, കൃത്യലോപം വരുത്തൽ"
actual,"യഥാര്‍ഥമായ, വാസ്തവിക"
actuals,"ആക്ച്വല്സ്, നിജസ്ഥിതിക്കണക്ക്"
ad hoc,"അഡ്ഹോക്ക്, തദ൪ഥം"
ad hoc claim,തദര്‍ അവകാശവാദം
ad hoc committee,"അഡ്ഹോക്ക് കമ്മിറ്റി, തദ൪ഥസമിതി"
ad hoc increase,തദര്‍ഥ വര്‍ധനവ്
ad hoc payment,തദര്‍ഥമായ പണം കൊടുക്കൽ
ad valorem duty,വിലയനുസരിച്ച നികുതി
adaptation,അനുയോജനം
addition,"സങ്കലനം, കൂട്ടൽ, ചേ൪പ്പ്, കൂട്ടിച്ചേ൪ക്കൽ"
addition and alteration,"പരിവര്‍ത്തനവും പരിവര്‍ധനവും, മാറ്റവും കൂട്ടി ച്ചെര്‍ക്കപെടലും"
additional charge,"അധികം, കൂടുതൽ, അതരക്തം ചാ൪സി"
additional fund,കൂടുതൽ നിധി
additional grant,"കൂടുതൽ ഗ്രാന്‍റ്, അധിക ഗ്രാന്‍റ്"
additional information,കൂടുതൽ വിവരം
additional pay,"കൂടുതൽ ശമ്പളം, അധിക ശമ്പളം"
address,"മേൽ വിലാസം, വിലാസം, നിവേദനം, അഭിസംബോധനം, പ്രസംഗം"
address of welcome,സ്വാഗതം പ്രസംഗം
addressee,മേൽ വിലാസക്കാര൯
adequate,"മതിയായ, തക്കതായ, പര്യാപ്തമായ"
adhere to,"അനുവ൪ത്തിക്കുക, ഉറച്ചുനിൽക്കുക"
adjacent,തൊട്ടടുത്ത
adjoining (=contiguous),തൊട്ടിരിക്കുന്ന
adjournment,"അവധിമാറ്റം, മാറ്റിവയ്ക്കൽ, നീട്ടിവയ്ക്കൽ"
adjournment motion,"മാറ്റിവയ്ക്കൽ പ്രമേയം, അടിയന്തിര പ്രമേയം"
adjudge,വിധിക്കുക
adjudicate,"ന്യായനിര്‍ണയം ചെയ്യുക, തീര്‍പ്പാക്കുക"
adjudication,"അഡ്ജുഡിക്കേഷ൯, ന്യായനിര്‍ണയം"
adjudicator,"അഡ്ജുഡിക്കേറ്റര്‍, ന്യായനിര്‍ണായക൯"
adjustment,"നീക്കുപോക്ക്, തട്ടിക്കഴിക്കൽ"
administer,"ഭരിക്കുക, നടത്തുക, കൊടുക്കുക"
administer oath,സത്യവാചകം ചൊല്ലിക്കുക
administration,"ഭരണം, ഭരണനി൪വഹണം, പ്രശാസനം"
administration of justice,"നീതിനി൪വഹണം, ന്യായകരണം, നീതിന്യായഭരണം"
administrative,"ഭരണപരമായ, ഭരണക൪ത്താവിന്‍റേതായ"
administrative action,ഭരണമായ നടപടി
administrative appraisal,ഭരണമായ വിലയിരുത്തൽ
administrative approval,ഭരണാനുമതി
administrative authority,ഭരണാധികാരി
administrative control,ഭരണനിയന്ത്രണം
administrative decision,ഭരണപരമായ തീരുമാനം
administrative department,ഭരണവകുപ്പ്
administrative head,ഭരണത്തലവ൯
administrative headquarters,ഭരണ മുഖ്യാലയം
administrative measures,ഭരണപരമായ നടപടി
administrative power,ഭരണാധികാരങ്ങൾ
administrative sanction,"സ൪ക്കാരനുമതി, ഭരണാനുവാദം"
administrative technique,ഭരണപരമായ ടെക്നിക്ക്
administrative tribunal,ഭരണപരമായ മദ്ധ്യസ്ഥ കോടതി
admissibility,സ്വീകാര്യത
admissible expenditure,സ്വീകാര്യമായ ചെലവുകൾ
admit,"പ്രവേശിപ്പിക്കുക, അനുവദിക്കുക"
admit card,പ്രവേശന പത്രം
admitted,"അനുവദിച്ച, സ്വീകരിച്ച, സമ്മതിച്ച"
admonish,ഭര്‍ത്സിക്കൽ
adoptee,"ദത്തകന്‍, ദത്തെടുക്കപ്പെട്ടവന്‍"
adoption,"സ്വീകാരം, ദത്ത്"
adoptor,"സ്വീകരിക്കുന്നവന്‍, ദത്തെടുക്കുന്നവന്‍"
adult,"വയസ്കന്‍, പ്രായപൂര്‍ത്തിയായ വ്യക്തി"
adult franchise,പ്രായപൂ൪ത്തിവോട്ടവകാശം
adulteration,"മായം, ചേര്‍ക്കുക, കലര്‍പ്പു ചേര്‍ക്കുക"
adultery,"വ്യഭിചാരം, വിശ്വാസലംഘനം"
advance,"അഡ്വാ൯സ്, അച്ചാരം, മു൯കൂ൪, മു൯പണം"
advance booking,മുന്‍കൂ൪ ബുക്കിങ്
advance copy,മു൯കൂ൪ കോപ്പി
advance payment,മുന്‍കൂ൪ പണം കൊടുക്കൽ
advanced increment,"മു൯കൂ൪ ശമ്പളവ൪ധന, അഡ്വാ൯സ് ഇ൯ക്രിമെന്‍റ്"
adverse entry,പ്രതികൂലക്കുറിപ്പ്
adverse remarks,പ്രതികൂലക്കുറിപ്പുകൾ
adverse report,പ്രതികൂല റിപ്പൊര്‍ട്ട്
advertisement,"പരസ്യം, വിജ്ഞാപനം"
advice,ഉപദേശം
advice of payment,പണം കൊടുത്ത വിവരമറിയിപ്പ്
advisory committee,ഉപദേശക സമിതി
advisory council,ഉപദേശക സമിതി
advocate,"അഡ്വക്കേറ്റ്, അഭിഭാഷക൯"
affairs,കാര്യങ്ങൾ
affidavit,"അഫിഡവിറ്റ്, സത്യവാങ്മൂലം"
affiliation,അഫിലിയേഷന്‍
affirmation,"സ്ഥിരീകരണം, സത്യവാചകം"
affirmative,സ്വീകരണക്കരാര്‍
afford,ആശ്വാസം
aforesaid,"മേല്‍പ്പറഞ്ഞ, മുന്‍പറഞ്ഞ"
afresh,പുതുതായി
against,"വിരുദ്ധമായി, പകരമായി"
age,"വയസ്സ്, പ്രായം"
age certificate,പ്രായ പ്രമാണപത്രം
age for suffrage,"വോട്ടവകാശപ്രായം, വോട്ടവകാശ വയസ്സ്"
age limit,പ്രായ പരിധി
age of retirement,റിട്ടയര്‍മെന്‍റ് വയസ്സ്
age of superannuation,സേവന വിരാമ വയസ്സ്
agency,ഏജന്‍സി
agenda,"അജണ്ട‍, കാര്യപരിപാടി, കാര്യക്രമം"
aggregation,സമാഹാരം
aggrieved,"പീഡിതം, അസന്തുഷ്ടം, സങ്കടമുള്ള"
agitation,പ്രക്ഷോഭണം
AGM (annual general meeting),വാര്‍ഷിക പൊതുയോഗം
agreement,"കരാര്‍, സമ്മതം, ഉടമ്പടി"
agreement form,സമ്മതപത്രം
agriculture,കൃഷി
agro-industry,കാര്‍ഷിക വ്യവസായം
aid,സഹായം
alarm,"അലാറം, ആപല്‍സൂചന"
alertness,ജാഗരൂകത
alias,"മറുപേര്‍, ഉപനാമം"
all inclusive cost,മൊത്ത അടക്ക വില
All India Services,"അഖിലേന്ത്യാ റേഡിയോ, ആകാശവാണി"
all rights reserved,സര്‍വാധികാരം സുരക്ഷിതം
allegation,ആരോപണം
allegiance,കൂറ്
alliance,"സഖ്യം, ബന്ധം"
allied services,ബന്ധപ്പെട്ട സേവനങ്ങൾ
allocation,"നിയതനം, നിര്‍ധാരണം"
allotment,"നീക്കിവയ്ക്കൽ, അനുവദിച്ച തുക, ഓഹരി"
allotment letter,നീക്കിവയ്ക്കൽ കത്ത്
allottee,"ഓഹരിക്കാരന്‍, ഗ്രാഹകന്‍"
allow an appeal,അപ്പിൽ അനുവദിക്കുക
allowable,"സ്വീകാദ്യമായ, അനുവദിക്കത്തക്കതായ"
allowable expenses,സ്വീകാര്യമായ ചെലവുകൾ
allowance,"അലവന്‍സ്, പടി, ബത്ത"
alphabetic order,"അകാരാദിക്രമം, അക്ഷരമാലാക്രമം"
altercation,"പരിവര്‍ത്തനം, മാറ്റം വരുത്തൽ"
alternate,"ഒന്നിടവിട്ട, ബദൽ, വികല്‍പ്പം"
alternative,"ഒന്നിടവിട്ട, ബദൽ, വികല്‍പ്പം"
amalgamation,"സംയോഗം, ഏകീകരണം"
amended draft,"ഭേദഗതി ചെയ്ത കരട്, നക്കൽ"
amendment,ഭേദഗതി
amenity,"സുഖാവസ്ഥ, സുഖസാപചദ്യം"
amicable,"മൈത്രീപൂര്‍ണമായ, സൌഹാര്ദപരമായ"
ammunition,വെടിക്കോപ്പ്
amortization of debt,ഋണ മോചനം
amount,"സംഖ്യ, തുക"
amount of pension,പെ൯ഷ൯ തുക
analogous post,സദൃശമായ തസ്തിക
analysis,"അപഗ്രഥനം, വിശ്ലേഷണം, വിശകലനം"
analytical study,വിശ്ലേഷണപരമായ പഠനം
ancestor,പൂര്‍വിക൯
ancillary industry,അനുഷംഗിക വ്യവസായം
animosity,"അതിവിരോധം, കഠിന വിദ്വേഷം"
annexure,അനുബന്ധം
anniversary,വര്‍ഷംതോറുമുള്ള
announcement,"പ്രഖ്യാപനം, അറിയിപ്പ്"
annoyance,"ദ്രോഹം, ഉപദ്രവം"
annual financial statement,"വാര്‍ഷികധന വിവരപ്പത്രിക, ബജറ്റ്"
annual report,വാര്‍ഷിക റിപ്പോര്‍ട്ട്
annuity,"വര്‍ഷാശനം, വാര്‍ഷികവേതനം"
anonymous,"പേരറിയാത്ത, പേര് വയ്ക്കാത്ത"
anonymous complaint,പേര് വയ്ക്കാത്ത പരാതി
answer sheet,ഉത്തരക്കടലാസ്
answerability,ഉത്തരവാദം
antagonist,"പ്രതിരോധി, എതിരാളി"
antecedents,പൂര്‍വചരിത്രം
anti-corruption measure,അഴിമതി നിരോധ നടപടി
anti-dumping,വെറുതെ തള്ളിയിടുന്നതിന് എതിരായി
anticipated expenditure,പ്രതീക്ഷിതവ്യയം
anticipated income,പ്രതീക്ഷിത വരവ്
anticipation,"പ്രത്യാശ, പൂര്‍വജ്ഞാനം"
anticipatory bail,പ്രത്യാശിത ജാമ്യം
antique,പുതാവസ്തു
apartheid,വര്‍ണ വിപേചനം
apathy,ഉദാസീനത
apex body,"അറ്റം, ശീര്‍ഷം"
apology,ക്ഷമായാചനം
appeal,"അപ്പീൽ, അഭ്യര്‍ഥന"
appearance,ഹാജരാകൽ
appeasement,പ്രീണനം
appellate tribunal,"അപ്പലേറ്റ് ട്രിബ്യൂണൽ, അപ്പീൽ മദ്ധ്യസ്ഥ കോടതി"
appendix,"അനുബന്ധം, പരിശിഷ്ടം"
appliance,"ഉപകരണം, യന്ത്രം"
applicable,ബാധകമായ
applicant,അപേക്ഷക൯
application,അപേക്ഷ
application form,അപേക്ഷാഫോറം
applied,അപേക്ഷിച്ച
apply,അപേക്ഷിക്കുക
appointee,നിയമിതന്‍
appointing authority,നിയമനാധികാരി
appointment,നിയമനം
appointment letter,നിയമന കത്ത്
Appointments Committee of the Cabinet,മന്ത്രിസഭയുടെ നിയമന സമിതി
apportionment of wages,വേതനം വിഭജിക്കൽ
appraisal,അവലോകനം
appraiser,"വിലമതിക്കുന്ന ആൾ, മൂല്യനിരൂപകന്‍"
appreciation,"വിലക്കയറ്റം, അഭിനന്ദനം"
apprehension,"ഭയം, ആശങ്ക"
apprentice,"അപ്രന്‍റീസ്, പരിശീലനാര്‍ഥി"
approach,"സമീപനം, പ്രവേശം"
appropriate,"യുക്തം, ഉചിതം, വിനിയോജനം, ചെയ്യുക"
appropriate action,ഉചിതമായ നടപടി
appropriate head,വിനിയോഗ ശീര്‍ഷകം
appropriation,"വിനിയോജനം, നീക്കിവയ്ക്കൽ, സ്വന്തമാക്കൽ, വശപ്പെടുത്തൽ"
approval,"അംഗീകാരം, സ്വീകരിക്കുക"
approximate,സുമാര്‍വില
aptitude test,അഭിരുചി പരീക്ഷ
arbitrary,"നിയമബദ്ധമല്ലാത്ത, സ്വേച്ഛാപരമായ"
arbitrate,മാധ്യസ്ഥം ചെയ്യുക
arbitration,"ആര്‍ബിട്രേഷന്‍, മധ്യസ്ഥതീര്‍പ്പ്, മാധ്യസ്ഥ്യം"
arbitration tribunal,മാധ്യസ്ഥ ട്രിബ്യൂണൽ
arbitrator,"ആര്‍ബിട്രേറ്റര്‍, മധ്യസ്ഥന്‍"
architecture,"വാസ്തുവിദ്യ, സ്ഥാപന്യം"
archives,"ആര്‍ക്കൈവ്സ്, പുരാരേഖശാല"
area,"ക്ഷേത്രഫലം, പ്രദേശം, വിസ്താരം"
area headquarter,ഏരിയാ മുഖ്യാലയം
argument,വാദം
arise,"ഉദ്ഭവിക്കുക, എഴുന്നേല്‍ക്കുക"
armed forces,സായുധ സേന
arrangement,"ഏര്‍പ്പാട്, ക്രമം, വിന്യാസം, വ്യവസ്ഥ"
arrear,കുടിശ്ശിഖ
arrear statement,കുടിശ്ശിഖ വിവരണം
arrival report,ആഗമന റിപ്പോര്‍ട്ട്
arrogance,"ധിക്കാരം, ദുരഹങ്കാരം"
arsenal,ആയുധശാല
article,"വകുപ്പ്, വസ്തു, സാധനം"
articles,"വ്യവസ്ഥകൾ, നിയമാവലികൾ"
articles of association,സംഘനിയമാവലി
as is where is,എങ്ങനെയിരിക്കുന്നുവോ അതു പോലെ
ascending order,ആരോഹണക്രമം
ascertain,"നിശ്ചയം വരുത്തുക, തിട്ടപ്പെടുത്തുക"
aspect,"അവസ്ഥ, വശം, വീക്ഷണം"
aspersion,ലാഞ്ചന
assassination,"ഒളിക്കൊല, കൊല"
assault,"അടികലശൽ, ആക്രമണം"
assemble,സമ്മേളിക്കുക
assembly,"അസംബ്ലി, സഭ, സമ്മേളനം"
assent,അനുമതി
assert,ഉറപ്പിച്ചു പറയുക
assessee,"നികുതിബദ്ധന്‍, കരദായകന്‍, നികുതിദായകന്‍"
assessment,"അസസ്സ്മെന്‍റ്, നികുതിചുമത്തൽ"
assessment year,അസസ്സ്മെന്‍റ്റ് വര്‍ഷം
assessor,"അസസ്സര്‍, കരം ചുമത്തുന്നുവന്‍"
assets,"ആസ്തി, മുതല്‍കൂട്ട്"
assignee,"അസൈനി, പ്രതിനിധി"
assignment,"തീറാധാരം, ഏല്‍പ്പിച്ചുകൊടുക്കൽ, നിയമിക്കൽ"
assignor,"നിയോജകന്‍, തീറുകൊടുക്കുന്നവന്‍"
assistance,സഹായം
associate,"അസോഷിയേറ്റ്, സമ്മിളനം ചെയ്യുക"
association,"സങ്കല്‍പ്പം, ഗ്രഹണം, ഏറ്റെടുക്കൽ"
assumption of charge,"സങ്കല്‍പ്പം, ഗ്രഹണം, ഏറ്റെടുക്കൽ, ചാര്‍ജെടുക്കൽ"
assurance,"അഷ്വറന്‍ഡ്, ഉറപ്പ്, കൈമാറ്റപത്രം, വാഗ്ദാനം"
assurance company,അഷ്വറന്‍സ് കമ്പനി
assure,ഉറപ്പുനല്‍കുക
at discount,ഇളവോടുകൂടി
at par,"അസ്സൽ വില, സമമൂല്യം"
at premium,"വര്‍ധിത മൂല്യത്തിൽ, പ്രീമിയത്തിൽ"
atomic power,"അണുശക്തി, പരമാണുശക്തി"
attach,"ചേര്‍ക്കുക, ജപ്തിചെയ്യുക"
attached office,സംലഗ്ന കാര്യാലയം
attachment,ജപ്തി
attachment order,ജപ്തി ഉത്തരവ്
attainment,"പ്രാപിക്കൽ, നേട്ടം"
attempt,"ശ്രമം, ശ്രമിക്കുക"
attendance,"ഹാജര്‍, ഹാജരാകൽ"
attendance register,ഹാജര്‍ രജിസറ്റര്‍
attendance slip,ഹാജര്‍ സ്ലിപ്
attention,"ശ്രദ്ധ, ഏകാഗ്രത, ജാഗ്രത"
attestation,സാക്ഷ്യപ്പെടുത്തൽ
attested copy,അടയാളസഹിതം പകര്‍പ്പ്
attitude,മനോഭാവം
attractive salary,ആകര്‍ഷകമായ ശമ്പളം
auction,ലേലം
auction sale,ലേലവില്പന
auctioneer,ലേലക്കാരന്‍
audience,"ശൃോതാക്കൾ, കാന്നികൾ, ദര്ശകര്‍"
audio-visual display,ദൃശ്യ-ശൃവ്യ പ്രദര്‍ശനം
audio-visual publicity,ദൃശ്യ-ശൃവ്യ പ്രചരണം
audit,"ആഡിറ്റ്, കണക്കു പരിശോധന"
audit objection,"ആഡിറ്റ് ഒബ്ജക്ഷന്‍, ആഡിറ്റ് തടസ്സം"
audit paragraph,ആഡിറ്റ് ഖണ്ഡിക
audit report,ആഡിറ്റ് റിപ്പോര്‍ട്ട്
audited accounts,ആഡിറ്റു ചെയ്ത കണക്ക്
audited balance sheet,ആഡിറ്റു ചെയ്ത ബാലന്‍സ് ഷീറ്റ്
auditing,"കണക്കു പരിശോധനചെയ്യൽ, ആഡിറ്റിങ്"
auditor's report,ആഡിറ്ററുടെ റിപ്പോര്‍ട്ട്
auditorium,"ആഡിറ്റോറിയം, സഭാശാല"
austerity,"സുഖസൌകര്യങ്ങളെ ത്യജിക്കൽ, എളിമ, മിറതാചദോഗം"
austerity measures,മിതവ്യയ നടപടികൾ
authentic,പ്രാമാണികമായ
authorised representative,അധികാരിക പ്രതിപുരുഷ൯
authoritative,ആധികാരികമായ
authority,"അധികാരി, അധികാരികൾ"
authority letter,അധികൃതമായ
authorized,പ്രാധികൃതമായ
authorized capital,പ്രാധികൃതമായ
automatic,സ്വയംപ്രവര്‍ത്തക
autonomous,"ആട്ടോണമസ്, സ്വയംഭരണാധികാരമുള്ള"
autonomous body,സ്വയം ഭരണാധികാരമുള്ള നികായം
autonomy,സ്വയം ഭരണാധികാരം
auxiliary,"സഹായകം, അതിരിക്തം"
available,ലഭ്യമായ
average,ശരാശരി
average leave,"ശരാശരി അവധി, ആവറേജ് ലീവ്"
aversion,വിതൃഷ്ണ
avert,"ഒഴിവാക്കുക, വിലക്കുക, തടുക്കുക"
avoid,"വര്‍ജിക്കുക, പരിഹരിക്കുക"
avoidance of tax,നികുതി അടയ്ക്കാതെ ഒഴിവാക്കുക
awaited,"പ്രതീക്ഷിക്കുന്നു, പ്രതീക്ഷിതമായ"
award,"അവാര്‍ഡ്, അധിനിര്‍ണയം, തീര്‍പ്പ്, സമ്മാനം, വിധി"
awarding authority,അധിനിര്‍ണയം നല്‍കുന്ന അധികാരി
awareness,"ജാഗരൂകത, അവബോധം"
back log,"മുന്‍ബാക്കി, ജോലിയുടെ കുടിശ്ശിഖ"
back out,പിന്‍മാറുക
back reference,മുന്‍ പരാമര്‍ശം
back up,പിന്‍താങ്ങുക
backdated,മുന്‍ തീയതിയിട്ട
background,പശ്ചാത്തലം
backward classes,"പിന്നോക്കവര്‍ഗങ്ങൾ, പിന്നോക്ക വിഭാഗങ്ങൾ"
backward tribe,പിന്നോക്ക ഗോത്രവര്‍ഗക്കാര്‍
bad bargain,"ലാഭകരമല്ലാത്ത ഇടപാട്, നഷ്ട ഇടപാട്"
bad behaviour,ചീത്ത പെരുമാറ്റം
bad character,"ദുശ്ശീലം, ദുസ്സ്വഭാവം"
bad climate allowance,പ്രതികൂല കാലാവസ്ഥ ബത്ത
bad conduct,"ദുരാചരണം, ദുര്‍നടപ്പ്"
bad debt,കിട്ടാക്കടം
baggage,"ഭാണ്ഡം, സാമാനം"
bail,ജാമ്യം
balance,"ബാകി, ത്രാസ്സ്, തുല്യനില, സംതുലനം"
balance brought down,അടുത്ത തിയതി ചിലവിലേക്ക് മാറ്റിയബാക്കി
balance brought forward,എടുത്തെഴുതിയ ബാക്കി
balance sheet,"ബാലന്‍സ്ഷീറ്റ്, ബാക്കിപത്രം"
balanced budget,"സമീകൃത ബജറ്റ്, സംതുലിത ബജറ്റ്"
ballot,ബാലറ്റ്
ballot box,ബാലറ്റ് പെട്ടി
ballot paper,ബാലറ്റുപേപ്പര്‍
ban,"നിരോധം, ബഹിഷകരിക്കുക, പുറംതള്ളുക"
bank,ബാങ്ക്
bank account,"ബാങ്ക് കണക്ക്, ബാങ്ക് അക്കൌണ്ട‍്"
bank balance,ബാങ്ക് ബാലന്‍സ്
bank charges,ബാങ്ക് ചാര്‍ജ്
bank guarantee,ബാങ്ക് ഗാരന്‍റി
bank holiday,ബാങ്ക് അവധി
bank rate,ബാങ്ക് നിരക്ക്
bank reconciliation,ബാങ്ക് ഒത്തുതീര്‍പ്പ്
bank security,"ബാങ്ക് സെക്യൂരിറ്റി, ബാങ്ക്"
bank statement,"ബാങ്ക് സ്റ്റേറ്റ്മെന്‍റ്, ബാങ്ക് വിവരണം"
banking facility,ബാങ്കിടപാടിനുള്ള സൌകര്യം
banking hours,ബാങ്ക് പ്രവൃത്തിക്കുന്ന സമയം
banking transaction,ബാങ്കിടപാട്
bankrupt,"പാപ്പരത്തം, ദീപാളിത്തം"
banquet,വിരുന്ന്
bar council,ബാര്‍ കൌണ്‍സിൽ
bargain,"ഇടപാട്, കരാര്‍, വിലപേശുക"
bargaining,വിലപേശൽ
barren land,"ഊഷരഭൂമി, കൈമാറ്റംചെയ്ക"
barter,"മാറ്റക്കച്ചവടം, കൈമാറ്റംചെയ്ക"
base,"അടിസ്ഥാനം, ആസ്ഥാനം"
base year,"അടിസ്ഥാന വര്‍ഷം, ആധാരവര്‍ഷം"
baseless,അടിസ്ഥാന രഹിതമായ
basement,"അടിസ്ഥാനം, അടിക്കെട്ട്"
basic,"ആധാരമായ, അടിസ്ഥാനപരമായ"
basic intelligence,അടസ്ഥാനപരമായ വിവേകം
basic pay,അടിസ്ഥാനശമ്പളം
basic scale of pay,അടിസ്ഥാന ശമ്പളസ്കെയിൽ
basic training,അടിസ്ഥാന പരിശീലനം
basically,അടിസ്ഥാനപരമായി
basis,"അടിസ്ഥാനം, അസ്തിവാരം, ആധാരം"
batch,"ബാച്ച്, സംഘം, കൂട്ടം"
batch number,ബാച്ച് നമ്പ൪
bearer cheque,ബെയറര്‍ ചെക്ക്
before cited,മുന്‍പറഞ്ഞ
behaviour,"പെരുമാറ്റം, നല്ല നടപ്പ്"
belief,വിശ്വാസം
below par,അസ്സല്‍വിലയില്‍കുറഞ്ഞ
bench,ബഞ്ചുക്ലാര്‍ക്ക്
benchmark,ബഞ്ചുമാര്ക്ക്
beneficial,"പ്രയോജനപ്രദം, ഗുണകരമായ"
beneficiary,ഗുണാനുഭോക്താവ്
benefit,"ഗുണം, ആനുകൂല്യം, ഹിതം"
benefit of doubt,"സന്ദേഹാനുകൂല്യം, സംശയാനുകൂല്യം"
benevolence,"ദയാശീലം, ഉദാരമനസ്കത"
benevolent fund,ദാതവ്യനിധി
