Malayalam,Punjabi
പിന്നിലെ ഗട്ടർ,ਪਿਛਲਾ ਗਟਰ
പിന്നിലെ അടുപ്പ്,ਪਿਛਲਾ ਚੁੱਲ੍ਹਾ
പിന്തുണ,ਬੈਕਿੰਗ
ബാക്കിംഗ് ബോർഡ്,ਬੈਕਿੰਗ ਬੋਰਡ
പിന്നിലെ മർദ്ദം,ਪਿੱਠ ਦਾ ਦਬਾਅ
ബാക്ക് പ്രോപ്പ്,ਬੈਕ ਪ੍ਰੋਪ
പിന്നാമ്പുറ കാഴ്ച,ਪਿੱਛੇ ਦੀ ਨਜ਼ਰ
പിൻ വെള്ളം,ਵਾਪਸ ਪਾਣੀ
തടസ്സപ്പെടുത്തുക,ਘਬਰਾਹਟ
ബാഗ് വർക്ക്,ਬੈਗਵਰਕ
ബാലസ്റ്റ്,ਬੈਲਸਟ
പന്ത് കളിമണ്ണ്,ਬਾਲ ਮਿੱਟੀ
ബോൾ കോൺ ക്ലാമ്പ്,ਬਾਲ ਕੋਨ ਕਲੈਂਪ
മുള്ളുകമ്പി,ਕੰਡਿਆਲੀ ਤਾਰ
ബാർ നായ,ਬਾਰ ਕੁੱਤਾ
ബാർജ് ബോർഡ്,ਬਾਰਜ ਬੋਰਡ
ബേരിയം സൾഫേറ്റ് പരിശോധന,ਬੇਰੀਅਮ ਸਲਫੇਟ ਟੈਸਟ
തടയണ,ਬੈਰਾਜ
ബാരറ്റ്,ਬੈਰੇਟ
അടിസ്ഥാനം,ਅਧਾਰ
അടിസ്ഥാന കൈമാറ്റം,ਬੇਸ ਐਕਸਚੇਂਜ
അടിസ്ഥാന ലൈൻ,ਬੇਸ ਲਾਈਨ
നിലവറ,ਬੇਸਮੈਂਟ
ബേസ്മെൻറ് മതിൽ,ਬੇਸਮੈਂਟ ਦੀ ਕੰਧ
അടിസ്ഥാന പ്ലേറ്റ്,ਬੇਸ ਪਲੇਟ
"അടിസ്ഥാന പ്ലേറ്റ്, ക്രമീകരിക്കാവുന്ന","ਬੇਸ ਪਲੇਟ, ਅਨੁਕੂਲ"
അടിസ്ഥാന സാച്ചുറേഷൻ,ਬੇਸ ਸੰਤ੍ਰਿਪਤਾ
ബസോയ്ഡ്,ਬੇਸੌਇਡ
ബാറ്റ്,ਬੱਲਾ
ബാത്ത് ആൻഡ് ഡബ്ല്യുസി,ਇਸ਼ਨਾਨ ਅਤੇ ਡਬਲਯੂ.ਸੀ
ബാറ്റർ കുറ്റി,ਬੈਟਰ ਪੈਗ
ബാറ്റർ പിയർ,ਬੈਟਰ ਪੀਅਰ
ബാറ്റർ ഭരണം,ਬੈਟਰ ਨਿਯਮ
ബോൾക്ക് (ബാക്ക്),ਬਾਲਕ (ਬਾਲਕ)
ബേ,ਬੇ
ചുമക്കുന്നയാൾ,ਧਾਰਕ
വഹിക്കാനുള്ള ശേഷി,ਬੇਅਰਿੰਗ ਸਮਰੱਥਾ
ബെയറിംഗ് പൈൽ,ਬੇਅਰਿੰਗ ਪਾਇਲ
ബെയറിംഗ് സ്ട്രാറ്റം,ਬੇਅਰਿੰਗ ਸਟ੍ਰੈਟਮ
കിടക്ക,ਬਿਸਤਰਾ
ബെഡ്ഡിംഗ് വിമാനം,ਬਿਸਤਰੇ ਦਾ ਜਹਾਜ਼
കിടക്ക ജോയിന്റ്,ਬਿਸਤਰਾ ਜੋੜ
കിടക്ക പാറ,ਬੈੱਡ ਰੌਕ
കിടപ്പുമുറി,ਬੈੱਡ ਰੂਮ
തേനീച്ചമെഴുകിൽ,ਮੋਮ
മണി പെട്ടി,ਘੰਟੀ ਬਾਕਸ
ബെല്ലിംഗ് ബക്കറ്റ്,ਘੰਟੀ ਵਾਲੀ ਬਾਲਟੀ
ബെല്ലോഫ്രം,ਬੇਲੋਫ੍ਰਾਮ
ബെഞ്ച് ചെയ്ത അടിത്തറ,ਬੈਂਚਡ ਫਾਊਂਡੇਸ਼ਨ
ബെഞ്ചിംഗ്,ਬੈਂਚਿੰਗ
ബെഞ്ച് മാർക്ക്,ਬੇਂਚਮਾਰਕ
ആനുകൂല്യ ചെലവ് വിശകലനം,ਲਾਭ ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ
ബെർം,ਬਰਮ
ബെവൽഡ് ക്ലോഷർ,Bevelled ਬੰਦ
"ബി-ചക്രവാളം,&quot;ബി-","ਬੀ-ਹੋਰੀਜ਼ਨ,&quot;ਬੀ-"
ബിയാറ്റ്,ਬਾਇਟ
ബൈൻഡർ,ਬਿੰਦਰ
ബൈൻഡിംഗ് മെറ്റീരിയൽ,ਬਾਈਡਿੰਗ ਸਮੱਗਰੀ
ബയോട്ടിന്റെ സിദ്ധാന്തം,ਬਾਇਓਟ ਦਾ ਸਿਧਾਂਤ
ബിറ്റുമെൻ,ਬਿਟੂਮਨ
കറുത്ത പരുത്തി മണ്ണ്,ਕਾਲੀ ਕਪਾਹ ਦੀ ਮਿੱਟੀ
കറുത്ത ഭൂമി,ਕਾਲੀ ਧਰਤੀ
കറുത്ത ടർഫ് മണ്ണ്,ਕਾਲੀ ਮੈਦਾਨ ਵਾਲੀ ਮਿੱਟੀ
ബ്ലേഡ്,ਬਲੇਡ
ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ് സിമന്റ്,ਬਲਾਸਟ ਫਰਨੇਸ ਸਲੈਗ ਸੀਮਿੰਟ
ബ്ലോക്കി ഘടന,ਬਲਾਕੀ ਬਣਤਰ
ബോഗി പ്രതിരോധം,ਬੋਗੀ ਪ੍ਰਤੀਰੋਧ
ബോഗ്-ഇരുമ്പ് അയിര്,ਬੋਗ-ਲੋਹੇ ਦਾ ਧਾਤ
ബോണ്ട്,ਬਾਂਡ
ബന്ധിത അംഗം,ਬੰਧੂਆ ਮੈਂਬਰ
ബോണ്ടഡ് പോസ്റ്റ് ടെൻഷനിംഗ്,ਬੰਧੂਆ ਪੋਸਟ ਤਣਾਅ
ബോണ്ട് കല്ല്,ਬੰਧਨ ਪੱਥਰ
കെട്ടിയ വെള്ളം,ਬੰਨ੍ਹ ਪਾਣੀ
ബോക്സ് ഗട്ടർ,ਬਾਕਸ ਗਟਰ
ബ്രേസ്,ਬ੍ਰੇਸ
ബ്രിക്ക്-ഓൺ-എഡ്ജ്,ਇੱਟ-ਤੇ-ਕਿਨਾਰੇ
കടിഞ്ഞാൺ,ਲਗਾਮ
തെളിച്ചം,ਚਮਕ
തവിട്ട് മണ്ണ്,ਭੂਰੀ ਮਿੱਟੀ
കെട്ടിടം,ਬਿਲਡਿੰਗ
ബിൽഡിംഗ് സർവേയർ,ਬਿਲਡਿੰਗ ਸਰਵੇਅਰ
ബഫർ,ਬਫਰ
ബഫർ കർവ്,ਬਫਰ ਕਰਵ
ബഫറിംഗ്,ਬਫਰਿੰਗ
ബഫറിംഗ് ശേഷി,ਬਫਰਿੰਗ ਸਮਰੱਥਾ
ബണ്ടർ,ਬੰਦਰ
ബട്രസ്,ਬਟਰਸ
സി-ചക്രവാളം,ਸੀ-ਹੋਰੀਜ਼ਨ
കേബിൾ,ਕੇਬਲ
കേബിൾ മോൾഡിംഗ്,ਕੇਬਲ ਮੋਲਡਿੰਗ
കേബിളിംഗ്,ਕੇਬਲਿੰਗ
ചെറിയമുറി,ਕੈਬਿਨ
ക്യാബിൻ ഹുക്ക്,ਕੈਬਿਨ ਹੁੱਕ
കാബിനറ്റ്,ਕੈਬਨਿਟ
കാബോൾട്ട് ഉപേക്ഷിച്ചു,ਕੈਬੋਲਟ ਨੇ ਛੱਡ ਦਿੱਤਾ
കഫറ്റീരിയ,ਕੈਫੇਟੇਰੀਆ
കൂട്ടിൽ,ਪਿੰਜਰਾ
കൂട് നിർമ്മാണം,ਪਿੰਜਰੇ ਦੀ ਉਸਾਰੀ
കയീൻ ഫോർമുല,ਕੈਨ ਦਾ ਫਾਰਮੂਲਾ
കൈസൺ,ਕੈਸਨ
കെയ്സൺ രോഗം,ਕੈਸਨ ਦੀ ਬਿਮਾਰੀ
കൈസൺ ഫൗണ്ടേഷൻ,ਕੈਸਨ ਫਾਊਂਡੇਸ਼ਨ
കൈസൺ ചിത,ਕੈਸਨ ਢੇਰ
കാൽക്കറിയസ് ഇഷ്ടിക,ਕੈਲੇਰੀਅਸ ਇੱਟ
സുഷിരമുള്ള കളിമണ്ണ്,ਚੂਨੇ ਵਾਲੀ ਮਿੱਟੀ
സുഷിരമുള്ള പുറംതോട്,ਛਾਲੇਦਾਰ ਛਾਲੇ
കാൽസിഫിക്കേഷൻ,ਕੈਲਸੀਫਿਕੇਸ਼ਨ
കാൽസിനേഷൻ,ਕੈਲਸੀਨੇਸ਼ਨ
കാൽസൈൻ,ਕੈਲਸੀਨ
കാൽസൈറ്റ്,ਕੈਲਸਾਈਟ
കാൽസ്യം-അലുമിനേറ്റ് സിമന്റ്,ਕੈਲਸ਼ੀਅਮ-ਐਲੂਮੀਨੇਟ ਸੀਮਿੰਟ
കാൽസ്യം-സിലിക്കേറ്റ് ഇഷ്ടിക,ਕੈਲਸ਼ੀਅਮ-ਸਿਲੀਕੇਟ ਇੱਟ
കാൽസ്യം-സിലിക്കേറ്റ് ഹൈഡ്രേറ്റ്,ਕੈਲਸ਼ੀਅਮ-ਸਿਲੀਕੇਟ ਹਾਈਡਰੇਟ
കാലിച്ചെ,ਕੈਲੀਚੇ
കാലിഫോർണിയ ബെയറിംഗ് റേഷ്യോ,ਕੈਲੀਫੋਰਨੀਆ ਬੇਅਰਿੰਗ ਅਨੁਪਾਤ
കാലിപ്പർ,ਕੈਲੀਪਰ
കലോറിമീറ്റർ,ਕੈਲੋਰੀਮੀਟਰ
കാംബർ,ਕੈਮਬਰ
കനാൽ,ਨਹਿਰ
മേലാപ്പ്,ਕੈਨੋਪੀ
കാന്റിലിവർ ഫൂട്ടിംഗ്,Cantilever ਪੈਰ
തൊപ്പി,ਕੈਪ
ശേഷി,ਸਮਰੱਥਾ
എയിൽ ട്രാക്കിന്റെ ശേഷി,ਏਲ ਟ੍ਰੈਕ ਦੀ ਸਮਰੱਥਾ
തൊപ്പി കേബിൾ,ਕੈਪ ਕੇਬਲ
കാപ്പിലാരിറ്റി,ਕੈਪੀਲੇਰਿਟੀ
കാപ്പിലറി ബ്രേക്ക്,ਕੇਸ਼ਿਕਾ ਬਰੇਕ
കാപ്പിലറി ഒഴുക്ക്,ਕੇਸ਼ੀਲ ਪ੍ਰਵਾਹ
കാപ്പിലറി ഈർപ്പം അല്ലെങ്കിൽ കാപ്പിലറി വെള്ളം,ਕੇਸ਼ਿਕਾ ਨਮੀ ਜਾਂ ਕੇਸ਼ੀਲ ਪਾਣੀ
കാപ്പിലറി പോർ സ്പേസ്,ਕੇਸ਼ਿਕਾ ਪੋਰ ਸਪੇਸ
കാപ്പിലറി പൊറോസിറ്റി,ਕੇਸ਼ਿਕਾ ਪੋਰੋਸਿਟੀ
കാപ്പിലറി സ്പേസ്,ਕੇਸ਼ੀਲ ਸਪੇਸ
ക്യാപ്‌ചർ വേഗത,ਵੇਗ ਕੈਪਚਰ ਕਰੋ
കാർബണേഷൻ,ਕਾਰਬਨੇਸ਼ਨ
കാർബൺ കറുപ്പ്,ਕਾਰਬਨ ਕਾਲਾ
കാസ്റ്റ്ബിൾ റിഫ്രാക്റ്ററി,ਕਾਸਟਬਲ ਰਿਫ੍ਰੈਕਟਰੀ
കാസ്റ്റ്-ഇൻ-പ്ലേസ് അല്ലെങ്കിൽ കാസ്റ്റ്-ഇൻ-സിറ്റു,ਕਾਸਟ-ਇਨ-ਪਲੇਸ ਜਾਂ ਕਾਸਟ-ਇਨ-ਸੀਟੂ
കാസ്റ്റ്-ഇൻ-പ്ലേസ് പൈൽ,ਕਾਸਟ-ਇਨ-ਪਲੇਸ ਢੇਰ
ജാതി,ਕੈਸਟਰ
എറിയുന്ന കല്ല്,ਪੱਥਰ ਸੁੱਟੋ
കാറ്റലിസ്റ്റ്,ਉਤਪ੍ਰੇਰਕ
കാറ്റെന,ਕੈਟੇਨਾ
പൂച്ച മുഖം,ਬਿੱਲੀ ਦਾ ਚਿਹਰਾ
പൂച്ചയുടെ തല,ਬਿੱਲੀ ਦਾ ਸਿਰ
കാറ്റേഷൻ,ਕੈਸ਼ਨ
പൂച്ച നടത്തം,ਬਿੱਲੀ ਵਾਕ
കാവിറ്റേഷൻ കേടുപാടുകൾ,Cavitation ਨੁਕਸਾਨ
സെലൈറ്റ്,ਸੇਲੀਟ
സെല്ലുലാർ കോൺക്രീറ്റ്,ਸੈਲੂਲਰ ਕੰਕਰੀਟ
സെല്ലുലാർ നിർമ്മാണം,ਸੈਲੂਲਰ ਉਸਾਰੀ
സിമന്റ്,ਸੀਮਿੰਟ
"സിമന്റ്, ബിറ്റുമിനസ്","ਸੀਮਿੰਟ, ਬਿਟੂਮਿਨਸ"
"സിമന്റ്, ഉയർന്ന ശക്തി","ਸੀਮਿੰਟ, ਉੱਚ ਤਾਕਤ"
"സിമന്റ്, ഹൈഡ്രോളിക്","ਸੀਮਿੰਟ, ਹਾਈਡ੍ਰੌਲਿਕ"
"സിമന്റ്, കുറഞ്ഞ ചൂട്","ਸੀਮਿੰਟ, ਘੱਟ ਗਰਮੀ"
"സിമന്റ്, കൊത്തുപണി","ਸੀਮਿੰਟ, ਚਿਣਾਈ"
"സിമന്റ്, പ്രകൃതി","ਸੀਮਿੰਟ, ਕੁਦਰਤੀ"
"സിമന്റ്, പോർട്ട്ലാൻഡ്","ਸੀਮਿੰਟ, ਪੋਰਟਲੈਂਡ"
"സിമന്റ്, പോർട്ട്ലാൻഡ് ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ്","ਸੀਮਿੰਟ, ਪੋਰਟਲੈਂਡ ਬਲਾਸਟ ਫਰਨੇਸ ਸਲੈਗ"
"സിമന്റ്, പോർട്ട്ലാൻഡ് പോസോളാൻ","ਸੀਮਿੰਟ, ਪੋਰਟਲੈਂਡ ਪੋਜ਼ੋਲਨ"
"സിമന്റ്, സ്ലാഗ്","ਸੀਮਿੰਟ, ਸਲੈਗ"
"സിമന്റ്, സൾഫേറ്റ് പ്രതിരോധം","ਸੀਮਿੰਟ, ਸਲਫੇਟ ਰੋਧਕ"
"സിമന്റ്, സൂപ്പർ സൾഫേറ്റ്","ਸੀਮਿੰਟ, ਸੁਪਰ ਸਲਫੇਟਿਡ"
"സിമന്റ്, വെള്ള","ਸੀਮਿੰਟ, ਚਿੱਟਾ"
സിമന്റ്-അഗ്രഗേറ്റ് അനുപാതം,ਸੀਮਿੰਟ-ਐਗਰੀਗੇਟ ਅਨੁਪਾਤ
സിമന്റ് ഉള്ളടക്കം,ਸੀਮਿੰਟ ਸਮੱਗਰੀ
സിമന്റ് ജെൽ,ਸੀਮਿੰਟ ਜੈੱਲ
സിമന്റ് തോക്ക്,ਸੀਮਿੰਟ ਬੰਦੂਕ
സിമന്റ് ചൂള,ਸੀਮਿੰਟ ਭੱਠਾ
സിമന്റ് പെയിന്റ്,ਸੀਮਿੰਟ ਪੇਂਟ
സിമന്റ് പ്ലാസ്റ്റർ,ਸੀਮਿੰਟ ਪਲਾਸਟਰ
സിമന്റ് പാറ,ਸੀਮਿੰਟ ਚੱਟਾਨ
സിമന്റ് സ്ലറി,ਸੀਮਿੰਟ ਸਲਰੀ
സിമന്റ് സംഭരണം,ਸੀਮਿੰਟ ਸਟੋਰੇਜ਼
സിമന്റേഷൻ പ്രക്രിയ,ਸੀਮੈਂਟੇਸ਼ਨ ਪ੍ਰਕਿਰਿਆ
കേന്ദ്രീകരിക്കുന്നു,ਸੈਂਟਰਿੰਗ
കേന്ദ്രീകരിക്കലും ഷട്ടറിംഗും,ਸੈਂਟਰਿੰਗ ਅਤੇ ਸ਼ਟਰਿੰਗ
സെൻട്രൽ മിക്സഡ് കോൺക്രീറ്റ്,ਕੇਂਦਰੀ ਮਿਸ਼ਰਤ ਕੰਕਰੀਟ
സെൻട്രൽ മിക്സർ,ਕੇਂਦਰੀ ਮਿਕਸਰ
അപകേന്ദ്ര ഫാൻ,ਸੈਂਟਰਿਫਿਊਗਲ ਪੱਖਾ
ചോക്ക്,ਚਾਕ
ചാംഫർ,ਚੈਂਫਰ
ചേംഫർ സ്ട്രിപ്പ്,ਚੈਂਫਰ ਪੱਟੀ
ചാനൽ ബീം,ਚੈਨਲ ਬੀਮ
സ്വഭാവസവിശേഷത ലോഡ്,ਵਿਸ਼ੇਸ਼ਤਾ ਲੋਡ
സ്വഭാവ ശക്തി,ਗੁਣ ਸ਼ਕਤੀ
ചാർജ്ജ് ഓഫ്,ਚਾਰਜ ਬੰਦ
ചാർജിംഗ്,ਚਾਰਜ ਹੋ ਰਿਹਾ ਹੈ
പരിശോധിക്കുന്നു,ਜਾਂਚ ਕਰ ਰਿਹਾ ਹੈ
കെമിക്കൽ ബോണ്ട്,ਰਸਾਇਣਕ ਬੰਧਨ
ചെർനോസെം,ਚੇਰਨੋਜ਼ਮ
ചെസ്റ്റ്നട്ട് മണ്ണ്,ਚੈਸਟਨਟ ਮਿੱਟੀ
ചിമ്മിനി ഗട്ടർ,ਚਿਮਨੀ ਗਟਰ
ചിപ്പ് ബോർഡ്,ਚਿੱਪ ਬੋਰਡ
ചിപ്പിംഗ്,ਚਿੱਪਿੰਗ
ചിപ്സ്,ਚਿਪਸ
ചട്ടി,ਚੂਤ
ക്ലാസ് (കോൺക്രീറ്റ്),ਕਲਾਸ (ਕੰਕਰੀਟ ਦੀ)
കളിമണ്ണ്,ਮਿੱਟੀ
കളിമൺ ഉള്ളടക്കം,ਮਿੱਟੀ ਦੀ ਸਮੱਗਰੀ
കളിമൺ പാൻ,ਮਿੱਟੀ ਦਾ ਪੈਨ
പൂർണമായി കാലിയാക്കുക,ਸਫਾਈ
ക്ലീനപ്പ്,ਸਾਫ਼ ਕਰੋ
ക്ലീറ്റ്,ਕਲੀਟ
ക്ലിങ്കർ,ਕਲਿੰਕਰ
ക്ലിപ്പ്,ਕਲਿਪ
കട്ടപിടിക്കൽ,ਜੰਮਣਾ
നാടൻ മൊത്തത്തിലുള്ളത്,ਮੋਟਾ ਕੁੱਲ
പരുക്കൻ ധാന്യമുള്ള മണ്ണ്,ਮੋਟੇ ਦਾਣੇ ਵਾਲੀ ਮਿੱਟੀ
കോട്ട്,ਕੋਟ
കോഫർ ഡാം,ਕੋਫਰ ਡੈਮ
ഒത്തുചേരൽ,ਤਾਲਮੇਲ
കൊളോയിഡ്,ਕੋਲਾਇਡ
കൊളോയ്ഡൽ ഈർപ്പം തുല്യ അനുപാതം,ਕੋਲੋਇਡਲ ਨਮੀ ਦੇ ਬਰਾਬਰ ਅਨੁਪਾਤ
കൊളോയ്ഡൽ സിസ്റ്റം,ਕੋਲੋਇਡਲ ਸਿਸਟਮ
കൊളുവിയൽ മണ്ണ്,ਕੋਲੋਵੀਅਲ ਮਿੱਟੀ
കോളം,ਕਾਲਮ
കോമ്പഡ് ഫിനിഷ്,ਕੰਬਡ ਮੁਕੰਮਲ
സംയോജിത കാൽപ്പാദം,ਸੰਯੁਕਤ ਪੈਰ
സംയോജിത വെള്ളം,ਸੰਯੁਕਤ ਪਾਣੀ
പൊതു മുറി,ਸਾਂਝਾ ਕਮਰਾ
പൂർത്തീകരണ സർട്ടിഫിക്കറ്റ്,ਮੁਕੰਮਲਤਾ ਸਰਟੀਫਿਕੇਟ
ഘടകം ചതുരം,ਕੰਪੋਨੈਂਟ ਵਰਗ
കോൺക്രീറ്റ്,ਕੰਕਰੀਟ
കോൺക്രീഷൻ,ਕੰਕਰੀਸ਼ਨ
ഏകീകൃത നിരക്ക്/ഫ്ലാറ്റ് നിരക്ക്,ਏਕੀਕ੍ਰਿਤ ਦਰ/ਫਲੈਟ ਦਰ
മലിനീകരണം,ਗੰਦਗੀ
ആൽക്കോട്ട് പാചകം ചെയ്യുന്നു,ਐਲਕੋਵ ਪਕਾਉਣਾ
നേരിടുകയാണ്,ਮੁਕਾਬਲਾ ਕਰਨਾ
കോർബെൽ,ਕੋਰਬੇਲ
കോർണിസ്,ਕਾਰਨੀਸ
കപ്ലർ,ਕਪਲਰ
"കപ്ലർ, ഇരട്ട","ਕਪਲਰ, ਡਬਲ"
"കപ്ലർ, പുട്ട്ലോഗ്","ਕਪਲਰ, ਪੁਟਲੌਗ"
"കപ്ലർ, സ്വിവൽ","ਕਪਲਰ, ਘੁਮਾਣ ਵਾਲਾ"
കോഴ്സ്,ਕੋਰਸ
ക്രമരഹിതമായ അവശിഷ്ടങ്ങൾ കൊത്തുപണികൾ,ਕੋਰਸ ਕੀਤਾ ਬੇਤਰਤੀਬ ਮਲਬੇ ਦੀ ਚਿਣਾਈ
മൂടിയ പ്രദേശം,ਕਵਰ ਕੀਤਾ ਖੇਤਰ
ഇഴയുക,ਕ੍ਰੀਪ
ക്രീപ്പ് കോഫിഫിഷ്യന്റ്,ਕ੍ਰੀਪ ਗੁਣਾਂਕ
ക്രോട്ടോവിൻ,ਕਰੋਟੋਵਾਈਨ
കാക്ക കാൽ,ਕਾਂ ਦੇ ਪੈਰ
നുറുക്കിന്റെ ഘടന,ਟੁਕੜਾ ਬਣਤਰ
കർബ്,ਕਰਬ
നിലവിലുള്ളത്,ਵਰਤਮਾਨ
വക്ര പ്രതിരോധം,ਕਰਵ ਪ੍ਰਤੀਰੋਧ
ഈർപ്പം പ്രൂഫ് കോഴ്സ്,ਨਮੀ ਪਰੂਫ਼ ਕੋਰਸ
പൂർത്തിയാക്കിയ തീയതി,ਮੁਕੰਮਲ ਹੋਣ ਦੀ ਮਿਤੀ
ഡെഡ് ലോഡ്,ਡੈੱਡ ਲੋਡ
ചത്ത വെള്ളം,ਮਰੇ ਹੋਏ ਪਾਣੀ
ഡെസിബെൽ,ਡੈਸੀਬਲ
ഡിഫ്ലോക്കുലേഷൻ,Deflocculation
വായുസഞ്ചാരത്തിന്റെ ഡിഗ്രി അല്ലെങ്കിൽ എയർ സ്പേസ് അനുപാതം,ਹਵਾਬਾਜ਼ੀ ਜਾਂ ਏਅਰ ਸਪੇਸ ਅਨੁਪਾਤ ਦੀ ਡਿਗਰੀ
അഗ്രഗേഷൻ ബിരുദം,ਏਕੀਕਰਣ ਦੀ ਡਿਗਰੀ
വ്യാപനത്തിന്റെ അളവ്,ਫੈਲਾਅ ਦੀ ਡਿਗਰੀ
സാച്ചുറേഷൻ ഡിഗ്രി,ਸੰਤ੍ਰਿਪਤਾ ਦੀ ਡਿਗਰੀ
സാന്ദ്രത,ਘਣਤਾ
മരുഭൂമിയിലെ നടപ്പാത,ਮਾਰੂਥਲ ਫੁੱਟਪਾਥ
മരുഭൂമിയിലെ മണ്ണ്,ਮਾਰੂਥਲ ਦੀ ਮਿੱਟੀ
വിശദാംശങ്ങൾ,ਵੇਰਵੇ
വികസന കാലയളവ്,ਵਿਕਾਸ ਦੀ ਮਿਆਦ
ഡി-ചക്രവാളം,ਡੀ-ਹੋਰੀਜ਼ਨ
ഡയഗണൽ ബോണ്ട്,ਵਿਕਰਣ ਬੰਧਨ
ഡയഗ്രം,ਚਿੱਤਰ
ഡിജിറ്റൽ ഡോക്ക്,ਡਿਜੀਟਲ ਡੌਕ
വ്യത്യസ്ത ജലനിരക്ക്,ਵਿਭਿੰਨ ਪਾਣੀ ਦੀ ਦਰ
ഡില്യൂഷൻ വെന്റിലേഷൻ,ਪਤਲਾ ਹਵਾਦਾਰੀ
ഡിലുവിയം,ਡਾਇਲੁਵੀਅਮ
ഡൈനിംഗ് റൂം,ਭੋਜਨ ਕਕਸ਼
ദിശ കുറ്റി,ਦਿਸ਼ਾ ਪੈਗ
വിസരണം,ਫੈਲਾਅ
ഡിസ്റ്റെമ്പർ,ਡਿਸਟੈਂਪਰ
മുറിവാല്,ਡੌਕ
വാതിൽ,ਦਰਵਾਜ਼ਾ
ഡോർമർ,ਡੋਰਮਰ
ഡോർമർ പരിശോധന,ਡੋਰਮਰ ਜਾਂਚ
ഇരട്ട ഫ്ലെമിഷ് ബോണ്ട്,ਡਬਲ ਫਲੇਮਿਸ਼ ਬਾਂਡ
ഇരട്ട പാളി,ਡਬਲ ਪਰਤ
ഡോവൽ,ਡੌਲ
