Kannada,Marathi
ಅಸೆಟೈಲ್ ಕೊಯೆನ್ಜೈಮ್,एसिटिल कोएन्झाइम
ಕಸ,अकॅटिना
ಮೊಲ ಪ್ರಕಾರ,अचेने प्रकार
ಉಂಗುರ,अचेने
ಅಕ್ಲಾಮಿಡೋಸ್ಪೋರಿಯಾ,अक्लमिडोस्पोरिया
ಆಮ್ಲ ಮಳೆ,आम्ल वर्षा
ಆಮ್ಲೀಯ,अम्लीय
ಆಮ್ಲೀಯ ಅನಿಲ,अम्लीय वायू
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,आंबटपणा
ಅಸಿನಾರ್ ಕೋಶ,एसीनार सेल
ಜಾಮಕೀಯ,एकोलोमेट
ಅನನಟ,On कोनिटम
ಆಕ್ರೋಶದ ಹುಳು,अ‍ॅकॉर्न वर्म
ಅಕೌಸ್ಟಿಕ್ ವಲಯ,ध्वनिक झोनिंग
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಪಾತ್ರ,अधिग्रहित वर्ण
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ರೋಗನಿರೋಧಕ ಶಕ್ತಿ,वसूल केलेली प्रतिकारशक्ती
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಇಮ್ಯುನೊ ಕೊರತೆ ಸಿಂಡ್ರೋಮ್ (ಏಡ್ಸ್),अधिग्रहित इम्युनो कमतरता सिंड्रोम (एड्स)
ಪ್ರಾದೇಶಿಕ,एकरानिया
ಅಣಕಾದ ಬಣ್ಣ,Rid सिडिन डाई
ವ್ಯಾಪಕವಾದ,अ‍ॅक्रोसेन्ट्रिक
ಅಕ್ರಾಮನ್,अ‍ॅक्रोमियन
ಸ್ಥಗಿತದ ಅನುಕ್ರಮ,अ‍ॅक्रोपेटल सीक्वेन्स
ಅಕ್ರೊಫೆಟಲ್ ರಾಶಿ,अ‍ॅक्रोपेटल ऑर्डर
ಅಕ್ರೋಸಿನ್,अ‍ॅक्रोसिन
ಅ ೦ ಗಡಿ,अ‍ॅक्टिन
ಆಕ್ಟಿನ್ ತರಹದ ಪ್ರೋಟೀನ್,अ‍ॅक्टिन-सारखी प्रथिने
ಕ್ರಿಯಾಶೀಲತೆ,अ‍ॅक्टिनोमॉर्फिक
ಅಂಧ,अ‍ॅक्टिनोमाइसेट्स
ಕ್ರಿಯಾಶೀಲತೆ,कृती संभाव्यता
ಸಕ್ರಿಯ ಕೆತ್ತನೆ,सक्रिय गाळ
ಸಕ್ರಿಯ ಕೆಸರು ಫ್ಲೋಕ್,सक्रिय गाळ फ्लॉक
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,सक्रियता ऊर्जा
ಸಕ್ರಿಯ ಹೀರಿಕೊಳ್ಳುವಿಕೆ,सक्रिय शोषण
ಸಕ್ರಿಯ ವಿನಾಯಿತಿ,सक्रिय प्रतिकारशक्ती
ಸಕ್ರಿಯ ವಿಕಿರಣ,सक्रिय रेडिएशन
ಸಕ್ರಿಯ ಸೈಟ್,सक्रिय साइट
ದಳ,अ‍ॅक्टिव्हिन
ವಕ್ರವಳತಿ ಮಾಡು,Umicate
ಆಡಮ್ಸಿಯಾ,अ‍ॅडम्सिया
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,अनुकूलता
ರೂಪಾಂತರ,रुपांतर
ಬೆಳಕಿನ ಆಡಳಿತಕ್ಕೆ ಹೊಂದಿಕೊಳ್ಳುವುದು,हलकी व्यवस्थेशी जुळवून घेणे
ನೀರಿನ ಕೊರತೆಗೆ ಹೊಂದಿಕೊಳ್ಳುವುದು,पाण्याची कमतरता रुपांतर
ಹೊಂದಾಣಿಕೆಯ ಗುಣಲಕ್ಷಣಗಳು,अनुकूली वैशिष्ट्ये
ಹೊಂದಾಣಿಕೆಯ ವಿನಾಯಿತಿ,अनुकूली प्रतिकारशक्ती
ಅಡಾಪ್ಟಿವ್ ವಿಕಿರಣ,अनुकूली रेडिएशन
ಹೊಂದಾಣಿಕೆಯ ಲಕ್ಷಣ,अनुकूली गुण
ಅಡಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ,अ‍ॅडॅक्सियल पृष्ठभाग
ವ್ಯಸನಕಾರಿ ಕಾಯಿಲೆ,व्यसनाधीन डिसऑर्डर
ತಿಕ್ಕಲು,En डेनिन
ಒಂದು ತತ್ತ್ವ,En डेनोकोर्टिकोट्रोपिन
ತತ್ತ್ವ,En डेनोहायपोफिसिस
ತಿರಸ್ಕಾರ,En डेनोसिन डायफॉस्फेट
ಅಂಧ,En डेनोसिन डिमिनेस
ಅಸಿನಿನ್ ಮೊನೊಫಾಸ್ಫೇಟ್,En डेनोसाइन मोनोफॉस्फेट
ಅಡೆನೊಸಿನ್ ಟ್ರೈಫಾಸ್ಫೇಟ್ (ಎಟಿಪಿ),En डेनोसाइन ट्रायफॉस्फेट (एटीपी)
ತಿರಸ್ಕಾರ,En डेनिलेट सायक्लेज
ಅಂಟಿಕೊಳ್ಳುವ ಶಕ್ತಿ,चिकट शक्ती
ಅಡಿಪಡಿ,अ‍ॅडिपेट
ಅಡಿಪೋಸೈಟ್ (ಕೊಬ್ಬಿನ ಕೋಶ),अ‍ॅडिपोसाइट (चरबी सेल)
ಅಡಿಪಾಯಿ ಅಂಗಾಂಶ,अ‍ॅडिपोज टिशू
ಮಡಿ,Nednate
ಪಕ್ಕದ ಸಮುದಾಯ,लगतचा समुदाय
ಮೂತ್ರಜನಕಾಂಗ,Ren ड्रेनल
ಅಡ್ರಿನಲ್ ಗ್ರಂಥಿ,Ren ड्रेनल ग्रंथी
ಅಡ್ರಿನೊಕಾರ್ಟಿಕೊಟ್ರೊಪಿಕ್ ಹಾರ್ಮೋನ್ (ಎಸಿಟಿಎಚ್),एड्रेनोकोर्टिकोट्रॉपिक हार्मोन (एसीटीएच)
ಅಡ್ರಿನೊಕಾರ್ಟಿಕೊಟ್ರೊಪಿಕ್ ಬಿಡುಗಡೆ ಹಾರ್ಮೋನ್ (ಎಸಿಟಿಆರ್ಹೆಚ್),Ren ड्रेनोकोर्टिकोट्रॉपिक रिलीझिंग हार्मोन (एसीटीआरएच)
ಹೊರಹೀರುವ,Or सॉर्बेंट
ಹೊರಹೀರತೆ,शोषण
ಸುಧಾರಿತ ಸ್ವರಮೇಳ,प्रगत Chordate
ಅನುಕೂಲಕರ ರೂಪಾಂತರ,फायदेशीर उत्परिवर्तन
ಸಾಹಸದ,अ‍ॅडव्हेंटिशियल
ಸಾಹಸಿ ಮೂಲ,साहसी मूळ
ದುಷ್ಪರಿಣಾಮ,प्रतिकूल परिणाम
ಈಡಿಸ್,एडीज
ಸಂಸ್ಕೃತಿಯ ಗಾಳಿ,संस्कृतीचे वायुवीजन
ವಾಮಪಂಥೀಯ,एरेन्चायमा
ವೈಮಾನಿಕ,हवाई
ವೈಮಾನಿಕ ಮೂಲ,एरियल रूट
ವೈಮಾನಿಕ ಚಿಗುರು,एरियल शूट
ಏರೋಬಿಕ್ ಉಸಿರಾಟ,एरोबिक श्वसन
ಏರೋಬಿಕ್ ಉಸಿರಾಟ,एरोबिक श्वसन
ಸೌಂದರ್ಯಶಾಸ್ತ್ರ,सौंदर्यशास्त्र
ಅಸ್ವಸ್ಥತೆ,एस्टिवेशन
ಅಸ್ವಸ್ಥತೆ,एस्टिवेशन
ವಿಪರೀತ,Efferent
ಅಫಿನಿಟಿ ಕ್ರೊಮ್ಯಾಟೋಗ್ರಫಿ,आत्मीयता क्रोमॅटोग्राफी
ಪೀಡಿತ ಅಂಗ,पीडित अवयव
ಸಂಯಮ,वनीकरण
ಗಗನಯ,अ‍ॅगामोस्पर्मी
ಗಾಡಿ,अगर
ಜನಗಮಣ,आगरोस
ಅಗರೋಸ್ ಜೆಲ್ ಎಲೆಟ್ರೋಫೊರೆಸಿಸ್,अगरोस जेल इलेट्रोफोरेसीस
ಅಗರೋಸ್ ಪಾಲಿಮರ್ ಜೆಲ್,अ‍ॅगारोज पॉलिमर जेल
ಚೂರುಪಾರು,Agast
ಭೂತಾಳೆ,अ‍ॅगेव्ह
ವಯಸ್ಸಿನಲ್ಲಿ ವಿತರಣೆ,वय वितरण
ವಯಸ್ಸು ಪಿರಮಿಡ್,वय पिरॅमिड
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,एकत्रित
ಒಟ್ಟು,एकूण
ಕೋಶಕ ಒಟ್ಟು,कूपांचे एकूण
ಕೋಶಕ ಒಟ್ಟು,कूपांचे एकूण
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,एकत्रिकरण
ಆಕ್ರಮಣಶೀಲತೆ,आक्रमकता
ಚಮತ್ಕಾರ,आंदोलन प्रणाली
ಅಜ್ಞಾತ,अग्नथ
ಗಾಡಿ,अगोती
ಪಂಥದ,अ‍ॅग्रॅनल क्लोरोप्लास्ट
ಕೃಪಣದ,अ‍ॅग्रॅन्युलर
ಪಂಥಿ,अ‍ॅग्रानुलोसाइट
ಕೃಷಿ,शेती
ಕೃಚಾರಕ,अ‍ॅग्रोफोरेस्ट्री
ಆಗ್ರೊಬ್ಯಾಕ್ಟೀರಿಯಂ ಮಧ್ಯಸ್ಥಿಕೆ,अ‍ॅग्रोबॅक्टीरियम मध्यस्थी
ಅಗ್ರೋಬ್ಯಾಕ್ಟೀರಿಯಂ ಟ್ಯೂಮೆಫಾಸಿಯನ್ಸ್,अ‍ॅग्रोबॅक्टीरियम ट्यूमेफेसियन्स
ಕೃಷಿ ರಾಸಾಯನಿಕ,अ‍ॅग्रोकेमिकल
ಕೃಷಿ ರಾಸಾಯನಿಕ,अ‍ॅग्रोकेमिकल
ಕೃಷಿ ವಲಯ,अ‍ॅग्रोक्लिमॅटिक झोन
ಕೃಷಿ ಲಕ್ಷಣ,कृषी गुणधर्म
ಕೃಷಿ ವಿಜ್ಞಾನ,अ‍ॅग्रोनॉमी
ನೆರಳು,एड्स
ಗಾಳಿಗೊಡೆ,एअर मूत्राशय
ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ,वातानुकूलन
ಗಾಳಿಯ ಮಾರ್ಗ,हवाई रस्ता
ವಾಯು ಮಾಲಿನ್ಯ,वायू प्रदूषण
ಗಾಳಿಯ ಚೀಲ,एअर थैली
ವಿಮಾನ ನಿರ್ವಾತ,एअर व्हॅक्यूओल
ಗಾಳಿ ಮರೆಯುವ,हवाई श्वास
ತಲ್ಲಣ,अलेन
ಅಲರಿ ಸ್ನಾಯು,अ‍ॅलरी स्नायू
ಅಲಸ್ಕನ್ ಕಂದು ಕರಡಿ,अलास्कन तपकिरी अस्वल
ಒಂದು ಬಗೆಯ ಉಕ್ಕಿನ,अल्बिनो
ದಾಸ್ಯ,अल्बुगो
ಉಣ್ಣೆಯಂಥ,अल्बमिन
ಉಬ್ಬು ಬೀಜದ ಬೀಜ,अल्ब्युमिनस बियाणे
ಬಿಲ್ಲಿನ,अल्बमिनुरिया
ಪಾರಾಗಲಿ,अल्बर्नम
ಹದಮುದಾಯಿ,Lescedae
ಆಲ್ಡಿಹ್ಯೀಡ್,Ld ल्डिहेडे
ಆಲ್ಡೋಸ್ಟಾನ್ ವ್ಯವಸ್ಥ,Ld ल्डोस्टेरॉन सिस्टम
ಆಲ್ಡೋಸ್ಟಲಿಗೆ,अ‍ॅल्डोस्टेरॉन
ಅಲ್ಯೂರೋನ್ ಪದರ,अलेरोन लेयर
ಕಣ್ಣುಹಾಯ,अलेरोप्लास्ट
ಉಚ್ಚಾರಣಾ,अल्फल्फा
ಪಾಚಿಯ ಹೂವು,अल्गल ब्लूम
ಪಾರಿಗೊಣ,अल्गिन
ಅನ್ಯಲೋಕದ ಡಿಎನ್‌ಎ,एलियन डीएनए
ಅನ್ಯ,एलियन प्रजाती
ಜೋಡಣೆ,संरेखन
ಜೋಡಣೆ,संरेखन
ಅಲಿಮೆಂಟಿನ ಕಾಲುವೆ,एलिमेंटरी कालवा
ಅಲಿಮೆಂಟರಿ ವ್ಯವಸ್ಥೆಯ,एलिमेंटरी सिस्टम
ಮಿತ್ರತತ್ವ,अलिसमासेस
ಕ್ಷಾರೀಯ,अल्कलॉइड
ಕ್ಷಾರೀಯ,अल्कधर्मी
ಕ್ಷಾರೀಯ,अल्काप्टोनुरिया
ನಾರು,अलांटोइस
ಆಲೀಲ್ ಆವರ್ತನ,अ‍ॅलेल वारंवारता
ಇಳಿಜಾರು,अ‍ॅलेल
ಅಲಿಮಾರ್ಫಿಕ್ ಜೋಡಿ,Lel लोमॉर्फिक जोडी
ಅಲರ್ಜಾಟ,L लर्जीन
ಅಲಿಗ್ನ,अ‍ॅलिगेटर
ಆಲಿಯಂ ಸೆಪಾ,अ‍ॅलियम सेपा
ಅಲೋಗಮಿ,अ‍ॅलोगॅमी
ಅರಿಯುವವಳು,अ‍ॅलोग्राफ्ट
ಅಲೋಪ್ಯಾಟ್ರಿಕ್ ಸ್ಪೆಸಿಪೇಶನ್,अ‍ॅलोपॅट्रिक स्पेशिएशन
ಸೂತ್ರ,Ol लोपोलिपॉइड
ಅಲೀರಿಕ್ ಪರಿಣಾಮ,अ‍ॅलोस्टेरिक प्रभाव
ಅಲೋಸ್ಟರಿಕ್ ಕಿಣ್ವ,अ‍ॅलोस्टेरिक एंझाइम
ಅಲಿಸ್ಟರಿಕ್ ಪ್ರತಿರೋಧಕ,अ‍ॅलोस्टेरिक इनहिबिटर
ಅಲೋಸ್ಟೆರಿಕ್ ಮಾಡ್ಯುಲೇಷನ್,अ‍ॅलोस्टेरिक मॉड्यूलेशन
ಅಲೋಸ್ಟರಿಕ್ ಸೈಟ್,अ‍ॅलोस्टेरिक साइट
ಅಲಿಸ್ಟರಿಕ್ ಪ್ರತಿಬಂಧಕ,अ‍ॅलोस्टेरिक इनहिबिशन
ತಟೆಾತ್ರಾ,अ‍ॅलोटेट्रॅप्लॉइड
ದಾಸ್ಯ,अल्नस
ಅಡೆ,कोरफड
ಆಕ್ಸಾನ್ ಉದ್ದಕ್ಕೂ,On क्सॉनच्या बाजूने
ಆಲ್ಫಾ-ಆಂಟಿಟ್ರಿಪ್ಸಿನ್,अल्फा-अँटीट्रिप्सिन
ಆಲ್ಫಾ-ಲಾಕ್ಟಾಲ್ ಬ್ಯೂನ್,अल्फा-लेक्टलब्यूमिन
ಆಲ್ಪೈನ್ ಹವಾಮಾನ ಸ್ಥಿತಿ,अल्पाइन हवामान स्थिती
ಆಲ್ಪೈನ್ ಹುಲ್ಲುಗಾವಲು,अल्पाइन कुरण
ಆಲ್ಪೈನ್ ವಲಯ,अल्पाइन झोन
ಆಲ್ಸ್ಟೋನಿಯಾ,अल्स्टोनिया
ಪರ್ಯೇಡು,अल्टरनेरिया
ಪರ್ಯಾಯ,वैकल्पिक
ಪೀಳಿಗೆಯ ಪರ್ಯಾಯ,पिढीचे पर्यायी
ಎತ್ತರ ಕಾಯಿಲೆ,उंची आजारपण
ಎತ್ತರ,समुद्रसपाटीपासूनची उंची
ಅಲ್ವಿಯೋಲಾರ್ ನಾಳ,अल्व्होलर नलिका
ಮಣ್ಣು,एलिटेस
ಆಲ್ z ೈಮರ್ ಕಾಯಿಲೆ,अल्झायमर रोग
ಅಮಾಮಿನ ಕೋಶ,अमॅक्रिन सेल
ಹುಳ,अमरॅन्थेसी
ಹುಳಿ,अमरॅन्थस
ಸುತ್ತುವರಿದ ಆಸ್ಮೋಟಿಕ್ ಸಾಂದ್ರತೆ,वातावरणीय ऑस्मोटिक एकाग्रता
ಅಂಬಿಸ್ಟೋಮ,अ‍ॅम्बिस्टोमा
ಅಸ್ಫುಲ್,अमाइड
ಅಮೈನೊ ಆಸಿಡ್,अमिनो आम्ल
ಅಮೈನೊ ಆಸಿಡ್ ಸ್ವೀಕಾರಕ,अमीनो acid सिड स्वीकारणारा
ಅಮೈನಾಕ್ಲ್ ಟಿ ಆರ್ಎನ್ಎ ಸಿಂಥೆಟೇಸ್,एमिनोआसिल टी आरएनए सिंथेथेस
ಅಮೈನೊಅಸಿಲೇಷನ್,एमिनोआसिलेशन
ಅಮೀಟಾಸಿ,अमिटोसिस
ಅಮೋನಿಯ,अमोनिया
ಅಮೋನೀಕರಣ,अमोनिफिकेशन
ಅಮ್ಮನೋಟೆಲಿಸಂ,अमोनोटेलिझम
ಜ್ಯೂನಿಯೊಸೆಂಟಿಸ್,अ‍ॅम्निओसेन्टेसिस
ಆಮದೋಸೆಂಟೆಸಿಸ್ ತಂತ್ರ,अ‍ॅम्निओसेन्टेसिस तंत्र
ಅಮ್ನಿಯೈಟ್,अ‍ॅम्निओसाइट
ಮಂಕಾದ,अम्नियन
ಆಮ್ನಿಯೋಟಿಕ್ ದ್ರವ,गर्भाशयातील द्रव
ಜಾಮ್ನಿಯೆಟಿಕ್ ಮೆಂಬರೇನ್,अम्नीओटिक झिल्ली
ಜಾಮಿಕಾಟದ ಚೀಲ,अम्नीओटिक थैली
ಅಮೀಬ,अमोबा
ಅಮೀಬೋಸೈಟ್,अमीबोसाइट
ಅಮೀಬಯುಡಿ,अमोबॉइड
ಅಮೀಬಯಿಡ್ ಲಿಂಫೋಸೈಟ್,अ‍ॅमोबॉइड लिम्फोसाइट
ಅಮೀಬಯಿಡ್ ಚಲನೆ,अ‍ॅमोबॉइड चळवळ
ಅರೂಪದ,अनाकार
ಮೊತ್ತ,रक्कम
ಆಭರಣ,अ‍ॅम्फेटामाइन
ಉಭಯಚರ,उभयचर
ಉಭಯಚರ,उभयचर
ಉಭಯಚರ,उभयचर
ಉಲ್ಬಣ,अ‍ॅम्फिओक्सस
ಆಂಫಿಯೋಕ್ಸಸ್ ಲ್ಯಾನ್ಸೊಲಾಟಸ್,अ‍ॅम्फिओक्सस लॅन्सोलाटस
ಉಭಯಪಕ್ಷೀಯ,अ‍ॅम्फिपाथिक
ಉಭಯಚರ ಲಿಪಿಡ್,अ‍ॅम्फिपाथिक लिपिड
ಉಚ್ಚಾರೆ,अ‍ॅम्फिसार्का
ಲೋಕದ,अ‍ॅम्पिसिलिन
ಹಲ್ಲು,अ‍ॅम्पुल्ला
ಶಿರೋಕ್ತಿ ಗ್ರಂಥಿ,अ‍ॅम्प्युलरी ग्रंथी
ಅಮಿಗ್ಡಾಲ್,अ‍ॅमीगडल
ಬಾಚು,अ‍ॅमीगडेल
ಅಮಿಗ್ಲಿನ್,अ‍ॅमीग्डालिन
ಮಂಕಾದ,अ‍ॅमिलेज
ಅಮಿಲೋಪ್ಲಾಸ್ಟ್,अ‍ॅमिलोप्लास्ट
ಅ ೦ ಗಡಿ,अनाबेना
ಹಳ್ಳ,अनबास
ಅನಾಬಲಿನ ​​ಮಾರ್ಗಗಳು,अ‍ॅनाबॉलिक मार्ग
ಅನಾಬಾಲಿಸಂ,अ‍ॅनाबोलिझम
ಅನಾಕಾರ್ಡಿಯಾಸಿ,अ‍ॅनाकार्डियासी
ರಕ್ತಹೀನತೆ,अशक्तपणा
ಬಯೆರೋಲೆ,अनरोब
ಆಮ್ಲಜನವ್ಯಕ್ತಿ,अनॅरोबिक इंधन
ಆಮ್ಲಜನವ್ಯಕ್ತಿ,अनरोबिक श्वसन
ಆಮ್ಲಜನಕರಹಿತ ಕೆಸರು ಡೈಜೆಸ್ಟರ್,अनॅरोबिक गाळ डायजेस्टर
ಆಮ್ಲಜನವ್ಯಕ್ತಿ,अनॅरोबिक
ಅನೈಮ,अनाईमा
ಗುದ,गुदद्वारासंबंधीचा
ಗುದ,गुदद्वारासंबंधीचा
ಗುದ ದ್ಯುತಿರಂಧ್ರ,गुदद्वारासंबंधीचा छिद्र
ಗುದ,गुदद्वारासंबंधीचा सेर्सी
ಗುದ ಲೂಪು,गुद्द्वार लूप
ಗುದ ಶೈಲಿ,गुद्द्वार शैली
ಹೋಲುವ,समान
ಹೋಲುವ,समान
ಸಾದೃಶ್ಯ,समानता
ಸಾದೃಶ್ಯ,समानता
ವಿಶ್ಲೇಷಣೆ,विश्लेषण
ಅನಾಫೇಸ್,अनाफेस
ಅಂಗರಚನಾ ತಡೆಗೋಡೆ,शरीरशास्त्र अडथळा
ಅಂಗರಚನಾ ಅಂಶ,शारीरिक पैलू
ಅಂಗರಚನಾ ತಜ್ಞ,शरीरशास्त्रज्ञ
ಅಂಗರಚನಾಶಾಸ್ತ್ರ,शरीरशास्त्र
ಪೂರ್ವಜರ ವಂಶಸ್ಥ ಅನುಕ್ರಮ,पूर्वज वंशज अनुक्रम
ಪೂರ್ವಜರ ವಂಶ,वडिलोपार्जित वंश
ಪೂರ್ವಜರ ಅನುಕ್ರಮ,वडिलोपार्जित क्रम
ಚಾಚು,एन्सिलोस्टोमा
ಆಂಡ್ರೊಸಿಯಮ್,एंड्रोइसीयम
Andrಷಧ,एंड्रोजेन
ರಕ್ತಹೀನತೆ,अशक्तपणा
ವೇಶ್ಯೆ,Enemone
ಅನೆಲಾಯ್ಡ್,Eneuploid
ಅನೆಪ್ಲು,Eneuploidy
ಗಂಜಿ,एनजाइना
ಆಂಗಿಯ ವರ್ಗ,एंजिओग्राम
ಆತಿ,एंजियोग्राफ
ಆಂಜಿಯಾರಿ ಶಾಸ್ತ್ರ,एंजियोग्राफी
ಆಂಜಿಯೋಪ್ಲಾಸ್ಟಿ,एंजियोप्लास्टी
ಆಂಗಿಯೋಸ್ಪೆರ್ಮು,एंजिओस्पर्म
ಆಂಜಿಯೋಟೆನ್ಸಿನ್,अँजिओटेन्सिन
ಆಂಜಿಯೋಟೆನ್ಸಿನ್ ವಂಶದ,एंजियोटेंसीनोजेन
ಗಾಳಹಾಕಿ ಮೀನು,अँगलर फिश
ಗದ್ದೆ,एंगुइना
ಕುಡಿನೂದಿ,एंगुइस
ಪ್ರಾಣಿ,प्राणी
ಪ್ರಾಣಿ,प्राणी
ಪ್ರಾಣಿ ಸಗಣಿ,प्राणी शेण
ಪಶುಸಂಗೋಪನೆ,पशुसंवर्धन
ಪ್ರಾಣಿ ಕ್ಯಾರಿಯೋಟೈಪಿಂಗ್,अ‍ॅनिमल कॅरिओटाइपिंग
ಪ್ರಾಣಿ ಸಾಮ್ರಾಜ್ಯ,प्राण्यांचे राज्य
ಪ್ರಾಣಿಗಳ ಅಂಗಾಂಶ,प्राणी ऊतक
ಪ್ರಾಣಿ,अ‍ॅनिमालिया
ಅಯಾನು,आयन
ಅನಿಸೊಟ್ರಾಪಿಕ್ ಬ್ಯಾಂಡ್,एनिसोट्रॉपिक बँड
ಮುಟ್ಟಿದ,En नीलिंग
ಗಡಿಯಾರ,अ‍ॅनेलिड
ಅನುಗ್ರಹದ,अ‍ॅनेलिडा
ವಾರ್ಷಿಕ ಉಂಗುರ,वार्षिक रिंग
ಉರಿಯೂತ,एनुलेटेड
ಅನ್ನ್ಯೂಲ್,एन्युले
ಅಸಂಗತ ಪ್ರಕಾರ,विसंगती प्रकार
ಅನಾಫಿಲಿಸ್,अ‍ॅनोफेल्स
ಇರುವೆ ಭಕ್ಷಕ,मुंगी खाणारा
ವಿರೋಧದ,विरोधी
ಪೃಷ್ಠದ,अंटार्क्टिक
ಆನಂತಾ,अँटेना
ಆಂಟೆನಾ ಸಂಕೀರ್ಣ,अँटेना कॉम्प्लेक्स
ಆಂಟೆನಾಲ್ ಗ್ರಂಥಿ,अँटेनल ग्रंथी
ಮುಂಭಾಗದ (ಕುಹರದ) ಬೂದು ಕೊಂಬು,पूर्ववर्ती (व्हेंट्रल) ग्रे हॉर्न
ಮುಂಭಾಗದ ಹೈಪೋಫಿಸಿಸ್,आधीचा हायपोफिसिस
ಮುಂಭಾಗದ ಮಧ್ಯಸ್ಥಿಕೆಯ ಸಲ್ಕಸ್,पूर्ववर्ती इंटरव्हेंट्रिक्युलर सल्कस
ಪರಾಗ,अँथर
ಪರಂಪರೆ ಸಂಸ್ಕೃತಿ,अँथर संस्कृती
ಸ ೦ ಗಂಥಿಯ,अँथेरिडियम
ಪರಾಗಿದರದ,अँथेरोझॉइड
ಆಂಥೆಸೆರೋಸ್,अँथोसेरोस
ಆಂಥೋಸೆರೋಟಾಪ್ಸಿಡಾ,अँथोसेरोटोप्सिडा
ಆಂಥ್ರಾಕ್ಸ್,अँथ्रॅक्स
ಮಾನವಜನ್ಯದ ಅಳಿವಿನಂಚಿನಲ್ಲಿರುವ,अँथ्रोपोजेनिक विलोपन
ಮಾನವಶಾಸ್ತ್ರ,मानववंशशास्त्र
ಅನುಭವಿನಲ್ಲಿರುವ,अँटीबैक्टीरियल
ಪ್ರತಿಜೀವಕ ಪೆನ್ಸಿಲಿನ್,अँटीबायोटिक पेनिसिलिन
ಪ್ರತಿಜೀವಕ ನಿರೋಧಕ,प्रतिजैविक प्रतिरोधक
ಪ್ರತಿಜೀವಕ (ಗಳು),प्रतिजैविक (ओ)
