English,Malayalam
Aerofoil,എയറോഫോയിൽ
Aerofoil blading,എയ്റോഫോയിൽ ബ്ലേഡിംഗ്
Aerofoil profile,എയറോഫോയിൽ പ്രൊഫൈൽ
Aeromechanics,എയറോമെക്കാനിക്സ്
Aeronautic engine,എയറോനോട്ടിക് എഞ്ചിൻ
Aeronautical engineering,എയറോനോട്ടിക്കൽ എഞ്ചിനീയറിംഗ്
Aeroplane,വിമാനം
Aerostatics,എയറോസ്റ്റാറ്റിക്സ്
Affinity,അടുപ്പം
After burning,കത്തിച്ച ശേഷം
After condenser,കണ്ടൻസറിന് ശേഷം
After cooler,തണുപ്പിച്ച ശേഷം
Agate,അഗേറ്റ്
Age hardening,പ്രായം കഠിനമാക്കൽ
Agitator,പ്രക്ഷോഭകാരി
Air atomizing oil burner,എയർ ആറ്റോമൈസിംഗ് ഓയിൽ ബർണർ
Air atomizing,എയർ ആറ്റോമൈസിംഗ്
Air bleed,എയർ ബ്ലീഡ്
Air borne,വായുവിലൂടെയുള്ള
Air brake cylinder,എയർ ബ്രേക്ക് സിലിണ്ടർ
Air brake,എയർ ബ്രേക്ക്
Air camera/aerial camera,എയർ ക്യാമറ/എയർ ക്യാമറ
Air cargo,എയർ കാർഗോ
Air chamber,എയർ ചേമ്പർ
Air circuit braker,എയർ സർക്യൂട്ട് ബ്രേക്കർ
Air compressor,എയർ കംപ്രസ്സർ
Air Conditioning,എയർ കണ്ടീഷനിംഗ്
Air Conditioning plant,എയർ കണ്ടീഷനിംഗ് പ്ലാന്റ്
Air cooled rectifier,എയർ കൂൾഡ് റക്റ്റിഫയർ
Air cooled shunt,എയർ കൂൾഡ് ഷണ്ട്
Air cooled,വായു തണുത്തു
Air core coil,എയർ കോർ കോയിൽ
Air cushion,എയർ കുഷ്യൻ
Air cycle,എയർ സൈക്കിൾ
Air dielectric capacitor,എയർ വൈദ്യുത കപ്പാസിറ്റർ
Air ejecter,എയർ എജക്റ്റർ
Air fuel ratio,വായു ഇന്ധന അനുപാതം
Air gauge,എയർ ഗേജ്
Air hammer,എയർ ചുറ്റിക
Air hardening,എയർ കാഠിന്യം
Air hoist,എയർ ഹോസ്റ്റ്
Air hydraulic brake,എയർ ഹൈഡ്രോളിക് ബ്രേക്ക്
Air inlet,വായു പ്രവേശിക്കുന്നിടം
Air jet burner,എയർ ജെറ്റ് ബർണർ
Air lift pump,എയർ ലിഫ്റ്റ് പമ്പ്
Air lock,എയർ ലോക്ക്
Air pocket,എയർ പോക്കറ്റ്
Air pollution control,വായു മലിനീകരണ നിയന്ത്രണം
Air pre-cooler,എയർ പ്രീ-കൂളർ
Air pre-heater,എയർ പ്രീ-ഹീറ്റർ
Air press,എയർ പ്രസ്സ്
Air pressure,വായുമര്ദ്ദം
Air refrigeration,എയർ റഫ്രിജറേഷൻ
Air relief valve,എയർ റിലീഫ് വാൽവ്
Air resistance,വായു പ്രതിരോധം
Air scavenging,എയർ സ്കാവെഞ്ചിംഗ്
Air seal,എയർ സീൽ
Air seasoning,എയർ താളിക്കുക
Air-foil section,എയർ-ഫോയിൽ വിഭാഗം
Air standard efficiency,എയർ സ്റ്റാൻഡേർഡ് കാര്യക്ഷമത
Air strip,എയർ സ്ട്രിപ്പ്
Air tight,എയർ ടൈറ്റ്
Air tight chamber,വായു കടക്കാത്ത അറ
Air traffic control,എയർ ട്രാഫിക് നിയന്ത്രണം
Air valve,എയർ വാൽവ്
Air vent,എയർ വെന്റ്
Aircraft,വിമാനം
Aircraft landing system,എയർക്രാഫ്റ്റ് ലാൻഡിംഗ് സിസ്റ്റം
Airless,വായുരഹിതം
Airship engine,എയർഷിപ്പ് എഞ്ചിൻ
Airworthy aircraft,വായു യോഗ്യമായ വിമാനം
Alarm,അലാറം
Alarm,അലാറം
Alarm circuit,അലാറം സർക്യൂട്ട്
Alburnum,ആൽബർണം
Align,വിന്യസിക്കുക
Alignability factor,അലൈൻബിലിറ്റി ഘടകം
Alignment,വിന്യാസം
Alignment,വിന്യാസം
All gear drive,എല്ലാ ഗിയർ ഡ്രൈവ്
Allowance,അലവൻസ്
"Allowance, negative","അലവൻസ്, നെഗറ്റീവ്"
"Allowance, positive","അലവൻസ്, പോസിറ്റീവ്"
Alloy,ലോഹക്കൂട്ട്
Alloy metal,അലോയ് മെറ്റൽ
Alloy steel,അലോയ് സ്റ്റീൽ
Alloying element,അലോയിംഗ് ഘടകം
Alpha ferrite,ആൽഫ ഫെറൈറ്റ്
Alternating stress,ഇതര സമ്മർദ്ദം
Alternating,ഒന്നിടവിട്ട്
Alumina,അലുമിന
Aluminium,അലുമിനിയം
Aluminium metalization,അലുമിനിയം മെറ്റലൈസേഷൻ
Ambient air,അന്തരീക്ഷ വായു
Ambient temperature,ആംബിയന്റ് താപനില
Ammonia absorption refrigeration,അമോണിയ ആഗിരണം ചെയ്യുന്ന ശീതീകരണം
Ammonia compressor,അമോണിയ കംപ്രസർ
Ammonia printing,അമോണിയ പ്രിന്റിംഗ്
Amorphous,രൂപരഹിതം
Amplifier,ആംപ്ലിഫയർ
Amplitude,വ്യാപ്തി
Amplitude,വ്യാപ്തി
Amplitude comparator,ആംപ്ലിറ്റ്യൂഡ് താരതമ്യപ്പെടുത്തൽ
Amplitude density,ആംപ്ലിറ്റ്യൂഡ് ഡെൻസിറ്റി
Amplitude density spectrum,ആംപ്ലിറ്റ്യൂഡ് ഡെൻസിറ്റി സ്പെക്ട്രം
Amplitude distortion,ആംപ്ലിറ്റ്യൂഡ് ഡിസ്റ്റോർഷൻ
Analog,അനലോഗ്
Analog comparator,അനലോഗ് താരതമ്യപ്പെടുത്തൽ
Analog digital convertor,അനലോഗ് ഡിജിറ്റൽ കൺവെർട്ടർ
Analog simulation,അനലോഗ് സിമുലേഷൻ
Analog transducer,അനലോഗ് ട്രാൻസ്ഡ്യൂസർ
Analogous,അനലോഗ്
Analyser,അനലൈസർ
Anchor,ആങ്കർ
Anchor block,ആങ്കർ ബ്ലോക്ക്
Anchor gate,ആങ്കർ ഗേറ്റ്
Anchor pole,ആങ്കർ പോൾ
Anchorage,ആങ്കറേജ്
Anchorage,ആങ്കറേജ്
Anchorage,ആങ്കറേജ്
Anchoring,ആങ്കറിംഗ്
Anelasticity,അനലാസ്റ്റിസിറ്റി
Anergic system,അനർജിക് സിസ്റ്റം
Angle brace,ആംഗിൾ ബ്രേസ്
Angle bracket,ആംഗിൾ ബ്രാക്കറ്റ്
Angle jig,ആംഗിൾ ജിഗ്
Angle joint (corner joint),ആംഗിൾ ജോയിന്റ് (കോർണർ ജോയിന്റ്)
Angle of advance,മുൻകൂർ ആംഗിൾ
Angle of lag,കാലതാമസത്തിന്റെ ആംഗിൾ
Angle of lap,മടിയുടെ ആംഗിൾ
Angle of lead,ലീഡിന്റെ ആംഗിൾ
Angle of obliquity,ചരിഞ്ഞ ആംഗിൾ
Angle of overlap,ഓവർലാപ്പിന്റെ ആംഗിൾ
Angle of polarisation,ധ്രുവീകരണത്തിന്റെ ആംഗിൾ
Angle of relief,ആശ്വാസത്തിന്റെ ആംഗിൾ
Angle of repose,വിശ്രമത്തിന്റെ ആംഗിൾ
Angle of rotation,ഭ്രമണത്തിന്റെ ആംഗിൾ
Angle of twist,ആംഗിൾ ഓഫ് ട്വിസ്റ്റ്
"Angle, camber","ആംഗിൾ, ക്യാംബർ"
Angular acceleration,കോണീയ ത്വരണം
Angular advance,കോണീയ മുന്നേറ്റം
Angular contact bearing,കോണിക കോൺടാക്റ്റ് ബെയറിംഗ്
Angular deflection,കോണീയ വ്യതിചലനം
Angular deviation,കോണീയ വ്യതിയാനം
Angular displacement,കോണീയ സ്ഥാനചലനം
Angular momentum,കോണീയ ആക്കം
Angular movement,കോണീയ ചലനം
Angular pitch,കോണാകൃതിയിലുള്ള പിച്ച്
Angular velocity,കോണീയ പ്രവേഗം
Anharmonicity co-efficient,അൻഹാർമോണിസിറ്റി കോ-എഫിഷ്യന്റ്
Anhydrous,ജലരഹിതം
Annealed,അനീൽഡ്
Annealed copper,അനീൽഡ് ചെമ്പ്
Annealed temper,അനിയൽ കോപം
Annealing,അനീലിംഗ്
Annealing cycle,അനീലിംഗ് സൈക്കിൾ
Annealing temperature,അനീലിംഗ് താപനില
Annular,വളയം
Annular chamber,വാർഷിക അറ
Annular gear,വാർഷിക ഗിയർ
Annular ring,വാർഷിക വളയം
Antagonostic screw,ആന്റിഗനോസ്റ്റിക് സ്ക്രൂ
Antechamber,അന്തേചേംബർ
Antefreeze,ആന്റിഫ്രീസ്
Anthracite,ആന്ത്രാസൈറ്റ്
Anti resonance,ആന്റി റെസൊണൻസ്
Anti-fatigue device,ക്ഷീണം തടയുന്നതിനുള്ള ഉപകരണം
Antifreeze solution,ആന്റിഫ്രീസ് പരിഹാരം
Antifriction bearing,ആന്റിഫ്രിക്ഷൻ ബെയറിംഗ്
Antifriction metal,ആൻറിഫ്രിക്ഷൻ മെറ്റൽ
Antiknock fuel,ആന്റിക്നോക്ക് ഇന്ധനം
Antileak,ആന്റിലാക്ക്
Antileak antifreezeing,Antileak antifreezeing
Antilocking device,ആന്റിലോക്കിംഗ് ഉപകരണം
Antimony,ആന്റിമണി
Antipriming pipe,ആന്റിപ്രൈമിംഗ് പൈപ്പ്
Antipulsating tank,ആന്റിപൾസേറ്റിംഗ് ടാങ്ക്
Antisymmetric,ആന്റിസിമെട്രിക്
Antivibration device,ആന്റിവൈബ്രേഷൻ ഉപകരണം
Antiwaterlogging measure,ആന്റി വാട്ടർലോഗിംഗ് അളവ്
Antiwelding function,ആന്റിവെൽഡിംഗ് പ്രവർത്തനം
Anvil,അൻവിൽ
Aperiodic damping,അപീരിയോഡിക് ഡാംപിംഗ്
Aperiodic motion,അപീരിയോഡിക് ചലനം
Apex,അപെക്സ്
Apex angle,അഗ്രകോണ്
Apparent elastic limit,പ്രത്യക്ഷമായ ഇലാസ്റ്റിക് പരിധി
Apparatus,ഉപകരണം
Apparent eccentricity,പ്രത്യക്ഷമായ ഉത്കേന്ദ്രത
Appearance,രൂപഭാവം
Appliance,അപ്ലയൻസ്
Applied mechanics,അപ്ലൈഡ് മെക്കാനിക്സ്
Applied moment,പ്രയോഗിച്ച നിമിഷം
Applied therodynamics,അപ്ലൈഡ് തെറോഡൈനാമിക്സ്
Apprentice,അപ്രന്റീസ്
Apprenticeship,അപ്രന്റീസ്ഷിപ്പ്
Apron,ഏപ്രോൺ
Apron conveyor,ഏപ്രോൺ കൺവെയർ
Arbitratry constant,അനിയന്ത്രിതമായ സ്ഥിരം
Arbor,അർബർ
Arbor flange,ആർബോർ ഫ്ലേഞ്ച്
Arc,ആർക്ക്
Arc,ആർക്ക്
Arc brazing,ആർക്ക് ബ്രേസിംഗ്
Arc deflector,ആർക്ക് ഡിഫ്ലെക്ടർ
Arc duration,ആർക്ക് ദൈർഘ്യം
"Arc, dynamic","ആർക്ക്, ഡൈനാമിക്"
Arc of action,പ്രവർത്തനത്തിന്റെ ആർക്ക്
Arc of approach,സമീപനത്തിന്റെ ആർക്ക്
Arc of contact,കോൺടാക്റ്റ് ആർക്ക്
Arc of recess,ഇടവേളയുടെ ആർക്ക്
Arc voltage,ആർക്ക് വോൾട്ടേജ്
Arc welding,ആർക്ക് വെൽഡിംഗ്
Arc welding transformer,ആർക്ക് വെൽഡിംഗ് ട്രാൻസ്ഫോർമർ
Arch furnace,ആർച്ച് ചൂള
Archimedean screw,ആർക്കിമീഡിയൻ സ്ക്രൂ
Area,ഏരിയ
Area,ഏരിയ
Argon arc welding,ആർഗോൺ ആർക്ക് വെൽഡിംഗ്
Argon glow lamp,ആർഗോൺ ഗ്ലോ ലാമ്പ്
Armouring,കവചം
Arrangement,ക്രമീകരണം
Arrow,അമ്പ്
Arrow diagram,ആരോ ഡയഗ്രം
Arsenic,ആഴ്സനിക്
Artesian truck,ആർട്ടിസിയൻ ട്രക്ക്
Artificial abrasive,കൃത്രിമ ഉരച്ചിലുകൾ
Artificial draft,കൃത്രിമ ഡ്രാഫ്റ്റ്
Artificial hand,കൃത്രിമ കൈ
Artificial intelligence,നിർമ്മിത ബുദ്ധി
Artisian flow,ആർട്ടിഷ്യൻ ഒഴുക്ക്
Asbestos,ആസ്ബറ്റോസ്
Asbestos sheet,ആസ്ബറ്റോസ് ഷീറ്റ്
Ash,ആഷ്
Ash content,ആഷ് ഉള്ളടക്കം
Ash fusion temperature,ആഷ് ഫ്യൂഷൻ താപനില
Ash gate,ആഷ് ഗേറ്റ്
Aspirating burner,ആസ്പിറേറ്റിംഗ് ബർണർ
Aspiration thermometer,ആസ്പിരേഷൻ തെർമോമീറ്റർ
Assemble,കൂട്ടിച്ചേർക്കുക
Assembled,അസംബിൾ ചെയ്തു
Assembly,അസംബ്ലി
Assembly,അസംബ്ലി
Assembly drawing,അസംബ്ലി ഡ്രോയിംഗ്
Assembly fit,അസംബ്ലി ഫിറ്റ്
Assembly jig,അസംബ്ലി ജിഗ്
Assisting engine,സഹായ എഞ്ചിൻ
Astronaut monitoring,ബഹിരാകാശ സഞ്ചാരി നിരീക്ഷണം
Atmosphere,അന്തരീക്ഷം
Atmosphere,അന്തരീക്ഷം
Atmosphere,അന്തരീക്ഷം
Atmospheric corrosion,അന്തരീക്ഷ നാശം
Atmospheric pressure,അന്തരീക്ഷമർദ്ദം
Atom,ആറ്റം
Atomic energy,ആറ്റോമിക് ഊർജ്ജം
Atomic explosion,ആറ്റോമിക് സ്ഫോടനം
Atomic heat,ആറ്റോമിക ചൂട്
Atomic power locomotive,ആറ്റോമിക് പവർ ലോക്കോമോട്ടീവ്
Atomizer jet,ആറ്റോമൈസർ ജെറ്റ്
Atomizing burner,അറ്റോമൈസിംഗ് ബർണർ
Auger,ഓഗർ
Auger bit,അഗർ ബിറ്റ്
Auger drain,ഓഗർ ഡ്രെയിനേജ്
Augmentor,ആഗ്മെന്റർ
Austempering,ഓസ്റ്റമ്പറിംഗ്
Austenite,ഓസ്റ്റിനൈറ്റ്
Auto cartograph,ഓട്ടോ കാർട്ടോഗ്രാഫ്
Auto car truck chassis,ഓട്ടോ കാർ ട്രക്ക് ചേസിസ്
Auto chucking machine,ഓട്ടോ ചക്കിംഗ് മെഷീൻ
Autoclave vulcanisiong press,ഓട്ടോക്ലേവ് വൾക്കനിഷൻ പ്രസ്സ്
Auto code,യാന്ത്രിക കോഡ്
Auto correlation co-efficient,ഓട്ടോ കോറിലേഷൻ കോ-എഫിഷ്യന്റ്
Auto correlation function,ഓട്ടോ കോറിലേഷൻ പ്രവർത്തനം
Autodyne,ഓട്ടോഡൈൻ
Auto feeding machine,ഓട്ടോ ഫീഡിംഗ് മെഷീൻ
Auto ignition,ഓട്ടോ ഇഗ്നിഷൻ
Auto mata,ഓട്ടോ മാതാ
Automatic,ഓട്ടോമാറ്റിക്
Automatic arc welding,ഓട്ടോമാറ്റിക് ആർക്ക് വെൽഡിംഗ്
Automatic brake,ഓട്ടോമാറ്റിക് ബ്രേക്ക്
Automatic brake valve,ഓട്ടോമാറ്റിക് ബ്രേക്ക് വാൽവ്
Automatic clutch coupling,ഓട്ടോമാറ്റിക് ക്ലച്ച് കപ്ലിംഗ്
Automatic control system,ഓട്ടോമാറ്റിക് കൺട്രോൾ സിസ്റ്റം
Automatic device,ഓട്ടോമാറ്റിക് ഉപകരണം
Automatic feeding,യാന്ത്രിക ഭക്ഷണം
Automatic frequency control,ഓട്ടോമാറ്റിക് ഫ്രീക്വൻസി നിയന്ത്രണം
Automatic governor,ഓട്ടോമാറ്റിക് ഗവർണർ
Automatic ignition advance,ഓട്ടോമാറ്റിക് ഇഗ്നിഷൻ അഡ്വാൻസ്
Automatic machine,ഓട്ടോമാറ്റിക് മെഷീൻ
Automatic welding,ഓട്ടോമാറ്റിക് വെൽഡിംഗ്
Automation,ഓട്ടോമേഷൻ
Automobile,ഓട്ടോമൊബൈൽ
Automobile brake,ഓട്ടോമൊബൈൽ ബ്രേക്ക്
Automobile clutch,ഓട്ടോമൊബൈൽ ക്ലച്ച്
Automotive emission control,ഓട്ടോമോട്ടീവ് എമിഷൻ നിയന്ത്രണം
Autonomous sequential machine,ഓട്ടോണമസ് സീക്വൻഷ്യൽ മെഷീൻ
Auto reclose circuit breaker,ഓട്ടോ റിക്ലോസ് സർക്യൂട്ട് ബ്രേക്കർ
Auto reclosing,ഓട്ടോ റിക്ലോസിംഗ്
Auto transformer,ഓട്ടോ ട്രാൻസ്ഫോർമർ
Autoset level,ഓട്ടോസെറ്റ് ലെവൽ
Auxiliary,സഹായക
Auxiliary,സഹായക
Auxiliary air,സഹായ വായു
Auxiliary brake,ഓക്സിലറി ബ്രേക്ക്
Auxiliary inclined plane,ഓക്സിലറി ചെരിഞ്ഞ വിമാനം
Auxiliary line,ഓക്സിലറി ലൈൻ
Auxiliary plane,സഹായ വിമാനം
Auxiliary point,സഹായ പോയിന്റ്
Auxiliary syphon,ഓക്സിലറി സൈഫോൺ
Auxiliary valve,സഹായ വാൽവ്
Auxiliary vector,ഓക്സിലറി വെക്റ്റർ
Auxiliary winding,ഓക്സിലറി വൈൻഡിംഗ്
Availability,ലഭ്യത
Available head,ലഭ്യമായ തല
Available heat,ലഭ്യമായ ചൂട്
Available power,ലഭ്യമായ പവർ
Average angular acceleration,ശരാശരി കോണീയ ത്വരണം
Average angular velocity,ശരാശരി കോണീയ പ്രവേഗം
Average bond stress,ശരാശരി ബോണ്ട് സമ്മർദ്ദം
Average cutting speed,ശരാശരി കട്ടിംഗ് വേഗത
Average heat,ശരാശരി ചൂട്
Average inventory level,ശരാശരി ഇൻവെന്ററി ലെവൽ
Average life,ശരാശരി ജീവിതം
Average speed,ശരാശരി വേഗത
Aviation,വ്യോമയാനം
Aviation fuel,വ്യോമയാന ഇന്ധനം
Avogadro's law,അവോഗാഡ്രോ നിയമം
Avometer,അവോമീറ്റർ
Awl,Awl
Axe,കോടാലി
Axial,അച്ചുതണ്ട്
Axial alignment,അക്ഷീയ വിന്യാസം
Axial blade spacing,അച്ചുതണ്ട് ബ്ലേഡ് സ്പെയ്സിംഗ്
Axial clearance,അച്ചുതണ്ട് ക്ലിയറൻസ്
Axial component,അച്ചുതണ്ട് ഘടകം
Axial compressor,അച്ചുതണ്ട് കംപ്രസ്സർ
Axial discharge,അച്ചുതണ്ട് ഡിസ്ചാർജ്
Axial fan,അച്ചുതണ്ട് ഫാൻ
Axial flow,അച്ചുതണ്ട് ഒഴുക്ക്
Axial flow reaction turbine,ആക്സിയൽ ഫ്ലോ റിയാക്ഷൻ ടർബൈൻ
Axial flow turbine,ആക്സിയൽ ഫ്ലോ ടർബൈൻ
Axial piston pump,അച്ചുതണ്ട് പിസ്റ്റൺ പമ്പ്
Axial pitch,അച്ചുതണ്ട് പിച്ച്
Axial plane,അച്ചുതണ്ട് തലം
Axial pressure angle,അച്ചുതണ്ട് മർദ്ദം ആംഗിൾ
Axial thrust,അച്ചുതണ്ട് ത്രസ്റ്റ്
Axial velocity,അക്ഷീയ പ്രവേഗം
Axis,അച്ചുതണ്ട്
"Axis, central","അച്ചുതണ്ട്, കേന്ദ്രം"
Axis of commutation,കമ്മ്യൂട്ടേഷന്റെ അച്ചുതണ്ട്
Axis of friction,ഘർഷണത്തിന്റെ അച്ചുതണ്ട്
Axis of spin,സ്പിന്നിന്റെ അച്ചുതണ്ട്
Axis of twist,ട്വിസ്റ്റിന്റെ അച്ചുതണ്ട്
Axis strain,ആക്സിസ് സ്ട്രെയിൻ
Axle,ആക്സിൽ
Axle box,ആക്സിൽ ബോക്സ്
Axle distance,ആക്സിൽ ദൂരം
Axle load,ആക്സിൽ ലോഡ്
Axle load ratio,ആക്സിൽ ലോഡ് അനുപാതം
Axle mounted motor,ആക്സിൽ ഘടിപ്പിച്ച മോട്ടോർ
Axle shaft,ആക്സിൽ ഷാഫ്റ്റ്
Axle thrust load,ആക്സിൽ ത്രസ്റ്റ് ലോഡ്
B. A. thread,ബിഎ ത്രെഡ്
B. S. W. thread,BSW ത്രെഡ്
Babbit metal,ബാബിറ്റ് മെറ്റൽ
Babbitting,ബാബിറ്റിംഗ്
Babcox & Wilcox boiler,Babcox &amp; Wilcox ബോയിലർ
Back,തിരികെ
Back blowing,പുറകോട്ട് വീശുന്നു
Back cover,പുറം ചട്ട
Back draft,ബാക്ക് ഡ്രാഫ്റ്റ്
Back fire,പിന്നിലെ തീ
Back fire,പിന്നിലെ തീ
Back flow,ബാക്ക് ഫ്ലോ
