Kannada,Gujarati
"ನಿಯೋಜನೆ ಸಮಸ್ಯೆ ನಿಯೋಜನೆ ಪ್ರಶ್ನೆ,",સોંપણી સમસ્યા સોંપણી પ્રશ્ન
ಸಹಾಯಕ ನಿಯಮ,સહયોગી નિયમ
ನಿರ್ವಾಹಕರ ಸಹಾಯಕ ನಿಯಮ,ઓપરેટરોનો સહયોગી નિયમ
ಸಹಾಯಕ ಕಾರ್ಯಾಚರಣೆ,સહયોગી કામગીરી
ಒಡನಾಟ,સોબત
ಸರಾಸರಿ ಊಹಿಸಲಾಗಿದೆ,ધાર્યું સરેરાશ
ಸಂಭವನೀಯತೆಯ ವಿತರಣೆಯನ್ನು ಊಹಿಸಲಾಗಿದೆ,અનુમાનિત સંભાવના વિતરણ
"ಕಲ್ಪಿಸಿಕೊಂಡ, ಒಪ್ಪಿಕೊಂಡ,","કલ્પના, સ્વીકાર્યું"
ಜ್ಯೋತಿಷ್ಯ,જ્યોતિષશાસ્ત્ર
"ಗಗನಯಾತ್ರಿ ಎಂಜಿನಿಯರ್ ಬಾಹ್ಯಾಕಾಶ ಎಂಜಿನಿಯರ್,",એસ્ટ્રોનોટિકલ એન્જિનિયર સ્પેસ એન્જિનિયર
ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ*,ખગોળશાસ્ત્રી*
ಖಗೋಳ ಗಡಿಯಾರ,ખગોળશાસ્ત્રીય ઘડિયાળ
ಖಗೋಳಶಾಸ್ತ್ರ,ખગોળશાસ્ત્ર
ಅಸಮಪಾರ್ಶ್ವದ ಕರ್ವ್,અસમપ્રમાણ વળાંક
ಅಸಿಮ್ಮೆಟ್ರಿ,અસમપ્રમાણતા
ಲಕ್ಷಣರಹಿತ,એસિમ્પટોટિક
ಉಲ್ಬಣಗೊಳಿಸುತ್ತಿದೆ,ઉત્તેજક
ಪ್ರಗತಿಪರ ಅಂದಾಜುಗಾರ,પ્રગતિશીલ અંદાજકાર
ಹಿಮ್ಮುಖ ಪಕ್ಷಪಾತದ ಅಂದಾಜುಗಾರ,પૂર્વગ્રહ પક્ષપાતી અંદાજકાર
ಹಿಮ್ಮುಖ ನಡವಳಿಕೆ,પૂર્વવર્તી આચરણ
ಆಕ್ರಮಣಕಾರಿ ವಿತರಣಾ ಕಾರ್ಯ,આક્રમક વિતરણ કાર્ય
ಮೇಲ್ಮುಖವಾಗಿ ಹರಡಿತು,ઉપરની તરફ ફેલાવો
ವಾತಾವರಣದ ಒತ್ತಡ,વાતાવરણ નુ દબાણ
"ಯಾದೃಚ್ಛಿಕವಾಗಿ,",અવ્યવસ્થિત રીતે
ಆಸ್ತಿ*,મિલકત*
ಗುಣಲಕ್ಷಣ-ಮಾದರಿ-ಯಾಂತ್ರಿಕತೆ,એટ્રિબ્યુટ-સેમ્પલિંગ-મિકેનિઝમ
ವರ್ಧಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್,સંવર્ધિત મેટ્રિક્સ
ಸ್ವಯಂ ಸಂಬಂಧ ಗುಣಾಂಕ,સ્વતઃસંબંધ ગુણાંક
ಸ್ವಯಂ ಸಂಬಂಧ ಕಾರ್ಯ,સ્વતઃસંબંધ કાર્ય
ಸಹವರ್ತಿತ್ವ,સહપ્રવૃત્તિ
ಸ್ವಯಂಚಾಲಿತ ಕಂಪ್ಯೂಟರ್,સ્વચાલિત કમ્પ્યુટર
ಸ್ವಯಂ ಹಿನ್ನಡೆ,ઓટોરીગ્રેશન
ಸಹಾಯಕ ಸಮೀಕರಣ,સહાયક સમીકરણ
ಸರಾಸರಿ ಮಾದರಿ ಸಂಖ್ಯೆ ಕರ್ವ್ (MPC ಕರ್ವ್),મીન સેમ્પલ નંબર કર્વ (MPC કર્વ)
"ಮೂಲತತ್ವ, ಮೂಲತತ್ವ","axiom, axiom"
ಮೂಲತತ್ವ ವಿಧಾನ,સ્વયંસિદ્ધ અભિગમ
ಸಂಭವನೀಯತೆಯ ಮೂಲತತ್ವ,સંભાવના સ્વયંસિદ્ધ
ಅಕ್ಷರೇಖೆ,ધરી
ಭುಜಾಕ್ಷ,ભુજક્ષા
ಭೂಮಿಯ ಅಕ್ಷ,પૃથ્વીની ધરી
ತಿರುಗುವ ಅಕ್ಷ,પરિભ્રમણ અક્ષ
ತಿರುಗುವಿಕೆಯ ಅಕ್ಷ,પરિભ્રમણ અક્ષ
ಸ್ಪಿನ್ ಅಕ್ಷ,સ્પિન અક્ષ
ಪೋಸ್ಟ್ ಬದಲಿ,પોસ્ટ રિપ્લેસમેન્ટ
ನಂತರ,પાછળથી
ಹಿಂದಿನ ಅಳವಡಿಕೆ ಸೂತ್ರ,પાછા નિવેશ સૂત્ર
"ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ","સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન"
ಸಮತೋಲಿತ ವಿನ್ಯಾಸ,સંતુલિત ડિઝાઇન
ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್,સરવૈયા
ಕ್ಷಿಪಣಿ,મિસાઇલ
"ಬ್ಯಾಲಿಸ್ಟಿಕ್ಸ್, ಶಸ್ತ್ರಾಸ್ತ್ರ","બેલિસ્ટિક્સ, હથિયાર"
"ಕಾಲಮ್, ಬಾರ್, ಕಾಬ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಲೈನ್, ಲೈನ್, ಟೆಸ್ಟ್ ಲೈನ್, ಎಡ್ಜ್","કૉલમ, બાર, કોબ, બાર, બાર, બાર, બાર, બાર, બાર, રેખા, રેખા, પરીક્ષણ રેખા, ધાર"
"ಬೇಸ್, ಬೇಸ್, ಬೇಸ್, ಬೇಸ್, ಬೇಸ್","આધાર, આધાર, આધાર, આધાર, આધાર"
ಮೂಲ ಕೋನ,આધાર કોણ
"ಲಾಗರಿಥಮ್ನ ಆಧಾರ, ಲಾಗರಿಥಮ್ನ ಆಧಾರ","લઘુગણકનો આધાર, લઘુગણકનો આધાર"
"ಮೂಲಭೂತ, ಮೂಲಭೂತ,","મૂળભૂત, મૂળભૂત"
ಮೂಲ ಸುಸಂಬದ್ಧ ಪರಿಹಾರ,આધાર સુસંગત ઉકેલ
ಮೂಲ ಪರಿಹಾರ,આધાર ઉકેલ
ಮೂಲ ವೇರಿಯಬಲ್,આધાર ચલ
ಬೇಸ್,પાયો
ಮೂಲ ಅಂಶ,આધાર તત્વ
ಮೂಲ ಮ್ಯಾಟ್ರಿಕ್ಸ್,આધાર મેટ્રિક્સ
ವೆಕ್ಟರ್ ಜಾಗದ ಆಧಾರ,વેક્ટર જગ્યાનો આધાર
ಉಪಜನಸಂಖ್ಯೆಯ ಆಧಾರ,પેટા-વસ્તીનો આધાર
ನಿರ್ಲಜ್ಜ,અનૈતિક
ಬೆಜ್-ನಿಯಮ,bez-નિયમ
ಬೆಜ್-ಪ್ರಮೇಯ,bez-પ્રમેય
ಬರ್ನೌಲಿ-ವಿತರಣೆ,bernoulli-વિતરણ
ಬರ್ನೌಲ್ಲಿ ಸಂಖ್ಯೆಗಳು,બર્નોલી નંબરો
ಬರ್ನೌಲ್ಲಿ ಸಂಭವನೀಯತೆ ಕಾರ್ಯ,Bernoulli સંભાવના કાર્ય
ಬರ್ನೌಲ್ಲಿ-ಸಮೀಕರಣ,બર્નોલી-સમીકરણ
ಬೆರ್ರಿ ಕಾರ್ಯ,બેરી કાર્ય
ಅತ್ಯುತ್ತಮ ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,શ્રેષ્ઠ સંલગ્નતા
ಅತ್ಯುತ್ತಮ ಅಂಟಿಕೊಳ್ಳುವ ರೇಖೆ,શ્રેષ્ઠ સંલગ્નતા રેખા
ಉತ್ತಮ ಪರಿಹಾರ,શ્રેષ્ઠ ઉકેલ
ಅತ್ಯುತ್ತಮ ಸಲಹೆಗಳು,શ્રેષ્ઠ ટીપ્સ
ಬೀಟಾ ವಿತರಣೆ,બીટા વિતરણ
"ಪಕ್ಷಪಾತ, ಪಕ್ಷಪಾತ","પૂર્વગ્રહ, પૂર્વગ્રહ"
ಪಕ್ಷಪಾತದ ಮೌಲ್ಯಮಾಪನ,પક્ષપાતી આકારણી
ದ್ವಿಪದ ಸಮೀಕರಣ,દ્વિપદી સમીકરણ
ಒಂದೇ ಕವರ್,એક કવર
ಒಂದೇ ಕವರ್ ನಕ್ಷೆ,એક કવર નકશો
ಏಕ ಕವರ್ ಮ್ಯಾಪಿಂಗ್,સિંગલ કવર મેપિંગ
ಚತುರ್ಭುಜ ಚತುರ್ಭುಜ,ચતુર્ભુજ ચતુર્ભુજ
ಬೈಲಿನಿಯರ್ ಕಾರ್ಯ,દ્વિરેખીય કાર્ય
ಬೈಲಿನಿಯರ್ ಹರ್ಮಿಟಿಯನ್ ಏಕರೂಪತೆ,દ્વિરેખીય સંન્યાસી એકરૂપતા
"ದ್ವಿ-ವೇರಿಯಬಲ್, ಬೈನರಿ, ಡ್ಯುಯಲ್","દ્વિ-ચલ, દ્વિસંગી, દ્વિ"
"ಬೈನರಿ ಕೋಡ್, ಬೈನರಿ ಕೋಡ್","બાઈનરી કોડ, બાઈનરી કોડ"
"ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ, ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ","દ્વિસંગી કોડેડ દશાંશ, દ્વિસંગી કોડેડ દશાંશ"
ಬೈನರಿ ಎನ್ಕೋಡಿಂಗ್,બાઈનરી એન્કોડિંગ
ಬೈನರಿ ಕಂಪ್ಯೂಟರ್,દ્વિસંગી કમ્પ્યુટર
ಬೈನರಿ ಸಂಖ್ಯೆಗಳು,દ્વિસંગી સંખ્યાઓ
ಬೈನರಿ ಕಾರ್ಯಾಚರಣೆ,દ્વિસંગી કામગીરી
ಬೈನರಿ ವಿಧಾನ,દ્વિસંગી પદ્ધતિ
ಬೈನರಿ ವೇರಿಯಬಲ್,દ્વિસંગી ચલ
ದ್ವಿಪದ ಗುಣಾಂಕ,દ્વિપદી ગુણાંક
ದ್ವಿಪದ ವಿತರಣೆ,દ્વિપદી વિતરણ
ದ್ವಿಪದ ಸಮೀಕರಣ,દ્વિપદી સમીકરણ
ದ್ವಿಪದ ವ್ಯತ್ಯಾಸ,દ્વિપદી ભિન્નતા
ದ್ವಿಪದ ಅಭಿವ್ಯಕ್ತಿ,દ્વિપદી અભિવ્યક્તિ
ದ್ವಿಪದ ಯಾದೃಚ್ಛಿಕ ವೇರಿಯಬಲ್,દ્વિપદી રેન્ડમ ચલ
ದ್ವಿಪದ ಪ್ರಮೇಯ,દ્વિપદી પ્રમેય
"ಅರ್ಧ, ಕವಲೊಡೆಯುವಿಕೆ","અર્ધ, વિભાજન"
"ಬೈಸೆಕ್ಟ್ ವಿಧಾನ, ಸೆಮಿಡಿವಿಷನ್ ವಿಧಾನ","દ્વિભાજ્ય પદ્ધતિ, અર્ધવિભાજન પદ્ધતિ"
ಅರ್ಧ ದ್ವಿಭಾಜಕ,અડધા દ્વિભાજક
"ದ್ವಿಪದ, ದ್ವಿಪದ",દ્વિપદી
"ದ್ವಯಾಂಕ್ (ದ್ವಿಮಾನ ಸಂಖ್ಯೆ), ಅನಿ, ಬರ್ಮೀಸ್, ತುಕ್","દ્વાયાંક (દ્વિસંગી અંક), અની, બર્મીઝ, ટુક"
ದ್ವಿಪದ ದ್ವಿಪದ ವಿತರಣೆ ದ್ವಿಪದ,દ્વિપદી દ્વિપદી વિતરણ દ્વિપદી
ದ್ವಿಗುಣ ಪರಸ್ಪರ ಸಂಬಂಧ ಗುಣಾಂಕ,દ્વિવિધ સહસંબંધ ગુણાંક
ದ್ವಿಗುಣ ವಿತರಣೆ,દ્વિવિધ વિતરણ
ದ್ವಿಗುಣ ಸಾಮಾನ್ಯ-ವಿತರಣೆ,બાયવેરિયેટ સામાન્ય-વિતરણ
ಬೈವೆಕ್ಟರ್,બાઇવેક્ટર
ಬೋಲ್ಟ್‌ಮನ್ ಸಮೀಕರಣ,બોલ્ટમેન સમીકરણ
ಬೂಲಿಯನ್ ಬೀಜಗಣಿತ*,બુલિયન બીજગણિત*
ಬೋಸ್-ಐನ್ಸ್ಟೈನ್ ಅಂಕಿಅಂಶಗಳು,બોઝ-આઈન્સ્ટાઈન સ્ટેટિસ્ટિક્સ
ಮಿತಿ ನಿರ್ಬಂಧಗಳು,મર્યાદા પ્રતિબંધો
ಗಡಿ ಮಟ್ಟ,સીમા સ્તર
ಗಡಿ ರೇಖೆ,સીમા રેખા
ಮಿತಿ ಮೌಲ್ಯ,મર્યાદા મૂલ્ય
ಗಡಿ ಮೌಲ್ಯದ ಸಮಸ್ಯೆ,સીમા મૂલ્યની સમસ્યા
"ಪರಿಮಿತಿ ಕಾರ್ಯ ಸೀಮಿತ ಹಣ್ಣು,",બાઉન્ડેડ ફંક્શન બાઉન્ડેડ ફલ
