Malayalam,English
ആപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ,application software
ആപ്ലിക്കേഷൻ ഭാഷ,applicative language
ഏകദേശ തത്വം,approximation theory
ഘടന,architecture
ഫീൽഡ് കൈമാറ്റം,area transfer
"1. പരാമീറ്റർ, സ്വതന്ത്ര വേരിയബിൾ, 2. ആംഗിൾ",argument
"1. അരിത്മെറ്റിക് ആൻഡ് ലോജിക് യൂണിറ്റ്, 2. അരിത്മെറ്റിക് ആൻഡ് ലോജിക് യൂണിറ്റ്",arithmatic and logic unit
ഗണിത പരിശോധന,arithmatic check
ഗണിത സ്ഥിരാങ്കം,arithmatic constant
ഗണിത ഡാറ്റ,arithmatic data
ഗണിത നിർദ്ദേശം,arithmatical instruction
മാത്തമാറ്റിക്കൽ ആൻഡ് ലോജിക്കൽ യൂണിറ്റ് (ALU),arithmetic and logic unit (ALU)
ARPA നെറ്റ് (RPNet),ARPANET
അറേ,array
"1. അറേ കാഷെ, 2. അറേ വേഗത, 3. അറേ മെമ്മറി",array cache
അറേ കമ്പ്യൂട്ടർ,array computer
അറേ ഘടകം,array element
അറേ പേര്,array name
അറേ പ്രോസസർ,array processor
അമ്പടയാള കീ,arrow keys
ഉടമ്പടി,articulation
ജംഗ്ഷൻ പോയിന്റ്,articulation point
കൃത്രിമ കോംപാക്ഷൻ,artificial compaction
കൃത്രിമ നിയന്ത്രണം,artificial control
കൃത്രിമബോധം,artificial intelligence
മൗണ്ട്,ascender
ആരോഹണ തരം,ascending sort
ascii അക്ഷരമാല,ASCII betical order
ascii നിയന്ത്രണ ചിഹ്നം,ASCII control character
ascii ഫയൽ,ASCII file
ascii ഫോണ്ട്,ASCII font
ASCII കൈമാറ്റം,ASCII transfer
വീക്ഷണാനുപാതം,aspect ratio
"1. ആസ്പി, 2. എ.എസ്.പി.ഐ",ASPI
എ എസ് ആർ കാലാട്,ASR timer
"1. ഓർമ്മപ്പെടുത്തൽ, 2. കൂട്ടിച്ചേർക്കൽ, 3. കൂട്ടിച്ചേർക്കാൻ",assemble
"1. അസംബ്ലർ, 2. ഓർമ്മപ്പെടുത്തൽ",assembler
"1. അസംബ്ലിംഗ് , 2. അനുസ്മരണം",assembly
"1. ഓർമ്മപ്പെടുത്തൽ ഭാഷ, 2. അസംബ്ലിംഗ് ഭാഷ",assembly language
ദൃഢനിശ്ചയം,assertion
"1. നിർദ്ദിഷ്ട ജോലി, 2. വിഹിതം",assignment
കൂട്ടുകെട്ട്,association
അനുബന്ധ വിലാസം,associative address
"1. അനുബന്ധ മെമ്മറി, 2. അനുബന്ധ മെമ്മറി",associative memory
നക്ഷത്രചിഹ്നം (* ചിഹ്നം),asteric
അസമമായ,asymmetric
"1. അസമന്വിത , 2. അസമന്വിത",asynchronous
അസിൻക്രണസ് ഡിജിറ്റൽ സബ്സ്ക്രൈബർ ലൈൻ (ADSL),asynchronous Digital Subscriber Line (ADSL)
അസിൻക്രണസ് ടൈം ഡിവിഷൻ മൾട്ടിപ്ലെക്സിംഗ് (ATDM),asynchronous Time Division Multiplexing (ATDM)
അസമന്വിത കൈമാറ്റം,asynchronous transfer
അസിൻക്രണസ് ട്രാൻസ്ഫർ മോഡ് (എടിഎം),asynchronous Transfer Mode (ATM)
"1. ആറ്റം, 2. പരമൻ",atom
അറ്റാച്ചുചെയ്ത പ്രമാണം,attached document
"1. അറ്റാച്ചുചെയ്ത ഫയൽ/മിസിൽ, 2. അറ്റാച്ചുചെയ്ത ഫയൽ",attached file
"1. എൻക്ലോഷർ, 2. അഫിലിയേറ്റഡ്",attachment
"1. പ്രോപ്പർട്ടികൾ, 2. സ്പെഷ്യാലിറ്റി",attribute
കേൾക്കാവുന്ന,audio
"1. ഓഡിറ്റ് പ്രോഗ്രാമിംഗ്, 2. ഓഡിറ്റ് പ്രോഗ്രാമിംഗ്",audit programming
അക്കൗണ്ട് സ്ഥിരീകരണം,audit trail
പ്രമോഷൻ,augmentation
സർട്ടിഫിക്കേഷൻ പ്രോട്ടോക്കോൾ,authentication protocol
എഴുത്ത് രീതി,authoring system
"1. അധികാരം, 2. അധികാരം, 3. ട്രിബ്യൂണൽ",authorization
യാന്ത്രിക സംഗ്രഹം,auto abstract
"1. ഓട്ടോ ബൂട്ടിംഗ്, 2. സ്വയം ബൂട്ട്",autobooting
ഓട്ടോകാഡ് (ഒരു കമ്പ്യൂട്ടർ ഭാഷ),autocad
യാന്ത്രിക ലോഗ്-ഓൺ,autolog on
ഓട്ടോമാറ്റ,automata
ഓട്ടോമാറ്റ സിദ്ധാന്തം,automata theory
ഓട്ടോമാറ്റിക് കണക്കുകൂട്ടൽ,automatic computing
ഓട്ടോമാറ്റിക് ഡാറ്റ പ്രോസസ്സിംഗ്,automatic data processing
യാന്ത്രിക പിശക് തിരുത്തൽ,automatic error correction
യാന്ത്രിക പ്രവർത്തനം,automatic function
"1. ഓട്ടോമാറ്റിക് ഇൻഡക്‌സിംഗ്, 2. യാന്ത്രിക ലിസ്റ്റിംഗ്",automatic indexing
യാന്ത്രിക ശേഖരണ കോൾ,automatic library call
"1. ഓട്ടോമാറ്റിക് പ്രോഗ്രാമിംഗ്, 2. ഓട്ടോമാറ്റിക് പ്രോഗ്രാമിംഗ്",automatic programming
"1. ഓട്ടോമാറ്റിക് റിക്കവറി പ്രോഗ്രാം, 2. ഓട്ടോമാറ്റിക് റിക്കവറി പ്രോഗ്രാം",automatic recovery program
യാന്ത്രിക ദിനചര്യ,automatic routine
ഓട്ടോമാറ്റിക് സിസ്റ്റം വീണ്ടെടുക്കൽ,automatic system recovery
"1. ഓട്ടോമാറ്റിക് ടെല്ലർ മെഷീനുകൾ (എടിഎം), 2. സ്വയം പിൻവലിക്കാൻ ബാങ്ക് എ.ടി.എം",automatic teller machine (ATM)
ഓട്ടോമേഷൻ,automation
"1. ഓട്ടോപ്ലേ , 2. ഓട്ടോ നടത്തം",autoplay
വോക്കലൈസേഷൻ,autosave
അസിസ്റ്റന്റ്,auxiliary
സഹായ മെമ്മറി,auxiliary memory
സഹായ സംഭരണം,auxiliary storage
ലഭ്യമായ പട്ടിക,available list
ലഭ്യമായ സമയം,available time
ശരാശരി,average
AWK (ഒരു കമ്പ്യൂട്ടർ കമാൻഡ്),awk (language)
ശേഷം,backend
പോസ്റ്റ് പ്രോസസർ,backend processor
പിൻഭാഗത്തെ പ്രവർത്തനം ഇല്ലാതാക്കൽ,backface removal
പശ്ചാത്തല പ്രോസസ്സിംഗ്,background processing
അനുബന്ധ സ്റ്റോറുകൾ,backing store
ബാക്ക് പാച്ചിംഗ്,backpatching
"1. പടിഞ്ഞാറ്, 2. ബാക്ക്സ്പേസ്",backspace
ബാക്ക്ട്രാക്കിംഗ്,backtracking
"1. ബാക്കപ്പ് , 2. തിരിച്ചടവ്",back-up
"1. കോംപ്ലിമെന്ററി മെമ്മറി, 2. ബാക്കപ്പ് മെമ്മറി",back-up memory
പിന്നിലെ പിശക് തിരുത്തൽ,backward error recovery
(വരുമാനം-ചെലവ്) ബാലൻസ് ഷീറ്റ്,balance sheet
ബാൻഡേജ്,band
"1. ബാൻഡ് വീതി, 2. ബാൻഡ്‌വിഡ്ത്ത്/കപ്പാസിറ്റി",band width
ബാങ്കറുടെ അൽഗോരിതം,banker's algorithm
"1. ബാർ കോഡ്, 2. ബാർ കോഡ്",bar code
ബാർകോഡ് സ്കാനർ,bar code scanner
ബാർ ഗ്രാഫ്,bar graph
അടിസ്ഥാന വിലാസം,base address
അടിസ്ഥാന ബാൻഡ്,base band
ആധാർ നമ്പർ,base number
അടിസ്ഥാന പട്ടിക,base table
അടിസ്ഥാന (ഒരു കമ്പ്യൂട്ടർ ഭാഷ),BASIC
"1. അടിസ്ഥാന നിയന്ത്രണം , 2. അടിസ്ഥാന നിയന്ത്രണം",basic control
"1. യഥാർത്ഥ നിക്ഷേപം, 2. അടിസ്ഥാന നിക്ഷേപം",basic input
അടിസ്ഥാന നിർദ്ദേശം,basic instruction
അടിസ്ഥാന പ്രശ്നം,basic output
അടിസ്ഥാന ഘട്ടം,basic step
"1. ബാച്ച്, 2. ഗ്രൂപ്പ്, 3. ദുരന്തം",batch
"1. ബാച്ച് ഫയൽ, 2. ബാച്ച് ഫയൽ",batch file
ബാച്ച് നില,batch position
"1. ബാച്ച് പ്രോസസ്സിംഗ്, 2. ഗ്രൂപ്പ് പ്രോസസ്സിംഗ്",batch processing
"1. ബാച്ച് സിസ്റ്റം, 2. കവണ സംവിധാനം",batch system
ബൗഡ്,baud
ബാഡ് നിരക്ക്,baud rate
ബീം ബീം,beam
"1. മാർഗ്ഗനിർദ്ദേശങ്ങൾ , 2. ബാച്ച് മാർക്ക്",benchmark
ദ്വിദിശ ആശയവിനിമയം,bidirectional communication
നേരിട്ടുള്ള ലിങ്ക്,bidirectional link
ബൈനറി കോഡ്,binary code
ബൈനറി അക്കങ്ങൾ,binary digit
ബൈനറി ഇൻവെസ്റ്റ്‌മെന്റ് ഔട്ട്‌പുട്ട് സിസ്റ്റം (BIOS),binary Input output system (BIOS)
ബൈനറി നമ്പർ,binary number
ബൈനറി ഓപ്പറേറ്റർ,binary operator
ബൈനറി ബന്ധം,binary relation
ബൈനറി തിരയൽ,binary search
ബൈനറി എക്സ്പ്ലോറേഷൻ ട്രീ (BST),binary search tree (BST)
"1. ബൈനറി ട്രാൻസ്ഫർ ട്രീ, 2. ബൈനറി കൈമാറ്റം",binary transfer
ബൈനറി മരം,binary tree
"1. ബൈപോളാർ മെമ്മറി, 2. ബൈപോളാർ മെമ്മറി",bipolar memory
"1. ജനന-മരണ മാതൃക, 2. ജനന മരണ മാതൃക",birth death model
ജനന മരണ പ്രക്രിയ,birth death process
"1. ഡ്യൂക്ക്, 2. ബിറ്റ്",bit
ചെറിയ തെറ്റ്,bit fault
ബിറ്റ് മാപ്പ്,bit map
"1. ബിറ്റ്, 2. ഭൂപടം, 3. പിക്സൽ (BMP)",bit map pixel (BMP)
"1. ബിറ്റ് മാട്രിക്സ്, 2. ബിറ്റ് ടേബിൾ",bit matrix
ബിറ്റ് പാറ്റേൺ,bit pattern
ബിറ്റ് സ്ഥാനം,bit position
"1. ബിറ്റ് റേറ്റ്, 2. ബിറ്റ് നിരക്ക്",bit rate
കണ്ണടച്ച് പരിശോധന,black box testing
മിന്നിത്തിളങ്ങുക,blinking
തടയുക,block
"1. ബ്ലോക്ക് കാഷെ, 2. ബ്ലോക്ക് കാഷെ / ചങ്ക് മെമ്മറി",block cache
ബ്ലോക്ക് അന്വേഷണം,block check
വോളിയം കോപ്പി,block copy
ബ്ലോക്ക് ഡയഗ്രം,block diagram
"1. ബ്ലോക്ക്ഡ് നെറ്റ്‌വർക്ക്, 2. ബ്ലോക്ക്ഡ് നെറ്റ്‌വർക്ക്",blocking network
ബോർഡ്,board
പേജ് മെമ്മറി,book mark
ബൂളിയൻ ബീജഗണിതം,boolean algebra
ബൂളിയൻ ബന്ധം,boolean relation
ബൂട്ട് പാർട്ടീഷൻ,boot partition
ബൂട്ട് സ്ട്രാപ്പിംഗ്,boot strapping
1.ബൂട്ട്സ്ട്രാപ്പ് ലോഡർ,boot-strap loader
"1.പാലം, 2.പാലം",bridge
ബ്രോഡ്ബാൻഡ് നെറ്റ്വർക്ക്,broadband networking
പ്രക്ഷേപണം,broadcast
പ്രക്ഷേപണം റേഡിയോ,broadcast radio
(നെറ്റ്) വ്യത്യാസം,browse
(നെറ്റ്) വികാരി,browser
ബി-ട്രൂ,B-Tree
"1.ബബിൾ മെമ്മറി, 2.ബബിൾ മെമ്മറി",bubble memory
ബബിൾ അടുക്കുക,bubble sort
"1.ബക്കറ്റ്, 2.ബക്കറ്റ്",bucket
"1. സാഹോദര്യ വ്യവസ്ഥ, 2. വലിയ സംവിധാനം",buddy system
ഫലപ്രദമായ ബജറ്റ് നിയന്ത്രണം,budget effective control
ബഫർ,buffer
പോരായ്മ,bug
മതി,bus
"1. അഷ്ട വ്യാങ്ക്, 2. ബിറ്റ് (എട്ട് ബിറ്റുകൾ)",byte
ബൈറ്റ് കോഡ്,byte code
സി (കമ്പ്യൂട്ടർ ഭാഷ),c
"1.സി പ്ലസ് പ്ലസ്, 2.സി++ (കമ്പ്യൂട്ടർ ഭാഷ)",C++
"1. പണം, 2. വേഗം, 3.വേഗത",cache
"1.കാഷെ ബഫർ, 2.മെമ്മറി ബഫർ",cache buffer
"1.കാഷെ മെമ്മറി, 2.കാഷെ മെമ്മറി, 3.ഫാസ്റ്റ് മെമ്മറി",cache memory
കണക്കുകൂട്ടല്,calculation
"1.കാൽക്കുലേറ്റർ, 2.കാൽക്കുലേറ്റർ",calculator
"1.കാൽക്കുലേറ്റർ ചിപ്പ്,2. കാൽക്കുലേറ്റർ ചിപ്പ്",calculator chip
അഭ്യർത്ഥിക്കുക,call
പേര് വിളി,call by name
റഫറൻസ് കോൾ,call by reference
ബഹുമാന കോൾ,call by value
വേരിയബിൾ കോൾ,call by variables
അഭ്യർത്ഥന കവാടം,call gate
"1. റദ്ദാക്കുക, 2. റദ്ദാക്കുക",cancel
അസാധുവാക്കൽ ബട്ടൺ,cancel button
"1. നിർദേശിക്കപ്പെട്ടത്, 2. കാനോനിക്കൽ",canonical
കാനോനിക്കൽ രൂപം,canonical form
കഴിവ്,capability
ശേഷി പട്ടിക,capability list
"1. കഴിവ്, 2. പിടിക്കുന്നു",capacity
ക്യാപ്സ് ലോക്ക് കീ,caps lock key
"1.കാർഡ്, 2. ഷീറ്റ്",card
കാർഡ് റീഡർ,card reader
പ്രാധാന്യം,cardinality
വാഹകൻ,carrier
കാരിയർ ബാൻഡ്,carrier band
കാരിയർ ലോഡ്,carrier load
കാരിയർ സിഗ്നൽ,carrier signal
കാരിയർ തരംഗം,carrier wave
നേടിയത്,carry
സ്കോർ നേടി,carry digit
പതാക നേടി,carry flag
"1.കാട്രിഡ്ജ് ഡിസ്ക്, 2.കാട്രിഡ്ജ് ഡിസ്ക്",cartridge disk
"1. കാസ്കേഡ്, 2. കാസ്കേഡ്",cascade
കേസ്,case
കാഥോഡ്-റേ-ട്യൂബ് (CRT),cathod ray tube (CRT)
കാഥോഡ് റേ ട്യൂബ് (CRT) കാഥോഡ് റേ ട്യൂബ്,cathode ray tube (CRT)
സിഡി റോം ഡിസ്ക് ഡ്രൈവ്,CD ROM disk drive
സെൽ,cell
സെൽ ആനിമേഷൻ,cell animation
സെല്ലുലാർ ഫോൺ,cellular phone
"1. സെൻട്രൽ മെമ്മറി, 2. കേന്ദ്ര മെമ്മറി",central memory
സെൻട്രൽ പ്രോസസ്സിംഗ് യൂണിറ്റ് (സിപിയു),central processing unit (CPU)
കേന്ദ്രീകൃത സംവിധാനം,centralized system
ആധികാരികതയുള്ള ടേപ്പ്,certified tape
ചങ്ങല,chain
"1.സീരീസ് ഡാറ്റ, 2.സീരീസ് ഉള്ളടക്കം",chain data
ചെയിൻ ലിങ്ക്,chain link
ചങ്ങല,chaining
"1.ചാനൽ, 2.ചാനൽ",channel
"1.ചാനൽ തിരക്കുള്ള ടോൺ, 2.ചാനൽ തിരക്കുള്ള ടോൺ",channel busy tone
"1.ചാനൽ കപ്പാസിറ്റി, 2.ചാനൽ കപ്പാസിറ്റി",channel capacity
"1.ചാനൽ കൺട്രോളർ, 2.ചാനൽ കൺട്രോളർ",channel controller
"1. ചാനൽ പിശക്, 2.ചാനൽ പിശക്",channel error
"1.ചാനൽ പ്രോഗ്രാം, 2.ചാനൽ പ്രോഗ്രാം",channel program
"1.ചാനൽ വിശ്വാസ്യത, 2.ചാനൽ വിശ്വാസ്യത",channel reliability
"1.ചാനൽ സെറ്റ്, 2.ചാനൽ സെറ്റ്",channel set
ചിഹ്നം,character
"1. പ്രതീക കോഡ്, 2. പ്രതീക കോഡ്",character code
പ്രതീക കീ,character key
പ്രതീക വായനക്കാരൻ,character reader
"1. എംബ്ലം സൈസ്, 2. എംബ്ലം സൈസ്",character size
ചിത്രപരമായ,chart
"1. ചേസിസ്, 2. ചേസിസ്",chassis
ചെക്ക് ബിറ്റ്,check bit
ചെക്ക് പോയിന്റുകൾ,check digit
മൊത്തം പരിശോധിക്കുക,check sum
ചെക്ക് വാക്ക്,check word
ചിപ്പ്,chip
ചിപ്പ് സെറ്റ്,chip set
"1.തിരഞ്ഞെടുക്കുക, 2.തിരഞ്ഞെടുക്കുക",choose
അക്ഷരമാലാക്രമത്തിൽ,chromatically
"1.സഫർ, 2. പൂജ്യം, 3. നാവികൻ",cipher
സർക്യൂട്ട്,circuit
സർക്കിൾ ലിസ്റ്റ്,circular list
സെറസ്,cirus
പരാമർശിക്കുക,citation
"1.വിഭാഗം, 2.വിഭാഗം",class
ക്ലാസ് വേരിയബിൾ,class variable
വർഗ്ഗീകരണം,classification
തോട്ടിപ്പണി,clear
വൃത്തിയാക്കിയ പ്രദേശം,clear area
"1. ക്ലീൻ അപ്പ് സിസ്റ്റം, 2. ചാനൽ മായ്‌ക്കുക",clear channel
അമർത്തുക,click
"1. ഉപഭോക്താവ്, 2. കക്ഷി",client
"1. ക്ലയന്റ് സെർവർ, 2. ക്ലയന്റ് സെർവർ",client server
ഉപഭോക്തൃ അപൂർണ്ണം,client stub
ഷയറിംഗ് ആർട്ട്,clip art
ഷീറിംഗ് ആർട്ട് ലൈബ്രറി,clip art library
ക്ലിപ്പ് ബോർഡ്,clip board
ക്ലിപ്പർ,clipper
ക്ലിപ്പർ ചിപ്പ്,clipper chip
വിഭാഗം,clique
"1. വാച്ച്, 2. കാലാഡ്",clock
ക്ലോക്ക് സൈക്കിൾ,clock cycle
ക്ലോക്ക് ആവൃത്തി,clock frequency
കാലാഡ് ഹാർഡ്‌വെയർ,clock hardware
കലാഡ് സ്പാൻഡ്,clock pulse
ക്ലോക്ക് വേഗത,clock speed
സമയ സമന്വയം,clock synchronization
ക്ലോക്ക് ടിക്ക്,clock tick
ക്ലോൺ,clone
ഓഫ്,close
ക്ലോസ്ഡ് സർക്യൂട്ട് ടിവി (സിസിടിവി),close circuit TV (CCTV)
വിവരണം,closure
"1.ക്ലൗഡ് കമ്പ്യൂട്ടിംഗ്, 2.ക്ലൗഡ് കമ്പ്യൂട്ടിംഗ്",cloud computing
കുല,cluster
"1. കവർഡ് കാർഡ്, 2. പൊതിഞ്ഞ ഷീറ്റ്",coated card
പൊതിഞ്ഞ പേപ്പർ,coated paper
ഏകപക്ഷീയമായ,coaxial
ഏകോപന കേബിൾ,coaxial cable
കോഡാസിൽ,codasyl
"1.കോഡ്, 2.കോഡ്",code
"1. കോഡ് ജനറേറ്റർ, 2. കോഡ് ജനറേറ്റര്",code generator
കോഡ് പേജ്,code page
"1.കോഡ് വേഡ്, 2.കോഡ് വേഡ്",code word
"1.കോഡർ, 2.കോഡർ",coder
"1. എൻകോഡിംഗ് ടെസ്റ്റ്, 2. കോഡിംഗ് ടെസ്റ്റ്",coding check
എൻകോഡിംഗ് ഫോം,coding form
"1. എൻകോഡിംഗ് ഷീറ്റ്, 2. കോഡിംഗ് ഷീറ്റ്",coding sheet
ഗുണകം,coefficient
കെട്ടുറപ്പ്,coherence
"1.കോൾഡ് ബൂട്ട്, 2.കോൾഡ് സ്റ്റാർട്ട്",cold boot
തണുത്ത തുടക്കം,cold start
സഹായം,collaboration
തകർച്ച,collapse
"1. ഉൾപ്പെടുത്തൽ, 2. സംയോജിപ്പിക്കുക",collate
"1.ഇൻഡക്സ്ഡ് ടേപ്പ്,2. കോളറ്റ് ടേപ്പ്",collate tape
കൂട്ടിയിടി,collision
കോളൻ,colon
"1. കഥാപാത്രങ്ങൾ, 2. നിറങ്ങൾ",colour (color)
വർണ്ണ സാച്ചുറേഷൻ,colour saturation
വർണ്ണ പട്ടിക,colour table
സ്തംഭം,column
കോമ്പിനേഷൻ,combination
സംയുക്ത പെട്ടി,combo box
"1.കമാൻഡ്, 2.കമാൻഡ്",command
കമാൻഡ് ബട്ടൺ,command button
കമാൻഡ് ലിസ്റ്റ്,command list
അഭിപ്രായം,comment
