Punjabi,English
ਕਾਰਵਾਈ ਜੁਗਤ,Action plan
ਕਿਰਿਆਸ਼ੀਲ,Active
ਸਰਗਰਮੀ ਨਾਲ,Actively
ਕਾਰਜਕਰਤਾ,Activist
ਰੱਬ ਦਾ ਕੰਮ,Act of God
ਦੁਰਵਿਵਹਾਰ ਦਾ ਕੰਮ,Act of misconduct
ਕਮਿਸ਼ਨ ਅਤੇ ਗਲਤੀ ਦਾ ਕੰਮ,Act of commission and omission
ਅਸਲ,Actual
ਅਸਲ,Actuals
ਅਨੁਕੂਲਤਾ,Adaptation
ਜੋੜ,Addition
ਅਤਿਰਿਕਤ ਚਾਰਜ,Additional charge
ਵਾਧੂ ਫੰਡ,Additional fund
ਅਤਿਰਿਕਤ ਗ੍ਰਾਂਟ,Additional grant
ਵਧੀਕ ਜਾਣਕਾਰੀ,Additional information
ਵਾਧੂ ਤਨਖਾਹ,Additional pay
ਜੋੜ ਅਤੇ ਤਬਦੀਲੀ,Addition and alteration
ਪਤਾ,Address
ਐਡਰੈਸਸ,Addressee
ਸਵਾਗਤ ਦਾ ਪਤਾ,Address of welcome
ਕਾਫ਼ੀ,Adequate
ਦਾ ਪਾਲਣ ਕਰੋ,Adhere to
ਐਡ ਹੋਕ,Ad hoc
ਐਡਹਕ ਕਲੇਮ,Ad hoc claim
ਐਡਹੌਕ ਕਮੇਟੀ,Ad hoc committee
ਐਡਹੌਕ ਵਾਧਾ,Ad hoc increase
ਐਡਹੌਕ ਭੁਗਤਾਨ,Ad hoc payment
ਨਾਲ ਲੱਗਦੀ,Adjacent
ਨਾਲ ਲੱਗਦੀ (= ਸੰਜੋਗ),Adjoining (=contiguous)
ਮੁਲਤਵੀ,Adjournment
ਮੁਲਤਵੀ ਮੋਸ਼ਨ,Adjournment motion
ਇਜਾਜ਼ਤ,Adjudge
ਨਿਰਣਾਇਕ,Adjudicate
ਨਿਰਣਾ,Adjudication
ਨਿਰਣਾਇਕ,Adjudicator
ਵਿਵਸਥਾ,Adjustment
ਪ੍ਰਬੰਧਿਤ,Administer
ਸਹੁੰ ਪ੍ਰਬੰਧ,Administer oath
ਪ੍ਰਸ਼ਾਸਨ,Administration
ਜਸਟਿਸ ਦਾ ਪ੍ਰਬੰਧਨ,Administration of justice
ਪ੍ਰਬੰਧਕੀ,Administrative
ਪ੍ਰਬੰਧਕੀ ਕਾਰਵਾਈ,Administrative action
ਪ੍ਰਬੰਧਕੀ ਮੁੱਲ,Administrative appraisal
ਪ੍ਰਬੰਧਕੀ ਪ੍ਰਵਾਨਗੀ,Administrative approval
ਪ੍ਰਬੰਧਕੀ ਅਥਾਰਟੀ,Administrative authority
ਪ੍ਰਬੰਧਕੀ ਨਿਯੰਤਰਣ,Administrative control
ਪ੍ਰਬੰਧਕੀ ਫੈਸਲਾ,Administrative decision
ਪ੍ਰਬੰਧਕੀ ਵਿਭਾਗ,Administrative department
ਪ੍ਰਬੰਧਕੀ ਸਿਰ,Administrative head
ਪ੍ਰਬੰਧਕੀ ਹੈੱਡਕੁਆਰਟਰ,Administrative headquarters
ਪ੍ਰਬੰਧਕੀ ਉਪਾਅ,Administrative measures
ਪ੍ਰਬੰਧਕੀ ਪਾਵਰ,Administrative power
ਪ੍ਰਬੰਧਕੀ ਮਨਜੂਰੀ,Administrative sanction
ਪ੍ਰਬੰਧਕੀ ਤਕਨੀਕ,Administrative technique
ਪ੍ਰਬੰਧਕੀ ਟ੍ਰਿਬਿ al ਨਲ,Administrative tribunal
ਮੰਨਣਯੋਗਤਾ,Admissibility
ਮੰਨਣਯੋਗ ਖਰਚ,Admissible expenditure
ਮੰਨ ਲਓ,Admit
ਐਡਮਿਟ ਕਾਰਡ,Admit card
ਦਾਖਲ,Admitted
ਅਸ਼ੁੱਧ,Admonish
ਗੋਦ,Adoptee
ਗੋਣਾਟਰ,Adoptor
ਗੋਦ ਲੈਣਾ,Adoption
ਬਾਲਗ,Adult
ਵਿਭਚਾਰ,Adulteration
ਵਿਭਚਾਰ,Adultery
ਬਾਲਗ ਫਰੈਂਚਾਇਜ਼ੀ,Adult franchise
ਐਡ ਵੈਲੋਰਮ ਡਿ duty ਟੀ,Ad valorem duty
ਪੇਸ਼ਗੀ,Advance
ਐਡਵਾਂਸ ਬੁਕਿੰਗ,Advance booking
ਐਡਵਾਂਸ ਕਾਪੀ,Advance copy
ਪੇਸ਼ਗੀ ਵਾਧਾ,Advance increment
ਪੇਸ਼ਗੀ ਭੁਗਤਾਨ ਦੀ,Advance payment
ਗਲਤ ਪ੍ਰਵੇਸ਼,Adverse entry
ਗਲਤ ਟਿੱਪਣੀ,Adverse remarks
ਗਲਤ ਰਿਪੋਰਟ,Adverse report
ਇਸ਼ਤਿਹਾਰ,Advertisement
ਸਲਾਹ,Advice
ਭੁਗਤਾਨ ਦੀ ਸਲਾਹ,Advice of payment
ਸਲਾਹਕਾਰ ਕਮੇਟੀ,Advisory committee
ਸਲਾਹਕਾਰ ਪਰਿਸ਼ਦ,Advisory council
ਐਡਵੋਕੇਟ,Advocate
ਮਾਮਲੇ,Affairs
ਹਲਫੀਆ ਬਿਆਨ,Affidavit
ਮਾਨਤਾ,Affiliation
ਪੁਸ਼ਟੀਕਰਣ,Affirmation
ਸਕਾਰਾਤਮਕ,Affirmative
ਬਰਦਾਸ਼ਤ,Afford
ਉਪਰੋਕਤ,Aforesaid
ਅਫਰੇਸ਼,Afresh
ਦੇ ਵਿਰੁੱਧ,Against
ਉਮਰ,Age
ਉਮਰ ਦਾ ਸਰਟੀਫਿਕੇਟ,Age certificate
ਦੁਖੀ ਲਈ ਉਮਰ,Age for suffrage
ਉਮਰ ਸੀਮਾ,Age limit
ਏਜੰਸੀ,Agency
ਏਜੰਡਾ,Agenda
ਰਿਟਾਇਰਮੈਂਟ ਦੀ ਉਮਰ,Age of retirement
ਪੂਰਕ ਦੀ ਉਮਰ,Age of superannuation
ਇਕੱਤਰਤਾ,Aggregation
ਦੁਖਦਾਈ,Aggrieved
ਅੰਦੋਲਨ,Agitation
ਏਜੀਐਮ,AGM
ਸਮਝੌਤਾ,Agreement
ਸਮਝੌਤਾ ਫਾਰਮ,Agreement form
ਖੇਤੀ ਬਾੜੀ,Agriculture
ਖੇਤੀ-ਉਦਯੋਗ,Agro-industry
ਸਹਾਇਤਾ,Aid
ਅਲਾਰਮ,Alarm
ਚੇਤਾਵਨੀ,Alertness
ਉਪਨਾਮ,Alias
ਇਲਜ਼ਾਮ,Allegation
ਵਫ਼ਾਦਾਰੀ,Allegiance
ਗਠਜੋੜ,Alliance
ਸਹਿਯੋਗੀ ਸੇਵਾਵਾਂ,Allied services
ਸਾਰੇ ਸੰਮਲਿਤ ਲਾਗਤ,All inclusive cost
ਸਾਰੇ ਭਾਰਤ ਸੇਵਾਵਾਂ,All India Services
ਅਲਾਟਮੈਂਟ,Allocation
ਅਲਾਟਮੈਂਟ,Allotment
ਅਲਾਟਮੈਂਟ ਪੱਤਰ,Allotment letter
ਅਲਾਟੀਟੀ,Allottee
ਮਨਜ਼ੂਰ,Allowable
ਮਨਜ਼ੂਰ ਖਰਚੇ,Allowable expenses
ਇੱਕ ਅਪੀਲ ਦੀ ਆਗਿਆ ਦਿਓ,Allow an appeal
ਭੱਤਾ,Allowance
ਸਾਰੇ ਹੱਕ ਰਾਖਵੇਂ ਹਨ,All rights reserved
ਵਰਣਮਾਲਾ ਕ੍ਰਮ,Alphabetic order
ਗਰੈਟਰਕੇਸ਼ਨ,Altercation
ਵਿਕਲਪਿਕ,Alternate
ਵਿਕਲਪਿਕ,Alternative
ਏਕੀਕਰਨ,Amalgamation
ਸੋਧਿਆ ਖਰੜਾ,Amended draft
ਸੋਧ,Amendment
ਸਹੂਲਤ,Amenity
ਅਮਲ,Amicable
ਬਾਰੂਦ,Ammunition
ਕਰਜ਼ੇ ਦਾ ਅਮੋਰਾਈਜ਼ੇਸ਼ਨ,Amortization of debt
ਦੀ ਰਕਮ,Amount
ਪੈਨਸ਼ਨ ਦੀ ਮਾਤਰਾ,Amount of pension
ਸਮਾਨ ਪੋਸਟ,Analogous post
ਵਿਸ਼ਲੇਸ਼ਣ,Analysis
ਵਿਸ਼ਲੇਸ਼ਣ ਅਧਿਐਨ,Analytical study
ਪੂਰਵਜ,Ancestor
ਸਹਾਇਕ ਉਦਯੋਗ,Ancillary industry
ਵੈਰ,Animosity
ਅਨੁਲੱਗ,Annexure
ਵਰ੍ਹੇਗੰ,Anniversary
ਘੋਸ਼ਣਾ,Announcement
ਨਾਰਾਜ਼ਗੀ,Annoyance
ਸਾਲਾਨਾ ਵਿੱਤੀ ਬਿਆਨ,Annual financial statement
ਸਾਲਾਨਾ ਰਿਪੋਰਟ,Annual report
ਐਨੂਅਟੀ,Annuity
ਅਗਿਆਤ,Anonymous
ਅਗਿਆਤ ਸ਼ਿਕਾਇਤ,Anonymous complaint
ਜਵਾਬ,Answerability
ਜਵਾਬ ਸ਼ੀਟ,Answer sheet
ਵਿਰੋਧੀ,Antagonist
ਅਨੌਖੇ,Antecedents
ਅਨੁਮਾਨਤ ਖਰਚੇ,Anticipated expenditure
ਅਨੁਮਾਨਤ ਆਮਦਨੀ,Anticipated income
ਉਮੀਦ,Anticipation
ਅਗਾ .ਂ ਜ਼ਮਾਨਤ,Anticipatory bail
ਭ੍ਰਿਸ਼ਟਾਚਾਰ ਵਿਰੋਧੀ ਉਪਾਅ,Anti-corruption measure
ਐਂਟੀ-ਡੰਪਿੰਗ,Anti-dumping
ਪੁਰਾਣੀ,Antique
ਨਸਲਵਾਦ,Apartheid
ਉਦਾਸੀ,Apathy
ਸੁਪਰੀਮ ਬਾਡੀ,Apex body
ਮੁਆਫੀ,Apology
ਅਪੀਲ,Appeal
ਦਿੱਖ,Appearance
ਭੁੱਖ,Appeasement
ਅਪੀਲ ਟ੍ਰਿਬਿ al ਨਲ,Appellate tribunal
ਅੰਤਿਕਾ,Appendix
ਉਪਕਰਣ,Appliance
ਲਾਗੂ,Applicable
ਬਿਨੈਕਾਰ,Applicant
ਐਪਲੀਕੇਸ਼ਨ,Application
ਅਰਜ਼ੀ ਫਾਰਮ,Application form
ਲਾਗੂ ਕੀਤਾ,Applied
ਲਾਗੂ ਕਰੋ,Apply
ਨਿਯੁਕਤ,Appointee
ਨਿਯੁਕਤ ਕਰਨ ਦਾ ਅਧਿਕਾਰ,Appointing authority
ਨਿਯੁਕਤੀ,Appointment
ਮੁਲਾਕਾਤ ਪੱਤਰ,Appointment letter
ਮੰਤਰੀ ਮੰਡਲ ਦੀ ਨਿਯੁਕਤੀਆਂ ਕਮੇਟੀ,Appointments Committee of the Cabinet
ਤਨਖਾਹ ਦੀ ਵੰਡ,Apportionment of wages
ਮੁਲਾਂਕਣ,Appraisal
ਮੁਲਾਂਕਣ,Appraiser
ਕਦਰ,Appreciation
ਖਦਸ਼ਾ,Apprehension
ਅਪ੍ਰੈਂਟਿਸ,Apprentice
ਪਹੁੰਚ,Approach
ਉਚਿਤ,Appropriate
ਉਚਿਤ ਕਾਰਵਾਈ,Appropriate action
ਉਚਿਤ ਸਿਰ,Appropriate head
ਨਿਰਧਾਰਤ,Appropriation
ਮਨਜ਼ੂਰੀ,Approval
ਲਗਭਗ,Approximate
ਯੋਗਤਾ ਟੈਸਟ,Aptitude test
ਮਨਮਾਨੀ,Arbitrary
ਆਰਬਿਟਰੇਟ,Arbitrate
ਆਰਬਿਟਰੇਸ਼ਨ,Arbitration
ਆਰਬਿਟਰੇਸ਼ਨ ਟ੍ਰਿਬਿ al ਨਲ,Arbitration tribunal
ਆਰਬਿਟਰੇਟਰ,Arbitrator
ਆਰਕੀਟੈਕਚਰ,Architecture
ਪੁਰਾਲੇਖ,Archives
ਖੇਤਰ,Area
ਖੇਤਰ ਹੈੱਡਕੁਆਰਟਰ,Area headquarter
ਦਲੀਲ,Argument
ਪੈਦਾ,Arise
ਸੁਰਖਿਆ ਬਲ,Armed forces
ਪ੍ਰਬੰਧ,Arrangement
ਬਰੀਅਰ,Arrear
ਅਰੇਅਰ ਬਿਆਨ,Arrear statement
ਆਗਮਨ ਰਿਪੋਰਟ,Arrival report
ਹੰਕਾਰ,Arrogance
ਅਰਸੇਨਲ,Arsenal
ਲੇਖ,Article
ਐਸੋਸੀਏਸ਼ਨ ਦੇ ਲੇਖ,Articles of association
ਲੇਖ,Articles
ਚੜ੍ਹਦੇ ਕ੍ਰਮ,Ascending order
ਪਤਾ ਲਗਾਓ,Ascertain
ਜਿਵੇਂ ਕਿ ਕਿੱਥੇ ਹੈ,As is where is
ਪਹਿਲੂ,Aspect
ਦਾਖਲਾ,Aspersion
ਕਤਲ,Assassination
ਹਮਲਾ,Assault
ਇਕੱਠਾ ਕਰਨ ਯੋਗ,Assemble
ਅਸੈਂਬਲੀ,Assembly
ਸਹਿਮਤੀ,Assent
ਦਾਅਵਾ ਕਰੋ,Assert
ਮੁਲਾਂਕਣ,Assessee
ਮੁਲਾਂਕਣ,Assessment
ਮੁਲਾਂਕਣ ਸਾਲ,Assessment year
ਮੁਲਾਂਕਣ ਕਰਨ ਵਾਲਾ,Assessor
ਸੰਪਤੀ,Assets
Assigneee,Assignee
ਅਸਾਈਨਮੈਂਟ,Assignment
ਅਸਾਈਨਟਰ,Assignor
ਸਹਾਇਤਾ,Assistance
ਸਹਿਯੋਗੀ,Associate
ਐਸੋਸੀਏਸ਼ਨ,Association
ਚਾਰਜ ਦੀ ਧਾਰਨਾ,Assumption of charge
ਭਰੋਸਾ,Assurance
ਅਸ਼ੋਰੈਂਸ ਕੰਪਨੀ,Assurance company
ਭਰੋਸਾ,Assure
ਛੂਟ 'ਤੇ,At discount
ਪਰਮਾਣੂ ਸ਼ਕਤੀ,Atomic power
ਬਰਾਬਰ ਵਿਚ,At par
ਪ੍ਰੀਮੀਅਮ 'ਤੇ,At premium
ਅਟੈਚ ਕਰੋ,Attach
ਨੱਥੀ ਦਫ਼ਤਰ,Attached office
ਲਗਾਵ,Attachment
ਅਟੈਚਮੈਂਟ ਆਰਡਰ,Attachment order
ਪ੍ਰਾਪਤੀ,Attainment
ਕੋਸ਼ਿਸ਼,Attempt
ਹਾਜ਼ਰੀ,Attendance
ਹਾਜ਼ਰੀ ਰਜਿਸਟਰ,Attendance register
ਹਾਜ਼ਰੀ ਤਿਲਕ,Attendance slip
ਧਿਆਨ,Attention
ਤਸਦੀਕ,Attestation
ਪ੍ਰਮਾਣਿਤ ਕਾੱਪੀ,Attested copy
ਰਵੱਈਆ,Attitude
ਆਕਰਸ਼ਕ ਤਨਖਾਹ,Attractive salary
ਨਿਲਾਮੀ,Auction
ਨਿਲਾਮੀ,Auctioneer
ਨਿਲਾਮੀ ਵਿਕਰੀ,Auction sale
ਹਾਜ਼ਰੀਨ,Audience
ਆਡੀਓ-ਵਿਜ਼ੂਅਲ ਡਿਸਪਲੇਅ,Audio-visual display
ਆਡੀਓ-ਵਿਜ਼ੂਅਲ ਪ੍ਰਚਾਰ,Audio-visual publicity
ਆਡਿਟ,Audit
ਆਡਿਟ ਕੀਤੇ ਖਾਤੇ,Audited accounts
ਆਡਿਟ ਬੈਲੇਂਸ ਸ਼ੀਟ,Audited balance sheet
ਆਡਿਟਿੰਗ,Auditing
ਆਡਿਟ ਇਤਰਾਜ਼,Audit objection
ਆਡੀਟਰ ਦੀ ਰਿਪੋਰਟ,Auditor's report
ਆਡੀਟੋਰੀਅਮ,Auditorium
ਆਡਿਟ ਪੈਰਾ,Audit paragraph
ਆਡਿਟ ਰਿਪੋਰਟ,Audit report
ਤਪੱਸਿਆ,Austerity
ਤਪੱਸਿਆ ਉਪਾਅ,Austerity measures
ਪ੍ਰਮਾਣਿਕ,Authentic
ਅਧਿਕਾਰਤ ਪ੍ਰਤੀਨਿਧੀ,Authorised representative
ਅਧਿਕਾਰਤ,Authoritative
ਅਧਿਕਾਰ,Authority
ਅਥਾਰਟੀ ਅੱਖਰ,Authority letter
ਅਧਿਕਾਰਤ,Authorized
ਅਧਿਕਾਰਤ ਪੂੰਜੀ,Authorized capital
ਆਟੋਮੈਟਿਕ,Automatic
ਖੁਦਮੁਖਤਿਆਰੀ,Autonomous
ਖੁਦਮੁਖਤਿਆਰੀ ਸਰੀਰ,Autonomous body
ਖੁਦਮੁਖਤਿਆਰੀ,Autonomy
ਸਹਾਇਕ,Auxiliary
ਉਪਲੱਬਧ,Available
Average ਸਤ,Average
Ratuver ਸਤ ਛੁੱਟੀ,Average leave
ਘ੍ਰਿਣਾ,Aversion
ਟਾਲਣਾ,Avert
ਬਚਣ,Avoid
ਟੈਕਸ ਤੋਂ ਪਰਹੇਜ਼ ਕਰੋ,Avoidance of tax
ਉਡੀਕ ਕੀਤੀ,Awaited
ਪੁਰਸਕਾਰ,Award
ਅਥਾਰਟੀ,Awarding authority
ਜਾਗਰੂਕਤਾ,Awareness
ਵਾਪਸ,Backdated
ਪਿਛੋਕੜ,Background
ਬੈਕ ਲਾਗ,Back log
ਪਿਛੇ ਹਟ ਜਾਣਾ,Back out
ਬੈਕ ਹਵਾਲਾ,Back reference
ਬੈਕ ਅਪ,Back up
ਬੈਕਵਾਰਡ ਕਲਾਸਾਂ,Backward classes
ਪਿਛਲਾ ਕਬੀਲੇ,Backward tribe
ਮਾੜੀ ਸੌਦਾ,Bad bargain
ਮਾੜਾ ਵਿਵਹਾਰ,Bad behaviour
ਬੁਰਾ ਚਰਿੱਤਰ,Bad character
ਮਾੜੀ ਜਲਵਾਯੂ ਭੱਤਾ,Bad climate allowance
ਬੁਰਾ ਚਾਲ,Bad conduct
ਬੁਰਾ ਕਰਜਾ,Bad debt
ਸਾਮਾਨ,Baggage
ਜ਼ਮਾਨਤ,Bail
ਸੰਤੁਲਨ,Balance
ਸੰਤੁਲਨ ਲਿਆਂਦਾ ਗਿਆ,Balance brought down
ਸੰਤੁਲਨ ਅੱਗੇ ਲਿਆਇਆ,Balance brought forward
ਸੰਤੁਲਿਤ ਬਜਟ,Balanced budget
ਸੰਤੁਲਨ ਸ਼ੀਟ,Balance sheet
ਬੈਲਟ,Ballot
ਬੈਲਟ ਬਾਕਸ,Ballot box
ਬੈਲਟ ਪੇਪਰ,Ballot paper
ਪਾਬੰਦੀ,Ban
ਬੈਂਕ,Bank
ਬੈੰਕ ਖਾਤਾ,Bank account
ਬੈਂਕ ਬੈਲੰਸ,Bank balance
ਬੈਂਕ ਖਰਚੇ,Bank charges
ਬੈਂਕ ਗਰੰਟੀ,Bank guarantee
ਬੈਂਕ ਦੀ ਛੁਟੀ,Bank holiday
ਬੈਂਕਿੰਗ ਸਹੂਲਤ,Banking facility
ਬੈਂਕਿੰਗ ਘੰਟੇ,Banking hours
ਬੈਂਕਿੰਗ ਟ੍ਰਾਂਜੈਕਸ਼ਨ,Banking transaction
ਬੈਂਕ ਰੇਟ,Bank rate
ਬੈਂਕ ਮੇਲ-ਮਿਲਾਪ,Bank reconciliation
ਦੀਵਾਲੀਆ,Bankrupt
ਬੈਂਕ ਸੁਰੱਖਿਆ,Bank security
ਬੈਂਕ ਸਟੇਟਮੈਂਟ,Bank statement
ਦਾਅਵਤ,Banquet
ਬਾਰ ਕੌਂਸਲ,Bar council
ਸੌਦੇਬਾਜ਼ੀ,Bargain
ਸੌਦੇਬਾਜ਼ੀ,Bargaining
ਬੰਜਰ ਲੈਂਡ,Barren land
ਬਾਰਟਰ,Barter
ਅਧਾਰ,Base
ਬੇਬੁਨਿਆਦ,Baseless
ਬੇਸਮੈਂਟ,Basement
ਅਧਾਰ ਸਾਲ,Base year
ਮੁੱ The ਲੀ,Basic
ਅਸਲ ਵਿੱਚ,Basically
ਮੁੱ basic ਲੀ ਅਕਲ,Basic intelligence
ਮੁੱ Pay ਲੀ ਤਨਖਾਹ,Basic pay
ਤਨਖਾਹ ਦਾ ਮੁ Tas ਲੇ ਪੱਧਰ,Basic scale of pay
ਮੁ The ਲੀ ਸਿਖਲਾਈ,Basic training
ਅਧਾਰ,Basis
ਬੈਚ,Batch
ਬੈਚ ਨੰਬਰ,Batch number
ਧਾਰਕ ਚੈੱਕ,Bearer cheque
ਹਵਾਲਾ ਪਹਿਲਾਂ,Before cited
ਵਿਵਹਾਰ,Behaviour
ਵਿਸ਼ਵਾਸ,Belief
ਬਰਾਬਰ ਦੇ ਹੇਠਾਂ,Below par
ਬੈਂਚ,Bench
ਬੇਂਚਮਾਰਕ,Benchmark
ਲਾਭਕਾਰੀ,Beneficial
ਲਾਭਪਾਤਰੀ,Beneficiary
ਲਾਭ,Benefit
ਸ਼ੱਕ ਦਾ ਲਾਭ,Benefit of doubt
ਦਿਆਲਤਾ,Benevolence
ਲਾਭਕਾਰੀ ਫੰਡ,Benevolent fund
ਮਕੌਂਥ,Bequeath
Orquest,Bequest
ਸੋਗ,Bereaved
ਸਭ ਤੋਂ ਵਧੀਆ ਯਤਨ,Best endeavours
ਬਿਹਤਰ,Betterment
ਬਿਆਸ,Bias
ਪੱਖਪਾਤੀ ਰਾਏ,Biased opinion
ਕਿਤਾਬਚਾ,Bibliography
ਬਨੀਅਲ,Biennial
ਬਿਫੁਰਕੇਟ,Bifurcate
ਵੱਡਾ,Bigamy
ਦੁਵੱਲੇ,Bilateral
ਦੋਭਾਸ਼ੀ,Bilingual
ਬਿਕਲਲ,Bicameral
ਬਿਲ,Bill
ਦਾ ਦਾਅਵਾ ਦਾ ਬਿੱਲ,Bill of exchange
ਬਿਪੋਨਥਲੀ ਰਿਪੋਰਟ,Bimonthly report
ਬਾਈਡਿੰਗ,Binding
ਬੋਇਯਟਾ,Biodata
ਬਿਪ ਸਰਕਾਰ,Bipartite
ਬਾਈਪੈਂਟ੍ਰਾਈਟ ਸਮਝੌਤਾ,Bipartite agreement
ਜਨਮ ਦਿਵਸ,Birth anniversary
ਜਨਮ ਪ੍ਰਮਾਣ ਪੱਤਰ,Birth certificate
ਜਨਮ ਕੰਟਰੋਲ,Birth control
ਜਨਮ ਮਿਤੀ,Birth date
ਜਨਮ ਸਥਾਨ,Birth place
ਜਨਮ ਦੀ ਦਰ,Birth rate
ਬਾਈਵੈੱਕਲੀ,Biweekly
ਕਾਲੀ ਆਰਥਿਕਤਾ,Black economy
ਕਾਲੀ ਸੂਚੀ,Black list
ਬਲੈਕਮੇਲ,Blackmail
ਕਾਲੀ ਮਾਰਕੀਟ,Black market
ਦੋਸ਼,Blame
ਖਾਲੀ ਚੈੱਕ,Blank cheque
ਕੰਟਰੀ ਸੌਦਾ,Blanket deal
ਕੰਬਲ ਆਰਡਰ,Blanket order
ਧਮਾਕਾ,Blast
ਮਿਸ਼ਰਣ,Blending
ਬਲਾਕ,Block
ਨਾਕਾਬੰਦੀ,Blockade
ਪੂੰਜੀ,Blocked capital
ਬਲਾਕ ਪੱਤਰ,Block letter
ਖੂਨਦਾਨ,Blood donation
ਖੂਨ ਦੇ ਸੰਬੰਧ,Blood relations
ਨੀਲੀ ਕਾਲਰ ਨੌਕਰੀ,Blue collar job
ਬਲੂਪ੍ਰਿੰਟ,Blueprint
ਬਲਫ,Bluff
ਫੱਟੀ,Board
ਬੋਰਡਿੰਗ ਅਤੇ ਠਹਿਰਨਾ,Boarding and lodging
Igbimo oludari,Board of directors
ਮਾਲੀਏ ਦਾ ਬੋਰਡ,Board of revenue
ਸਰੀਰ,Body
ਬਾਡੀਗਾਰਡ,Bodyguard
ਜਾਅਲੀ ਵਾ ou ਚਰ,Bogus voucher
ਬੋਨਫਾਈਡਜ਼,Bonafides
ਬਾਂਡ,Bond
ਬਾਂਡਡ ਕਿਰਤ,Bonded labour
ਬੋਨਸ,Bonus
ਬੁਕਿੰਗ ਦਫਤਰ,Booking office
ਕਿਤਾਬ-ਕੀਪਰ,Book-keeper
ਕਿਤਾਬ-ਰੱਖਣ,Book-keeping
ਕਿਤਾਬਚਾ,Booklet
ਹਵਾਲੇ ਦੀ ਕਿਤਾਬ,Book of reference
ਕਿਤਾਬ ਦਾ ਮੁੱਲ,Book value
ਬੂਥ,Booth
ਬੂਥ ਕੈਪਚਰ,Booth capturing
ਬਾਰਡਰ ਭੱਤਾ,Border allowance
