Marathi,Telugu
ध्वनिक मेमरी,శబ్ద జ్ఞాపకశక్తి
ध्वनिक मॉडेम,ఎకౌస్టిక్ మోడెమ్
ध्वनिक सिग्नल,శబ్ద సిగ్నల్
ध्वनिक संचयन,శబ్ద నిల్వ
परिवर्णी शब्द,ఎక్రోనిం
क्रिया,చర్య
कृती चक्र,చర్య చక్రం
कृती ओळ,యాక్షన్ లైన్
कृती संदेश,చర్య సందేశం
कृती तपशील,చర్య స్పెసిఫికేషన్
सक्रियकरण,క్రియాశీలత
सक्रिय,క్రియాశీల
सक्रिय फाईल,యాక్టివ్ ఫైల్
सक्रिय ओळ,యాక్టివ్ లైన్
सक्रिय दुवा,క్రియాశీల లింక్
सक्रिय मास्टर फाइल,యాక్టివ్ మాస్టర్ ఫైల్
सक्रिय मास्टर आयटम,యాక్టివ్ మాస్టర్ ఐటెమ్
सक्रिय उपग्रह,క్రియాశీల ఉపగ్రహం
सक्रिय स्टेशन,యాక్టివ్ స్టేషన్
सक्रिय संचयन,క్రియాశీల నిల్వ
क्रियाकलाप,కార్యాచరణ
क्रियाकलाप पातळी,కార్యాచరణ స్థాయి
क्रियाकलाप लोडिंग,కార్యాచరణ లోడింగ్
क्रियाकलाप प्रमाण,కార్యాచరణ నిష్పత్తి
वास्तविक पत्ता (= परिपूर्ण पत्ता),వాస్తవ చిరునామా (= సంపూర్ణ చిరునామా)
वास्तविक कोड (= परिपूर्ण कोड),వాస్తవ కోడ్ (= సంపూర్ణ కోడ్)
वास्तविक डेटा हस्तांतरण दर,వాస్తవ డేటా బదిలీ రేటు
वास्तविक दशांश बिंदू,వాస్తవ దశాంశ బిందువు
वास्तविक सूचना (= प्रभावी सूचना),వాస్తవ సూచన (= ప్రభావవంతమైన సూచన)
वास्तविक की,అసలు కీ
वास्तविक वेळ,అసలు సమయం
वास्तविक कामाची वेळ,వాస్తవ పని సమయం
अ‍ॅक्ट्युएटिंग सिग्नल,సిగ్నల్ యాక్చువేటింగ్
अनुकूलता,అనుకూలత
अ‍ॅडॉप्टर,అడాప్టర్
अ‍ॅडॉप्टिव्ह चॅनेल वाटप,అడాప్టివ్ ఛానల్ కేటాయింపు
अनुकूली एकत्रीकरण,అడాప్టివ్ ఇంటిగ్రేషన్
अ‍ॅडॉप्टिव्ह ट्रान्सव्हर्सल इक्वेलायझर,అడాప్టివ్ ట్రాన్స్వర్సల్ ఈక్వలైజర్
जोडलेली प्रविष्टी,ఎంట్రీ జోడించబడింది
परिशिष्ट,అనుబంధం
अ‍ॅडर,Adder
अ‍ॅडडर सबट्रॅक्टर,అడెర్ సబ్‌ట్రాక్టర్
फाईल जोडा,ఫైల్ జోడించండి
अतिरिक्त वर्ण (= विशेष वर्ण),అదనపు అక్షరం (= ప్రత్యేక అక్షరం)
व्यतिरिक्त रेकॉर्डर,అదనంగా రికార్డర్
व्यतिरिक्त सारणी,అదనంగా పట్టిక
अ‍ॅडिटिव्ह विशेषता,సంకలిత లక్షణం
मोड जोडा,మోడ్‌ను జోడించండి
ऑपरेशन जोडा,ఆపరేషన్ జోడించండి
पत्ता,చిరునామా
पत्तेपणाचा उपाय,చిరునామా కొలత
पत्ते करण्यायोग्य क्षैतिज स्थिती,చిరునామా క్షితిజ సమాంతర స్థానం
पत्ता योग्य बिंदू,చిరునామా పాయింట్
पत्ता योग्य स्थिती,చిరునామా స్థానం
पत्ते करण्यायोग्य नोंदणी,చిరునామా రిజిస్టర్
पत्ता योग्य स्टोरेज,చిరునామా నిల్వ
पत्ता योग्य अनुलंब स्थिती,చిరునామా నిలువు స్థానం
अ‍ॅड्रेस बस,చిరునామా బస్సు
पत्ता कोड,చిరునామా కోడ్
पत्ता तुलनात्मक,చిరునామా కంపారిటర్
पत्ता गणना,చిరునామా గణన
पत्ता स्थिर,చిరునామా స్థిరాంకం
पत्ता रूपांतरण,చిరునామా మార్పిడి
पत्ता डेटा,చిరునామా డేటా
संबोधित मेमरी,చిరునామా మెమరీ
पत्ता प्रभावी,చిరునామా ప్రభావవంతంగా ఉంటుంది
पत्ता फील्ड,చిరునామా ఫీల్డ్
पत्ता स्वरूप,చిరునామా ఆకృతి
पत्ता विनामूल्य कार्यक्रम,చిరునామా ఉచిత ప్రోగ్రామ్
पत्ता,చిరునామా
पत्ता  वर्ण,చిరునామా  పాత్ర
व्यत्यय संबोधित करणे,అంతరాయాన్ని పరిష్కరించడం
पळवाट पळवाट,చిరునామా లూప్
आभासी मेमरी संबोधित करणे,వర్చువల్ మెమరీని పరిష్కరించడం
पत्ता इंटरलॅकिंग,చిరునామా ఇంటర్లేసింగ్
पत्ता नसलेली सूचना स्वरूप,చిరునామా లేని సూచనల ఆకృతి
पत्ता ओळ,చిరునామా లైన్
पत्ता मॅपिंग,చిరునామా మ్యాపింగ్
पत्ता चिन्ह,చిరునామా గుర్తు
पत्ता बदल,చిరునామా మార్పు
पत्ता भाग,చిరునామా భాగం
पत्ता पॉईंटर,చిరునామా పాయింటర్
पत्ता नोंदणी,చిరునామా రిజిస్టర్
पत्ता सिग्नल,చిరునామా సిగ్నల్
पत्ता आकार,చిరునామా పరిమాణం
पत्ता जागा,చిరునామా స్థలం
पत्ता जागा अभिज्ञापक,చిరునామా స్పేస్ ఐడెంటిఫైయర్
पत्ता थांबा,చిరునామా స్టాప్
पत्ता ट्रेस,చిరునామా ట్రేస్
पत्ता ट्रॅक,చిరునామా ట్రాక్
पत्ता अनुवाद,చిరునామా అనువాదం
पत्ता अनुवादक,చిరునామా అనువాదకుడు
अ‍ॅड-सबस्ट्रॅक्ट वेळ,జోడించు-ఉపశమనం సమయం
वेळ जोडा,సమయాన్ని జోడించండి
समीप,ప్రక్కనే
जवळची रचना,ప్రక్కనే ఉన్న నిర్మాణం
समीप चॅनेल,ప్రక్కనే ఉన్న ఛానల్
समीप डोमेन,ప్రక్కనే ఉన్న డొమైన్
समीप मॅट्रिक्स,ప్రక్కనే ఉన్న మాతృక
समीप नोड,ప్రక్కనే ఉన్న నోడ్
समीप सुबेरिया,ప్రక్కనే ఉన్న సబ్‌యారియా
संक्षिप्त रुप (सिस्टम),అడ్జాయింట్ (సిస్టమ్)
समायोजित करा,సర్దుబాటు
समायोज्य मर्यादा,సర్దుబాటు పరిధి
मजकूर मोड समायोजित करा,టెక్స్ట్ మోడ్‌ను సర్దుబాటు చేయండి
प्रशासकीय डेटा प्रक्रिया,అడ్మినిస్ట్రేటివ్ డేటా ప్రాసెసింగ్
प्रशासकीय ऑपरेशन,పరిపాలనా ఆపరేషన్
प्रशासकीय ऑपरेटर,అడ్మినిస్ట్రేటివ్ ఆపరేటర్
प्रशासकीय ऑपरेटर स्टेशन,అడ్మినిస్ట్రేటివ్ ఆపరేటర్ స్టేషన్
प्रशासकीय समर्थन प्रणाली,పరిపాలనా మద్దతు వ్యవస్థ
प्रगत संप्रेषण सेवा,అధునాతన కమ్యూనికేషన్ సేవ
प्रगत माहिती प्रणाली,అధునాతన సమాచార వ్యవస్థ
प्रगत ऑप्टिकल कॅरेक्टर रीडर,అధునాతనమైన ఆప్టికల్ క్యారెక్టర్ రీడర్
प्रगत वैज्ञानिक संगणक,అధునాతన శాస్త్రీయ కంప్యూటర్
हवाई,ఆకాశయాన
एकूण,మొత్తం
एकूण अभिव्यक्ती,మొత్తం వ్యక్తీకరణ
लक्ष्य वर्तुळ,లక్ష్య వృత్తం
लक्ष्य फील्ड (= लक्ष्य चिन्ह),లక్ష్యం ఫీల్డ్ (= లక్ష్యం చిహ్నం)
लक्ष्य प्रतीक,లక్ష్యం చిహ్నం
एअरबोर्न संगणक प्रणाली,వాయుమార్గాన కంప్యూటర్ వ్యవస్థ
बीजगणित ईगेनव्हल्यू समस्या,బీజగణిత ఈజెన్వాల్యూ సమస్య
बीजगणित  एकत्रीकरण,బీజగణితం  అనుసంధానం
बीजगणित भाषा,బీజగణిత భాష
बीजगणित हाताळणी,బీజగణిత మానిప్యులేషన్
बीजगणित मॅनिपुलेशन भाषा,బీజగణిత మానిప్యులేషన్ భాష
बीजगणित ओरिएंटेड भाषा,బీజగణిత ఆధారిత భాష
बीजगणित शिफ्ट,బీజగణిత షిఫ్ట్
बीजगणित साइन कन्व्हेन्शन,బీజగణిత సంకేత సమావేశం
अल्गोल,ఆల్గోల్
अल्गोल वैशिष्ट्य,ఆల్గోల్ ఫీచర్
अल्गोल प्रोग्रामिंग,ఆల్గోల్ ప్రోగ్రామింగ్
अल्गोरिदम,అల్గోరిథం
अल्गोरिदम असोसिएटिव्ह भाषा,అల్గోరిథం అసోసియేటివ్ లాంగ్వేజ్
अल्गोरिदम वर्गीकरण,అల్గోరిథం వర్గీకరణ
अल्गोरिदम जटिलता,అల్గోరిథం సంక్లిష్టత
अल्गोरिदम संगणन,అల్గోరిథం కంప్యూటబిలిటీ
अल्गोरिदम विश्लेषण,అల్గోరిథమిక్ విశ్లేషణ
अल्गोरिदम दृष्टिकोन,అల్గోరిథమిక్ విధానం
अल्गोरिदम भाषा,అల్గోరిథమిక్ భాష
अल्गोरिदम नित्यक्रम,అల్గోరిథమిక్ దినచర్య
अल्गोरिदम सिद्धांत,అల్గోరిథమిక్ సిద్ధాంతం
उर्फ,అలియాస్
अलियासिंग,అలియాసింగ్
उर्फ नाव (= वैकल्पिक नाव),అలియాస్ పేరు (= ప్రత్యామ్నాయ పేరు)
संरेखन,అమరిక
वाटप,కేటాయించండి
वाटप रचना,కేటాయింపు నిర్మాణం
सर्व हेतू संगणक,ఆల్-పర్పస్ కంప్యూటర్
वर्णमाला वर्ण,అక్షర పాత్ర
वर्णमाला वर्ण सेट,అక్షర అక్షర సమితి
अल्फाबेटिक कॅरेक्टर सबसेट,అక్షర అక్షర ఉపసమితి
वर्णमाला कोड,అక్షర కోడ్
वर्णमाला शिफ्ट,అక్షర షిఫ్ట్
वर्णमाला स्ट्रिंग,అక్షర స్ట్రింగ్
वर्णमाला शब्द,అక్షర పదం
वर्णमाला,వర్ణమాల
अल्फेजोमेट्रिक्स,ఆల్ఫాజియోమెట్రిక్స్
अल्फामेरिक,ఆల్ఫామెరిక్
अल्फामोसॅक,ఆల్ఫామోసాయిక్
अल्फान्यूमेरिक,ఆల్ఫాన్యూమరిక్
अल्फान्यूमरिकल कीबोर्ड डिव्हाइस,ఆల్ఫాన్యూమరికల్ కీబోర్డ్ పరికరం
अल्फान्यूमेरिक कॅरेक्टर सेट,ఆల్ఫాన్యూమరిక్ క్యారెక్టర్ సెట్
अल्फान्यूमेरिक कोड,ఆల్ఫాన్యూమరిక్ కోడ్
अल्फान्यूमेरिक कोडेड कॅरेक्टर सेट,ఆల్ఫాన్యూమరిక్ కోడెడ్ క్యారెక్టర్ సెట్
अल्फान्यूमेरिक डेटा,ఆల్ఫాన్యూమరిక్ డేటా
अल्फान्यूमेरिक डिस्प्ले डिव्हाइस,ఆల్ఫాన్యూమరిక్ డిస్ప్లే పరికరం
अल्फान्यूमेरिक संपादित वर्ण,ఆల్ఫాన్యూమరిక్ సవరించిన పాత్ర
अल्फान्यूमेरिक फील्ड,ఆల్ఫాన్యూమరిక్ ఫీల్డ్
अल्फान्यूमेरिक सूचना,ఆల్ఫాన్యూమరిక్ ఇన్స్ట్రక్షన్
अल्फान्यूमेरिक कीबोर्ड,ఆల్ఫాన్యూమరిక్ కీబోర్డ్
अल्फान्यूमेरिक क्रमवारी,ఆల్ఫాన్యూమరిక్ విధమైన
अल्फान्यूमेरिक स्टोरेज,ఆల్ఫాన్యూమరిక్ స్టోరేజ్
बदलण्यायोग्य मेमरी,మార్చగల మెమరీ
बदल स्विच,మార్పు స్విచ్
बदल,మార్చడం
बदल मोड,ఆల్టర్ మోడ్
वैकल्पिक पुनर्प्राप्ती,ప్రత్యామ్నాయ రికవరీ
वैकल्पिक मार्ग,ప్రత్యామ్నాయ మార్గం
वैकल्पिक मार्ग,ప్రత్యామ్నాయ రౌటింగ్
वैकल्पिक ट्रॅक,ప్రత్యామ్నాయ ట్రాక్
अल्टरनेशन (= किंवा ऑपरेशन),ప్రత్యామ్నాయం (= లేదా ఆపరేషన్)
वैकल्पिक गुणधर्म,ప్రత్యామ్నాయ లక్షణం
वैकल्पिक नकार (= नाही आणि ऑपरेशन),ప్రత్యామ్నాయ తిరస్కరణ (= మరియు ఆపరేషన్ కాదు)
अस्पष्टता त्रुटी,అస్పష్టత లోపం
संदिग्ध संदर्भ,అస్పష్టమైన సూచన
एनालॉग,అనలాగ్
एनालॉग अ‍ॅडडर,అనలాగ్ యాడర్
एनालॉग चॅनेल,అనలాగ్ ఛానల్
एनालॉग संगणक,అనలాగ్ కంప్యూటర్
एनालॉग कन्व्हर्टर,అనలాగ్ కన్వర్టర్
एनालॉग डेटा,అనలాగ్ డేటా
एनालॉग विभाजक,అనలాగ్ డివైడర్
अ‍ॅनालॉग सुविधा टर्मिनल,అనలాగ్ ఫెసిలిటీ టెర్మినల్
एनालॉग फंक्शन  जनरेटर,అనలాగ్ ఫంక్షన్  జనరేటర్
एनालॉग एकत्रीकरण,అనలాగ్ ఇంటిగ్రేషన్
एनालॉग गुणक,అనలాగ్ గుణకం
एनालॉग प्रोग्रामिंग,అనలాగ్ ప్రోగ్రామింగ్
एनालॉग स्केलिंग,అనలాగ్ స్కేలింగ్
एनालॉग सिग्नल,అనలాగ్ సిగ్నల్
एनालॉग सिम्युलेशन,అనలాగ్ అనుకరణ
एनालॉग स्विच,అనలాగ్ స్విచ్
एनालॉग सिस्टम,అనలాగ్ వ్యవస్థ
डिजिटल टू डिजिटल  कन्व्हर्टर,డిజిటల్‌కు అనలాగ్  కన్వర్టర్
डिजिटल टू डिजिटल  एन्कोडर,డిజిటల్‌కు అనలాగ్  ఎన్కోడర్
एनालॉग ट्रान्समिशन,అనలాగ్ ట్రాన్స్మిషన్
एनालॉग प्रकार,అనలాగ్ రకం
विश्लेषण ब्लॉक,విశ్లేషణ బ్లాక్
विश्लेषण मोड,విశ్లేషణ మోడ్
विश्लेषणात्मक इंजिन,విశ్లేషణాత్మక ఇంజిన్
वडिलोपार्जित कार्य,పూర్వీకుల పని
सहायक उपकरणे,సహాయక పరికరాలు
आणि,మరియు
आणि सर्किट,మరియు సర్క్యూట్
आणि घटक,మరియు మూలకం
आणि गेट,మరియు గేట్
आणि मुखवटा,మరియు మాస్కింగ్
आणि ऑपरेशन नाही (= अपवर्जन),మరియు ఆపరేషన్ కాదు (= మినహాయింపు
आणि ऑपरेशन,మరియు ఆపరేషన్
अनुबंध मेमरी,అనెక్స్ మెమరీ
भाष्य,ఉల్లేఖనం
अ‍ॅन्युन्सिएटर,అనన్సియేటర్
उत्तर परत,తిరిగి సమాధానం ఇవ్వండి
उत्तर विलंब,సమాధానం ఆలస్యం
उत्तर वेळ,సమయం సమాధానం
उत्तर दिवा,సమాధానం దీపం
उत्तर यादी,జవాబు జాబితా
फक्त उत्तर द्या,సమాధానం మాత్రమే
अपेक्षित मोड,Ntic హించే మోడ్
अपेक्षित बफरिंग,ముందస్తు బఫరింగ్
अपेक्षित वाहून नेणे,ముందస్తు క్యారీ
अपेक्षित पेजिंग,ముందస్తు పేజింగ్
अँटीकोइन्सिडन्स ऑपरेशन,ప్రతిస్కందకం ఆపరేషన్
अँटीकोइन्सींट घटक,ప్రతిస్కందకం మూలకం
अ‍ॅपरिओडिक ten न्टीना,అపెరియోడిక్ యాంటెన్నా
छिद्र कार्ड,ఎపర్చరు కార్డు
छिद्र कोड,ఎపర్చరు కోడ్
छिद्र वेळ,ఎపర్చరు సమయం
परिशिष्ट,అనుబంధం
परिशिष्ट कार्य,అనుబంధ పని
अनुप्रयोग विकसक,అప్లికేషన్ డెవలపర్
अनुप्रयोग स्तर,అప్లికేషన్ లేయర్
अनुप्रयोग देणारं भाषा,అప్లికేషన్ ఓరియెంటెడ్ లాంగ్వేజ్
अनुप्रयोग पॅकेज,అప్లికేషన్ ప్యాకేజీ
अनुप्रयोग कार्यक्रम,అప్లికేషన్ ప్రోగ్రామ్
अनुप्रयोग प्रोग्रामिंग,అప్లికేషన్ ప్రోగ్రామింగ్
अर्ज आवश्यक भाषा,అప్లికేషన్ అవసరం భాష
अनुप्रयोग सॉफ्टवेअर,అప్లికేషన్ సాఫ్ట్‌వేర్
अ‍ॅप्लिक,అప్లిక్
अंदाजे सिद्धांत,ఉజ్జాయింపు సిద్ధాంతం
अनियंत्रित प्रवेश,ఏకపక్ష ప్రాప్యత
अनियंत्रित अनुक्रम संगणक,ఏకపక్ష సీక్వెన్స్ కంప్యూటర్
लवाद,మధ్యవర్తిత్వ
आर्किटेक्चर,వాస్తుశిల్పం
संग्रहण,ఆర్కైవింగ్
क्षेत्र कोड,స్థల సంకేతం
क्षेत्र शोध,ప్రాంత శోధన
क्षेत्र हस्तांतरण,ప్రాంత బదిలీ
क्षेत्र चल,ఏరియా వేరియబుల్
युक्तिवाद,వాదన
युक्तिवाद पत्ता,ఆర్గ్యుమెంట్ చిరునామా
युक्तिवाद यादी,ఆర్గ్యుమెంట్ జాబితా
अंकगणित सूचना,అంకగణిత బోధన
अंकगणित आणि तर्कशास्त्र युनिट,అంకగణిత మరియు అంకగణిత విభాగం
अंकगणित असाइनमेंट स्टेटमेंट,అంకగణిత అసైన్‌మెంట్ స్టేట్మెంట్
अंकगणित तपासणी,అంకగణిత చెక్
अंकगणित स्थिर,అంకగణిత స్థిరాంకం
अंकगणित रूपांतरण,అంకగణిత మార్పిడి
अंकगणित डेटा,అంకగణిత డేటా
अंकगणित अपवाद,అంకగణిత మినహాయింపు
अंकगणित अभिव्यक्ती,అంకగణిత వ్యక్తీకరణ
अंकगणित निश्चित बिंदू,అంకగణిత స్థిర బిందువు
अंकगणित पदानुक्रम,అంకగణిత సోపానక్రమం
अंकगणित जर विधान,అంకగణితం ఉంటే స్టేట్మెంట్
अंकगणित तर्कशास्त्र,అంకగణిత తర్కం
अंकगणित लॉजिक युनिट,అంకగణిత లాజిక్ యూనిట్
अंकगणित ऑपरेशन,అంకగణిత ఆపరేషన్
अंकगणित ऑपरेटर,అంకగణిత ఆపరేటర్
अंकगणित ओव्हरफ्लो,అంకగణిత ఓవర్ఫ్లో
अंकगणित चित्र डेटा,అంకగణిత చిత్ర డేటా
अंकगणित प्राधान्य,అంకగణిత ప్రాధాన్యత
अंकगणित प्राथमिक,అంకగణిత ప్రాధమిక
अंकगणित नोंदणी,అంకగణిత రిజిస్టర్
अंकगणित संबंध,అంకగణిత సంబంధం
अंकगणित स्कॅन,అంకగణిత స్కాన్
अंकगणित विभाग,అంకగణిత విభాగం
अंकगणित शिफ्ट,అంకగణిత మార్పు
अंकगणित शिफ्टिंग,అంకగణిత బదిలీ
अंकगणित विधान,అంకగణిత ప్రకటన
अंकगणित संज्ञा,అంకగణిత పదం
अंकगणित अंडरफ्लो,అంకగణిత అండర్ఫ్లో
अंकगणित युनिट,అంకగణిత యూనిట్
रचना,అమరిక
अ‍ॅरे बाउंड,శ్రేణి బౌండ్
अ‍ॅरे संगणक,అర్రే కంప్యూటర్
अ‍ॅरे आयाम,శ్రేణి పరిమాణం
अ‍ॅरे घटक,శ్రేణి మూలకం
अ‍ॅरे अभिव्यक्ती,శ్రేణి వ్యక్తీకరణ
अ‍ॅरे नाव,శ్రేణి పేరు
संरचनांचा अ‍ॅरे,నిర్మాణాల శ్రేణి
अ‍ॅरे प्रिंटिंग,అర్రే ప్రింటింగ్
अ‍ॅरे प्रक्रिया,శ్రేణి ప్రాసెసింగ్
अ‍ॅरे प्रोसेसर,అర్రే ప్రాసెసర్
बोलण्याचे बिंदू,ఉచ్చారణ పాయింట్
कृत्रिम अनुभूती,కృత్రిమ జ్ఞానం
कृत्रिम बुद्धिमत्ता,కృత్రిమ మేధస్సు
कृत्रिम भाषा,కృత్రిమ భాష
कृत्रिम चल,కృత్రిమ వేరియబుల్
कला अनुप्रयोग डेटा बँक,ఆర్ట్స్ అప్లికేషన్ డేటా బ్యాంక్
कला अनुप्रयोग संगीत,ఆర్ట్స్ అప్లికేషన్ మ్యూజిక్
कला अनुप्रयोग नमुना निर्मिती,ఆర్ట్స్ అప్లికేషన్ సరళి తరం
आरोहण,ఆరోహణ
चढत्या क्रमवारी,ఆరోహణ క్రమబద్ధీకరణ
एएससीएल,అస్సిల్
एएससीआयआय नियंत्रण वर्ण,ASCII నియంత్రణ అక్షరం
एएससीआयआय की बोर्ड,ASCII కీ బోర్డు
पैलू,కారక
पैलू आणि,కారకం మరియు
एकत्र करा,సమీకరించటం
एकत्रित मूळ,సమావేశమైన మూలం
कालावधी एकत्र करा,వ్యవధిని సమీకరించండి
असेंबलर,సమీకరించేవాడు
असेंबलर डायरेक्टिव्ह,సమీకరించే ఆదేశం
असेंबलर सुविधा,సమీకరించే సౌకర్యం
असेंबलर भाषा,సమీకరించే భాష
एकत्र करणे,సమీకరించడం
एकत्रित टप्पा,సమీకరించే దశ
वेळ एकत्र करणे,సమీకరించే సమయాన్ని
असेंब्ली,అసెంబ్లీ
असेंब्ली भाषा,అసెంబ్లీ భాష
असेंब्ली भाषा प्रोग्रामिंग,అసెంబ్లీ భాషా ప్రోగ్రామింగ్
असेंब्ली भाषा सॉफ्टवेअर लवचिकता,అసెంబ్లీ భాషా సాఫ్ట్‌వేర్ వశ్యత
असेंब्ली सूची,అసెంబ్లీ జాబితా
असेंब्ली फेज,అసెంబ్లీ దశ
असेंब्लीची दिनचर्या,అసెంబ్లీ దినచర్య
असेंब्ली वेळ,అసెంబ్లీ సమయం
असेंब्ली युनिट,అసెంబ్లీ యూనిట్
असाइनमेंट इंडेक्सिंग,అసైన్‌మెంట్ ఇండెక్సింగ్
असाइनमेंट ऑपरेशन,అసైన్‌మెంట్ ఆపరేషన్
असाइनमेंट स्टेटमेंट,అసైన్‌మెంట్ స్టేట్మెంట్
असोसिएटिव्ह पत्ता,అసోసియేటివ్ చిరునామా
असोसिएटिव्ह अ‍ॅरे रजिस्टर,అసోసియేటివ్ అర్రే రిజిస్టర్
असोसिएटिव्ह की,అసోసియేటివ్ కీ
असोसिएटिव्ह भाषा,అసోసియేటివ్ లాంగ్వేజ్
असोसिएटिव्ह मेमरी,అసోసియేటివ్ మెమరీ
असोसिएटिव्ह स्टोरेज,అసోసియేటివ్ స్టోరేజ్
गृहीत दशांश बिंदू,దశాంశ బిందువు
असममित डिव्हाइस,అసమాన పరికరం
असममित I/O,అసమాన i/ఓ
एसिन्क्रोनस,అసమకాలిక
एसिन्क्रोनस संगणक,అసమకాలిక కంప్యూటర్
एसिन्क्रोनस डेटा ट्रान्सफर,అసమకాలిక డేటా బదిలీ
एसिन्क्रोनस डेटा ट्रान्समिशन,అసమకాలిక డేటా ట్రాన్స్మిషన్
एसिन्क्रोनस डिव्हाइस,అసమకాలిక పరికరాలు
एसिन्क्रोनस ऑपरेशन,అసమకాలిక ఆపరేషన్
एसिन्क्रोनस सिग्नलिंग,అసమకాలిక సిగ్నలింగ్
एसिन्क्रोनस टाइम डिव्हिजन मल्टिप्लेक्सिंग,అసమకకరణం
एसिन्क्रोनस ट्रान्समिशन,అసమకాలిక ప్రసారం
एसिन्क्रोनस वर्किंग,అసమకాలిక పని
संलग्न प्रक्रिया,అటాచ్డ్ ప్రాసెసింగ్
संलग्न प्रोसेसर,అటాచ్డ్ ప్రాసెసర్
संलग्न समर्थन प्रोसेसर,అటాచ్డ్ సపోర్ట్ ప్రాసెసర్
ऑपरेशन उपस्थित,హాజరైన ఆపరేషన్
ट्रेल प्रिंटरला हजेरी लावली,ట్రైల్ ప్రింటర్‌కు హాజరయ్యారు
लक्ष व्यत्यय,శ్రద్ధ అంతరాయం
लक्ष की,శ్రద్ధ కీ
क्षीणन,అటెన్యుయేషన్
क्षीणन स्थिर,అటెన్యుయేషన్ స్థిరాంకం
क्षीणकरण विकृती,అటెన్యుయేషన్ వక్రీకరణ
अ‍ॅटेन्युएशन इक्वेलायझर,అటెన్యుయేషన్ ఈక్వలైజర్
अ‍ॅटेन्युएटर,అటెన్యూయేటర్
विशेषता,గుణం
ऐकण्यायोग्य अलार्म,వినగల అలారం
ऑडिओ कॅसेट,ఆడియో క్యాసెట్
ऑडिओ चौकशी,ఆడియో విచారణ
ऑडिओ लाइन,ఆడియో లైన్
