English,Tamil
automata,தானியங்கி
automata theory,தானியங்கு கோட்பாடு
automatic computing,தானியங்கி கணக்கீடு
automatic data processing,தானியங்கி தரவு செயலாக்கம்
automatic error correction,தானியங்கி பிழை திருத்தம்
automatic function,தானியங்கு செயல்பாடு
automatic indexing,"1. தானியங்கி அட்டவணைப்படுத்தல், 2. தானியங்கி பட்டியல்"
automatic library call,தானியங்கு சேகரிப்பு அழைப்பு
automatic programming,"1. தானியங்கி நிரலாக்கம், 2. தானியங்கி நிரலாக்க"
automatic recovery program,"1. தானியங்கி மீட்பு திட்டம், 2. தானியங்கி மீட்பு திட்டம்"
automatic routine,தானியங்கி வழக்கம்
automatic system recovery,தானியங்கி கணினி மீட்பு
automatic teller machine (ATM),"1. தானியங்கி பணம் செலுத்தும் இயந்திரங்கள் (ATM), 2. வங்கி ஏ.டி.எம்"
automation,தானியங்கி
autoplay,"1. ஆட்டோபிளே, 2. ஆட்டோ நடை"
autosave,குரல் கொடுத்தல்
auxiliary,உதவியாளர்
auxiliary memory,துணை நினைவகம்
auxiliary storage,துணை சேமிப்பு
available list,கிடைக்கும் பட்டியல்
available time,கிடைக்கும் நேரம்
average,சராசரி
awk (language),AWK (ஒரு கணினி கட்டளை)
backend,பிறகு
backend processor,பின் செயலி
backface removal,பின்புற செயல்பாடு நீக்கம்
background processing,பின்னணி செயலாக்கம்
backing store,துணை கடைகள்
backpatching,மீண்டும் ஒட்டுதல்
backspace,"1. மேற்கு, 2. பின்வெளி"
backtracking,பின்வாங்குதல்
back-up,"1. காப்புப்பிரதி, 2. கொடுக்கப்படுவதுடன்"
back-up memory,"1. நிரப்பு நினைவகம், 2. காப்பு நினைவகம்"
backward error recovery,மீண்டும் பிழை திருத்தம்
balance sheet,(வருமானம்-செலவு) இருப்புநிலை
band,கட்டு
band width,"1. பேண்ட் அகலம், 2. அலைவரிசை/திறன்"
banker's algorithm,வங்கியாளர் வழிமுறை
bar code,"1. பார் குறியீடு, 2. பார் குறியீடு"
bar code scanner,பட்டை குறி படிப்பான் வருடி
bar graph,சட்ட வரைபடம்
base address,அடிப்படை முகவரி
base band,அடிப்படை இசைக்குழு
base number,ஆதார் எண்
base table,அடிப்படை அட்டவணை
BASIC,அடிப்படை (ஒரு கணினி மொழி)
basic control,"1. அடிப்படை கட்டுப்பாடு, 2. அடிப்படை கட்டுப்பாடு"
basic input,"1. அசல் முதலீடு, 2. அடிப்படை முதலீடு"
basic instruction,அடிப்படை அறிவுறுத்தல்
basic output,அடிப்படை பிரச்சினை
basic step,அடிப்படை நிலை
batch,"1. தொகுதி, 2. குழு, 3. பேரழிவு"
batch file,"1. தொகுதி கோப்பு, 2. தொகுதி கோப்பு"
batch position,தொகுதி நிலை
batch processing,"1. தொகுதி செயலாக்கம், 2. குழு செயலாக்கம்"
batch system,"1. தொகுதி அமைப்பு, 2. கவண் அமைப்பு"
baud,பாட்
baud rate,பாட் விகிதம்
beam,கற்றை கற்றை
benchmark,"1. வழிகாட்டுதல்கள், 2. தொகுதி குறி"
bidirectional communication,இருதரப்பு தொடர்பு
bidirectional link,நேரடி இணைப்பு
binary code,பைனரி குறியீடு
binary digit,பைனரி இலக்கங்கள்
binary Input output system (BIOS),பைனரி இன்வெஸ்ட்மென்ட் அவுட்புட் சிஸ்டம் (பயாஸ்)
binary number,பைனரி எண்
binary operator,பைனரி ஆபரேட்டர்
binary relation,பைனரி உறவு
binary search,பைனரி தேடல்
binary search tree (BST),பைனரி ஆய்வு மரம் (BST)
binary transfer,"1. பைனரி பரிமாற்ற மரம், 2. பைனரி பரிமாற்றம்"
binary tree,பைனரி மரம்
bipolar memory,"1. இருமுனை நினைவகம், 2. இருமுனை நினைவகம்"
birth death model,"1. பிறப்பு மற்றும் இறப்பு மாதிரி, 2. பிறப்பு இறப்பு மாதிரி"
birth death process,பிறப்பு இறப்பு செயல்முறை
bit,"1. டூக், 2. பிட்"
bit fault,சிறிய தவறு
bit map,பிட் வரைபடம்
bit map pixel (BMP),"1. பிட், 2. வரைபடம், 3. பிக்சல் (BMP)"
bit matrix,"1. பிட் மேட்ரிக்ஸ், 2. பிட் டேபிள்"
bit pattern,பிட் முறை
bit position,பிட் நிலை
bit rate,"1. பிட் வீதம், 2. பிட் விகிதம்"
black box testing,கண்மூடி சோதனை
blinking,மின்னும்
block,தொகுதி
block cache,"1. பிளாக் கேச், 2. பிளாக் கேச் / துண் நினைவகம்"
block check,தடுப்பு ஆய்வு
block copy,தொகுதி நகல்
block diagram,தொகுதி வரைபடம்
blocking network,"1. தடுக்கப்பட்ட நெட்வொர்க், 2. தடுக்கப்பட்ட நெட்வொர்க்"
board,பலகை
book mark,பக்க நினைவகம்
boolean algebra,பூலியன் இயற்கணிதம்
boolean relation,பூலியன் உறவு
boot partition,துவக்க பகிர்வு
boot strapping,பூட் ஸ்ட்ராப்பிங்
boot-strap loader,1.பூட்ஸ்ட்ராப் ஏற்றி
bridge,"1.பாலம், 2.பாலம்"
broadband networking,பிராட்பேண்ட் நெட்வொர்க்
broadcast,ஒளிபரப்பு
broadcast radio,ஒலிபரப்பு வானொலி
browse,(நிகர) மாறுபாடு
browser,(net) vicar
B-Tree,பி-ட்ரூ
bubble memory,"1.குமிழி நினைவகம், 2.குமிழி நினைவகம்"
bubble sort,குமிழி வகை
bucket,"1.வாளி, 2.வாளி"
buddy system,"1.சகோதர அமைப்பு, 2.பெரிய அமைப்பு"
budget effective control,பயனுள்ள பட்ஜெட் கட்டுப்பாடு
buffer,தாங்கல்
bug,குறைபாடு
bus,போதும்
byte,"1. அஷ்ட வியாங்க், 2. பிட் (எட்டு பிட்கள்)"
byte code,பைட் குறியீடு
c,சி (கணினி மொழி)
C++,"1.சி பிளஸ் பிளஸ், 2.சி++ (கணினி மொழி)"
cache,"1.பணம், 2. வேகமாக, 3.வேகமாக"
cache buffer,"1.கேச் பஃபர், 2.மெமரி பஃபர்"
cache memory,"1.கேச் மெமரி, 2.கேச் மெமரி, 3.ஃபாஸ்ட் மெமரி"
calculation,கணக்கீடு
calculator,"1.கால்குலேட்டர், 2.கால்குலேட்டர்"
calculator chip,"1.கால்குலேட்டர் சிப், 2. கால்குலேட்டர் சிப்"
call,அழைக்கவும்
call by name,பெயர் அழைப்பு
call by reference,குறிப்பு அழைப்பு
call by value,மரியாதை அழைப்பு
call by variables,மாறி அழைப்பு
call gate,அழைப்பு வாயில்
cancel,"1. ரத்து, 2. ரத்து"
cancel button,திரும்பப்பெறுதல் பொத்தான்
canonical,"1. பரிந்துரைக்கப்பட்ட, 2. நியமனம்"
canonical form,நியமன வடிவம்
capability,திறன்
capability list,திறன் பட்டியல்
capacity,"1. திறன், 2. வைத்திருக்கும்"
caps lock key,தொப்பி பூட்டு விசை
card,"1. அட்டை, 2. தாள்"
card reader,கார்டு ரீடர்
cardinality,முக்கியத்துவம்
carrier,கேரியர்
carrier band,கேரியர் பேண்ட்
carrier load,கேரியர் சுமை
carrier signal,கேரியர் சிக்னல்
carrier wave,கேரியர் அலை
carry,சாதித்தது
carry digit,மதிப்பெண் பெற்றார்
carry flag,அடைந்த கொடி
cartridge disk,"1.கார்ட்ரிட்ஜ் டிஸ்க், 2.கார்ட்ரிட்ஜ் டிஸ்க்"
cascade,"1. அருவி, 2. அருவி"
case,வழக்கு
cathod ray tube (CRT),கேத்தோடு-கதிர் குழாய் (CRT)
cathode ray tube (CRT),கத்தோட் கதிர் குழாய் (CRT) கத்தோட் கதிர் குழாய்
CD ROM disk drive,சிடி ரோம் டிஸ்க் டிரைவ்
cell,செல்
cell animation,செல் அனிமேஷன்
cellular phone,கை பேசி
central memory,"1. மைய நினைவகம், 2. மைய நினைவகம்"
central processing unit (CPU),மத்திய செயலாக்க அலகு (CPU)
centralized system,மையப்படுத்தப்பட்ட அமைப்பு
certified tape,அங்கீகரிக்கப்பட்ட டேப்
chain,சங்கிலி
chain data,"1.தொடர் தரவு, 2.தொடர் உள்ளடக்கம்"
chain link,சங்கிலி இணைப்பு
chaining,சங்கிலியிடுதல்
channel,"1.சேனல், 2.சேனல்"
channel busy tone,"1.சேனல் பிஸி டோன், 2.சேனல் பிஸி டோன்"
channel capacity,"1.சேனல் திறன், 2.சேனல் திறன்"
channel controller,"1.சேனல் கன்ட்ரோலர், 2.சேனல் கன்ட்ரோலர்"
channel error,"1. சேனல் பிழை, 2. சேனல் பிழை"
channel program,"1.சேனல் புரோகிராம், 2.சேனல் புரோகிராம்"
channel reliability,"1.சேனல் நம்பகத்தன்மை, 2.சேனல் நம்பகத்தன்மை"
channel set,"1.சேனல் தொகுப்பு, 2.சேனல் தொகுப்பு"
character,சின்னம்
character code,"1.எழுத்து குறியீடு, 2. எழுத்து குறியீடு"
character key,எழுத்து திறவுகோல்
character reader,பாத்திர வாசகர்
character size,"1. சின்ன அளவு, 2. சின்ன அளவு"
chart,சித்திரமான
chassis,"1.சேஸ், 2.சேஸ்"
check bit,சோதனை பிட்
check digit,சோதனை புள்ளிகள்
check sum,மொத்தத்தை சரிபார்க்கவும்
check word,சரிபார்ப்பு வார்த்தை
chip,சிப்
chip set,சிப் தொகுப்பு
choose,"1.தேர்வு, 2.தேர்வு"
chromatically,அகரவரிசைப்படி
cipher,"1.சஃபர், 2. பூஜ்யம், 3. கடலோடி"
circuit,சுற்று
circular list,வட்ட பட்டியல்
cirus,செரிஸ்
citation,குறிப்பிடவும்
class,"1.வகை, 2.வகை"
class variable,வர்க்க மாறி
classification,வகைப்பாடு
clear,துப்புரவு
clear area,அழிக்கப்பட்ட பகுதி
clear channel,"1. அமைப்பு சுத்தம், 2. சேனல் அழிக்க"
click,அச்சகம்
client,"1. வாடிக்கையாளர், 2. வாடிக்கையாளர்"
client server,"1.கிளையண்ட் சர்வர், 2.கிளையண்ட் சர்வர்"
client stub,வாடிக்கையாளர் ஸ்டப்
clip art,வெட்டுதல் கலை
clip art library,ஷேரிங் கலை நூலகம்
clip board,கிளிப் போர்டு
clipper,கிளிப்பர்
clipper chip,கிளிப்பர் சிப்
clique,பிரிவு
clock,"1. கடிகாரம், 2. காலட்"
clock cycle,கடிகார சுழற்சி
clock frequency,கடிகார அதிர்வெண்
clock hardware,கலாட் வன்பொருள்
clock pulse,கலாட் ஸ்பாண்ட்
clock speed,கடிகார வேகம்
clock synchronization,நேர ஒத்திசைவு
clock tick,கடிகார டிக்
clone,குளோன்
close,ஆஃப்
close circuit TV (CCTV),மூடிய சர்க்யூட் டிவி (மறைகாணி)
closure,விளக்கம்
cloud computing,"1.கிளவுட் கம்ப்யூட்டிங், 2.கிளவுட் கம்ப்யூட்டிங்"
cluster,கொத்து
coated card,"1. மூடிய அட்டை, 2. பூசிய தாள்"
coated paper,பூசிய காகித
coaxial,கோஆக்சியல்
coaxial cable,கோஆக்சியல் கேபிள்
codasyl,கோடாசில்
code,"1.குறியீடு, 2.குறியீடு"
code generator,"1. குறியீடு ஜெனரேட்டர், 2. குறியீடு உற்பத்தியாளர்"
code page,குறியீடு பக்கம்
code word,"1.குறியீடு, 2.குறியீடு"
coder,"1.குறியீடு, 2.குறியீடு"
coding check,"1. குறியீட்டு சோதனை, 2. குறியீட்டு சோதனை"
coding form,குறியாக்க வடிவம்
coding sheet,"1. குறியாக்க தாள், 2. குறியீட்டு தாள்"
coefficient,குணகம்
coherence,ஒற்றுமை
cold boot,"1.கோல்ட் பூட், 2.கோல்ட் ஸ்டார்ட்"
cold start,குளிர் ஆரம்பம்
collaboration,உதவி
collapse,சரிவு
collate,"1.இணைத்தல், 2.இணைத்தல்"
collate tape,"1.இன்டெக்ஸ் டேப், 2. காலட் டேப்"
collision,மோதல்
colon,பெருங்குடல்
colour (color),"1. பாத்திரங்கள், 2. நிறங்கள்"
colour saturation,வண்ண செறிவு
colour table,வண்ண அட்டவணை
column,தூண்
combination,சேர்க்கை
combo box,கலப்பு பெட்டி
command,"1.கட்டளை, 2.கட்டளை"
command button,கட்டளை பொத்தான்
command list,கட்டளை பட்டியல்
comment,கருத்து
commitment,"1. அர்ப்பணிப்பு, 2. அர்ப்பணிப்பு"
commodity,விஷயம்
Common Business Oriented Language (Cobol),பொது வணிகம் சார்ந்த மொழி (COBOL)
common error,பொதுவான பிழை
common language,பொது மொழி
common routine,"1.பொதுப்பெயர், 2. சாதாரண வழக்கமான"
communication,தொடர்புகள்
communication line,தொடர்பு வரி
communication mode,தொடர்பு முறை
communication network,"1. தொடர்பு நெட்வொர்க், 2. தொடர்பு நெட்வொர்க்"
communication parameter,தொடர்பு அளவுரு
communication system,தொடர்பு அமைப்பு
compaction,சுருக்கம்
compander,அமுக்கி
companding,சுருக்க பரிமாற்றம்
company network,நிறுவனத்தின் நெட்வொர்க்
comparison test,ஒப்பீட்டு சோதனை
compatibility,"1. நிலைத்தன்மை, 2. இணக்கத்தன்மை"
compatible,இணக்கமான
compilation,தொகுத்தல்
compile and go,தொகுத்தல் மற்றும் செயல்படுத்துதல்
compiler,"1.தொகுப்பாளர், 2.நிரல் பரிமாற்றி"
compiler language,தொகுக்கும் மொழி
complementary,துணை
complement-on-ten,பத்து இன் நிரப்பு
complementor,துணை
complete carry,"1. முழுமையாக வாங்கியது, 2. முழுமையாக வாங்கியது"
complex,கூட்டு
complex number,சிக்கலான எண்
component,தொகுதி
component object model (COM),com
composite,கூட்டு
composition,சேர்க்கை
computational,"1.கணக்கிடக்கூடியது, 2.கணிக்கத்தக்கது"
computer,கணினி
computer centre,கணினி மையம்
computer expert,கணினி நிபுணர்
computer graphics,கணினி வரைகலை
computer instruction,கணினி அறிவுறுத்தல்
computer language,"1.கணினி மொழி, 2.கணினி மொழி"
computer network,"1. கணினி நெட்வொர்க், 2. கணினி நெட்வொர்க்"
computer science,கணினி அறிவியல்
computer security,கணினி பாதுகாப்பு
computer simulaton,கணினி உருவகப்படுத்துதல்
computer specialist,கணினி நிபுணர்
computerisation,கணினிமயமாக்கல்
computerist,கணினி நிபுணர்
computerize,கணினிமயமாக்கல்
computing,"1. கணக்கீடு, 2. கணக்கீடு"
concept,கருத்து
concurrency,"1.சமச்சீர், 2.ஒத்திசைவு, 3.ஒற்றுமை"
concurrent,"ஒரே நேரத்தில், ஒரே மாதிரியான"
condition variable,கட்டுப்பாடு மாறி
conditional operator,கட்டுப்படுத்தப்பட்ட ஆபரேட்டர்
conditional statement,கட்டுப்படுத்தப்பட்ட அறிக்கை
conductor,இயக்கி
conferencing,"1.தொலைவு மாநாடு, 2.மாநாடு"
confidentiality,தனியுரிமை
configuration,"1.கட்டமைப்பு, 2.கட்டமைப்பு"
congestion,நெரிசல்
conjunction,சேர்க்கை
connect speed,இணைப்பு வேகம்
connection,இணைப்பு
connection less communication,தொடர்பு இல்லாத தொடர்பு
connection release,இணைப்பு வெளியீடு
connectivity,இணைப்பு
connector,"1.இணைப்பான், 2.இணைப்பான்"
consecutive,தொடர்ச்சியாக
consequent,பின்தொடரவும்
console,பணியகம்
consolidation,ஒருங்கிணைப்பு
constant,"1.அசோசியேட், 2. நிலையான"
constant instruction,நிலையான அறிவுறுத்தல்
constraint,கட்டுப்படுத்தப்பட்டது
constructor,கட்டமைப்பாளர்
container,பானை
content,"1. உள்ளடக்கம், 2. பகுதிகள்"
context,சூழல்
context free grammar (CFG),சூழல் இலவச இலக்கணம் (cfg)
context switch,சூழல் சுவிட்ச்
contingency,"1.சாதாரண, 2.தொடர்ச்சி"
contraction,முரண்பாடு
contrast,மாறுபாடு
control,கட்டுப்பாடு
control area,கட்டுப்பாட்டு மண்டலம்
control bit,கட்டுப்பாட்டு பிட்
control bus,கட்டுப்பாட்டு பேருந்து
control card,கட்டுப்பாட்டு அட்டை
control circuit,கட்டுப்பாட்டு சுற்று
control cycle,கட்டுப்பாட்டு சக்கரம்
control engineering,"1. கட்டுப்பாட்டு பொறியியல், 2. கட்டுப்பாட்டு பொறியியல்"
control key,கட்டுப்பாட்டு விசை
control logic,கட்டுப்பாட்டு தர்க்கம்
control loop,கட்டுப்பாட்டு வளையம்
control mark,கட்டுப்பாட்டு அடையாளம்
control operation,கட்டுப்பாட்டு செயல்பாடு
control panel,கண்ட்ரோல் பேனல்
control signal,கட்டுப்பாட்டு சமிக்ஞை
control switch,கட்டுப்பாட்டு சுவிட்ச்
control tape,கட்டுப்பாட்டு நாடா
control terminal,"1. கட்டுப்பாட்டு முனையம், 2. கட்டுப்பாட்டு முனையம்"
control unit (CU),"1. கட்டுப்பாட்டு அலகு, 2. கட்டுப்பாட்டு பிரிவு"
convergence,ஒன்றிணைதல்
conversation,உரையாடல்
conversational time sharing,உரையாடல் அழைப்பு
conversion,மாற்றம்
converter,மாற்றி
Cook's theorem,குக் தேற்றம்
co-processor,இணை செயலி
copy,நகல்
copyright,பதிப்புரிமை
cord,தண்டு
cordless telephone,"1. கம்பியில்லா தொலைபேசி, 2. கம்பியில்லா தொலைபேசி, 3. கம்பியில்லா தொலைபேசி"
corollary,துணை தேற்றம்
correction,திருத்தம்
corrupted,"1. பயன்படுத்த முடியாத, 2. சிதைக்கப்பட்ட"
count,கணக்கீடு
counter,அடித்தவர்
country code,நாட்டின் குறியீடு
covariance,இணை மாறுபாடு
coverage,"1. நோக்கம் பகுதி, 2. ஒளிபரப்பு"
crash,சரிவு
critical path,முக்கியமான பாதை
critical path method (CPM),முக்கியமான பாதை முறை (CPM)
cross check,"1.குறுக்கு சோதனை, 2.குறுக்கு சோதனை"
cross compiler,"1.கிராஸ் புரோகிராமபிள்-பரிமாற்றம், 2. நிரல்படுத்தக்கூடியது"
cross fire,பொருத்தமற்ற சமிக்ஞை
cross talk,பொருத்தமற்ற பேச்சு
cryptographic,குறியாக்கவியல்
cryptography,"1. மறைநூல், 2. மறைநூல், 3. மறைநூல்"
currency symbol,நாணய சின்னம்
current directory,தற்போதைய அடைவு
current window,தற்போதைய சாளரம்
cursor,கர்சர்
curve,வளைவு
cut and paste,"1. கட் அண்ட் பேஸ்ட், 2. கட் அண்ட் பேஸ்ட்"
cut method,வெட்டுதல் முறை
cyber,சைபர்
