Odiya,Kannada
ସଂପୂର୍ଣ୍ଣ ଗତି,ಸಂಪೂರ್ಣ ವೇಗ
ସଂପୂର୍ଣ୍ଣ ସଂଗୀତ |,ಸಂಪೂರ್ಣ ಸಂಗೀತ
ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |,ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ
ସଂପୂର୍ଣ୍ଣ ଓହମ୍ |,ಸಂಪೂರ್ಣ ಓಂ
ସଂପୂର୍ଣ୍ଣ ଆଭିମୁଖ୍ୟ,ಸಂಪೂರ್ಣ ದೃಷ್ಟಿಕೋನ
ସଂପୂର୍ଣ୍ଣ ଇଲେକ୍ଟ୍ରୋନେଗେଟିଭିଟି |,ಸಂಪೂರ್ಣ ಎಲೆಕ್ಟ್ರೋನೆಜಿಟಿವಿಟಿ
ସଂପୂର୍ଣ୍ଣ ମାଧ୍ୟାକର୍ଷଣ |,ಸಂಪೂರ್ಣ ಗುರುತ್ವಾಕರ್ಷಣೆ
ସଂପୂର୍ଣ୍ଣ ଚାପ |,ಸಂಪೂರ್ಣ ಒತ್ತಡ
ସଂପୂର୍ଣ୍ଣ ସମ୍ପତ୍ତି |,ಸಂಪೂರ್ಣ ಆಸ್ತಿ
ସଂପୂର୍ଣ୍ଣ ସ୍କାଲାର୍ |,ಸಂಪೂರ್ಣ ಸ್ಕೇಲಾರ್
ତାପମାତ୍ରାର ଚରମ ମାପ *,ತಾಪಮಾನದ ಸಂಪೂರ್ಣ ಪ್ರಮಾಣ*
"ସଂପୂର୍ଣ୍ଣ ସିଙ୍କ୍ରୋନି, ସଂପୂର୍ଣ୍ଣ ସିଙ୍କ୍ରୋନି |","ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ, ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ"
ସଂପୂର୍ଣ୍ଣ ଚାପ |,ಸಂಪೂರ್ಣ ಒತ್ತಡ
ସଂପୂର୍ଣ୍ଣ ସମୃଦ୍ଧତା |,ಸಂಪೂರ್ಣ ಸಮ್ಮಿತಿ
ସଂପୂର୍ଣ୍ଣ ଗତି ଶରୀର |,ಸಂಪೂರ್ಣ ಚಲನೆಯ ದೇಹ
ସଂପୂର୍ଣ୍ଣ ୟୁନିଟ୍ ସିଷ୍ଟମ୍ |,ಸಂಪೂರ್ಣ ಘಟಕ ವ್ಯವಸ್ಥೆ
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
ସଂପୂର୍ଣ୍ଣ ସମୟ |,ಸಂಪೂರ್ಣ ಸಮಯ
ସଂପୂର୍ଣ୍ଣ ଏକକ |,ಸಂಪೂರ್ಣ ಘಟಕಗಳು
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
ପୂର୍ଣ୍ଣ କାଲକୁଲେଟର,ಪೂರ್ಣಾಂಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್
ସଂପୂର୍ଣ୍ଣ ବେଗ,ಸಂಪೂರ್ಣ ವೇಗ
ସଂପୂର୍ଣ୍ଣ ସାନ୍ଦ୍ରତା |,ಸಂಪೂರ್ಣ ಸ್ನಿಗ್ಧತೆ
ସଂପୂର୍ଣ୍ଣ ଓଜନ |,ಸಂಪೂರ್ಣ ತೂಕ
ସଂପୂର୍ଣ୍ଣ ଶୂନ *,ಸಂಪೂರ್ಣ ಶೂನ್ಯ*
ଶୂନ୍ୟର ସଂପୂର୍ଣ୍ଣ ବିଭାଜନକାରୀ |,ಶೂನ್ಯದ ಸಂಪೂರ್ಣ ಭಾಜಕ
ଶୋଷଣ,ಹೀರಿಕೊಳ್ಳುತ್ತವೆ
ଅବସାଦ ସୂଚକାଙ୍କ *,ಹೀರಿಕೊಳ್ಳುವ ಸೂಚ್ಯಂಕ*
ଶୋଷିତ ଶକ୍ତି,ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಶಕ್ತಿ
"ଶୋଷକ, ଶୋଷକ","ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ"
ଅବଶୋଷକ ମାଧ୍ୟମ *,ಹೀರಿಕೊಳ್ಳುವ ಮಾಧ್ಯಮ*
ଅବଶୋଷଣ କ୍ଷମତା |,ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
ଅବସାଦ |,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ଶୋଷଣକାରୀ *,ಹೀರಿಕೊಳ್ಳುವ ಮಾಪಕ*
ଶୋଷଣକାରୀ *,ಅಬ್ಸಾರ್ಪ್ಟಿಯೋಮೆಟ್ರಿ*
ଅବଶୋଷଣ,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ଅବଶୋଷଣ - ବ୍ୟାଣ୍ଡ *,ಹೀರಿಕೊಳ್ಳುವಿಕೆ - ಬ್ಯಾಂಡ್*
ଅବଶୋଷଣ ସର୍କିଟ |,ಹೀರಿಕೊಳ್ಳುವ ಸರ್ಕ್ಯೂಟ್
ଶୋଷଣ ଗୁଣବତ୍ତା,ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ
ଅବଶୋଷଣ ସ୍ତମ୍ଭ,ಹೀರಿಕೊಳ್ಳುವ ಕಾಲಮ್
ଅବଶୋଷଣ ସ୍ଥିର |,ಹೀರುವಿಕೆ ಸ್ಥಿರ
ଅବଶୋଷଣ କ୍ରମାଗତ |,ಹೀರಿಕೊಳ್ಳುವ ನಿರಂತರತೆ
ଅବଶୋଷଣ ଜୋନ୍ |,ಹೀರಿಕೊಳ್ಳುವ ವಲಯ
ଅବଶୋଷଣ କରେଣ୍ଟ |,ಹೀರಿಕೊಳ್ಳುವ ಪ್ರಸ್ತುತ
ଅବଶୋଷଣ ବକ୍ର *,ಹೀರಿಕೊಳ್ಳುವ ವಕ್ರರೇಖೆ*
ଅବଶୋଷଣ ଭଙ୍ଗା |,ಹೀರಿಕೊಳ್ಳುವ ಮುರಿತ
ଅବଶୋଷଣ କୋର୍ |,ಹೀರಿಕೊಳ್ಳುವ ಕೋರ್
ଅବଶୋଷଣ କାରକ |,ಹೀರಿಕೊಳ್ಳುವ ಅಂಶ
ଅବଶୋଷଣ ଫିଲ୍ଟର୍ |,ಹೀರಿಕೊಳ್ಳುವ ಫಿಲ್ಟರ್
ଅବଶୋଷଣ ଫ୍ଲେମ୍ ଫୋଟୋମେଟ୍ରି *,ಹೀರಿಕೊಳ್ಳುವ ಜ್ವಾಲೆಯ ಫೋಟೊಮೆಟ್ರಿ*
ଅବଶୋଷଣ ହାଇଗ୍ରୋମିଟର |,ಹೀರಿಕೊಳ್ಳುವ ಹೈಗ್ರೋಮೀಟರ್
ଅବଶୋଷଣ ପ୍ରଦର୍ଶକ |,ಹೀರಿಕೊಳ್ಳುವ ಘಾತ
ଶୋଷଣ ମାର୍ଜିନ,ಹೀರಿಕೊಳ್ಳುವಿಕೆ ಕನಿಷ್ಠ
ଅବଶୋଷଣ ରେଖା |,ಹೀರಿಕೊಳ್ಳುವ ರೇಖೆ
ଅବଶୋଷଣ କ୍ଷତି |,ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ
ଅବଶୋଷଣ ମଡ୍ୟୁଲେସନ୍ |,ಹೀರಿಕೊಳ್ಳುವ ಮಾಡ್ಯುಲೇಶನ್
ହାଲୁକା ଅବଶୋଷଣ |,ಬೆಳಕಿನ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ବିକିରଣ ଶକ୍ତିର ଅବଶୋଷଣ |,ವಿಕಿರಣ ಶಕ್ತಿಯ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ଅବଶୋଷଣ ଶିଖର |,ಹೀರಿಕೊಳ್ಳುವ ಗರಿಷ್ಠ
ଅବଶୋଷଣ ଫୋଟୋମେଟ୍ରି |,ಹೀರಿಕೊಳ್ಳುವ ದ್ಯುತಿಮಾಪನ
ଅବଶୋଷଣ ଅନୁପାତ |,ಹೀರಿಕೊಳ್ಳುವ ಅನುಪಾತ
ଅବଶୋଷଣ ପରିସର *,ಹೀರಿಕೊಳ್ಳುವ ಶ್ರೇಣಿ*
ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ ଫୋଟୋମେଟ୍ରି *,ಹೀರಿಕೊಳ್ಳುವ ಸ್ಪೆಕ್ಟ್ರಮ್ ಫೋಟೋಮೆಟ್ರಿ*
ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ *,ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ*
"ଅବଶୋଷଣ ଟ୍ୟୁବ୍, ଅବଶୋଷଣ ଟ୍ୟୁବ୍ |","ಹೀರಿಕೊಳ್ಳುವ ಕೊಳವೆ, ಹೀರಿಕೊಳ್ಳುವ ಕೊಳವೆ"
ଅବଶୋଷଣ ହାଇଗ୍ରୋମିଟର |,ಹೀರಿಕೊಳ್ಳುವ ಹೈಗ್ರೋಮೀಟರ್
ଶୋଷଣକାରୀ *,ಹೀರಿಕೊಳ್ಳುವ*
ଶୋଷକ ବାଷ୍ପୀକରଣକାରୀ |,ಹೀರಿಕೊಳ್ಳುವ ಬಾಷ್ಪೀಕರಣ
ଅବଶୋଷଣ ନିୟମ *,ಹೀರಿಕೊಳ್ಳುವ ಕಾನೂನು*
ଅବଶୋଷଣ ମାଧ୍ୟମ |,ಹೀರಿಕೊಳ್ಳುವ ಮಾಧ್ಯಮ
"ଅବଶୋଷଣ କ୍ଷମତା, ଅବଶୋଷଣ *","ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ, ಹೀರಿಕೊಳ್ಳುವಿಕೆ*"
ଅବସାଦ *,ಹೀರಿಕೊಳ್ಳುವಿಕೆ*
ଷ୍ଟୁଡିଓ ସାଜସଜ୍ଜା |,ಸ್ಟುಡಿಯೋ ಅಲಂಕಾರ
ବହୁଗୁଣ ଅନୁପାତ |,ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ
abvolt,abvolt
ବିଷୟରେ,ಸುಮಾರು
ତ୍ୱରାନ୍ୱିତ କର |,ವೇಗವನ್ನು
ତ୍ୱରଣ-ସ୍ଥଗିତ ଦୂରତା |,ವೇಗವರ್ಧನೆ-ನಿಲುಗಡೆ ಅಂತರ
ଶୀଘ୍ର ଶୀଘ୍ର,ಆತುರಪಟ್ಟರು
ଶୀଘ୍ର ସମୟ ପ୍ରଭାବ ପରୀକ୍ଷା |,ತ್ವರಿತ ಸಮಯದ ಪರಿಣಾಮ ಪರೀಕ್ಷೆ
ଶୀଘ୍ର ପ୍ରବାହ,ತ್ವರಿತ ಹರಿವು
ଦ୍ରୁତ ଗତି,ತ್ವರಿತ ಗತಿ
ଶୀଘ୍ର ଶରୀର,ತ್ವರಿತ ದೇಹ
ତ୍ୱରଣକାରୀ ଓଜନ,ವೇಗವರ್ಧಕ ತೂಕ
ତ୍ୱରକ ଇଲେକ୍ଟ୍ରୋଡ୍ *,ವೇಗವರ್ಧಕ ವಿದ್ಯುದ್ವಾರ*
ତ୍ୱରକ ସମୟ *,ವೇಗವರ್ಧಕ ಸಮಯ*
ତ୍ୱରକ ପର୍ଯ୍ୟାୟ |,ವೇಗವರ್ಧಕ ಹಂತ
ତ୍ୱରଣକାରୀ ହାର,ವೇಗವರ್ಧಕ ದರ
ତ୍ୱରକ ଭୋଲଟେଜ୍ *,ವೇಗವರ್ಧಕ ವೋಲ್ಟೇಜ್*
ତ୍ୱରଣ,ವೇಗವರ್ಧನೆ
ତ୍ୱରିତ ଜାଳେଣି |,ವೇಗವರ್ಧಿತ ದಹನ
ତ୍ୱରଣ ଗୁଣବତ୍ତା,ವೇಗವರ್ಧಕ ಗುಣಾಂಕ
ତ୍ୱରଣ ଉପାଦାନ,ವೇಗವರ್ಧಕ ಘಟಕ
ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |,ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ
ତ୍ୱରଣ କାରକ,ವೇಗವರ್ಧಕ ಅಂಶ
ତ୍ୱରିତ ଚାର୍ଜ |,ವೇಗವರ್ಧಿತ ಚಾರ್ಜ್
ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
ତ୍ୱରଣ ସମ୍ଭାବନା |,ವೇಗವರ್ಧಕ ಸಾಮರ್ಥ್ಯ
ତ୍ୱରଣ ନିୟମ,ವೇಗವರ್ಧಕ ಕಾನೂನು
ତ୍ୱରଣ ପ୍ରକ୍ରିୟା,ವೇಗವರ್ಧಕ ಪ್ರಕ್ರಿಯೆ
ତ୍ୱରଣ କ୍ଷେତ୍ର,ವೇಗವರ್ಧಕ ವಲಯ
ତ୍ୱରଣ ପଦ୍ଧତି,ವೇಗವರ್ಧಕ ವಿಧಾನ
"ତ୍ୱରଣ ସହନଶୀଳତା, ତ୍ୱରଣ ସହନଶୀଳତା |","ವೇಗವರ್ಧಕ ಸಹಿಷ್ಣುತೆ, ವೇಗವರ್ಧನೆ ಸಹಿಷ್ಣುತೆ"
ତ୍ୱରଣ ଭେକ୍ଟର,ವೇಗವರ್ಧಕ ವೆಕ್ಟರ್
ତ୍ୱରଣ-ଭୋଲଟେଜ୍,ವೇಗವರ್ಧನೆ-ವೋಲ್ಟೇಜ್
ତ୍ୱରଣ ତରଙ୍ଗ,ವೇಗವರ್ಧಕ ತರಂಗ
ତ୍ୱରକ,ವೇಗವರ್ಧಕ
"ତ୍ୱରାନ୍ୱିତ, ତ୍ୱରକ *","ವೇಗಗೊಳಿಸು, ವೇಗವರ್ಧಕ*"
ତ୍ୱରକ ସମୀକରଣ |,ವೇಗವರ್ಧಕ ಸಮೀಕರಣ
ତ୍ୱରକ *,ವೇಗವರ್ಧಕ*
ଆକ୍ସିଲେରୋମିଟର,ವೇಗವರ್ಧಕ
ଆକ୍ସିଲେରୋମିଟର ମେଳ |,ವೇಗವರ್ಧಕ ಹೊಂದಾಣಿಕೆ
ସମ୍ମାନ,ಪ್ರಿಸ್ಟ್ರೆಸರ್
ବ valid ଧ ବର୍ଣ୍ଣଗୁଡିକ |,ಮಾನ್ಯ ಅಕ್ಷರಗಳು
ଗ୍ରହଣ କୋଣ,ಸ್ವೀಕಾರ ಕೋನ
ଗ୍ରହଣ ନିର୍ଦ୍ଦିଷ୍ଟକରଣ |,ಸ್ವೀಕಾರ ವಿವರಣೆ
ଗ୍ରହଣୀୟ ପରୀକ୍ଷା,ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ
"ଗ୍ରହଣକାରୀ *, ଗ୍ରହଣକାରୀ","ಸ್ವೀಕರಿಸುವವರು*, ಸ್ವೀಕರಿಸುವವರು"
ରିସେପ୍ଟର ପରମାଣୁ |,ಗ್ರಾಹಕ ಪರಮಾಣು
ରିସେପ୍ଟର ବଣ୍ଡ |,ಗ್ರಾಹಕ ಬಂಧ
ରିସିଭର୍ ସର୍କିଟ୍ |,ರಿಸೀವರ್ ಸರ್ಕ್ಯೂಟ್
ରିସେପ୍ଟର ସ୍ତର,ಗ್ರಾಹಕ ಮಟ್ಟ
ଦାତା ଅଣୁ,ದಾನಿ ಅಣು
ରିସେପ୍ଟର ସମ୍ପତ୍ତି |,ಗ್ರಾಹಕ ಆಸ್ತಿ
ରିସେପ୍ଟର ସମ୍ପତ୍ତି ସ୍ତର |,ಗ್ರಾಹಕ ಆಸ್ತಿ ಮಟ್ಟ
ତ୍ୱରକ ହୋସ୍ |,ವೇಗವರ್ಧಕ ಮೆದುಗೊಳವೆ
"ପ୍ରବେଶ, ଅପେକ୍ଷା, ପ୍ରବେଶ","ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶ"
ଭୁଜ୍ ପ୍ରବେଶ କରନ୍ତୁ |,ಭುಜ್ ಅನ್ನು ಪ್ರವೇಶಿಸಿ
ଆକ୍ସେସ୍ ସିଷ୍ଟମ୍ |,ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ
ପ୍ରବେଶ ସମୟ,ಪ್ರವೇಶ ಸಮಯ
ଅଭିଗମ୍ୟତା,ಪ್ರವೇಶಿಸುವಿಕೆ
"ଅତିରିକ୍ତ, ସହାୟକ, ଆନୁଷଙ୍ଗିକ (v,), ଆନୁଷଙ୍ଗିକ |","ಹೆಚ್ಚುವರಿ, ಸಹಾಯಕ, ಪರಿಕರಗಳು (v, ), ಬಿಡಿಭಾಗಗಳು"
ଅତିରିକ୍ତ ପ୍ରତିବନ୍ଧକ |,ಹೆಚ್ಚುವರಿ ನಿರ್ಬಂಧಗಳು
