Hindi,Assamese
बैल बॉक्स,বেল বাকচ
बैलिंग बकेट,বেলিং বাল্টি
बैलोफ्राम,বেলোফ্ৰেম
पैड़ीदार नींव,বেঞ্চযুক্ত ভেটি
पैड़ी बनाना,বেঞ্চিং কৰা
निदेश तलचिह्न,বেঞ্চ মাৰ্ক
हितलाभ लागत विश्लेषण,লাভৰ খৰচ বিশ্লেষণ
उपतट,বাৰ্ম
ढालू डेली,বেভেলড বন্ধ
संस्तर/B-होराइजन,"খ-দিগন্ত,&quot;খ-"
बीएट,বিয়াত
बंधक,বাইণ্ডাৰ
बंधक पदार्थ,বান্ধি ৰখা সামগ্ৰী
बायोट का सिद्धांत,বায়টৰ তত্ত্ব
बीटूमन,বিটুমিন
काली मृदा,ক’লা কপাহী মাটি
काली मिट्टी,ক&#39;লা পৃথিৱী
काली शाब्दल मृदा,ক’লা টাৰ্ফ মাটি
फलक,ব্লেড
वात्या भट्टी धातुमल सीमेंट,ব্লাষ্ট ফাৰ্নেচ স্লেগ চিমেণ্ট
खंडीय संरचना,ব্লকযুক্ত গঠন
बोगी संचलन प्रतिरोध,বগী প্ৰতিৰোধ
दलदल लोह खनित्र,বোগ-লোহাৰ অক্সাইড
चाल (चिनाई की),বান্ধোন
बद्ध अवयव,বণ্ডেড সদস্য
बद्ध प्रत्ययित तनन,বণ্ডেড পোষ্ট টেনচিং
बंधक पत्थर,বণ্ড ষ্টোন
बद्ध जल,বান্ধি থোৱা পানী
पेटिकाकार नाली,বক্স নালা
बंधनी,ব্ৰেচ
खड़ी ईंट,ইটা-অন-এজ
ब्राइडल,লজ্জাজনক
द्युति,উজ্জ্বলতা
भूरी मृदा,বাদামী মাটি
भवन,ভৱন
भवन सर्वेक्षक,বিল্ডিং জৰীপকাৰী
बफर (रोधक),বাফাৰ
रोधनवक या अनुपामन वक,বাফাৰ বক্ৰ
रोधन,বাফাৰিং
रोधन क्षमता,বাফাৰিং ক্ষমতা
बन्दर,বাণ্ডাৰ
पुश्ता,বাট্ৰেছ
c-संस्तर/c-होराइजन,গ-দিগন্ত
तार/केबल,কেবল
तारगढ़ाई,কেবল মল্ডিং
केबिल तंत्र,কেবলিং
केबिन,কেবিন
केबिन अंकुश,কেবিন হুক
मंजूषा,কেবিনেট
ध्वनि शोषण चादर,কেবল্টৰ চাকৰি এৰিছে
कैफेटेरिया,কেফেটেৰিয়া
पिंजरा,সঁজা
पिंजरानुमा निर्माण,পিঞ্জৰা নিৰ্মাণ
केनसूत्र,কয়িনৰ সূত্ৰ
कैसन (या कॉफर),কেইচন
कैसन रोग,কেইচন ৰোগ
केसन नींव,কেইচন ফাউণ্ডেচন
कैसन पाइल,কেইচন পাইল
चूनेदार ईंट,কেলকেয়াৰযুক্ত ইটা
चूनेदार मिट्टी,কেলকেয়াৰযুক্ত মাটি
चूनेदार पपड़ी,কেলকেয়াৰযুক্ত খোলা
केल्सीकरण,কেলচিফিকেশন
निस्तापन,কেলচিনেচন
कैलसाइन,কেলচিন
कैल्साइट,কেলচাইট
कैल्शियम एल्यूमिनेट सीमेंट,কেলচিয়াম-এলুমিনেট চিমেণ্ট
कैल्शियम सिलीकेट ईंट,কেলচিয়াম-চিলিকেট ইটা
कैल्शियम सिलिकेट हाईड्रेट,কেলচিয়াম-চিলিকেট হাইড্ৰেট
कालीचे,কালিচে
कैलिफोर्निया असर अनुपात,কেলিফৰ্ণিয়া বেয়াৰিং ৰেচিঅ’
केलिपर,কেলিপাৰ
कैलोरीमीटर,কেলৰিমিটাৰ
न्युब्ज़ता/कैम्बर,কেম্বাৰ
नहर,খাল
कैनॉपी,কেনপি
बहुधारन पद,কেন্টিলিভাৰ ফুটিং
टोपी,কেপ
धारिता,ক্ষমতা
रेल पथ क्षमता,ail ট্ৰেকৰ ক্ষমতা
टोपी कंडरा,কেপ কেবল
केशिकत्व,কেপিলাৰিটি
केशिका विच्छेद,কেপিলাৰী ব্ৰেক
केशिका प्रवाह,কেপিলাৰী প্ৰবাহ
केशिका आर्द्रता या केशिका जल,কেপিলাৰী আৰ্দ্ৰতা বা কেপিলাৰী পানী
केशिका रंध्र अवकाश,কেপিলাৰী ছিদ্ৰ স্থান
केशिका रंध्रता,কেপিলাৰী ছিদ্ৰতা
केशिका अवकाश,কেপিলাৰী স্থান
प्रग्रहण वेग,কেপচাৰ বেগ
कार्बोनेशन,কাৰ্বনেচন
कार्बन काजल,কাৰ্বন ব্লেক
ढलने योग्य उच्च तापसह,Castble অবাধ্য
स्वस्थान ढली,কাষ্ট-ইন-প্লেচ বা কাষ্ট-ইন-চিটু
यथास्थान बनाई पाइल,কাষ্ট-ইন-প্লেচ পাইল
कैस्टर,কেষ্টাৰ
ढला पत्थर,ঢালাই শিল
उत्प्रेरक,অনুঘটক
मृदा श्रृंखला,কেটেনা
विडाल मुख,মেকুৰীৰ মুখ
कैट हैड,মেকুৰীৰ মূৰ
धनायन,কেটিয়ন
कैट बॉक,মেকুৰী খোজ কাঢ়িব
कोटरन क्षति,গহ্বৰৰ ক্ষতি
सेलाइट,চেলাইট
कोशिकीय कंक्रीट,কোষীয় কংক্ৰিট
कोशिकीय निर्माण,কোষীয় নিৰ্মাণ
सीमेंट,চিমেণ্ট
बिटुमनी सीमेंट,"চিমেণ্ট, বিটুমিনাছ"
शीघ्र सामर्थ्य सीमेंट,"চিমেণ্ট, উচ্চ শক্তি"
जलीय सीमेंट,"চিমেণ্ট, হাইড্ৰলিক"
न्यून ऊष्मा सीमेंट,"চিমেণ্ট, কম জুইত"
चिनाई सीमेंट,"চিমেণ্ট, শিলৰ কাম"
प्राकृतिक सीमेंट,"চিমেণ্ট, প্ৰাকৃতিক"
पोर्टलैंड सीमेंट,"চিমেণ্ট, পৰ্টলেণ্ড"
पोर्टलैंड वात्या-भट्टी धातुमल सीमेंट,"চিমেণ্ট, পৰ্টলেণ্ড ব্লাষ্ট ফাৰ্নেচৰ স্লেগ"
पोर्टलैंड पोजोलॉन सीमेंट,"চিমেণ্ট, পৰ্টলেণ্ড প&#39;জ&#39;লান"
सीमेंट धातुमल,"চিমেণ্ট, স্লেগ"
सल्फेट प्रतिरोधी सीमेंट,"চিমেণ্ট, ছালফেট প্ৰতিৰোধী"
सुपरसल्फेटेड सीमेंट,"চিমেণ্ট, ছুপাৰ ছালফেটেড"
श्वेत सीमेंट,"চিমেণ্ট, বগা"
सीमेंट मिलावा अनुपात,চিমেণ্ট-এগ্ৰিগেটৰ অনুপাত
सीमेंट अंश,চিমেণ্টৰ পৰিমাণ
सेमेंट जेल,চিমেণ্ট জেল
सीमेंट गन,চিমেণ্টৰ বন্দুক
सीमेंट भट्टी,চিমেণ্টৰ ভঁৰাল
सीमेंट प्रलेप,চিমেণ্টৰ ৰং
सीमेंट प्लास्टर,চিমেণ্টৰ প্লাষ্টাৰ
सीमेंट शैल,চিমেণ্টৰ শিল
सीमेंट घोल,চিমেণ্টৰ গোন্ধ
सीमेंट भंडारण,চিমেণ্ট সংৰক্ষণ
सीमेंटीकरण प्रक्रम,চিমেণ্টেচন প্ৰক্ৰিয়া
ढूला,কেন্দ্ৰীকৰণ
ढूला बनाना,চেণ্টাৰিং আৰু শ্বাটাৰিং
केन्द्रीय मिश्रित कंक्रीट,কেন্দ্ৰীয় মিশ্ৰিত কংক্ৰিট
केन्द्रीय मिश्रक,কেন্দ্ৰীয় মিক্সাৰ
अपकेन्द्री पंखा,কেন্দ্ৰপৃথক ফেন
खड़िया,চক
शैम्फर,চেমফাৰ
निष्कोणन पत्ती,চেমফাৰ ষ্ট্ৰিপ
चैनल धरन,চেনেল বিম
अभिलाक्षणिक भार,বৈশিষ্ট্যপূৰ্ণ বোজা
अभिलाक्षणिक सामर्थ्य,বৈশিষ্ট্যপূৰ্ণ শক্তি
शुल्क माफी,চাৰ্জ অফ কৰক
भरण,চাৰ্জিং
तरेड़न,পৰীক্ষা কৰি আছে
रासायनिक आबंध,ৰাসায়নিক বন্ধন
चर्नोजेम,চেৰনোজেম
चैस्टनट मृदा,চেষ্টনাটৰ মাটি
धुआरा पनाली,চিমনিৰ নালা
अपखण्ड फलक,চিপ বৰ্ড
छीलना,চিপিং
दाना,চিপছ
ढलवा नाली,চুটে
श्रेणी (कंक्रीट की),শ্ৰেণী (কংক্ৰিটৰ)
मृत्तिका,বোকা মাটি
मृत्तिका अंश,মাটিৰ পৰিমাণ
मृत्तिका दृढ़ पटल,মাটিৰ কেৰাহী
सफाई द्वार,ক্লিনআউট
निर्वात सुधार,চাফ-চিকুণ কৰক
गुटका,ক্লিট কৰক
क्लिंकर,ক্লিংকাৰ
क्लिप,ক্লিপ
स्कंदन,জমা হোৱা
स्थूल समुच्चय/मोटा मिलावा,মোটা গোটা পদাৰ্থ
स्थूल कणीय मृदा,মোটা দানাযুক্ত মাটি
कोट,কোট
कॉफर बाँध,কফাৰ বান্ধ
ससंजन,সংহতি
कोलाइड,কলয়ড
कोलाइडी-आर्द्रता तुल्यांक अनुपात,কলয়ডাল আৰ্দ্ৰতাৰ সমতুল্য অনুপাত
कोलाइडी प्रणाली या कोलाइडी सम्मिश्रण,কলয়ডাল ব্যৱস্থা
मिश्रोढ़ मृदा,কলুভিয়াল মাটি
स्तम्भ/टेक/संपीडांग,স্তম্ভ
कंकतित परिष्कृति,কম্বড ফিনিচিং
संयुक्त पाद,সংযুক্ত ফুটিং
संयुक्त जल,সংযুক্ত পানী
सामान्य कक्ष,কমন ৰুম
पूर्णावस्था प्रमाण पत्र,সম্পূৰ্ণ হোৱাৰ প্ৰমাণ পত্ৰ
अंग वर्ग,উপাদান বৰ্গ
कंक्रीट,কংক্ৰিট
कंकड़ स्तरन,কংক্ৰিচন
समेकित दर या एक समान दर,একত্ৰিত হাৰ/ফ্লেট হাৰ
दूषणकारक,দূষক পদাৰ্থ
खाना रखने स्थान,ৰন্ধা-বঢ়াৰ এলকোভ
मुंडेर/कोपिंग,মোকাবিলা কৰা
टोड़ा,কৰ্বেল
कॉनिस,কৰ্নিচ
युग्मक,কাপলাৰ
द्वि-युग्मक,"কাপলাৰ, ডাবল"
कड़ी युग्मक,"কাপলাৰ, পুটলগ"
भ्रामी युग्मक,"কাপলাৰ, চুইভেল"
रद्दा,ধাৰা
बेतरतीब रद्देदार ढोका चिनाई,কোৰ্চ কৰা ৰেণ্ডম ধ্বংসাৱশেষ শিলৰ কাম
आच्छादित क्षत्र,আবৃত অঞ্চল
विसर्पण,অধম
विसर्पण गुणांक,ক্ৰিপ সহগ
क्रोटोवाइन,ক্ৰ&#39;ট&#39;ভাইন
काक पाद,কাউৰী ভৰি
आचूर्ण संरचना,ক্ৰাম গঠন
कर्ब,প্ৰতিবন্ধক
धारा,সোঁত
वक्र-प्रतिरोध (रेल),বক্ৰ প্ৰতিৰোধ ক্ষমতা
आर्द्रतारोधी स्तर,ডেম্প প্ৰুফ কোৰ্চ
पूर्ण होने की तिथि,সম্পূৰ্ণ হোৱাৰ তাৰিখ
अचल भार,ডেড লোড
धीर जल,মৰা পানী
डेसीबल,ডেচিবেল
अनूर्पान,ডিফ্ল’কুলেচন
वातन कोटि या वायु अवकाश अनुपात,বায়ুমণ্ডলৰ মাত্ৰা বা বায়ু স্থান অনুপাত
समुच्चयन कोटि,একত্ৰীকৰণৰ মাত্ৰা
प्रकीर्णन कोटि,বিক্ষিপ্ততাৰ মাত্ৰা
संतृप्ति कोटि,চেচুৰেচনৰ ডিগ্ৰী
घनता (आवासीय),ঘনত্ব
भरू कुट्टिम,মৰুভূমিৰ ফুটপাথ
मरू मृदा,মৰুভূমিৰ মাটি
विस्तृत विवरण,সবিশেষ
विकास अवधि,উন্নয়নৰ সময়ছোৱা
Dसंस्तर/Dहोराइजन,ডি-দিগন্ত
विकर्ण चाल,তিৰ্যক বন্ধন
आरेख,ডায়াগ্ৰাম
आंगुलिक गोदी,ডিজিটেল ডক
अन्तरात्मक जल दर,ভিন্নতামূলক পানীৰ হাৰ
तनुता संवातन,পাতল কৰা ভেণ্টিলেচন
पूरोढक,ডিলুভিয়াম
भोजन कक्ष,খোৱাঘৰ
दिशा निर्धारक खूँटी,দিশৰ পেগ
प्रकीर्णन,বিক্ষিপ্ততা
डिस्टेम्पर,ডিষ্টেম্পাৰ
गोदी,ডক
1. द्वार 2. कपाट,দুৱাৰ
छत वातायन,ডৰ্মাৰ
छत वातायन पृष्ठ,ডৰ্মাৰ চেক
दोहरी फ्लेमिश चाल,ডাবল ফ্লেমিছ বণ্ড
दोहरी परत,ডাবল লেয়াৰ
गुज्झी,ডৱেল
आरेखन पट्ट/ड्राइंग बोर्ड,অংকন বৰ্ড
बैठक,ড্ৰয়িং ৰুম
1. प्रक्षेप 2. ड्रिफ्ट 3. गुल्ली,ড্ৰিফ্ট
शुष्क बल्ब तापक्रम,শুকান বাল্বৰ উষ্ণতা
शुष्क गोदी,শুকান ডক
शुष्क ढोका चिनाई,শুকান ৰবৰৰ শিলৰ কাম
डच चाल,ডাচ বণ্ড
बौनी दीवार,বামন দেৱাল
आवासीय यूनिट,বাসস্থানৰ ইউনিট
ओलती,ইভ
ओलती नाली,ইভছ নালা
आर्थिक संभाव्यता या आर्थिक औचित्य समर्थन,অৰ্থনৈতিক সম্ভাৱনীয়তা
एक्टोडाइनेमोर्फिक मृदा,বহিঃগতিশীল মাটি
भँवर,এডি
कण का प्रभावी आमाप,ফলপ্ৰসূ আকাৰ
उत्फुल्लन,ফুলৰ ফুলনি
सहायक सरित,এফ্লুৱেণ্ট
उद्विक्षेप,উচ্চতা
अवक्षालन,এলুভিয়েচন
अवक्षाल,এলুভিয়াম
अंतर्गतिज मृदा,এণ্ডোডাইনামৰ্ফিক মাটি
इंजीनियरी संभाव्यता,অভিযান্ত্ৰিক সম্ভাৱনীয়তা
इंग्लिश चाल,ইংৰাজী বণ্ড
इंग्लिश गार्डन वाल चाल,ইংৰাজী বাগিচাৰ দেৱালৰ বণ্ড
ईं.पी.एम. (प्रतिमिलियन तुल्य),"ইপিএম (প্ৰতি মিলিয়নৰ সমতুল্য),&quot;"
समतुल्य भार,সমতুল্য ওজন
अर्ग,Erg
विनिमययोग्य,বিনিময়যোগ্য
विनिमेय अम्लता,বিনিময়যোগ্য এচিডিটি
विनिमेय सोडियम प्रतिशतता,বিনিময়যোগ্য ছডিয়াম শতাংশ (ESP)
धनायन विनिमय क्षमता,ই এছ পি.
विनिमय अम्लता,বিনিময় এচিডিটি
विनिमय सम्मिश्र,এক্সচেঞ্জ কমপ্লেক্স
निर्वात/रेचन,নিষ্কাশন
अनावरित परिष्कृति,উন্মুক্ত ফিনিচিং
गवाक्ष,নয়ন
आई ब्रो,চকুৰ ভ্ৰূ
मोहरा/अग्रभाग,মুখামুখি
पार्श्व चाल,বন্ধনৰ সন্মুখীন হোৱা
सुरक्षा गुणांक,সুৰক্ষাৰ কাৰক
प्रवणता,পৰি যোৱা
मुख पट्टी,ফেচিয়া
मुख पट्टी बोर्ड,ফেচিয়া বৰ্ড
भ्रंश,দোষ
क्षेत्रीय नमी,পথাৰ আৰ্দ্ৰতা
क्षेत्रीय आर्द्रता तुल्यांक,চূড়ান্ত আৰ্দ্ৰতাৰ সমতুল্য
मसाले की चपती/फिलेट,ফিলেট (মৰ্টাৰৰ)
कलश,চূড়ান্ত
अंतिम मापन,চূড়ান্ত জোখ-মাখ
अंतिम भुगतान,চূড়ান্ত পেমেণ্টq
अंतिम पूर्व प्रतिबल,চূড়ান্ত প্ৰি ষ্ট্ৰেছ
अंतिम तनाव,চূড়ান্ত উত্তেজনা
वित्तीय संभाव्यता,আৰ্থিক সম্ভাৱনীয়তা
महीन समुच्चय/बारीक मिलावा,মিহি গোটা পদাৰ্থ
विदीर्ण शैल,ছিন্নভিন্ন শিল
पटिया पत्थर,পতাকা শিল
फ्लेमिश चाल,ফ্লেমিছ বন্ধন
फ्लैशिंग/जल रोधी झिल्ली,ফিচফিচাই থকা
सद्योवेगी सरिता,ঝলমলীয়া ধাৰা
सपाट छत,সমতল চাল
फलीके,ফ্লেচে
फ्लेमिश गार्डन वाल चाल,ফ্লেমিছ বাগিচাৰ দেৱালৰ বন্ধন
चकमक प्रस्तर,ফ্লিন্ট
फ्लिंट दीवार,ফ্লিণ্টৰ দেৱাল
प्लवमान फर्श,ভাসমান মজিয়া
उर्णन,ফ্লকুলেচন
ऊर्णन सीमा,ফ্লকুলেচন সীমা
ऊर्णन अनुपात,ফ্লকুলেচন অনুপাত
ऊर्णिका,ফ্লকুলেছ
फर्श,মজিয়া
फर्शरुद्धक/फर्श सील,মজিয়াৰ ছীল
प्रवाह,বৈ অহা
उच्चावचन,উঠা-নমা
पाद,ফুটিং
नींव,ভেঁটি
मुक्त प्रपात बैरो उद्वर्ती मिश्रक,ফ্ৰী ফ&#39;ল বেৰ&#39; টপিং মিক্সাৰ
मुक्त प्रपात मिश्रक (ढोल के आकार का),ফ্ৰী ফ&#39;ল মিক্সাৰ (ড্ৰাম টাইপ)
मुक्त पत्थर,মুক্ত শিল
नदीपूर,ফ্ৰেছেট
घर्षण पाइल,ঘৰ্ষণৰ স্তূপ
किश्ती/फॉग,ভেকুলী
त्रयंकी,গেবল
लघु त्रयंकी,গেবলেট
गैमबरेल छत,গাম্ব্ৰেলৰ চাল
गेज (रेल पथ),জোখ লোৱা
प्रमापन परिच्छेद,গেজিং অংশ
प्रमापन स्थल,গেজিং ষ্টেচন
सामान्य अवस्थापन अनुविक्षेप,সাধাৰণ স্থান পৰিকল্পনা
सामान्य संवातन,সাধাৰণ বায়ু চলাচল
संस्तर या ग्ले संस्तर,G দিগন্ত বা গ্লে দিগন্ত
हिमगोलाश्म मृत्तिका,হিমবাহৰ টিল
नाइस,গ্নেইছ
माल यार्ड,সামগ্ৰীৰ চোতাল
प्रवणता प्रतिरोध,গ্ৰেডিয়েণ্ট ৰেজিষ্টেন্স
ग्रेनाइट,গ্ৰেনাইট
दानेदार संरचना,দানাদাৰ গঠন
कणनन,গ্ৰেনুলেচন
दाना,গ্ৰেনুল
गृरूत्व जल या मुक्त जल,মহাকৰ্ষণীয় পানীমুক্ত পানী
मार्शलिंग गुरुत्वीय यार्ड,মহাকৰ্ষণীয় চোতাল
बृहत् मृदा समूह,মহান মাটিৰ গোট
झंझरी/ग्रिलेज नींव,গ্ৰীলেজ ফাউণ্ডেচন
भूहस्त पथाई,গ্ৰাউণ্ড হেণ্ড মল্ডিং
समूहित गोदी,গ্ৰুপ কৰা ডক
सामूहिक आवासन,গ্ৰুপ হাউছিং
अतिथि कक्ष,অতিথিশালা
नाली,নালা
नाली धारक,নালা বাহক
नाली रोधक,নালা পৰীক্ষা
हथौड़ा गढ़ाई,হাতুৰীৰে ড্ৰেছিং
पोताश्रय,বন্দৰ
आश्रय देने वाले पोताश्रय,আশ্ৰয়ৰ বন্দৰ
कठोर तल,কঠিন কেৰাহী
तोड़ा/हैडर,হেডাৰ
तोड़ा/हैडर चाल,হেডাৰ বণ্ড
तोड़ा रद्दा,হেডাৰ পাঠ্যক্ৰম
मुख फाटक संरचना,হেড গেটৰ গঠন
नहर का शीर्ष,খালৰ মূৰ
मुख नियंत्रक,হেড ৰেগুলেটৰ
लहरिया चाल,হেৰিং হাড়ৰ বন্ধন
भरत,হৃদয়স্পৰ্শী
सिक्तन उष्मा,তিয়াই থোৱাৰ তাপ
अक्षि-एल्यूमिना सीमेन्ट,উচ্চ এলুমিনা চিমেণ্ট
पुट्ठा,কঁকাল
पुट्ठा मुंडेरी,হিপ কেপিং
कूट सिरा,হিপড এণ্ড
छत्रक,ডকাইত
गढ़ा छत्रक,হুড মল্ডিং
हुक का नियम,হুক’ৰ আইন
पत्ती लोहा,হুপ লোহা
संस्तर/होराइजन,দিগন্ত
आद्रीकरण,আৰ্দ্ৰকৰণ
निरपेक्ष आद्रता,"আৰ্দ্ৰতা, নিৰপেক্ষ"
आपेक्षिक आद्रता,"আৰ্দ্ৰতা, আপেক্ষিক"
हम्प यार्ड,হাম্প চোতাল
द्रवचालित दाब,হাইড্ৰলিক চাপ
जलयोजन,জলসিঞ্চন
जल अपघटन,হাইড্ৰ’লাইছিছ
चल अपघटनी अम्लता,হাইড্ৰ’লাইটিক এচিডিটি
जलकृत मृदा,জলৰূপী মাটি
जलरागी कोलाइड,হাইড্ৰফিলিক কলয়ড
जलविरागी कोलाइड,হাইড্ৰ’ফ’বিক কলয়ড
स्थिरद्रवीय दाब अनुपात,হাইড্ৰ’ষ্টেটিক চাপৰ অনুপাত
आद्रताग्रही गुणांक,হাইগ্ৰ’স্কেপ্টিক সহগ
आद्रताग्राही नमी,হাইগ্ৰস্কোপিক আৰ্দ্ৰতা
आर्द्रताग्राहिता,হাইড্ৰস্কোপিচিটি
आर्द्रताग्राही नमी,হাইগ্ৰস্কোপিক আৰ্দ্ৰতা
हाईपरबैरिक कक्ष,হাইপাৰবেৰিক চেম্বাৰ
अपेक्षाधिक ढाँचा,হাইপাৰষ্টেটিক ফ্ৰেম
जलक्वथनांकमापी,হাইপছ’মিটাৰ
प्रदीप्ति,আলোকসজ্জা
अंतःशोषणी आर्द्रता,ইম্বিবেচন আৰ্দ্ৰতা
अपूर्ण परिणत मृदा,অপৰিপক্ক মাটি
अवरुद्ध गोदी,জব্দ কৰা ডক
भू आय वृद्धि,ভূমিৰ ৰাজহ বৃদ্ধি
स्वतंत्र पाड़,স্বতন্ত্ৰ মৰাপাট
कठोरीकृत,কঠিন
प्रारम्भिक पूर्व प्रतिबल,প্ৰাৰম্ভিক প্ৰিষ্ট্ৰেছ
प्रारम्भिक तनाव,প্ৰাৰম্ভিক উত্তেজনা
अन्तर्देशी जलमार्ग पत्तन,অভ্যন্তৰীণ জলপথ বন্দৰ
विसंवाहन पट्ट,ইনচুলেটিং বৰ্ড
मध्यवर्ती पत्तन,মধ্যৱৰ্তী বন্দৰ
आन्तरिक धर्षण,আভ্যন্তৰীণ ঘৰ্ষণ
अंतः क्षेत्रीय मृदा,ইন্ট্ৰাজ’নেল মাটি
आयन,আয়ন
आयन विनिमय,আয়ন বিনিময়
लोह स्तर,লোহাৰ কেৰাহী
सिंचित भूमि,জলসিঞ্চিত মাটি
सिंचाई,জলসিঞ্চন
सिंचाई उपकर,জলসিঞ্চনৰ চেছ
पाखा,জাম্ব
गुज्झी,জগল কৰক
संधि पिन,জগল পিন
जूल,জৌলে
जम्पर,জাম্পাৰ
किलोग्राम,কিলোগ্ৰাম
किलोग्राम बल,কিলোগ্ৰাম বল
किलोग्राम बल मीटर,কিলোগ্ৰাম বল মিটাৰ
किलोवाट घण्टा,কিলোৱাট ঘন্টা
नर डेली/किंग क्लोजर,ৰজা বন্ধ
रसोई,পাকঘৰ
लेसित स्तम्भ,লেচযুক্ত স্তম্ভ
वेष्ठन,পিছ পৰি থকা
लमेला छत,লেমেলা শিপা
स्तरीय प्रवाह,লেমিনাৰ প্ৰবাহ
दीपछिद्र,লেম্পৰ ফুটা
भूमि अभिवृद्धि,ভূমি বৃদ্ধি
भूस्खलन,ভূমি পিছলি যোৱা
लैटेराइट,লেটাৰাইট
लैटेराइट मृदा या लैटोसॉल,লেটাৰাইট মাটি
बृहत संख्या सिद्धांत,বৃহৎ সংখ্যকৰ নিয়ম
अभिन्यास अनुविक्षप,বিন্যাস পৰিকল্পনা
पाड़-बेड़ा,লেজাৰ
चूना तल,চূণৰ কেৰাহী
लिंटल,লিণ্টেল
द्रव सीमा,তৰল সীমা
चल भार,লাইভ লোড
टुमट,লোম
स्थानीय निर्वात संवातन,স্থানীয় এক্সজেষ্ট ভেণ্টিলেচন
लोको यार्ड,লোকো চোতাল
लोएस,ল&#39;ছ
