Odiya,Marathi
ବର୍ଣ୍ଣାନୁକ୍ରମିକ,वर्णमाला
ବର୍ଣ୍ଣମାଳା,अल्फान्यूमेरिक
ବର୍ଣ୍ଣମାଳା ଚରିତ୍ର |,अल्फान्यूमेरिक वर्ण
ବର୍ଣ୍ଣମାଳା ସୂଚନା,अल्फान्यूमेरिक माहिती
ବିକଳ୍ପ ସାମ୍ପ୍ରତିକ (AC.),वैकल्पिक चालू (ए.सी.)
ବିକଳ୍ପ,वैकल्पिक
Atternator,अल्टरनेटर
ଉଚ୍ଚତା,समुद्रसपाटीपासूनची उंची
ଆପୋଜି ର ଉଚ୍ଚତା |,अपोजीची उंची
PERIGEE ର ଉଚ୍ଚତା |,पेरिगीची उंची
ଆମୋଦିତ ରେଡିଓ ଯୋଗାଯୋଗ |,हौशी रेडिओ संप्रेषण
ଅଭିଳାଷୀ |,वातावरण
ଆମ୍ବିଏନ୍ସ ମାଇକ୍ରୋଫୋନ୍ |,वातावरण मायक्रोफोन
ପରିବେଶ ସର୍ତ୍ତ,वातावरणीय स्थिती
ପରିବେଶ ଆଲୋକ |,वातावरणीय प्रकाश
ଆମ୍ବିକ୍ ଶବ୍ଦ,सभोवतालचा आवाज
ପରିବେଶ ତାପମାତ୍ରା |,वातावरणीय तापमान
ଆମେରିକୀୟ ମାନକ କୋଡ୍ |,अमेरिकन मानक कोड
ଆମ୍ପେର୍,अँपियर
ଆମ୍ପେର୍ ମିଟର |,अ‍ॅम्पेअर मीटर
ବୃଦ୍ଧି,प्रवर्धन
Amplfication ଫ୍ୟାକ୍ଟର୍ |,प्रवर्धन घटक
ଏମ୍ପ୍ଲିଫାୟର୍,एम्पलीफायर
ଏମ୍ପ୍ଲିଫାୟର୍ ଲାଭ |,एम्पलीफायर गेन
ଏମ୍ପ୍ଲିଫାୟର୍ ଶବ୍ଦ |,एम्पलीफायर आवाज
ଯନ୍ତ୍ରପାତି ଯନ୍ତ୍ରପାତି |,एम्प्लिफाइंग उपकरणे
କାଲିଷ୍ଟ୍ରନ୍,क्लीस्ट्रॉनचे विस्तार
Amplifying ୟୁନିଟ୍ |,एम्प्लिफाइंग युनिट
ପ୍ରଶସ୍ତତା,मोठेपणा
ପ୍ରସଙ୍ଗଯୁକ୍ତ ବିକୃତି |,मोठेपणा विकृती
ପ୍ରୟୋଗ ହୋଇଥିବା ଭ୍ରମଣ |,मोठेपणा सहन
ପ୍ରଶସ୍ତତା ଫ୍ୟାକ୍ଟର୍ |,मोठेपणा घटक
ପ୍ରଶସ୍ତତା ସୀମା,मोठेपणा मर्यादा
ପ୍ରୟୋଗ ମୋଡ୍ୟୁଲେଟ୍ |,मोठेपणा मॉड्यूलेटेड
ପ୍ରଶସ୍ତତା ମୋଡ୍ୟୁଲେସନ୍ |,मोठेपणा मॉड्यूलेशन
ଆନାଗଲ୍ (ଆନାଗଲ୍),एनालॉग (अ‍ॅनालॉग)
ଆନାଗଲ୍ ସର୍କିଟ୍ |,एनालॉग सर्किट
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,एनालॉग संगणक
ଆନାଗଲ୍ ରେଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |,एनालॉग रेडिओ फ्रिक्वेन्सी चॅनेल
ଆନାଗଲ୍ ଉପସ୍ଥାପନା |,एनालॉग प्रतिनिधित्व
ଆନାଗଲ୍ ସିଗନାଲ୍ |,एनालॉग सिग्नल
ଅନୁରୂପ କରିବାକୁ ଅନୁରୂପ |,डिजिटल टू डिजिटल
ଡିଜିଟାଲ୍ କନଭର୍ଟର ପାଇଁ ଆନାଗଲ୍ |,डिजिटल कन्व्हर्टर टू एनालॉग
ଆନାଗଲ୍ ଭିଡିଓ |,एनालॉग व्हिडिओ
ଅନୁରୂପ,समान
ଆନାଲୋଜି,समानता
ବିଶ୍ଳେଷଣ |,विश्लेषण
ତଥ୍ୟର ବିଶ୍ଳେଷଣ |,डेटाचे विश्लेषण
ଆନାଲିଟିକାଲ୍ ଘନତା |,विश्लेषणात्मक घनता
ବିଶ୍ଳେଷଣ କର |,विश्लेषण
ଆନିପ୍ରିଣ୍ଟେଜର |,विश्लेषक
ଅର୍କିଲିଡିଆ ଉପକରଣ |,उपकरणे
ଏବଂ ଫାଟକ,आणि गेट
କଲିମିର କୋଣ |,कोलिमेशनचा कोन
ପୋଲାରାଇଜେସନ୍ କୋଣ |,ध्रुवीकरणाचा कोन
ଘୂର୍ଣ୍ଣନର କୋଣ |,रोटेशनचा कोन
Agtstom (å),अँगस्ट्रॉम (Å)
କୋଣାର୍କ,कोनीय
କୋଣାର୍କ ତ୍ୱରାନ୍ୱିତ |,कोनीय प्रवेग
କୋଣାର୍କ ସମବେଦନା |,कोनीय समन्वय
କୋଣାର୍କ ବିବେକ |,कोनीय विक्षेपण
କୋଣାର୍କ ବିପରୀତ |,कोनीय फैलाव
କୋଣାର୍କ ବିସ୍ଥାପନ |,कोनीय विस्थापन
କୋଣାର୍କ ତ୍ରୁଟି |,कोनीय त्रुटी
କୋଣାର୍କ ଫ୍ରିକ୍ୱେନ୍ସି |,कोनीय वारंवारता
କୋଣାର୍କ ଗତି |,कोनीय गती
କୋଣାର୍କ ଗତି,कोनीय गती
କୋଣାର୍କ ବେଗ |,कोनीय गती
ଆନିମେସନ୍,अ‍ॅनिमेशन
Anode,एनोड
Anodod ବ୍ୟାଟେରୀ |,एनोड बॅटरी
Andod ବ istic ଶିଷ୍ଟ୍ୟ |,एनोड वैशिष्ट्य
ଆନୋଡ ସର୍କିଟ୍ |,एनोड सर्किट
ଆନୁଷ୍ଠାନିକ ଡିସପିଏସନ,एनोड अपव्यय
ଆନୁଷ୍ଠାନିକ ଦକ୍ଷତା |,एनोड कार्यक्षमता
ଆନୁଷ୍ଠାନିକ ଇନପୁଟ୍ ଶକ୍ତି |,एनोड इनपुट पॉवर
ଆନୁଷ୍ଠାନିକ ମୋଡୁଲେସନ୍ |,एनोड मॉड्यूलेशन
ଆଣ୍ଟେନା |,अँटेना
ଆଣ୍ଟେନା ବିମ୍ୱିଡଥ୍ |,अँटेना बीमविड्थ
ଆଣ୍ଟେନା ବୁଷ୍ଟର୍ |,अँटेना बूस्टर
ଆଣ୍ଟେନା ପରିବର୍ତ୍ତନକାରୀ ସୁଇଚ୍ |,अँटेना चेंजओव्हर स्विच
ଆଣ୍ଟେନା କୋଇଲ୍ |,अँटेना कॉइल
ଆଣ୍ଟେନା ବିନ୍ୟାସ,अँटेना कॉन्फिगरेशन
ଆଣ୍ଟେନା କପଟର୍ |,अँटेना कपलर
ଆଣ୍ଟେନା କ୍ରସ୍ ପୋଲାର୍ ପ୍ୟାଟର୍ |,अँटेना क्रॉस ध्रुवीय नमुना
ଆଣ୍ଟେନା କରେଣ୍ଟ୍ |,अँटेना करंट
ଆଣ୍ଟେନା ପ୍ରତ୍ୟକ୍ଷ ପ୍ରତ୍ୟକ୍ଷ ଲାଭ |,अँटेना डायरेक्टिव्हिटी गेन
ଆଣ୍ଟେନା ଡୁପ୍ଲେକ୍ସର |,अँटेना डुप्लेक्सर
ଆଣ୍ଟେନା ପ୍ରଭାବଶାଳୀ କ୍ଷେତ୍ର |,अँटेना प्रभावी क्षेत्र
ଆଣ୍ଟେନା ଦକ୍ଷତା |,अँटेना कार्यक्षमता
ଆଣ୍ଟେନା ଫିଡ୍ |,अँटेना फीड
ଆଣ୍ଟେନା ପାଦ ପ୍ରିଣ୍ଟ୍ |,अँटेना फूट प्रिंट
ଆଣ୍ଟେନା ଲାଭ,अँटेना गेन
ଆଣ୍ଟେନା ଉଚ୍ଚତା |,अँटेना उंची
ଆଣ୍ଟେନା ପ୍ରତିରକ୍ଷା |,अँटेना प्रतिबाधा
ଆଣ୍ଟେନା ଇଣ୍ଡିକାନ୍ସ |,अँटेना इंडक्टन्स
ଆଣ୍ଟେନା ପାଟର୍ନ |,अँटेना पॅटर्न
ଆଣ୍ଟେନା ପ୍ଲେକ୍ସର୍ |,अँटेना प्लेक्सर
ଆଣ୍ଟେନା ପୋଲାରାଇଜେସନ୍ |,अँटेना ध्रुवीकरण
ଆଣ୍ଟେନା ଶକ୍ତି |,अँटेना पॉवर
ଆଣ୍ଟେନା ପାୱାର ଲାଭ |,अँटेना पॉवर गेन
ଆଣ୍ଟିନା ବିକିରଣ ପ୍ରତିରୋଧ |,अँटेना रेडिएशन प्रतिरोध
ଆଣ୍ଟେନା ପ୍ରତିକ୍ରିୟା |,अँटेना रिएक्टन्स
ଆଣ୍ଟେନା ରିଫଲେକ୍ଟର |,अँटेना परावर्तक
ଆଣ୍ଟେନା ପ୍ରତିରୋଧ,अँटेना प्रतिकार
ଆଣ୍ଟେନା ପର୍ଯ୍ୟଟକଗଣ ବିସ୍ତାରିତ ଫ୍ରିକ୍ୱେନ୍ସି |,अँटेना रेझोनंट वारंवारता
ଆଣ୍ଟେନା ବ୍ୟବଧାନ |,अँटेना स्पेसिंग
ଆଣ୍ଟେନା ସୁଇଚ୍ ରୁମ୍ |,अँटेना स्विचिंग रूम
ଆଣ୍ଟେନା ଟ୍ୟୁନିଂ କୋଇଲ୍ |,अँटेना ट्यूनिंग कॉइल
ଆଣ୍ଟେନା ଟ୍ୟୁନିଂ ହାଟ |,अँटेना ट्यूनिंग झोपडी
ଆପେଚର,छिद्र
ଆପୋଲେଜ୍,अपोजी
ଆପୋଲେ ରକେଟ୍ |,अपोजी रॉकेट
ଉପକରଣ,उपकरणे
ସ୍ପଷ୍ଟ,उघड
ଆପଲେଟ୍,Let पलेट
ପ୍ରୟୋଗ,अर्ज
ଆନୁମାନିକ,अंदाजे
ଜଳପ୍ରବାହକାରୀ ସମାଧାନ |,जलीय द्रावण
ଆର୍କ,कंस
ସ୍ଥାପତ୍ୟ,आर्किटेक्चर
ଶବ୍ଦ ରେକର୍ଡିଂର ଅଭିଲେଖାଗାର ସ୍ଥାନାନ୍ତର |,ध्वनी रेकॉर्डिंगचे संग्रहण हस्तांतरण
ଅଭିଲେଖାଗାର,संग्रहण
ଗାଣିତିକ କୋଡିଂ |,अंकगणित कोडिंग
ଅର୍ଗର,आर्मेचर
ଅରତା ପବନ,आर्मेचर विंडिंग
ଆରେ,रचना
ଆରେଷ୍ଟ୍ରର୍,अरेस्टर
ଆର୍ଟଲେସନ୍,बोलता
କଳାକୃତି (= କଳାକୃତି),कलाकृती (= कलाकृती)
ଆରୋହଣ,चढत्या
ଆନୁମାନିକ ଅନୁପାତ,प्रसर गुणोत्तर
ଏକତ୍ରିତ |,असेंबलर
ଧାରଣା,प्रतिपादन
ଆସାଇନମେଣ୍ଟ,असाइनमेंट
ଆସାଇନମେଣ୍ଟ ଚ୍ୟାନେଲ୍ |,असाइनमेंट चॅनेल
ଅସମାନଗତ,असममित
ଅସନ୍ତୁଳିତ,एसिन्क्रोनस
ବାୟୁମଣ୍ଡଳ,वातावरण
ବାୟୁମଣ୍ଡଳୀୟ କ୍ଷତି |,वातावरणीय नुकसान
ବାୟୁମଣ୍ଡଳୀୟ ଶବ୍ଦ |,वातावरणीय आवाज
ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |,वातावरणीय दबाव
ବାୟୁମଣ୍ଡଳୀୟ ପ୍ରସାର |,वातावरणीय प्रसार
ବାୟୁମଣ୍ଡଳୀୟ ରେଡିଓ-ତରଙ୍ଗ |,वातावरणीय रेडिओ-वेव्ह
ବାୟୁମଣ୍ଡଳ,वातावरण
ପରମାଣୁ,अणू
ପରମାଣୁ ଗଠନ,अणु रचना
ସଂଲଗ୍ନ,संलग्नक
ସାଧନ,क्षीणन
ଆଟେନେସନ୍ କ୍ଷତି |,क्षमतेचे नुकसान
ଶବ୍ଦ ତରଙ୍ଗର ଆଭିମୁଖ୍ୟ |,ध्वनी लहरींचे लक्ष वेधणे
ଆଟେଟୋଲେଟର୍ |,अ‍ॅटेन्युएटर
ଆଟେନୁଏଟର୍-ପ୍ୟାଡ୍ |,अ‍ॅटेन्युएटर-पॅड
ପରିମାପ ସୀମା,ऑडिबिलिटी थ्रेशोल्ड
ମୂଳଦୁଆ,ऐकण्यायोग्य
ଶରଣଯୋଗର ଫ୍ରିକ୍ୱେନ୍ସି |,ऐकण्यायोग्य वारंवारता
ଶ୍ରବଣୀୟ ସ୍ୱର,ऐकण्यायोग्य टोन
ଶ୍ରୋଚନା-ସ୍ପେକ୍ଟ୍ରମ୍ |,ऐकण्यायोग्य-स्पेक्ट्रम
ଦର୍ଶକ |,प्रेक्षक
ଅଡିଓ,ऑडिओ
ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |,ऑडिओ एम्पलीफायर
ଅଡିଓ ଆନାଲିଜର |,ऑडिओ विश्लेषक
ଅଡିଓ ପ୍ରସାରଣକାରୀ |,ऑडिओ प्रसारण
ଅଡିଓ କେବୁଲ୍ |,ऑडिओ केबल
ଅଡିଓ ଶୃଙ୍ଖଳା,ऑडिओ साखळी
ଅଡିଓ କୋଡେକ,ऑडिओ कोडेक
ଅଡିଓ ସଙ୍କୋଚନ |,ऑडिओ कॉम्प्रेशन
ଅଡିଓ ସଙ୍କୋଚନ |,ऑडिओ कॉम्प्रेसर
ଅଡିଓ କୋନସୋଲ |,ऑडिओ कन्सोल
ଅଡିଓ ବିକୃତ |,ऑडिओ विकृती
ଅଡିଓ ଗତିଶୀଳ ପରିସର |,ऑडिओ डायनॅमिक श्रेणी
ଅଡିଓ ଫାଇଲ୍ ଫର୍ମାଟ୍ |,ऑडिओ फाइल स्वरूप
ଅଡିଓ ଫ୍ରେମ୍ ଫର୍ମାଟ୍ |,ऑडिओ फ्रेम स्वरूप
ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ଏମ୍ପ୍ଲିଫାୟର୍ |,ऑडिओ फ्रिक्वेन्सी एम्पलीफायर
ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ଜେନେରେଟର |,ऑडिओ फ्रिक्वेन्सी जनरेटर
ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ରେଞ୍ଜ |,ऑडिओ वारंवारता श्रेणी
ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ପ୍ରତିକ୍ରିୟା |,ऑडिओ वारंवारता प्रतिसाद
ଅଡିଓ ସୀମା,ऑडिओ लिमिटर
ଅଡିଓ ରେଖା |,ऑडिओ लाइन
ଅଡିଓ ମିକ୍ସର୍ |,ऑडिओ मिक्सर
ଅଡିଓ ମୋଣ୍ଟୁଲେସନ୍ |,ऑडिओ मॉड्यूलेशन
ଅଡିଓ ଓସକ୍ଲଟର |,ऑडिओ ऑसीलेटर
ଅଡିଓ ଆଉଟପୁଟ୍,ऑडिओ आउटपुट
ଅଡିଓ ଶକ୍ତି |,ऑडिओ पॉवर
ଅଡିଓ ଗୁଣ,ऑडिओ गुणवत्ता
ଅଡିଓ ସଙ୍କେତ,ऑडिओ सिग्नल
ଅଡିଓ ସଙ୍କେତ ପ୍ରକ୍ରିୟାକରଣ |,ऑडिओ सिग्नल प्रक्रिया
ଅଡିଓ ସ୍ପେକ୍ଟ୍ରମ୍,ऑडिओ स्पेक्ट्रम
ଅଡିଓ ଷ୍ଟୋରେଜ୍ |,ऑडिओ स्टोरेज
ଅଡିଓ ସବ୍-କ୍ୟାରିଅର୍ |,ऑडिओ सब-कॅरियर
ଅଡିଓ ଟ୍ରାନ୍ସଫର୍ମର |,ऑडिओ ट्रान्सफॉर्मर
ଅଡିଓ ଟ୍ରାନ୍ସମିଟର |,ऑडिओ ट्रान्समीटर
ଅଡିଓ / ଭିଡିଓ ସଙ୍କୋଚନ |,ऑडिओ/व्हिडिओ कॉम्प्रेशन
ଅଡିଓ-ଫ୍ରିକ୍ୱେନ୍ସି ଓସକ୍ଲୁଟର |,ऑडिओ-फ्रिक्वेन्सी ऑसीलेटर
ଅଡିଓ-ଫ୍ରିକ୍ୱେନ୍ସି ସିଗ୍ନାଲ୍ |,ऑडिओ-फ्रिक्वेन्सी सिग्नल
ଅଡିଓମେଟ୍ରି |,ऑडिओमेट्री
ଅଡିଓ-ଭିଜୁଆଲ୍ ସାହାଯ୍ୟ |,ऑडिओ-व्हिज्युअल मदत
ଅଡିଟୋରୀ ଧାରଣା |,श्रवणविषयक समज
ପ୍ରାମାଣିକିକରଣ,प्रमाणीकरण
ପ୍ରାଧିକୃତ ବାହକ ଫ୍ରିକ୍ୱେନ୍ସି |,अधिकृत वाहक वारंवारता
ଅଟୋ କ୍ୟାଡ୍,ऑटो कॅड
ଅଟୋ ଡାଇଗ୍ନୋଷ୍ଟିକ୍ |,ऑटो डायग्नोस्टिक्स
ସ୍ୱୟଂଚାଳିତ |,स्वयंचलित
ସ୍ୱୟଂଚାଳିତ ନିୟନ୍ତ୍ରଣ |,स्वयंचलित नियंत्रण
ସ୍ୱୟଂଚାଳିତ ଚିହ୍ନଟ |,स्वयंचलित शोध
ସ୍ୱୟଂଚାଳିତ ଯନ୍ତ୍ରପାତି |,स्वयंचलित उपकरणे
ସ୍ୱୟଂଚାଳିତ ଫ୍ରିକ୍ୱେନ୍ସି କଣ୍ଟ୍ରୋଲ୍ |,स्वयंचलित वारंवारता नियंत्रण
ସ୍ୱୟଂଚାଳିତ ସୀମା |,स्वयंचलित मर्यादा
ସ୍ୱୟଂଚାଳିତ ଯନ୍ତ୍ର,स्वयंचलित मशीन
ସ୍ୱୟଂଚାଳିତ ଫାସା ନିୟନ୍ତ୍ରଣ |,स्वयंचलित Phasae नियंत्रण
ସ୍ୱୟଂଚାଳିତ ଚିତ୍ର ଟ୍ରାନ୍ସମିସନ୍ |,स्वयंचलित चित्र संप्रेषण
ସ୍ୱୟଂଚାଳିତ ପ୍ଲେକ୍ |,स्वयंचलित प्लेबॅक
ସ୍ୱୟଂଚାଳିତ ଶକ୍ତି ନିୟନ୍ତ୍ରଣ |,स्वयंचलित उर्जा नियंत्रण
ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ |,स्वयंचलित प्रोग्रामिंग
ସ୍ୱୟଂଚାଳିତ ରେକର୍ଡିଂ |,स्वयंचलित रेकॉर्डिंग
ସ୍ୱୟଂଚାଳିତ ପୁନ et ସେଟ୍ |,स्वयंचलित रीसेट
ସ୍ୱୟଂଚାଳିତ ସଟକଟର୍ ​​|,स्वयंचलित शटर
ସ୍ୱୟଂଚାଳିତ ସିଷ୍ଟମ୍ |,स्वयंचलित प्रणाली
ସ୍ୱୟଂଚାଳିତ ଟେଲିଫୋନ୍ |,स्वयंचलित टेलिफोन
ସ୍ୱୟଂଚାଳିତ ତାପମାତ୍ରା ନିୟନ୍ତ୍ରଣ |,स्वयंचलित तापमान नियंत्रण
ସ୍ୱୟଂଚାଳିତ ଭୋଲଟେଜ୍ ନିୟାମକ |,स्वयंचलित व्होल्टेज नियामक
ସ୍ୱୟଂଚାଳିତ ଭଲ୍ୟୁମ୍ ସଙ୍କେତ ଅନୁବାଦକ |,स्वयंचलित व्हॉल्यूम कॉम्प्रेसर
ସ୍ୱୟଂଚାଳିତ ଭଲ୍ୟୁମ୍ କଣ୍ଟ୍ରୋଲ୍ |,स्वयंचलित व्हॉल्यूम नियंत्रण
