Assamese,Malayalam
বাৰ্টলেট উইণ্ড&#39;,ബാർട്ട്ലെറ്റ് വിൻഡോ
"ভিত্তি, ভিত্তি","അടിസ്ഥാനം, അടിസ്ഥാനം"
বেচ বেণ্ড,അടിസ്ഥാന ബാൻഡ്
বেচ বেণ্ড ট্ৰেন্সমিছন,അടിസ്ഥാന ബാൻഡ് ട്രാൻസ്മിഷൻ
ভিত্তি চাৰ্জ,അടിസ്ഥാന ചാർജ്
বেচ কাৰেণ্ট,അടിസ്ഥാന കറന്റ്
ভিত্তি বিদ্যুৎ প্ৰবাহৰ উৎস,അടിസ്ഥാന നിലവിലെ ഉറവിടം
বেচ শ্বিয়াৰিং,അടിസ്ഥാന കത്രിക
আধাৰ মদন,ആധാർ മദൻ
বেচ এমিটাৰ ফিড,അടിസ്ഥാന എമിറ്റർ ഫീഡ്
বেচ এমিটাৰ জংচন,അടിസ്ഥാന എമിറ്റർ ജംഗ്ഷൻ
বেচ ইনজেকচন,അടിസ്ഥാന കുത്തിവയ്പ്പ്
গ্ৰাউণ্ড লাইন,ഗ്രൗണ്ട് ലൈൻ
ভিত্তি ৰেজিষ্টেন্স,അടിസ്ഥാന പ്രതിരോധം
ভিত্তি উৎস,അടിസ്ഥാന ഉറവിടം
ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা,അടിസ്ഥാന വിപുലീകരണ പ്രതിരോധം
ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা,അടിസ്ഥാന വിപുലീകരണ പ്രതിരോധം
ভিত্তিৰ বেধ,അടിസ്ഥാന കനം
ভিত্তি অভিগম,അടിസ്ഥാന പ്രവേശനം
"ভিত্তি প্ৰস্থ মডুলেচন, ভিত্তি সম্প্ৰসাৰণ মডুলেচন","ബേസ് വിഡ്ത്ത് മോഡുലേഷൻ, ബേസ് എക്സ്പാൻഷൻ മോഡുലേഷൻ"
ভিত্তি সংগ্ৰাহক চুক্তি,അടിസ്ഥാന കളക്ടർ ഉടമ്പടി
গোন্ধ,മണം
বেছ ফ্ৰিকুৱেন্সি,ബാസ് ആവൃത്തി
বেটাৰি,ബാറ്ററി
baud,ബൗഡ്
বড হাৰ,ബാഡ് നിരക്ക്
বড হাৰ জেনেৰেটৰ,ബോഡ് റേറ്റ് ജനറേറ്റർ
বডো ক&#39;ড,ബോഡോ കോഡ്
"সংকেত, বিকন","സിഗ്നൽ, ബീക്കൺ"
"মণিকা, বিড","മാണിക, ബീഡ്"
মেনিক কেপাচিটৰ,മാനിക് കപ്പാസിറ്റർ
মণিকাৰতাপি ৰেজিষ্টৰ,മണികർത്താപി റെസിസ്റ്ററുകൾ
"ৰশ্মি এন্টেনা, ৰশ্মি এন্টেনা","ബീം ആന്റിന, ബീം ആന്റിന"
ৰশ্মি ডিটেক্টৰ,ബീം ഡിറ്റക്ടർ
ৰশ্মি শক্তিৰ নলী,ബീം പവർ ഹോസ്
ৰশ্মি চুইচিং নজেল,ബീം സ്വിച്ചിംഗ് നോസിലുകൾ
ৰশ্মি প্ৰসাৰণ,ബീം വികാസം
বিট ফ্ৰিকুৱেন্সি,അടി ആവൃത്തി
বিট-ফ্ৰিকুৱেন্সি অচিলেটৰ,ബീറ്റ്-ഫ്രീക്വൻസി ഓസിലേറ്റർ
পালছ দোলক,പൾസ് ഓസിലേറ്റർ
বেল,മണി
বেণ্ডিং লছ,വളയുന്ന നഷ്ടം
বেচেল ফিল্টাৰ,ബെസൽ ഫിൽട്ടർ
বিটা,ബീറ്റ
খ-হ বক্ৰ,b-h വക്രം
"bias, পক্ষপাতিত্ব","പക്ഷപാതം, പക്ഷപാതം"
বায়াছ কাৰেণ্ট,ബയസ് കറന്റ്
বায়াছ ৰেজিষ্টেন্স,പക്ഷപാത പ്രതിരോധം
ডাবল এন্টেনা,ഇരട്ട ആന്റിന
দ্বিমুখী লোড কাৰেণ্ট,ദ്വിദിശ ലോഡ് കറന്റ്
দ্বিমুখী এন্টেনা,ദ്വിദിശ ആന്റിന
দ্বিমুখী পোহৰ নিৰ্গত কৰা ডাইঅ&#39;ড,ദ്വിദിശ പ്രകാശം പുറപ്പെടുവിക്കുന്ന ഡയോഡ്
দ্বিমুখী থাইৰিষ্টৰ,ദ്വിദിശയിലുള്ള തൈറിസ്റ്റർ
bi FET প্ৰযুক্তি,bi FET സാങ്കേതികവിദ്യ
বাই পইণ্ট ট্ৰেন্সফৰ্মাৰ,ബൈ പോയിന്റ് ട്രാൻസ്ഫോർമർ
ডাবল ফিউজন,ഇരട്ട സംയോജനം
দ্বিপাক্ষিক বৰ্তনী,ഉഭയകക്ഷി സർക്യൂട്ട്
বাইনাৰী,ബൈനറി
বাইনাৰী যোগফল,ബൈനറി തുക
বাইনাৰী বৰ্তনী,ബൈനറി സർക്യൂട്ട്
বাইনাৰী ক&#39;ড কৰা দশমিক,ബൈനറി കോഡ് ചെയ്ത ദശാംശം
বাইনাৰী ক&#39;ড কৰা দশমিক ব্যৱস্থা,ബൈനറി കോഡഡ് ഡെസിമൽ സിസ്റ്റം
বাইনাৰী ডাইপোল কেপাচিটৰ,ബൈനറി ദ്വിധ്രുവ കപ്പാസിറ്റർ
বাইনাৰী কেলকুলেটৰ,ബൈനറി കാൽക്കുലേറ്റർ
বাইনাৰী কেলকুলেটৰ,ബൈനറി കാൽക്കുലേറ്റർ
বাইনাৰী ডিকোডাৰ,ബൈനറി ഡീകോഡർ
বাইনাৰী জখলা,ബൈനറി ഗോവണി
বাইনাৰী পেথ&#39;মিটাৰ,ബൈനറി പാത്തോമീറ്റർ
বাইনাৰী অৱস্থা,ബൈനറി അവസ്ഥ
বাইনাৰী-দশমিক ডিকোডাৰ,ബൈനറി-ഡെസിമൽ ഡീകോഡർ
বাইনাৰী লোড,ബൈനറി ലോഡ്
বাইনাৰী শব্দ,ബൈനറി വാക്കുകൾ
বাইপোলাৰ,ബൈപോളാർ
বাইপোলাৰ কেপাচিটৰ,ബൈപോളാർ കപ്പാസിറ്റർ
বাইপোলাৰ ডিভাইচ,ബൈപോളാർ ഉപകരണം
বাইপোলাৰ উৎস,ബൈപോളാർ ഉറവിടം
বাইপোলাৰ ট্ৰেঞ্জিষ্টৰ,ബൈപോളാർ ട്രാൻസിസ്റ്റർ
বাইপোলাৰ জংচন ট্ৰেঞ্জিষ্টৰ,ബൈപോളാർ ജംഗ്ഷൻ ട്രാൻസിസ്റ്റർ
দ্বিঘাত ফিল্টাৰ,ക്വാഡ്രാറ്റിക് ഫിൽട്ടർ
ডাবল পজিচন,ഇരട്ട സ്ഥാനം
দুটা পৰ্যায়ৰ মাল্টিভাইব্ৰেটৰ,രണ്ട്-ഘട്ട മൾട്ടിവൈബ്രേറ്റർ
দ্বিমুখী ৰিলে,ദ്വിദിശ റിലേ
দুটা পৰ্যায়ৰ অৱস্থা,രണ്ട്-ഘട്ട സംസ്ഥാനം
দুটা অৱস্থানৰ ট্ৰিগাৰ,രണ്ട്-സ്ഥാന ട്രിഗർ
বিট ভুল,ബിറ്റ് പിശക്
বিট ভুলৰ হাৰ,ബിറ്റ് പിശക് നിരക്ക്
বিট ভুল,ബിറ്റ് പിശക്
bitkal ত্ৰুটি,ബിറ്റ്കാൽ പിശക്
অন্ধ বাকচ,അന്ധമായ പെട്ടി
ঘনীভূত স্পন্দন,ഘനീഭവിച്ച പൾസ്
নিঃসৰণকাৰী,സ്രഷ്ടാവ്
নিঃসৰণ প্ৰতিৰোধক,സ്രവിക്കുന്ന ഇൻഹിബിറ്റർ
অন্ধতা,അന്ധത
ছেগমেণ্ট ডায়াগ্ৰাম,സെഗ്മെന്റ് ഡയഗ്രം
ব্লক কৰা ইম্পিডেন্স,തടസ്സം തടയൽ
ফ্ৰেগমেণ্ট ট্ৰেন্সফাৰ,ശകലം കൈമാറ്റം
ইন্টাৰচেপ্ট,തടസ്സപ്പെടുത്തുക
ৰেজিষ্টৰ কেপাচিটৰ,തടയൽ കപ്പാസിറ്റർ
ৰেজিষ্টৰ কেপাচিটৰ,റെസിസ്റ്റർ കപ്പാസിറ്റർ
ব্লক কৰা দোলক,തടയുന്ന ഓസിലേറ്റർ
ৰেজিষ্টৰ দোলক,തടയുന്ന ഓസിലേറ്റർ
ৰেজিষ্টৰ ভল্টেজ,റെസിസ്റ്റർ വോൾട്ടേജ്
ব্ল&#39;ৱাৰ,ഊതുന്നയാൾ
বোড ডায়াগ্ৰাম,ബോഡ് ഡയഗ്രം
voltzmann সম্পৰ্ক,വോൾട്ട്സ്മാൻ ബന്ധം
voltzmann ধ্ৰুৱক,വോൾട്ട്സ്മാൻ സ്ഥിരാങ്കം
বান্ধোন,ബോണ്ട്
বান্ধি ৰখা ষ্ট্ৰেইন গেজ,ബന്ധിത സ്ട്രെയിൻ ഗേജ്
স্ব-সহায়ক এম্প্লিফায়াৰ,സ്വയം പിന്തുണയ്ക്കുന്ന ആംപ്ലിഫയർ
বুলিয়ান বীজগণিত,ബൂളിയൻ ബീജഗണിതം
বুলিয়ান সমীকৰণ,ബൂളിയൻ സമവാക്യം
বুট ষ্ট্ৰেপন,ബൂട്ട് സ്ട്രാപ്പൺ
বুথৰ এলগৰিদম,ബൂത്തിന്റെ അൽഗോരിതം
বুটষ্ট্ৰেপ প্ৰিজম বৰ্তনী,ബൂട്ട്സ്ട്രാപ്പ് പ്രിസം സർക്യൂട്ട്
bosscutts শাসন কৰে,bosscutts ഭരണം
বসু-চৌধাৰী হকেনহাম (BCH) কোড,ബോസ്-ചൗധരി ഹോക്കൻഹാം (BCH) കോഡ്
"জপিয়াই, জপিয়াই","ചാടുക, ചാടുക"
বান্ধ খাই থকা ইলেক্ট্ৰন,ബന്ധിത ഇലക്ട്രോൺ
bragg প্ৰতিফলক,ബ്രാഗ് റിഫ്ലക്ടർ
আন্তঃসংলগ্ন তাঁৰ,ഇഴചേർന്ന വയർ
শাখা,ശാഖ
শাখা-প্ৰশাখা,ശാഖകൾ
পৰীক্ষা বৰ্ড,പരീക്ഷണ ബോർഡ്
ব্ৰেক জ&#39;ন,ബ്രേക്ക് സോൺ
ভল্টেজ ভাঙি যোৱা,ബ്രേക്കിംഗ് വോൾട്ടേജ്
ব্ৰেকডাউন ডাইঅ&#39;ড,ബ്രേക്ക്ഡൗൺ ഡയോഡ്
ভাঙন স্থিৰকৰণ,ഒടിവ് പരിഹരിക്കൽ
ভল্টেজ ভাঙি যোৱা,ബ്രേക്കിംഗ് വോൾട്ടേജ്
সেঁতু,പാലം
ব্ৰীজ ৰেক্টিফায়াৰ,പാലം റക്റ്റിഫയർ
বহল বেণ্ড,വിശാലമായ ബാൻഡ്
সম্প্ৰচাৰ বেণ্ড,ബ്രോഡ്കാസ്റ്റ് ബാൻഡ്
নক্ষত্ৰীয় এৰে,ആസ്ട്രൽ അറേ
সম্প্ৰচাৰ,പ്രക്ഷേപണം
সম্প্ৰচাৰ এন্টেনা,ബ്രോഡ്കാസ്റ്റ് ആന്റിന
সম্প্ৰচাৰ গ্ৰাহক,ബ്രോഡ്കാസ്റ്റ് റിസീവർ
কম্পাঙ্ক সম্প্ৰচাৰ গ্ৰাহক,ഫ്രീക്വൻസി ബ്രോഡ്കാസ്റ്റ് റിസീവർ
সম্প্ৰচাৰ ট্ৰেন্সমিটাৰ,പ്രക്ഷേപണം ട്രാൻസ്മിറ്റർ
বুষ্টাৰ এন্টেনা,ബൂസ്റ്റർ ആന്റിന
বাছ এন্টেনা,ബസ് ആന്റിന
ব্ৰাছ বিসৰ্জন,ബ്രഷ് നിമജ്ജനം
bubbling AND গেট,ബബ്ലിംഗും ഗേറ്റും
বুডবুডু বা গেট,ബുദ്ബുദു അല്ലെങ്കിൽ ഗേറ്റ്
বুদবুদযুক্ত স্মৃতিশক্তি,ബബ്ലി മെമ്മറി
ক্ষতিপূৰণমূলক ভল্টেজ,വോൾട്ടേജ് നഷ്ടപരിഹാരം
বাফাৰ,ബഫർ
বাফাৰ এম্প্লিফায়াৰ,ബഫർ ആംപ്ലിഫയർ
বাফাৰ বৰ্তনী,ബഫർ സർക്യൂട്ട്
বাফাৰ অপাৰেটৰ,ബഫർ ഓപ്പറേറ്റർ
বাফাৰ ৰেজিষ্টাৰ,ബഫർ രജിസ്റ്റർ
বাল্ব,ബൾബ്
জনসংখ্যাৰ প্ৰভাৱ,ജനസംഖ്യാ പ്രഭാവം
মেক্ৰ&#39; অৰ্ধপৰিবাহী যন্ত্ৰ,മാക്രോ അർദ്ധചാലക ഉപകരണം
মুঠি,കുല
ডুব যোৱা বিনিময়,മുങ്ങിയ കൈമാറ്റം
ডুব যোৱা স্তৰ,മുങ്ങിയ പാളി
ডুব যোৱা সংস্পৰ্শ,മുങ്ങിയ കോൺടാക്റ്റ്
ব্লাষ্ট এম্প্লিফায়াৰ,സ്ഫോടന ആംപ്ലിഫയർ
ব্লাষ্ট কভাৰ,സ്ഫോടന കവർ
ব্লাষ্ট ফায়াৰিং,സ്ഫോടനം വെടിവയ്പ്പ്
বিস্ফোৰণ দুৱাৰ এম্প্লিফায়াৰ,സ്ഫോടനം ഡോർ ആംപ്ലിഫയർ
বাৰ্ষ্ট মোড,ബർസ്റ്റ് മോഡ്
বিস্ফোৰণ বিভাজক,സ്ഫോടനം സെപ്പറേറ്റർ
বিস্ফোৰণ সংকেত,സ്ഫോടന സിഗ്നൽ
বাৰ্ষ্ট ভুল সংশোধক ক&#39;ড,ബർസ്റ്റ് പിശക് തിരുത്തൽ കോഡ്
বাছ,മതി
বাছ বাৰ,ബസ് ബാർ
বাছ সংস্থা,ബസ് സംഘടന
বাছৰ মানদণ্ড,ബസ് സ്റ്റാൻഡേർഡ്
মাত্ৰ ক্ষণিক,വെറും നൈമിഷികം
ফিল্টাৰৰ মূল্যৰ মাখন,വെണ്ണ മൂല്യമുള്ള ഫിൽട്ടർ
bnc তাঁৰ,bnc വയർ
বিএনচি জইণ্টাৰ,BNC ജോയിന്റർ
বাই-ৱে,വഴിയിൽ
বাইপাছ কেপাচিটৰ,ബൈപാസ് കപ്പാസിറ്റർ
বাইট,ബൈറ്റ്
ভি বেণ্ড,വി ബാൻഡ്
C বেণ্ড এন্টেনা,സി ബാൻഡ് ആന്റിന
তাঁৰ,വയർ
তাঁৰৰ ৰুটিং,വയർ റൂട്ടിംഗ്
টেলিগ্ৰাফ টেলিভিছন,ടെലിഗ്രാഫ് ടെലിവിഷൻ
কেশ্ব মেমৰি,കാഷെ മെമ്മറി
ছিছিম ফ্ৰিকুৱেন্সি ষ্টেণ্ডাৰ্ড,സിസിം ഫ്രീക്വൻസി സ്റ്റാൻഡേർഡ്
কেলকুলেটৰ,കാൽക്കുലേറ്റർ
মানাংকন,കാലിബ്രേഷൻ
কল ঠিকনা,കോൾ വിലാസം
কলপিট দোলক,കോൾപിറ്റ് ഓസിലേറ്റർ
কেম কৰ্ডাৰ,ക്യാം കോർഡറുകൾ
কেমেৰা,ക്യാമറ
কেমেৰাৰ নলী,ക്യാമറ ഹോസ്
কেণ্ডেলা,കാൻഡല
মমবাতিৰ শক্তি,മെഴുകുതിരി ശക്തി
কেন্টিলিভাৰ ষ্ট্ৰেইন গেজ,കാന്റിലിവർ സ്ട്രെയിൻ ഗേജ്
ধৰি ৰখা,പിടിക്കുന്നു
ৰক্তচাপ ট্ৰেন্সডুচাৰ,കപ്പാസിറ്റൻസ് രക്തസമ്മർദ്ദം ട്രാൻസ്ഡ്യൂസർ
ধাৰণকাৰী বিতৰক,ഹോൾഡിംഗ് ഡിസ്ട്രിബ്യൂട്ടർ
চুক্তি ধাৰণ কৰা,ഉടമ്പടി നിലനിർത്തൽ
ধাৰণক্ষমতা গেজ,കപ്പാസിറ്റൻസ് ഗേജ്
ধৰি ৰখা সংগ্ৰাহক,പിടിക്കുന്ന കളക്ടർ
ধাৰণক্ষমতা বিক্ৰিয়াশীলতা,കപ്പാസിറ്റൻസ് പ്രതിപ്രവർത്തനം
"কেপাচিটিভ এনাৰ্জি কনভাৰ্টাৰ, ট্ৰেন্সডুচাৰ","കപ്പാസിറ്റീവ് എനർജി കൺവെർട്ടർ, ട്രാൻസ്ഡ്യൂസർ"
কেপাচিটৰ,കപ്പാസിറ്റർ
কেপাচিটৰ বেংক,കപ്പാസിറ്റർ ബാങ്ക്
কেপাচিটৰ ফিল্টাৰ,കപ്പാസിറ്റർ ഫിൽട്ടർ
কেপাচিটৰ ইনপুট ফিল্টাৰ,കപ്പാസിറ്റർ ഇൻപുട്ട് ഫിൽട്ടർ
উইঞ্চ মটৰ,വിഞ്ച് മോട്ടോർ
পুলি চাৰ্ভো বডি,പുള്ളി സെർവോ ബോഡി
চৰখী,ചാർക്കി
বন্দী কৰা,പിടിക്കുക
capture clause,ക്യാപ്‌ചർ വിഭാഗം
