Assamese,Bengali
চিমনিৰ নালা,চিমনি নর্দমা
চিপ বৰ্ড,চিপ বোর্ড
চিপিং,চিপিং
চিপছ,চিপস
চুটে,চুট
শ্ৰেণী (কংক্ৰিটৰ),শ্রেণী (কংক্রিটের)
বোকা মাটি,কাদামাটি
মাটিৰ পৰিমাণ,কাদামাটি বিষয়বস্তু
মাটিৰ কেৰাহী,মাটির প্যান
ক্লিনআউট,পরিস্কার করা
চাফ-চিকুণ কৰক,পরিষ্কার কর
ক্লিট কৰক,ক্লিট
ক্লিংকাৰ,ক্লিঙ্কার
ক্লিপ,ক্লিপ
জমা হোৱা,জমাট বাঁধা
মোটা গোটা পদাৰ্থ,মোটা সমষ্টি
মোটা দানাযুক্ত মাটি,মোটা দানাদার মাটি
কোট,কোট
কফাৰ বান্ধ,কফার বাঁধ
সংহতি,সংহতি
কলয়ড,কলয়েড
কলয়ডাল আৰ্দ্ৰতাৰ সমতুল্য অনুপাত,কোলয়েডাল আর্দ্রতা সমতুল্য অনুপাত
কলয়ডাল ব্যৱস্থা,কলয়েডাল সিস্টেম
কলুভিয়াল মাটি,কোলুভিয়াল মাটি
স্তম্ভ,কলাম
কম্বড ফিনিচিং,কম্বড ফিনিস
সংযুক্ত ফুটিং,সম্মিলিত পাদদেশ
সংযুক্ত পানী,মিলিত জল
কমন ৰুম,বৈঠকখানা
সম্পূৰ্ণ হোৱাৰ প্ৰমাণ পত্ৰ,সমাপনী সনদ
উপাদান বৰ্গ,উপাদান বর্গক্ষেত্র
কংক্ৰিট,কংক্রিট
কংক্ৰিচন,কংক্রিশন
একত্ৰিত হাৰ/ফ্লেট হাৰ,একত্রিত হার/সমতল হার
দূষক পদাৰ্থ,দূষক
ৰন্ধা-বঢ়াৰ এলকোভ,আলকোভ রান্না করা
মোকাবিলা কৰা,মোকাবিলা করা
কৰ্বেল,করবেল
কৰ্নিচ,কার্নিস
কাপলাৰ,কাপলার
"কাপলাৰ, ডাবল","যুগল, দ্বিগুণ"
"কাপলাৰ, পুটলগ","কাপলার, পুটলগ"
"কাপলাৰ, চুইভেল","কাপলার, সুইভেল"
ধাৰা,কোর্স
কোৰ্চ কৰা ৰেণ্ডম ধ্বংসাৱশেষ শিলৰ কাম,র্যান্ডম ধ্বংসস্তূপ রাজমিস্ত্রি কোর্স করা
আবৃত অঞ্চল,ঢাকা এলাকা
অধম,হামাগুড়ি
ক্ৰিপ সহগ,ক্রীপ সহগ
ক্ৰ&#39;ট&#39;ভাইন,ক্রোটোভাইন
কাউৰী ভৰি,কাকের পা
ক্ৰাম গঠন,চূর্ণবিচূর্ণ গঠন
প্ৰতিবন্ধক,প্রতিবন্ধক
সোঁত,কারেন্ট
বক্ৰ প্ৰতিৰোধ ক্ষমতা,বক্ররেখা প্রতিরোধের
ডেম্প প্ৰুফ কোৰ্চ,স্যাঁতসেঁতে প্রুফ কোর্স
সম্পূৰ্ণ হোৱাৰ তাৰিখ,সমাপ্তির তারিখ
ডেড লোড,মৃত লোড
মৰা পানী,মরা জল
ডেচিবেল,ডেসিবেল
ডিফ্ল’কুলেচন,ডিফ্লোকুলেশন
বায়ুমণ্ডলৰ মাত্ৰা বা বায়ু স্থান অনুপাত,বায়ুচলাচল বা বায়ু স্থান অনুপাত ডিগ্রী
একত্ৰীকৰণৰ মাত্ৰা,সমষ্টির ডিগ্রি
বিক্ষিপ্ততাৰ মাত্ৰা,বিচ্ছুরণ ডিগ্রী
চেচুৰেচনৰ ডিগ্ৰী,স্যাচুরেশন ডিগ্রী
ঘনত্ব,ঘনত্ব
মৰুভূমিৰ ফুটপাথ,মরুভূমির ফুটপাথ
মৰুভূমিৰ মাটি,মরুভূমির মাটি
সবিশেষ,বিস্তারিত
উন্নয়নৰ সময়ছোৱা,উন্নয়নের সময়কাল
ডি-দিগন্ত,ডি-দিগন্ত
তিৰ্যক বন্ধন,তির্যক বন্ধন
ডায়াগ্ৰাম,ডায়াগ্রাম
ডিজিটেল ডক,ডিজিটাল ডক
ভিন্নতামূলক পানীৰ হাৰ,পার্থক্য জলের হার
পাতল কৰা ভেণ্টিলেচন,পাতলা বায়ুচলাচল
ডিলুভিয়াম,ডিলুভিয়াম
খোৱাঘৰ,খাবার কক্ষ
দিশৰ পেগ,দিকনির্দেশনা পেগ
বিক্ষিপ্ততা,বিচ্ছুরণ
ডিষ্টেম্পাৰ,ডিস্টেম্পার
ডক,ডক
দুৱাৰ,দরজা
ডৰ্মাৰ,ডর্মার
ডৰ্মাৰ চেক,ডর্মার চেক
ডাবল ফ্লেমিছ বণ্ড,ডাবল ফ্লেমিশ বন্ড
ডাবল লেয়াৰ,ডবল লেয়ার
ডৱেল,দোয়েল
অংকন বৰ্ড,অঙ্কন বোর্ড
ড্ৰয়িং ৰুম,বৈঠকখানা
ড্ৰিফ্ট,প্রবাহ
শুকান বাল্বৰ উষ্ণতা,শুকনো বাল্বের তাপমাত্রা
শুকান ডক,শুকনো ডক
শুকান ৰবৰৰ শিলৰ কাম,শুকনো রাবার রাজমিস্ত্রি
ডাচ বণ্ড,ডাচ বন্ড
বামন দেৱাল,বামন প্রাচীর
বাসস্থানৰ ইউনিট,বাস ইউনিট
ইভ,ইভ
ইভছ নালা,ইভস নর্দমা
অৰ্থনৈতিক সম্ভাৱনীয়তা,অর্থনৈতিক সম্ভাব্যতা
বহিঃগতিশীল মাটি,এক্টোডাইনামরফিক মাটি
এডি,এডি
ফলপ্ৰসূ আকাৰ,কার্যকরী আকার
ফুলৰ ফুলনি,প্রস্ফুটিত
এফ্লুৱেণ্ট,বর্জ্য
উচ্চতা,উচ্চতা
এলুভিয়েচন,ইলুভিয়েশন
এলুভিয়াম,এলুভিয়াম
এণ্ডোডাইনামৰ্ফিক মাটি,এন্ডোডাইনামরফিক মাটি
অভিযান্ত্ৰিক সম্ভাৱনীয়তা,ইঞ্জিনিয়ারিং সম্ভাব্যতা
ইংৰাজী বণ্ড,ইংরেজি বন্ড
ইংৰাজী বাগিচাৰ দেৱালৰ বণ্ড,ইংরেজি বাগান প্রাচীর বন্ধন
"ইপিএম (প্ৰতি মিলিয়নৰ সমতুল্য),&quot;","EPM (প্রতি মিলিয়নের সমতুল্য),&quot;"
সমতুল্য ওজন,সমান ওজন
Erg,অর্গ
বিনিময়যোগ্য,বিনিময়যোগ্য
বিনিময়যোগ্য এচিডিটি,বিনিময়যোগ্য অম্লতা
বিনিময়যোগ্য ছডিয়াম শতাংশ (ESP),বিনিময়যোগ্য সোডিয়াম শতাংশ (ESP)
ই এছ পি.,ই এস পি
বিনিময় এচিডিটি,এক্সচেঞ্জ অ্যাসিডিটি
এক্সচেঞ্জ কমপ্লেক্স,এক্সচেঞ্জ কমপ্লেক্স
নিষ্কাশন,নিষ্কাশন
উন্মুক্ত ফিনিচিং,উন্মুক্ত ফিনিস
নয়ন,আই
চকুৰ ভ্ৰূ,ভুরু
মুখামুখি,সম্মুখ
বন্ধনৰ সন্মুখীন হোৱা,বন্ড সম্মুখীন
সুৰক্ষাৰ কাৰক,নিরাপত্তার ফ্যাক্টর
পৰি যোৱা,পতন
ফেচিয়া,ফেসিয়া
ফেচিয়া বৰ্ড,ফেসিয়া বোর্ড
দোষ,দোষ
পথাৰ আৰ্দ্ৰতা,মাঠের আর্দ্রতা
চূড়ান্ত আৰ্দ্ৰতাৰ সমতুল্য,চূড়ান্ত আর্দ্রতা সমতুল্য
ফিলেট (মৰ্টাৰৰ),ফিলেট (মর্টার)
চূড়ান্ত,চূড়ান্ত
চূড়ান্ত জোখ-মাখ,চূড়ান্ত পরিমাপ
চূড়ান্ত পেমেণ্টq,চূড়ান্ত অর্থপ্রদান
চূড়ান্ত প্ৰি ষ্ট্ৰেছ,চূড়ান্ত প্রাক চাপ
চূড়ান্ত উত্তেজনা,চূড়ান্ত উত্তেজনা
আৰ্থিক সম্ভাৱনীয়তা,আর্থিক সম্ভাব্যতা
মিহি গোটা পদাৰ্থ,সূক্ষ্ম সমষ্টি
ছিন্নভিন্ন শিল,ফিসার্ড শিলা
পতাকা শিল,পতাকা পাথর
ফ্লেমিছ বন্ধন,ফ্লেমিশ বন্ড
ফিচফিচাই থকা,ঝলকানি
ঝলমলীয়া ধাৰা,চটকদার স্রোত
সমতল চাল,সমতল ছাদ
ফ্লেচে,ফ্লেচে
ফ্লেমিছ বাগিচাৰ দেৱালৰ বন্ধন,ফ্লেমিশ গার্ডেন ওয়াল বন্ড
ফ্লিন্ট,চকমকি
ফ্লিণ্টৰ দেৱাল,চকমকি দেয়াল
ভাসমান মজিয়া,ভাসমান মেঝে
ফ্লকুলেচন,ফ্লোকুলেশন
ফ্লকুলেচন সীমা,ফ্লোকুলেশন সীমা
ফ্লকুলেচন অনুপাত,ফ্লোকুলেশন অনুপাত
ফ্লকুলেছ,ফ্লোকুলস
মজিয়া,মেঝে
মজিয়াৰ ছীল,মেঝে সিল
বৈ অহা,প্রবাহ
উঠা-নমা,ওঠানামা
ফুটিং,ফুটিং
ভেঁটি,ফাউন্ডেশন
ফ্ৰী ফ&#39;ল বেৰ&#39; টপিং মিক্সাৰ,ফ্রি ফল ব্যারো টপিং মিক্সার
ফ্ৰী ফ&#39;ল মিক্সাৰ (ড্ৰাম টাইপ),ফ্রি ফল মিক্সার (ড্রাম টাইপ)
মুক্ত শিল,বিনামূল্যে পাথর
ফ্ৰেছেট,ফ্রেশেট
ঘৰ্ষণৰ স্তূপ,ঘর্ষণ গাদা
ভেকুলী,ব্যাঙ
গেবল,গ্যাবল
গেবলেট,গ্যাবলেট
গাম্ব্ৰেলৰ চাল,গ্যাম্বেলের ছাদ
জোখ লোৱা,গেজ
গেজিং অংশ,পরিমাপক বিভাগ
গেজিং ষ্টেচন,গেজিং স্টেশন
সাধাৰণ স্থান পৰিকল্পনা,সাধারণ অবস্থান পরিকল্পনা
সাধাৰণ বায়ু চলাচল,সাধারণ বায়ুচলাচল
G দিগন্ত বা গ্লে দিগন্ত,G দিগন্ত বা gley দিগন্ত
হিমবাহৰ টিল,হিমবাহ পর্যন্ত
গ্নেইছ,জিনিস
সামগ্ৰীৰ চোতাল,গুডস ইয়ার্ড
গ্ৰেডিয়েণ্ট ৰেজিষ্টেন্স,গ্রেডিয়েন্ট প্রতিরোধ
গ্ৰেনাইট,গ্রানাইট
দানাদাৰ গঠন,দানাদার গঠন
গ্ৰেনুলেচন,দানাদার
গ্ৰেনুল,কণিকা
মহাকৰ্ষণীয় পানীমুক্ত পানী,মহাকর্ষীয় জল মুক্ত জল
মহাকৰ্ষণীয় চোতাল,গ্র্যাভিটেশনাল ইয়ার্ড
মহান মাটিৰ গোট,মহান মাটি গ্রুপ
গ্ৰীলেজ ফাউণ্ডেচন,গ্রিলেজ ফাউন্ডেশন
গ্ৰাউণ্ড হেণ্ড মল্ডিং,স্থল হাত ছাঁচনির্মাণ
গ্ৰুপ কৰা ডক,দলবদ্ধ ডক
গ্ৰুপ হাউছিং,গ্রুপ হাউজিং
অতিথিশালা,অতিথি কক্ষ
নালা,নর্দমা
নালা বাহক,নর্দমা বহনকারী
নালা পৰীক্ষা,গটার চেক
হাতুৰীৰে ড্ৰেছিং,হাতুড়ি ড্রেসিং
বন্দৰ,হারবার
আশ্ৰয়ৰ বন্দৰ,আশ্রয়ের পোতাশ্রয়
কঠিন কেৰাহী,শক্ত প্যান
হেডাৰ,হেডার
হেডাৰ বণ্ড,হেডার বন্ড
হেডাৰ পাঠ্যক্ৰম,হেডার কোর্স
হেড গেটৰ গঠন,হেড গেটের গঠন
খালৰ মূৰ,খালের প্রধান
হেড ৰেগুলেটৰ,হেড রেগুলেটর
হেৰিং হাড়ৰ বন্ধন,হেরিং হাড়ের বন্ধন
হৃদয়স্পৰ্শী,হার্টিং
তিয়াই থোৱাৰ তাপ,ভিজানোর তাপ
উচ্চ এলুমিনা চিমেণ্ট,উচ্চ অ্যালুমিনা সিমেন্ট
কঁকাল,নিতম্ব
হিপ কেপিং,হিপ ক্যাপিং
হিপড এণ্ড,নিতম্বের শেষ
ডকাইত,ঘোমটা
হুড মল্ডিং,হুড ছাঁচনির্মাণ
হুক’ৰ আইন,হুকের আইন
হুপ লোহা,হুপ লোহা
দিগন্ত,দিগন্ত
আৰ্দ্ৰকৰণ,আর্দ্রতা
"আৰ্দ্ৰতা, নিৰপেক্ষ","আর্দ্রতা, পরম"
"আৰ্দ্ৰতা, আপেক্ষিক","আর্দ্রতা, আপেক্ষিক"
হাম্প চোতাল,হাম্প ইয়ার্ড
হাইড্ৰলিক চাপ,জলবাহী চাপ
জলসিঞ্চন,হাইড্রেশন
হাইড্ৰ’লাইছিছ,হাইড্রোলাইসিস
হাইড্ৰ’লাইটিক এচিডিটি,হাইড্রোলাইটিক অ্যাসিডিটি
জলৰূপী মাটি,হাইড্রোমরফিক মাটি
হাইড্ৰফিলিক কলয়ড,হাইড্রোফিলিক কলয়েড
হাইড্ৰ’ফ’বিক কলয়ড,হাইড্রোফোবিক কলয়েড
হাইড্ৰ’ষ্টেটিক চাপৰ অনুপাত,হাইড্রোস্ট্যাটিক চাপ অনুপাত
হাইগ্ৰ’স্কেপ্টিক সহগ,হাইগ্রোস্ক্যাপটিক সহগ
হাইগ্ৰস্কোপিক আৰ্দ্ৰতা,হাইগ্রোস্কোপিক আর্দ্রতা
হাইড্ৰস্কোপিচিটি,হাইড্রোস্কোপিসিটি
হাইগ্ৰস্কোপিক আৰ্দ্ৰতা,হাইগ্রোস্কোপিক আর্দ্রতা
হাইপাৰবেৰিক চেম্বাৰ,হাইপারবারিক চেম্বার
হাইপাৰষ্টেটিক ফ্ৰেম,হাইপারস্ট্যাটিক ফ্রেম
হাইপছ’মিটাৰ,হাইপসোমিটার
আলোকসজ্জা,আলোকসজ্জা
ইম্বিবেচন আৰ্দ্ৰতা,ইমবিবেশন আর্দ্রতা
অপৰিপক্ক মাটি,অপরিণত মাটি
জব্দ কৰা ডক,জব্দ ডক
ভূমিৰ ৰাজহ বৃদ্ধি,ভূমি রাজস্ব বৃদ্ধি
স্বতন্ত্ৰ মৰাপাট,স্বাধীন ভারা
কঠিন,নিমজ্জিত
প্ৰাৰম্ভিক প্ৰিষ্ট্ৰেছ,প্রাথমিক prestress
প্ৰাৰম্ভিক উত্তেজনা,প্রাথমিক উত্তেজনা
অভ্যন্তৰীণ জলপথ বন্দৰ,অভ্যন্তরীণ জলপথ বন্দর
ইনচুলেটিং বৰ্ড,অন্তরক বোর্ড
মধ্যৱৰ্তী বন্দৰ,মধ্যবর্তী বন্দর
