Gujarati,English
સંબોધન,addressing
"1. પર્યાપ્તતા માપદંડ, 2. પર્યાપ્તતા માપદંડ",adequacy criteria
જોડાણ,adjoint
"1. મેનેજમેન્ટ, 2. નિયંત્રણ",administration
"1. મેનેજર, 2. નિયંત્રક",administrator
એડોબ એક્રોબેટ,adobe acrobat
એડોબ ફોટોશોપ,adobe photoshop
ABAP (એડવાન્સ્ડ બિઝનેસ પ્રોગ્રામિંગ),Advance Business Application Programming (ABAP)
"1. અદ્યતન ડેટા, 2. અદ્યતન ડેટા",advanced data
અદ્યતન માહિતી સિસ્ટમ,advanced information system
એડવાન્સ ટેકનોલોજી (AT),advanced technology (AT)
ક્રિયા,agent
એકત્રીકરણ,aggregation
એરબોર્ન કમ્પ્યુટર સિસ્ટમ,airborne computer system
aldus પૃષ્ઠ બનાવવું,aldus page maker
ચેતવણી બોક્સ,alert box
અલ્ગોલ (કોમ્પ્યુટર ભાષા),algol
"1. અલ્ગોરિધમ , 2. અલ્ગોરિધમ",algorithm
"1. અલ્ગોરિધમ વિશ્લેષણ, 2. અલ્ગોરિધમ વિશ્લેષણ",algorithm analysis
અલ્ગોરિધમ કાર્યક્ષમતા,algorithm efficiency
"1. ઈલિયાસ, 2. ઉપનામ, 3. ઉર્ફે",alias
ગોઠવણી,alignment
"1. ફાળવણી, 2. ફાળવણી",allocation
"1. આલ્ફાબેટીક, 2. મૂળાક્ષરોનો ક્રમ",alphabetic
આલ્ફાન્યૂમેરિક,alphanumeric
"1. આલ્ફાન્યૂમેરિક કીબોર્ડ ,2. આલ્ફાન્યૂમેરિક કીબોર્ડ",alphanumeric key board
આલ્ફા-પરીક્ષણ (પ્રથમ સ્તર પરીક્ષણ),alpha-test
"1. આલ્ફા સંસ્કરણ, 2. આલ્ફા ફોર્મ",alpha-version
alt કી,alt key
અલ્ટાવિસ્ટા,altavista
બહુવિધતા,ambiguity
અસ્પષ્ટ વ્યાકરણ,ambiguous grammar
અમેરિકન નેશનલ સ્ટેન્ડીઝ ઇન્સ્ટિટ્યુટ (ANSI),American National Standards Institute (ANSI)
અમેરિકન સ્ટાન્ડર્ડ કટ (ascii),American Standard Code For Information Interchange (ASCII)
"1. અનુરૂપ, 2. એનાલોગ",analog
"1. એનાલોગ કોમ્પ્યુટર, 2. એનાલોગ કોમ્પ્યુટર",analog computer
"1. એનાલોગ ઉપકરણ, 2. એનાલોગ ઉપકરણ",analog device
"1. એનાલોગ મોડેમ, 2. એનાલોગ મોડેમ",analog modem
ડિજિટલ કન્વર્ટર માટે એનાલોગ,Analog To Digital Converter (ADC)
અંત (ડિજિટલ/પ્લેન લોજિક &#39;અને&#39; વપરાયેલ),AND
અંતિમ સર્કિટ,AND circuit
અંતિમ દરવાજો અને દરવાજો,AND gate
એન્ડ નોટ ઓપરેશન (બાકાત),AND not operation (Exclusion)
"1. એનિમેશન, 2. કંપન",animation
નૉૅધ,annotation
અસંગતતા,anomaly
અગાઉના,antecedent
આગોતરી પેજીંગ,anticipatory paging
પ્રતિ-સપ્રમાણ,anti-symmetric
એન્ટિવાયરલ પ્રોગ્રામ,antivirus program
"1. ઉપલેટ, 2. અરજી",applet
એપ્લિકેશન ડેવલપર,application developer
એપ્લિકેશન પ્રોગ્રામિંગ,application programming
"1. એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ, 2. એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ (API)",application programming interface (API)
એપ્લિકેશન સોફ્ટવેર,application software
એપ્લિકેશન ભાષા,applicative language
અંદાજ સિદ્ધાંત,approximation theory
માળખું,architecture
ક્ષેત્ર ટ્રાન્સફર,area transfer
"1. પરિમાણ, સ્વતંત્ર ચલ, 2. કોણ",argument
"1. અંકગણિત અને તર્ક એકમ, 2. અંકગણિત અને તર્ક એકમ",arithmatic and logic unit
અંકગણિત તપાસ,arithmatic check
અંકગણિત સતત,arithmatic constant
અંકગણિત માહિતી,arithmatic data
અંકગણિત સૂચના,arithmatical instruction
ગાણિતિક અને તાર્કિક એકમ (ALU),arithmetic and logic unit (ALU)
ARPA નેટ (RPNet),ARPANET
એરે,array
"1. એરે કેશ, 2. એરે ઝડપ, 3. એરે મેમરી",array cache
એરે કમ્પ્યુટર,array computer
એરે તત્વ,array element
એરે નામ,array name
એરે પ્રોસેસર,array processor
તીર કી,arrow keys
સંધિ,articulation
જંકશન પોઈન્ટ,articulation point
કૃત્રિમ કોમ્પેક્શન,artificial compaction
કૃત્રિમ નિયંત્રણ,artificial control
કૃત્રિમ સંવેદના,artificial intelligence
માઉન્ટ,ascender
ચડતા સૉર્ટ,ascending sort
ascii મૂળાક્ષરો,ASCII betical order
ascii નિયંત્રણ પ્રતીક,ASCII control character
ascii ફાઇલ,ASCII file
ascii ફોન્ટ,ASCII font
ASCII ટ્રાન્સફર,ASCII transfer
પાસા ગુણોત્તર,aspect ratio
"1. એસ્પી, 2. ASPI",ASPI
એ એસ આર કલાડ,ASR timer
"1. સ્મરણ, 2. એસેમ્બલિંગ, 3. એસેમ્બલ કરવા માટે",assemble
"1. એસેમ્બલર, 2. રીમાઇન્ડર",assembler
"1. એસેમ્બલિંગ, 2. યાદ",assembly
"1. યાદગાર ભાષા, 2. એસેમ્બલીંગ ભાષા",assembly language
નિશ્ચય,assertion
"1. ઉલ્લેખિત કાર્ય, 2. ફાળવણી",assignment
સોબત,association
સહયોગી સરનામું,associative address
"1. સહયોગી મેમરી, 2. સહયોગી મેમરી",associative memory
ફૂદડી (* ચિહ્ન),asteric
અસમપ્રમાણ,asymmetric
"1. અસુમેળ, 2. અસુમેળ",asynchronous
અસુમેળ ડિજિટલ સબ્સ્ક્રાઇબર લાઇન (ADSL),asynchronous Digital Subscriber Line (ADSL)
અસિંક્રોનસ ટાઈમ ડિવિઝન મલ્ટિપ્લેક્સિંગ (ATDM),asynchronous Time Division Multiplexing (ATDM)
અસુમેળ ટ્રાન્સફર,asynchronous transfer
અસિંક્રોનસ ટ્રાન્સફર મોડ (ATM),asynchronous Transfer Mode (ATM)
"1. અણુ, 2. પરમાન",atom
જોડાયેલ દસ્તાવેજ,attached document
"1. જોડાયેલ ફાઇલ/મિસિલ, 2. જોડેલી ફાઈલ",attached file
"1. બિડાણ, 2. સંલગ્ન",attachment
"1. ગુણધર્મો, 2. વિશેષતા",attribute
સાંભળી શકાય તેવું,audio
"1. ઓડિટ પ્રોગ્રામિંગ, 2. ઓડિટ પ્રોગ્રામિંગ",audit programming
એકાઉન્ટ વેરિફિકેશન,audit trail
પ્રમોશન,augmentation
પ્રમાણપત્ર પ્રોટોકોલ,authentication protocol
લેખન પદ્ધતિ,authoring system
"1. સત્તા, 2. સત્તા, 3. ટ્રિબ્યુનલ",authorization
સ્વતઃ અમૂર્ત,auto abstract
"1. ઓટો બુટીંગ, 2. સ્વ બુટ",autobooting
ઓટોકેડ (કોમ્પ્યુટર ભાષા),autocad
ઓટો લોગ-ઓન,autolog on
ઓટોમેટા,automata
ઓટોમેટા સિદ્ધાંત,automata theory
આપોઆપ ગણતરી,automatic computing
સ્વચાલિત ડેટા પ્રોસેસિંગ,automatic data processing
આપોઆપ ભૂલ સુધારણા,automatic error correction
સ્વતઃ કાર્ય,automatic function
"1. સ્વચાલિત અનુક્રમણિકા, 2. આપોઆપ યાદી",automatic indexing
સ્વતઃ-સંગ્રહ કૉલ,automatic library call
"1. ઓટોમેટિક પ્રોગ્રામિંગ, 2. આપોઆપ પ્રોગ્રામિંગ",automatic programming
"1. સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ, 2. સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ",automatic recovery program
આપોઆપ નિયમિત,automatic routine
આપોઆપ સિસ્ટમ પુનઃપ્રાપ્તિ,automatic system recovery
"1. ઓટોમેટિક ટેલર મશીન (ATM), 2. સ્વ ઉપાડ માટે બેંક એ.ટી.એમ",automatic teller machine (ATM)
ઓટોમેશન,automation
"1. ઑટોપ્લે , 2. ઓટો વોક",autoplay
અવાજ,autosave
મદદનીશ,auxiliary
સહાયક મેમરી,auxiliary memory
સહાયક સંગ્રહ,auxiliary storage
ઉપલબ્ધ યાદી,available list
ઉપલબ્ધ સમય,available time
સરેરાશ,average
AWK (કોમ્પ્યુટર આદેશ),awk (language)
પછી,backend
પોસ્ટ પ્રોસેસર,backend processor
પશ્ચાદવર્તી કાર્ય કાઢી નાખવું,backface removal
પૃષ્ઠભૂમિ પ્રક્રિયા,background processing
આનુષંગિક સ્ટોર્સ,backing store
બેક પેચીંગ,backpatching
"1. પશ્ચિમ, 2. બેકસ્પેસ",backspace
બેકટ્રેકિંગ,backtracking
"1. બેક-અપ, 2. વળતર",back-up
"1. પૂરક મેમરી, 2. બેકઅપ મેમરી",back-up memory
પાછળની ભૂલ સુધારણા,backward error recovery
(આવક-ખર્ચ) બેલેન્સ શીટ,balance sheet
પાટો,band
"1. બેન્ડ પહોળાઈ, 2. બેન્ડવિડ્થ/ક્ષમતા",band width
બેંકરનું અલ્ગોરિધમ,banker's algorithm
"1. બાર કોડ, 2. બાર કોડ",bar code
બારકોડ સ્કેનર,bar code scanner
બાર ગ્રાફ,bar graph
આધાર સરનામું,base address
આધાર બેન્ડ,base band
આધાર નંબર,base number
આધાર ટેબલ,base table
મૂળભૂત (કોમ્પ્યુટર ભાષા),BASIC
"1. મૂળભૂત નિયંત્રણ, 2. આધાર નિયંત્રણ",basic control
"1. મૂળ રોકાણ, 2. આધાર રોકાણ",basic input
મૂળભૂત સૂચના,basic instruction
આધાર મુદ્દો,basic output
મૂળભૂત તબક્કો,basic step
"1. બેચ, 2. જૂથ, 3. આપત્તિ",batch
"1. બેચ ફાઇલ, 2. બેચ ફાઇલ",batch file
બેચ સ્થિતિ,batch position
"1. બેચ પ્રોસેસિંગ, 2. જૂથ પ્રક્રિયા",batch processing
"1. બેચ સિસ્ટમ, 2. કૅટપલ્ટ સિસ્ટમ",batch system
બાઉડ,baud
બાઉડ દર,baud rate
બીમ બીમ,beam
"1. માર્ગદર્શિકા, 2. બેચ માર્ક",benchmark
દ્વિદિશ સંચાર,bidirectional communication
સીધી લિંક,bidirectional link
દ્વિસંગી કોડ,binary code
દ્વિસંગી અંકો,binary digit
બાઈનરી ઈન્વેસ્ટમેન્ટ આઉટપુટ સિસ્ટમ (BIOS),binary Input output system (BIOS)
દ્વિસંગી સંખ્યા,binary number
બાઈનરી ઓપરેટર,binary operator
દ્વિસંગી સંબંધ,binary relation
દ્વિસંગી શોધ,binary search
બાઈનરી એક્સપ્લોરેશન ટ્રી (BST),binary search tree (BST)
"1. બાઈનરી ટ્રાન્સફર ટ્રી, 2. બાઈનરી ટ્રાન્સફર",binary transfer
દ્વિસંગી વૃક્ષ,binary tree
"1. બાયપોલર મેમરી, 2. બાયપોલર મેમરી",bipolar memory
"1. જન્મ અને મૃત્યુ મોડલ, 2. જન્મ મૃત્યુ મોડેલ",birth death model
જન્મ મૃત્યુ પ્રક્રિયા,birth death process
"1. ડ્યુક, 2. બીટ",bit
થોડી ખામી,bit fault
બીટ નકશો,bit map
"1. બીટ, 2. નકશો, 3. પિક્સેલ (BMP)",bit map pixel (BMP)
"1. બિટ મેટ્રિક્સ, 2. બીટ ટેબલ",bit matrix
બીટ પેટર્ન,bit pattern
બીટ સ્થિતિ,bit position
"1. બીટ રેટ, 2. બીટ દર",bit rate
આંખ પર પટ્ટી પરીક્ષણ,black box testing
ઝબૂકવું,blinking
બ્લોક,block
"1. બ્લોક કેશ, 2. બ્લોક કેશ/ચંક મેમરી",block cache
બ્લોક ચકાસણી,block check
વોલ્યુમ નકલ,block copy
રેખાક્રુતિ,block diagram
"1. અવરોધિત નેટવર્ક, 2. અવરોધિત નેટવર્ક",blocking network
પાટીયું,board
પૃષ્ઠ મેમરી,book mark
બુલિયન બીજગણિત,boolean algebra
બુલિયન સંબંધ,boolean relation
બુટ પાર્ટીશન,boot partition
બુટ strapping,boot strapping
1.બૂટસ્ટ્રેપ લોડર,boot-strap loader
"1.બ્રિજ, 2.બ્રિજ",bridge
બ્રોડબેન્ડ નેટવર્ક,broadband networking
પ્રસારણ,broadcast
પ્રસારણ રેડિયો,broadcast radio
(ચોખ્ખી) ભિન્નતા,browse
(ચોખ્ખી) વિકાર,browser
બી-ટ્રુ,B-Tree
"1.બબલ મેમરી, 2.બબલ મેમરી",bubble memory
બબલ સૉર્ટ,bubble sort
"1.ડોલ, 2.ડોલ",bucket
"1.બંધુત્વ વ્યવસ્થા, 2.મોટી વ્યવસ્થા",buddy system
અસરકારક બજેટ નિયંત્રણ,budget effective control
બફર,buffer
ખામી,bug
પૂરતૂ,bus
"1. અષ્ટ વ્યંક, 2. બીટ (આઠ બિટ્સ)",byte
બાઈટ કોડ,byte code
સી (કોમ્પ્યુટર ભાષા),c
"1.C પ્લસ પ્લસ, 2.C++ (કોમ્પ્યુટર ભાષા)",C++
"1.રોકડ, 2. ઝડપી",cache
"1.કેશ બફર, 2.મેમરી બફર",cache buffer
"1.કેશ મેમરી, 2.કેશ મેમરી, 3.ફાસ્ટ મેમરી",cache memory
ગણતરી,calculation
"1.કેલ્ક્યુલેટર, 2.કેલ્ક્યુલેટર",calculator
"1.કેલ્ક્યુલેટર ચિપ,2. કેલ્ક્યુલેટર ચિપ",calculator chip
આહવાન કરો,call
નામ કૉલ,call by name
સંદર્ભ કૉલ,call by reference
સન્માન કૉલ,call by value
ચલ કોલ,call by variables
આમંત્રણ દ્વાર,call gate
"1. રદ કરો, 2. રદ કરો",cancel
રદબાતલ બટન,cancel button
"1. નિર્ધારિત, 2. કેનોનિકલ",canonical
પ્રમાણભૂત સ્વરૂપ,canonical form
ક્ષમતા,capability
ક્ષમતા યાદી,capability list
"1. ક્ષમતા, 2. હોલ્ડિંગ",capacity
કેપ્સ લોક કી,caps lock key
"1.કાર્ડ, 2. શીટ",card
કાર્ડ રીડર,card reader
પ્રાધાન્ય,cardinality
વાહક,carrier
વાહક બેન્ડ,carrier band
વાહક લોડ,carrier load
વાહક સંકેત,carrier signal
વાહક તરંગ,carrier wave
હાંસલ કર્યું,carry
સ્કોર હાંસલ કર્યો,carry digit
ધ્વજ હાંસલ કર્યો,carry flag
"1.કાર્ટિજ ડિસ્ક, 2.કાર્ટ્રિજ ડિસ્ક",cartridge disk
"1. કાસ્કેડ, 2. કાસ્કેડ",cascade
કેસ,case
કેથોડ-રે-ટ્યુબ (CRT),cathod ray tube (CRT)
કેથોડ રે ટ્યુબ (સીઆરટી) કેથોડ રે ટ્યુબ,cathode ray tube (CRT)
સીડી રોમ ડિસ્ક ડ્રાઇવ,CD ROM disk drive
કોષ,cell
સેલ એનિમેશન,cell animation
સેલ્યુલર ફોન,cellular phone
"1. સેન્ટ્રલ મેમરી, 2. કેન્દ્રીય મેમરી",central memory
સેન્ટ્રલ પ્રોસેસિંગ યુનિટ (CPU),central processing unit (CPU)
કેન્દ્રીયકૃત સિસ્ટમ,centralized system
પ્રમાણિત ટેપ,certified tape
સાંકળ,chain
"1. શ્રેણી ડેટા, 2. શ્રેણી સામગ્રી",chain data
સાંકળ કડી,chain link
સાંકળ,chaining
"1.ચેનલ, 2.ચેનલ",channel
"1.ચેનલ વ્યસ્ત ટોન, 2.ચેનલ વ્યસ્ત ટોન",channel busy tone
"1.ચેનલ ક્ષમતા, 2.ચેનલ ક્ષમતા",channel capacity
"1.ચેનલ કંટ્રોલર, 2.ચેનલ કંટ્રોલર",channel controller
"1. ચેનલ ભૂલ, 2.ચેનલ ભૂલ",channel error
"1.ચેનલ પ્રોગ્રામ, 2.ચેનલ પ્રોગ્રામ",channel program
"1.ચેનલ વિશ્વસનીયતા, 2.ચેનલ વિશ્વસનીયતા",channel reliability
"1.ચેનલ સેટ, 2.ચેનલ સેટ",channel set
પ્રતીક,character
"1.કેરેક્ટર કોડ, 2. અક્ષર કોડ",character code
અક્ષર કી,character key
પાત્ર વાચક,character reader
"1. પ્રતીકનું કદ, 2. પ્રતીકનું કદ",character size
ચિત્રાત્મક,chart
"1.ચેસીસ, 2.ચેસીસ",chassis
બીટ તપાસો,check bit
ચેક પોઈન્ટ,check digit
કુલ તપાસો,check sum
શબ્દ તપાસો,check word
ચિપ,chip
ચિપ સેટ,chip set
"1.પસંદ કરો, 2.પસંદ કરો",choose
મૂળાક્ષરો પ્રમાણે,chromatically
"1.સફર, 2. શૂન્ય, 3. નાવિક",cipher
સર્કિટ,circuit
વર્તુળ યાદી,circular list
સેરેસ,cirus
ઉલ્લેખ,citation
"1.શ્રેણી, 2.વર્ગ",class
વર્ગ ચલ,class variable
વર્ગીકરણ,classification
સફાઈ,clear
સાફ કરેલ વિસ્તાર,clear area
"1. સિસ્ટમ સાફ કરો, 2. ચેનલ સાફ કરો",clear channel
દબાવો,click
"1. ગ્રાહક, 2. ગ્રાહક",client
"1.ક્લાયન્ટ સર્વર, 2.ક્લાયન્ટ સર્વર",client server
ગ્રાહક સ્ટબ,client stub
કાપવાની કળા,clip art
ઉતારવાની કલા પુસ્તકાલય,clip art library
ક્લિપ બોર્ડ,clip board
ક્લિપર,clipper
ક્લિપર ચિપ,clipper chip
જૂથ,clique
"1.ઘડિયાળ, 2. કેલાડ",clock
ઘડિયાળ ચક્ર,clock cycle
ઘડિયાળની આવર્તન,clock frequency
કલાદ હાર્ડવેર,clock hardware
કલાદ સ્પાન્ડ,clock pulse
ઘડિયાળની ઝડપ,clock speed
સમય સુમેળ,clock synchronization
ઘડિયાળની ટીક,clock tick
ક્લોન,clone
બંધ,close
ક્લોઝ્ડ સર્કિટ ટીવી (CCTV),close circuit TV (CCTV)
વર્ણન,closure
"1.ક્લાઉડ કમ્પ્યુટિંગ, 2.ક્લાઉડ કમ્પ્યુટિંગ",cloud computing
ટોળું,cluster
"1.કવર્ડ કાર્ડ, 2. કોટેડ શીટ",coated card
કોટેડ કાગળ,coated paper
કોક્સિયલ,coaxial
કો - એક્ષેલ કેબલ,coaxial cable
કોડાસિલ,codasyl
"1.કોડ, 2.કોડ",code
"1. કોડ જનરેટર, 2. કોડ જનરેટર",code generator
કોડ પેજ,code page
"1.કોડ શબ્દ, 2.કોડ શબ્દ",code word
"1.કોડર, 2.કોડર",coder
"1. એન્કોડિંગ ટેસ્ટ, 2. કોડિંગ ટેસ્ટ",coding check
એન્કોડિંગ ફોર્મ,coding form
"1. એન્કોડિંગ શીટ, 2. કોડિંગ શીટ",coding sheet
ગુણાંક,coefficient
સંયોગ,coherence
"1.કોલ્ડ બૂટ, 2.કોલ્ડ સ્ટાર્ટ",cold boot
ઠંડી શરૂઆત,cold start
મદદ,collaboration
પતન,collapse
"1.ઇન્કોર્પોરેશન, 2.કોન્કેટનેટ",collate
"1.અનુક્રમિત ટેપ,2. કૉલેટ ટેપ",collate tape
અથડામણ,collision
કોલોન,colon
"1.અક્ષરો, 2.રંગો",colour (color)
રંગ સંતૃપ્તિ,colour saturation
રંગ ટેબલ,colour table
આધારસ્તંભ,column
સંયોજન,combination
સંયુક્ત બોક્સ,combo box
"1.command, 2.command",command
આદેશ બટન,command button
આદેશ યાદી,command list
ટિપ્પણી,comment
"1. પ્રતિબદ્ધતા, 2. પ્રતિબદ્ધતા",commitment
વસ્તુ,commodity
કોમન બિઝનેસ ઓરિએન્ટેડ લેંગ્વેજ (COBOL),Common Business Oriented Language (Cobol)
સામાન્ય ભૂલ,common error
સામાન્ય ભાષા,common language
"1.સામાન્ય નામ, 2. સામાન્ય દિનચર્યા",common routine
કોમ્યુનિકેશન્સ,communication
સંચાર લાઇન,communication line
સંચાર મોડ,communication mode
"1. કોમ્યુનિકેશન નેટવર્ક, 2. કોમ્યુનિકેશન નેટવર્ક",communication network
સંચાર પરિમાણ,communication parameter
સંચાર વ્યવસ્થા,communication system
કોમ્પેક્શન,compaction
કોમ્પ્રેસર,compander
કમ્પ્રેશન ટ્રાન્સમિશન,companding
કંપની નેટવર્ક,company network
સરખામણી કસોટી,comparison test
"1. સુસંગતતા, 2. સુસંગતતા",compatibility
સુસંગત,compatible
સંકલન,compilation
સંકલન અને અમલ,compile and go
"1.કમ્પાઇલર, 2.પ્રોગ્રામ ટ્રાન્સફર",compiler
કમ્પાઇલર ભાષા,compiler language
પૂરક,complementary
દસનું પૂરક,complement-on-ten
પૂરક,complementor
"1. સંપૂર્ણ હસ્તગત, 2. સંપૂર્ણ રીતે હસ્તગત",complete carry
સંયુક્ત,complex
જટિલ સંખ્યા,complex number
ઘટક,component
કોમ,component object model (COM)
સંયુક્ત,composite
સંયોજન,composition
"1.કમ્પ્યુટેબલ, 2.કોમ્પ્યુટેબલ",computational
કમ્પ્યુટર,computer
કમ્પ્યુટર કેન્દ્ર,computer centre
કમ્પ્યુટર નિષ્ણાત,computer expert
કમ્પ્યુટર ગ્રાફિક્સ,computer graphics
કમ્પ્યુટર સૂચના,computer instruction
"1.કોમ્પ્યુટર ભાષા, 2.કોમ્પ્યુટર ભાષા",computer language
"1.કોમ્પ્યુટર નેટવર્ક, 2.કોમ્પ્યુટર નેટવર્ક",computer network
કમ્પ્યુટર વિજ્ઞાન,computer science
કમ્પ્યુટર સુરક્ષા,computer security
કમ્પ્યુટર સિમ્યુલેશન,computer simulaton
કમ્પ્યુટર નિષ્ણાત,computer specialist
કોમ્પ્યુટરાઇઝેશન,computerisation
કમ્પ્યુટરિસ્ટ,computerist
કોમ્પ્યુટરાઇઝેશન,computerize
"1. ગણતરી, 2. ગણતરી",computing
ખ્યાલ,concept
"1.સપ્રમાણતા, 2.સુસંગતતા, 3.સંગતતા",concurrency
"સમવર્તી, સમાન",concurrent
પ્રતિબંધ ચલ,condition variable
પ્રતિબંધિત ઓપરેટર,conditional operator
પ્રતિબંધિત નિવેદન,conditional statement
ડ્રાઈવર,conductor
"1.દૂર પરિષદ, 2.કોન્ફરન્સ",conferencing
ગોપનીયતા,confidentiality
"1.રૂપરેખાંકન, 2.રૂપરેખાંકન",configuration
ભીડ,congestion
સંયોજન,conjunction
કનેક્શન ઝડપ,connect speed
જોડાણ,connection
જોડાણ રહિત સંચાર,connection less communication
જોડાણ પ્રકાશન,connection release
કનેક્ટિવિટી,connectivity
"1.કનેક્ટર, 2.કનેક્ટર",connector
સળંગ,consecutive
ફોલોઅપ,consequent
કન્સોલ,console
એકીકરણ,consolidation
"1. સહયોગી, 2. સતત",constant
સતત સૂચના,constant instruction
પ્રતિબંધિત,constraint
કન્સ્ટ્રક્ટર,constructor
પોટ,container
"1. સમાવિષ્ટો, 2. અવતરણો",content
સંદર્ભ,context
સંદર્ભ મુક્ત વ્યાકરણ (cfg),context free grammar (CFG)
સંદર્ભ સ્વીચ,context switch
"1.આકસ્મિક, 2.આકસ્મિક",contingency
વિસંગતતા,contraction
વિપરીત,contrast
નિયંત્રણ,control
કન્ટેઈનમેન્ટ ઝોન,control area
નિયંત્રણ બીટ,control bit
નિયંત્રક બસ,control bus
નિયંત્રણ કાર્ડ,control card
નિયંત્રણ સર્કિટ,control circuit
નિયંત્રણ ચક્ર,control cycle
"1. કંટ્રોલ એન્જિનિયરિંગ, 2. કંટ્રોલ એન્જિનિયરિંગ",control engineering
નિયંત્રણ કી,control key
નિયંત્રણ તર્ક,control logic
નિયંત્રણ લૂપ,control loop
નિયંત્રણ ચિહ્ન,control mark
નિયંત્રણ કામગીરી,control operation
કંટ્રોલ પેનલ,control panel
નિયંત્રણ સંકેત,control signal
નિયંત્રણ સ્વીચ,control switch
નિયંત્રણ ટેપ,control tape
"1. કંટ્રોલ ટર્મિનલ, 2. કંટ્રોલ ટર્મિનલ",control terminal
"1. નિયંત્રણ એકમ, 2. નિયંત્રણ વિભાગ",control unit (CU)
કન્વર્જન્સ,convergence
સંવાદ,conversation
વાતચીત કૉલ,conversational time sharing
રૂપાંતર,conversion
કન્વર્ટર,converter
કૂકનું પ્રમેય,Cook's theorem
સહ-પ્રોસેસર,co-processor
નકલ,copy
કૉપિરાઇટ,copyright
દોરી,cord
"1.કોર્ડલેસ ટેલિફોન, 2. વાયરલેસ ટેલિફોન, 3. વાયરલેસ ટેલિફોન",cordless telephone
સબથિયોરમ,corollary
સુધારો,correction
"1. બિનઉપયોગી, 2. વિકૃત",corrupted
ગણતરી,count
સ્કોરર,counter
દેશનો કોડ,country code
સહપ્રવૃત્તિ,covariance
"1. કાર્યક્ષેત્ર, 2. પ્રસારણ",coverage
પતન,crash
મુશ્કેલ રસ્તો,critical path
ક્રિટિકલ પાથ મેથડ (CPM),critical path method (CPM)
"1.ક્રોસ ટેસ્ટ, 2.ક્રોસ ટેસ્ટ",cross check
