Telugu,Assamese
ఏంజెలస్,এঞ্জেলছ
అంజివిన్ (=అంజెవిన్),এঞ্জেভিন (=anjevin)
కోణాలు,কোণ
ఆంగ్లికన్,এংলিকান
ఆంగ్లికన్ కమ్యూనియన్,এংলিকান কমিউনিয়ন
ఆంగ్లికనిజం,এংলিকানিজম
ఆంగ్లో-ఫోబ్,এংলো-ফ’ব
ఆంగ్లో-ఫోబియా,এংলো-ফ’বিয়া
ఆంగ్లో-సాక్సన్,এংলো-চেক্সন
ఆంగ్లో-సాక్సోనిజం,এংলো-চেক্সনবাদ
అన్నలిస్ట్,এনালিষ্ট
అన్నల్స్,এনালছ
అనుబంధం,সংলগ্নকৰণ
యాంటీ-బెల్లం,এণ্টে-বেলাম
ముందు తేదీ,এণ্টে তাৰিখ
మత వ్యతిరేకత,কেৰাণীবাদ বিৰোধী
మతాధికారుల వ్యతిరేక చట్టం,কেৰাণী বিৰোধী আইন
ప్రాచీనకాలం,প্ৰাচীনতা
వ్యతిరేక అద్దె,ভাড়া বিৰোধী
వ్యతిరేక అద్దె,ভাড়া বিৰোধী
సెమిటిజం వ్యతిరేకత,চেমিটিজম বিৰোধী
అంజాక్,এঞ্জেক
అపెల్లా,এপেলা
అరలు,আৰালু
ఆర్చ్ బిషప్,আৰ্ক বিচপ
ఆర్చ్ డచీ,আৰ্ক ডাচি
ఆర్చ్ డ్యూక్,আৰ্ক ড্যুক
ఆర్కైఫ్ (=ఆర్కైవల్ సేకరణ),আৰ্কাইফ (=আৰ্কাইভ সংগ্ৰহ)
ఆర్కిపిస్కోపేట్,আৰ্কিপিস্কোপেট
దొర,অভিজাত শ্ৰেণী
దొర,অভিজাত
కులీన స్నోబరీ,অভিজাত স্নোবৰী
అరిస్టాటిలియన్,এৰিষ্ট&#39;টেলিয়ান
ఆర్మడ,আৰ্মাডা
ఆర్మడ (=ది స్పానిష్ ఆర్మడ),আৰ্মাডা (=স্পেনিছ আৰ্মাডা)
ఆయుధాగాడు (=ఆయుధాకారుడు),আৰ্মৰিষ্ট (=armourist)
కవచం (=కవచం),কৱচ (=কৱচ)
ఆయుధాగాడు,আৰ্মৰিষ্ট
ఆర్యన్,আৰ্য্য
ఆర్యన్,আৰ্য্য
అస్కారి,আস্কৰী
కేటాయించండి,Assignat
అసైజ్ చేయండి,Assize
అసైజ్ చేయండి,Assize
అసైజ్ చేయండి,Assize
అసైజ్ ఆఫ్ ఆర్మ్స్ యాక్ట్,এছাইজ অৱ আৰ্মছ এক্ট
డారీన్ ప్రెజెంట్‌మెంట్ అసైజ్,ডেৰেইন প্ৰেজেণ্টমেণ্টৰ এছাইজ
మోర్ట్ &#39;D&#39; పూర్వీకుల అస్సైజ్,মৰ্ট &#39;ডি&#39; পূৰ্বপুৰুষৰ এছাইজ
అసైజ్ ఆఫ్ నవల డిస్సీసిన్,নভেল ডিচেইচিনৰ এছাইজ
దారుణం,অত্যাচাৰ
దాడి,আক্ৰমণ
ఆలిక్ కౌన్సిల్,অলিক কাউন্সিল
గెడ్డెస్ యొక్క గొడ్డలి (=ది గెడెస్ గొడ్డలి),গেডেছৰ কুঠাৰ (=গেডেছৰ কুঠাৰ)
యాక్సిస్ (=ది రోమ్-బెర్లిన్-టోక్యో యాక్సిస్),অক্ষ (=ৰোম-বাৰ্লিন-টকিঅ&#39; অক্ষ)
బాబిలోన్,বেবিলন
బాబిలోనియన్ బందిఖానా (=బాబిలోనియన్ బందిఖానా),বেবিলনৰ বন্দীত্ব (=বেবিলনৰ বন্দীত্ব)
బచ్చనాల్ భక్తుడు,বচনাল ভক্ত
బచ్చనాలియా,বাচনালিয়া
బ్రహ్మచారి,অবিবাহিত লোক
బాగ్దాద్ ఒప్పందం,বাগদাদ চুক্তি
బాల్కన్ లీగ్,বাল্কন লীগ
బాల్కన్ ఒప్పందం,বাল্কন চুক্তি
బాల్కన్ యుద్ధాలు,বাল্কন যুদ্ধ
బాల్టిక్ ఒప్పందం,বাল্টিক চুক্তি
బందిపోటు,ডাকাত
బాండుంగ్ కాన్ఫరెన్స్,বাণ্ডুং সন্মিলন
బహిష్కరణ,নিৰ্বাসন
బ్యానర్,বেনাৰ
బార్బేరియన్,বৰ্বৰ
బార్బికన్,বাৰ্বিকান
బార్డోలీ సత్యాగ్రహం,বৰদলৈ সত্যাগ্ৰহ
బార్న్ బర్నర్స్,বাৰ্ন বাৰ্নাৰ্ছ
బారన్,বেৰন
బారోనేజ్,বেৰনেজ
బారోన్స్ మేజర్లు,বেৰনছ মেজৰ
బారోన్స్ మైనర్లు,বেৰনেছ নাবালক
బారోనెస్,বেৰনেছ
బారోనెట్,বেৰনেট
బారోనెటేజ్,বেৰনেটেজ
బారోనెటేజ్,বেৰনেটেজ
బారోనెట్సీ,বেৰনেটচি
బారోనీ,বেৰনি
బారకూన్,বেৰাকুন
బారకూన్,বেৰাকুন
బారికేడ్ (=బారికాడో),বেৰিকেড (=barricade)
బారికేడ్ (=బారికాడో),বেৰিকেড (=barricade)
బారికేడ్ (=బారికాడో),বেৰিকেড (=barricade)
మూల శిబిరం,বেচ কেম্প
బసిలికా,বেচিলিকা
బసిలికా,বেচিলিকা
బస్తీలా,বাষ্টিলা
బాస్టిల్,বেষ্টিল
బాస్టిల్,বেষ্টিল
బ్యాటరీ,বেটাৰি
యుద్ధం,যুদ্ধ
బాటిల్-అరే,বাটলে-এৰে
యుద్ధానికి వెళ్ళే సైనికులు చేసే నినాదాలు,যুদ্ধৰ চিঞৰ
బాటిల్ డిన్,যুদ্ধৰ ডিন
యుద్ధ క్షేత్రం,যুদ্ধক্ষেত্ৰ
యుద్ధ శ్లోకం,যুদ্ধ গীত
స్పర్స్ యుద్ధం,স্পাৰ্ছৰ যুদ্ধ
స్టాండర్డ్ యుద్ధం,ষ্টেণ্ডাৰ্ডৰ যুদ্ধ
యుద్ధనౌక,যুদ্ধজাহাজ
యుద్ధనౌక-బలం,যুদ্ধজাহাজ-শক্তি
Bayeux వస్త్రం,Bayeux টেপেষ্ট্ৰি
బెకన్,বিকন
బెకన్ టవర్,বিকন টাৱাৰ
బీవర్,বিভাৰ
బీవర్,বিভাৰ
సముద్రపు బిచ్చగాళ్ళు,সাগৰৰ ভিক্ষাৰী
బెల్లికోస్,বেলিকোজ
బెల్లికోస్,বেলিকোজ
బెల్లికోస్,বেলিকোজ
బెల్లికోసిటీ,বেলিকোচিটি
బెలోనా,বেলোনা
ప్రయోజనం,বেনিফিচ
మతపెద్దల వల్ల ప్రయోజనం,ধৰ্মগুৰুসকলৰ লাভ
బెనెలక్స్,বেনেলাক্স
బెర్లిన్ డిక్రీ,বাৰ্লিন ডিক্রী
బెర్సెర్కర్,Berserker
బెసెంట్ (=బెజాంట్),Besant (=বেজান্ট)
బేతేలు,বেথেল
గ్రంథకర్త,বিব্লিঅ&#39;লেটাৰ
గ్రంథారాధన,গ্ৰন্থবিজ্ঞান
బిగ్ బెర్తా,বিগ বাৰ্থা
మతోన్మాదుడు,কুসংস্কাৰ
బిల్లేటింగ్,বিলেটিং
అటెయిండర్ బిల్లు,বিল অৱ এটেইণ্ডাৰ
హక్కుల చట్టం,অধিকাৰৰ বিল
జీవిత చరిత్ర రచయిత,জীৱনীকাৰ
జన్మ కథలు,জন্মৰ কাহিনী
తాత్కాలిక శిబిరం,বিভক
తాత్కాలిక శిబిరం,বিভক
తాత్కాలిక శిబిరం,বিভক
బిజోనియా,বিজোনিয়া
బ్లాక్ బర్డింగ్,ক&#39;লা চৰাই চোৱা
నల్ల జండా,ক&#39;লা পতাকা
కృష్ణ బిలం,ব্লেক হোল
కృష్ణ బిలం,ব্লেক হোল
నల్ల కాలు (=స్కాబ్),ক&#39;লা ভৰি (=scab)
నల్ల చొక్కా,ক&#39;লা চাৰ্ট
బ్లజోన్,ব্লেজন
బ్లజోన్,ব্লেজন
బ్లేజోన్రీ,ব্লেজনাৰী
బ్లజోన్రీ,ব্লেজনাৰী
బ్లిట్జ్‌క్రీగ్,ব্লিটজক্ৰিগ
రక్తరహిత విప్లవం (=గ్లోరియస్ రివల్యూషన్),ৰক্তহীন বিপ্লৱ (=গৌৰৱময় বিপ্লৱ)
బ్లడ్వైట్,ব্লাডৱাইট
బ్లడీ మేరీ,ব্লাডি মেৰী
నీలం,নীলা
నీలం రక్తం,নীলা তেজ
నీలి పుస్తకం,নীলা কিতাপ
నీలం రంగు రిబ్బన్,নীলা ফিতা
నీలం రంగు రిబ్బన్,নীলা ফিতা
బ్లూస్ (=రాయల్ హార్స్ గార్డ్స్),ব্লুজ (=ৰয়েল হৰ্চ গাৰ্ড)
నీలం చొక్కా,নীলা চাৰ্ট
బ్లూ వాటర్ స్కూల్,ব্লু ৱাটাৰ স্কুল
బోర్డ్ ఆఫ్ కంట్రోల్,নিয়ন্ত্ৰণ ব’ৰ্ড
శరీర కవచం,শৰীৰৰ কৱচ
బోయర్,ব&#39;ৰ
దోపిడి,লুটপাত
బరో,বৰো
బౌల్యూటేరియన్,Bouleuterion
బోర్బన్,বোৰ্বন
బాక్సర్ తిరుగుబాటు,বক্সাৰ বিদ্ৰোহ
బ్రేస్,ব্ৰেচ
బ్రాస్సార్డ్,ব্ৰাছাৰ্ড
బ్రాస్సార్డ్,ব্ৰাছাৰ্ড
బ్రెడ్ కాలనీలు,ব্ৰেড কলনী
బ్రెస్ట్ ప్లేట్,ব্ৰেষ্ট প্লেট
రొమ్ము పని,স্তনৰ কাম
బ్రెట్వాల్డా,ব্ৰেটৱাল্ডা
బ్రిగాండ్,ব্ৰিগাণ্ড
బ్రిగేండేజ్,ব্ৰিগেণ্ডেজ
బ్రిటిష్ కామన్వెల్త్ ఆఫ్ నేషన్స్,ব্ৰিটিছ কমনৱেলথ অৱ নেচনছ
బ్రౌన్ షర్ట్స్ (=నాజీలు),ব্ৰাউন চাৰ্ট (=নাজী)
బ్రస్సెల్స్ ట్రీటీ (పాక్ట్) సంస్థ (=వెస్ట్రన్ యూరోపియన్ యూనియన్),ব্ৰাছেলছ সন্ধি (পেক্ট) সংগঠন (=পশ্চিম ইউৰোপীয় সংঘ)
యెదురు,বাফ
యెదురు,বাফ
బఫ్-కోటు,বাফ-কোট
బఫ్స్,বাফছ
బులే (=మండలి),বুলে (=পৰিষদ)
బర్గేజ్,বাৰ্গেজ
బర్గెస్,বাৰ্জেছ
బైజాంటైన్,বাইজেন্টাইন
బైజాంటైన్ చర్చి,বাইজেন্টাইন গীৰ্জা
బైజాంటైన్ సామ్రాజ్యం,বাইজেন্টাইন সাম্ৰাজ্য
బైజాంటైన్ యుగం,বাইজেন্টাইন যুগ
బైజాంటైన్ చరిత్రకారులు,বাইজেন্টাইন ইতিহাসবিদ
కాబాల్,কেবাল
సీజరిజం,ছিজাৰীজম
ఖలీఫ్,খলিফা
కాలిగ్రాఫర్,কেলিগ্ৰাফাৰ
కాలిగ్రాఫిస్ట్,কেলিগ্ৰাফিষ্ট
కాలిగ్రఫీ,কেলিগ্ৰাফী
కాల్ట్రాప్,কেলট্ৰপ
సాహచర్యం,সতীৰ্থতা
కమరిల్లా,কেমাৰিলা
కమరిల్లా,কেমাৰিলা
కామెలాకమ్,কেমেলাকম
మభ్యపెట్టడం,ছদ্মবেশ
ప్రచారం,অভিযান
క్యాంపు అనుచరుడు,কেম্প অনুগামী
కాంపో శాంటో,কেম্পো ছান্টো
క్యాంపస్ మార్టియస్,কেম্পাছ মাৰ্চিয়াছ
కనెఫోరా,কেনেফোৰা
కంగు,কেংগু
ఫిరంగి,কেননেড
ఫిరంగి మేత,কামানৰ ঘাঁহ
కానన్,কেনন
కానన్ చట్టం,কেনন আইন
కానోపస్ డిక్రీ,কেন&#39;পাছৰ ডিক্রী
ఆయుధాలు పట్టుకోవడం,কেনটিং আৰ্মছ
బందీ,বন্দী
కాప్టర్,বন্দী
కార్డినల్,কাৰ্ডিনেল
కార్ల్,কাৰ্ল
కరోలింగియన్ రాజవంశం,কেৰ&#39;লিঞ্জিয়ান বংশ
కార్తుసియన్ శాఖ,কাৰ্থুছিয়ান পন্থা
కార్టోసా,কাৰ্টোছা
కాస్టేలియన్,কেষ্টেলিয়ান
కాస్టేలియన్,কেষ্টেলিয়ান
కుల వ్యవస్థ,জাতি ব্যৱস্থা
కోట,দুৰ্গ
కోట,দুৰ্গ
కోట పట్టణం,কেছল টাউন
కాస్ట్రా,কাষ্ট্ৰা
కాస్ట్రా,কাষ্ট্ৰা
కేథడ్రా,কেথেড্ৰা
కేథడ్రల్,কেথেড্ৰেল
కాటో స్ట్రీట్ కుట్ర,কেটো ষ্ট্ৰীটৰ ষড়যন্ত্ৰ
కౌడిల్లో,কৌডিলো
కావలీర్,কেভেলিয়াৰ
కావలీర్,কেভেলিয়াৰ
కావలీర్ పార్లమెంట్,কেভেলিয়াৰ সংসদ
అదుల్లాం గుహ,আদুল্লামৰ গুহা
గుహ పెయింటింగ్,গুহা চিত্ৰকলা
గుహ పెయింటింగ్,গুহা চিত্ৰকলা
సెంటంవిర్,চেণ্টুমভিৰ
సెంచూరియన్,চেঞ্চুৰিয়ান
సెంచరీ,শতিকা
చైన్ ఆర్మర్ (=చైన్ మెయిల్),চেইন আৰ্মৰ (=চেইন মেইল)
చాంట్రీ,চান্ট্ৰী
చాంట్రీ,চান্ট্ৰী
చాప్ పుస్తకం,চ্যাপ কিতাপ
చాప్లిన్,চেপলিন
అధ్యాయం,অধ্যায়
ప్రమాదాల అధ్యాయం,দুৰ্ঘটনাৰ অধ্যায়
ఆరోపణ,চাৰ্জ
ఛార్జ్ డి&#39;ఎఫైర్స్,চাৰ্জ ডি এফেয়াৰ্ছ
ఛార్జ్ విడిపోవడం,চাৰ্জ পাৰ্টিং
ఛార్జర్,চাৰ্জাৰ
రథము,ৰথ
రథసారధి,ৰথী
రథసారధి,ৰথী
రథసారధి,ৰথী
ఛారిటీ వంటగది,চেৰিটি কিচেন
చార్టర్,চনদ
చార్టిస్ట్ ఉద్యమం (=చార్టిజం),চাৰ্টিষ্ট আন্দোলন (=চাৰ্টিষ্ট)
చార్టోఫిలాసియం,চাৰ্ট’ফাইলেচিয়াম
చాటౌ,চেট&#39;
చెక్ పోస్ట్,পোষ্ট চেক কৰক
రసాయన యుద్ధం,ৰাসায়নিক যুদ্ধ
చెస్టర్,চেষ্টাৰ
చీఫ్,প্ৰধান
అధిపతి,মুখীয়াল
అధిపతి,মুখীয়াল
అధిపతి,মুখীয়াল
షిఫాన్,চিফন
శూరత్వం,অশ্বাৰোহীতা
ఎంచుకున్న వ్యక్తులు,নিৰ্বাচিত লোকসকল
క్రిస్మోగ్రఫీ,ক্ৰীছমোগ্ৰাফী
క్రైస్తవమత సామ్రాజ్యం,খ্ৰীষ্টান ধৰ্ম
క్రైస్తవ యుగం,খ্ৰীষ্টান যুগ
క్రిస్టియన్ సోషలిజం,খ্ৰীষ্টান সমাজবাদ
క్రానికల్,ক্ৰনিকল
క్రానికల్,ক্ৰনিকলাৰ
Chryse Chersonese,ক্ৰাইজ চেৰ্চোনিজ
సిమిలియం,চিমেলিয়াম
సింక్వెసెంటో స్టైల్,Cinquecento শৈলী
ప్రదక్షిణ,প্ৰদক্ষিণ
సిస్టెర్సియన్ సన్యాసి,চিষ্টাৰচিয়ান সন্ন্যাসী
కోట,দুৰ্গ
అనులేఖనం,উদ্ধৃতি
అనులేఖనం,উদ্ধৃতি
శాసన ఉల్లంఘన,নাগৰিক অবাধ্যতা
పౌర యుద్ధం,গৃহযুদ্ধ
సివిస్ రోమనస్,চিভিছ ৰোমানাছ
సాంప్రదాయ వయస్సు,ধ্ৰুপদী যুগ
క్లెఫ్ట్ (=క్లెఫ్ట్),ক্লেফ্ট (=klepht)
మతాధికారం,কেৰাণীবাদ
క్లర్చ్,ক্লাৰুচ
క్లినియాక్ ఉద్యమం,ক্লুনিয়াক আন্দোলন
కోటు కవచం,কোট কৱচ
కోట్ ఆఫ్ ఆర్మ్స్,কোট অৱ আৰ্মছ
కోట్ ఆఫ్ ఆర్మ్స్,কোট অৱ আৰ্মছ
కోట్ ఆఫ్ ఆర్మ్స్,কোট অৱ আৰ্মছ
కోట్ ఆఫ్ మెయిల్,কোট অৱ মেইল
కోహోర్ట్,কোহৰ্ট
కమిటియా,কমিটিয়া
కమిటియా సెంచురియాటా,কমিটিয়া চেঞ্চুৰিয়াটা
కమిటియా క్యూరియాటా,কমিটিয়া কুৰিয়াটা
కమిటియా ట్రిబ్యూటా,কমিটিয়া ট্ৰিবুটা
స్మారక వంపు,স্মৃতিচাৰণ তোৰণ
స్మారక నాణెం,স্মৃতিচাৰণ মুদ্ৰা
స్మారక ముద్ర,স্মৃতিসৌধ
సాధారణ క్షేత్రం,সাধাৰণ ক্ষেত্ৰ
కమ్యూనార్డ్,কমিউনাৰ্ড
కాంకోర్డాట్,কনকৰ্ডেট
కాంకోర్డాట్,কনকৰ্ডেট
కండోటియర్,কণ্ডোটিয়েৰ
నిర్ధారణ కార్టరమ్,নিশ্চিতকৰণ Cartarum
సంఘర్షణ,বিবাদ
సభ,মণ্ডলী
రాష్ట్రాన్ని జయించడం,বিজয়ী ৰাষ্ট্ৰ
విజేత,বিজয়ী
విజేత,কনকিষ্টাডৰ
కన్సిలియం,কনচিলিয়াম
క్రమబద్ధమైన,কনচিষ্টৰী
కుట్ర,ষড়যন্ত্ৰ
కుట్ర,ষড়যন্ত্ৰ
కాన్సులేట్,কনছুলেট
సలహా పుస్తకం,কনছুলেচন কিতাপ
ఖండాంతర వ్యవస్థ,মহাদেশীয় ব্যৱস্থা
కన్వెన్షన్ పార్లమెంట్,অধিৱেশন সংসদ
కాపర్ హెడ్స్ (=శాంతి ప్రజాస్వామ్యవాదులు),কপাৰহেড (=শান্তি গণতন্ত্ৰ)
కాపీహోల్డ్,কপিহ&#39;ল্ড
కార్డనింగ్,ঘেৰাও কৰা
కరోనా,কৰ&#39;না
పట్టాభిషేకం,ৰাজ অভিষেক
పట్టాభిషేక రాయి,ৰাজ অভিষেক শিল
కార్పస్,কৰ্পাছ
కోర్సెయిర్,কৰ্চেয়াৰ
కోర్సెయిర్,কৰ্চেয়াৰ
కార్సెట్ (=కోర్సెలెట్),কৰ্চেট (=কোৰ্চলেট)
కోర్టెస్,কৰ্টেছ
కోటార్ (=కోటియర్),কোটাৰ (=cottier)
కోటార్ (=కోటియర్),কোটাৰ (=cottier)
కౌంట్ పాలటినేట్,কাউন্ট পেলেটিনেট
పూరిల్లు,দেশৰ ঘৰ
కౌంటీ,কাউন্টি
కౌంటీ బరో,কাউন্টি বৰো
కౌంటీ కోర్టులు,কাউন্টি আদালত
కౌంటీ పాలటైన్,কাউন্টি পেলেটিন
కోర్టు,আদালত
కోర్టు,আদালত
కోర్టు సర్క్యులర్,আদালতৰ চক্ৰান্তমূলক
కోర్టు మర్యాదలు,আদালতৰ শিষ্টাচাৰ
సభికుడు,কৰ্টিয়াৰ
కోర్ట్ ఆఫ్ కాసేషన్,কেচেচনৰ আদালত
కోర్ట్ ఆఫ్ డైరెక్టర్స్ (EIC),সঞ্চালক আদালত (EIC)
యాజమాన్యాల న్యాయస్థానం,মালিকৰ আদালত
ఆస్థాన కవి,আদালতৰ কবি
ఒప్పందం చేసుకున్న కామెరోనియన్లు,চুক্তিবদ্ধ কেমেৰনিয়ানসকল
కిరీటం,মুকুট
కిరీటం,মুকুট
కిరీటం,মুকুট
కిరీటం భూమి,মুকুটৰ ভূমি
కిరీటం భూమి,মুকুটৰ ভূমি
క్రౌన్ ప్రిన్స్,ক্ৰাউন প্ৰিন্স
క్రూసేడ్,ক্ৰুছেড
క్రూసేడర్,ক্ৰুছেডাৰ
క్రిప్టోగ్రామ్,ক্ৰিপ্টোগ্ৰাম
క్యూరాస్,কুইৰাছ
క్యూరాసియర్,কুইৰাচিয়াৰ
కల్ట్ దేవత,কাল্ট দেৱতা
క్యూరియా,কুৰিয়া
క్యూరియా,কুৰিয়া
జారిజం,জাৰবাদ
చీకటి ఖండం,অন্ধকাৰ মহাদেশ
తీర్పు రోజు,বিচাৰৰ দিন
తీర్పు రోజు,বিচাৰৰ দিন
డీన్,ডিন
దశాబ్దం,দশক
డెనారియస్,ডেনাৰিয়াছ
పదవీచ్యుతుడైన చక్రవర్తి,পদচ্যুত ৰজা
పాడుచేయు,লুটপাত কৰা
చెడిపోవడం,লুণ্ঠন
సింహాసనాన్ని తొలగించు,ডিথ্ৰন
డయాడెమ్,ডায়েডেম
డయాడెమ్,ডায়েডেম
డయాడెమ్,ডায়েডেম
డయాసియా,ডায়েচিয়া
డికాస్టీరియం,ডিকাষ্টেৰিয়াম
డైలువియలిస్ట్,ডিলুভিয়ালিষ্ট
డియోసెస్,ডাইচ
డియోసెస్,ডাইচ
డైరెక్టరీ (=డైరెక్టరీ),ডাইৰেক্টৰ (=নিৰ্দেশনা)
డైరెక్టరీ (=డైరెక్టరీ),ডাইৰেক্টৰ (=নিৰ্দেশনা)
దిర్హమ్,দিৰহাম
నమ్మకద్రోహం,অবিশ্বাসী
నమ్మకద్రోహం,অবিশ্বাসী
లోపము యొక్క సిద్ధాంతము,লেপছৰ মতবাদ
పత్రం,নথিপত্ৰ
డాక్యుమెంటరీ సాక్ష్యం,নথিপত্ৰৰ প্ৰমাণ
డోమ్స్‌డే బుక్,ডমছডে বুক
కాన్స్టాంటైన్ విరాళం,কনষ্টেণ্টাইনৰ দান
డూమ్,ডুম
వరవరపు రాణి,বিধৱা ৰাণী
డ్రాగన్,ড্ৰেগুন
డ్రోమెడిరియన్,ড্ৰ&#39;মেডাৰিয়ান
డ్రోమెడరీ,ড্ৰমেডাৰী
డ్రోమండ్,ড্ৰমণ্ড
ద్వంద్వ,দ্বৈত
ద్వంద్వ కూటమి,দ্বৈত মিত্ৰতা
ద్వంద్వ ఉద్దేశం,ডুৱেল এণ্টেণ্ট
ద్వంద్వ వ్యవస్థ (=ద్వంద్వ ప్రభుత్వం),দ্বৈত ব্যৱস্থা (=দ্বিতীয় চৰকাৰ)
డ్యూక్,ড্যুক
డూమా,ডুমা
వామన అవతారం,বামন অৱতাৰ
రాజవంశం,বংশ
రాజవంశం,বংশ
డేగ,ঈগল
పెద్ద మనిషి,এলডাৰ মানুহ
ఎర్ల్,আৰ্ল
ఎర్ల్డమ్,আৰ্লডম
తొలి గుప్తులు,আদিম গুপ্তাসকল
ప్రారంభ (చారిత్రక) సైట్లు,প্ৰাথমিক (ঐতিহাসিক) স্থান
ప్రారంభ వేద కాలం,প্ৰাথমিক বৈদিক যুগ
ఎక్లేసియా,ইক্লেছিয়া
పునరుద్ధరణ శాసనం,পুনৰুদ্ধাৰৰ আদেশ
ఎనిమిది రెట్లు మార్గం,আঠ ভাঁজ পথ
పెద్దలు,বয়োজ্যেষ্ঠসকল
పెద్ద రాజనీతిజ్ఞుడు (=జెన్రో),জ্যেষ্ঠ ৰাষ্ট্ৰনেতা (=genro)
ఏనుగు మేడ,হাতী গোড
పదకొండు సంవత్సరాల నిరంకుశత్వం,এঘাৰ বছৰৰ অত্যাচাৰ
ఎలిసే (=ఎలీసీ),এলিছাই (=এলিচি)
ఎన్‌క్లోజర్ ఉద్యమం,ঘেৰাও আন্দোলন
ఎన్సైక్లికల్,এনচাইক্লিকেল
ఎన్సైక్లోపెడిస్ట్ ఉద్యమం,বিশ্বকোষবাদী আন্দোলন
ఎంటెంటే,এন্টেন্টে
ఎంటెంటే కార్డియాల్,এন্টেন্টে কৰ্ডিয়েল
సింహాసనం,এনথ্ৰন
పరివారం,এনট্যুৰেজ
ఎఫోడ్,ইফোদ
ఎఫోర్,এফোৰ
పురాణ యుగం,মহাকাব্যিক যুগ
పురాణ వీరుడు,মহাকাব্যিক নায়ক
ఎపిగ్రాఫ్,এপিগ্ৰাফ
ఎపిస్కోపసీ,এপিস্কোপেচি
ఎపిస్కోపేట్,এপিস্কোপেট
ఎపిసోడ్,খণ্ড
యుగం,যুগ
