Marathi,Assamese
"1. अॅनालॉग उपकरण, 2. अॅनालॉग डिव्हाइस","1. এনালগ ডিভাইচ, 2. এনালগ ডিভাইচ"
"1. अॅनालॉग मॉडेम, 2. अॅनालॉग मॉडेम","1. এনালগ মডেম, 2. এনালগ মডেম"
अॅनालॉग ते डिजिटल कन्व्हर्टर,এনালগ টু ডিজিটেল কনভাৰ্টাৰ
शेवट (डिजिटल/प्लेन लॉजिक &#39;आणि&#39; वापरलेले),শেষ (ডিজিটেল/প্লেন লজিক &#39;আৰু&#39; ব্যৱহৃত)
एंड सर्किट,শেষ বৰ্তনী
शेवटचे गेट आणि गेट,শেষৰ গেট আৰু গেট
आणि ऑपरेशन नाही (वगळणे),অপাৰেচন শেষ নহয় (বৰ্জন)
"1. अॅनिमेशन, 2. कंपन","১.এনিমেচন, ২.কম্পন"
नोंद,দ্ৰষ্টব্য
विसंगती,অসামঞ্জস্যতা
मागील,পূৰ্ৱবৰ্তী
आगाऊ पेजिंग,প্ৰত্যাশিত পেজিং
काउंटर-सिमेट्रिक,প্ৰতি-সমমিতিক
अँटीव्हायरल प्रोग्राम,এন্টিভাইৰেল প্ৰগ্ৰেম
"1. ऍपलेट, 2. अर्ज","১.এপলেট, ২. দৰ্খাস্ত"
अनुप्रयोग विकसक,এপ্লিকেচন ডেভেলপাৰ
अनुप्रयोग प्रोग्रामिंग,এপ্লিকেচন প্ৰগ্ৰেমিং
"1. ऍप्लिकेशन प्रोग्रामिंग इंटरफेस, 2. ऍप्लिकेशन प्रोग्रामिंग इंटरफेस (API)","1. এপ্লিকেচন প্ৰগ্ৰামিং আন্তঃপৃষ্ঠ, 2. এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)"
अनुप्रयोग सॉफ्टवेअर,এপ্লিকেচন চফ্টৱেৰ
अनुप्रयोग भाषा,আবেদন ভাষা
अंदाजे तत्त्व,আনুমানিক নীতি
रचना,গাঁঠনি
फील्ड हस्तांतरण,ক্ষেত্ৰ স্থানান্তৰ
"1. पॅरामीटर, स्वतंत्र चल, 2. कोन","1. প্ৰাচল, স্বাধীন চলক, 2. কোণ"
"1. अंकगणित आणि तर्कशास्त्र एकक, 2. अंकगणित आणि तर्कशास्त्र एकक","1. গাণিতিক আৰু যুক্তি একক, 2. গাণিতিক আৰু যুক্তি একক"
अंकगणित तपासणी,গাণিতিক পৰীক্ষা
अंकगणित स्थिरांक,গাণিতিক ধ্ৰুৱক
अंकगणित डेटा,গাণিতিক তথ্য
अंकगणित सूचना,গাণিতিক নিৰ্দেশনা
गणिती आणि तार्किक एकक (ALU),গাণিতিক আৰু যুক্তিসংগত একক (ALU)
ARPA नेट (RPNet),ARPA নেট (RPNet)
रचना,এৰে
"1. अॅरे कॅशे, 2. अॅरे गती, 3. अॅरे मेमरी","1. এৰে কেচ, 2. এৰেৰ গতি, ৩. এৰে মেমৰি"
अॅरे संगणक,এৰে কম্পিউটাৰ
अॅरे घटक,এৰে উপাদান
अॅरे नाव,এৰেৰ নাম
अॅरे प्रोसेसर,এৰে প্ৰচেছৰ
बाण की,কাঁড় চিহ্ন
करार,সন্ধি
जंक्शन पॉइंट,জংচন পইণ্ট
कृत्रिम कॉम्पॅक्शन,কৃত্ৰিম সংকোচন
कृत्रिम नियंत्रण,কৃত্ৰিম নিয়ন্ত্ৰণ
कृत्रिम भावना,কৃত্ৰিম ইন্দ্ৰিয়
माउंट,মাউন্ট
चढत्या क्रमवारी,আৰোহী সজাই পৰাই তোলা
ascii वर्णमाला,ascii বৰ্ণমালা
ascii नियंत्रण चिन्ह,ascii নিয়ন্ত্ৰণ চিহ্ন
ascii फाइल,ascii ফাইল
ascii फॉन्ट,ascii ফন্ট
ASCII हस्तांतरण,ASCII স্থানান্তৰ
प्रसर गुणोत्तर,এস্পেক্ট ৰেচিঅ&#39;
"1. एस्पी, 2. एएसपीआय","১.এছপি, ২. এ এছ পি আই"
ए एस आर कलाड,এ এছ আৰ কালাদ
"1. स्मरण, 2. एकत्र करणे, 3. एकत्र करणे","১/ স্মৰণ, ২। একত্ৰিত কৰা, ৩. একত্ৰিত কৰা"
"1. असेंबलर, 2. स्मरणपत्र","১.সমাবেশকাৰী, ২. স্মাৰক"
"1. एकत्र करणे, 2. आठवण","1. একত্ৰিত কৰা, ২. স্মৃতি"
"1. लक्षात ठेवण्याची भाषा, 2. भाषा एकत्र करणे","১/ মুখস্থ কৰা ভাষা, ২. ভাষা একত্ৰিত কৰা"
निर्धार,সংকল্প
"1. निर्दिष्ट कार्य, 2. वाटप","1. নিৰ্দিষ্ট কাম, 2. আবণ্টন"
सहवास,সংগীত্ব
सहयोगी पत्ता,সহযোগী ঠিকনা
"1. सहयोगी स्मृती, 2. सहयोगी स्मृती","১.সংগত স্মৃতি, ২. সহযোগী স্মৃতিশক্তি"
तारका (* चिन्ह),তাৰকা চিহ্ন (* চিহ্ন)
असममित,অসমতাপূৰ্ণ
"1. असिंक्रोनस, 2. असिंक्रोनस","1. এচিনক্ৰ&#39;নাছ, 2. এচিনক্ৰ&#39;নাছ"
असिंक्रोनस डिजिटल सबस्क्राइबर लाइन (ADSL),এচিনক্ৰ&#39;নাছ ডিজিটেল গ্ৰাহক লাইন (ADSL)
असिंक्रोनस टाइम डिव्हिजन मल्टीप्लेक्सिंग (ATDM),এচিংক্ৰ&#39;নাছ সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM)
असिंक्रोनस हस्तांतरण,এচিনক্ৰ&#39;নাছ স্থানান্তৰ
असिंक्रोनस ट्रान्सफर मोड (ATM),এচিংক্ৰ&#39;নাছ ট্ৰেন্সফাৰ মোড (ATM)
"1. अणू, 2. परमान","১.পৰমাণু, ২. পৰমণ"
संलग्न दस्तऐवज,সংলগ্ন নথিপত্ৰ
"1. संलग्न फाइल/ मिसाइल, 2. संलग्न फाइल","1. সংলগ্ন ফাইল/মিছিল, 2. সংলগ্ন ফাইল"
"1. संलग्नक, 2. संलग्न","১.আৱৰণ, ২. সংযুক্ত"
"1. गुणधर्म, 2. खासियत","১.গুণ, ২. বৈশিষ্ট্য"
ऐकण्यायोग्य,শ্ৰৱণযোগ্য
"1. ऑडिट प्रोग्रामिंग, 2. ऑडिट प्रोग्रामिंग","1. অডিট প্ৰগ্ৰেমিং, 2. অডিট প্ৰগ্ৰেমিং"
खाते सत्यापन,একাউণ্ট পৰীক্ষণ
जाहिरात,প্ৰচাৰ
प्रमाणन प्रोटोकॉल,প্ৰমাণীকৰণ প্ৰট&#39;কল
लेखन पद्धत,লেখক পদ্ধতি
"1. प्राधिकरण, 2. अधिकार, 3. न्यायाधिकरण","১.কৰ্তৃত্ব, ২. কৰ্তৃত্ব, ৩. ন্যায়াধিকৰণ"
स्वयं गोषवारा,অটো বিমূৰ্ত
"1. ऑटो बूटिंग, 2. स्वत: बूट","1. স্বয়ংক্ৰিয় বুটিং, 2. self বুট"
ऑटोकॅड (संगणक भाषा),AutoCAD (এটা কম্পিউটাৰ ভাষা)
ऑटो लॉग-ऑन,স্বয়ংক্ৰিয় লগ-অন
स्वयंचलित,automata
ऑटोमेटा सिद्धांत,automata তত্ত্ব
स्वयंचलित गणना,স্বয়ংক্ৰিয় গণনা
स्वयंचलित डेटा प्रक्रिया,স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ
स्वयंचलित त्रुटी सुधारणा,স্বয়ংক্ৰিয় ভুল সংশোধন
स्वयं कार्य,অটো ফাংচন
"1. स्वयंचलित अनुक्रमणिका, 2. स्वयंचलित सूची","1. স্বয়ংক্ৰিয় সূচীভুক্তকৰণ, 2. স্বয়ংক্ৰিয় তালিকাভুক্তকৰণ"
स्वयं-संग्रह कॉल,অটো-সংগ্ৰহ কল
"1. स्वयंचलित प्रोग्रामिंग, 2. स्वयंचलित प्रोग्रामिंग","1. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং, 2. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং"
"1. स्वयंचलित पुनर्प्राप्ती कार्यक्रम, 2. स्वयंचलित पुनर्प्राप्ती कार्यक्रम","1. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম, 2. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম"
स्वयं दिनचर्या,অটো ৰুটিন
स्वयंचलित प्रणाली पुनर्प्राप्ती,স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ
"1. ऑटोमॅटिक टेलर मशिन्स (ATM), 2. स्वत: पैसे काढण्यासाठी बँक एटीएम","১/ স্বয়ংক্ৰিয় টেলাৰ মেচিন (এটিএম), ২. স্বয়ং উলিওৱাৰ বাবে বেংকৰ ATM"
ऑटोमेशन,অটোমেচন
"1. ऑटोप्ले , 2. ऑटो चालणे","1. অটোপ্লে, 2. অটো ৱাক"
स्वर,কণ্ঠদান
सहाय्यक,সহায়ক
सहाय्यक मेमरी,সহায়ক স্মৃতিশক্তি
सहायक स्टोरेज,সহায়ক সংৰক্ষণ
उपलब्ध यादी,উপলব্ধ তালিকা
उपलब्ध वेळ,উপলব্ধ সময়
सरासरी,গড়
AWK (संगणक कमांड),AWK (এটা কম্পিউটাৰ কমাণ্ড)
नंतर,পাছত
पोस्ट प्रोसेसर,পোষ্ট প্ৰচেছৰ
पोस्टरियर फंक्शन हटवणे,পশ্চাৎ কাৰ্য্য বিলোপন
पार्श्वभूमी प्रक्रिया,পটভূমি প্ৰক্ৰিয়াকৰণ
सहायक स्टोअर्स,আনুষংগিক দোকানসমূহ
बॅक पॅचिंग,বেক পেচিং
"1. पश्चिम, 2. बॅकस्पेस","১.পশ্চিম, ২. বেকস্পেচ"
बॅकट्रॅकिंग,পিছুৱাই যোৱা
"1. बॅक-अप, 2. प्रतिपूर्ती","1. বেক-আপ, 2. ৰিইম্বৰ্চেমেণ্ট"
"1. पूरक स्मृती, 2. बॅकअप मेमरी","১/ পৰিপূৰক স্মৃতিশক্তি, ২. বেক-আপ মেমৰি"
परत त्रुटी सुधारणा,পিছলৈ ভুল সংশোধন
(उत्पन्न-खर्च) ताळेबंद,(আয়-ব্যয়) বেলেন্স শ্বীট
मलमपट्टी,পট্টি
"1. बँड रुंदी, 2. बँडविड्थ/क्षमता","১.বেণ্ড প্ৰস্থ, ২. বেণ্ডউইডথ/ক্ষমতা"
बँकरचा अल्गोरिदम,বেংকাৰৰ এলগৰিদম
"1. बार कोड, 2. बार कोड","1. বাৰ ক&#39;ড, 2. বাৰ ক&#39;ড"
बारकोड स्कॅनर,বাৰক&#39;ড স্ক্যানাৰ
बार आलेख,বাৰ গ্ৰাফ
मूळ पत्ता,ভিত্তি ঠিকনা
बेस बँड,বেচ বেণ্ড
आधार क्रमांक,আধাৰ নম্বৰ
बेस टेबल,ভিত্তি টেবুল
बेसिक (संगणक भाषा),মূল (এটা কম্পিউটাৰ ভাষা)
"1. मूलभूत नियंत्रण, 2. बेस नियंत्रण","1. মূল নিয়ন্ত্ৰণ, 2. ভিত্তি নিয়ন্ত্ৰণ"
"1. मूळ गुंतवणूक, 2. मूळ गुंतवणूक","১/ মূল বিনিয়োগ, ২. ভিত্তি বিনিয়োগ"
मूलभूत सूचना,মূল নিৰ্দেশনা
मूळ समस्या,ভিত্তি বিষয়
मूलभूत टप्पा,মূল পৰ্যায়
"1. बॅच, 2. गट, 3. आपत्ती","১.বেচ, ২. গোট, ৩. বিপৰ্যয়"
"1. बॅच फाइल, 2. बॅच फाइल","1. বেচ ফাইল, 2. বেচ ফাইল"
बॅच स्थिती,বেচৰ অৱস্থা
"1. बॅच प्रोसेसिंग, 2. गट प्रक्रिया","১.বেচ প্ৰচেছিং, ২. গ্ৰুপ প্ৰচেছিং"
"1. बॅच सिस्टम, 2. कॅटपल्ट प्रणाली","1. বেচ ব্যৱস্থা, 2. কেটাপল্ট ব্যৱস্থা"
बॉड,baud
बॉड दर,বড হাৰ
तुळई तुळई,ৰশ্মি ৰশ্মি
"1. मार्गदर्शक तत्त्वे, 2. बॅच मार्क","1. নিৰ্দেশনা, 2. বেচ মাৰ্ক"
द्विदिश संप्रेषण,দ্বিমুখী যোগাযোগ
थेट दुवा,প্ৰত্যক্ষ সংযোগ
बायनरी कोड,বাইনাৰী ক&#39;ড
बायनरी अंक,বাইনাৰী অংক
बायनरी इन्व्हेस्टमेंट आउटपुट सिस्टम (BIOS),বাইনাৰী বিনিয়োগ আউটপুট ব্যৱস্থা (BIOS)
बायनरी संख्या,বাইনাৰী সংখ্যা
बायनरी ऑपरेटर,বাইনাৰী অপাৰেটৰ
बायनरी संबंध,বাইনাৰী সম্পৰ্ক
बायनरी शोध,বাইনাৰী সন্ধান
बायनरी एक्सप्लोरेशन ट्री (BST),বাইনাৰী অন্বেষণ বৃক্ষ (BST)
"1. बायनरी ट्रान्सफर ट्री, 2. बायनरी हस्तांतरण","1. বাইনাৰী স্থানান্তৰ গছ, 2. বাইনাৰী স্থানান্তৰ"
बायनरी झाड,বাইনাৰী গছ
"1. द्विध्रुवीय स्मृती, 2. द्विध्रुवीय स्मृती","১.দ্বিমেৰু স্মৃতিশক্তি, ২. বাইপোলাৰ মেম’ৰী"
"1. जन्म आणि मृत्यू मॉडेल, 2. जन्म मृत्यू मॉडेल","১/ জন্ম আৰু মৃত্যুৰ আৰ্হি, ২. জন্ম মৃত্যুৰ আৰ্হি"
जन्म मृत्यू प्रक्रिया,জন্ম মৃত্যু প্ৰক্ৰিয়া
"1. ड्यूक, 2. बिट","১.ডুয়েক, ২. বিট"
थोडा दोष,বিট দোষ
बिट नकाशा,বিট মেপ
"1. बिट, 2. नकाशा, 3. पिक्सेल (BMP)","1. বিট, 2. মানচিত্ৰ, ৩. পিক্সেল (BMP)"
"1. बिट मॅट्रिक्स, 2. बिट टेबल","1. বিট মেট্ৰিক্স, 2. বিট টেবুল"
बिट नमुना,বিট পেটাৰ্ণ
बिट स्थिती,বিটৰ অৱস্থান
"1. बिट रेट, 2. बिट दर","1. বিট হাৰ, 2. বিট হাৰ"
डोळ्यावर पट्टी चाचणी,চকুত পটি পৰীক্ষা কৰা
चमकणे,shimmer
ब्लॉक,অৱৰুদ্ধ কৰা
"1. ब्लॉक कॅशे, 2. ब्लॉक कॅशे / भाग मेमरी","1. ব্লক কেচ, 2. ব্লক কেচ / চুংক মেমৰি"
ब्लॉक चौकशी,ব্লক প্ৰ&#39;ব
खंड प्रत,ভলিউম কপি
ब्लॉक आकृती,ব্লক ডায়াগ্ৰাম
"1. ब्लॉक केलेले नेटवर्क, 2. ब्लॉक केलेले नेटवर्क","1. ব্লক কৰা নেটৱৰ্ক, 2. ব্লক কৰা নেটৱাৰ্ক"
बोर्ड,ব’ৰ্ড
पृष्ठ मेमरी,পৃষ্ঠাৰ স্মৃতিশক্তি
बुलियन बीजगणित,বুলিয়ান বীজগণিত
बुलियन संबंध,বুলিয়ান সম্পৰ্ক
बूट विभाजन,বুট বিভাজন
बूट strapping,বুট ষ্ট্ৰেপিং
1.बूटस्ट्रॅप लोडर,1.বুটষ্ট্ৰেপ লোডাৰ
"1.ब्रिज, 2.ब्रिज","১.দলং, ২.দলং"
ब्रॉडबँड नेटवर्क,ব্ৰডবেণ্ড নেটৱৰ্ক
प्रसारण,সম্প্ৰচাৰ
रेडिओ प्रसारित करा,সম্প্ৰচাৰ ৰেডিঅ&#39;
(नेट) भिन्नता,(নেট) ভ্যাৰিয়েন্স
(net) vicar,(নেট) ভিকাৰ
बी-ट्रू,বি-ট্ৰু
"1.बबल मेमरी, 2.बबल मेमरी","1.বাবল মেমৰি, 2.বাবল মেমৰি"
बबल क्रमवारी,বুদবুদ সজাই পৰাই তোলা
"१ बादली, २ बादली","১.বাল্টি, ২.বাল্টি"
"1.बंधुत्व व्यवस्था, 2.मोठी व्यवस्था","১.ভ্ৰাতৃত্ববোধ ব্যৱস্থা, ২.বৃহৎ ব্যৱস্থা"
प्रभावी बजेट नियंत्रण,বাজেট ফলপ্ৰসূ নিয়ন্ত্ৰণ
बफर,বাফাৰ
उणीव,অভাৱ
पुरेसा,বাছ
"1. अष्ट व्यंक, 2. बिट (आठ बिट)","১.অষ্ট ব্যাংক, ২. বিট (আঠটা বিট)"
बाइट कोड,বাইট ক&#39;ড
सी (संगणक भाषा),C (কম্পিউটাৰ ভাষা)
"१.सी प्लस प्लस, २.सी++ (संगणक भाषा)","1.C Plus Plus, 2.C++ (কম্পিউটাৰ ভাষা)"
"1.रोख, 2. जलद","১.নগদ ধন, ২. বেগাই"
"1.कॅशे बफर, 2.मेमरी बफर","1.কেচ বাফাৰ, 2.মেমৰি বাফাৰ"
"1.कॅशे मेमरी, 2.कॅशे मेमरी, 3.फास्ट मेमरी","1.কেচ মেমৰি, 2.কেচ মেমৰি, 3.দ্ৰুত মেমৰি"
गणना,গণনা কৰা
"1.कॅल्क्युलेटर, 2.कॅल्क्युलेटर","১.কেলকুলেটৰ, ২.কেলকুলেটৰ"
"1.कॅल्क्युलेटर चिप,2. कॅल्क्युलेटर चिप","1.কেলকুলেটৰ চিপ, 2. কেলকুলেটৰ চিপ"
आवाहन करा,আমন্ত্ৰণ কৰক
नाव कॉल,নাম কল
संदर्भ कॉल,ৰেফাৰেন্স কল
सन्मान कॉल,সন্মানীয় আহ্বান
व्हेरिएबल कॉल,ভেৰিয়েবল কল
आवाहन गेट,আমন্ত্ৰণ গেট
"1. रद्द करा, 2. रद्द करा","1. বাতিল কৰক, 2. বাতিল কৰক"
रद्द करण्याचे बटण,বাতিল বুটাম
"1. विहित, 2. विहित","১.নিৰ্দিষ্ট কৰা, ২. কেননিক"
प्रामाणिक फॉर्म,কেননিক ৰূপ
क्षमता,সক্ষমতা
क्षमता यादी,ক্ষমতা তালিকা
"1. क्षमता, 2. धारण","১.সামৰ্থ্য, ২. ধৰি ৰখা"
कॅप्स लॉक की,caps লক চাবি
"1.कार्ड, 2. पत्रक","১.কাৰ্ড, ২. চাদৰ"
कार्ड रीडर,কাৰ্ড ৰিডাৰ
प्रमुखता,প্ৰাধান্য
वाहक,বাহক
वाहक बँड,বাহক বেণ্ড
वाहक लोड,বাহক বোজা
वाहक सिग्नल,বাহক সংকেত
वाहक लहर,বাহক তৰংগ
साध्य केले,লাভ কৰা হৈছে
स्कोअर मिळवला,স্ক’ৰ লাভ কৰা হৈছে
ध्वज प्राप्त केला,অৰ্জন কৰা পতাকা
"1.काडतूस डिस्क, 2.काडतूस डिस्क","1.কাৰটিজ ডিস্ক, 2.কাৰটিজ ডিস্ক"
"1. धबधबा, 2. धबधबा","1. কেছকেড, 2. কেছকেড"
केस,ঘটনা
कॅथोड-रे-ट्यूब (सीआरटी),কেথ&#39;ড-ৰে-টিউব (CRT)
कॅथोड रे ट्यूब (सीआरटी) कॅथोड रे ट्यूब,কেথ’ড ৰে টিউব (CRT) কেথ’ড ৰে টিউব
सीडी रोम डिस्क ड्राइव्ह,cd rom ডিস্ক ড্ৰাইভ
सेल,কোষ
सेल अॅनिमेशन,কোষ এনিমেচন
भ्रमणध्वनी,চেলুলাৰ ফোন
"1. केंद्रीय स्मृती, 2. केंद्रीय स्मृती","১.কেন্দ্ৰীয় স্মৃতি, ২. কেন্দ্ৰীয় স্মৃতিশক্তি"
सेंट्रल प्रोसेसिंग युनिट (CPU),কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU)
