Tamil,Hindi
துல்லியம்,"यथार्थता, परिशुद्‌धता"
துல்லியமானது,"यथार्थ, सही, परिशुद्‌ध"
குற்றம்,अभियोग लगाना
குற்றம் சாட்டப்பட்டவர்,अभियुक्‍त
சாதனை,उपलब्‍धि
ஒப்புதல்,"पावती, प्राप्‍ति सूचना, अभिस्वीकृति"
ஒப்புதல் காரணமாக,"पावती पत्र, रसीदी"
அறிமுகம்,"(व्यक्‍ति) परिचित, परिचय"
கையகப்படுத்தல்,"अधिग्रहण, अर्जन"
விடுவித்தல்,"भुगतान, भरपाई, निस्तारण"
நாடகம்,"कार्य, कृत्य, अधिनियम"
நடிப்பு கொடுப்பனவு,कार्यकारी भत्‍ता
செயல்,"कार्रवाई, क्रिया, कार्य, संघर्ष"
செயல் திட்டம்,कार्य योजना
செயலில்,सक्रिय
சுறுசுறுப்பாக,"सक्रियता से, सक्रियतापूर्वक"
ஆர்வலர்,"कर्मठ कार्यकता, सक्रियतावादी"
கடவுளின் செயல்,दैव कृत्य
தவறான நடத்தை செயல்,कदाचार
கமிஷன் மற்றும் விடுபடுதல் சட்டம்,भूल-चूक
உண்மையான,वास्तविक
உண்மையான,वास्तविक आंकडे
தழுவல்,"अनुकूलन, रूपांतर"
கூடுதலாக,"योग, जोड़, परिवर्धन"
கூடுதல் கட்டணம்,अतिरिक्‍त प्रभार
கூடுதல் நிதி,अतिरिक्‍त निधि
கூடுதல் மானியம்,अतिरिक्‍त अनुदान
கூடுதல் தகவல்,"अतिरिक्‍त सूचना, अतिरिक्‍त जानकारी"
கூடுதல் ஊதியம்,अतिरिक्‍त वेतन
கூட்டல் மற்றும் மாற்றம்,परिवर्तन-परिवर्धन
முகவரி,"पता, अभिभाषण, संबोधन, संबोधित करना, मानपत्र, विचार करना"
முகவரி,"पाने वाला, प्रेषिती"
வரவேற்பின் முகவரி,अभिनंदन पत्र
போதுமானது,पर्याप्‍त
பின்பற்றவும்,"पर दृढ़ रहना, पर जमे रहना"
தற்காலிக,तदर्थ
தற்காலிக உரிமைகோரல்,तदर्थ दावा
தற்காலிக குழு,तदर्थ समिति
தற்காலிக அதிகரிப்பு,तदर्थ वृद्‌धि
தற்காலிக கட்டணம்,तदर्थ भुगतान
அருகில்,‍पार्श्‍वस्थ
அருகிலுள்ள (= தொடர்ச்சியான),"लगा होना, सटा होना"
ஒத்திவைப்பு,स्थगन
ஒத்திவைப்பு இயக்கம்,"स्थगन प्रस्ताव, काम रोको प्रस्ताव"
தீர்ப்பளிக்கவும்,न्यायनिर्णीत करना
தீர்ப்பளிக்கவும்,न्यायनिर्णय करना
தீர்ப்பு,न्यायनिर्णयन
தீர்ப்பாளர்,न्यायनिर्णायक
சரிசெய்தல்,समायोजन
நிர்வாகி,"प्रशासन करना, देना, दिलाना, व्यवस्था करना"
சத்தியப்பிரமாணத்தை நிர்வகிக்கவும்,शपथ दिलाना
நிர்வாகம்,प्रशासन
நீதி நிர்வாகம்,न्याय-प्रशासन
நிர்வாக,प्रशासनिक
நிர்வாக நடவடிக்கை,प्रशासनिक कार्रवाई
நிர்வாக மதிப்பீடு,प्रशासनिक मूल्यांकन
நிர்வாக ஒப்புதல்,प्रशासनिक अनुमोदन
நிர்வாக அதிகாரம்,प्रशासनिक प्राधिकारी
நிர்வாக கட்டுப்பாடு,प्रशासनिक नियंत्रण
நிர்வாக முடிவு,प्रशासनिक निर्णय
நிர்வாகத் துறை,प्रशासकीय विभाग
நிர்வாகத் தலைவர்,प्रशासनिक प्रधान
நிர்வாக தலைமையகம்,प्रशासनिक मुख्यालय
நிர்வாக நடவடிக்கைகள்,प्रशासनिक उपाय
நிர்வாக சக்தி,"प्रशासी शक्‍ति, प्रशासनिक शक्ति"
நிர்வாக அனுமதி,प्रशासनिक मंजूरी
நிர்வாக நுட்பம்,"प्रशासन तकनीक, प्रशासनिक प्रविधि"
நிர்வாக தீர்ப்பாயம்,प्रशासनिक अधिकरण
ஒப்புதல்,ग्राह्‌यता: स्वीकार्यता
ஏற்றுக்கொள்ளக்கூடிய செலவு,ग्राह्‌य व्यय
அனுமதிக்கவும்,"प्रवेश करने देना, अंदर आने देना, स्वीकार करना, प्रविष्‍ट करना, दाखिल करना, दाखिला देना"
அட்டை சேர்க்கவும்,"प्रवेश पत्र, प्रवेश पत्रक"
ஒப்புக்கொள்ளப்பட்டது,"प्रविष्‍ट दाखिल, स्वीकृत"
அறிவுறுத்துங்கள்,भर्त्‍सना करना
தத்தெடுப்பவர்,दत्‍तक
தத்தெடுப்பவர்,दत्‍तकगृहीता
தத்தெடுப்பு,"अंगीकरण, दत्‍तक-ग्रहण"
வயது வந்தோர்,"प्रौढ, वयस्क"
கலப்படம்,"अपमिश्रण, मिलावट"
விபச்சாரம்,जारकर्म
வயதுவந்தோர் உரிமை,वयस्क मताधिकार
விளம்பர மதிப்பீட்டு கடமை,यथामूल्य शुल्क
முன்கூட்டியே,"अग्रिम, पेशगी"
முன்கூட்டியே முன்பதிவு,अग्रिम बुकिंग
முன்கூட்டியே நகல்,अग्रिम प्रति
அட்வான்ஸ் அதிகரிப்பு,अग्रिम  वृद्‌धि
முன் பணம்,"अग्रिम अदायगी, अग्रिम भुगतान"
பாதகமான நுழைவு,"प्रतिकूल इंदराज, प्रतिकूल प्रविष्‍टि"
பாதகமான கருத்துக்கள்,प्रतिकूल अभ्युक्‍ति
பாதகமான அறிக்கை,प्रतिकूल रिपोर्ट
விளம்பரம்,विज्ञापन
ஆலோசனை,"सलाह, सूचना, संज्ञापन"
கட்டண ஆலோசனை,"भुगतान सूचना, भुगतान-संज्ञापन"
ஆலோசனை குழு,सलाहकार समिति
ஆலோசனை கவுன்சில்,सलाहकार परिषद्
வக்கீல்,"अधिवक्‍ता, एडवोकेट, पक्ष-समर्थक"
விவகாரங்கள்,"कार्य, मामले"
பிரமாணப் பத்திரம்,"शपथपत्र, हलफ़नामा"
இணைப்பு,संबंधन
உறுதிப்படுத்தல்,"अभिपुष्‍टि, प्रतिज्ञान"
உறுதியான,सकारात्मक
வாங்க,"समर्थ होना, प्रदान करना, दे सकना"
மேற்கூறிய,पूर्वोक्‍त
புதிதாக,नए सिरे से
எதிராக,"विरुद्‌ध, के प्रति, के सामने, के सम्मुख, की तुलना में"
வயது,"आयु, उम्र, युग"
வயது சான்றிதழ்,आयु प्रमाणपत्र
வாக்குரிமைக்கான வயது,मताधिकार आयु
வயது எல்லை,आयु सीमा
ஏஜென்சி,"अभिकरण, एजेंसी"
நிகழ்ச்சி நிரல்,कार्यसूची
ஓய்வூதிய வயது,सेवानिवृत्‍ति आयु
மேலதிக வயது,अधिवर्षिता आयु
திரட்டுதல்,"समुच्चय, समूह"
வேதனைக்குள்ளானது,व्यथित
கிளர்ச்சி,आंदोलन
ஏஜிஎம்,"वार्षिक महासभा, वार्षिक आमसभा"
ஒப்பந்தம்,"क़रार, अनुबंध, सहमति, रजामंदी"
ஒப்பந்த படிவம்,"क़रारनामा, अनुबंध पत्र"
வேளாண்மை,कृषि
வேளாண் தொழில்,कृषि-उद्‌योग
உதவி,"सहायता, मदद"
அலாரம்,"आपद संकेत, खतरे का संकेत, अलार्म"
விழிப்புணர்வு,सजगता
மாற்றுப்பெயர்,"उपनाम, उर्फ़ (क्रि.वि.)"
குற்றச்சாட்டு,अभिकथन
விசுவாசம்,निष्ठा
கூட்டணி,मैत्री
தொடர்புடைய சேவைகள்,सम्बद्‌ध सेवाएं
அனைத்து உள்ளடக்கிய செலவு,सर्वसमावेशी लागत
அகில இந்திய சேவைகள்,अखिल भारतीय सेवा
ஒதுக்கீடு,नियतन
ஒதுக்கீடு,आबंटन
ஒதுக்கீட்டு கடிதம்,आबंटन-पत्र
ஒதுக்கீடு,आबंटिति
அனுமதிக்கக்கூடியது,"अनुज्ञेय, अनुमतियोग्य"
அனுமதிக்கக்கூடிய செலவுகள்,"अनुज्ञेय व्यय, अनुमतियोग्य व्यय"
மேல்முறையீட்டை அனுமதிக்கவும்,अपील मंजूर करना
கொடுப்பனவு,"भत्‍ता, छूट"
அனைத்து உரிமைகளும் பாதுகாக்கப்பட்டவை,सर्वाधिकार सुरक्षित
அகரவரிசை வரிசை,"वर्णक्रम, अकारादिक्रम"
வாக்குவாதம்,कहासुनी
மாற்று,"एकांतर, विकल्पी"
மாற்று,"विकल्प, वैकल्पिक"
ஒருங்கிணைப்பு,समामेलन
திருத்தப்பட்ட வரைவு,"संशोधित मसौदा, संशोधित प्रारूप"
திருத்தம்,संशोधन
வசதி,सुख-सुविधा
இணக்கமான,"सौहार्दपूर्ण, मैत्रीपूर्ण"
வெடிமருந்து,गोला-बारूद
கடனின் கடன்தொகை,"ऋण परिशोधन, ऋण मुक्‍ति"
தொகை,"राशि, रक़म, मात्रा"
ஓய்வூதியத்தின் அளவு,पेन्शन राशि
ஒப்பீட்டு இடுகை,अनुरूप पद
பகுப்பாய்வு,विश्‍लेषण
பகுப்பாய்வு ஆய்வு,विश्‍लेषणात्मक अध्ययन
மூதாதையர்,पूर्वज
துணை தொழில்,अनुषंगी उद्‌योग
பகை,बैर
இணைப்பு,संलग्नक
ஆண்டு,वर्षगांठ
அறிவிப்பு,"उद्‌घोषण, ऐलान, आख्यापन"
எரிச்சல்,"खिन्‍नता, चिढ, खीज"
ஆண்டு நிதி அறிக்கை,वार्षिक वित्‍तीय विवरण
ஆண்டு அறிக்கை,वार्षिक रिपोर्ट
ஆண்டு,वार्षिकी
அநாமதேய,"अनाम, गुमनाम"
அநாமதேய புகார்,गुमनाम शिकायत
பதில்,जवाबदेही
விடைத்தாள்,उत्‍तर पत्रक
எதிரி,विरोधी
முன்னோடிகள்,पूर्ववृत्‍त
எதிர்பார்க்கப்பட்ட செலவு,प्रत्याशित व्यय
எதிர்பார்க்கப்பட்ட வருமானம்,प्रत्याशित आय
எதிர்பார்ப்பு,"प्रत्याशा, पूर्वानुमान"
எதிர்பார்ப்பு ஜாமீன்,अग्रिम ज़मानत
ஊழல் எதிர்ப்பு நடவடிக்கை,भ्रष्‍टाचार-निरोधक उपाय
டம்பிங் எதிர்ப்பு,"प्रति-पाटन, पाटन-निरोधी"
பழங்கால,पुरावस्तु
நிறவெறி,रंगभेद
அக்கறையின்மை,उदासीनता
உச்ச உடல்,शीर्ष निकाय
மன்னிப்பு,क्षमायाचना
மேல்முறையீடு,"अपील, अपील करना"
தோற்றம்,"हाजि़री, उपसंजाति, रूप"
திருப்தி,तुष्‍टीकरण
மேல்முறையீட்டு தீர்ப்பாயம்,अपील अधिकरण
பின் இணைப்பு,परिशिष्‍ट
சாதனம்,उपयंत्र
பொருந்தும்,"अनुप्रयोज्य, लागू"
விண்ணப்பதாரர்,आवेदक
விண்ணப்பம்,"आवेदन, अर्ज़ी, अनुप्रयोग, लागू होना"
விண்ணப்ப படிவம்,"आवेदन पत्र, अर्ज़ी"
பயன்படுத்தப்பட்டது,अनुप्रयुक्‍त
விண்ணப்பிக்கவும்,"आवेदन करना, अर्जी देना, लागू करना, लागू होना, अनप्रयुक्‍त होना"
நியமிக்கப்பட்டவர்,नियुक्‍त व्यक्‍ति
அதிகாரத்தை நியமித்தல்,नियुक्‍ति प्राधिकारी
நியமனம்,नियुक्‍ति
நியமனம் கடிதம்,नियुक्‍ति पत्र
அமைச்சரவையின் நியமனங்கள் குழு,मंत्रीमंडलीय नियुक्‍ति समिति
ஊதியப் பகிர்வு,मजदूरी प्रभाजन
மதிப்பீடு,"मूल्यनिरूपण, आंकना"
மதிப்பீட்டாளர்,मूल्यांक
பாராட்டு,"सराहना, वृद्‌धि"
அச்சம்,"पकड़ा जाना, गिरफ़्तारी, बोध, समझ, आशंका"
பயிற்சி,शिक्षु
அணுகுமுறை,"पहुंच, उपगम, उपमार्ग, दृष्‍टिकोण"
பொருத்தமானது,"उपयुक्‍त, उचित, विनियोजन करना"
பொருத்தமான நடவடிக்கை,उचित कार्रवाई
பொருத்தமான தலை,उपयुक्‍त शीर्ष
ஒதுக்கீடு,विनियोजन
ஒப்புதல்,अनुमोदन
தோராயமான,"लगभग, सन्‍निकट"
ஆப்டிட்யூட் சோதனை,"अभिक्षमता परीक्षा, रुझान परीक्षण"
தன்னிச்சையானது,मनमाना
நடுவர்,मध्यस्थता करना
நடுவர்,"विवाचन, माध्यस्थम्"
நடுவர் தீர்ப்பாயம்,माध्यस्थम् अधिकरण
நடுவர்,"विवाचक, मध्यस्थ"
கட்டிடக்கலை,वास्तुकला
காப்பகங்கள்,अभिलेखागार
பகுதி,"क्षेत्र, क्षेत्रफल"
பகுதி தலைமையகம்,"क्षेत्र मुख्यालय, क्षेत्रीय मुख्यालय"
வாதம்,"तर्क, बहस"
எழும்,"उठना, उद्‌भूत होना, पैदा होना"
ஆயுத படைகள்,"सशस्त्र बल, सशस्त्र सेनाएं"
ஏற்பாடு,"व्यवस्था, विन्यास, प्रबंध"
நிலுவைத் தொகை,बक़ाया
நிலுவைத் அறிக்கை,बक़ाया विवरण
வருகை அறிக்கை,आगमन रिपोर्ट
ஆணவம்,"दंभ, अक्खड़पन"
அர்செனல்,"आयुधागार, शास्त्रागार"
கட்டுரை,"अनुच्छेद, वस्तु, लेख"
சங்கத்தின் கட்டுரைகள்,संस्था के अंतर्नियम
கட்டுரைகள்,नियमावली
ஏறுவரிசை ஒழுங்கு,आरोही क्रम
தெரிந்து கொள்ளுங்கள்,अभिनिश्‍चित करना
எங்கே இருக்கிறது,जैसा है जहाँ है
அம்சம்,"पहलू, पक्ष, दृष्‍टि"
ஆவேசம்,लांछन
படுகொலை,"हत्या, हनन"
தாக்குதல்,हमला
ஒன்றுகூடு,"जुटना, एकत्र होना, इकट्ठा होना, जोड़ना, सम्मिलित करना, एकत्र करना"
சட்டசபை,"सभा, जमाव"
ஒப்புதல்,अनुमति
உறுதிப்படுத்தவும்,"दृढ़ता से कहना, जोर देकर कहना"
மதிப்பீட்டாளர்,निर्धारिती
மதிப்பீடு,निर्धारण
மதிப்பீட்டு ஆண்டு,निर्धारण वर्ष
மதிப்பீட்டாளர்,"कर-निर्धारक, असेसर"
சொத்துக்கள்,परिसंपत्‍ति
ஒதுக்கப்பட்டவர்,समनुदेशिती
ஒதுக்கீடு,"समनुदेशन, सुपुर्द काम"
ஒதுக்குபவர்,समनुदेशक
உதவி,"सहायता, मदद"
இணை,"सह, सहयुक्‍त, सम्मिलित करना, सहयुक्‍त करना"
தொடர்பு,"संघ, संगम, संबंध, साहचर्य"
கட்டணம் அனுமானம்,कार्यभार-ग्रहण
உத்தரவாதம்,"आश्‍वासन, बीमा, हस्तांतरण पत्र"
உத்தரவாத நிறுவனம்,बीमा कंपनी
உறுதி,आश्‍वस्त करना
தள்ளுபடியில்,बट्टे पर
அணு சக்தி,परमाणु शक्‍ति
சமமாக,सममूल्य पर
பிரீமியத்தில்,"बढ़े मूल्य पर, अधिमूल्य पर, प्रीमियम पर"
இணைக்கவும்,"साथ लगाना, संलग्न करना, कुर्की करना"
இணைக்கப்பட்ட அலுவலகம்,संलग्न कार्यालय
இணைப்பு,"संलग्नक, कुर्की"
இணைப்பு வரிசை,कुर्की आदेश
அடைதல்,"लब्धि, प्राप्‍ति"
முயற்சி,"प्रयत्‍न करना, प्रयत्‍न"
வருகை,"उपस्थिति, हाजि़री"
வருகை பதிவு,"उपस्थिति पंजी, हाजि़री रजिस्टर"
வருகை சீட்டு,उपस्थिति पर्ची
கவனம்,"ध्यान, सावधान"
சான்றளித்தல்,"अनुप्रमाणन, तसदीक़"
சான்றளிக்கப்பட்ட நகல்,"अनुप्रमाणित प्रति, साक्ष्यांकित प्रति"
அணுகுமுறை,अभिवृत्‍ति
கவர்ச்சிகரமான சம்பளம்,आकर्षक वेतन
ஏலம்,नीलामी
ஏலதாரர்,नीलामकर्ता
ஏல விற்பனை,नीलामी बिक्री
பார்வையாளர்கள்,"श्रोता, दर्शक, सुनवाई, दर्शन"
ஆடியோ-காட்சி காட்சி,दृश्य-श्रव्य प्रदर्श
ஆடியோ காட்சி விளம்பரம்,दृश्य-श्रव्य प्रचार
தணிக்கை,"लेखापरीक्षा, संपरीक्षा"
தணிக்கை செய்யப்பட்ட கணக்குகள்,"परीक्षित लेखा, संपरीक्षित लेखा"
தணிக்கை செய்யப்பட்ட இருப்புநிலை,समपरीक्षित तुलनपत्र
தணிக்கை,लेखा परीक्षण
தணிக்கை ஆட்சேபனை,लेखापरीक्षा आपत्‍ति
தணிக்கையாளரின் அறிக்கை,लेखापरीक्षक की रिपोर्ट
ஆடிட்டோரியம்,प्रेक्षागृह
தணிக்கை பத்தி,लेखापरीक्षा पैरा
தணிக்கை அறிக்கை,लेखापरीक्षा रिपोर्ट
சிக்கன நடவடிக்கை,मितोपभोग
சிக்கன நடவடிக்கை,मितोपभोग उपाय
உண்மையான,प्रामाणिक
அங்கீகரிக்கப்பட்ட பிரதிநிதி,प्राधिकृत प्रतिनिधि
அதிகாரப்பூர்வ,"प्राधिकृत, प्राधिकारिक"
அதிகாரம்,"(व्यक्‍ति) प्राधिकारी, प्राधिकार, प्राधिकरण, अधिकारी विद्‌वान"
அதிகார கடிதம்,प्राधिकार पत्र
அங்கீகாரம் பெற்றவர்,प्राधिकृत
அங்கீகரிக்கப்பட்ட மூலதனம்,प्राधिकृत पूंजी
தானியங்கி,स्वचालित
தன்னாட்சி,स्वायत्‍त
தன்னாட்சி உடல்,स्वायत्‍त निकाय
தன்னாட்சி,स्वायत्‍तता
துணை,सहायक
கிடைக்கிறது,"प्राप्य, उपलब्ध"
சராசரி,"औसत, सामान्य"
சராசரி விடுப்பு,औसत छुट्टी
வெறுப்பு,विरुचि
தவிர்க்கவும்,बचा लेना
தவிர்க்கவும்,"परिहार करना, परिवर्जन करना, से बचना"
வரியைத் தவிர்ப்பது,कर देने से बचना
காத்திருந்தது,प्रतीक्षित
விருது,"पंचाट, अधिनिर्णय, पुरस्कार, प्रदान करना"
அதிகாரம் வழங்குதல்,अधिनिर्णयन प्राधिकारी
விழிப்புணர்வு,जागरूकता
பின்வாங்கியது,पूर्व-दिनांकित
பின்னணி,पृष्‍ठभूमि
பின் பதிவு,पिछला बक़ाया
பின்னால்,"मुकर जाना, से हटना"
பின் குறிப்பு,पिछला संदर्भ
காப்புப்பிரதி,पूर्तिकर
பின்தங்கிய வகுப்புகள்,पिछड़ा वर्ग
பின்தங்கிய பழங்குடி,पिछड़ी जनजाति
மோசமான பேரம்,"अलाभकर सौदा, घाटे का सौदा"
மோசமான நடத்தை,बुरा व्यवहार
மோசமான தன்மை,"दुश्‍चरित्र, दु:शील"
மோசமான காலநிலை கொடுப்பனவு,विषम जलवायु भत्‍ता
மோசமான நடத்தை,दुराचरण
மோசமான கடன்,अशोध्य ऋण
சாமான்கள்,असबाब
ஜாமீன்,ज़मानत
இருப்பு,"शेष, बाक़ी, संतुलन"
சமநிலை வீழ்த்தப்பட்டது,अधोनीत शेष
இருப்பு முன்வைக்கப்பட்டது,अग्रेनीत शेष
சீரான பட்ஜெட்,संतुलित बजट
இருப்புநிலை,तुलन पत्र
வாக்குப்பதிவு,"मतपत्र, मतदान"
வாக்குப் பெட்டி,मतपेटी
வாக்குப்பதிவு காகிதம்,मतपत्र
தடை,"प्रतिबंध, रोक, पाबंदी"
வங்கி,"बैंक, साहूकारी करना"
வங்கி கணக்கு,बैंक खाता
வங்கி இருப்பு,बैंक शेष
வங்கி கட்டணங்கள்,बैंक प्रभार
வங்கி உத்தரவாதம்,"बैंक गारंटी, बैंक प्रत्याभूति"
வங்கி விடுமுறை,बैंक अवकाश
வங்கி வசதி,बैंकिंग सुविधाबैंककारी सुविधा
வங்கி நேரம்,बैंकिंग कार्य-समय
வங்கி பரிவர்த்தனை,"बैंक कार्य-व्यवहार, बैंक लेन-देन"
வங்கி வீதம்,बैंक दर
வங்கி சமரசம்,बैंक समाधान
திவாலானது,दिवालिया
வங்கி பாதுகாப்பு,"बैंक प्रतिभूति, बैंक ज़मानत"
வங்கி அறிக்கை,बैंक विवरण
விருந்து,"प्रीतिभोज, भोज"
பார் கவுன்சில்,"विधिज्ञ परिषद्, बार काउंसिल"
பேரம்,"सौदा, सौदा करना"
பேரம் பேசுதல்,"सौदेबाजी, सौदाकारी"
தரிசு நிலம்,बंजर भूमि
பண்டமாற்று,वस्तु विनिमय
அடித்தளம்,आधार
ஆதாரமற்றது,"निराधार, बेबुनियाद"
அடித்தளம்,तहख़ाना
அடிப்படை ஆண்டு,आधार वर्ष
அடிப்படை,"मूल, बुनियादी"
அடிப்படையில்,मूलतः बुनियादी तौर पर
அடிப்படை நுண்ணறிவு,आधारिक आसूचना
அடிப்படை ஊதியம்,मूल वेतन
ஊதியத்தின் அடிப்படை அளவு,मूल वेतनमान
அடிப்படை பயிற்சி,बुनियादी प्रशिक्षण
அடிப்படை,आधार
தொகுதி,"बैच, टोली, खेप, घान"
தொகுதி எண்,"बैच नंबर, खेप नंबर"
தாங்கி காசோலை,धारक चैक
மேற்கோள் காட்டப்படுவதற்கு முன்,पूर्व-कथित
நடத்தை,व्यवहार
நம்பிக்கை,विश्‍वास
Par க்கு கீழே,अवमूल्य पर
பெஞ்ச்,"न्यायपीठ, बेंच"
பெஞ்ச்மார்க்,"तल चिह्‌न, मानक"
நன்மை பயக்கும்,"लाभप्रद, हितकारी"
பயனாளி,"हितभागी, लाभार्थी"
நன்மை,"हितलाभ, हित, लाभ"
சந்தேகத்தின் நன்மை,संदेह लाभ
கருணை,हितकारिता
நல்ல நிதி,हितकारी निधि
விருப்பம்,"वसीयत करना, वसीयत द्‌वारा देना"
விருப்பப்படி,वसीयत
துயரமடைந்தது,शोकसंतप्त
சிறந்த முயற்சிகள்,भरसक प्रयत्‍न
மேம்பாடு,"सुमुन्नति, बेहतरी, खुशहाली"
சார்பு,"अभिनति, झुकाव, पूर्वाग्रह"
பக்கச்சார்பான கருத்து,पूर्वाग्रही मत
நூலியல்,ग्रंथसूची
இருபது ஆண்டு,द्‌विवार्षिक
பிளவுபட்டு,दो भागों में बांटना/बंटना
பெரிய,द्‌विविवाह
இருதரப்பு,द्‌विपक्षीय
இருமொழி,द्‌विभाषी
இரு,"द्‍‌विसदन, द्‌विसदनी"
ர சி து,"विधेयक, बिल"
மாற்றச்சீட்டு,विनिमय पत्र
இருதரப்பு அறிக்கை,"द्‌विमासिक रिपोर्ट, अर्धमासिक रिपोर्ट"
பிணைப்பு,"जिल्दसाजी, बाध्यकारी"
பயோடேட்டா,जीवनवृत्‍त
இருதரப்பு,"द्‌विदक्षीय, द्‌विदलीय"
இரு கட்சி ஒப்பந்தம்,द्‌विपक्षीय करार
பிறப்பு ஆண்டுவிழா,जन्म वर्षगाँठ
பிறப்பு சான்றிதழ்,जन्म प्रमाणपत्र
பிறப்பு கட்டுப்பாடு,संतति निरोध
பிறந்த தேதி,"जन्म तिथि, जन्म की तारीख"
பிறந்த இடம்,जन्म स्थान
பிறப்பு வீதம்,जन्मदर
இரு வாராந்திர,"पाक्षिक, अर्ध-साप्ताहिक"
கருப்பு பொருளாதாரம்,काली अर्थव्यवस्था
கருப்பு பட்டியல்,"काली सूची, काली सूची में नाम डालना"
பிளாக்மெயில்,भयादोहन
கருப்பு சந்தை,"चोर बाजार, काला बाजार"
பழி,दोष लगाना
வெற்று சோதனை,कोरा चेक
போர்வை ஒப்பந்தம்,व्यापक सौदा
போர்வை ஒழுங்கு,व्यापक आदेश
குண்டு வெடிப்பு,धमाका
கலத்தல்,सम्मिश्रण
தொகுதி,"खंड, ब्लॉक"
முற்றுகை,"नाकाबंदी, अवरोध"
தடுக்கப்பட்ட மூலதனம்,अवरूद्‌ध पूंजी
தொகுதி கடிதம்,"बड़ा अक्षर, साफ़ अक्षर"
இரத்த தானம்,रक्‍तदान
இரத்த உறவுகள்,रक्‍त-संबंधी
நீல காலர் வேலை,कायिक कार्य
புளூபிரிண்ட்,"ब्लूप्रिंट, खाका"
பிளஃப்,झांसा
பலகை,"बोर्ड, मंडल, गत्‍ता"
போர்டிங் மற்றும் உறைவிடம்,भोजन तथा आवास
இயக்குநர்கள் குழு,निदेशक मंडल
வருவாய் வாரியம்,राजस्व मंडल
உடல்,निकाय
மெய்க்காப்பாளர்,अंगरक्षक
போலி வவுச்சர்,जाली वाउचर
உண்மையான,"सद्‍भाव, सदाशयता"
பத்திரம்,"बंधपत्र, बांड"
பிணைக்கப்பட்ட உழைப்பு,बंधुआ मज़दूर
போனஸ்,बोनस
பதிவு அலுவலகம்,"टिकटघर, बुकिंग कार्यालय"
புத்தகக் காப்பாளர்,"बही लेखक, मुनीम"
புத்தகத்தை வைத்தல்,"बहीखाता पद्‌धति, बहीखाता-लेखन"
கையேடு,पुस्तिका
குறிப்பு புத்தகம்,संदर्भ पुस्तक
