Bengali,Odiya
কৈশিক আর্দ্রতা বা কৈশিক জল,କ୍ୟାପିଲାରୀ ଆର୍ଦ୍ରତା କିମ୍ବା କ୍ୟାପିଲାରୀ ପାଣି |
কৈশিক ছিদ্র স্থান,କ୍ୟାପିଲାରୀ ପୋର ସ୍ପେସ୍ |
কৈশিক ছিদ্র,କ୍ୟାପିଲାରୀ ପୋରୋସିଟି |
কৈশিক স্থান,କ୍ୟାପିଲାରୀ ସ୍ପେସ୍ |
ক্যাপচার বেগ,ବେଗ କ୍ୟାପଚର କରନ୍ତୁ |
কার্বনেশন,କାର୍ବନେସନ୍ |
কার্বন কালো,କାର୍ବନ କଳା
কাস্টবল অবাধ্য,କାଷ୍ଟବଲ୍ ଚିତ୍ତାକର୍ଷକ |
কাস্ট-ইন-প্লেস বা কাস্ট-ইন-সিটু,କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ କିମ୍ବା କାଷ୍ଟ-ଇନ୍-ସିଟ୍ |
কাস্ট-ইন-প্লেস গাদা,କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ ଗଦା |
ক্যাস্টর,କାଷ୍ଟର |
ঢালাই পাথর,ପଥର ପକାନ୍ତୁ |
প্রভাবক,ଅନୁକ୍ରମଣିକା
ক্যাটেনা,କ୍ୟାଟେନା |
বিড়ালের মুখ,ବିଲେଇ ମୁହଁ |
বিড়ালের মাথা,ବିଲେଇ ମୁଣ୍ଡ
ক্যাটান,କେସନ୍
বিড়াল হাঁটা,ବିଲେଇ ଚାଲିବା |
গহ্বরের ক্ষতি,କ୍ୟାଭିଟେସନ୍ କ୍ଷତି |
সেলাইট,ସେଲିଟ୍
সেলুলার কংক্রিট,ସେଲୁଲାର୍ କଂକ୍ରିଟ୍ |
সেলুলার নির্মাণ,ସେଲ୍ୟୁଲାର୍ ନିର୍ମାଣ
সিমেন্ট,ସିମେଣ୍ଟ |
"সিমেন্ট, বিটুমিনাস","ସିମେଣ୍ଟ, ବିଟୁମିନିୟସ୍ |"
"সিমেন্ট, উচ্চ শক্তি","ସିମେଣ୍ଟ, ଉଚ୍ଚ ଶକ୍ତି |"
"সিমেন্ট, জলবাহী","ସିମେଣ୍ଟ, ହାଇଡ୍ରୋଲିକ୍ |"
"সিমেন্ট, কম তাপ","ସିମେଣ୍ଟ, କମ୍ ଉତ୍ତାପ |"
"সিমেন্ট, রাজমিস্ত্রি","ସିମେଣ୍ଟ, ରାଜକୋଷ |"
"সিমেন্ট, প্রাকৃতিক","ସିମେଣ୍ଟ, ପ୍ରାକୃତିକ |"
"সিমেন্ট, পোর্টল্যান্ড","ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ |"
"সিমেন্ট, পোর্টল্যান্ড ব্লাস্ট ফার্নেস স্ল্যাগ","ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ ବ୍ଲାଷ୍ଟ ଫର୍ଣ୍ଣେସ୍ ସ୍ଲାଗ୍ |"
"সিমেন্ট, পোর্টল্যান্ড পোজোলান","ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ ପୋଜଜୋଲାନ୍ |"
"সিমেন্ট, স্ল্যাগ","ସିମେଣ୍ଟ, ସ୍ଲାଗ୍ |"
"সিমেন্ট, সালফেট প্রতিরোধী","ସିମେଣ୍ଟ, ସଲଫେଟ୍ ପ୍ରତିରୋଧକ |"
"সিমেন্ট, সুপার সালফেটেড","ସିମେଣ୍ଟ, ସୁପର ସଲଫେଟ୍ |"
"সিমেন্ট, সাদা","ସିମେଣ୍ଟ, ଧଳା |"
সিমেন্ট-সমষ্টি অনুপাত,ସିମେଣ୍ଟ-ଏଗ୍ରିଗେଟ୍ ଅନୁପାତ |
সিমেন্ট সামগ্রী,ସିମେଣ୍ଟ ବିଷୟବସ୍ତୁ |
সিমেন্ট জেল,ସିମେଣ୍ଟ ଜେଲ୍ |
সিমেন্টের বন্দুক,ସିମେଣ୍ଟ ବନ୍ଧୁକ |
সিমেন্টের ভাটা,ସିମେଣ୍ଟ କିଲ୍ |
সিমেন্ট পেইন্ট,ସିମେଣ୍ଟ ରଙ୍ଗ |
সিমেন্ট প্লাস্টার,ସିମେଣ୍ଟ ପ୍ଲାଷ୍ଟର |
সিমেন্ট শিলা,ସିମେଣ୍ଟ ପଥର |
সিমেন্ট স্লারি,ସିମେଣ୍ଟ ସ୍ଲୁରି |
সিমেন্ট স্টোরেজ,ସିମେଣ୍ଟ ଷ୍ଟୋରେଜ୍ |
সিমেন্টেশন প্রক্রিয়া,ସିମେଣ୍ଟେସନ୍ ପ୍ରକ୍ରିୟା |
কেন্দ্রীভূত করা,କେନ୍ଦ୍ରକରଣ |
সেন্টারিং এবং শাটারিং,ସେଣ୍ଟରିଂ ଏବଂ ସଟରିଂ |
কেন্দ্রীয় মিশ্র কংক্রিট,କେନ୍ଦ୍ରୀୟ ମିଶ୍ରିତ କଂକ୍ରିଟ୍ |
কেন্দ্রীয় মিশুক,କେନ୍ଦ୍ରୀୟ ମିକ୍ସର୍ |
কেন্দ্রাতিগ পাখা,ସେଣ୍ଟ୍ରିଫୁଗୁଲ୍ ପ୍ରଶଂସକ |
চক,ଚକ
চেম্ফার,ଚାମ୍ଫର୍ |
চেম্ফার ফালা,ଚାମ୍ଫର୍ ଷ୍ଟ୍ରିପ୍ |
চ্যানেল বিম,ଚ୍ୟାନେଲ୍ ବିମ୍ |
চরিত্রগত লোড,ଚରିତ୍ରଗତ ଭାର |
চারিত্রিক শক্তি,ବ istic ଶିଷ୍ଟ୍ୟ ଶକ୍ତି |
বন্ধ চার্জ,ଚାର୍ଜ ଅଫ୍ |
চার্জিং,ଚାର୍ଜିଂ
চেক করা হচ্ছে,ଯା cking ୍ଚ
রাসায়নিক বন্ধন,ରାସାୟନିକ ବନ୍ଧ |
চেরনোজেম,ଚେର୍ନୋଜେମ୍ |
চেস্টনাট মাটি,ଛାତି ମାଟି |
চিমনি নর্দমা,ଚିମନି ଗୁଟର |
চিপ বোর্ড,ଚିପ୍ ବୋର୍ଡ |
চিপিং,ଚିପିଙ୍ଗ୍ |
চিপস,ଚିପ୍ସ |
চুট,ଚୁଟ୍
শ্রেণী (কংক্রিটের),କ୍ଲାସ୍ (କଂକ୍ରିଟ୍ ର)
কাদামাটি,ମାଟି
কাদামাটি বিষয়বস্তু,ମାଟି ବିଷୟବସ୍ତୁ |
মাটির প্যান,ମାଟି ପ୍ୟାନ |
পরিস্কার করা,ପରିଷ୍କାର
পরিষ্কার কর,ସଫା କର
ক্লিট,ସଫା କର |
ক্লিঙ্কার,କ୍ଲିଙ୍କର୍ |
ক্লিপ,କ୍ଲିପ୍
জমাট বাঁধা,ଜମାଟ ବାନ୍ଧିବା |
মোটা সমষ্টি,କଠିନ ଏଗ୍ରିଗେଟ୍ |
মোটা দানাদার মাটি,କଠିନ ଶସ୍ୟ ମାଟି |
কোট,କୋଟ
কফার বাঁধ,କଫର୍ ଡ୍ୟାମ୍ |
সংহতি,ମିଳନ
কলয়েড,କୋଲଏଡ୍ |
কোলয়েডাল আর্দ্রতা সমতুল্য অনুপাত,କୋଲଏଡାଲ୍ ଆର୍ଦ୍ରତା ସମାନ ଅନୁପାତ |
কলয়েডাল সিস্টেম,କୋଲଏଡାଲ୍ ସିଷ୍ଟମ୍ |
কোলুভিয়াল মাটি,ମିଳିତ ମାଟି |
কলাম,ସ୍ତମ୍ଭ
কম্বড ফিনিস,କମ୍ବିଂ ଶେଷ
সম্মিলিত পাদদেশ,ମିଳିତ ପଦଚିହ୍ନ |
মিলিত জল,ମିଶ୍ରିତ ଜଳ |
বৈঠকখানা,ସାଧାରଣ କୋଠରୀ |
সমাপনী সনদ,ସଂପୂର୍ଣ୍ଣ ପ୍ରମାଣପତ୍ର
উপাদান বর্গক্ষেত্র,ଉପାଦାନ ବର୍ଗ
কংক্রিট,କଂକ୍ରିଟ୍ |
কংক্রিশন,ସଂକଳନ
একত্রিত হার/সমতল হার,ଏକତ୍ରିତ ହାର / ଫ୍ଲାଟ ହାର |
দূষক,ପ୍ରଦୂଷକ
আলকোভ রান্না করা,ଆଲକୋଭ୍ ରାନ୍ଧିବା |
মোকাবিলা করা,ମୁକାବିଲା
করবেল,କରବେଲ |
কার্নিস,କର୍ନିସ୍ |
কাপলার,ଦମ୍ପତି
"যুগল, দ্বিগুণ","ଦମ୍ପତି, ଦୁଇଥର |"
"কাপলার, পুটলগ","ଦମ୍ପତି, ପୁଟ୍ଲଗ୍ |"
"কাপলার, সুইভেল","ଦମ୍ପତି, ସ୍ୱିଭେଲ୍ |"
কোর্স,ପାଠ୍ୟକ୍ରମ
র্যান্ডম ধ্বংসস্তূপ রাজমিস্ত্রি কোর্স করা,ରାଣ୍ଡମ୍ ରାଣ୍ଡଲ୍ ଚୁକ୍ତି |
ঢাকা এলাকা,ଆଚ୍ଛାଦିତ କ୍ଷେତ୍ର |
হামাগুড়ি,କ୍ରିପ୍
ক্রীপ সহগ,କ୍ରିପ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
ক্রোটোভাইন,କ୍ରୋଟୋଭାଇନ୍ |
কাকের পা,କାଉ ପାଦ |
চূর্ণবিচূর্ণ গঠন,ଖଣ୍ଡ ଗଠନ |
প্রতিবন্ধক,ବନ୍ଦ କର |
কারেন্ট,ସାମ୍ପ୍ରତିକ
বক্ররেখা প্রতিরোধের,ବକ୍ର ପ୍ରତିରୋଧ
স্যাঁতসেঁতে প্রুফ কোর্স,ଓଦା ପ୍ରୁଫ୍ ପାଠ୍ୟକ୍ରମ |
সমাপ্তির তারিখ,ସମାପ୍ତ ତାରିଖ
মৃত লোড,ମୃତ ଭାର
মরা জল,ମୃତ ଜଳ |
ডেসিবেল,ଡେସିବେଲ୍ |
ডিফ্লোকুলেশন,ଡିଫ୍ଲୋକ୍କୁଲେସନ୍ |
বায়ুচলাচল বা বায়ু স্থান অনুপাত ডিগ্রী,ବାୟୁମଣ୍ଡଳ କିମ୍ବା ବାୟୁ ସ୍ଥାନ ଅନୁପାତର ଡିଗ୍ରୀ |
সমষ্টির ডিগ্রি,ଏକୀକରଣର ଡିଗ୍ରୀ |
বিচ্ছুরণ ডিগ্রী,ବିଚ୍ଛେଦର ଡିଗ୍ରୀ |
স্যাচুরেশন ডিগ্রী,ପରିପୃଷ୍ଠାର ଡିଗ୍ରୀ |
ঘনত্ব,ଘନତା
মরুভূমির ফুটপাথ,ମରୁଭୂମି ରାସ୍ତା
মরুভূমির মাটি,ମରୁଭୂମି ମାଟି |
বিস্তারিত,ବିବରଣୀ
উন্নয়নের সময়কাল,ବିକାଶ ଅବଧି
ডি-দিগন্ত,ଡି-ରାଶି
তির্যক বন্ধন,ତ୍ରିକୋଣୀୟ ବନ୍ଧନ |
ডায়াগ্রাম,ଚିତ୍ର
ডিজিটাল ডক,ଡିଜିଟାଲ୍ ଡକ୍ |
পার্থক্য জলের হার,ଭିନ୍ନ ଭିନ୍ନ ଜଳ ହାର |
পাতলা বায়ুচলাচল,ଦିଲ୍ୟୁସନ୍ ଭେଣ୍ଟିଲେସନ୍ |
ডিলুভিয়াম,ଦିଲୁଭିୟମ୍
খাবার কক্ষ,ଭୋଜନ ଗୃହ
দিকনির্দেশনা পেগ,ଦିଗ ପେଗ୍ |
বিচ্ছুরণ,ବିଚ୍ଛେଦ |
ডিস্টেম্পার,ବିଭ୍ରାନ୍ତକାରୀ |
ডক,ଡକ୍ |
দরজা,ଦ୍ୱାର
ডর্মার,ଛାତ୍ରାବାସ
ডর্মার চেক,ଛାତ୍ରାବାସ ଯାଞ୍ଚ |
ডাবল ফ্লেমিশ বন্ড,ଡବଲ୍ ଫ୍ଲେମିଶ୍ ବଣ୍ଡ୍ |
ডবল লেয়ার,ଡବଲ୍ ସ୍ତର |
দোয়েল,ଡୋଭେଲ୍ |
অঙ্কন বোর্ড,ଚିତ୍ରାଙ୍କନ ବୋର୍ଡ |
বৈঠকখানা,ଚିତ୍ରାଙ୍କନ କକ୍ଷ |
প্রবাহ,ଡ୍ରାଇଫ୍
শুকনো বাল্বের তাপমাত্রা,ଶୁଖିଲା ବଲ୍ବ ତାପମାତ୍ରା |
শুকনো ডক,ଶୁଖିଲା ଡକ୍ |
শুকনো রাবার রাজমিস্ত্রি,ଶୁଖିଲା ରବର ନିର୍ମାଣ
ডাচ বন্ড,ଡଚ୍ ବନ୍ଧନ |
বামন প্রাচীর,ବାଣ୍ଡ କାନ୍ଥ |
বাস ইউনিট,ବାସସ୍ଥାନ ଏକକ
ইভ,ଇଭ୍
ইভস নর্দমা,ଗୁପ୍ତାଙ୍ଗ
অর্থনৈতিক সম্ভাব্যতা,ଆର୍ଥିକ ସମ୍ଭାବ୍ୟତା |
এক্টোডাইনামরফিক মাটি,ଏକ୍ଟୋଡାଇନାମୋରଫିକ୍ ମାଟି |
এডি,ଏଡି
কার্যকরী আকার,ପ୍ରଭାବଶାଳୀ ଆକାର |
প্রস্ফুটিত,ଇଫ୍ଲୋରସେନ୍ସ |
বর্জ্য,ପ୍ରଭାବଶାଳୀ |
উচ্চতা,ଉଚ୍ଚତା
ইলুভিয়েশন,ବହିଷ୍କାର
এলুভিয়াম,ଇଲୁଭିୟମ୍ |
এন্ডোডাইনামরফিক মাটি,ଏଣ୍ଡୋଡାଇନାମୋରଫିକ୍ ମାଟି |
ইঞ্জিনিয়ারিং সম্ভাব্যতা,ଇଞ୍ଜିନିୟରିଂ ସମ୍ଭାବ୍ୟତା |
ইংরেজি বন্ড,ଇଂରାଜୀ ବନ୍ଧନ |
ইংরেজি বাগান প্রাচীর বন্ধন,ଇଂରାଜୀ ବଗିଚା କାନ୍ଥ ବନ୍ଧ |
"EPM (প্রতি মিলিয়নের সমতুল্য),&quot;","ଇପିଏମ୍ (ପ୍ରତି ମିଲିୟନ୍ ସହିତ ସମାନ), &quot;"
সমান ওজন,ସମାନ ଓଜନ
অর্গ,Erg
বিনিময়যোগ্য,ଅଦଳବଦଳଯୋଗ୍ୟ |
বিনিময়যোগ্য অম্লতা,ଅଦଳବଦଳ ଅମ୍ଳତା |
বিনিময়যোগ্য সোডিয়াম শতাংশ (ESP),ଅଦଳବଦଳ ସୋଡିୟମ୍ ପ୍ରତିଶତ (ESP)
ই এস পি,E. S P.
এক্সচেঞ্জ অ্যাসিডিটি,ଅମ୍ଳତା ବିନିମୟ କରନ୍ତୁ |
এক্সচেঞ্জ কমপ্লেক্স,ଏକ୍ସଚେଞ୍ଜ୍ କମ୍ପ୍ଲେକ୍ସ |
নিষ্কাশন,ନିଷ୍କାସନ
উন্মুক্ত ফিনিস,ପ୍ରକାଶିତ ସମାପ୍ତ
আই,ଆଖି
ভুরু,ଆଖି ବ୍ରୋ
সম্মুখ,ସାମ୍ନା କରିବା |
বন্ড সম্মুখীন,ବନ୍ଧନର ସମ୍ମୁଖୀନ |
নিরাপত্তার ফ্যাক্টর,ନିରାପତ୍ତା କାରକ
পতন,ପତନ
ফেসিয়া,ଫେସିଆ |
ফেসিয়া বোর্ড,ଫେସିଆ ବୋର୍ଡ |
দোষ,ତ୍ରୁଟି
মাঠের আর্দ্রতা,କ୍ଷେତ୍ର ଆର୍ଦ୍ରତା |
চূড়ান্ত আর্দ্রতা সমতুল্য,ଅନ୍ତିମ ଆର୍ଦ୍ରତା ସମାନ |
ফিলেট (মর্টার),ଫିଲେଟ୍ (ମୋର୍ଟାର)
চূড়ান্ত,ଅନ୍ତିମ
চূড়ান্ত পরিমাপ,ଅନ୍ତିମ ମାପ |
চূড়ান্ত অর্থপ্রদান,ଅନ୍ତିମ ଦେୟ
চূড়ান্ত প্রাক চাপ,ଅନ୍ତିମ ପୂର୍ବ ଚାପ |
চূড়ান্ত উত্তেজনা,ଅନ୍ତିମ ଟେନସନ |
আর্থিক সম্ভাব্যতা,ଆର୍ଥିକ ସମ୍ଭାବନା |
সূক্ষ্ম সমষ্টি,ଭଲ ଏଗ୍ରିଗେଟ୍ |
ফিসার্ড শিলা,ଖଣ୍ଡ ଖଣ୍ଡ |
পতাকা পাথর,ପତାକା ପଥର |
ফ্লেমিশ বন্ড,ଫ୍ଲେମିସ୍ ବନ୍ଧନ |
ঝলকানি,ଫ୍ଲାସ୍
চটকদার স্রোত,ଚମତ୍କାର ଷ୍ଟ୍ରିମ୍ |
সমতল ছাদ,ଫ୍ଲାଟ ଛାତ |
