English,Gujarati
adder,ઉમેરનાર
address,જાણો
address bus,સરનામું બસ
address file,સરનામું ફાઇલ
address format,સરનામું ફોર્મેટ
address generator,સરનામું જનરેટર
address line,એડ્રેસ લાઇન
address mapping,સરનામું મેપિંગ
address pointer,સરનામું સૂચક
address register,સરનામું રજીસ્ટર
address resolution,સરનામું ભંગાણ
address translation,સરનામા અનુવાદ
addressed memory,"1. એડ્રેસેબલ મેમરી, 2. એડ્રેસેબલ મેમરી"
addressing,સંબોધન
adequacy criteria,"1. પર્યાપ્તતા માપદંડ, 2. પર્યાપ્તતા માપદંડ"
adjoint,જોડાણ
administration,"1. મેનેજમેન્ટ, 2. નિયંત્રણ"
administrator,"1. મેનેજર, 2. નિયંત્રક"
adobe acrobat,એડોબ એક્રોબેટ
adobe photoshop,એડોબ ફોટોશોપ
Advance Business Application Programming (ABAP),ABAP (એડવાન્સ્ડ બિઝનેસ પ્રોગ્રામિંગ)
advanced data,"1. અદ્યતન ડેટા, 2. અદ્યતન ડેટા"
advanced information system,અદ્યતન માહિતી સિસ્ટમ
advanced technology (AT),એડવાન્સ ટેકનોલોજી (AT)
agent,ક્રિયા
aggregation,એકત્રીકરણ
airborne computer system,એરબોર્ન કમ્પ્યુટર સિસ્ટમ
aldus page maker,aldus પૃષ્ઠ બનાવવું
alert box,ચેતવણી બોક્સ
algol,અલ્ગોલ (કોમ્પ્યુટર ભાષા)
algorithm,"1. અલ્ગોરિધમ, 2. અલ્ગોરિધમ"
algorithm analysis,"1. અલ્ગોરિધમ વિશ્લેષણ, 2. અલ્ગોરિધમ વિશ્લેષણ"
algorithm efficiency,અલ્ગોરિધમ કાર્યક્ષમતા
alias,"1. ઈલિયાસ, 2. ઉપનામ, 3. ઉર્ફે"
alignment,ગોઠવણી
allocation,"1. ફાળવણી, 2. ફાળવણી"
alphabetic,"1. આલ્ફાબેટીક, 2. મૂળાક્ષરોનો ક્રમ"
alphanumeric,આલ્ફાન્યૂમેરિક
alphanumeric key board,"1. આલ્ફાન્યૂમેરિક કીબોર્ડ, 2. આલ્ફાન્યૂમેરિક કીબોર્ડ"
alpha-test,આલ્ફા-પરીક્ષણ (પ્રથમ સ્તર પરીક્ષણ)
alpha-version,"1. આલ્ફા સંસ્કરણ, 2. આલ્ફા ફોર્મ"
alt key,alt કી
altavista,અલ્ટાવિસ્ટા
ambiguity,બહુવિધતા
ambiguous grammar,અસ્પષ્ટ વ્યાકરણ
American National Standards Institute (ANSI),અમેરિકન નેશનલ સ્ટેન્ડીઝ ઇન્સ્ટિટ્યુટ (ANSI)
American Standard Code For Information Interchange (ASCII),અમેરિકન સ્ટાન્ડર્ડ કટ (ascii)
analog,"1. અનુરૂપ, 2. એનાલોગ"
analog computer,"1. એનાલોગ કોમ્પ્યુટર, 2. એનાલોગ કોમ્પ્યુટર"
analog device,"1. એનાલોગ ઉપકરણ, 2. એનાલોગ ઉપકરણ"
analog modem,"1. એનાલોગ મોડેમ, 2. એનાલોગ મોડેમ"
Analog To Digital Converter (ADC),ડિજિટલ કન્વર્ટર માટે એનાલોગ
AND,અંત (ડિજિટલ/પ્લેન લોજિક &#39;અને&#39; વપરાયેલ)
AND circuit,અંતિમ સર્કિટ
AND gate,અંતિમ દરવાજો અને દરવાજો
AND not operation (Exclusion),એન્ડ નોટ ઓપરેશન (બાકાત)
animation,"1. એનિમેશન, 2. કંપન"
annotation,નૉૅધ
anomaly,અસંગતતા
antecedent,અગાઉના
anticipatory paging,આગોતરી પેજીંગ
anti-symmetric,પ્રતિ-સપ્રમાણ
antivirus program,એન્ટિવાયરલ પ્રોગ્રામ
applet,"1. ઉપલેટ, 2. અરજી"
application developer,એપ્લિકેશન ડેવલપર
application programming,એપ્લિકેશન પ્રોગ્રામિંગ
application programming interface (API),"1. એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ, 2. એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ (API)"
application software,એપ્લિકેશન સોફ્ટવેર
applicative language,એપ્લિકેશન ભાષા
approximation theory,અંદાજ સિદ્ધાંત
architecture,માળખું
area transfer,ક્ષેત્ર ટ્રાન્સફર
argument,"1. પરિમાણ, સ્વતંત્ર ચલ, 2. કોણ"
arithmatic and logic unit,"1. અંકગણિત અને તર્ક એકમ, 2. અંકગણિત અને તર્ક એકમ"
arithmatic check,અંકગણિત તપાસ
arithmatic constant,અંકગણિત સતત
arithmatic data,અંકગણિત માહિતી
arithmatical instruction,અંકગણિત સૂચના
arithmetic and logic unit (ALU),ગાણિતિક અને તાર્કિક એકમ (ALU)
ARPANET,ARPA નેટ (RPNet)
array,એરે
array cache,"1. એરે કેશ, 2. એરે ઝડપ, 3. એરે મેમરી"
array computer,એરે કમ્પ્યુટર
array element,એરે તત્વ
array name,એરે નામ
array processor,એરે પ્રોસેસર
arrow keys,તીર કી
articulation,સંધિ
articulation point,જંકશન પોઈન્ટ
artificial compaction,કૃત્રિમ કોમ્પેક્શન
artificial control,કૃત્રિમ નિયંત્રણ
artificial intelligence,કૃત્રિમ સંવેદના
ascender,માઉન્ટ
ascending sort,ચડતા સૉર્ટ
ASCII betical order,ascii મૂળાક્ષરો
ASCII control character,ascii નિયંત્રણ પ્રતીક
ASCII file,ascii ફાઇલ
ASCII font,ascii ફોન્ટ
ASCII transfer,ASCII ટ્રાન્સફર
aspect ratio,પાસા ગુણોત્તર
ASPI,"1. એસ્પી, 2. ASPI"
ASR timer,એ એસ આર કલાડ
assemble,"1. સ્મરણ, 2. એસેમ્બલિંગ, 3. એસેમ્બલ કરવા માટે"
assembler,"1. એસેમ્બલર, 2. રીમાઇન્ડર"
assembly,"1. એસેમ્બલિંગ, 2. યાદ"
assembly language,"1. યાદગાર ભાષા, 2. એસેમ્બલીંગ ભાષા"
assertion,નિશ્ચય
assignment,"1. ઉલ્લેખિત કાર્ય, 2. ફાળવણી"
association,સોબત
associative address,સહયોગી સરનામું
associative memory,"1. સહયોગી મેમરી, 2. સહયોગી મેમરી"
asteric,ફૂદડી (* ચિહ્ન)
asymmetric,અસમપ્રમાણ
asynchronous,"1. અસુમેળ, 2. અસુમેળ"
asynchronous Digital Subscriber Line (ADSL),અસુમેળ ડિજિટલ સબ્સ્ક્રાઇબર લાઇન (ADSL)
asynchronous Time Division Multiplexing (ATDM),અસિંક્રોનસ ટાઈમ ડિવિઝન મલ્ટિપ્લેક્સિંગ (ATDM)
asynchronous transfer,અસુમેળ ટ્રાન્સફર
asynchronous Transfer Mode (ATM),અસિંક્રોનસ ટ્રાન્સફર મોડ (ATM)
atom,"1. અણુ, 2. પરમાન"
attached document,જોડાયેલ દસ્તાવેજ
attached file,"1. જોડાયેલ ફાઇલ/મિસિલ, 2. જોડેલી ફાઈલ"
attachment,"1. બિડાણ, 2. સંલગ્ન"
attribute,"1. ગુણધર્મો, 2. વિશેષતા"
audio,સાંભળી શકાય તેવું
audit programming,"1. ઓડિટ પ્રોગ્રામિંગ, 2. ઓડિટ પ્રોગ્રામિંગ"
audit trail,એકાઉન્ટ વેરિફિકેશન
augmentation,પ્રમોશન
authentication protocol,પ્રમાણપત્ર પ્રોટોકોલ
authoring system,લેખન પદ્ધતિ
authorization,"1. સત્તા, 2. સત્તા, 3. ટ્રિબ્યુનલ"
auto abstract,સ્વતઃ અમૂર્ત
autobooting,"1. ઓટો બુટીંગ, 2. સ્વ બુટ"
autocad,ઓટોકેડ (કોમ્પ્યુટર ભાષા)
autolog on,ઓટો લોગ-ઓન
automata,ઓટોમેટા
automata theory,ઓટોમેટા સિદ્ધાંત
automatic computing,આપોઆપ ગણતરી
automatic data processing,સ્વચાલિત ડેટા પ્રોસેસિંગ
automatic error correction,આપોઆપ ભૂલ સુધારણા
automatic function,સ્વતઃ કાર્ય
automatic indexing,"1. સ્વચાલિત અનુક્રમણિકા, 2. આપોઆપ યાદી"
automatic library call,સ્વતઃ-સંગ્રહ કૉલ
automatic programming,"1. ઓટોમેટિક પ્રોગ્રામિંગ, 2. આપોઆપ પ્રોગ્રામિંગ"
automatic recovery program,"1. સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ, 2. સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ"
automatic routine,આપોઆપ નિયમિત
automatic system recovery,આપોઆપ સિસ્ટમ પુનઃપ્રાપ્તિ
automatic teller machine (ATM),"1. ઓટોમેટિક ટેલર મશીન (ATM), 2. સ્વ ઉપાડ માટે બેંક એ.ટી.એમ"
automation,ઓટોમેશન
autoplay,"1. ઑટોપ્લે, 2. ઓટો વોક"
autosave,અવાજ
auxiliary,મદદનીશ
auxiliary memory,સહાયક મેમરી
auxiliary storage,સહાયક સંગ્રહ
available list,ઉપલબ્ધ યાદી
available time,ઉપલબ્ધ સમય
average,સરેરાશ
awk (language),AWK (કોમ્પ્યુટર આદેશ)
backend,પછી
backend processor,પોસ્ટ પ્રોસેસર
backface removal,પશ્ચાદવર્તી કાર્ય કાઢી નાખવું
background processing,પૃષ્ઠભૂમિ પ્રક્રિયા
backing store,આનુષંગિક સ્ટોર્સ
backpatching,બેક પેચીંગ
backspace,"1. પશ્ચિમ, 2. બેકસ્પેસ"
backtracking,બેકટ્રેકિંગ
back-up,"1. બેક-અપ, 2. વળતર"
back-up memory,"1. પૂરક મેમરી, 2. બેકઅપ મેમરી"
backward error recovery,પાછળની ભૂલ સુધારણા
balance sheet,(આવક-ખર્ચ) બેલેન્સ શીટ
band,પાટો
band width,"1. બેન્ડ પહોળાઈ, 2. બેન્ડવિડ્થ/ક્ષમતા"
banker's algorithm,બેંકરનું અલ્ગોરિધમ
bar code,"1. બાર કોડ, 2. બાર કોડ"
bar code scanner,બારકોડ સ્કેનર
bar graph,બાર ગ્રાફ
base address,આધાર સરનામું
base band,આધાર બેન્ડ
base number,આધાર નંબર
base table,આધાર ટેબલ
BASIC,મૂળભૂત (કોમ્પ્યુટર ભાષા)
basic control,"1. મૂળભૂત નિયંત્રણ, 2. આધાર નિયંત્રણ"
basic input,"1. મૂળ રોકાણ, 2. આધાર રોકાણ"
basic instruction,મૂળભૂત સૂચના
basic output,આધાર મુદ્દો
basic step,મૂળભૂત તબક્કો
batch,"1. બેચ, 2. જૂથ, 3. આપત્તિ"
batch file,"1. બેચ ફાઇલ, 2. બેચ ફાઇલ"
batch position,બેચ સ્થિતિ
batch processing,"1. બેચ પ્રોસેસિંગ, 2. જૂથ પ્રક્રિયા"
batch system,"1. બેચ સિસ્ટમ, 2. કૅટપલ્ટ સિસ્ટમ"
baud,બાઉડ
baud rate,બાઉડ દર
beam,બીમ બીમ
benchmark,"1. માર્ગદર્શિકા, 2. બેચ માર્ક"
bidirectional communication,દ્વિદિશ સંચાર
bidirectional link,સીધી લિંક
binary code,દ્વિસંગી કોડ
binary digit,દ્વિસંગી અંકો
binary Input output system (BIOS),બાઈનરી ઈન્વેસ્ટમેન્ટ આઉટપુટ સિસ્ટમ (BIOS)
binary number,દ્વિસંગી સંખ્યા
binary operator,બાઈનરી ઓપરેટર
binary relation,દ્વિસંગી સંબંધ
binary search,દ્વિસંગી શોધ
binary search tree (BST),બાઈનરી એક્સપ્લોરેશન ટ્રી (BST)
binary transfer,"1. બાઈનરી ટ્રાન્સફર ટ્રી, 2. બાઈનરી ટ્રાન્સફર"
binary tree,દ્વિસંગી વૃક્ષ
bipolar memory,"1. બાયપોલર મેમરી, 2. બાયપોલર મેમરી"
birth death model,"1. જન્મ અને મૃત્યુ મોડલ, 2. જન્મ મૃત્યુ મોડેલ"
birth death process,જન્મ મૃત્યુ પ્રક્રિયા
bit,"1. ડ્યુક, 2. બીટ"
bit fault,થોડી ખામી
bit map,બીટ નકશો
bit map pixel (BMP),"1. બીટ, 2. નકશો, 3. પિક્સેલ (BMP)"
bit matrix,"1. બિટ મેટ્રિક્સ, 2. બીટ ટેબલ"
bit pattern,બીટ પેટર્ન
bit position,બીટ સ્થિતિ
bit rate,"1. બીટ રેટ, 2. બીટ દર"
black box testing,આંખ પર પટ્ટી પરીક્ષણ
blinking,ઝબૂકવું
block,બ્લોક
block cache,"1. બ્લોક કેશ, 2. બ્લોક કેશ/ચંક મેમરી"
block check,બ્લોક ચકાસણી
block copy,વોલ્યુમ નકલ
block diagram,રેખાક્રુતિ
blocking network,"1. અવરોધિત નેટવર્ક, 2. અવરોધિત નેટવર્ક"
board,પાટીયું
book mark,પૃષ્ઠ મેમરી
boolean algebra,બુલિયન બીજગણિત
boolean relation,બુલિયન સંબંધ
boot partition,બુટ પાર્ટીશન
boot strapping,બુટ strapping
boot-strap loader,1.બૂટસ્ટ્રેપ લોડર
bridge,"1.બ્રિજ, 2.બ્રિજ"
broadband networking,બ્રોડબેન્ડ નેટવર્ક
broadcast,પ્રસારણ
broadcast radio,પ્રસારણ રેડિયો
browse,(ચોખ્ખી) ભિન્નતા
browser,(ચોખ્ખી) વિકાર
B-Tree,બી-ટ્રુ
bubble memory,"1.બબલ મેમરી, 2.બબલ મેમરી"
bubble sort,બબલ સૉર્ટ
bucket,"1.ડોલ, 2.ડોલ"
buddy system,"1.બંધુત્વ વ્યવસ્થા, 2.મોટી વ્યવસ્થા"
budget effective control,અસરકારક બજેટ નિયંત્રણ
buffer,બફર
bug,ખામી
bus,પૂરતૂ
byte,"1. અષ્ટ વ્યંક, 2. બીટ (આઠ બિટ્સ)"
byte code,બાઈટ કોડ
c,સી (કોમ્પ્યુટર ભાષા)
C++,"1.C પ્લસ પ્લસ, 2.C++ (કોમ્પ્યુટર ભાષા)"
cache,"1.રોકડ, 2. ઝડપી"
cache buffer,"1.કેશ બફર, 2.મેમરી બફર"
cache memory,"1.કેશ મેમરી, 2.કેશ મેમરી, 3.ફાસ્ટ મેમરી"
calculation,ગણતરી
calculator,"1.કેલ્ક્યુલેટર, 2.કેલ્ક્યુલેટર"
calculator chip,"1.કેલ્ક્યુલેટર ચિપ, 2. કેલ્ક્યુલેટર ચિપ"
call,આહવાન કરો
call by name,નામ કૉલ
call by reference,સંદર્ભ કૉલ
call by value,સન્માન કૉલ
call by variables,ચલ કોલ
call gate,આમંત્રણ દ્વાર
cancel,"1. રદ કરો, 2. રદ કરો"
cancel button,રદબાતલ બટન
canonical,"1. નિર્ધારિત, 2. કેનોનિકલ"
canonical form,પ્રમાણભૂત સ્વરૂપ
capability,ક્ષમતા
capability list,ક્ષમતા યાદી
capacity,"1. ક્ષમતા, 2. હોલ્ડિંગ"
caps lock key,કેપ્સ લોક કી
card,"1.કાર્ડ, 2. શીટ"
card reader,કાર્ડ રીડર
cardinality,પ્રાધાન્ય
carrier,વાહક
carrier band,વાહક બેન્ડ
carrier load,વાહક લોડ
carrier signal,વાહક સંકેત
carrier wave,વાહક તરંગ
carry,હાંસલ કર્યું
carry digit,સ્કોર હાંસલ કર્યો
carry flag,ધ્વજ હાંસલ કર્યો
cartridge disk,"1.કાર્ટિજ ડિસ્ક, 2.કાર્ટ્રિજ ડિસ્ક"
cascade,"1. કાસ્કેડ, 2. કાસ્કેડ"
case,કેસ
cathod ray tube (CRT),કેથોડ-રે-ટ્યુબ (CRT)
cathode ray tube (CRT),કેથોડ રે ટ્યુબ (સીઆરટી) કેથોડ રે ટ્યુબ
CD ROM disk drive,સીડી રોમ ડિસ્ક ડ્રાઇવ
cell,કોષ
cell animation,સેલ એનિમેશન
cellular phone,સેલ્યુલર ફોન
central memory,"1. સેન્ટ્રલ મેમરી, 2. કેન્દ્રીય મેમરી"
central processing unit (CPU),સેન્ટ્રલ પ્રોસેસિંગ યુનિટ (CPU)
centralized system,કેન્દ્રીયકૃત સિસ્ટમ
certified tape,પ્રમાણિત ટેપ
chain,સાંકળ
chain data,"1. શ્રેણી ડેટા, 2. શ્રેણી સામગ્રી"
chain link,સાંકળ કડી
chaining,સાંકળ
channel,"1.ચેનલ, 2.ચેનલ"
channel busy tone,"1.ચેનલ વ્યસ્ત ટોન, 2.ચેનલ વ્યસ્ત ટોન"
channel capacity,"1.ચેનલ ક્ષમતા, 2.ચેનલ ક્ષમતા"
channel controller,"1.ચેનલ કંટ્રોલર, 2.ચેનલ કંટ્રોલર"
channel error,"1. ચેનલ ભૂલ, 2.ચેનલ ભૂલ"
channel program,"1.ચેનલ પ્રોગ્રામ, 2.ચેનલ પ્રોગ્રામ"
channel reliability,"1.ચેનલ વિશ્વસનીયતા, 2.ચેનલ વિશ્વસનીયતા"
channel set,"1.ચેનલ સેટ, 2.ચેનલ સેટ"
character,પ્રતીક
character code,"1.કેરેક્ટર કોડ, 2. અક્ષર કોડ"
character key,અક્ષર કી
character reader,પાત્ર વાચક
character size,"1. પ્રતીકનું કદ, 2. પ્રતીકનું કદ"
chart,ચિત્રાત્મક
chassis,"1.ચેસીસ, 2.ચેસીસ"
check bit,બીટ તપાસો
check digit,ચેક પોઈન્ટ
check sum,કુલ તપાસો
check word,શબ્દ તપાસો
chip,ચિપ
chip set,ચિપ સેટ
choose,"1.પસંદ કરો, 2.પસંદ કરો"
chromatically,મૂળાક્ષરો પ્રમાણે
cipher,"1.સફર, 2. શૂન્ય, 3. નાવિક"
circuit,સર્કિટ
circular list,વર્તુળ યાદી
cirus,સેરેસ
citation,ઉલ્લેખ
class,"1.શ્રેણી, 2.વર્ગ"
class variable,વર્ગ ચલ
classification,વર્ગીકરણ
clear,સફાઈ
clear area,સાફ કરેલ વિસ્તાર
clear channel,"1. સિસ્ટમ સાફ કરો, 2. ચેનલ સાફ કરો"
click,દબાવો
client,"1. ગ્રાહક, 2. ગ્રાહક"
client server,"1.ક્લાયન્ટ સર્વર, 2.ક્લાયન્ટ સર્વર"
client stub,ગ્રાહક સ્ટબ
clip art,કાપવાની કળા
clip art library,ઉતારવાની કલા પુસ્તકાલય
clip board,ક્લિપ બોર્ડ
clipper,ક્લિપર
clipper chip,ક્લિપર ચિપ
clique,જૂથ
clock,"1.ઘડિયાળ, 2. કેલાડ"
clock cycle,ઘડિયાળ ચક્ર
clock frequency,ઘડિયાળની આવર્તન
clock hardware,કલાદ હાર્ડવેર
clock pulse,કલાદ સ્પાન્ડ
clock speed,ઘડિયાળની ઝડપ
clock synchronization,સમય સુમેળ
clock tick,ઘડિયાળની ટીક
clone,ક્લોન
close,બંધ
close circuit TV (CCTV),ક્લોઝ્ડ સર્કિટ ટીવી (CCTV)
closure,વર્ણન
cloud computing,"1.ક્લાઉડ કમ્પ્યુટિંગ, 2.ક્લાઉડ કમ્પ્યુટિંગ"
cluster,ટોળું
coated card,"1.કવર્ડ કાર્ડ, 2. કોટેડ શીટ"
coated paper,કોટેડ કાગળ
coaxial,કોક્સિયલ
coaxial cable,કો - એક્ષેલ કેબલ
codasyl,કોડાસિલ
code,"1.કોડ, 2.કોડ"
code generator,"1. કોડ જનરેટર, 2. કોડ જનરેટર"
code page,કોડ પેજ
code word,"1.કોડ શબ્દ, 2.કોડ શબ્દ"
coder,"1.કોડર, 2.કોડર"
coding check,"1. એન્કોડિંગ ટેસ્ટ, 2. કોડિંગ ટેસ્ટ"
coding form,એન્કોડિંગ ફોર્મ
coding sheet,"1. એન્કોડિંગ શીટ, 2. કોડિંગ શીટ"
coefficient,ગુણાંક
coherence,સંયોગ
cold boot,"1.કોલ્ડ બૂટ, 2.કોલ્ડ સ્ટાર્ટ"
cold start,ઠંડી શરૂઆત
collaboration,મદદ
collapse,પતન
collate,"1.ઇન્કોર્પોરેશન, 2.કોન્કેટનેટ"
collate tape,"1.અનુક્રમિત ટેપ, 2. કૉલેટ ટેપ"
collision,અથડામણ
colon,કોલોન
colour (color),"1.અક્ષરો, 2.રંગો"
colour saturation,રંગ સંતૃપ્તિ
colour table,રંગ ટેબલ
column,આધારસ્તંભ
combination,સંયોજન
combo box,સંયુક્ત બોક્સ
command,"1.command, 2.command"
command button,આદેશ બટન
command list,આદેશ યાદી
comment,ટિપ્પણી
commitment,"1. પ્રતિબદ્ધતા, 2. પ્રતિબદ્ધતા"
commodity,વસ્તુ
Common Business Oriented Language (Cobol),કોમન બિઝનેસ ઓરિએન્ટેડ લેંગ્વેજ (COBOL)
common error,સામાન્ય ભૂલ
common language,સામાન્ય ભાષા
common routine,"1.સામાન્ય નામ, 2. સામાન્ય દિનચર્યા"
communication,કોમ્યુનિકેશન્સ
communication line,સંચાર લાઇન
communication mode,સંચાર મોડ
communication network,"1. કોમ્યુનિકેશન નેટવર્ક, 2. કોમ્યુનિકેશન નેટવર્ક"
communication parameter,સંચાર પરિમાણ
communication system,સંચાર વ્યવસ્થા
compaction,કોમ્પેક્શન
compander,કોમ્પ્રેસર
companding,કમ્પ્રેશન ટ્રાન્સમિશન
company network,કંપની નેટવર્ક
comparison test,સરખામણી કસોટી
compatibility,"1. સુસંગતતા, 2. સુસંગતતા"
compatible,સુસંગત
compilation,સંકલન
compile and go,સંકલન અને અમલ
compiler,"1.કમ્પાઇલર, 2.પ્રોગ્રામ ટ્રાન્સફર"
compiler language,કમ્પાઇલર ભાષા
complementary,પૂરક
complement-on-ten,દસનું પૂરક
complementor,પૂરક
complete carry,"1. સંપૂર્ણ હસ્તગત, 2. સંપૂર્ણ રીતે હસ્તગત"
complex,સંયુક્ત
complex number,જટિલ સંખ્યા
component,ઘટક
component object model (COM),કોમ
composite,સંયુક્ત
composition,સંયોજન
computational,"1.કમ્પ્યુટેબલ, 2.કોમ્પ્યુટેબલ"
computer,કમ્પ્યુટર
computer centre,કમ્પ્યુટર કેન્દ્ર
computer expert,કમ્પ્યુટર નિષ્ણાત
computer graphics,કમ્પ્યુટર ગ્રાફિક્સ
computer instruction,કમ્પ્યુટર સૂચના
computer language,"1.કોમ્પ્યુટર ભાષા, 2.કોમ્પ્યુટર ભાષા"
computer network,"1.કોમ્પ્યુટર નેટવર્ક, 2.કોમ્પ્યુટર નેટવર્ક"
computer science,કમ્પ્યુટર વિજ્ઞાન
computer security,કમ્પ્યુટર સુરક્ષા
computer simulaton,કમ્પ્યુટર સિમ્યુલેશન
computer specialist,કમ્પ્યુટર નિષ્ણાત
computerisation,કોમ્પ્યુટરાઇઝેશન
computerist,કમ્પ્યુટરિસ્ટ
computerize,કોમ્પ્યુટરાઇઝેશન
computing,"1. ગણતરી, 2. ગણતરી"
concept,ખ્યાલ
concurrency,"1.સપ્રમાણતા, 2.સુસંગતતા, 3.સંગતતા"
concurrent,"સમવર્તી, સમાન"
condition variable,પ્રતિબંધ ચલ
conditional operator,પ્રતિબંધિત ઓપરેટર
conditional statement,પ્રતિબંધિત નિવેદન
conductor,ડ્રાઈવર
conferencing,"1.દૂર પરિષદ, 2.કોન્ફરન્સ"
confidentiality,ગોપનીયતા
configuration,"1.રૂપરેખાંકન, 2.રૂપરેખાંકન"
congestion,ભીડ
conjunction,સંયોજન
connect speed,કનેક્શન ઝડપ
connection,જોડાણ
connection less communication,જોડાણ રહિત સંચાર
connection release,જોડાણ પ્રકાશન
connectivity,કનેક્ટિવિટી
connector,"1.કનેક્ટર, 2.કનેક્ટર"
consecutive,સળંગ
consequent,ફોલોઅપ
console,કન્સોલ
consolidation,એકીકરણ
constant,"1. સહયોગી, 2. સતત"
constant instruction,સતત સૂચના
constraint,પ્રતિબંધિત
constructor,કન્સ્ટ્રક્ટર
container,પોટ
content,"1. સમાવિષ્ટો, 2. અવતરણો"
context,સંદર્ભ
context free grammar (CFG),સંદર્ભ મુક્ત વ્યાકરણ (cfg)
context switch,સંદર્ભ સ્વીચ
contingency,"1.આકસ્મિક, 2.આકસ્મિક"
contraction,વિસંગતતા
contrast,વિપરીત
control,નિયંત્રણ
control area,કન્ટેઈનમેન્ટ ઝોન
control bit,નિયંત્રણ બીટ
control bus,નિયંત્રક બસ
control card,નિયંત્રણ કાર્ડ
control circuit,નિયંત્રણ સર્કિટ
control cycle,નિયંત્રણ ચક્ર
control engineering,"1. કંટ્રોલ એન્જિનિયરિંગ, 2. કંટ્રોલ એન્જિનિયરિંગ"
control key,નિયંત્રણ કી
control logic,નિયંત્રણ તર્ક
control loop,નિયંત્રણ લૂપ
control mark,નિયંત્રણ ચિહ્ન
control operation,નિયંત્રણ કામગીરી
control panel,કંટ્રોલ પેનલ
control signal,નિયંત્રણ સંકેત
control switch,નિયંત્રણ સ્વીચ
control tape,નિયંત્રણ ટેપ
control terminal,"1. કંટ્રોલ ટર્મિનલ, 2. કંટ્રોલ ટર્મિનલ"
control unit (CU),"1. નિયંત્રણ એકમ, 2. નિયંત્રણ વિભાગ"
convergence,કન્વર્જન્સ
conversation,સંવાદ
conversational time sharing,વાતચીત કૉલ
conversion,રૂપાંતર
converter,કન્વર્ટર
Cook's theorem,કૂકનું પ્રમેય
co-processor,સહ-પ્રોસેસર
copy,નકલ
copyright,કૉપિરાઇટ
cord,દોરી
cordless telephone,"1.કોર્ડલેસ ટેલિફોન, 2. વાયરલેસ ટેલિફોન, 3. વાયરલેસ ટેલિફોન"
corollary,સબથિયોરમ
correction,સુધારો
corrupted,"1. બિનઉપયોગી, 2. વિકૃત"
count,ગણતરી
counter,સ્કોરર
country code,દેશનો કોડ
