Hindi,Punjabi
ऐग्रोबैक्टीरियम टूमिफेसियन्स,ਐਗਰੋਬੈਟਰਿਅਮ ਟੋਮਫੈਕੈਨਜ਼
कृषि-रसायन,ਐਗਰੋ ਕੈਮੀਕਲ
कृषि रसायनिक,ਐਗਰੋ ਕੈਮੀਕਲ
कृषि-जलवायु अंचल,ਅਗਰੋਕਲਾਈਮੈਟਿਕ ਜ਼ੋਨ
सस्यीय विशेषक,ਖੇਤੀਬਾਜੀ ਗੁਣ
सस्यविज्ञान,ਖੇਤੀਬਾੜੀ
एड्स,ਏਡਜ਼
वायु आशय,ਏਅਰ ਬਲੈਡਰ
वातानुकूलक,ੲੇ. ਸੀ
वायु पथ,ਹਵਾ ਦਾ ਰਾਹ
वायु प्रदूषण,ਹਵਾ ਪ੍ਰਦੂਸ਼ਣ
वायु कोश,ਏਅਰ ਸੈਕ
वायु धानी,ਏਅਰ ਵੈਕਲੂਓਲ
वायु-श्वसन,ਹਵਾ-ਸਾਹ
एलेन,ਅਲੇਨ
पक्षाकार पेशी,ਅਲੇਰੀ ਮਾਸਪੇਸ਼ੀ
अलास्काई भूरा भालू,ਅਲਾਸਕਨ ਬ੍ਰਾ .ਨ ਰਿੱਛ
वर्णकहीन,ਐਲਬਿਨੋ
ऐल्बूगो,ਆਲਬੂਗੋ
ऐल्बूमिन,ਐਲਬਮਿਨ
ऐल्बूमिनी बीज,ਐਲਬਿੰਜੀਨ ਬੀਜ
"ऐल्बूमिनमेह, ऐल्बूमिन्यूरिया",ਐਲਬਿ → ਮਿਨੂਰੀਆ
"रसकाष्ठ, एल्बर्नम",ਐਲਬਟਨਮ
ऐल्सीडी,ਐਲਸੀਏਸੀ
ऐल्डिहाइड,Aldeyhede
ऐल्डोस्टेरोन तंत्र,ਅੈਲਡੋਸਟਰੋਨ ਸਿਸਟਮ
ऐल्डोस्टेरोन,ਅਲੇਸਟਰੋਨ
ऐल्यूरॉन परत,ਅਲੇਪੁਰਨ ਪਰਤ
ऐल्यूरोप्लास्ट,ਐਲੇਰੋਪਲਾਸਟ
ऐल्फाल्फा,ਅਲਫਾਫਾ
शैवाल प्रस्फुटन,ਐਲਗਲ ਖਿੜ
ऐल्जिन,ਅਲੀਗਿਨ
विजातीय डी. एन. ए,ਪਰਦੇਸੀ ਡੀਐਨਏ
विदेशी जाति,ਪਰਦੇਸੀ ਪ੍ਰਜਾਤੀ
संरेखण,ਅਲਾਈਨਮੈਂਟ
अनुयोजन,ਅਲਾਈਨਮੈਂਟ
आहार नाल,ਅਲੀਮੈਂਟਰੀ ਨਹਿਰ
आहार-तंत्र,ਅਲੀਮੈਂਟਰੀ ਸਿਸਟਮ
ऐलिस्मेसी,ਐਲਿਸਮੇਸਸੀ
ऐल्केलॉइड,ਐਲਕਾਲਾਇਡ
क्षारीय,ਐਲਕਲੀਨ
ऐल्कैप्टनमेह,ਅਲਕਾਪਟਨੂਰੀਆ
अपरापोषिका,ਅੱਲੈਂਟੋਇਸ
विकल्पी आवृत्ति,ਐਲੀ ਬਾਰੰਬਾਰਤਾ
"विकल्पी, युग्मविकल्पी",ਐਲੀਲ
विकल्पी युग्म,ਅਲੇਲਬਿਕ ਜੋੜੀ
"प्रत्यूर्जक, एलर्जन",ਐਲਰਗੇਨ
"नक्र, ऐलिगेटर",ਐਲੀਗੇਟਰ
ऐलियम सीपा,ਐਲੀਅਮ ਸੀ.ਪੀ.ਏ.
परनिषेचन,ਆਲੋਗਮ
अपरनिरोप,ਅਲਾਗ੍ਰਾਫਟ
विस्थानिक जाति-उद्भवन,ਅਲੋਪੈਟ੍ਰਿਕ ਜਾਦੂਈ
अपरबहुगुणित,ਐਲੋਪੋਲਾਈਵਲਾਈਡ
अपरस्थली प्रभाव,ਐਲੋਸਟਰਿਕ ਪ੍ਰਭਾਵ
अपरस्थली एंजाइम,ਐਲੋਸਟ੍ਰਿਕ ਪਾਚਕ
अपरस्थलीय संदमक,ਐਲੋਸਟਰਿਕ ਇਨਿਹਿਬਟਰ
अपरस्थली मॉडुलन,ਐਲੋਸਟ੍ਰਿਕ ਮੈਨੂਲੇਸ਼ਨ
अपरस्थलीय स्थान,ਐਲੋਸਟ੍ਰਿਕ ਸਾਈਟ
अपरस्थली संदमन,ਐਲੋਸਟਰਿਕ ਰੋਕ
अपरचतुर्गुणित,Allotetraplaidd
ऐलनस,ਐਲਾਨਸ
ऐलो,ਐਲੋ
ऐक्सॉन की दिशा में,ਐਕਸੋਨ ਦੇ ਨਾਲ
ऐल्फा-ऐंटीट्रीप्सिन,ਅਲਫ਼ਾ-ਐਂਟੀਟ੍ਰਿਪਸਿਨ
"ऐल्फा लैक्टऐल्बूमिन, ऐल्फा-दुग्धऐल्बूमिन",ਅਲਫ਼ਾ-ਲੈਕਟਲਬੁਮਿਨ
अल्पाइन जलवायवीय परिस्थिति,ਐਲਪਾਈਨ ਦੀ ਸਥਿਤੀ
अल्पाइन शाद्वल,ਅਲਪਾਈਨ ਮੈਡੋ
अल्पाइन क्षेत्र,ਅਲਪਾਈਨ ਜ਼ੋਨ
ऐल्स्टोनिया,ਅਲਸਟੋਨੀਆ
आल्टर्नेरिया,ਅਲਟਰਨੇਰੀਆ
एकांतर,ਵਿਕਲਪਿਕ
पीढ़ी-एकांतरण,ਪੀੜ੍ਹੀ ਦੀ ਤਬਦੀਲੀ
तुंगता अस्वस्थता,ਉਚਾਈ ਬਿਮਾਰੀ
तुगंता,ਉਚਾਈ
कूपिका वाहिनी,ਐਲਵੋਲਰ ਡੈਕਟ
एलाइटीज,ਅਲਾਈਨ
ऐल्जाइमर रोग,ਅਲਜ਼ਾਈਮਰ ਰੋਗ
अतंत्रिकाक्षी कोशिका,ਅਮੈਕਰਾਈਨ ਸੈੱਲ
अमारेंथेसी,ਅਮਰੰਥੈਸੇ
अमारेंथस (चौलाई),ਅਮੈਸ਼ਨਥਸ
परिवेश परासरणी सांद्रण,ਅੰਬੀਨਟ ਓਮੋਟਿਕ ਗਾੜ੍ਹਾਪਣ
ऐम्बिस्टोमा,ਅਮੈਸਟੋਮਾ
ऐमाइड,ਐਮੀਡ
ऐमीनो अम्ल,ਅਮੀਨੋ ਐਸਿਡ
ऐमीनो अम्ल-ग्राही,ਅਮੀਨੋ ਐਸਿਡ ਸਵੀਕਾਰਟਰ
ऐमीनोएसिल टी-आर.एन.ए.सिन्थेटेज,ਅਮੀਨੋਸਾੱਲ ਟੀ ਆਰ ਐਨ ਏ ਸਿੰਥੇਟੇਸ
ऐमीनोएसिलीयन,ਅਮੀਨੋਕੁਲੇਸ਼ਨ
असूत्री विभाजन,ਅਮਿਤੋਸਿਸ
अमोनिया,ਅਮੋਨੀਆ
अमोनीकरण,ਅਨੁਮੋਧ
अमोनिया-उत्सर्जन,ਅਮੋਨੋਟੇਲਿਜ਼ਮ
उल्बवेधन,ਅਮਨੀਓਸੈਂਟੀਸਿਸ
उल्बवेधन तकनीक,ਅਮਨੀਓਸੈਂਟੀਸਿਸ ਤਕਨੀਕ
उल्बकोशिका,ਅਮਨੀਓਸਾਈਟ
उल्ब,ਅਮਨੀਅਨ
उल्ब तरल,ਅਮਨੀਓਟਿਕ ਤਰਲ
उल्ब कला,ਐਮਨੀਓਟਿਕ ਝਿੱਲੀ
उल्ब कोश,ਅਮਨੀਓਟਿਕਯੂ
अमीबा,ਅਮੋਬਾ
"अमीबाणु, अमीबीकोशिका",ਅਮੀਓਬੋਸਾਈਟ
"अमीबाभ, अमीबीय",ਅਮੀਬੋਇਡ
अमीबाभ लसीकाणु,ਅਮੀਬੋਇਡ ਲਿੰਫੋਸਾਈਟ
"अमीबीय गति, अमीबाभ गति",ਅਮੀਬੋਇਡ ਅੰਦੋਲਨ
"रवाहीन, अक्रिस्टलीय",ਅਮੋਰੈਫਸ
"मात्रा, परिमाण",ਦੀ ਰਕਮ
ऐम्फेटैमीन,ਅਮੀਫੇਟਾਮਾਈਨ
ऐम्फिबिया,ਅਮਫੀਬੀਆ
ऐम्फिबियन (प्राणी),ਐਫੀਬੀਅਨ
उभयचर,ਐਫੀਬੀਅਨ
एम्फिऑक्सस,Amphioxus
ऐम्फिऑक्सस लेन्सयोलेटस,Amphioxus Lannolotus
उभयसंवेदी,ਐਮਫੀਪਾਥਿਕ
उभयसंवेदी वसा,ਐਮਫੀਪਾਥਿਕ ਲਿਪਿਡ
ऐम्फिसार्का,ਅਮਫੀਸਾਰਕਾ
ऐम्पिसिलिन,ਐਂਪੀਸਿਲਿਨ
"तुंबिका, ऐंपुला",Ampulla
तुंबिका ग्रंथि,ਐਮਪੁੱਲੇਰੀ ਗਲੈਂਡ
ऐमिग्डल,ਅਮੀਗਡਲ
वातामक,ਅਮੀਗਡੇਲ
ऐमिग्डालिन,ਅਮੀਗਡਲਿਨ
एमिलेज,ਐਮੀਲੇਸ
मंडलवक,ਅਮੋਲੋਪਲਾਸਸਟ
ऐनाबीना,ਅਨਬਾਨਾ
ऐनाबस,ਅਨਬਾਸ
उपचय पथक्रम,ਐਨਾਬੋਲਿਕ ਮਾਰਗਾਂ
उपचय,ਐਨਾਬੋਲਿਜ਼ਮ
ऐनाकार्डिएसी,ਅਨਾਕਾਰਿਆਸੀ
अरक्तता,ਅਨੀਮੀਆ
"अवायुजीव, अनॉक्सी जीव",ਅਨੀਰੋਬ
अवायवी ईंधन,ਅਨੈਰੋਬਿਕ ਬਾਲਣ
"अवायु-श्वसन, अनॉक्सीय श्वसन",ਅਨੈਰੋਬਿਕ ਸਾਹ
अवायवी आपंक पाचित्र,ਅਨੈਰੋਬਿਕ ਸਲੈਗ ਡਿਜਸਟਰ
"अवायवी, अवायुजीवी",ਅਨੀਰੋਬਿਕ
एनाइमा,ਅਨਾਮਾ
"गुदीय, गुद",ਗੁਦਾ
पक्षांत,ਗੁਦਾ
"गुदीय द्वारक, गुद छिद्र",ਗੁਦਾ ਅਪਰਚਰ
गुदलूम,ਗੁਦਾ ਕਰਬੇਲੀ
पक्षांत पाश,ਗੁਦਾ ਲੂਪ
गुदशूक,ਗੁਦਾ ਸ਼ੈਲੀ
समवृत्ति,ਸਮਾਨ
"सदृश, अनुरूप",ਸਮਾਨ
समवृत्तिता,ਸਮਾਨਤਾ
"सादृश्य, अनुरूपता",ਸਮਾਨਤਾ
विश्लेषण,ਵਿਸ਼ਲੇਸ਼ਣ
पश्चावस्था,ਐਨਾਫਸੇਸ
शारीरी रोध,ਐਨੀਟੋਮਿਕ ਬੈਰੀਅਰ
शारीरीय पक्ष,ਐਨਾਟੋਮਿਕਲ ਪਹਿਲੂ
शारीरज्ञ,ਐਨੀਟੋਮਿਸਟ
शारीर,ਸਰੀਰ ਵਿਗਿਆਨ
पूर्वज वंशज अनुक्रम,ਪੂਰਵਜ ਵੰਸ਼ਜ ਕ੍ਰਮ
पूर्वज वंशक्रम,ਜੱਦੀ ਵੰਸ਼ਜ
पूर्वज अनुक्रम,ਪੂਰਵਜ ਕ੍ਰਮ
ऐंकिलोस्टोमा,ਐਸੀਕੇਲੋਸਟੋਮਾ
पुमंग,ਐਂਡਰੋਸੀਅਮ
"ऐंड्रोजेन, पुंजन",ਐਂਡਰੋਜਨ
अरक्तता,ਅਨੀਮੀਆ
अनेमनी,ਅਨੀਮੋਨ
असुगुणित,ਅਨੀਉਟਲੋਇਡ
असुगुणिता,ਅਨੀਯੁਰਾਕੀਡੀ
ऐंजाइना,ਐਨਜਾਈਨਾ
वाहिकाचित्र,ਐਂਜੀਗਰਾਮ
ऐंजिओग्राफ,ਐਂਜੀਓਗ੍ਰਾਫ
"वाहिकाचित्रण, ऐंजिओग्राफी",ਐਂਜੀਓਗ੍ਰਾਫੀ
"वाहिका-संधान, ऐंजिओप्लास्टी",ਐਂਜੀਓਪਲਾਸਟੀ
आवृतबीजी,ਐਂਜੀਓਸਪਰਸਮ
ऐंजिओटेन्सिन,ਐਂਜੀਓਟੈਨਸਿਨ
ऐंजिओटेन्सिनोजन,ਐਂਜੀਓਟੈਨਸਿਨੋਜਨ
वडिश मीन,ਐਂਗਲਰ ਮੱਛੀ
ऐंग्विना,ਅੰਗੀਨਾ
ऐन्गुइस,Anguiss
प्राणी,ਜਾਨਵਰ
पशु,ਜਾਨਵਰ
पशु शमल,ਜਾਨਵਰ ਗੋਬਰ
पशुपालन,ਪਸ਼ੂ ਪਾਲਣ
प्राणी गुणसूत्रप्ररूपण,ਜਾਨਵਰ ਕੈਰੀਓਟਾਈਪਿੰਗ
प्राणिजगत्,ਪਸ਼ੂ ਰਾਜ
प्राणि-ऊतक,ਜਾਨਵਰਾਂ ਦੇ ਟਿਸ਼ੂ
ऐनिमेलिया,ਯੰਤਰੀਆ
ऋणायन,Anion
विषमदैशिक पट्ट,ਐਨਿਸੋਟ੍ਰੋਪਿਕ ਬੈਂਡ
अनीलन,ਐਂਲਿੰਗਿੰਗ
ऐनेलिड (प्राणी),ਅੰਨੇਲਿਡ
ऐनेलिडा,ਅਨਲਿਲਡਾ
वार्षिक वलय,ਸਾਲਾਨਾ ਰਿੰਗ
वलयाकार,ਅੰਨਟੇਡ
"वलयांश, ऐन्यूल",ਸਾਲ
असंगत प्ररूप,ਅਸਧਾਰਨ ਕਿਸਮ
ऐनोफेलीज,ਐਨਾਓਫੇਲਜ਼
चींटीखोर,ਕੀੜੀ ਹੈਟਰ
विरोधी,ਵਿਰੋਧੀ
दक्षिण ध्रुवीय,ਅੰਟਾਰਕਟਿਕ
शृंगिका,ਐਂਟੀਨਾ
ऐन्टेना संकुल,ਐਂਟੀਨਾ ਕੰਪਲੈਕਸ
शृंगिका ग्रंथि,ਐਨਟੇਨਲ ਗਲੈਂਡ
अग्र (अधर) घूसर शृंग,ਪਿਛਲੇ (ਵੈਂਟ੍ਰਲ) ਸਲੇਟੀ ਸਿੰਗ
अग्र पीयूषिका,ਐਂਟੀਰੀਫਾਈਫਾਈਸਿਸ
अग्र अंतरानिलयी परिखा,ਐਂਟੀਰੀਅਰ ਇੰਟਰਵੈਂਟ੍ਰਿਕੂਲਰ ਸੂਲਕਸ
परागकोश,ਐਂਥਰ
पराग संवर्धन,ਐਂਥਰ ਸਭਿਆਚਾਰ
पुंधानी,ਐਂਡਰਾਈਡਿਅਮ
पुमणु,ਐਂਡਰੋਜ਼ੋਇਡ
ऐन्थोसिरोस,ਐਂਥਸੋਰੋਸ
ऐन्थोसिरोटॉप्सिडा,ਐਂਥੋਸਰੋਟੋਫਡਾਡਾ
ऐन्थ्रैक्स,ਐਂਥ੍ਰੈਕਸ
मानवजनित विलोपन,ਐਂਥ੍ਰੋਪੋਜਾਈਜਡ ਅਲੋਪ
मानवविज्ञान,ਮਾਨਵ-ਵਿਗਿਆਨ
प्रतिजीवाणुक,ਐਂਟੀਬੈਕਟੀਰੀਅਲ
प्रतिजैविक पेनिसिलिन,ਐਂਟੀਬਾਇਓਟਿਕ ਪੈਨਸਿਲਿਨ
प्रतिजैविक प्रतिरोधी,ਐਂਟੀਬਾਇਓਟਿਕ ਰੋਧਕ
प्रतिजैविक,ਐਂਟੀਬਾਇਓਟਿਕ (ਜ਼)
"प्रतिरक्षी, प्रतिपिंड",ਐਂਟੀਬਾਡੀ
"प्रतिरक्षी युग्म, प्रतिपिंड युग्म",ਐਂਟੀਬਾਡੀ ਜੋੜਾ
प्रतिरक्षी माध्यित प्रतिरक्षा,ਐਂਟੀਬਾਡੀ ਵਿਚੋਲੀ ਛੋਟ
प्रतिस्कंदक,ਐਂਟੀਕੋਆਗੂਲੈਂਟ
प्रतिप्रकूट पाश (प्रतिकोडॉन पाश),ਐਂਟੀਕੋਡਨ ਲੂਪ
प्रति-अवसादक,ਰੋਗਾਣੂਨਾਸ਼ਕ
प्रतिमूत्रल हॉर्मोन,ਐਂਟੀਡੀਯੂਯੂਰੀ ਹਾਰਮੋਨ (ਏਡੀਐਚ)
प्रतिजन जीन,ਐਂਟੀਗਨ ਜੀਨ
प्रतिजन-प्रतिरक्षी सम्मिश्र,ਐਂਟੀਗਨ-ਐਂਟੀਬਾਡੀ ਕੰਪਲੈਕਸ
प्रतिजनी निर्धारक,ਐਂਟੀਗੈਨਿਕ ਨਿਰਣਾਇਕ
