Bengali,English
ম্যাট্রিক্স সমন্বয়,adjoint of matrix
সমগোত্রীয় ম্যাট্রিক্স,adjugate matrix
গ্রহণযোগ্য সিদ্ধান্ত ফাংশন,admissible decision function
গ্রহণযোগ্য অনুমান,admissible hypothesis
এরোডাইনামিক বল,aerodynamic force
বায়ুগতিবিদ্যা,aerodynamics
সমজাতীয় জ্যামিতি,affine geometry
সমজাতীয় ম্যাপিং,affine mapping
একজাতীয় রূপান্তর,affine transformation
সামগ্রিক পরিবর্তনশীল,aggregating variables
"বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত",algebra
"seedy বন্ধ, বীজাণু",algebraically closed
বীজগণিত সমীকরণ,algebraic equation
বীজগাণিতিক এক্সপ্রেশন,algebraic expression
বীজগণিতের একজাতীয়তা,algebraic form
বীজগণিতের ফাংশন,algebraic function
বীজগণিত জ্যামিতি,algebraic geometry
বীজগণিত বহুত্ব,algebraic multiplicity
বীজগণিত ব্যবস্থা,algebraic system
সমস্ত পূর্ণসংখ্যা সমস্যা,all-integer problem
"অ্যাসাইনমেন্ট সমস্যা ওয়াট প্রশ্ন,",allocation problem
বর্ণানুক্রমিক স্বরলিপি,alphabetical notation
বর্ণানুক্রমিক অক্ষর,alphabetic character
বিকল্প কোণ,alternate angle
"বিকল্প সমজাতীয় বিকল্প ফর্ম,",alternating form
বিকল্প গোষ্ঠী,alternating group
বিকল্প ম্যাট্রিক্স,alternating matrix
বিকল্প সিরিজ,alternating series
বিকল্প অনুমান,alternative hypothesis
বিকল্প সর্বোত্তম,alternative optima
বিকল্প ফলাফল,alternative outcome
এনালগ-ডিজিট কনভার্টার,analog-to-digital converter
"এনালগ কম্পিউটার,",analogue computer
বিশ্লেষণ,analysis
সহভক্তি বিশ্লেষণ,analysis of covariance
গণনা-ডেটা বিশ্লেষণ,analysis of enumeration data
বৈচিত্র্য বিশ্লেষণ,analysis of variance
বিশ্লেষণাত্মক জ্যামিতি,analytic geometry
বিশ্লেষণাত্মক ফাংশন,analytic function
কোণ,angle
স্পর্শক কোণ,angle of contact
বিচ্যুতি কোণ,angle of deflection
বিষণ্নতা কোণ,angle of depression
বিচ্যুতি কোণ,angle of deviation
বিবর্তন কোণ,angle of diffraction
উচ্চতা কোণ,angle of elevation
ঘটনার কোণ,angle of incidence
অভিক্ষেপ কোণ,angle of projection
প্রতিফলন কোণ,angle of reflection
প্রতিসরণ কোণ,angle of refraction
ঘূর্ণন কোণ,angle of rotation
প্রতিফলনের পরম কোণ,angle of total reflection
কৌণিক ত্বরণ,angular acceleration
কৌণিক বেগ,angular motion
কৌণিক গতি,angular speed
কৌণিক বেগ,angular velocity
অনামিকা আঙুল,annulus
উত্তর,answer
কাউন্টার ডেরিভেটিভ,anti – derivative
আইসোমেট্রিক ফাংশন,antisymmetric function
"আচ্ছাদনযোগ্য, প্রযোজ্য, প্রযোজ্য",applicable
"আবেদনের আবেদন,",application
প্রয়োগকৃত গতিশীল প্রোগ্রামিং,applied dynamic programming
প্রয়োগ করা জ্যামিতি,applied geometry
ফলিত গণিত,applied mathematics
ফলিত পরিসংখ্যান,applied statistics
"প্রায়, প্রায়",approximately
প্রায় একটানা ফাংশন,approximately continuous function
"ম্যাক্রো পদ্ধতি, আনুমানিক পদ্ধতি",approximate method
আনুমানিক সমাধান,approximate solution
আনুমানিক সমস্যা,approximation problem
আনুমানিক সম্পত্তি,approximation property
বুদ্ধিমত্তার পরীক্ষা,aptitude test battery
আর্গন ডায়াগ্রাম,Argand diagram
স্বেচ্ছায়,arbitrarily chosen
"এলোমেলো, এলোমেলো",arbitrary
নির্বিচারে ধ্রুবক,arbitrary constant
বিনামূল্যে উপাদান,arbitrary element
নির্বিচারে পয়েন্ট,arbitrary point
আর্কিমিডের আইন,Archemedean law
আর্কিমিডিসের আইন,Archimedes principle
"চাপ-দৈর্ঘ্য, চাপ-দৈর্ঘ্য",arc length
বৃত্ত চাপ,arc of circle
ইনভার্স সাইন ডিস্ট্রিবিউশন,arc sine distribution
বিপরীত সাইন রূপান্তর,arc sine transformation
"এলাকা, এলাকা",area
আঞ্চলিক কনফিগারেশন,areal texture
একটি জটিল সংখ্যার কোণ,argument of complex number
গাণিতিক গড়,arithmetic mean
ডিজিটাল অপারেশন,arithmetic operation
ডিজিটাল ইউনিট,arithmetic unit
"কনফিগারেশন, বিন্যাস",arrangement
"অ্যারে, অ্যারে",array
কৃত্রিম উপগ্রহ,artificial satellite
কৃত্রিম পরিবর্তনশীল,artificial variable
আরোহন করা,ascend
আরোহী,ascending
মাত্রার আরোহী ক্রম,ascending order of magnitude
আরোহী গ্রেড,ascending series
সংযোজনকারী ভাষা,assembler language
"অ্যাসাইনমেন্ট সমস্যা অ্যাসাইনমেন্ট প্রশ্ন,",assignment problem
সহযোগী নিয়ম,associative law
অপারেটরদের সহযোগী নিয়ম,associative law of operators
সহযোগী অপারেশন,associative operation
সাহচর্য,associativity
ধরে নেওয়া গড়,assumed mean
অনুমান সম্ভাব্যতা বন্টন,assumed probability distribution
"কল্পনা করা, স্বীকার করা,",assumption
জ্যোতিষশাস্ত্র,astrology
"মহাকাশচারী প্রকৌশলী মহাকাশ প্রকৌশলী,",astronautical engineer
জ্যোতির্বিদ*,astronomer
জ্যোতির্বিদ্যা ঘড়ি,astronomical clock
জ্যোতির্বিদ্যা,astronomy
অপ্রতিসম বক্ররেখা,asymmetrical curve
অসমতা,asymmetry
অ্যাসিম্পোটিক,asymptote
উত্তেজক,asymptotic
প্রগতিশীল অনুমানকারী,asymptotically efficient estimator
বিপরীতমুখী পক্ষপাতমূলক অনুমানকারী,asymptotically unbiased estimator
বিপরীতমুখী আচরণ,asymptotic behavior
আক্রমনাত্মক বিতরণ ফাংশন,asymptotic distribution function
ঊর্ধ্বগামী বিস্তার,asymptotic expansion
বায়ুমণ্ডলীয় চাপ,atmospheric pressure
"এলোমেলোভাবে,",at random
সম্পত্তি*,attribute
অ্যাট্রিবিউট-স্যাম্পলিং-মেকানিজম,attributes sampling procedure
অগমেন্টেড ম্যাট্রিক্স,augmented matrix
স্বয়ংক্রিয় সম্পর্ক সহগ,autocorrelation coefficient
স্বয়ংক্রিয় সম্পর্ক ফাংশন,autocorrelation function
সহবাস,autocovariance
স্বয়ংক্রিয় কম্পিউটার,automatic computer
অটোরিগ্রেশন,autoregression
সহায়ক সমীকরণ,auxiliary equation
গড় নমুনা সংখ্যা বক্ররেখা (MPC বক্ররেখা),average sample number curve (A.S.N. Curve)
"axiom, axiom",axiom
স্বতঃসিদ্ধ পদ্ধতি,axiomatic approach
সম্ভাব্যতা স্বতঃসিদ্ধ,axiom of probability
অক্ষ,axis
ভুজক্ষ,axis of abscissa
পৃথিবী অক্ষ,axis of earth
ঘূর্ণন অক্ষ,axis of revolution
ঘূর্ণন অক্ষ,axis of rotation
স্পিন অক্ষ,axis of spin
পোস্ট প্রতিস্থাপন,back-substitution
পরে,backward difference
ফিরে সন্নিবেশ সূত্র,backward-interpolation formula
"ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য",balance
সুষম নকশা,balanced design
ব্যালেন্স শীট,balance sheet
মিসাইল,ballistic missile
"ব্যালিস্টিক, অস্ত্র",ballistics
"কলাম, রড, কোব, বার, বার, বার, বার, বার, বার, লাইন, লাইন, টেস্ট লাইন, প্রান্ত",bar
"ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি",base
ভিত্তি কোণ,base angle
"লগারিদমের ভিত্তি, লগারিদমের ভিত্তি",base of logarithm
"মৌলিক, মৌলিক,",basic
ভিত্তি সুসংগত সমাধান,basic feasible solution
ভিত্তি সমাধান,basic solution
ভিত্তি পরিবর্তনশীল,basic variable
ভিত্তি,basis
ভিত্তি উপাদান,basis element
বেস ম্যাট্রিক্স,basis matrix
ভেক্টর স্থানের ভিত্তি,basis of a vector space
উপ-জনসংখ্যা ভিত্তিতে,basis of subspace
নীতিহীন,Bayesian estimate
বেজ-রুল,Bayes' law
bez-তত্ত্ব,Bayes' theorem
bernoulli-বন্টন,Bernoulli distribution
বার্নোলি সংখ্যা,Bernoulli number
Bernoulli সম্ভাব্যতা ফাংশন,Bernoulli probability function
বার্নোলি-সমীকরণ,Bernoulli's equation
বেরি ফাংশন,Berry function
সেরা আনুগত্য,best fit
সেরা আনুগত্য লাইন,best - fit line
সেরা সমাধান,best solution
সেরা টিপস,best strategies
বিটা বিতরণ,beta distribution
"পক্ষপাত, পক্ষপাত",bias
পক্ষপাতমূলক মূল্যায়ন,biased estimate
দ্বিপদ সমীকরণ,biharmonic equation
একক আবরণ,bijection
একক কভার মানচিত্র,bijective map
একক কভার ম্যাপিং,bijective mapping
দ্বিঘাত দ্বিঘাত,bilinear form
বাইলিনিয়ার ফাংশন,bilinear function
বাইলিনিয়ার হারমিটিয়ান একজাতীয়তা,bilinear Hermitian form
"দ্বি-পরিবর্তনশীল, বাইনারি, দ্বৈত",binary
"বাইনারি কোড, বাইনারি কোড",binary code
"বাইনারি কোডেড দশমিক, বাইনারি কোডেড দশমিক",binary coded decimal
বাইনারি এনকোডিং,binary coding
বাইনারি কম্পিউটার,binary computer
বাইনারি সংখ্যা,binary digit
বাইনারি অপারেশন,binary operation
বাইনারি পদ্ধতি,binary system
বাইনারি পরিবর্তনশীল,binary variable
দ্বিপদ সহগ,binomial coefficient
দ্বিপদ ডিস্ট্রিবিউশন,binomial distribution
দ্বিপদ সমীকরণ,binomial equation
দ্বিপদ প্রকরণ,binomial expansion
দ্বিপদ অভিব্যক্তি,binomial expression
দ্বিপদী র্যান্ডম পরিবর্তনশীল,binomial random variable
দ্বিপদ উপপাদ্য,binomial theorem
"অর্ধেক, বিভাজন",bisection
"দ্বিখণ্ডিত পদ্ধতি, অর্ধবিভাগ পদ্ধতি",bisection method
অর্ধেক দ্বিখণ্ডক,bisector
দ্বিপদ,biserial
"Dwayank (বাইনারী সংখ্যা), আনি, বার্মিজ, টুক",bit
দ্বিপদ দ্বিপদী বন্টন দ্বিপদ,bivariate binomial distribution
দ্বিভারী পারস্পরিক সম্পর্ক সহগ,bivariate correlation coefficient
দ্বিমুখী বন্টন,bivariate distribution
bivariate স্বাভাবিক-বন্টন,bivariate normal distribution
bivector,bivector
বোল্টম্যান সমীকরণ,Boltzmann equation
বুলিয়ান বীজগণিত*,Boolean algebra
বোস-আইনস্টাইন পরিসংখ্যান,Bose - Einstein statistics
সীমাবদ্ধতা সীমাবদ্ধতা,boundary condition
সীমানা স্তর,boundary layer
সীমান,boundary line
সীমা মান,boundary value
সীমানা মান সমস্যা,boundary value problem
"আবদ্ধ ফাংশন আবদ্ধ ফল,",bounded function
"আবদ্ধ ম্যাট্রিক্স, আবদ্ধ ম্যাট্রিক্স, আবদ্ধ টেবিল,",bounded matrix
"সীমাবদ্ধ অঞ্চল সীমাবদ্ধ অঞ্চল,",bounded region
"আবদ্ধ সেট আবদ্ধ সেট,",bounded set
ব্রাউনি গতি,Brownian motion
হিসাব করতে,calculate
গণনা,calculating
"ক্যালকুলেটর, ক্যালকুলেটর",calculating machine
হিসাব*,calculation
গণনামূলক কর্ম পদ্ধতি,calculational procedure
"ক্যালকুলেটর, ক্যালকুলেটর",calculator
"ক্যালকুলাস, ক্যালকুলাস",calculus
প্রকরণ ক্যালকুলাস,calculus of variation
ক্যালোরি,calorie
বিধি বাতিল করা,cancellation law
ক্যানোনিকাল সমীকরণ,canonical equation
ক্যানোনিকাল ফর্ম,canonical form
"ক্যানোনিকাল ম্যাট্রিক্স, কে ক্যানোনিকাল ম্যাট্রিক্স",canonical matrix
ক্যান্টর সেট,Cantor set
ক্যান্টর ত্রিভুজাকার সেট,Cantor's ternary set
সীমাবদ্ধ পরিবহন সমস্যা,capacitated transportation problem
ক্ষমতা,capacity
কৈশিক বল,capillary force
"গণনা সংখ্যা, কার্ডিনাল সংখ্যা",cardinal number
কার্টেসিয়ান অক্ষ,Cartesian axes
কার্টেসিয়ান স্থানাঙ্ক,Cartesian coordinates
কার্টিজিয়ান পণ্য,Cartesian product
সেটের কার্টেসিয়ান গুন,Cartesian product of sets
"কেস স্টাডি, কেস স্টাডি",case study
বিপর্যয়মূলক বক্তৃতা,catastrophic fluctuation
ক্যাটিনারি,Catenary
কচি বন্টন,Cauchy distribution
কৌশির সূত্র,Cauchy formula
কচি-গুর্সা-তত্ত্ব,Cauchy Goursat theorem
কৌশি-রিম্যান-বান,Cauchy Riemann conditions
কচি সিকোয়েন্স,Cauchy sequence
কৌশি অবিচ্ছেদ্য,Cauchy integral
কৌশি প্রধান-মূল্য,Cauchy principal value
কচি অবশিষ্ট উপপাদ্য,Cauchy residue theorem
ক্যালে-হ্যামিল্টন-উপাত্ত,Cayley Hamilton theorem
স্বর্গীয় শরীরের,celestial body
জ্যোতির্বিদ্যা পরিমাপ,celestial measurement
স্বর্গীয় বলবিদ্যা,celestial mechanics
স্বর্গীয় শরীরের,celestial object
সেল ফ্রিকোয়েন্সি,cell frequency
"আদমশুমারি, আদমশুমারি",census
শতাংশ,centile
সেন্টিমিটার,centimeter
সেন্টিমিটার-গ্রাম-সেকেন্ড পদ্ধতি,centimeter gram second system
"কেন্দ্রীয়, কেন্দ্রীভূত",central
কেন্দ্রীয় অক্ষ,central axis
কেন্দ্রীয় ফাঁক,central difference
কেন্দ্রীয় পার্থক্য সূত্র,central difference formula
কেন্দ্রীয় ডিফারেনশিয়াল টেবিল,central difference table
কেন্দ্রীয় সীমা উপপাদ্য,central limit theorem
কেন্দ্রীয় মুহূর্ত,central moment
কেন্দ্রীয় সম্পদ ইউনিট,central processing unit (C.P.U)
কেন্দ্রীয় প্রবৃত্তি,central tendency
কেন্দ্র*,centre
অভিকর্ষের কেন্দ্র,centre of gravity
গ্রুপ কেন্দ্র,centre of group
ভর কেন্দ্র,centre of mass
প্রতিসাম্য কেন্দ্র,centre of symmetry
অপকেন্দ্র বল,centrifugal force
কেন্দ্রমুখী বল,centripetal force
"কেন্দ্রমুখী মেরিডিয়ান,",centroid
নিশ্চিততা,certainty
সিজিএস পদ্ধতি,c.g.s. system
সিজিএস ইউনিট,c.g.s. unit
পার্থক্যের চেইন নিয়ম,chain rule of differentiation
"ভাগ্যে, ভাগ্যক্রমে",chance causes
এলোমেলো পদক্ষেপ,chance moves
অক্ষ স্থানান্তর,change of axes
"ভিত্তি পরিবর্তন পয়ধর-পরিবর্তন,",change of basis
স্থানান্তর,change of order
বৈশিষ্ট্য সহগ,characteristic coefficient
চরিত্রগত নির্ধারক,determinant
চরিত্রগত সমীকরণ,characteristic equation
"চারিত্রিক ফাংশন, চরিত্রগত ফাংশন",characteristic function
লগারিদমের পূর্ণসংখ্যা,characteristic of logarithm
"চরিত্রগত বহুপদ,",characteristic polynomial
বৈশিষ্ট্যগত মান,characteristic value
চরিত্রগত ভেক্টর,characteristic vector
চরিত্র সম্প্রদায়,character set
"চার্ট, চার্ট,",chart
চি-স্কোয়ার বিতরণ,chi-square distribution
চি-বর্গাকার সূত্র,chi-square formula
চি-স্কয়ার পরীক্ষা,chi-square test
জ্যা*,chord
জ্যা বিভাজন পদ্ধতি,chord-bisection method
লিখিত বার্তা,cipher message (=coded message)
"শূন্য, সাইফার",cipher (zero)
বৃত্ত*,circle
অভিসারী বৃত্ত,circle of convergence
সার্কিট ম্যাট্রিক্স,circuit matrix
"বৃত্তাকার, বৃত্তাকার,",circular
বৃত্তাকার উপসর্গ,circular asymptote
বৃত্তাকার কন্ডুলাইন,circular helix
বৃত্তাকার গতি,circular motion
পরিধি কেন্দ্র,circumcentre
অবসরপ্রাপ্ত*,circumcircle
"প্রদক্ষিণ করা, চারপাশে আঁকা",circumscribe
অতীত,circumscribed
পরিধিকৃত,circumscribed circle
বিশিষ্ট কর্পোরেট,classical deductive technique
ক্লাসিক গতিবিদ্যা,classical dynamics
ক্লাসিক অপ্টিমাইজেশান,classical optimization
দীর্ঘস্থায়ী আর্থিক সমস্যা,classical ruin problem
শাস্ত্রীয় পরিসংখ্যানগত বলবিদ্যা,classical statistical mechanics
ত্রুটির শ্রেণীবিভাগ,classification of errors
ক্লাসের ব্যবধান,class interval
ক্লাস ব্যবধান ইউনিট,class-interval unit
শ্রেণীর সীমা,class limit
ঘড়ির কাঁটার দিকে,clockwise
বন্ধ,clopen (= closed and open)
"বন্ধ, বন্ধ",closed
বন্ধ স্তর আবরণ,closed convex hull
বন্ধ ঘনক্ষেত্র,closed cube
"বন্ধ বক্ররেখা, বন্ধ বক্ররেখা",closed curve
বন্ধ প্রদেশ,closed domain
বন্ধ আকৃতি,closed figure
বন্ধ ব্যবধান,closed interval
"বদ্ধ অঞ্চল, বদ্ধ অঞ্চল",closed region
বন্ধ সেট,closed set
"বন্ধ পাতা, বন্ধ পাতা",closed surface
নেমেসিস,closure
pronator,closure operator
উত্তল বিন্দু,closure point (= contact point)
বন্দী-স্বীকৃত,closure postulate
বন্দী সেট,closure set
ক্লাস্টার পয়েন্ট,cluster point
গুচ্ছের আদর্শ,cluster sampling
ক্লাস্টার সমষ্টি,cluster set
সমাক্ষীয় বৃত্ত,coaxial circles
সমাক্ষীয় প্যারাবোলা,coaxial parabolas
সমাক্ষ সমতল,coaxial planes
সমাক্ষীয় ত্রিভুজ,coaxial triangles
কোব-ডগলাস ফাংশন,Cobb - Douglas function
"এনকোডিং, কোডিং, স্বরলিপি",coding
উপাদান স্বরলিপি,coding of data
সহ-প্রদেশ,co-domain
সহগ ম্যাট্রিক্স,coefficient matrix
পারস্পরিক সম্পর্ক সহগ,coefficient of correlation
সংকল্প সহগ,coefficient of determination
স্থিতিস্থাপকতা সহগ,coefficient of elasticity
ব্যাপন সহগ,coefficient of expansion
ঘর্ষণ গুণাঙ্ক,coefficient of friction
অনুদৈর্ঘ্য প্রসারণের সহগ,coefficient of linear expansion
রিগ্রেশন সহগ,coefficient of regression
পৃষ্ঠ টান সহগ,coefficient of surface tension
ভিন্নতার সহগ,coefficient of variation
"কো-ফ্যাক্টর, কো-ফ্যাক্টর, কো-ফ্যাক্টর",cofactor
মুদ্রা শিরসঁচালন,coin throw (coin toss)
নমুনা সংগ্রহ,collection of sample
সমরেখার,collinear
প্রান্তিককরণ,collinearity
"কলাম, কলাম",column
স্তম্ভ,column equivalence
স্তম্ভ,column equivalent
কলামার ম্যাট্রিক্স,column equivalent matrix
কলাম ম্যাট্রিক্স,column matrix
কলামের ক্রম,column rank
স্তম্ভিক শ্রেণিবিন্যাস ম্যাট্রিক্স,column reduced echolon matrix
কলাম ভেক্টর,column vector
কলাম অনুযায়ী,columnwise
যৌথ সমীকরণ,combined equation
"সাধারণ কোণ, সাধারণ কোণ",common angle
সাধারণ অক্ষ,common axis
"সাধারণ ভিত্তি, সাধারণ ভিত্তি",common base
সর্বজনীন,common denominator
সাধারণ পার্থক্য,common difference
"সাধারণ গুণনীয়ক, সাধারণ গুণনীয়ক, সাধারণ গুণনীয়ক",common factor
"সরল লগারিদম, সরল লগারিদম",common logarithm
"সাধারণ একাধিক, সাধারণ",common multiple
সাধারণ অনুপাত,common ratio
ছেদ ধারা,common section
সাধারণ বাহু,common side
"সাধারণ স্পর্শক, সাধারণ স্পর্শক",common tangent
সাধারণ অবস্থান,common term
পরিবর্তনমূলক নিয়ম,commutative law
পরিবর্তনমূলক সম্পত্তি,commutative property
পরিবর্তনমূলক নিয়ম,commutative rule
যোগফলের পরিবর্তনমূলক আইন,commutative law of addition
গুণের পরিবর্তনমূলক নিয়ম,commutative law of multiplication
পরিবর্তনমূলক অপারেশন,commutative operation
পরিবর্তনশীল দল,commutator group
ম্যাট্রিক্সের পরিবর্তনশীল,commuting of matrices
কমপ্যাক্ট সেট,compact set
"তুলনা, তুলনা",comparability
উপায়ের তুলনা,comparision of means
শতাংশ তুলনা,comparision of percentage
তুলনা পরীক্ষা,comparision test
সুসংগত সমীকরণ,compatibility equation
প্রতিযোগিতামূলক খেলা,competitive game
প্রতিযোগিতামূলক অবস্থান,competitive situation
প্রতিযোগিতামূলক কৌশল,competitive strategy
"দোভাষী, কম্পাইলার",compiler
সাপ্লিমেন্ট,complementary
পরিপূরক কোণ,complementary angle
পরিপূরক ঘটনা,complementary event पूरक घटना
পরিপূরক ফ্যাক্টর,complementary factor
পরিপূরক ফাংশন,complementary function
পরিপূরক অর্ধেক জনসংখ্যা,complementary half space
পরিপূরক ব্যবধান,complementary interval
পরিপূরক সেট,complementary set
"পরিপূরক, পরিপূরক",complementation
পরিপূরক সেট,complement of a set
নিখুঁত স্কোর,complete census
সম্পূর্ণ পারস্পরিক সম্পর্ক ম্যাট্রিক্স,complete correlation matrix
সম্পূর্ণ পরিসরের জনসংখ্যা,complete metric space
নিখুঁত স্বাভাবিক অর্থোগোনাল সেট,complete orthonormal set
নিখুঁত চতুর্ভুজ,complete quadrangle
নিখুঁত ভাগফল,complete quotient
সম্পূর্ণ সেট,complete set
সম্পূর্ণ সমাধান,complete solution
সম্পূর্ণরূপে এলোমেলো নকশা,completely randomised design
জটিল স্বাধীন পরিবর্তনশীল,complex argument
জটিল অনুবন্ধী,complex conjugate
জটিল ডিফারেনশিয়াল,complex differentiation
জটিল ফাংশন,complex function
জটিল একীকরণ,complex integration
জটিল ম্যাট্রিক্স,complex matrices
জটিল সংখ্যা,complex number
জটিল সংখ্যা ক্ষেত্র,complex number field
জটিল উল্লম্ব ম্যাট্রিক্স,complex orthogonal matrix
যৌগিক সমতল,complex plane
জটিল সমষ্টি,complex quantity
জটিল বিপরীত,complex reciprocal
যৌগিক ফলাফল,complex resultant
জটিল জনসংখ্যা,complex space
যৌগিক ফাংশন,complex valued function
জটিল পরিবর্তনশীল,complex variable
সমষ্টি অনুপাত,componendo and divindendo
"উপাদান, সম্পর্কিত উপাদান",component
উপাদান বিশ্লেষণ,component analysis
পার্থক্য ফ্যাক্টর,component of variance
ভেক্টর উপাদান,component of vector
যৌগিক ফাংশন,composite function
যৌথ দৃষ্টি,composite hypothesis
যৌগিক সংখ্যা,composite number
সম্মিলিত বিভাগ,composite series
ভেক্টর সংমিশ্রণ,composition of vectors
মিশ্র কোণ,compound angle
খাদ অংশ,compound division
মিশ্র ভগ্নাংশ,compound fraction
চক্রবৃদ্ধিহারে সুদ,compound interest
মিশ্র সম্ভাবনা,compound probability
কম্প্রেসিভ প্রবাহ,compressible flow
সঙ্কোচন,compression
গণনা,computation
কম্পিউটেশনাল সূত্র,computational formula
গণনা করা মান,computed value
"কম্পিউটার, কম্পিউটার (মেশিন), কম্পিউটার (ব্যক্তি)",computer
গণনা করা অ্যালগরিদম,computer algorithm
কম্পিউটার প্রোগ্রাম,computer programme
কম্পিউটার প্রোগ্রামিং,computer programming
কম্পিউটার সিমুলেশন,computer simulation
গণনা,computing
ভিত্তিক ফাংশন,concave function
অবতল বহুভুজ,concave polygon
ওরিয়েন্টেড প্রোগ্রামিং,concave programming
কেন্দ্রীভূত বৃত্ত,concentric circles
কেন্দ্রীভূত বক্ররেখা,concentric curves
একটি বিমূর্ত ধারণা বাস্তব হতে বিবেচনা করুন,concrete form
লাইনের সঙ্গম,concurrency of lines
সমবর্তী,concurrent
সমবর্তী বল,concurrent forces
শর্তাধীন ঘনত্ব ফাংশন,conditional density function
শর্তাধীন বিতরণ,conditional distribution
সীমাবদ্ধ প্রত্যাশা,conditional expectation
শর্তসাপেক্ষ গড়,conditional mean
শর্তাধীন সম্ভাবনা,conditional probability
প্রান্তিককরণ সীমাবদ্ধতা,condition of collinearity
ধারাবাহিকতা সীমাবদ্ধতা,condition of consistency
সততা সীমাবদ্ধতা,condition of integrability
স্পর্শ সীমাবদ্ধতা,condition of tangency
"শঙ্কু, শঙ্কু",cone
আস্থা ব্যবধান,confidence interval
আত্মবিশ্বাসের ব্যবধান অনুমান,confidence interval estimate
বিশ্বস্ততার সীমা,confidence limits
আত্মবিশ্বাস অঞ্চল,confidence region
প্রতিবাদ অবস্থান,conflict situation
confocal conic,confocal conics
কনফোকাল উপবৃত্তাকার,confocal ellipses
কনফোকাল জ্যামিতি,confocal geometry
কনফোকাল হাইপারবোলা,confocal hyperbolae
কনফোকাল হাইপারবোলা,confocal hyperboloids
কনফোকাল প্যারাবোলা,confocal parabola
কনফোকাল প্যারাবোলিক স্থানাঙ্ক,confocal paraboloidal cordinates
"analogous, analogous",conformal
কোণ ম্যাপিং,conformal mapping
"congruence, biparallel line-total, equalness",congruence
দ্বি-সমান্তরাল বৃত্ত মোট,congruence of circles
"সঙ্গতিপূর্ণ, এমনকি",congruent
সমতুল্য ম্যাট্রিক্স,congruent matrices
"conic, conic",conic
conical frustum,conical frustum
শঙ্কুযুক্ত কুন্ডলিনী,conical helix
"conic cut, conic",conical section
কনিক গণিত,conics
"শঙ্কু-কাটা, শঙ্কু-বিভাগ",conic section
"to be conjugated (v.), to be conjugated (v.)",conjugate
সংযোজিত কোণ,conjugate angles
সংযোজিত অক্ষ,conjugate axis
সংযুক্ত জটিল সংখ্যা,conjugate complex numbers
সংযোজিত দিক,conjugate directions
কনজুগেট ফাংশন,conjugate functions
ম্যাট্রিক্সের সংযোজন,conjugate of matrix
কনজুগেট পারমুটেশন,conjugate permutation
সংযোজিত পরিবর্তনশীল,conjugate transpose
"যোগব্যায়াম, সংমিশ্রণ",conjuction
একটানা,consecutive
ধারাবাহিক সংখ্যা,consecutive numbers
শক্তি সংরক্ষণ,conservation of energy
ভর সংরক্ষণ,conservation of mass
পৃষ্ঠপোষক,conservative
