Gujarati,Punjabi
1. બઝર 2. જડ 3. ઉજ્જડ,1. ਬਜ਼ਰ 2. ਜੜ 3. ਬੰਜਰ
1. આધાર 2. આધાર 3. કપંગ,1. ਅਧਾਰ 2. ਅਧਾਰ 3. ਕੱਪਾਂਗ
1. તાલા 2. બેસિન,1. ਤਾਲਾ 2. ਬੇਸਿਨ
તલાબીસરી,ਤਾਲਾਬੀਸਰੀ
1. બેસિસ્ટર્નમ 2. રુટ ધારક,1. ਬੇਸਿਸਟਰਨਮ 2. ਰੂਟ ਹੋਲਡਰ
ગલ્ફ ચોમાસું,ਖਾੜੀ ਮਾਨਸੂਨ
ફળનો છોડ,ਫਲ ਪੌਦਾ
પથારી,ਬਿਸਤਰਾ
બેડ પ્લાન્ટ,ਬੈੱਡ ਪੌਦਾ
પથારી,ਬਿਸਤਰਾ
બીટ દાળ,ਚੁਕੰਦਰ ਗੁੜ
બેલો,ਘੰਟੀ
1. પટ્ટી 2. ભૂપ્રદેશ,1. ਪੱਟੀ 2. ਭੂਮੀ
નફો-ખર્ચ વિશ્લેષણ,ਲਾਭ-ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ
મહત્વાકાંક્ષી (સેમ્પલિંગ),ਚਾਹਵਾਨ (ਨਮੂਨਾ)
દ્વિવાર્ષિક છોડ,ਦੋ-ਸਾਲਾ ਪੌਦੇ
દ્વિપદી,ਬਾਇਨੋਮੀਅਲ
બાયોફેક્ટર,ਬਾਇਓਫੈਕਟਰ
જૈવિક આબોહવા,ਜੈਵਿਕ ਜਲਵਾਯੂ
જૈવ ઊર્જા,ਬਾਇਓ ਊਰਜਾ
પ્રાણીસૃષ્ટિ ઇકોલોજી,ਜੀਵ-ਜੰਤੂ ਵਾਤਾਵਰਣ
1. બાયો-પ્રોસેસર 2. બાયો-રિએક્ટર,1. ਬਾਇਓ-ਪ੍ਰੋਸੈਸਰ 2. ਬਾਇਓ-ਰਿਐਕਟਰ
બાયોસ્ફિયર,ਜੀਵ-ਮੰਡਲ
જૈવિક,ਬਾਇਓਟਿਕ
પ્રાણીસૃષ્ટિ,ਜੀਵ-ਜੰਤੂ
ડિવિલિંગી,ਡਿਵਿਲਿੰਗੀ
ધવલન,ਧਵਲਨ
1. પ્રધવાસન (રોગ) 2. ગસ્ટ રોગ,1. ਪ੍ਰਧਵਾਸਨ (ਰੋਗ) 2. ਗਸਟ ਰੋਗ
મિશ્રણ,ਮਿਲਾਉਣਾ
1. અંગમારી (રોગ) 2. બ્લાઈટ (રોગ),1. ਅੰਗਮਾਰੀ (ਰੋਗ) 2. ਝੁਲਸ (ਰੋਗ)
1. ફોલ્લો 2. ફોલ્લો 3. ફાટી નીકળવો 4. ફોલ્લો,1. ਛਾਲੇ 2. ਛਾਲੇ 3. ਫਟਣਾ 4. ਛਾਲੇ
વાદળી ક્રાંતિ,ਨੀਲੀ ਕ੍ਰਾਂਤੀ
પ્લાનર હીટિંગ ચેમ્બર,ਪਲੈਨਰ ਹੀਟਿੰਗ ਚੈਂਬਰ
પ્લાનર હીટિંગ ટેકનોલોજી,ਪਲੈਨਰ ਹੀਟਿੰਗ ਤਕਨਾਲੋਜੀ
થૂલું,ਬਰੈਨ
શાખાઓ,ਬ੍ਰਾਂਚਿੰਗ
1. ટ્વિગ 2. સબબ્રાન્ચ,1. ਟਹਿਣੀ 2. ਸਬਬ੍ਰਾਂਚ
જાતિ,ਨਸਲ
પ્રજનન,ਪ੍ਰਜਨਨ
પ્રારંભિક અંકુરણ સારવાર,ਸ਼ੁਰੂਆਤੀ ਉਗਣ ਦਾ ਇਲਾਜ
1. બચ્ચા 2. ઇંડા 3. ગર્ભ,1. ਬੱਚਾ 2. ਅੰਡੇ 3. ਭਰੂਣ
ઉભરતા,ਉਭਰਦਾ
બજેટ,ਬਜਟ
1.એમ્ફોટેરિક 2. બફર,1. ਐਮਫੋਟੇਰਿਕ 2. ਬਫਰ
શક્કરિયા,ਮਿਠਾ ਆਲੂ
બંટ (રોગ),ਬੰਟ (ਰੋਗ)
1. આડપેદાશ 2. આડપેદાશ,1. ਉਪ-ਉਤਪਾਦ 2. ਉਪ-ਉਤਪਾਦ
c ભેજ સ્પષ્ટીકરણ વળાંક,c ਨਮੀ ਨਿਰਧਾਰਨ ਕਰਵ
તેલ કેક,ਤੇਲ ਕੇਕ
1. ચૂનો 2. કેલ્શિયમ,1. ਚੂਨਾ 2. ਕੈਲਸ਼ੀਅਮ
કેલ્સિયન,ਕੈਲਸੀਓਨ
ફોસ્ફેટ દૂર કરવું,ਫਾਸਫੇਟ ਹਟਾਉਣ
1. કિનાટા 2. કેલાટા,1. ਕਿਨਾਟਾ 2. ਕੈਲਾਟਾ
1.કેલસ 2. કિરણ,1. ਕੈਲਸ 2. ਕਿਰਨ
1. સેપલ્સ 2. કેલિક્સ,1. ਸੈਪਲਸ 2. ਕੈਲਿਕਸ
બહારનો છેડો,ਬਾਹਰੀ ਅੰਤ
એધા,ਏਡਾ
કર્કશ (બેક્ટેરિયલ રોગ),ਕੈਂਕਰ (ਬੈਕਟੀਰੀਆ ਦੀ ਬਿਮਾਰੀ)
કેનિંગ,ਕੈਨਿੰਗ
આકાશ,ਅਸਮਾਨ
ફાઇનાન્સ,ਵਿੱਤ
પરાગનયન (અંજીરનું),ਪਰਾਗੀਕਰਨ (ਅੰਜੀਰ ਦਾ)
1. કેપ્સ્યુલ 2. કેપ્સ્યુલ 3. કેપ્સ્યુલ,1. ਕੈਪਸੂਲ 2. ਕੈਪਸੂਲ 3. ਕੈਪਸੂਲ
કાર્બનયુક્ત,ਕਾਰਬਨਾਈਜ਼ਡ
કાર્બનન,ਕਾਰਬਨਾਨ
કારાપેસ,carapace
બંગડી,ਬਰੇਸਲੈੱਟ
1. કાસ્ટિંગ (લોખંડ) 2. ક્ષિપ્તિ (જંતુ),1. ਕਾਸਟਿੰਗ (ਲੋਹਾ) 2. ਕਸ਼ਤੀ (ਕੀੜੇ)
અપચય,catabolism
પ્રેરિત,ਪ੍ਰੇਰਣਾ
1. કેટરપિલર 2. કેટરપિલર,1. ਕੈਟਰਪਿਲਰ 2. ਕੈਟਰਪਿਲਰ
c ડી. એન. a સંગ્રહ,c d. ਐਨ. a ਸੰਗ੍ਰਹਿ
શ્રેણી,ਸੀਮਾ
1. સેલ 2. સેલ,1. ਸੈੱਲ 2. ਸੈੱਲ
કેન્દ્રીય ફ્રન્ટ સિસ્ટમ,ਕੇਂਦਰੀ ਫਰੰਟ ਸਿਸਟਮ
1. બિંદુ 2. ફોકસ,1. ਪੁਆਇੰਟ 2. ਫੋਕਸ
સેન્ટ્રીફ્યુગેશન,centrifugation
સેન્ટ્રીફ્યુજ,ਸੈਂਟਰਿਫਿਊਜ
સ્ટાર સેન્ટર,ਸਟਾਰ ਸੈਂਟਰ
એપિજેનેટિક,epigenetic
કેન્દ્રજા,ਕੇਂਦਰਜਾ
લૂમ,ਲੂਮ
1. અનાજ 2. સીરીયલ,1. ਸੀਰੀਅਲ 2. ਸੀਰੀਅਲ
1. પ્રમાણપત્ર 2. પ્રમાણપત્ર,1. ਸਰਟੀਫਿਕੇਸ਼ਨ 2. ਸਰਟੀਫਿਕੇਸ਼ਨ
પ્રમાણિત બીજ,ਪ੍ਰਮਾਣਿਤ ਬੀਜ
1. સ્ટ્રો 2. કુટ્ટી 3. શલક સહપાત્ર,1. ਤੂੜੀ 2. ਕੁੱਟੀ 3. ਸ਼ਲਕ ਸਹਪਾਤਰਾ
1. નિભાગ 2. કૈલાજા,1. ਨਿਭਾਗ 2. ਕੈਲਜਾ
કીમોગ્રાફી,ਕਾਇਮੋਗ੍ਰਾਫੀ
1. કિયાઝમા 2. વ્યસ્ત,1. ਕੀਜ਼ਮਾ 2. ਵਿਅਸਤ
સુપરકૂલિંગ કલાકો,ਸੁਪਰ ਕੂਲਿੰਗ ਘੰਟੇ
હિમ નુકસાન,ਠੰਡ ਦਾ ਨੁਕਸਾਨ
1. વિચિરોતકી 2. ચિમેરા,1. ਵੀਚਰੋਤਕੀ 2. ਚਿਮੇਰਾ
લીલો પોર્રીજ,ਹਰਾ ਦਲੀਆ
1. પર્ણસમૂહ 2. લીલો,1. ਪੱਤੇ 2. ਹਰੇ
સાયનોસિસ,ਸਾਇਨੋਸਿਸ
જૈવિક વિતરણ વિજ્ઞાન,ਜੈਵਿਕ ਵੰਡ ਵਿਗਿਆਨ
1. ક્રોમેટિડ 2. અર્ધ રંગસૂત્રો,1. ਕ੍ਰੋਮੇਟਿਡਜ਼ 2. ਅੱਧੇ ਕ੍ਰੋਮੋਸੋਮਜ਼
ક્રોમેટિન,chromatin
ક્રોમેટોગ્રાફી,ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ
ક્રોમેટિનલેશન,chromatinlation
ધમની બિંદુ,ਅਟਲ ਬਿੰਦੂ
ક્રોમેટોજેનેસિસ,chromatogenesis
1. ક્રોમોપ્રોટીન 2. પિગમેન્ટપ્રોટીન,1. ਕ੍ਰੋਮੋਪ੍ਰੋਟੀਨ 2. ਪਿਗਮੈਂਟਪ੍ਰੋਟੀਨ
1. રંગસૂત્રો 2. રંગસૂત્રો,1. ਕ੍ਰੋਮੋਸੋਮਜ਼ 2. ਕ੍ਰੋਮੋਸੋਮਜ਼
1. ક્રોનિક 2. ક્રોનિક 3. ક્રોનિક 4. અપ્રચલિત,1. ਪੁਰਾਣੀ 2. ਪੁਰਾਣੀ 3. ਪੁਰਾਣੀ 4. ਪੁਰਾਣੀ
સાઇટ્રેન્જ,citrange
પાનખર તહેવાર,ਪਤਝੜ ਤਿਉਹਾਰ
વર્ગીકરણ,ਵਰਗੀਕਰਨ
1. માટી 2. માટી,1. ਮਿੱਟੀ 2. ਮਿੱਟੀ
1. સફાઈ 2. સ્ક્રબિંગ 3. સફાઈ 4. શુદ્ધિકરણ,1. ਸਫਾਈ 2. ਰਗੜਨਾ 3. ਸਫਾਈ 4. ਸ਼ੁੱਧੀਕਰਨ
સતત પરાગનયન,ਲਗਾਤਾਰ ਪਰਾਗਣ
ક્રુસિફેરસ ફળ,cruciferous ਫਲ
વાતાવરણ,ਜਲਵਾਯੂ
આબોહવાશાસ્ત્ર,ਜਲਵਾਯੂ ਵਿਗਿਆਨ
કાતર,ਕੱਟਣਾ
ગઠ્ઠો (માટી),ਗੰਢ (ਮਿੱਟੀ)
ક્લોન,ਕਲੋਨ
1.વાદળો 2.વાદળો,1. ਬੱਦਲ 2. ਬੱਦਲ
ઝુંડ,ਝੁੰਡ
ટોળું,ਝੁੰਡ
1. બરછટ 2. ખરબચડી 3. કાચી 4. ખરબચડી,1. ਮੋਟਾ 2. ਮੋਟਾ 3. ਕੱਚਾ 4. ਮੋਟਾ
1. કવર 2. ચામડું,1. ਕਵਰ 2. ਚਮੜਾ
કોયા,ਕੋਯਾ
1. કોએનઝાઇમ 2. કો-એન્ઝાઇમ,1. ਕੋਐਨਜ਼ਾਈਮ 2. ਕੋ-ਐਨਜ਼ਾਈਮ
સંયોગ,ਤਾਲਮੇਲ
1. ફાઇબર (જ્યુટ જ્યુટ) 2. નારિયેળ બરછટ,1. ਫਾਈਬਰ (ਜੂਟ ਜੂਟ) 2. ਨਾਰੀਅਲ ਮੋਟੇ
મુલંકુર ચોલા,ਮੁਲੰਕੁਰ ਚੋਲਾ
,
કોલોઇડ (માટી),ਕੋਲਾਇਡ (ਮਿੱਟੀ)
1.કૉલમ 2.કોલ્યુમેલા,1.ਕਾਲਮ 2.ਕੋਲੁਮੇਲਾ
1. દંડ 2. કૉલમ 3. કૉલમ,1. ਜੁਰਮਾਨਾ 2. ਕਾਲਮ 3. ਕਾਲਮ
કોમ્યુનિયન,ਸਾਂਝ
કોમર્શિયલ બેંક,ਵਪਾਰਕ ਬੈਂਕ
1. કોમોડિટી 2. મર્ચેન્ડાઇઝ,1. ਵਸਤੂ 2. ਵਪਾਰਕ ਮਾਲ
સમુદાય,ਭਾਈਚਾਰਾ
કોમ્પેક્શન (માટીનું),ਮਿਸ਼ਰਣ (ਮਿੱਟੀ ਦਾ)
1. સુસંગતતા 2. સુસંગતતા,1. ਅਨੁਕੂਲਤਾ 2. ਅਨੁਕੂਲਤਾ
સુસંગતતા,ਅਨੁਕੂਲਤਾ
1. વળતર 2. વળતર,1. ਮੁਆਵਜ਼ਾ 2. ਮੁਆਵਜ਼ਾ
