Kannada,Tamil
ಬ್ಯಾಕ್ ಫ್ಲೋ ಸಂಪರ್ಕ,பின் ஓட்ட இணைப்பு
ಬ್ಯಾಕ್ ಫ್ಲೋ ತಡೆಗಟ್ಟುವಿಕೆ,பின் ஓட்டம் தடுப்பான்
ಬ್ಯಾಕ್ ಗೇಜ್,பின் அளவுகோல்
ಹಿಂಭಾಗದ ಗಟಾರ,பின்புற சாக்கடை
ಹಿಂಬದಿ ಒಲೆ,பின் அடுப்பு
ಹಿಮ್ಮೇಳ,ஆதரவு
ಬ್ಯಾಕಿಂಗ್ ಬೋರ್ಡ್,பேக்கிங் போர்டு
ಬೆನ್ನಿನ ಒತ್ತಡ,பின் அழுத்தம்
ಬ್ಯಾಕ್ ಪ್ರಾಪ್,பின் முட்டு
ಹಿಂದಿನ ದೃಷ್ಟಿ,பின் பார்வை
ಹಿಂಬದಿ ನೀರು,பின் நீர்
ಅಡ್ಡಿಪಡಿಸು,குழப்பம்
ಬ್ಯಾಗ್ವರ್ಕ್,பை வேலை
ನಿಲುಭಾರ,பேலாஸ்ட்
ಬಾಲ್ ಕ್ಲೇ,பந்து களிமண்
ಬಾಲ್ ಕೋನ್ ಕ್ಲಾಂಪ್,பந்து கூம்பு கவ்வி
ಮುಳ್ಳುತಂತಿ,முள்வேலி
ಬಾರ್ ನಾಯಿ,பார் நாய்
ಬಾರ್ಜ್ ಬೋರ್ಡ್,விசைப்படகு பலகை
ಬೇರಿಯಮ್ ಸಲ್ಫೇಟ್ ಪರೀಕ್ಷೆ,பேரியம் சல்பேட் சோதனை
ಬ್ಯಾರೇಜ್,சரமாரி
ಬ್ಯಾರೆಟ್,பாரெட்
ಬೇಸ್,அடித்தளம்
ಮೂಲ ವಿನಿಮಯ,அடிப்படை பரிமாற்றம்
ಬೇಸ್ ಲೈನ್,அடிப்படை வரி
ನೆಲಮಾಳಿಗೆ,அடித்தளம்
ನೆಲಮಾಳಿಗೆಯ ಗೋಡೆ,அடித்தள சுவர்
ಬೇಸ್ ಪ್ಲೇಟ್,அடித்தட்டு
"ಬೇಸ್ ಪ್ಲೇಟ್, ಹೊಂದಾಣಿಕೆ","அடிப்படை தட்டு, சரிசெய்யக்கூடியது"
ಮೂಲ ಶುದ್ಧತ್ವ,அடிப்படை செறிவு
ಬಸಾಯಿಡ್,பாசாய்டு
ಬ್ಯಾಟ್,வௌவால்
ಬಾತ್ ಮತ್ತು WC,பாத் மற்றும் WC
ಬ್ಯಾಟರ್ ಪೆಗ್,இடி ஆப்பு
ಬ್ಯಾಟರ್ ಪಿಯರ್,பேட்டர் பையர்
ಬ್ಯಾಟರ್ ನಿಯಮ,பேட்டர் விதி
ಬಾಲ್ಕ್ (ಬಾಲ್ಕ್),பால்க் (பால்க்)
ಕೊಲ್ಲಿ,விரிகுடா
ಬೇರರ್,தாங்குபவர்
ತಾಳಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ,தாங்கும் திறன்
ಬೇರಿಂಗ್ ಪೈಲ್,தாங்கும் பைல்
ಬೇರಿಂಗ್ ಸ್ಟ್ರಾಟಮ್,தாங்கி அடுக்கு
ಹಾಸಿಗೆ,படுக்கை
ಹಾಸಿಗೆ ವಿಮಾನ,படுக்கை விமானம்
ಬೆಡ್ ಜಂಟಿ,படுக்கை கூட்டு
ಬೆಡ್ ರಾಕ್,படுக்கை பாறை
ಮಲಗುವ ಕೋಣೆ,படுக்கை அறை
ಜೇನುಮೇಣ,தேன் மெழுகு
ಬೆಲ್ ಬಾಕ್ಸ್,மணி பெட்டி
ಬೆಲ್ಲಿಂಗ್ ಬಕೆಟ್,பெல்லிங் வாளி
ಬೆಲ್ಲೋಫ್ರಾಮ್,பெல்லோஃப்ராம்
ಬೆಂಚ್ಡ್ ಅಡಿಪಾಯ,பெஞ்ச் அடித்தளம்
ಬೆಂಚಿಂಗ್,பெஞ்சிங்
ಮಾನದಂಡ,பெஞ்ச் மார்க்
ಲಾಭದ ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ,நன்மை செலவு பகுப்பாய்வு
ಬೆರ್ಮ್,பெர்ம்
ಬೆವೆಲ್ಡ್ ಮುಚ್ಚುವಿಕೆ,வளைந்த மூடல்
"ಬಿ-ಹಾರಿಜಾನ್,&quot;ಬಿ-","பி-ஹரைசன்,&quot;பி-"
ಬಿಯಾಟ್,பயாட்
ಬೈಂಡರ್,பைண்டர்
ಬೈಂಡಿಂಗ್ ವಸ್ತು,பிணைப்பு பொருள்
ಬಯೋಟ್ ಸಿದ್ಧಾಂತ,பயோட்டின் கோட்பாடு
ಬಿಟುಮೆನ್,பிடுமின்
ಕಪ್ಪು ಹತ್ತಿ ಮಣ್ಣು,கருப்பு பருத்தி மண்
ಕಪ್ಪು ಭೂಮಿ,கருப்பு பூமி
ಕಪ್ಪು ಟರ್ಫ್ ಮಣ್ಣು,கருப்பு தரை மண்
ಬ್ಲೇಡ್,கத்தி
ಬ್ಲಾಸ್ಟ್ ಫರ್ನೇಸ್ ಸ್ಲ್ಯಾಗ್ ಸಿಮೆಂಟ್,ஊது உலை கசடு சிமெண்ட்
ಬ್ಲಾಕ್ ರಚನೆ,தடுப்பு அமைப்பு
ಬೋಗಿ ಪ್ರತಿರೋಧ,போகி எதிர்ப்பு
ಬಾಗ್-ಕಬ್ಬಿಣದ ಅದಿರು,போக்-இரும்பு தாது
ಕರಾರುಪತ್ರ,பத்திரம்
ಬಂಧಿತ ಸದಸ್ಯ,பிணைக்கப்பட்ட உறுப்பினர்
ಬಂಧಿತ ಪೋಸ್ಟ್ ಟೆನ್ಷನಿಂಗ್,பிணைக்கப்பட்ட பிந்தைய பதற்றம்
ಬಾಂಡ್ ಕಲ್ಲು,பத்திர கல்
ಬೌಂಡ್ ನೀರು,கட்டுப்பட்ட நீர்
ಬಾಕ್ಸ್ ಗಟರ್,பெட்டி சாக்கடை
ಬ್ರೇಸ್,பிரேஸ்
ಬ್ರಿಕ್ ಆನ್ ಎಡ್ಜ್,விளிம்பில் செங்கல்
ಬ್ರಿಡ್ಲ್,கடிவாளம்
ಹೊಳಪು,பிரகாசம்
ಕಂದು ಮಣ್ಣು,பழுப்பு மண்
ಕಟ್ಟಡ,கட்டிடம்
ಕಟ್ಟಡ ಸರ್ವೇಯರ್,கட்டிட சர்வேயர்
ಬಫರ್,தாங்கல்
ಬಫರ್ ಕರ್ವ್,தாங்கல் வளைவு
ಬಫರಿಂಗ್,தாங்கல்
ಬಫರಿಂಗ್ ಸಾಮರ್ಥ್ಯ,தாங்கல் திறன்
ಬಂದರ್,பண்டர்
ಬಟ್ರೆಸ್,பட்டர்ஸ்
ಸಿ-ಹಾರಿಜಾನ್,சி-அடிவானம்
ಕೇಬಲ್,கேபிள்
ಕೇಬಲ್ ಮೋಲ್ಡಿಂಗ್,கேபிள் மோல்டிங்
ಕೇಬಲ್ ಹಾಕುವುದು,கேபிளிங்
ಕ್ಯಾಬಿನ್,அறை
ಕ್ಯಾಬಿನ್ ಹುಕ್,கேபின் ஹூக்
ಕ್ಯಾಬಿನೆಟ್,மந்திரி சபை
ಕಾಬೋಲ್ಟ್ ತೊರೆದರು,கபோல்ட் வெளியேறினார்
ಕೆಫೆಟೇರಿಯಾ,சிற்றுண்டியகம்
ಪಂಜರ,கூண்டு
ಪಂಜರ ನಿರ್ಮಾಣ,கூண்டு கட்டுமானம்
ಕೇನ್ ಅವರ ಸೂತ್ರ,கெய்னின் சூத்திரம்
ಕೈಸನ್,கெய்சன்
ಕೈಸನ್ ಕಾಯಿಲೆ,கெய்சன் நோய்
ಕೈಸನ್ ಅಡಿಪಾಯ,கெய்சன் அடித்தளம்
ಕೈಸನ್ ರಾಶಿ,கெய்சன் குவியல்
ಸುಣ್ಣದ ಇಟ್ಟಿಗೆ,சுண்ணாம்பு செங்கல்
ಸುಣ್ಣದ ಜೇಡಿಮಣ್ಣು,சுண்ணாம்பு களிமண்
ಕ್ಯಾಲ್ಕೇರಿಯಸ್ ಕ್ರಸ್ಟ್,சுண்ணாம்பு மேலோடு
ಕ್ಯಾಲ್ಸಿಫಿಕೇಶನ್,கால்சிஃபிகேஷன்
ಕ್ಯಾಲ್ಸಿನೇಷನ್,கால்சினேஷன்
ಕ್ಯಾಲ್ಸಿನ್,கால்சின்
ಕ್ಯಾಲ್ಸೈಟ್,கால்சைட்
ಕ್ಯಾಲ್ಸಿಯಂ-ಅಲ್ಯೂಮಿನೇಟ್ ಸಿಮೆಂಟ್,கால்சியம்-அலுமினேட் சிமெண்ட்
ಕ್ಯಾಲ್ಸಿಯಂ-ಸಿಲಿಕೇಟ್ ಇಟ್ಟಿಗೆ,கால்சியம்-சிலிகேட் செங்கல்
ಕ್ಯಾಲ್ಸಿಯಂ-ಸಿಲಿಕೇಟ್ ಹೈಡ್ರೇಟ್,கால்சியம்-சிலிகேட் ஹைட்ரேட்
ಕ್ಯಾಲಿಚೆ,கலிச்சே
ಕ್ಯಾಲಿಫೋರ್ನಿಯಾ ಬೇರಿಂಗ್ ಅನುಪಾತ,கலிபோர்னியா தாங்கி விகிதம்
ಕ್ಯಾಲಿಪರ್,காலிபர்
ಕ್ಯಾಲೋರಿಮೀಟರ್,கலோரிமீட்டர்
ಕ್ಯಾಂಬರ್,கேம்பர்
ಕಾಲುವೆ,கால்வாய்
ಮೇಲಾವರಣ,விதானம்
ಕ್ಯಾಂಟಿಲಿವರ್ ಫೂಟಿಂಗ್,கான்டிலீவர் அடிவாரம்
ಕ್ಯಾಪ್,தொப்பி
ಸಾಮರ್ಥ್ಯ,திறன்
ಏಲ್ ಟ್ರ್ಯಾಕ್ ಸಾಮರ್ಥ್ಯ,ஆயில் பாதையின் திறன்
ಕ್ಯಾಪ್ ಕೇಬಲ್,தொப்பி கேபிள்
ಕ್ಯಾಪಿಲ್ಲರಿಟಿ,கேபிலரிட்டி
ಕ್ಯಾಪಿಲ್ಲರಿ ಬ್ರೇಕ್,தந்துகி முறிவு
ಕ್ಯಾಪಿಲ್ಲರಿ ಹರಿವು,தந்துகி ஓட்டம்
ಕ್ಯಾಪಿಲ್ಲರಿ ತೇವಾಂಶ ಅಥವಾ ಕ್ಯಾಪಿಲ್ಲರಿ ನೀರು,தந்துகி ஈரப்பதம் அல்லது தந்துகி நீர்
ಕ್ಯಾಪಿಲ್ಲರಿ ರಂಧ್ರದ ಜಾಗ,தந்துகி துளை இடம்
ಕ್ಯಾಪಿಲ್ಲರಿ ಸರಂಧ್ರತೆ,கேபிலரி போரோசிட்டி
ಕ್ಯಾಪಿಲ್ಲರಿ ಸ್ಪೇಸ್,தந்துகி வெளி
ಕ್ಯಾಪ್ಚರ್ ವೇಗ,பிடிப்பு வேகம்
ಕಾರ್ಬೊನೇಶನ್,கார்பனேற்றம்
ಕಾರ್ಬನ್ ಕಪ್ಪು,கார்பன் கருப்பு
ಕ್ಯಾಸ್ಟ್ಬಲ್ ವಕ್ರೀಕಾರಕ,காஸ்ட்பிள் பயனற்ற
ಬಿತ್ತರಿಸಿದ ಸ್ಥಳದಲ್ಲಿ ಅಥವಾ ಬಿತ್ತರಿಸಿದ ಸ್ಥಳದಲ್ಲಿ,காஸ்ட்-இன்-பிளேஸ் அல்லது காஸ்ட்-இன்-சிட்டு
ಎರಕಹೊಯ್ದ ರಾಶಿ,காஸ்ட்-இன்-பிளேஸ் பைல்
ಕ್ಯಾಸ್ಟರ್,ஆமணக்கு
ಎರಕಹೊಯ್ದ ಕಲ್ಲು,வார்ப்பு கல்
ವೇಗವರ್ಧಕ,வினையூக்கி
ಕ್ಯಾಟೆನಾ,கேட்டனா
ಬೆಕ್ಕಿನ ಮುಖ,பூனை முகம்
ಬೆಕ್ಕಿನ ತಲೆ,பூனை தலை
ಕ್ಯಾಶನ್,கேஷன்
ಬೆಕ್ಕಿನ ನಡಿಗೆ,பூனை நடை
ಗುಳ್ಳೆಕಟ್ಟುವಿಕೆ ಹಾನಿ,குழிவுறுதல் சேதம்
ಸೆಲೈಟ್,செலைட்
ಸೆಲ್ಯುಲಾರ್ ಕಾಂಕ್ರೀಟ್,செல்லுலார் கான்கிரீட்
ಸೆಲ್ಯುಲಾರ್ ನಿರ್ಮಾಣ,செல்லுலார் கட்டுமானம்
ಸಿಮೆಂಟ್,சிமெண்ட்
"ಸಿಮೆಂಟ್, ಬಿಟುಮಿನಸ್","சிமெண்ட், பிட்மினஸ்"
"ಸಿಮೆಂಟ್, ಹೆಚ್ಚಿನ ಶಕ್ತಿ","சிமெண்ட், அதிக வலிமை"
"ಸಿಮೆಂಟ್, ಹೈಡ್ರಾಲಿಕ್","சிமெண்ட், ஹைட்ராலிக்"
"ಸಿಮೆಂಟ್, ಕಡಿಮೆ ಶಾಖ","சிமெண்ட், குறைந்த வெப்பம்"
"ಸಿಮೆಂಟ್, ಕಲ್ಲು","சிமெண்ட், கொத்து"
"ಸಿಮೆಂಟ್, ನೈಸರ್ಗಿಕ","சிமெண்ட், இயற்கை"
"ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್","சிமெண்ட், போர்ட்லேண்ட்"
"ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್ ಬ್ಲಾಸ್ಟ್ ಫರ್ನೇಸ್ ಸ್ಲ್ಯಾಗ್","சிமெண்ட், போர்ட்லேண்ட் பிளாஸ்ட் ஃபர்னேஸ் ஸ்லாக்"
"ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್ ಪೊಝೋಲನ್","சிமெண்ட், போர்ட்லேண்ட் போஸோலன்"
"ಸಿಮೆಂಟ್, ಸ್ಲ್ಯಾಗ್","சிமெண்ட், கசடு"
"ಸಿಮೆಂಟ್, ಸಲ್ಫೇಟ್ ನಿರೋಧಕ","சிமெண்ட், சல்பேட் எதிர்ப்பு"
"ಸಿಮೆಂಟ್, ಸೂಪರ್ ಸಲ್ಫೇಟ್","சிமெண்ட், சூப்பர் சல்பேட்"
"ಸಿಮೆಂಟ್, ಬಿಳಿ","சிமெண்ட், வெள்ளை"
ಸಿಮೆಂಟ್-ಒಟ್ಟಾರೆ ಅನುಪಾತ,சிமெண்ட்-மொத்த விகிதம்
ಸಿಮೆಂಟ್ ವಿಷಯ,சிமெண்ட் உள்ளடக்கம்
ಸಿಮೆಂಟ್ ಜೆಲ್,சிமெண்ட் ஜெல்
ಸಿಮೆಂಟ್ ಗನ್,சிமெண்ட் துப்பாக்கி
ಸಿಮೆಂಟ್ ಗೂಡು,சிமெண்ட் சூளை
ಸಿಮೆಂಟ್ ಬಣ್ಣ,சிமெண்ட் பெயிண்ட்
ಸಿಮೆಂಟ್ ಪ್ಲಾಸ್ಟರ್,சிமெண்ட் பூச்சு
ಸಿಮೆಂಟ್ ಕಲ್ಲು,சிமெண்ட் பாறை
ಸಿಮೆಂಟ್ ಸ್ಲರಿ,சிமெண்ட் குழம்பு
ಸಿಮೆಂಟ್ ಸಂಗ್ರಹಣೆ,சிமெண்ட் சேமிப்பு
ಸಿಮೆಂಟೇಶನ್ ಪ್ರಕ್ರಿಯೆ,சிமெண்டேஷன் செயல்முறை
ಕೇಂದ್ರೀಕರಣ,மையப்படுத்துதல்
ಕೇಂದ್ರೀಕರಿಸುವುದು ಮತ್ತು ಮುಚ್ಚುವುದು,மையப்படுத்துதல் மற்றும் மூடுதல்
ಕೇಂದ್ರ ಮಿಶ್ರ ಕಾಂಕ್ರೀಟ್,மத்திய கலப்பு கான்கிரீட்
ಕೇಂದ್ರ ಮಿಕ್ಸರ್,மத்திய கலவை
ಕೇಂದ್ರಾಪಗಾಮಿ ಫ್ಯಾನ್,மையவிலக்கு விசிறி
ಚಾಕ್,சுண்ணாம்பு
ಚೇಂಫರ್,சேம்ஃபர்
ಚೇಂಫರ್ ಸ್ಟ್ರಿಪ್,சேம்பர் துண்டு
ಚಾನಲ್ ಕಿರಣ,சேனல் கற்றை
ವಿಶಿಷ್ಟ ಲೋಡ್,சிறப்பியல்பு சுமை
ವಿಶಿಷ್ಟ ಶಕ್ತಿ,பண்பு வலிமை
ಚಾರ್ಜ್ ಆಫ್,சார்ஜ் ஆஃப்
ಚಾರ್ಜ್ ಆಗುತ್ತಿದೆ,சார்ஜ் செய்கிறது
ಪರಿಶೀಲಿಸಲಾಗುತ್ತಿದೆ,சரிபார்க்கிறது
ರಾಸಾಯನಿಕ ಬಂಧ,இரசாயன பிணைப்பு
ಚೆರ್ನೋಜೆಮ್,செர்னோசெம்
ಚೆಸ್ಟ್ನಟ್ ಮಣ್ಣು,கஷ்கொட்டை மண்
ಚಿಮಣಿ ಗಟಾರ,புகைபோக்கி சாக்கடை
ಚಿಪ್ ಬೋರ್ಡ್,சிப் போர்டு
ಚಿಪ್ಪಿಂಗ್,சிப்பிங்
ಚಿಪ್ಸ್,சீவல்கள்
ಗಾಳಿಕೊಡೆ,சரிவு
ವರ್ಗ (ಕಾಂಕ್ರೀಟ್),வகுப்பு (கான்கிரீட்)
ಕ್ಲೇ,களிமண்
ಕ್ಲೇ ವಿಷಯ,களிமண் உள்ளடக்கம்
ಕ್ಲೇ ಪ್ಯಾನ್,களிமண் பான்
ಕ್ಲೀನ್ಔಟ್,சுத்தம் செய்
ಸ್ವಚ್ಛಗೊಳಿಸಿ,சுத்தம் செய்
ಕ್ಲೀಟ್,கிளீட்
ಕ್ಲಿಂಕರ್,கிளிங்கர்
ಕ್ಲಿಪ್,கிளிப்
ಹೆಪ್ಪುಗಟ್ಟುವಿಕೆ,உறைதல்
ಒರಟಾದ ಒಟ್ಟು,கரடுமுரடான மொத்த
ಒರಟಾದ ಧಾನ್ಯದ ಮಣ್ಣು,கரடுமுரடான தானிய மண்
ಕೋಟ್,கோட்
ಕಾಫರ್ ಅಣೆಕಟ್ಟು,காஃபர் அணை
ಒಗ್ಗಟ್ಟು,ஒருங்கிணைப்பு
ಕೊಲಾಯ್ಡ್,கொலாய்டு
ಕೊಲೊಯ್ಡಲ್ ತೇವಾಂಶ ಸಮಾನ ಅನುಪಾತ,கூழ் ஈரப்பதம் சமமான விகிதம்
ಕೊಲೊಯ್ಡಲ್ ವ್ಯವಸ್ಥೆ,கூழ் அமைப்பு
ಕೊಲ್ಯುವಿಯಲ್ ಮಣ್ಣು,கொலுவல் மண்
ಅಂಕಣ,நெடுவரிசை
ಬಾಚಣಿಗೆ ಮುಕ್ತಾಯ,சீப்பு பூச்சு
ಕಂಬೈನ್ಡ್ ಫೂಟಿಂಗ್,இணைந்த அடி
ಸಂಯೋಜಿತ ನೀರು,ஒருங்கிணைந்த நீர்
ಸಾಮಾನ್ಯ ಕೊಠಡಿ,பொதுவான அறை
ಪೂರ್ಣಗೊಳಿಸುವಿಕೆ ಪ್ರಮಾಣಪತ್ರ,நிறைவு சான்றிதழ்
ಘಟಕ ಚೌಕ,கூறு சதுரம்
ಕಾಂಕ್ರೀಟ್,கான்கிரீட்
ಕಾಂಕ್ರೀಟಿಕರಣ,கான்கிரீட்
ಏಕೀಕೃತ ದರ/ಫ್ಲಾಟ್ ದರ,ஒருங்கிணைந்த விகிதம்/தட்டை விகிதம்
ಮಾಲಿನ್ಯಕಾರಕಗಳು,அசுத்தங்கள்
ಅಲ್ಕೋವ್ ಅಡುಗೆ,அல்கோவ் சமையல்
ನಿಭಾಯಿಸುವುದು,சமாளிப்பது
ಕಾರ್ಬೆಲ್,கோர்பெல்
ಕಾರ್ನಿಸ್,கார்னிஸ்
ಸಂಯೋಜಕ,இணைப்பான்
"ಕಪ್ಲರ್, ಡಬಲ್","கப்லர், இரட்டை"
"ಕಪ್ಲರ್, ಪುಟ್ಲಾಗ್","கப்லர், புட்லாக்"
"ಕಪ್ಲರ್, ಸ್ವಿವೆಲ್","இணைப்பு, சுழல்"
ಕೋರ್ಸ್,பாடநெறி
ಕೋರ್ಸ್ಡ್ ಯಾದೃಚ್ಛಿಕ ಕಲ್ಲುಮಣ್ಣು ಕಲ್ಲುಗಳು,சீரற்ற இடிந்த கொத்து
ಆವರಿಸಿದ ಪ್ರದೇಶ,மூடப்பட்ட பகுதி
ತೆವಳುವ,தவழும்
ಕ್ರೀಪ್ ಗುಣಾಂಕ,க்ரீப் குணகம்
ಕ್ರೊಟೊವಿನ್,குரோடோவின்
ಕಾಗೆ ಕಾಲು,காக்கை கால்
ಕ್ರಂಬ್ ರಚನೆ,நொறுக்குத் தீனி அமைப்பு
ದಂಡೆ,கட்டுப்படுத்து
ಪ್ರಸ್ತುತ,தற்போதைய
ಕರ್ವ್ ಪ್ರತಿರೋಧ,வளைவு எதிர்ப்பு
ತೇವಾಂಶ ನಿರೋಧಕ ಕೋರ್ಸ್,ஈரப்பதம் இல்லாத பாடநெறி
ಪೂರ್ಣಗೊಂಡ ದಿನಾಂಕ,நிறைவு தேதி
ಡೆಡ್ ಲೋಡ್,நிலைச்சுமை
ಸತ್ತ ನೀರು,இறந்த நீர்
ಡೆಸಿಬೆಲ್,டெசிபல்
ಡಿಫ್ಲೋಕ್ಯುಲೇಷನ್,டிஃப்ளோகுலேஷன்
ಗಾಳಿ ಅಥವಾ ಗಾಳಿಯ ಅಂತರದ ಅನುಪಾತದ ಪದವಿ,காற்றோட்டம் அல்லது காற்று விண்வெளி விகிதம்
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆಯ ಪದವಿ,திரட்டல் பட்டம்
ಪ್ರಸರಣದ ಪದವಿ,சிதறல் பட்டம்
ಶುದ್ಧತ್ವದ ಪದವಿ,செறிவூட்டல் பட்டம்
ಸಾಂದ್ರತೆ,அடர்த்தி
ಮರುಭೂಮಿ ಪಾದಚಾರಿ ಮಾರ್ಗ,பாலைவன நடைபாதை
ಮರುಭೂಮಿ ಮಣ್ಣು,பாலைவன மண்
ವಿವರಗಳು,விவரங்கள்
ಅಭಿವೃದ್ಧಿ ಅವಧಿ,வளர்ச்சி காலம்
ಡಿ-ಹಾರಿಜಾನ್,டி-அடிவானம்
ಕರ್ಣೀಯ ಬಂಧ,மூலைவிட்ட பிணைப்பு
ರೇಖಾಚಿತ್ರ,வரைபடம்
ಡಿಜಿಟಲ್ ಡಾಕ್,டிஜிட்டல் டாக்
ಭೇದಾತ್ಮಕ ನೀರಿನ ದರ,வேறுபட்ட நீர் விகிதம்
ದುರ್ಬಲಗೊಳಿಸುವ ವಾತಾಯನ,நீர்த்த காற்றோட்டம்
ಡಿಲುವಿಯಂ,டிலுவியம்
ಊಟದ ಕೋಣೆ,சாப்பிடும் அல்லது உணவருந்தும் அறை
ದಿಕ್ಕಿನ ಪೆಗ್,திசை ஆப்பு
ಪ್ರಸರಣ,சிதறல்
ಡಿಸ್ಟೆಂಪರ್,டிஸ்டெம்பர்
ಡಾಕ್,கப்பல்துறை
ಬಾಗಿಲು,கதவு
ಡಾರ್ಮರ್,டார்மர்
ಡಾರ್ಮರ್ ಚೆಕ್,டார்மர் சோதனை
ಡಬಲ್ ಫ್ಲೆಮಿಶ್ ಬಾಂಡ್,இரட்டை சதை பிணைப்பு
ಡಬಲ್ ಲೇಯರ್,இரட்டை அடுக்கு
ಡೋವೆಲ್,டோவல்
ಡ್ರಾಯಿಂಗ್ ಬೋರ್ಡ್,வரைதல் பலகை
ಡ್ರಾಯಿಂಗ್ ಕೊಠಡಿ,வரைதல் அறை
ಡ್ರಿಫ್ಟ್,சறுக்கல்
ಒಣ ಬಲ್ಬ್ ತಾಪಮಾನ,உலர் குமிழ் வெப்பநிலை
ಡ್ರೈ ಡಾಕ್,உலர் கப்பல்துறை
ಒಣ ರಬ್ಬರ್ ಕಲ್ಲು,உலர் ரப்பர் கொத்து
ಡಚ್ ಬಾಂಡ್,டச்சு பத்திரம்
ಕುಬ್ಜ ಗೋಡೆ,குள்ள சுவர்
ವಸತಿ ಘಟಕ,குடியிருப்பு அலகு
ಈವ್,ஈவ்
ಈವ್ಸ್ ಗಟರ್,ஈவ்ஸ் சாக்கடை
ಆರ್ಥಿಕ ಕಾರ್ಯಸಾಧ್ಯತೆ,பொருளாதார சாத்தியம்
ಎಕ್ಟೋಡೈನಮಾರ್ಫಿಕ್ ಮಣ್ಣು,எக்டோடைனமார்பிக் மண்
ಸುಳಿ,எட்டி
ಪರಿಣಾಮಕಾರಿ ಗಾತ್ರ,பயனுள்ள அளவு
ಪುಷ್ಪಮಯ,மலர்ச்சி
ಹೊರಹರಿವು,கழிவுநீர்
ಎತ್ತರ,உயரம்
ಎಲುವಿಯೇಶನ್,எலுவியேஷன்
ಎಲುವಿಯಮ್,எலுவியம்
ಎಂಡೋಡೈನಮಾರ್ಫಿಕ್ ಮಣ್ಣು,எண்டோடைனமார்பிக் மண்
