Malayalam,Hindi
"1. ചുരുക്കെഴുത്ത്, 2. ചുരുക്കെഴുത്ത്, 3. മുതൽ ചുരുക്കി","1. परिवर्णी शब्द, 2. संक्षिप्त रूप, 3. लघु रूप"
പ്രവർത്തന സന്ദേശം,क्रिया संदेश
സജീവമാക്കൽ,सक्रियण
സജീവ സെർവർ പേജ്,सक्रिय सर्वर पृष्ठ
സജീവ പതിപ്പ്,सक्रिय वर्जन
അസൈക്ലിക്,अचक्रीय
"1. അസൈക്ലിക് ഗ്രാഫ്, 2. അസൈക്ലിക് ഗ്രാഫ്","1. अचक्रीय आलेख, 2. अचक्रीय ग्राफ"
അഡാ കമ്പ്യൂട്ടർ ഭാഷ,एडा कंप्यूटर भाषा
"1. ഒപ്റ്റിമൈസർ, 2. ഒപ്റ്റിമൈസർ","1. अनुकूलक, 2. अनुकूलित्र"
ആകെ),योग (करना)
തുക ഫയൽ,योग संचिका
"1. കൂട്ടിച്ചേർക്കൽ പ്രവർത്തനം, 2. ആകെ പ്രവർത്തനം","1. जोड़ संक्रिया, 2. योग संक्रिया"
ചേർക്കുന്നയാൾ,योजक
അറിയുക,पता
വിലാസം ബസ്,पता बस
വിലാസ ഫയൽ,पता संचिका
വിലാസ ഫോർമാറ്റ്,पता आरूप
വിലാസ ജനറേറ്റർ,पता जनक
വിലാസ ലൈൻ,पता पंक्ति
വിലാസ മാപ്പിംഗ്,पता प्रतिचित्रण
വിലാസ സൂചകം,पता संकेतक
വിലാസ രജിസ്റ്റർ,पता पंजी
വിലാസ തകർച്ച,पता विघटन
വിലാസ വിവർത്തനം,पता अनुवाद
"1. അഡ്രസ് ചെയ്യാവുന്ന മെമ്മറി, 2. അഭിസംബോധന ചെയ്യാവുന്ന മെമ്മറി","1. पतायुक्त स्मृति, 2. पतायुक्त मेमोरी"
അഭിസംബോധന,पताभिगमन
"1. പര്യാപ്തത മാനദണ്ഡം, 2. പര്യാപ്തത മാനദണ്ഡം","1. पर्याप्तता निकष, 2. पर्याप्तता कसौटी"
ബന്ധം,संलग्न
"1. മാനേജ്മെന്റ്, 2. നിയന്ത്രണം","1. प्रबंधन, 2. नियंत्रण"
"1. മാനേജർ, 2. കണ്ട്രോളർ","1. प्रबंधक, 2. नियंत्रक"
അഡോബ് അക്രോബാറ്റ്,ऐडोब एक्रोबेट
അഡോബ് ഫോട്ടോഷോപ്പ്,ऐडोब फोटोशोप
ABAP (അഡ്വാൻസ്ഡ് ബിസിനസ് പ്രോഗ്രാമിംഗ്),ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन)
"1. വിപുലമായ ഡാറ്റ, 2. വിപുലമായ ഡാറ്റ","1. उन्नत आंकड़ा, 2. उन्नत डाटा"
വിപുലമായ വിവര സംവിധാനം,उन्नत सूचना तंत्र
അഡ്വാൻസ്ഡ് ടെക്നോളജി (AT),उन्नत प्रौद्योगिकी (ए टी)
നടപടി,कर्मक
സമാഹരണം,समुच्चयन
വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം,विमानवाहित कंप्यूटर तंत्र
ആൽഡസ് പേജ് മേക്ക്,एल्डस पेज-मेक
മുന്നറിയിപ്പ് ബോക്സ്,सचेत पेटी
അൽഗോൾ (കമ്പ്യൂട്ടർ ഭാഷ),ऐल्गॉल (कंप्यूटर भाषा)
"1. അൽഗോരിതം , 2. അൽഗോരിതം","1.  एल्गोरिथ्म, 2. कलन विधि"
"1. അൽഗോരിതം വിശകലനം, 2. അൽഗോരിതം വിശകലനം","1.  एल्गोरिथ्म विश्लेषण, 2. कलन विधि विश्लेषण"
അൽഗോരിതം കാര്യക്ഷമത,एल्गोरिथ्म दक्षता
"1. ഏലിയാസ്, 2. വിളിപ്പേര്, 3. അല്ലെങ്കിൽ","1. एलिआस, 2. उपनाम, 3. उर्फ"
വിന്യാസം,संरेखण
"1. വിഹിതം, 2. വിഹിതം","1. आवंटन, 2. नियतन"
"1. അക്ഷരമാല, 2. അക്ഷരമാല ക്രമത്തിൽ","1.अक्षरात्मक, 2. वर्णानुक्रम"
ആൽഫാന്യൂമെറിക്,अक्षरांकीय
"1. ആൽഫാന്യൂമെറിക് കീബോർഡ് ,2. ആൽഫാന്യൂമെറിക് കീബോർഡ്","1.अक्षरांकीय कुंजीपटल, 2. अक्षराकीय की-बोर्ड"
ആൽഫ-ടെസ്റ്റിംഗ് (ഒന്നാം ലെവൽ ടെസ്റ്റ്),अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण)
"1. ആൽഫ പതിപ്പ്, 2. ആൽഫ രൂപം","1. अल्फा वर्जन, 2. अल्फा रूप"
alt കീ,आल्ट कुंजी
ആൾട്ടാവിസ്റ്റ,आल्टाविस्टा
ബഹുസ്വരത,अनेकार्थकता
അവ്യക്തമായ വ്യാകരണം,संदिग्ध व्याकरण
അമേരിക്കൻ നാഷണൽ സ്റ്റാൻഡീസ് ഇൻസ്റ്റിറ്റ്യൂട്ട് (ANSI),अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.)
അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കട്ട് (ascii),अमेरिकी मानक कट (आस्की)
"1. സാദൃശ്യം, 2. അനലോഗ്","1. अनुरुप, 2. एनालॉग"
"1. അനലോഗ് കമ്പ്യൂട്ടർ, 2. അനലോഗ് കമ്പ്യൂട്ടർ","1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर"
"1. അനലോഗ് ഉപകരണം, 2. അനലോഗ് ഉപകരണം","1. अनुरुप युक्ति, 2. एनालॉग डिवाइस"
"1. അനലോഗ് മോഡം, 2. അനലോഗ് മോഡം","1. एनालॉग मोडेम, 2. अनुरुप मोडेम"
അനലോഗ് ടു ഡിജിറ്റൽ കൺവെർട്ടർ,अनुरुप से अंकीय रुपांतरक
അവസാനം (ഡിജിറ്റൽ/പ്ലെയിൻ ലോജിക് &#39;ഉം&#39; ഉപയോഗിച്ചു),एंड (डिजिटल/विमान लॉजिक ’और’ प्रयुक्त)
അവസാന സർക്യൂട്ട്,एंड परिपथ
അവസാന ഗേറ്റും ഗേറ്റും,एंड गेट और द्वार
എൻഡ് അല്ല ഓപ്പറേഷൻ (ഒഴിവാക്കൽ),एंड नॉट संक्रिया (अपवर्जन)
"1. ആനിമേഷൻ, 2. വൈബ്രേഷൻ","1. एनीमेशन, 2.  सजीवन"
കുറിപ്പ്,टिप्पण
പൊരുത്തക്കേട്,असंगता
മുമ്പത്തെ,पूर्ववर्ती
മുൻകൂർ പേജിംഗ്,प्रत्याशामूलक पृष्ठन
എതിർ-സമമിതി,प्रति-सममित
ആൻറിവൈറൽ പ്രോഗ്രാം,विषाणुरोधी क्रमादेश
"1. ആപ്ലെറ്റ്, 2. അപേക്ഷ","1. एपलेट, 2. अनुप्रयोगिका"
ആപ്ലിക്കേഷൻ ഡെവലപ്പർ,अनुप्रयोग विकासक
ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്,अनुप्रयोग प्रोग्रामन
"1. ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ്, 2. ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ് (API)","1. अनुप्रयोग प्रोग्रामन अंतरापृष्ठ, 2. एप्लीकेशन प्रोग्रामिंग इंटरफेस (ए.पी.आई.)"
ആപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ,अनुप्रयोग सॉफ्टवेयर
ആപ്ലിക്കേഷൻ ഭാഷ,अनुप्रयोगी भाषा
ഏകദേശ തത്വം,सन्निकटण सिद्धांत
ഘടന,संरचना
ഫീൽഡ് കൈമാറ്റം,क्षेत्र अंतरण
"1. പരാമീറ്റർ, സ്വതന്ത്ര വേരിയബിൾ, 2. ആംഗിൾ","1. प्राचर, स्वतंत्रचर, 2. कोणांक"
"1. അരിത്മെറ്റിക് ആൻഡ് ലോജിക് യൂണിറ്റ്, 2. അരിത്മെറ്റിക് ആൻഡ് ലോജിക് യൂണിറ്റ്","1. अंकगणितीय एवं तर्क एकक, 2. अंकगणितीय एवं तर्क इकाई"
ഗണിത പരിശോധന,अंकगणितीय जांच
ഗണിത സ്ഥിരാങ്കം,अंकगणितीय अचर
ഗണിത ഡാറ്റ,अंकगणितीय आंकडा
ഗണിത നിർദ്ദേശം,अंकगणितीय अनुदेश
മാത്തമാറ്റിക്കൽ ആൻഡ് ലോജിക്കൽ യൂണിറ്റ് (ALU),गणितीय एवं तार्किक इकाई (ए. एल. यू.)
ARPA നെറ്റ് (RPNet),ए आर पी ए नेट (आरपानेट)
അറേ,सरणी
"1. അറേ കാഷെ, 2. അറേ വേഗത, 3. അറേ മെമ്മറി","1. सरणी कैशे, 2. सरणी द्रुतिका, 3. सरणी द्रुतस्मृति"
അറേ കമ്പ്യൂട്ടർ,सरणी कंप्यूटर
അറേ ഘടകം,सरणी अवयव
അറേ പേര്,सरणी नाम
അറേ പ്രോസസർ,सरणी प्रकर्मक
അമ്പടയാള കീ,एरो कुंजी
ഉടമ്പടി,संधि
ജംഗ്ഷൻ പോയിന്റ്,संधि बिन्दु
കൃത്രിമ കോംപാക്ഷൻ,कृत्रिम संहनन
കൃത്രിമ നിയന്ത്രണം,कृत्रिम नियंत्रण
കൃത്രിമബോധം,कृत्रिम बोध
മൗണ്ട്,आरोहक
ആരോഹണ തരം,आरोही छंटाई
ascii അക്ഷരമാല,आस्की वर्णक्रम
ascii നിയന്ത്രണ ചിഹ്നം,आस्की नियंत्रण संप्रतीक
ascii ഫയൽ,आस्की संचिका
ascii ഫോണ്ട്,आस्की फॉन्ट
ASCII കൈമാറ്റം,आस्की अंतरण
വീക്ഷണാനുപാതം,अभिमुखता अनुपात
"1. ആസ്പി, 2. എ.എസ്.പി.ഐ","1. ऐस्पी, 2. ए एस पी आई"
എ എസ് ആർ കാലാട്,ए एस आर कालद
"1. ഓർമ്മപ്പെടുത്തൽ, 2. കൂട്ടിച്ചേർക്കൽ, 3. കൂട്ടിച്ചേർക്കാൻ","1. स्मरांतरण, 2. कोडांतरण, 3. कोडांतर करना"
"1. അസംബ്ലർ, 2. ഓർമ്മപ്പെടുത്തൽ","1. कोडांतरक, 2. स्मरांतरक"
"1. അസംബ്ലിംഗ് , 2. അനുസ്മരണം","1. कोडांतरण, 2. स्मरांतरण"
"1. ഓർമ്മപ്പെടുത്തൽ ഭാഷ, 2. അസംബ്ലിംഗ് ഭാഷ","1. स्मरांतरण भाषा, 2. कोडांतरण भाषा"
ദൃഢനിശ്ചയം,निश्चयन
"1. നിർദ്ദിഷ്ട ജോലി, 2. വിഹിതം","1. निर्दिष्ट कार्य, 2. नियतन"
കൂട്ടുകെട്ട്,साहचर्य
അനുബന്ധ വിലാസം,साहचर्य पता
"1. അനുബന്ധ മെമ്മറി, 2. അനുബന്ധ മെമ്മറി","1. साहचर्य स्मृति, 2. साहचर्य मेमोरी"
നക്ഷത്രചിഹ്നം (* ചിഹ്നം),तारक (*का चिन्ह)
അസമമായ,असम्मित
"1. അസമന്വിത , 2. അസമന്വിത","1. अतुल्यकालिक, 2. अतुल्यकाली"
അസിൻക്രണസ് ഡിജിറ്റൽ സബ്സ്ക്രൈബർ ലൈൻ (ADSL),अतुल्यकालिक अंकीय अभिदाता लाइन (एडी एस एल)
അസിൻക്രണസ് ടൈം ഡിവിഷൻ മൾട്ടിപ്ലെക്സിംഗ് (ATDM),अतुल्यकालिक समय विभाजन बहुसंकेतन (ए टी डी एम)
അസമന്വിത കൈമാറ്റം,अतुल्यकालिक अंतरण
അസിൻക്രണസ് ട്രാൻസ്ഫർ മോഡ് (എടിഎം),अतुल्यकालिक अंतरण विधा (ए टी एम)
"1. ആറ്റം, 2. പരമൻ","1. एटम, 2. परमाण"
അറ്റാച്ചുചെയ്ത പ്രമാണം,संलग्न प्रलेख
"1. അറ്റാച്ചുചെയ്ത ഫയൽ/മിസിൽ, 2. അറ്റാച്ചുചെയ്ത ഫയൽ","1. संलग्न संचिका/मिसिल, 2. संलग्न फाइल"
"1. എൻക്ലോഷർ, 2. അഫിലിയേറ്റഡ്","1. संलग्नक, 2. संबंद्ध"
"1. പ്രോപ്പർട്ടികൾ, 2. സ്പെഷ്യാലിറ്റി","1. गुण, 2. विशेषता"
കേൾക്കാവുന്ന,श्रव्य
"1. ഓഡിറ്റ് പ്രോഗ്രാമിംഗ്, 2. ഓഡിറ്റ് പ്രോഗ്രാമിംഗ്","1. लेखा परीक्षा क्रमादेशन, 2. लेखा परीक्षा प्रोग्रामन"
അക്കൗണ്ട് സ്ഥിരീകരണം,लेखा सत्यापन
പ്രമോഷൻ,संवर्धन
സർട്ടിഫിക്കേഷൻ പ്രോട്ടോക്കോൾ,प्रमाणन प्रोटोकॉल
എഴുത്ത് രീതി,संलेखन पद्धति
"1. അധികാരം, 2. അധികാരം, 3. ട്രിബ്യൂണൽ","1. प्राधिकरण, 2. अधिकृति, 3. अधिकरण"
യാന്ത്രിക സംഗ്രഹം,स्वत: सार
"1. ഓട്ടോ ബൂട്ടിംഗ്, 2. സ്വയം ബൂട്ട്","1. स्वतः बूटिंग, 2. स्व बूटन"
ഓട്ടോകാഡ് (ഒരു കമ്പ്യൂട്ടർ ഭാഷ),ऑटोकैड (एक कंप्यूटर भाषा)
യാന്ത്രിക ലോഗ്-ഓൺ,स्वत: लॉग-ऑन
ഓട്ടോമാറ്റ,ऑटोमेटा
ഓട്ടോമാറ്റ സിദ്ധാന്തം,आटोमेटा सिद्धांत
ഓട്ടോമാറ്റിക് കണക്കുകൂട്ടൽ,स्वत: अभिकलन
ഓട്ടോമാറ്റിക് ഡാറ്റ പ്രോസസ്സിംഗ്,स्वत: आंकड़ा प्रक्रमण
യാന്ത്രിക പിശക് തിരുത്തൽ,स्वत: त्रुटि संशोधन
യാന്ത്രിക പ്രവർത്തനം,स्वत: फलन
"1. ഓട്ടോമാറ്റിക് ഇൻഡക്‌സിംഗ്, 2. യാന്ത്രിക ലിസ്റ്റിംഗ്","1.  स्वत: सूचकीकरण, 2. स्वत: सूचीकरण"
യാന്ത്രിക ശേഖരണ കോൾ,स्वत: संग्रह आह्वान
"1. ഓട്ടോമാറ്റിക് പ്രോഗ്രാമിംഗ്, 2. ഓട്ടോമാറ്റിക് പ്രോഗ്രാമിംഗ്","1. स्वत: क्रमादेशन, 2. स्वत: प्रोग्रामन"
"1. ഓട്ടോമാറ്റിക് റിക്കവറി പ്രോഗ്രാം, 2. ഓട്ടോമാറ്റിക് റിക്കവറി പ്രോഗ്രാം","1.स्वत: पुन: प्राप्ति क्रमादेश, 2. स्वत: पुन: प्राप्ति प्रोग्राम"
യാന്ത്രിക ദിനചര്യ,स्वत: नेमका
ഓട്ടോമാറ്റിക് സിസ്റ്റം വീണ്ടെടുക്കൽ,स्वत: सिस्टम पुन: प्राप्ति
"1. ഓട്ടോമാറ്റിക് ടെല്ലർ മെഷീനുകൾ (എടിഎം), 2. സ്വയം പിൻവലിക്കാൻ ബാങ്ക് എ.ടി.എം","1. स्वत: टेलर मशीन्अ (ए टी एम), 2.  स्वयं धन निकालने के लिए बैंक की ए.टी.एम)"
ഓട്ടോമേഷൻ,स्वचालन
"1. ഓട്ടോപ്ലേ , 2. ഓട്ടോ നടത്തം","1. आटोप्ले, 2. स्वत: चलन"
വോക്കലൈസേഷൻ,स्वरक्षण
അസിസ്റ്റന്റ്,सहायक
സഹായ മെമ്മറി,सहायक स्मृति
സഹായ സംഭരണം,सहायक भंडारण
ലഭ്യമായ പട്ടിക,उपलब्ध लिस्ट
ലഭ്യമായ സമയം,उपलब्ध समय
ശരാശരി,औसत
AWK (ഒരു കമ്പ്യൂട്ടർ കമാൻഡ്),ए डब्ल्यू के (एक कंप्यूटर समादेश)
ശേഷം,पश्चांत
പോസ്റ്റ് പ്രോസസർ,पश्चांत प्रक्रमक
പിൻഭാഗത്തെ പ്രവർത്തനം ഇല്ലാതാക്കൽ,पश्च फलन विलोपन
പശ്ചാത്തല പ്രോസസ്സിംഗ്,पृष्ठभूमि प्रक्रमण
അനുബന്ധ സ്റ്റോറുകൾ,सहायक भंडार
ബാക്ക് പാച്ചിംഗ്,पश्च पैचीकरण
"1. പടിഞ്ഞാറ്, 2. ബാക്ക്സ്പേസ്","1. पश्चीयन, 2. बैकस्पेस"
ബാക്ക്ട്രാക്കിംഗ്,पश्चपथन
"1. ബാക്കപ്പ് , 2. തിരിച്ചടവ്","1. बैक-अप, 2. पूर्तिकर"
"1. കോംപ്ലിമെന്ററി മെമ്മറി, 2. ബാക്കപ്പ് മെമ്മറി","1. पूर्तिकर स्मृति, 2. बैक-अप मेमोरी"
പിന്നിലെ പിശക് തിരുത്തൽ,पश्च त्रुटि सुधार
(വരുമാനം-ചെലവ്) ബാലൻസ് ഷീറ്റ്,(आय-व्यय) तुलन पत्र
ബാൻഡേജ്,पट्टी
"1. ബാൻഡ് വീതി, 2. ബാൻഡ്‌വിഡ്ത്ത്/കപ്പാസിറ്റി","1. बैंड चौड़आई, 2. बैंड विड्थ/क्षमता"
ബാങ്കറുടെ അൽഗോരിതം,बैंकर एल्गोरिथ्म
"1. ബാർ കോഡ്, 2. ബാർ കോഡ്","1.बार कूट, 2. बार कोड"
ബാർകോഡ് സ്കാനർ,बार कोड स्कैनर
ബാർ ഗ്രാഫ്,बार ग्राफ
അടിസ്ഥാന വിലാസം,आधार पता
അടിസ്ഥാന ബാൻഡ്,आधार बैंड
ആധാർ നമ്പർ,आधार संख्या
അടിസ്ഥാന പട്ടിക,आधार सारणी
അടിസ്ഥാന (ഒരു കമ്പ്യൂട്ടർ ഭാഷ),बेसिक (एक कंप्यूटर भाषा)
"1. അടിസ്ഥാന നിയന്ത്രണം , 2. അടിസ്ഥാന നിയന്ത്രണം","1. मूल नियंत्रण, 2. आधार नियंत्रण"
"1. യഥാർത്ഥ നിക്ഷേപം, 2. അടിസ്ഥാന നിക്ഷേപം","1. मूल निवेश, 2. आधारी निवेश"
അടിസ്ഥാന നിർദ്ദേശം,आधारभूत अनुदेश
അടിസ്ഥാന പ്രശ്നം,आधारी निर्गम
അടിസ്ഥാന ഘട്ടം,मूल चरण
"1. ബാച്ച്, 2. ഗ്രൂപ്പ്, 3. ദുരന്തം","1. बैच, 2. समूह, 3. प्रचय"
"1. ബാച്ച് ഫയൽ, 2. ബാച്ച് ഫയൽ","1. बैच फाइल, 2. बैच संचिका"
ബാച്ച് നില,बैच स्थिति
"1. ബാച്ച് പ്രോസസ്സിംഗ്, 2. ഗ്രൂപ്പ് പ്രോസസ്സിംഗ്","1. बैच प्रक्रमण, 2. समूह प्रक्रमण"
"1. ബാച്ച് സിസ്റ്റം, 2. കവണ സംവിധാനം","1. बैच तंत्र, 2. प्रचय तंत्र"
ബൗഡ്,बॉड
ബാഡ് നിരക്ക്,बॉड दर
ബീം ബീം,किरण पुंज
"1. മാർഗ്ഗനിർദ്ദേശങ്ങൾ , 2. ബാച്ച് മാർക്ക്","1. निर्देशमानक, 2. बैचमार्क"
ദ്വിദിശ ആശയവിനിമയം,द्विदिश संचार
നേരിട്ടുള്ള ലിങ്ക്,विदिश कड़ी
ബൈനറി കോഡ്,द्विआधारी कूट
ബൈനറി അക്കങ്ങൾ,द्विआधारी अंक
ബൈനറി ഇൻവെസ്റ്റ്‌മെന്റ് ഔട്ട്‌പുട്ട് സിസ്റ്റം (BIOS),द्विआधारी निवेश निर्गम तंत्र (बायोस)
ബൈനറി നമ്പർ,द्विआधारी संख्या
ബൈനറി ഓപ്പറേറ്റർ,द्विआधारी संकारक
ബൈനറി ബന്ധം,द्विआधारी संबंध
ബൈനറി തിരയൽ,द्विआधारी खोज
ബൈനറി എക്സ്പ്ലോറേഷൻ ട്രീ (BST),द्विआधारी अन्वेषण तरु (बी एस टी)
"1. ബൈനറി ട്രാൻസ്ഫർ ട്രീ, 2. ബൈനറി കൈമാറ്റം","1. द्विआधारी ट्रांसफर तरु, 2. द्विआधारी अंतरण"
ബൈനറി മരം,द्विआधारी तरु
"1. ബൈപോളാർ മെമ്മറി, 2. ബൈപോളാർ മെമ്മറി","1. द्विध्रुवी स्मृति, 2. द्विध्रुवी मेमोरी"
"1. ജനന-മരണ മാതൃക, 2. ജനന മരണ മാതൃക","1. जन्म मरण मॉडल, 2. जन्म मरण निदर्श"
ജനന മരണ പ്രക്രിയ,जन्म मरण प्रक्रम
"1. ഡ്യൂക്ക്, 2. ബിറ്റ്","1. द्वयंक, 2. बिट"
ചെറിയ തെറ്റ്,बिट दोष
ബിറ്റ് മാപ്പ്,बिट प्रतिचित्र
"1. ബിറ്റ്, 2. ഭൂപടം, 3. പിക്സൽ (BMP)","1. बिट, 2. प्रतिचित्र, 3. पिक्सेल (बी एम पी)"
"1. ബിറ്റ് മാട്രിക്സ്, 2. ബിറ്റ് ടേബിൾ","1. बिट आव्यूह, 2. बिट सारणी"
ബിറ്റ് പാറ്റേൺ,बिट प्रतिरूप
ബിറ്റ് സ്ഥാനം,बिट स्थिति
"1. ബിറ്റ് റേറ്റ്, 2. ബിറ്റ് നിരക്ക്","1. बिट रेट, 2. बिट दर"
കണ്ണടച്ച് പരിശോധന,अंध पेटी परीक्षण
മിന്നിത്തിളങ്ങുക,टिमटिमाना
തടയുക,ब्लॉक
"1. ബ്ലോക്ക് കാഷെ, 2. ബ്ലോക്ക് കാഷെ / ചങ്ക് മെമ്മറി","1. खंडक दुतिका, 2. ब्लाक कैश/खंडक स्मृति"
ബ്ലോക്ക് അന്വേഷണം,खंडक जांच
വോളിയം കോപ്പി,खंड प्रतिलिपि
ബ്ലോക്ക് ഡയഗ്രം,खंडक आरेख
"1. ബ്ലോക്ക്ഡ് നെറ്റ്‌വർക്ക്, 2. ബ്ലോക്ക്ഡ് നെറ്റ്‌വർക്ക്","1. अवरोधी नेटवर्क, 2. अवरोधी जालक्रम"
ബോർഡ്,बोर्ड
പേജ് മെമ്മറി,पृष्ठ स्मृति
ബൂളിയൻ ബീജഗണിതം,बूलीय बीजगणित
ബൂളിയൻ ബന്ധം,बूलीय संबंध
ബൂട്ട് പാർട്ടീഷൻ,बूट विभाजन
ബൂട്ട് സ്ട്രാപ്പിംഗ്,बूट स्ट्रैपिंग
1.ബൂട്ട്സ്ട്രാപ്പ് ലോഡർ,1.बूटस्ट्रैप भारक 2. स्वोत्थानी
"1.പാലം, 2.പാലം","1.ब्रिज, 2. सेतु"
ബ്രോഡ്ബാൻഡ് നെറ്റ്വർക്ക്,ब्राडबैंड नेटवर्क
പ്രക്ഷേപണം,प्रसारण
പ്രക്ഷേപണം റേഡിയോ,प्रसारण रेडियो
(നെറ്റ്) വ്യത്യാസം,(नेट) विचरण
(നെറ്റ്) വികാരി,(नेट) विचरक
ബി-ട്രൂ,बी-तरु
"1.ബബിൾ മെമ്മറി, 2.ബബിൾ മെമ്മറി","1.बुदबुद स्मृति, 2.बबल मेमोरी"
ബബിൾ അടുക്കുക,बुदबुद छंटाी
"1.ബക്കറ്റ്, 2.ബക്കറ്റ്","1.बाल्टी, 2.बकेट"
"1. സാഹോദര്യ വ്യവസ്ഥ, 2. വലിയ സംവിധാനം","1.बंधुता तंत्र, 2.बडी तंत्र"
ഫലപ്രദമായ ബജറ്റ് നിയന്ത്രണം,बजट प्रभावी नियंत्रण
ബഫർ,बफर
പോരായ്മ,दोष
മതി,बस
"1. അഷ്ട വ്യാങ്ക്, 2. ബിറ്റ് (എട്ട് ബിറ്റുകൾ)","1.अष्ट वयंक, 2. बािट (आठ बिट)"
ബൈറ്റ് കോഡ്,बािट कोड
സി (കമ്പ്യൂട്ടർ ഭാഷ),सी (कंप्यूटर भाषा)
"1.സി പ്ലസ് പ്ലസ്, 2.സി++ (കമ്പ്യൂട്ടർ ഭാഷ)","1.सी प्लस प्लस, 2.C++(कंप्यूटर भाषा)"
"1. പണം, 2. വേഗം, 3.വേഗത","1.कैश, 2. द्रुतिका, 3.द्रुत"
"1.കാഷെ ബഫർ, 2.മെമ്മറി ബഫർ","1.कैश बफर, 2.द्रुतस्मृति बफर"
"1.കാഷെ മെമ്മറി, 2.കാഷെ മെമ്മറി, 3.ഫാസ്റ്റ് മെമ്മറി","1.कैश स्मृति, 2.कैश मेमोरी, 3.द्रुत स्मृति"
കണക്കുകൂട്ടല്,परिकलन
"1.കാൽക്കുലേറ്റർ, 2.കാൽക്കുലേറ്റർ","1.कैलकुलेटर, 2.परिकलक"
"1.കാൽക്കുലേറ്റർ ചിപ്പ്,2. കാൽക്കുലേറ്റർ ചിപ്പ്","1.कैलकुलेटर चिप, 2. परिकलक चिप"
