Gujarati,Punjabi
આગોતરી પેજીંગ,ਅਗਾਊਂ ਪੇਜਿੰਗ
પ્રતિ-સપ્રમાણ,ਵਿਰੋਧੀ-ਸਮਮਿਤੀ
એન્ટિવાયરલ પ્રોગ્રામ,ਐਂਟੀਵਾਇਰਲ ਪ੍ਰੋਗਰਾਮ
"1. ઉપલેટ, 2. અરજી","1. ਐਪਲਿਟ, 2. ਐਪਲੀਕੇਸ਼ਨ"
એપ્લિકેશન ડેવલપર,ਐਪਲੀਕੇਸ਼ਨ ਡਿਵੈਲਪਰ
એપ્લિકેશન પ્રોગ્રામિંગ,ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
"1. એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ, 2. એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ (API)","1. ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ, 2. ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ (API)"
એપ્લિકેશન સોફ્ટવેર,ਐਪਲੀਕੇਸ਼ਨ ਸਾਫਟਵੇਅਰ
એપ્લિકેશન ભાષા,ਐਪਲੀਕੇਸ਼ਨ ਭਾਸ਼ਾ
અંદાજ સિદ્ધાંત,ਲਗਭਗ ਸਿਧਾਂਤ
માળખું,ਬਣਤਰ
ક્ષેત્ર ટ્રાન્સફર,ਖੇਤਰ ਦਾ ਤਬਾਦਲਾ
"1. પરિમાણ, સ્વતંત્ર ચલ, 2. કોણ","1. ਪੈਰਾਮੀਟਰ, ਸੁਤੰਤਰ ਵੇਰੀਏਬਲ, 2. ਕੋਣ"
"1. અંકગણિત અને તર્ક એકમ, 2. અંકગણિત અને તર્ક એકમ","1. ਅੰਕਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ, 2. ਅੰਕਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ"
અંકગણિત તપાસ,ਗਣਿਤ ਦੀ ਜਾਂਚ
અંકગણિત સતત,ਅੰਕਗਣਿਤ ਸਥਿਰ
અંકગણિત માહિતી,ਗਣਿਤ ਡਾਟਾ
અંકગણિત સૂચના,ਗਣਿਤ ਦੀ ਹਿਦਾਇਤ
ગાણિતિક અને તાર્કિક એકમ (ALU),ਗਣਿਤ ਅਤੇ ਲਾਜ਼ੀਕਲ ਯੂਨਿਟ (ALU)
ARPA નેટ (RPNet),ARPA ਨੈੱਟ (RPNet)
એરે,ਐਰੇ
"1. એરે કેશ, 2. એરે ઝડપ, 3. એરે મેમરી","1. ਐਰੇ ਕੈਸ਼, 2. ਐਰੇ ਸਪੀਡ, 3. ਐਰੇ ਮੈਮੋਰੀ"
એરે કમ્પ્યુટર,ਐਰੇ ਕੰਪਿਊਟਰ
એરે તત્વ,ਐਰੇ ਤੱਤ
એરે નામ,ਐਰੇ ਨਾਮ
એરે પ્રોસેસર,ਐਰੇ ਪ੍ਰੋਸੈਸਰ
તીર કી,ਤੀਰ ਕੁੰਜੀ
સંધિ,ਸੰਧੀ
જંકશન પોઈન્ટ,ਜੰਕਸ਼ਨ ਬਿੰਦੂ
કૃત્રિમ કોમ્પેક્શન,ਨਕਲੀ ਸੰਕੁਚਿਤ
કૃત્રિમ નિયંત્રણ,ਨਕਲੀ ਕੰਟਰੋਲ
કૃત્રિમ સંવેદના,ਨਕਲੀ ਭਾਵਨਾ
માઉન્ટ,ਮਾਊਂਟ
ચડતા સૉર્ટ,ਵਧਦੀ ਲੜੀ
ascii મૂળાક્ષરો,ascii ਵਰਣਮਾਲਾ
ascii નિયંત્રણ પ્રતીક,ascii ਕੰਟਰੋਲ ਚਿੰਨ੍ਹ
ascii ફાઇલ,ascii ਫਾਈਲ
ascii ફોન્ટ,ascii ਫੌਂਟ
ASCII ટ્રાન્સફર,ASCII ਟ੍ਰਾਂਸਫਰ
પાસા ગુણોત્તર,ਆਕਾਰ ਅਨੁਪਾਤ
"1. એસ્પી, 2. ASPI","1. ਐਸਪੀ, 2. ਏ.ਐਸ.ਪੀ.ਆਈ"
એ એસ આર કલાડ,ਏ ਐਸ ਆਰ ਕਲਾਡ
"1. સ્મરણ, 2. એસેમ્બલિંગ, 3. એસેમ્બલ કરવા માટે","1. ਯਾਦ, 2. ਅਸੈਂਬਲਿੰਗ, 3. ਇਕੱਠੇ ਕਰਨ ਲਈ"
"1. એસેમ્બલર, 2. રીમાઇન્ડર","1. ਅਸੈਂਬਲਰ, 2. ਯਾਦਗਾਰੀ"
"1. એસેમ્બલિંગ, 2. યાદ","1. ਅਸੈਂਬਲਿੰਗ, 2. ਯਾਦ"
"1. યાદગાર ભાષા, 2. એસેમ્બલીંગ ભાષા","1. ਯਾਦਾਸ਼ਤ ਭਾਸ਼ਾ, 2. ਅਸੈਂਬਲਿੰਗ ਭਾਸ਼ਾ"
નિશ્ચય,ਦ੍ਰਿੜ੍ਹਤਾ
"1. ઉલ્લેખિત કાર્ય, 2. ફાળવણી","1. ਨਿਰਧਾਰਤ ਕੰਮ, 2. ਵੰਡ"
સોબત,ਸਾਥੀ
સહયોગી સરનામું,ਸਹਿਯੋਗੀ ਪਤਾ
"1. સહયોગી મેમરી, 2. સહયોગી મેમરી","1. ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ, 2. ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ"
ફૂદડી (* ચિહ્ન),ਤਾਰਾ (* ਚਿੰਨ੍ਹ)
અસમપ્રમાણ,ਅਸਮਿਤ
"1. અસુમેળ, 2. અસુમેળ","1. ਅਸਿੰਕ੍ਰੋਨਸ, 2. ਅਸਿੰਕ੍ਰੋਨਸ"
અસુમેળ ડિજિટલ સબ્સ્ક્રાઇબર લાઇન (ADSL),ਅਸਿੰਕ੍ਰੋਨਸ ਡਿਜੀਟਲ ਸਬਸਕ੍ਰਾਈਬਰ ਲਾਈਨ (ADSL)
અસિંક્રોનસ ટાઈમ ડિવિઝન મલ્ટિપ્લેક્સિંગ (ATDM),ਅਸਿੰਕ੍ਰੋਨਸ ਟਾਈਮ ਡਿਵੀਜ਼ਨ ਮਲਟੀਪਲੈਕਸਿੰਗ (ATDM)
અસુમેળ ટ્રાન્સફર,ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ
અસિંક્રોનસ ટ્રાન્સફર મોડ (ATM),ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ ਮੋਡ (ATM)
"1. અણુ, 2. પરમાન","1. ਐਟਮ, 2. ਪਰਮਾਨ"
જોડાયેલ દસ્તાવેજ,ਨੱਥੀ ਦਸਤਾਵੇਜ਼
"1. જોડાયેલ ફાઇલ/મિસિલ, 2. જોડેલી ફાઈલ","1. ਨੱਥੀ ਫਾਈਲ/ਮਿਸਲ, 2. ਨੱਥੀ ਫਾਈਲ"
"1. બિડાણ, 2. સંલગ્ન","1. ਦੀਵਾਰ, 2. ਸੰਬੰਧਿਤ"
"1. ગુણધર્મો, 2. વિશેષતા","1. ਗੁਣ, 2. ਵਿਸ਼ੇਸ਼ਤਾ"
સાંભળી શકાય તેવું,ਸੁਣਨਯੋਗ
"1. ઓડિટ પ્રોગ્રામિંગ, 2. ઓડિટ પ્રોગ્રામિંગ","1. ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ"
એકાઉન્ટ વેરિફિકેશન,ਖਾਤਾ ਪੁਸ਼ਟੀਕਰਨ
પ્રમોશન,ਤਰੱਕੀ
પ્રમાણપત્ર પ્રોટોકોલ,ਸਰਟੀਫਿਕੇਸ਼ਨ ਪ੍ਰੋਟੋਕੋਲ
લેખન પદ્ધતિ,ਲੇਖਕ ਵਿਧੀ
"1. સત્તા, 2. સત્તા, 3. ટ્રિબ્યુનલ","1. ਅਥਾਰਟੀ, 2. ਅਥਾਰਟੀ, 3. ਟ੍ਰਿਬਿਊਨਲ"
સ્વતઃ અમૂર્ત,ਆਟੋ ਐਬਸਟਰੈਕਟ
"1. ઓટો બુટીંગ, 2. સ્વ બુટ","1. ਆਟੋ ਬੂਟਿੰਗ, 2. ਸਵੈ ਬੂਟ"
ઓટોકેડ (કોમ્પ્યુટર ભાષા),ਆਟੋਕੈਡ (ਇੱਕ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ)
ઓટો લોગ-ઓન,ਆਟੋ ਲੌਗ-ਆਨ
ઓટોમેટા,ਆਟੋਮੇਟਾ
ઓટોમેટા સિદ્ધાંત,ਆਟੋਮੈਟਾ ਥਿਊਰੀ
આપોઆપ ગણતરી,ਆਟੋਮੈਟਿਕ ਗਣਨਾ
સ્વચાલિત ડેટા પ્રોસેસિંગ,ਆਟੋਮੈਟਿਕ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ
આપોઆપ ભૂલ સુધારણા,ਆਟੋਮੈਟਿਕ ਗਲਤੀ ਸੁਧਾਰ
સ્વતઃ કાર્ય,ਆਟੋ ਫੰਕਸ਼ਨ
"1. સ્વચાલિત અનુક્રમણિકા, 2. આપોઆપ યાદી","1. ਆਟੋਮੈਟਿਕ ਇੰਡੈਕਸਿੰਗ, 2. ਆਟੋਮੈਟਿਕ ਸੂਚੀਕਰਨ"
સ્વતઃ-સંગ્રહ કૉલ,ਸਵੈ-ਸੰਗ੍ਰਹਿ ਕਾਲ
"1. ઓટોમેટિક પ્રોગ્રામિંગ, 2. આપોઆપ પ્રોગ્રામિંગ","1. ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ"
"1. સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ, 2. સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ","1. ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ, 2. ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ"
આપોઆપ નિયમિત,ਆਟੋਮੈਟਿਕ ਰੁਟੀਨ
આપોઆપ સિસ્ટમ પુનઃપ્રાપ્તિ,ਆਟੋਮੈਟਿਕ ਸਿਸਟਮ ਰਿਕਵਰੀ
"1. ઓટોમેટિક ટેલર મશીન (ATM), 2. સ્વ ઉપાડ માટે બેંક એ.ટી.એમ","1. ਆਟੋਮੈਟਿਕ ਟੈਲਰ ਮਸ਼ੀਨਾਂ (ATM), 2. ਸਵੈ ਨਿਕਾਸੀ ਲਈ ਬੈਂਕ ਏ.ਟੀ.ਐਮ"
ઓટોમેશન,ਆਟੋਮੇਸ਼ਨ
"1. ઑટોપ્લે , 2. ઓટો વોક","1. ਆਟੋਪਲੇ, 2. ਆਟੋ ਵਾਕ"
અવાજ,ਵੋਕਲਾਈਜ਼ੇਸ਼ਨ
મદદનીશ,ਸਹਾਇਕ
સહાયક મેમરી,ਸਹਾਇਕ ਮੈਮੋਰੀ
સહાયક સંગ્રહ,ਸਹਾਇਕ ਸਟੋਰੇਜ਼
ઉપલબ્ધ યાદી,ਉਪਲਬਧ ਸੂਚੀ
ઉપલબ્ધ સમય,ਉਪਲਬਧ ਸਮਾਂ
સરેરાશ,ਔਸਤ
AWK (કોમ્પ્યુટર આદેશ),AWK (ਇੱਕ ਕੰਪਿਊਟਰ ਕਮਾਂਡ)
પછી,ਬਾਅਦ
પોસ્ટ પ્રોસેસર,ਪੋਸਟ ਪ੍ਰੋਸੈਸਰ
પશ્ચાદવર્તી કાર્ય કાઢી નાખવું,ਪਿਛਲਾ ਫੰਕਸ਼ਨ ਮਿਟਾਉਣਾ
પૃષ્ઠભૂમિ પ્રક્રિયા,ਪਿਛੋਕੜ ਦੀ ਕਾਰਵਾਈ
આનુષંગિક સ્ટોર્સ,ਸਹਾਇਕ ਸਟੋਰ
બેક પેચીંગ,ਵਾਪਸ ਪੈਚਿੰਗ
"1. પશ્ચિમ, 2. બેકસ્પેસ","1. ਪੱਛਮ, 2. ਬੈਕਸਪੇਸ"
બેકટ્રેકિંગ,ਬੈਕਟਰੈਕਿੰਗ
"1. બેક-અપ, 2. વળતર","1. ਬੈਕ-ਅੱਪ, 2. ਅਦਾਇਗੀ"
"1. પૂરક મેમરી, 2. બેકઅપ મેમરી","1. ਪੂਰਕ ਮੈਮੋਰੀ, 2. ਬੈਕਅੱਪ ਮੈਮੋਰੀ"
પાછળની ભૂલ સુધારણા,ਵਾਪਸ ਗਲਤੀ ਸੁਧਾਰ
(આવક-ખર્ચ) બેલેન્સ શીટ,(ਆਮਦਨ-ਖਰਚਾ) ਬੈਲੇਂਸ ਸ਼ੀਟ
પાટો,ਪੱਟੀ
"1. બેન્ડ પહોળાઈ, 2. બેન્ડવિડ્થ/ક્ષમતા","1. ਬੈਂਡ ਚੌੜਾਈ, 2. ਬੈਂਡਵਿਡਥ/ਸਮਰੱਥਾ"
બેંકરનું અલ્ગોરિધમ,ਬੈਂਕਰ ਦਾ ਐਲਗੋਰਿਦਮ
"1. બાર કોડ, 2. બાર કોડ","1. ਬਾਰ ਕੋਡ, 2. ਬਾਰ ਕੋਡ"
બારકોડ સ્કેનર,ਬਾਰਕੋਡ ਸਕੈਨਰ
બાર ગ્રાફ,ਪੱਟੀ ਗ੍ਰਾਫ
આધાર સરનામું,ਅਧਾਰ ਪਤਾ
આધાર બેન્ડ,ਅਧਾਰ ਬੈਂਡ
આધાર નંબર,ਆਧਾਰ ਨੰਬਰ
આધાર ટેબલ,ਅਧਾਰ ਸਾਰਣੀ
મૂળભૂત (કોમ્પ્યુટર ભાષા),ਬੇਸਿਕ (ਇੱਕ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ)
"1. મૂળભૂત નિયંત્રણ, 2. આધાર નિયંત્રણ","1. ਬੁਨਿਆਦੀ ਨਿਯੰਤਰਣ, 2. ਅਧਾਰ ਕੰਟਰੋਲ"
"1. મૂળ રોકાણ, 2. આધાર રોકાણ","1. ਮੂਲ ਨਿਵੇਸ਼, 2. ਅਧਾਰ ਨਿਵੇਸ਼"
મૂળભૂત સૂચના,ਬੁਨਿਆਦੀ ਹਦਾਇਤ
આધાર મુદ્દો,ਅਧਾਰ ਮੁੱਦਾ
મૂળભૂત તબક્કો,ਬੁਨਿਆਦੀ ਪੜਾਅ
"1. બેચ, 2. જૂથ, 3. આપત્તિ","1. ਬੈਚ, 2. ਸਮੂਹ, 3. ਤਬਾਹੀ"
"1. બેચ ફાઇલ, 2. બેચ ફાઇલ","1. ਬੈਚ ਫਾਈਲ, 2. ਬੈਚ ਫਾਈਲ"
બેચ સ્થિતિ,ਬੈਚ ਸਥਿਤੀ
