Hindi,Malayalam
वैमानिकी,എയറോനോട്ടിക്സ്
वायुस्पंद,എയർ പൾസ്
"वातमंडल,गैसमंडल","അന്തരീക്ഷം, വാതകമണ്ഡലം"
अफोकसी तंत्र,ഫോക്കസ് സിസ്റ്റം
पश्च ज्वलन,തിരികെ ജ്വലനം
पश्च दीप्ति,ബാക്ക് ലൈറ്റ്
उत्तरघात,ഞെട്ടൽ
"वय,आयु,उम्र  ,युग (सं.) ,कालप्रभावित करना (क्रि.), काल, कालप्रभावित होना","പ്രായം, പ്രായം, പ്രായം, യുഗം (എഡി.), സമയത്തെ ബാധിക്കാൻ (ver.), സമയം, സമയം ബാധിക്കുക"
कालप्रभावित,സമയം ബാധിച്ചു
"कालप्रभावन ,जरण","വാർദ്ധക്യം, വാർദ്ധക്യം"
कालप्रभावन,സമയ പ്രഭാവം
कालप्रभावन परीक्षण,സമയ ഫല പരിശോധന
गुरुत्वहीन,ഗുരുത്വാകർഷണമില്ലാത്ത
संधान,അനുരഞ്ജനം
"वायुवाहित रेडार,हवाई रेडार","വായുവിലൂടെയുള്ള റഡാർ, ഏരിയൽ റഡാർ"
"वायुवर्ती लक्ष्य,हवाई लक्ष्य","ആകാശ ലക്ഷ്യം, ആകാശ ലക്ഷ്യം"
"वायुश्वासी,वायुश्वसित्र",എയർ റെസ്പിറേറ്റർ
वातानुकूलन,എയർ കണ്ടീഷനിംഗ്
वायुक्रोडी ट्रांसफार्मर,എയർക്രൂ ട്രാൻസ്ഫോർമർ
वायुयान,വിമാനം
संरेखण,വിന്യാസം
सरेखण त्रुटि,വിന്യാസ പിശക്
सजीव परिपथ,ലൈവ് സർക്യൂട്ട്
संपूर्ण कांच नलिका,മുഴുവൻ ഗ്ലാസ് ട്യൂബ്
संपूर्ण धातुनलिका,മുഴുവൻ മെറ്റൽ ട്യൂബ്
नियत करना,പരിഹരിക്കാൻ
"मिश्रातु (सं.),मिश्रात्वन (क्रि.)","മിസ്രതു (എഡി.), മിശ്രത്വാൻ (സി.ആർ.)"
मिश्रात्वन,മിശ്രത്വൻ
सर्वव्यापी माध्यम,സർവ്വവ്യാപിയായ മാധ്യമം
सर्वतरंग ऐन्टेना,ഓമ്‌നി ആന്റിന
पंचांग,പഞ്ചഭൂതം
ऐल्फा,ആൽഫ
ऐल्फा-सक्रियता,ആൽഫ പ്രവർത്തനം
अक्षरांकीय,ആൽഫാന്യൂമെറിക്
ऐल्फा किरण,ആൽഫാ റേ
परिवर्तन,മാറ്റുക
"एकांतर ,प्रत्यावर्ती","ഒന്നിടവിട്ട്, ഒന്നിടവിട്ട്"
प्रत्यावर्तित्र,ആൾട്ടർനേറ്റർ
तुंगतालेखी,ആൾട്ടിമീറ്റർ
तुंगतामापी,ആൾട്ടിമീറ്റർ
तुंगतामापिकी,ആൾട്ടിമെട്രി
"तुंगता,उंचाई,उन्नतांश,शीर्षलम्ब","ഉയരം, ഉയരം, ഉയരം, ഉയരം"
अंकगणित तर्क एकक (ए एल यू),അരിത്മെറ്റിക് റീസണിംഗ് യൂണിറ്റ് (ALU)
एमागेट नियम,ഒരു ഭരണം
परिवेश,പരിസ്ഥിതി
एमाइक्रोन,അമ്ക്രോൺ
ऐमीटर,അമ്മീറ്റർ
ऐम्पियर,ആമ്പിയർ
ऐम्पियर-नियम,ആമ്പിയർ നിയമം
उभयावेशी आयन,ഉഭയജീവി അയോൺ
प्रवर्धन,ആംപ്ലിഫിക്കേഷൻ
प्रवर्धक,ആംപ്ലിഫയർ
"कोणांक,आयाम","ആംഗിൾ, അളവ്"
ए. एम. यू. (परमाणु संहति मात्रक),എ. എം.യു. (ആറ്റോമിക് മാസ് യൂണിറ്റ്)
अनुरूप,അനുയോജ്യം
सादृश्य,സാമ്യം
विश्लेषक,അനലിസ്റ്റ്
विश्लेषण,വിശകലനം
विश्लेषीय,വിശകലനാത്മകമായ
अन-अबिन्दुक,നോൺ-പോയിന്റ്
अन-अबिंदुकता,അസാധാരണമായ
तथा द्वार,വാതിലും
अप्रतिध्वनिक,നോൺ-അക്കോസ്റ്റിക്
विषम प्रत्यास्थता,അസാധാരണമായ ഇലാസ്തികത
निर्द्रव,ജലരഹിതമായ
कोण,കോൺ
ऐंग्स्ट्रम मात्रक,angstrom യൂണിറ്റ്
कोणीय,കോണിക
कोणमापी वर्नियर,പ്രൊട്രാക്ടർ വെർനിയർ
अप्रसंवादी,തർക്കരഹിതമായ
अप्रसवादिता,ബഹുമാനമില്ലാത്ത
अशैथिल्य चुंबकन,അക്രോമാറ്റിക് കാന്തികവൽക്കരണം
अशिथिलित,മന്ദത
ऋणायन,അയോൺ
असमविम,അസമമായ
विषमदैशिक,ഐസോട്രോപിക്
विषमदैशिकता,ഐസോട്രോപിസം
विलोपन,ഇല്ലാതാക്കൽ
आख्यापित्र,ഗൂഢാലോചനക്കാർ
ऐनोड,ആനോഡ്
ऐनोडीकरण,ആനോഡൈസേഷൻ
अंसगत,പൊരുത്തമില്ലാത്ത
प्रकाशयंत्रहीन तंत्र,ഒപ്റ്റിക്കൽ സിസ്റ്റം
ऐन्टेना,ആന്റിന
ऐन्टिबेरियॉन,ആന്റിബെറിയോൺ
बंधन विरोधी गुणधर्म,ബോണ്ടിംഗ് വിരുദ്ധ സ്വത്ത്
प्रति-आबंधन,കൌണ്ടർ ബോണ്ട്
प्रतिलोह विद्युत,റിവേഴ്സ് പവർ
प्रतिलोहचुंबकीय,ഡയമാഗ്നറ്റിക്
प्रतिलोहचुबकीय पदार्थ,ഡയമാഗ്നറ്റിക് മെറ്റീരിയൽ
प्रतिकूहाकारक,വിരുദ്ധ ബാഹ്യാവിഷ്ക്കാരമാണ്
प्रतिगुरुत्व,ആന്റിഗ്രാവിറ്റി
प्रतिलेम्डा कण,ആന്റിലാംഡ കണിക
ऐल्टीलेप्टॉन,അല്ലെലെപ്റ്റൺ
प्रतिचुंबकीय,ഡയമാഗ്നറ്റിക്
ऐन्टिद्रव्य,പ്രതിദ്രവ്യം
मिसाइल विरोधी,വിരുദ്ധ മിസൈൽ
ऐन्टिन्यूट्रॉन,ആന്റിന്യൂട്രോൺ
प्रस्पंद,സ്പന്ദിക്കുന്ന
प्रतिन्यूक्लिऑन,ആന്റി ന്യൂക്ലിയോൺ
प्रतिकण,ആന്റിപാർട്ടിക്കിൾ
प्रतिप्रोटॉन,ആന്റിപ്രോട്ടോൺ
परावर्तनरोधी,ആന്റി റിഫ്ലെക്റ്റീവ്
प्रतिसममित,ആന്റിസിമെട്രിക്
अनावर्ती,ആവർത്തിക്കാത്ത
अनावर्तिता,അനാക്രോണിസം
छिद्रित क्रमवीक्षण डिस्क,സുഷിരങ്ങളുള്ള സ്കാനിംഗ് ഡിസ്ക്
द्वारक,ദ്വാരക്
"शीर्ष,शिखर,अग्रक","മുകളിൽ, മുകളിൽ, മുൻഭാഗം"
"सूर्योच्च,रवि उच्च,अपसौर","സൂര്യൻ ഉയർന്ന, സൂര്യൻ ഉയർന്ന, അപ്സർ"
अविपथी लेस,ഉദാസീനമായ ലേസ്
अविपथी,ദയനീയമല്ലാത്ത
अविपथिता,വൈകല്യമില്ലാത്തത്
अति अवर्णी,വളരെ അക്രോമാറ്റിക്
"भूमि-उच्च,अपभू","ഭൂമി-ഉയരം, അപ്പോജി"
"अध्रुवी,परिध्रुवी","ധ്രുവീയമല്ലാത്ത, വൃത്താകൃതിയിലുള്ള"
परिध्रुविता,പരധ്രുവത്വം
उपकरण,ഉപകരണം
"आभासी,दृष्ट","വെർച്വൽ, വിഷ്വൽ"
दृष्ट सूर्य,ദൃശ്യ സൂര്യൻ
दृष्ट समय,ദൃശ്യ സമയം
"उदभावी,प्रकटन",ഉയർന്നുവരുന്ന രൂപം
अनुप्रयुक्ति,അപേക്ഷ
अनुप्रयोज्यता,പ്രയോഗക്ഷമത
अनुप्रयुक्त,അപേക്ഷിച്ചു
सुप्रेक्ष्य,നിരീക്ഷിക്കാവുന്നതാണ്
उपगमन,സമീപനം
"सन्निकट,लगभग","അടുത്ത്, ഏകദേശം"
सन्निकटन,ഏകദേശ കണക്ക്
वाष्प दाब,നീരാവി മർദ്ദം
स्वेच्छ,സ്വമേധയാ
"आर्क भट्टी,चाप भट्टी","ആർക്ക് ചൂള, ആർക്ക് ചൂള"
आर्किमीडीज़ का नियम,ആർക്കിമിഡീസിന്റെ നിയമം
स्थापत्य ध्वानिकी,വാസ്തുവിദ്യാ ശബ്ദശാസ്ത്രം
आर्क लैंप,ആർക്ക് ലാമ്പ്
आर्क-स्पेक्ट्रम,ആർക്ക്-സ്പെക്ട്രം
"क्षेत्र,क्षेत्रफल","പ്രദേശം, പ്രദേശം"
"क्षेत्रफलीय,क्षेत्रीय","പ്രാദേശിക, പ്രാദേശിക"
"बाहु,भुजा,शाखिका","ഭുജം, ഭുജം, ശാഖ"
आमेचर,അമച്വർ
"व्यूह ,सरणी","അറേ, അറേ"
प्रग्राही,റിസീവർ
उच्चारण स्पष्टता,ഉച്ചാരണ വ്യക്തത
कृत्रिम,സിന്തറ്റിക്
कृत्रिम तत्वांतरण,കൃത്രിമ പരിവർത്തനം
आरोही,ആരോഹണം
तारारोहण,കയറ്റം
आरोहांक,കയറുന്നു
अगोली,അഗോലി
अगोलीकरण,സമാഹരണം
समुच्चय,കൂട്ടം
"समुच्चय करना,समुच्चयन","അസംബ്ലിംഗ്, അസംബ്ലിംഗ്"
"समुच्चय ,समुच्चयन ,कोडांतरण","അസംബ്ലിംഗ്, അസംബ്ലിംഗ്, അസംബ്ലിംഗ്"
परिशुद्धता आकलन,കൃത്യമായ കണക്കുകൂട്ടൽ
निर्दिष्ट (क्वांटम संख्याओं का) निर्दिष्टीकरण,വ്യക്തമാക്കിയ (ക്വാണ്ടം സംഖ്യകളുടെ) സവിശേഷതകൾ
"संबंद्ध ,सहचारी,संगुणित","ബന്ധപ്പെട്ട, സഹകാരി, സംയോജിത"
स्वरावृत्ति,സ്വരാക്ഷര ശബ്ദം
स्वचलित बहुकंपित्र,ഓട്ടോമാറ്റിക് മൾട്ടിവൈബ്രേറ്റർ
अस्थैतिक,ആസ്തെനിക്
"अबिन्दुकता,एस्टिग्मेटिज्म","വിട്ടുനിൽക്കൽ, astigmatism"
अंतरिक्ष यात्रा इलेक्ट्रॉनिकी,ബഹിരാകാശ യാത്ര ഇലക്ട്രോണിക്സ്
खगोलमिति,ജ്യോതിശാസ്ത്രം
अंतरिक्षयात्री,ബഹിരാകാശ സഞ്ചാരി
खगोलज्ञ,ജ്യോതിശാസ്ത്രജ്ഞൻ
खगोलीय,സ്വർഗ്ഗീയ
खगोलिकी,ജ്യോതിശാസ്ത്രം
खगोल भौतिकी,ജ്യോതിശാസ്ത്രം
असममित,അസമമായ
अनंतस्पर्शी,അസിംപ്റ്റോട്ടിക്
उपगामी,വഷളാക്കുന്നു
अतुल्यकालिक,അസമന്വിത
"वायुमंडल,परिमंडल","അന്തരീക്ഷം, അന്തരീക്ഷം"
वायुमंडलीय,അന്തരീക്ഷം
वायु-विद्युत क्षोभ,കാറ്റ് പ്രക്ഷുബ്ധത
परमाणु,ആണവ
परमाण्वीय,ആറ്റോമിക
परमाणुकता,ആറ്റോമിസിറ്റി
परमाणु संहति,ആണവ പിണ്ഡം
परमाणु क्रमांक,ആറ്റോമിക നമ്പർ
"परमाणु-रिऐक्टर,परमाणु पाइल","ന്യൂക്ലിയർ റിയാക്ടർ, ന്യൂക്ലിയർ പൈൽ"
परमाण्विक,ആറ്റോമിക
कणन,കണം
कणित्र,കണം
"क्षीणन ,क्षीणता",ശോഷണം
"क्षीणकारी,क्षीणक","ശോഷണം, ശോഷണം"
आकर्षण,ചാം
आकर्षण बल,ആകർഷണ ശക്തി
श्रव्यता,ശ്രവണക്ഷമത
श्रव्य आवृत्ति-प्रवर्धक,ഓഡിയോ ഫ്രീക്വൻസി ആംപ്ലിഫയർ
श्रव्य,കേൾക്കാവുന്ന
श्रव्यजनित्र,ഓഡിയോ ജനറേറ്റർ
श्रव्यता आलेख,ഓഡിബിലിറ്റി ഗ്രാഫ്
श्रवण विज्ञान,കേൾവി ശാസ്ത്രം
श्रव्यतामापी,ഓഡിയോമീറ്റർ
श्रव्य आवृत्ति-दोलक,കേൾക്കാവുന്ന ഫ്രീക്വൻസി ഓസിലേറ്റർ
ध्वनि सिग्नल,ശബ്ദ സിഗ്നൽ
दृश्य-श्रव्य,ദൃശ്യ-ശ്രാവ്യ
"ऑडिटोरियम,सभाभवन","ഓഡിറ്റോറിയം, ഓഡിറ്റോറിയം"
ओज़ए प्रभाव,OZ പ്രഭാവം
संवर्धन,പ്രമോഷൻ
संवर्धक,എൻഹാൻസർ
ध्रुवीय ज्योति,ധ്രുവജ്വാല
दक्षिण ध्रुवीय ज्योति,ദക്ഷിണ ധ്രുവജ്വാല
उत्तर ध्रुवीय ज्योति,ഉത്തരധ്രുവ ജ്വാല
स्वचालित सचेतक,യാന്ത്രിക മുന്നറിയിപ്പ്
स्वतः समांतरित्र,ഓട്ടോ പാരലലൈസർ
"आत्मचालित,स्वचालित,स्वतः","ഓട്ടോമാറ്റിക്, ഓട്ടോമാറ്റിക്, ഓട്ടോമാറ്റിക്"
"स्वचालन,स्वचालित यंत्र","ഓട്ടോമേഷൻ, ഓട്ടോമേഷൻ"
"सहायक,सहकारी,अतिरिक्त","സഹായി, സഹകരണം, അധിക"
"अवधाव,ऐवेलांश","അവദവ, അവലാഞ്ചി"
"औसत,माध्य","അർത്ഥം, അർത്ഥം"
परिवर्जन,പരിവാരൻ
अक्षीय,അച്ചുതണ്ട്
अक्ष,അച്ചുതണ്ട്
दिगंश,അസിമുത്ത്
दिगंशीय,അസിമുത്ത്
पश्च,തിരികെ
"पृष्ठभूमि,पृष्ठभूमिक","പശ്ചാത്തലം, പശ്ചാത്തലം"
"पिच्छद,पश्चगमन","പിന്നോട്ട്, പിന്നോട്ട്"
प्रतिवर्तन,ടേൺ എറൗണ്ട്
पश्चडोल वोल्टता स्पंदक,ബാക്ക് വോൾട്ടേജ് പൾസർ
पश्च-पश्च-संबंधन,പോസ്റ്റ്-റിലേഷൻഷിപ്പ്
पूर्तिकर,തിരിച്ചടവ്
विरोधी वोल्टता,ആന്റി വോൾട്ടേജ്
पश्चवर्ती प्रकीर्णन,പിൻഭാഗം ചിതറിക്കൽ
अंतराली तरंग,ഇന്റർസ്റ്റീഷ്യൽ വേവ്
कुचालक,ഇൻസുലേറ്റർ
पैराशूट सहित कूद पड़ना,പാരച്യൂട്ട് ജമ്പ്
तपन,ചൂടാക്കൽ
"तुला,तराजू ,बाकी ,संतुलित करना,संतुलित होना,संतुलन ,शेष","ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്"
संतोलक,ബാലൻസർ
संतुलन,ബാലൻസ്
गोलात चुबक,ഗോളാകൃതി
"प्राक्षेपिक,प्राक्षेपिकीय","ബാലിസ്റ്റിക്, ബാലിസ്റ്റിക്"
"प्रक्षेप धारामापी,प्रक्षेप गैल्वनोमीटर","പ്രൊജക്ഷൻ ഗാൽവനോമീറ്റർ, പ്രൊജക്ഷൻ ഗാൽവനോമീറ്റർ"
प्रक्षेपास्त्र,മിസൈൽ
"प्राक्षेपिकी,अस्त्र विज्ञान","ബാലിസ്റ്റിക്സ്, ആയുധം"
प्रक्षेप,പ്രൊജക്ഷൻ
मुक्त प्रक्षेप पथ,സ്വതന്ത്ര പാത
"बैलून,गुब्बारा","ബലൂൺ, ബലൂൺ"
बामर-असातत्य,ബാൽമർ നിർത്തലാക്കൽ
"पट्ट,पट्टी,बैंड .दल","ബാൻഡ്, ബാൻഡ്, ബാൻഡ്"
धमाका,സ്ഫോടനം
"व्यूह,पुंज ,किनारा,बैंक,तट","അറേ, ബീം, തീരം, ബാങ്ക്, തീരം"
"स्तंभ,शलाका,सिल,सिल्ली,दंड,छड़,पट्टी ,8.भित्ति,9.रेखिका ,10.धार, 1रोधिका,1,बार ,1,रेखा,	1,परीक्षण रेखा","കോളം, ബാർ, കോബ്, ബ്ലോക്ക്, ബാർ, വടി, ബാർ, 8. മതിൽ, 9. ലൈൻ, 10. എഡ്ജ്, 1 ബ്ലോക്ക്, 1, ബാർ, 1, ലൈൻ, 1, ടെസ്റ്റ് ലൈൻ"
बारडीन सिद्धांत,ബാർഡീൻ തത്വം
बार्कहाउज़एन प्रभाव,ബാർഖൗസെൻ പ്രഭാവം
बार्लो चक्र,ബാർലോ സൈക്കിൾ
दंड चुबंक,ബാർ കാന്തം
बार्न,കളപ്പുര
वायुदाब-आलेख,വായു മർദ്ദം ഗ്രാഫ്
"वायुदाबलेखी,बैरोग्राफ","ബാരോഗ്രാഫ്, ബാരോഗ്രാഫ്"
वायुदाबमापी,ബാരോമീറ്റർ
वायुदाबमिति,അന്തരീക്ഷമർദ്ദം
"कर्षमंडल,बैरोमंडल","കോസ്മോസ്, ബാരോമോസ്ഫിയർ"
दंड लोलक,പെൻഡുലം പെൻഡുലം
"रोध,रोधिका ,नाभिकीय रोधिका","തടസ്സം, ആണവ, ആണവ തടസ്സം"
रोधिका स्तर,തടസ്സം നില
बरिऑन,ബാരിയോൺ
गुरुमंडल,ഗുരുമണ്ഡലം
आधार बैंड,അടിസ്ഥാന ബാൻഡ്
"आधारीय,मूल ,क्षारीय","അടിസ്ഥാന, അടിസ്ഥാന, ക്ഷാര"
आधारक,അടിസ്ഥാനം
"गणन,दल रचना","എണ്ണൽ, ടീം രൂപീകരണം"
"कुंड,कुंडिका,ऊष्मक,तापन-पात्र,बाथ","ജലസംഭരണി, ജലസംഭരണി, ഹീറ്റർ, ചൂടാക്കൽ പാത്രം, കുളി"
बैटरी,ബാറ്ററി
"व्यूह खंड,कक्ष,खाड़ई","അറേ സെഗ്മെന്റ്, ചേമ്പർ, ബേ"
प्रदर्श,പ്രദർശനം
कीबन,കിബാൻ
"मणिका,बीड","മാണിക, ബീഡ്"
"दंड,बीम, किरण पुंज, तुर","ബീം, ബീം, ബീം, ട്രംപ്"
"दिक्मान,दिक्कोण","ഡിക്മാൻ, ഡിക്കൺ"
"डोल ,विस्पंद","ഡോൾ, വിസ്പൻഡ്"
बैकेरल प्रभाव,ബെക്വറൽ പ്രഭാവം
"बेलजार,घंटाकार ढकना",മണി ഭരണി
धौंकनी,തുരുത്തി
घंटाकार,മണി ക്ലോക്ക്
"वेदिका,बेंच","വേദിക, ബെഞ്ച്"
"मोड,	बंक (सं.),मोड़ना (क्रि.)","മോഡ്, ബങ്ക് (എഡി.), ബെൻഡ് (വി.)"
बंकन,ബാങ്കൻ
"मुड़आ,बंकित","വളഞ്ഞു, വളഞ്ഞു"
बर्नूली-समीकरण,ബെർണൂലി-സമവാക്യം
बेसल-फलन,അടിസ്ഥാന-പ്രവർത്തനം
श्रेष्ठतम आसंजन,മികച്ച അഡീഷൻ
बीटा (भ्),ബീറ്റ (ബി)
बीटाट्रॉन,ബീറ്റാട്രോൺ
बेथे निदर्श,bethe മോഡൽ
बिवाट्रॉन,bivatron
B-H वक्र,BH കർവ്
द्विकोणीय,ദ്വികോണാകൃതിയിലുള്ള
"अभिनति,बायस","പക്ഷപാതം, പക്ഷപാതം"
द्वि-अक्षीय,ദ്വി-അക്ഷാംശം
बाइक्रोमेट सेल,ബിക്രോമേറ്റ് സെൽ
अभयावतल,അഭ്യവതാൽ
द्विशंकु ऐन्टेना,ഇരട്ട ആന്റിന
उभयोत्तल,ബൈകോൺവെക്സ്
"द्वि-क्रिस्टल,द्विक क्रिस्टल","ബൈ-ക്രിസ്റ്റൽ, ഡ്യുവൽ-ക്രിസ്റ്റൽ"
द्विदिशी माइक्रोफोन,ദ്വിദിശ മൈക്രോഫോൺ
द्वि-उपादानीय निदर्श,ദ്വിപദ മാതൃക
द्विसूत्री,ഡയീഷ്യസ്
द्विपार्श्विक,ഉഭയകക്ഷി
द्विरैखिक,ബൈലിനയർ
द्वि-अणुक,ദ്വിതന്മാത്ര
"द्वि-चर,द्वि-आधारी,द्वयी","ദ്വി-വേരിയബിൾ, ബൈ-ബേസ്, ഡ്യുവൽ"
"द्वि-आधारी कोड,द्वि-आधारी कूट","ബൈനറി കോഡ്, ബൈനറി കോഡ്"
युग्मतारा,കളി താരം
द्वि-आधारी पद्धति,ബൈനറി രീതി
"द्विकर्णी ,द्विपथी",ദ്വിമുഖം
बंधन,ബോണ്ട്
"द्विनेत्री,बाइनाक्युलर","ബൈനോക്കുലർ, ബൈനോക്കുലർ"
द्विनोड,ബൈനറി
द्विपद बंटन,ദ്വിപദ വിതരണം
"द्विकेन्द्रीय,द्विकेन्द्रकी ,द्विन्यूक्लीय","ദ്വികേന്ദ്രം, ദ്വികേന്ദ്രം, ബൈന്യൂക്ലിയേറ്റഡ്"
जैव-गतिकी,ബയോഡൈനാമിക്സ്
जैव इलेक्ट्रानिकी,ബയോ ഇലക്ട്രോണിക്സ്
जीव-भौतिकीविज्ञ,ജൈവഭൗതികശാസ്ത്രജ്ഞൻ
जीव-भौतिकी,ബയോഫിസിക്സ്
जैविक उपग्रह,ജൈവ ഉപഗ്രഹം
"चलचित्रदर्शी,बायोस्कोप","ഛായാഗ്രാഹകൻ, ബയോസ്കോപ്പ്"
बायो-सावर्ट नियम,ബയോ-സാവാർട്ട് നിയമം
द्विप्रावस्थिक धारा,ബൈഫാസിക് കറന്റ്
द्विध्रुवीय,ദ്വിധ്രുവം
"द्विकप्रिज्म,बाइप्रिज्म","ബിപ്രിസം, ബൈപ്രിസം"
"द्विस्फटिक,बाइक्वार्ट्ज","biquartz, biquartz"
द्विस्थितिक अभिलक्षण,ദ്വിമുഖ സ്വഭാവം
द्विस्थितिक बहुकंपित्र,രണ്ട്-ഘട്ട മൾട്ടിവൈബ്രേറ്റർ
"द्वयंक* (द्विआधारी अंक) ,बरमी ,अणी,टूक","ഡ്വയങ്ക്* (ബൈനറി സംഖ്യ), ബർമീസ്, ആനി, തുക്"
"काला,कृष्ण","കറുപ്പ്, കൃഷ്ണ"
कृष्णिका,കറുത്ത ശരീരം
अदृश्य प्रकाश,അദൃശ്യ വെളിച്ചം
"तिमिरायन,रेडियो तिमिरायन",തിമിരയൻ റേഡിയോ തിമിരയൻ
लोपन स्पंद,എജക്ഷൻ പൾസ്
अंतक बायस,അവസാന പക്ഷപാതം
कृष्ण विकिरण,കറുത്ത വികിരണം
"असंपूर्त,रिक्त","പൂർത്തിയാകാത്ത, ശൂന്യമായ"
समाच्छादन,മൂടുക
लोपन,അസാധുവാക്കൽ
"स्फोटन ,वात्या,झोंका","സ്ഫോടനം, സ്ഫോടനം, ആഘാതം"
"साविका,ब्लीडर ,सावी","സാവിക, ബ്ലീഡർ, സവി"
