Marathi,Bengali
प्रवेश सूचक,অ্যাক্সেস সূচক
प्रवेश की,অ্যাক্সেস কী
"1. प्रवेश मॅट्रिक्स, 2. प्रवेश मॅट्रिक्स","1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স"
प्रवेश मोड,অ্যাক্সেস মোড
प्रवेश विशेषाधिकार,সুযোগ সুবিধা
प्रवेश सुरक्षा,অ্যাক্সেস নিরাপত্তা
"1. ऍक्सेस सर्व्हर, 2. प्रवेश सर्व्हर","1. অ্যাক্সেস সার্ভার, 2. অ্যাক্সেস সার্ভার"
प्रवेश वेळ,প্রবেশাধিকার সময়
पोचपावती,স্বীকৃতি
ध्वनीशास्त्र,ধ্বনিবিদ্যা
"1. संक्षेप, 2. संक्षेप, 3. पासून लहान","1. আদ্যক্ষর, 2. সংক্ষিপ্ত রূপ, 3. থেকে সংক্ষিপ্ত"
क्रिया संदेश,কর্ম বার্তা
सक्रियकरण,সক্রিয়করণ
सक्रिय सर्व्हर पृष्ठ,সক্রিয় সার্ভার পৃষ্ঠা
सक्रिय आवृत्ती,সক্রিয় সংস্করণ
अॅसायक्लिक,অ্যাসাইক্লিক
"1. अॅसायक्लिक आलेख, 2. अॅसायक्लिक आलेख","1. অ্যাসাইক্লিক গ্রাফ, 2. অ্যাসাইক্লিক গ্রাফ"
अडा संगणक भाषा,অ্যাডা কম্পিউটার ল্যাঙ্গুয়েজ
"1. ऑप्टिमायझर, 2. अनुकूलक","1. অপ্টিমাইজার, 2. অপ্টিমাইজার"
बेरीज करण्यासाठी),যোগ করা)
बेरीज फाइल,সমষ্টি ফাইল
"1. अॅडिशन ऑपरेशन, 2. बेरीज ऑपरेशन","1. সংযোজন অপারেশন, 2. যোগফল অপারেশন"
जोडणारा,যোগকারী
जाणून घ्या,জানি
पत्ता बस,ঠিকানা বাস
पत्ता फाइल,ঠিকানা ফাইল
पत्त्याचे स्वरूप,ঠিকানা বিন্যাস
पत्ता जनरेटर,ঠিকানা জেনারেটর
पत्ता ओळ,ঠিকানা লাইন
पत्ता मॅपिंग,ঠিকানা ম্যাপিং
पत्ता सूचक,ঠিকানা নির্দেশক
पत्ता नोंदवही,ঠিকানা রেজিস্টার
पत्ता ब्रेकडाउन,ঠিকানা ভাঙ্গন
पत्ता अनुवाद,ঠিকানা অনুবাদ
"1. पत्ता मेमरी, 2. पत्ता करण्यायोग्य मेमरी","1. ঠিকানাযোগ্য স্মৃতি, 2. ঠিকানাযোগ্য মেমরি"
संबोधित,সম্বোধন
"1. पर्याप्ततेचे निकष, 2. पर्याप्तता निकष","1. পর্যাপ্ততার মানদণ্ড, 2. পর্যাপ্ততার মানদণ্ড"
संलग्नक,সংযুক্তি
"1. व्यवस्थापन, 2. नियंत्रण","1. ব্যবস্থাপনা, 2. নিয়ন্ত্রণ"
"1. व्यवस्थापक, 2. नियंत्रक","1. ম্যানেজার, 2. নিয়ামক"
adobe acrobat,অ্যাডোবি অ্যাক্রোব্যাট
अडोब फोटोशाॅप,অ্যাডোবি ফটোশপ
ABAP (प्रगत व्यवसाय प्रोग्रामिंग),ABAP (অ্যাডভান্সড বিজনেস প্রোগ্রামিং)
"1. प्रगत डेटा, 2. प्रगत डेटा","1. উন্নত তথ্য, 2. উন্নত তথ্য"
प्रगत माहिती प्रणाली,উন্নত তথ্য সিস্টেম
प्रगत तंत्रज्ञान (AT),উন্নত প্রযুক্তি (AT)
क्रिया,কর্ম
एकत्रीकरण,সমষ্টি
एअरबोर्न संगणक प्रणाली,বায়ুবাহিত কম্পিউটার সিস্টেম
aldus page-make,aldus পৃষ্ঠা তৈরি
अलर्ट बॉक्स,সতর্কতা বাক্স
अल्गोल (संगणक भाषा),আলগোল (কম্পিউটার ভাষা)
"1. अल्गोरिदम, 2. अल्गोरिदम","1. অ্যালগরিদম, 2. অ্যালগরিদম"
"1. अल्गोरिदम विश्लेषण, 2. अल्गोरिदम विश्लेषण","1. অ্যালগরিদম বিশ্লেষণ, 2. অ্যালগরিদম বিশ্লেষণ"
अल्गोरिदम कार्यक्षमता,অ্যালগরিদম দক্ষতা
"1. इलियास, 2. टोपणनाव, 3. उर्फ","1. ইলিয়াস, 2। ডাকনাম, ৩. ওরফে"
संरेखन,প্রান্তিককরণ
"1. वाटप, 2. वाटप","1. বরাদ্দ, 2. বরাদ্দ"
"1. वर्णमाला, 2. अक्षर क्रमानुसार","1. বর্ণানুক্রমিক, 2. বর্ণা ক্রমানুসারে"
अल्फान्यूमेरिक,আলফানিউমেরিক
"1. अल्फान्यूमेरिक कीबोर्ड ,2. अल्फान्यूमेरिक कीबोर्ड","1. আলফানিউমেরিক কীবোর্ড, 2. আলফানিউমেরিক কীবোর্ড"
अल्फा-चाचणी (पहिली स्तर चाचणी),আলফা-পরীক্ষা (প্রথম স্তরের পরীক্ষা)
"1. अल्फा आवृत्ती, 2. अल्फा फॉर्म","1. আলফা সংস্করণ, 2। আলফা ফর্ম"
alt की,alt কী
altavista,আলতাভিস্তা
बहुविधता,বহুগুণ
अस्पष्ट व्याकरण,অস্পষ্ট ব্যাকরণ
अमेरिकन नॅशनल स्टँडीज इन्स्टिट्यूट (ANSI),আমেরিকান ন্যাশনাল স্ট্যান্ডিস ইনস্টিটিউট (ANSI)
अमेरिकन स्टँडर्ड कट (ascii),আমেরিকান স্ট্যান্ডার্ড কাট (ascii)
"1. समानार्थी, 2. अॅनालॉग","1. সাদৃশ্যপূর্ণ, 2. এনালগ"
"1. अॅनालॉग संगणक, 2. अॅनालॉग संगणक","1. এনালগ কম্পিউটার, 2. এনালগ কম্পিউটার"
"1. अॅनालॉग उपकरण, 2. अॅनालॉग डिव्हाइस","1. এনালগ ডিভাইস, 2. এনালগ ডিভাইস"
"1. अॅनालॉग मॉडेम, 2. अॅनालॉग मॉडेम","1. এনালগ মডেম, 2. এনালগ মডেম"
अॅनालॉग ते डिजिटल कन्व्हर्टर,এনালগ থেকে ডিজিটাল কনভার্টার
शेवट (डिजिटल/प्लेन लॉजिक &#39;आणि&#39; वापरलेले),শেষ (ডিজিটাল/প্লেন লজিক &#39;এবং&#39; ব্যবহৃত)
एंड सर्किट,শেষ সার্কিট
शेवटचे गेट आणि गेट,শেষ গেট এবং গেট
आणि ऑपरेशन नाही (वगळणे),শেষ নয় অপারেশন (বর্জন)
"1. अॅनिमेशन, 2. कंपन","1. অ্যানিমেশন, 2. কম্পন"
नोंद,বিঃদ্রঃ
विसंगती,অসঙ্গতি
मागील,আগে
आगाऊ पेजिंग,প্রত্যাশিত পেজিং
काउंटर-सिमेट्रिक,কাউন্টার-সিমেট্রিক
अँटीव्हायरल प्रोग्राम,অ্যান্টিভাইরাল প্রোগ্রাম
"1. ऍपलेट, 2. अर्ज","1. অ্যাপলেট, 2। আবেদন"
अनुप्रयोग विकसक,অ্যাপ্লিকেশন ডেভেলপার
अनुप्रयोग प्रोग्रामिंग,অ্যাপ্লিকেশন প্রোগ্রামিং
"1. ऍप्लिकेशन प्रोग्रामिंग इंटरफेस, 2. ऍप्लिकेशन प्रोग्रामिंग इंटरफेस (API)","1. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস, 2. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API)"
अनुप्रयोग सॉफ्टवेअर,অ্যাপ্লিকেশন সফ্টওয়্যার
अनुप्रयोग भाषा,অ্যাপ্লিকেশন ভাষা
अंदाजे तत्त्व,আনুমানিক নীতি
रचना,গঠন
फील्ड हस्तांतरण,ক্ষেত্র স্থানান্তর
"1. पॅरामीटर, स्वतंत्र चल, 2. कोन","1. প্যারামিটার, স্বাধীন পরিবর্তনশীল, 2. কোণ"
"1. अंकगणित आणि तर्कशास्त्र एकक, 2. अंकगणित आणि तर्कशास्त्र एकक","1. পাটিগণিত এবং যুক্তি ইউনিট, 2. পাটিগণিত এবং যুক্তি ইউনিট"
अंकगणित तपासणी,পাটিগণিত পরীক্ষা
अंकगणित स्थिरांक,গাণিতিক ধ্রুবক
अंकगणित डेटा,গাণিতিক তথ্য
अंकगणित सूचना,গাণিতিক নির্দেশ
गणिती आणि तार्किक एकक (ALU),গাণিতিক ও লজিক্যাল ইউনিট (ALU)
ARPA नेट (RPNet),ARPA নেট (RPNet)
रचना,অ্যারে
"1. अॅरे कॅशे, 2. अॅरे गती, 3. अॅरे मेमरी","1. অ্যারে ক্যাশে, 2. অ্যারের গতি, 3. অ্যারে মেমরি"
अॅरे संगणक,অ্যারে কম্পিউটার
अॅरे घटक,অ্যারে উপাদান
अॅरे नाव,অ্যারের নাম
अॅरे प्रोसेसर,অ্যারে প্রসেসর
बाण की,তীর কী
करार,সন্ধি
जंक्शन पॉइंट,সংযোগ বিন্দু
कृत्रिम कॉम्पॅक्शन,কৃত্রিম কম্প্যাকশন
कृत्रिम नियंत्रण,কৃত্রিম নিয়ন্ত্রণ
कृत्रिम भावना,কৃত্রিম অনুভূতি
माउंट,মাউন্ট
चढत्या क्रमवारी,আরোহী সাজানোর
ascii वर्णमाला,ascii বর্ণমালা
ascii नियंत्रण चिन्ह,ascii নিয়ন্ত্রণ প্রতীক
ascii फाइल,ascii ফাইল
ascii फॉन्ट,ascii ফন্ট
ASCII हस्तांतरण,ASCII স্থানান্তর
प्रसर गुणोत्तर,আনুমানিক অনুপাত
"1. एस्पी, 2. एएसपीआय","1. Aspy, 2. এএসপিআই"
ए एस आर कलाड,এ এস আর কালাদ
"1. स्मरण, 2. एकत्र करणे, 3. एकत्र करणे","1. স্মরণ, 2. সমাবেশ, 3. জড় করা"
"1. असेंबलर, 2. स्मरणपत्र","1. অ্যাসেম্বলার, 2. অনুস্মারক"
"1. एकत्र करणे, 2. आठवण","1. সমাবেশ, 2. স্মরণ"
"1. लक्षात ठेवण्याची भाषा, 2. भाषा एकत्र करणे","1. মুখস্থ ভাষা, 2. একত্রিত ভাষা"
निर्धार,সংকল্প
"1. निर्दिष्ट कार्य, 2. वाटप","1. নির্দিষ্ট কাজ, 2. বরাদ্দ"
सहवास,সাহচর্য
सहयोगी पत्ता,সহযোগী ঠিকানা
"1. सहयोगी स्मृती, 2. सहयोगी स्मृती","1. সহযোগী স্মৃতি, 2. সহযোগী স্মৃতি"
तारका (* चिन्ह),তারকাচিহ্ন (* চিহ্ন)
असममित,অপ্রতিসম
"1. असिंक्रोनस, 2. असिंक्रोनस","1. অ্যাসিঙ্ক্রোনাস, 2. অ্যাসিঙ্ক্রোনাস"
असिंक्रोनस डिजिटल सबस्क्राइबर लाइन (ADSL),অ্যাসিঙ্ক্রোনাস ডিজিটাল সাবস্ক্রাইবার লাইন (ADSL)
असिंक्रोनस टाइम डिव्हिजन मल्टीप्लेक्सिंग (ATDM),অ্যাসিঙ্ক্রোনাস টাইম ডিভিশন মাল্টিপ্লেক্সিং (ATDM)
असिंक्रोनस हस्तांतरण,অ্যাসিঙ্ক্রোনাস স্থানান্তর
असिंक्रोनस ट्रान्सफर मोड (ATM),অ্যাসিঙ্ক্রোনাস ট্রান্সফার মোড (এটিএম)
"1. अणू, 2. परमान","1. পরমাণু, 2. পরমণ"
संलग्न दस्तऐवज,সংযুক্ত নথি
"1. संलग्न फाइल/ मिसाइल, 2. संलग्न फाइल","1. সংযুক্ত ফাইল/মিসিল, 2. সংযুক্ত ফাইল"
"1. संलग्नक, 2. संलग्न","1. ঘের, 2. সম্বন্ধযুক্ত"
"1. गुणधर्म, 2. खासियत","1. বৈশিষ্ট্য, 2. বিশেষত্ব"
ऐकण्यायोग्य,শ্রবণযোগ্য
"1. ऑडिट प्रोग्रामिंग, 2. ऑडिट प्रोग्रामिंग","1. অডিট প্রোগ্রামিং, 2. অডিট প্রোগ্রামিং"
खाते सत्यापन,অ্যাকাউন্ট পরীক্ষা
जाहिरात,পদোন্নতি
प्रमाणन प्रोटोकॉल,সার্টিফিকেশন প্রোটোকল
लेखन पद्धत,রচনা পদ্ধতি
"1. प्राधिकरण, 2. अधिकार, 3. न्यायाधिकरण","1. কর্তৃপক্ষ, 2. কর্তৃপক্ষ, 3. ট্রাইব্যুনাল"
स्वयं गोषवारा,স্বয়ংক্রিয় বিমূর্ত
"1. ऑटो बूटिंग, 2. स्वत: बूट","1. অটো বুটিং, 2. স্ব বুট"
ऑटोकॅड (संगणक भाषा),অটোক্যাড (একটি কম্পিউটার ভাষা)
ऑटो लॉग-ऑन,স্বয়ংক্রিয় লগ-অন
स्वयंचलित,স্বয়ংক্রিয়
ऑटोमेटा सिद्धांत,স্বয়ংক্রিয় তত্ত্ব
स्वयंचलित गणना,স্বয়ংক্রিয় গণনা
स्वयंचलित डेटा प्रक्रिया,স্বয়ংক্রিয় তথ্য প্রক্রিয়াকরণ
स्वयंचलित त्रुटी सुधारणा,স্বয়ংক্রিয় ত্রুটি সংশোধন
स्वयं कार्य,স্বয়ংক্রিয় ফাংশন
"1. स्वयंचलित अनुक्रमणिका, 2. स्वयंचलित सूची","1. স্বয়ংক্রিয় সূচীকরণ, 2. স্বয়ংক্রিয় তালিকা"
स्वयं-संग्रह कॉल,স্বয়ংক্রিয় সংগ্রহ কল
"1. स्वयंचलित प्रोग्रामिंग, 2. स्वयंचलित प्रोग्रामिंग","1. স্বয়ংক্রিয় প্রোগ্রামিং, 2. স্বয়ংক্রিয় প্রোগ্রামিং"
"1. स्वयंचलित पुनर्प्राप्ती कार्यक्रम, 2. स्वयंचलित पुनर्प्राप्ती कार्यक्रम","1. স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম, 2. স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম"
स्वयं दिनचर्या,স্বয়ংক্রিয় রুটিন
स्वयंचलित प्रणाली पुनर्प्राप्ती,স্বয়ংক্রিয় সিস্টেম পুনরুদ্ধার
"1. ऑटोमॅटिक टेलर मशिन्स (ATM), 2. स्वत: पैसे काढण्यासाठी बँक एटीएम","1. অটোমেটিক টেলার মেশিন (ATM), 2. নিজে তোলার জন্য ব্যাঙ্ক এটিএম"
ऑटोमेशन,অটোমেশন
"1. ऑटोप्ले , 2. ऑटो चालणे","1. অটোপ্লে, 2. স্বয়ংক্রিয় হাঁটা"
स्वर,কণ্ঠস্বর
सहाय्यक,সহকারী
सहाय्यक मेमरी,অক্জিলিয়ারী মেমরি
सहायक स्टोरेज,অক্জিলিয়ারী স্টোরেজ
उपलब्ध यादी,প্রাপ্তিসাধ্য তালিকা
उपलब्ध वेळ,উপলব্ধ সময়
सरासरी,গড়
AWK (संगणक कमांड),AWK (একটি কম্পিউটার কমান্ড)
नंतर,পরে
पोस्ट प्रोसेसर,পোস্ট প্রসেসর
पोस्टरियर फंक्शन हटवणे,পোস্টেরিয়র ফাংশন মুছে ফেলা
पार्श्वभूमी प्रक्रिया,পটভূমি প্রক্রিয়াকরণ
सहायक स्टोअर्स,আনুষঙ্গিক দোকান
बॅक पॅचिंग,ব্যাক প্যাচিং
"1. पश्चिम, 2. बॅकस्पेस","1. পশ্চিম, 2. ব্যাকস্পেস"
बॅकट्रॅकिंग,ব্যাকট্র্যাকিং
"1. बॅक-अप, 2. प्रतिपूर्ती","1. ব্যাক আপ, 2. প্রতিদান"
"1. पूरक स्मृती, 2. बॅकअप मेमरी","1. পরিপূরক স্মৃতি, 2. ব্যাক আপ মেমরি"
परत त्रुटी सुधारणा,পিছনে ত্রুটি সংশোধন
(उत्पन्न-खर्च) ताळेबंद,(আয়-ব্যয়) ব্যালেন্স শীট
मलमपट्टी,ব্যান্ডেজ
"1. बँड रुंदी, 2. बँडविड्थ/क्षमता","1. ব্যান্ড প্রস্থ, 2. ব্যান্ডউইথ/ক্ষমতা"
बँकरचा अल्गोरिदम,ব্যাংকারের অ্যালগরিদম
"1. बार कोड, 2. बार कोड","1. বার কোড, 2. বার কোড"
बारकोड स्कॅनर,বারকোড স্ক্যানার
बार आलेख,বার গ্রাফ
मूळ पत्ता,ভিত্তি ঠিকানা
बेस बँड,বেস ব্যান্ড
आधार क्रमांक,আধার নম্বর
बेस टेबल,ভিত্তি টেবিল
बेसिक (संगणक भाषा),বেসিক (একটি কম্পিউটার ভাষা)
"1. मूलभूत नियंत्रण, 2. बेस नियंत्रण","1. মৌলিক নিয়ন্ত্রণ, 2. ভিত্তি নিয়ন্ত্রণ"
"1. मूळ गुंतवणूक, 2. मूळ गुंतवणूक","1. মূল বিনিয়োগ, 2. ভিত্তি বিনিয়োগ"
मूलभूत सूचना,মৌলিক নির্দেশ
मूळ समस्या,ভিত্তি সমস্যা
मूलभूत टप्पा,মৌলিক পর্যায়
"1. बॅच, 2. गट, 3. आपत्ती","1. ব্যাচ, 2। গ্রুপ, 3। বিপর্যয়"
"1. बॅच फाइल, 2. बॅच फाइल","1. ব্যাচ ফাইল, 2. ব্যাচ ফাইল"
बॅच स्थिती,ব্যাচ অবস্থা
"1. बॅच प्रोसेसिंग, 2. गट प्रक्रिया","1. ব্যাচ প্রসেসিং, 2. গ্রুপ প্রক্রিয়াকরণ"
"1. बॅच सिस्टम, 2. कॅटपल्ट प्रणाली","1. ব্যাচ সিস্টেম, 2. ক্যাটাপল্ট সিস্টেম"
बॉड,বউড
बॉड दर,বড হার
तुळई तुळई,মরীচি মরীচি
"1. मार्गदर्शक तत्त्वे, 2. बॅच मार्क","1. নির্দেশিকা, 2. ব্যাচ চিহ্ন"
द्विदिश संप्रेषण,দ্বিমুখী যোগাযোগ
थेट दुवा,সরাসরি লিঙ্ক
बायनरी कोड,বাইনারি কোড
बायनरी अंक,বাইনারি সংখ্যা
बायनरी इन्व्हेस्टमेंट आउटपुट सिस्टम (BIOS),বাইনারি ইনভেস্টমেন্ট আউটপুট সিস্টেম (BIOS)
बायनरी संख्या,বাইনারি সংখ্যা
बायनरी ऑपरेटर,বাইনারি অপারেটর
बायनरी संबंध,বাইনারি সম্পর্ক
बायनरी शोध,বাইনারি অনুসন্ধান
बायनरी एक्सप्लोरेशन ट्री (BST),বাইনারি এক্সপ্লোরেশন ট্রি (বিএসটি)
"1. बायनरी ट्रान्सफर ट्री, 2. बायनरी हस्तांतरण","1. বাইনারি ট্রান্সফার ট্রি, 2. বাইনারি স্থানান্তর"
बायनरी झाड,বাইনারি গাছ
"1. द्विध्रुवीय स्मृती, 2. द्विध्रुवीय स्मृती","1. বাইপোলার মেমরি, 2. বাইপোলার মেমরি"
"1. जन्म आणि मृत्यू मॉडेल, 2. जन्म मृत्यू मॉडेल","1. জন্ম ও মৃত্যু মডেল, 2. জন্ম মৃত্যু মডেল"
जन्म मृत्यू प्रक्रिया,জন্ম মৃত্যু প্রক্রিয়া
"1. ड्यूक, 2. बिट","1. ডুয়েক, 2। বিট"
थोडा दोष,বিট দোষ
बिट नकाशा,বিট মানচিত্র
"1. बिट, 2. नकाशा, 3. पिक्सेल (BMP)","1. বিট, 2। মানচিত্র, 3. পিক্সেল (BMP)"
"1. बिट मॅट्रिक्स, 2. बिट टेबल","1. বিট ম্যাট্রিক্স, 2. বিট টেবিল"
बिट नमुना,বিট প্যাটার্ন
बिट स्थिती,বিট অবস্থান
"1. बिट रेट, 2. बिट दर","1. বিট রেট, 2. বিট হার"
डोळ्यावर पट्टी चाचणी,চোখ বেঁধে পরীক্ষা
चमकणे,শিমার
ब्लॉक,ব্লক
"1. ब्लॉक कॅशे, 2. ब्लॉक कॅशे / भाग मेमरी","1. ব্লক ক্যাশে, 2. ব্লক ক্যাশে / খণ্ড মেমরি"
ब्लॉक चौकशी,ব্লক প্রোব
खंड प्रत,ভলিউম কপি
ब्लॉक आकृती,ব্লক ডায়াগ্রাম
"1. ब्लॉक केलेले नेटवर्क, 2. ब्लॉक केलेले नेटवर्क","1. ব্লক করা নেটওয়ার্ক, 2. ব্লক করা নেটওয়ার্ক"
बोर्ड,বোর্ড
पृष्ठ मेमरी,পৃষ্ঠা মেমরি
बुलियन बीजगणित,বুলিয়ান বীজগণিত
बुलियन संबंध,বুলিয়ান সম্পর্ক
बूट विभाजन,বুট পার্টিশন
बूट strapping,বুট strapping
1.बूटस्ट्रॅप लोडर,1. বুটস্ট্র্যাপ লোডার
"1.ब्रिज, 2.ब्रिज","1.ব্রিজ, 2.ব্রিজ"
ब्रॉडबँड नेटवर्क,ব্রডব্যান্ড নেটওয়ার্ক
प्रसारण,সম্প্রচার
रेडिओ प्रसारित करा,রেডিও সম্প্রচার
(नेट) भिन्नता,(নেট) ভিন্নতা
(net) vicar,(net) vicar
बी-ट्रू,বি-ট্রু
"1.बबल मेमरी, 2.बबल मेमरी","1.বুদবুদ মেমরি, 2.বাবল মেমরি"
बबल क्रमवारी,বুদবুদ সাজানোর
"१ बादली, २ बादली","1.বালতি, 2.বালতি"
"1.बंधुत्व व्यवस्था, 2.मोठी व्यवस्था","1. ভ্রাতৃত্ব ব্যবস্থা, 2. বড় সিস্টেম"
प्रभावी बजेट नियंत्रण,বাজেট কার্যকর নিয়ন্ত্রণ
बफर,বাফার
उणीव,ঘাটতি
पुरेसा,যথেষ্ট
"1. अष्ट व्यंक, 2. बिट (आठ बिट)","1. অষ্ট ব্যাঙ্ক, 2. বিট (আট বিট)"
बाइट कोड,বাইট কোড
सी (संगणक भाषा),সি (কম্পিউটার ভাষা)
"१.सी प्लस प्लस, २.सी++ (संगणक भाषा)","1.C প্লাস প্লাস, 2.C++ (কম্পিউটার ভাষা)"
"1.रोख, 2. जलद","1.নগদ, 2. দ্রুত, 3. দ্রুত"
"1.कॅशे बफर, 2.मेमरी बफर","1.ক্যাশ বাফার, 2.মেমরি বাফার"
"1.कॅशे मेमरी, 2.कॅशे मेमरी, 3.फास्ट मेमरी","1.ক্যাশ মেমরি, 2.ক্যাশ মেমরি, 3.ফাস্ট মেমরি"
गणना,গণনা
"1.कॅल्क्युलेटर, 2.कॅल्क्युलेटर","1.ক্যালকুলেটর, 2.ক্যালকুলেটর"
"1.कॅल्क्युलेटर चिप,2. कॅल्क्युलेटर चिप","1.ক্যালকুলেটর চিপ, 2. ক্যালকুলেটর চিপ"
आवाहन करा,আহ্বান করুন
नाव कॉल,নাম কল
संदर्भ कॉल,রেফারেন্স কল
सन्मान कॉल,সম্মান কল
व्हेरिएबल कॉल,পরিবর্তনশীল কল
आवाहन गेट,আমন্ত্রণ গেট
"1. रद्द करा, 2. रद्द करा","1. বাতিল, 2. বাতিল"
रद्द करण्याचे बटण,প্রত্যাহার বোতাম
"1. विहित, 2. विहित","1. নির্ধারিত, 2. ক্যানোনিকাল"
प्रामाणिक फॉर्म,ক্যানোনিকাল ফর্ম
क्षमता,ক্ষমতা
क्षमता यादी,ক্ষমতা তালিকা
"1. क्षमता, 2. धारण","1. সক্ষমতা, 2. ধারণ"
कॅप्स लॉक की,ক্যাপ লক কী
"1.कार्ड, 2. पत्रक","1.কার্ড, 2. শীট"
कार्ड रीडर,কার্ড পাঠক
प्रमुखता,বিশিষ্টতা
वाहक,বাহক
वाहक बँड,ক্যারিয়ার ব্যান্ড
वाहक लोड,ক্যারিয়ার লোড
वाहक सिग्नल,ক্যারিয়ার সংকেত
वाहक लहर,ক্যারিয়ার তরঙ্গ
साध्य केले,অর্জন
स्कोअर मिळवला,স্কোর অর্জিত
ध्वज प्राप्त केला,পতাকা অর্জন
"1.काडतूस डिस्क, 2.काडतूस डिस्क","1.কারটিজ ডিস্ক, 2.কারটিজ ডিস্ক"
"1. धबधबा, 2. धबधबा","1. ক্যাসকেড, 2. ক্যাসকেড"
केस,মামলা
कॅथोड-रे-ट्यूब (सीआरटी),ক্যাথোড-রে-টিউব (সিআরটি)
कॅथोड रे ट्यूब (सीआरटी) कॅथोड रे ट्यूब,ক্যাথোড রে টিউব (CRT) ক্যাথোড রে টিউব
सीडी रोम डिस्क ड्राइव्ह,সিডি রম ডিস্ক ড্রাইভ
सेल,সেল
सेल अॅनिमेशन,সেল অ্যানিমেশন
भ्रमणध्वनी,মোবাইল ফোন
"1. केंद्रीय स्मृती, 2. केंद्रीय स्मृती","1. কেন্দ্রীয় স্মৃতি, 2. কেন্দ্রীয় স্মৃতি"
सेंट्रल प्रोसेसिंग युनिट (CPU),কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট (CPU)
केंद्रीकृत प्रणाली,কেন্দ্রীভূত ব্যবস্থা
प्रमाणित टेप,প্রমাণীকৃত টেপ
साखळी,চেইন
"1.मालिका डेटा, 2.मालिका सामग्री","1.সিরিজ ডেটা, 2.সিরিজ কন্টেন্ট"
साखळी दुवा,চেইন লিঙ্ক
चेनिंग,চেইনিং
"1.चॅनेल, 2.चॅनेल","1.চ্যানেল, 2.চ্যানেল"
"1.चॅनेल व्यस्त टोन, 2.चॅनेल व्यस्त टोन","1.চ্যানেল ব্যস্ত টোন, 2.চ্যানেল ব্যস্ত টোন"
"1.चॅनेल क्षमता, 2.चॅनेल क्षमता","1.চ্যানেল ক্ষমতা, 2.চ্যানেল ক্ষমতা"
"1.चॅनेल कंट्रोलर, 2.चॅनेल कंट्रोलर","1.চ্যানেল কন্ট্রোলার, 2.চ্যানেল কন্ট্রোলার"
"1. चॅनल एरर, 2.चॅनल एरर","1. চ্যানেল ত্রুটি, 2. চ্যানেল ত্রুটি৷"
"1.चॅनेल प्रोग्राम, 2.चॅनेल प्रोग्राम","1.চ্যানেল প্রোগ্রাম, 2.চ্যানেল প্রোগ্রাম"
"1.चॅनेल विश्वसनीयता, 2.चॅनेल विश्वसनीयता","1.চ্যানেল নির্ভরযোগ্যতা, 2.চ্যানেল নির্ভরযোগ্যতা"
"1.चॅनेल सेट, 2.चॅनेल सेट","1.চ্যানেল সেট, 2.চ্যানেল সেট"
