English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
acceptance cost,स्वीकरण लागत,સ્વીકરણ લાગત,स्वीकरण लागत,ਸ੍ਵੀਕਰਣ ਲਾਗਤ,স্বীকরণ লাগত,स्वीकरण लागत,ಸ್ವೀಕರಣ ಲಾಗತ,സ്വീകരണ ലാഗത,ஸ்வீகரண லாகத,స్వీకరణ లాగత,سویکرن لاگت,স্ীকরণ লাগত,ସ୍ବୀକରଣ ଲାଗତ,स्वीकरण लागत
acceptance criteria,स्वीकरण निकष,સ્વીકરણ નિકષ,स्वीकरण निकष,ਸ੍ਵੀਕਰਣ ਨਿਕ਷,স্বীকরণ নিকষ,स्वीकरण निकष,ಸ್ವೀಕರಣ ನಿಕಷ,സ്വീകരണ നികഷ,ஸ்வீகரண நிகஷ,స్వీకరణ నికష,سویکرن نکش,স্ীকরণ নিকষ,ସ୍ବୀକରଣ ନିକଷ,स्वीकरण निकष
acceptance line,स्वीकरण रेखा,સ્વીકરણ રેખા,स्वीकरण रेखा,ਸ੍ਵੀਕਰਣ ਰੇਖਾ,স্বীকরণ রেখা,स्वीकरण रेखा,ಸ್ವೀಕರಣ ರೇಖಾ,സ്വീകരണ രേഖാ,ஸ்வீகரண ரேகா,స్వీకరణ రేఖా,سویکرن ریکھا,স্ীকরণ রখা,ସ୍ବୀକରଣ ରେଖା,स्वीकरण रेखा
acceptance number,स्वीकरण संख्या,સ્વીકરણ સંખ્યા,स्वीकरण संख्या,ਸ੍ਵੀਕਰਣ ਸਂਖ੍ਯਾ,স্বীকরণ সংখ্যা,स्वीकरण संख्या,ಸ್ವೀಕರಣ ಸಂಖ್ಯಾ,സ്വീകരണ സംഖ്യാ,ஸ்வீகரண ஸங்க்யா,స్వీకరణ సంఖ్యా,سویکرن سنکھیا,স্ীকরণ সংখ্যা,ସ୍ବୀକରଣ ସଂଖ୍ଯା,स्वीकरण संख्या
acceptance of defective item,सदोष वस्तु का स्वीकरण,સદોષ વસ્તુ કા સ્વીકરણ,सदोष वस्तु का स्वीकरण,ਸਦੋ਷ ਵਸ੍ਤੁ ਕਾ ਸ੍ਵੀਕਰਣ,সদোষ বস্তু কা স্বীকরণ,सदोष वस्तु का स्वीकरण,ಸದೋಷ ವಸ್ತು ಕಾ ಸ್ವೀಕರಣ,സദോഷ വസ്തു കാ സ്വീകരണ,ஸதோஷ வஸ்து கா ஸ்வீகரண,సదోష వస్తు కా స్వీకరణ,سدوش وستو کا سویکرن,সদষ স্তু কা স্ীকরণ,ସଦୋଷ ବସ୍ତୁ କା ସ୍ବୀକରଣ,सदोष वस्तु का स्वीकरण
acceptance plan,स्वीकरण योजना,સ્વીકરણ યોજના,स्वीकरण योजना,ਸ੍ਵੀਕਰਣ ਯੋਜਨਾ,স্বীকরণ যোজনা,स्वीकरण योजना,ಸ್ವೀಕರಣ ಯೋಜನಾ,സ്വീകരണ യോജനാ,ஸ்வீகரண யோஜநா,స్వీకరణ యోజనా,سویکرن یوجنا,স্ীকরণ যজনা,ସ୍ବୀକରଣ ଯୋଜନା,स्वीकरण योजना
acceptance procedure,स्वीकरण क्रियाविधि,સ્વીકરણ ક્રિયાવિધિ,स्वीकरण क्रियाविधि,ਸ੍ਵੀਕਰਣ ਕ੍ਰਿਯਾਵਿਧਿ,স্বীকরণ ক্রিযাবিধি,स्वीकरण क्रियाविधि,ಸ್ವೀಕರಣ ಕ್ರಿಯಾವಿಧಿ,സ്വീകരണ ക്രിയാവിധി,ஸ்வீகரண க்ரியாவிதி,స్వీకరణ క్రియావిధి,سویکرن کریاودھی,স্ীকরণ ক্রিযািধি,ସ୍ବୀକରଣ କ୍ରିଯାବିଧି,स्वीकरण क्रियाविधि
acceptance rectification type of inspection,स्वीकरण-दोषसुधार प्रकार का निरीक्षण,સ્વીકરણ-દોષસુધાર પ્રકાર કા નિરીક્ષણ,स्वीकरण-दोषसुधार प्रकार का निरीक्षण,ਸ੍ਵੀਕਰਣ-ਦੋ਷ਸੁਧਾਰ ਪ੍ਰਕਾਰ ਕਾ ਨਿਰੀਕ੍਷ਣ,স্বীকরণ-দোষসুধার প্রকার কা নিরীক্ষণ,स्वीकरण-दोषसुधार प्रकार का निरीक्षण,ಸ್ವೀಕರಣ-ದೋಷಸುಧಾರ ಪ್ರಕಾರ ಕಾ ನಿರೀಕ್ಷಣ,സ്വീകരണ-ദോഷസുധാര പ്രകാര കാ നിരീക്ഷണ,ஸ்வீகரண-தோஷஸுதார ப்ரகார கா நிரீக்ஷண,స్వీకరణ-దోషసుధార ప్రకార కా నిరీక్షణ,سویکرن-دوشسدھار پرکار کا نریکشن,স্ীকরণ-দষসুধার প্রকার কা নিরীক্ষণ,ସ୍ବୀକରଣ-ଦୋଷସୁଧାର ପ୍ରକାର କା ନିରୀକ୍ଷଣ,स्वीकरण-दोषसुधार प्रकार का निरीक्षण
acceptance rejection type os inspection,स्वीकरण अस्वीकरण प्रकार का निरीक्षण,સ્વીકરણ અસ્વીકરણ પ્રકાર કા નિરીક્ષણ,स्वीकरण अस्वीकरण प्रकार का निरीक्षण,ਸ੍ਵੀਕਰਣ ਅਸ੍ਵੀਕਰਣ ਪ੍ਰਕਾਰ ਕਾ ਨਿਰੀਕ੍਷ਣ,স্বীকরণ অস্বীকরণ প্রকার কা নিরীক্ষণ,स्वीकरण अस्वीकरण प्रकार का निरीक्षण,ಸ್ವೀಕರಣ ಅಸ್ವೀಕರಣ ಪ್ರಕಾರ ಕಾ ನಿರೀಕ್ಷಣ,സ്വീകരണ അസ്വീകരണ പ്രകാര കാ നിരീക്ഷണ,ஸ்வீகரண அஸ்வீகரண ப்ரகார கா நிரீக்ஷண,స్వీకరణ అస్వీకరణ ప్రకార కా నిరీక్షణ,سویکرن اسویکرن پرکار کا نریکشن,স্ীকরণ অস্ীকরণ প্রকার কা নিরীক্ষণ,ସ୍ବୀକରଣ ଅସ୍ବୀକରଣ ପ୍ରକାର କା ନିରୀକ୍ଷଣ,स्वीकरण अस्वीकरण प्रकार का निरीक्षण
acceptance sampling,स्वीकरण प्रतिचयन,સ્વીકરણ પ્રતિચયન,स्वीकरण प्रतिचयन,ਸ੍ਵੀਕਰਣ ਪ੍ਰਤਿਚਯਨ,স্বীকরণ প্রতিচযন,स्वीकरण प्रतिचयन,ಸ್ವೀಕರಣ ಪ್ರತಿಚಯನ,സ്വീകരണ പ്രതിചയന,ஸ்வீகரண ப்ரதிசயந,స్వీకరణ ప్రతిచయన,سویکرن پرتچین,স্ীকরণ প্রতিচযন,ସ୍ୱୀକୃତ ପ୍ରତିଚୟନ,स्वीकरण प्रतिचयन
acceptance sampling plan,स्वीकरण प्रतिचयन योजना,સ્વીકરણ પ્રતિચયન યોજના,स्वीकरण प्रतिचयन योजना,ਸ੍ਵੀਕਰਣ ਪ੍ਰਤਿਚਯਨ ਯੋਜਨਾ,স্বীকরণ প্রতিচযন যোজনা,स्वीकरण प्रतिचयन योजना,ಸ್ವೀಕರಣ ಪ್ರತಿಚಯನ ಯೋಜನಾ,സ്വീകരണ പ്രതിചയന യോജനാ,ஸ்வீகரண ப்ரதிசயந யோஜநா,స్వీకరణ ప్రతిచయన యోజనా,سویکرن پرتچین یوجنا,স্ীকরণ প্রতিচযন যজনা,ସ୍ବୀକରଣ ପ୍ରତିଚଯନ ଯୋଜନା,स्वीकरण प्रतिचयन योजना
acceptance scheme,स्वीकरण योजना,સ્વીકરણ યોજના,स्वीकरण योजना,ਸ੍ਵੀਕਰਣ ਯੋਜਨਾ,স্বীকরণ যোজনা,स्वीकरण योजना,ಸ್ವೀಕರಣ ಯೋಜನಾ,സ്വീകരണ യോജനാ,ஸ்வீகரண யோஜநா,స్వీకరణ యోజనా,سویکرن یوجنا,স্ীকরণ যজনা,ସ୍ବୀକରଣ ଯୋଜନା,स्वीकरण योजना
acceptance system,स्वीकरण पद्धति,સ્વીકરણ પદ્ધતિ,स्वीकरण पद्धति,ਸ੍ਵੀਕਰਣ ਪਦ੍ਧਤਿ,স্বীকরণ পদ্ধতি,स्वीकरण पद्धति,ಸ್ವೀಕರಣ ಪದ್ಧತಿ,സ്വീകരണ പദ്ധതി,ஸ்வீகரண பத்ததி,స్వీకరణ పద్ధతి,سویکرن پدھتی,স্ীকরণ পদ্ধতি,ସ୍ବୀକରଣ ପଦ୍ଧତି,स्वीकरण पद्धति
accepted material,स्वीकृत सामग्री,સ્વીકૃત સામગ્રી,स्वीकृत सामग्री,ਸ੍ਵੀਕ੃ਤ ਸਾਮਗ੍ਰੀ,স্বীকৃত সামগ্রী,स्वीकृत सामग्री,ಸ್ವೀಕೃತ ಸಾಮಗ್ರೀ,സ്വീകൃത സാമഗ്രീ,ஸ்வீக்ருத ஸாமக்ரீ,స్వీకృత సామగ్రీ,سویکرت سامگری,স্ীকৃত সামগ্রী,ସ୍ବୀକୃତ ସାମଗ୍ରୀ,स्वीकृत सामग्री
access to each item in the lot,प्रचय की प्रत्येक वस्तु का अभिगम,પ્રચય કી પ્રત્યેક વસ્તુ કા અભિગમ,प्रचय की प्रत्येक वस्तु का अभिगम,ਪ੍ਰਚਯ ਕੀ ਪ੍ਰਤ੍ਯੇਕ ਵਸ੍ਤੁ ਕਾ ਅਭਿਗਮ,প্রচয কী প্রত্যেক বস্তু কা অভিগম,प्रचय की प्रत्येक वस्तु का अभिगम,ಪ್ರಚಯ ಕೀ ಪ್ರತ್ಯೇಕ ವಸ್ತು ಕಾ ಅಭಿಗಮ,പ്രചയ കീ പ്രത്യേക വസ്തു കാ അഭിഗമ,ப்ரசய கீ ப்ரத்யேக வஸ்து கா அபிகம,ప్రచయ కీ ప్రత్యేక వస్తు కా అభిగమ,پرچیہ کی پرتیک وستو کا ابھگم,প্রচয কী প্রত্যক স্তু কা অভিগম,ପ୍ରଚଯ କୀ ପ୍ରତ୍ଯେକ ବସ୍ତୁ କା ଅଭିଗମ,प्रचय की प्रत्येक वस्तु का अभिगम
accessibility to items in the lot,प्रचय की वस्तुओं की अभिगम्यता,પ્રચય કી વસ્તુઓં કી અભિગમ્યતા,प्रचय की वस्तुओं की अभिगम्यता,ਪ੍ਰਚਯ ਕੀ ਵਸ੍ਤੁਓਂ ਕੀ ਅਭਿਗਮ੍ਯਤਾ,প্রচয কী বস্তুওং কী অভিগম্যতা,प्रचय की वस्तुओं की अभिगम्यता,ಪ್ರಚಯ ಕೀ ವಸ್ತುಓಂ ಕೀ ಅಭಿಗಮ್ಯತಾ,പ്രചയ കീ വസ്തുഓം കീ അഭിഗമ്യതാ,ப்ரசய கீ வஸ்துஓங் கீ அபிகம்யதா,ప్రచయ కీ వస్తుఓం కీ అభిగమ్యతా,پرچیہ کی وستوؤں کی ابھگمیتا,প্রচয কী স্তুং কী অভিগম্যতা,ପ୍ରଚଯ କୀ ବସ୍ତୁଓଂ କୀ ଅଭିଗମ୍ଯତା,प्रचय की वस्तुओं की अभिगम्यता
accumulated evidence,संचित प्रमाण,સંચિત પ્રમાણ,संचित प्रमाण,ਸਂਚਿਤ ਪ੍ਰਮਾਣ,সংচিত প্রমাণ,संचित प्रमाण,ಸಂಚಿತ ಪ್ರಮಾಣ,സംചിത പ്രമാണ,ஸங்சித ப்ரமாண,సంచిత ప్రమాణ,سنچت پرمان,সংচিত প্রমাণ,ସଂଚିତ ପ୍ରମାଣ,संचित प्रमाण
accumulation of lots,प्रचय-संचयन,પ્રચય-સંચયન,प्रचय-संचयन,ਪ੍ਰਚਯ-ਸਂਚਯਨ,প্রচয-সংচযন,प्रचय-संचयन,ಪ್ರಚಯ-ಸಂಚಯನ,പ്രചയ-സംചയന,ப்ரசய-ஸங்சயந,ప్రచయ-సంచయన,پرچیہ-سنچین,প্রচয-সংচযন,ପ୍ରଚଯ-ସଂଚଯନ,प्रचय-संचयन
accuracy of estimate,आकल-यथार्थता,આકલ-યથાર્થતા,आकल-यथार्थता,ਆਕਲ-ਯਥਾਰ੍ਥਤਾ,আকল-যথার্থতা,आकल-यथार्थता,ಆಕಲ-ಯಥಾರ್ಥತಾ,ആകല-യഥാര്ഥതാ,ஆகல-யதார்ததா,ఆకల-యథార్థతా,آکل-یتھارتھتا,আকল-যথার্থতা,ଆକଲ-ଯଥାର୍ଥତା,आकल-यथार्थता
accuracy of inference,अनुमिति यथार्थता,અનુમિતિ યથાર્થતા,अनुमिति यथार्थता,ਅਨੁਮਿਤਿ ਯਥਾਰ੍ਥਤਾ,অনুমিতি যথার্থতা,अनुमिति यथार्थता,ಅನುಮಿತಿ ಯಥಾರ್ಥತಾ,അനുമിതി യഥാര്ഥതാ,அநுமிதி யதார்ததா,అనుమితి యథార్థతా,انومتی یتھارتھتا,অনুমিতি যথার্থতা,ଅନୁମିତି ଯଥାର୍ଥତା,अनुमिति यथार्थता
accuracy of mean,माध्य यथार्थता,માધ્ય યથાર્થતા,माध्य यथार्थता,ਮਾਧ੍ਯ ਯਥਾਰ੍ਥਤਾ,মাধ্য যথার্থতা,माध्य यथार्थता,ಮಾಧ್ಯ ಯಥಾರ್ಥತಾ,മാധ്യ യഥാര്ഥതാ,மாத்ய யதார்ததா,మాధ్య యథార్థతా,مادھیہ یتھارتھتا,মাধ্য যথার্থতা,ମାଧ୍ଯ ଯଥାର୍ଥତା,माध्य यथार्थता
accuracy of measurement,माप यथार्थता,માપ યથાર્થતા,माप यथार्थता,ਮਾਪ ਯਥਾਰ੍ਥਤਾ,মাপ যথার্থতা,माप यथार्थता,ಮಾಪ ಯಥಾರ್ಥತಾ,മാപ യഥാര്ഥതാ,மாப யதார்ததா,మాప యథార్థతా,ماپ یتھارتھتا,মাপ যথার্থতা,ମାପ ଯଥାର୍ଥତା,माप यथार्थता
accuracy of method,विधि यथार्थता,વિધિ યથાર્થતા,विधि यथार्थता,ਵਿਧਿ ਯਥਾਰ੍ਥਤਾ,বিধি যথার্থতা,विधि यथार्थता,ವಿಧಿ ಯಥಾರ್ಥತಾ,വിധി യഥാര്ഥതാ,விதி யதார்ததா,విధి యథార్థతా,ودھی یتھارتھتا,িধি যথার্থতা,ବିଧି ଯଥାର୍ଥତା,विधि यथार्थता
actual frequency,वास्तविक बारंबारता,વાસ્તવિક બારંબારતા,वास्तविक बारंबारता,ਵਾਸ੍ਤਵਿਕ ਬਾਰਂਬਾਰਤਾ,বাস্তবিক বারংবারতা,वास्तविक बारंबारता,ವಾಸ್ತವಿಕ ಬಾರಂಬಾರತಾ,വാസ്തവിക ബാരംബാരതാ,வாஸ்தவிக பாரங்பாரதா,వాస్తవిక బారంబారతా,واقعی تواتر,াস্তিক বারংবারতা,ବାସ୍ତବିକ ବାରଂବାରତା,वास्तविक बारंबारता
actual measurement,वास्तविक माप,વાસ્તવિક માપ,वास्तविक माप,ਵਾਸ੍ਤਵਿਕ ਮਾਪ,বাস্তবিক মাপ,वास्तविक माप,ವಾಸ್ತವಿಕ ಮಾಪ,വാസ്തവിക മാപ,வாஸ்தவிக மாப,వాస్తవిక మాప,واستوک ماپ,াস্তিক মাপ,ବାସ୍ତବିକ ମାପ,वास्तविक माप
actual subgroup size,वास्तविक उपसममूह आमाप,વાસ્તવિક ઉપસમમૂહ આમાપ,वास्तविक उपसममूह आमाप,ਵਾਸ੍ਤਵਿਕ ਉਪਸਮਮੂਹ ਆਮਾਪ,বাস্তবিক উপসমমূহ আমাপ,वास्तविक उपसममूह आमाप,ವಾಸ್ತವಿಕ ಉಪಸಮಮೂಹ ಆಮಾಪ,വാസ്തവിക ഉപസമമൂഹ ആമാപ,வாஸ்தவிக உபஸமமூஹ ஆமாப,వాస్తవిక ఉపసమమూహ ఆమాప,واستوک اپسمموہ آماپ,াস্তিক উপসমমূহ আমাপ,ବାସ୍ତବିକ ଉପସମମୂହ ଆମାପ,वास्तविक उपसममूह आमाप
addition theorem,योग प्रमेय,યોગ પ્રમેય,योग प्रमेय,ਯੋਗ ਪ੍ਰਮੇਯ,যোগ প্রমেয,योग प्रमेय,ಯೋಗ ಪ್ರಮೇಯ,യോഗ പ്രമേയ,யோக ப்ரமேய,యోగ ప్రమేయ,یوگ پرمے,যগ প্রময,ଯୋଗ ପ୍ରମେଯ,योग प्रमेय
additive nature of sum of squares,वर्गों के जोड़ की योज्य प्रकृति,વર્ગોં કે જોડ઼ કી યોજ્ય પ્રકૃતિ,वर्गों के जोड़ की योज्य प्रकृति,ਵਰ੍ਗੋਂ ਕੇ ਜੋਡ਼ ਕੀ ਯੋਜ੍ਯ ਪ੍ਰਕ੃ਤਿ,বর্গোং কে জোড় কী যোজ্য প্রকৃতি,वर्गों के जोड़ की योज्य प्रकृति,ವರ್ಗೋಂ ಕೇ ಜೋಡ಼ ಕೀ ಯೋಜ್ಯ ಪ್ರಕೃತಿ,വര്ഗോം കേ ജോഡ കീ യോജ്യ പ്രകൃതി,வர்கோங் கே ஜோட கீ யோஜ்ய ப்ரக்ருதி,వర్గోం కే జోడ కీ యోజ్య ప్రకృతి,ورگوں کے جوڑ کی یوجیہ پرکرتی,র্গং ক জড় কী যজ্য প্রকৃতি,ବର୍ଗୋଂ କେ ଜୋଡ଼ କୀ ଯୋଜ୍ଯ ପ୍ରକୃତି,वर्गों के जोड़ की योज्य प्रकृति
adequacy of sample size,प्रतिदर्श आमाप की पर्याप्तता,પ્રતિદર્શ આમાપ કી પર્યાપ્તતા,प्रतिदर्श आमाप की पर्याप्तता,ਪ੍ਰਤਿਦਰ੍ਸ਼ ਆਮਾਪ ਕੀ ਪਰ੍ਯਾਪ੍ਤਤਾ,প্রতিদর্শ আমাপ কী পর্যাপ্ততা,प्रतिदर्श आमाप की पर्याप्तता,ಪ್ರತಿದರ್ಶ ಆಮಾಪ ಕೀ ಪರ್ಯಾಪ್ತತಾ,പ്രതിദര്ശ ആമാപ കീ പര്യാപ്തതാ,ப்ரதிதர்ச ஆமாப கீ பர்யாப்ததா,ప్రతిదర్శ ఆమాప కీ పర్యాప్తతా,پرتدرش آماپ کی پریاپتتا,প্রতিদর্শ আমাপ কী পর্যাপ্ততা,ପ୍ରତିଦର୍ଶ ଆମାପ କୀ ପର୍ଯାପ୍ତତା,प्रतिदर्श आमाप की पर्याप्तता
adequate,पर्याप्त,"પૂરતૂં, પર્યાપ્ત,","पर्याप्‍त, पुरेसा, समुचित, योग्य",ਕਾਫੀ. ਲੋੜ ਅਨੁਸਾਰ,"পর্যাপ্ত,যথেষ্ট","फावोशें,पावतितल्या प्रमाणात,पर्याप्‍त","ಪರ್ಯಾಪ್ತ, ಸಾಕಷ್ಟು","മതിയായ, തക്കതായ, പര്യാപ്തമായ","போதிய, ஏற்ற","సమృద్ధి,చాలినంత,తగినంత",کافی ،اطمینان بخش,পর্যাপ্ত,"ପର୍ଯ୍ୟାପ୍ତ, ସମୁଚିତ","पर्याप्‍त, मनग्गे"
adjacent,संलग्न,"નિકટતમ, સં-લગ્ન, બાજુનું",लगतचा,"ਲਾਗਲਾ, ਨਜਦੀਕੀ, ਸਮੀਪ ਵਰਤੀ, ਨੇੜਲਾ","পার্শ্ববর্তী,সন্নিহিত","लागीचो,कुशिचो,समीपवर्ती","ಪಾರ್ಶ್ವದ, ಪಕ್ಕದ",തൊട്ടടുത്ത,"அருகிலுள்ள, அண்மையிலுள்ள, பக்கத்திலுள்ள, அடுத்துள்ள","సమీప,అంటిఉన్న,పక్కనున్న",متصل,"সন্নিহিত,নিকটৱর্তী,সমীপৱর্তী","ସମିପସ୍ଥ, ସନ୍ନିକଟ, ସନ୍ନିହିତ","‍नजिकको, समीपवर्ती, निकटवर्ती"
adjoining class,संलग्न वर्ग,સંલગ્ન વર્ગ,संलग्न वर्ग,ਸਂਲਗ੍ਨ ਵਰ੍ਗ,সংলগ্ন বর্গ,संलग्न वर्ग,ಸಂಲಗ್ನ ವರ್ಗ,സംലഗ്ന വര്ഗ,ஸங்லக்ந வர்க,సంలగ్న వర్గ,سنلگن ورگ,সংলগ্ন র্গ,ସଂଲଗ୍ନ ବର୍ଗ,संलग्न वर्ग
adjoining column,संलग्न स्तंभ,સંલગ્ન સ્તંભ,संलग्न स्तंभ,ਸਂਲਗ੍ਨ ਸ੍ਤਂਭ,সংলগ্ন স্তংভ,संलग्न स्तंभ,ಸಂಲಗ್ನ ಸ್ತಂಭ,സംലഗ്ന സ്തംഭ,ஸங்லக்ந ஸ்தங்ப,సంలగ్న స్తంభ,سنلگن ستمبھ,সংলগ্ন স্তংভ,ସଂଲଗ୍ନ ସ୍ତଂଭ,संलग्न स्तंभ
adjustment,"समंजन, समायोजन",સંયોજન,"समायोजन, अनुयोजन","ਸਮਾਯੋਜਨ, ਅਨੁਕੂਲਤਾ",সমন্বয়ন,जुळोवणी,"ಹೊಂದಾಣಿಕೆ,ಸಮಾಯೋಜನೆ",നീക്കുപോക്ക്,"சரிப்படுத்தல், சரிக்கட்டல்",సర్దుబాటు,دُرستی,"সমাযোজন, উপযোজন",ସମାଯୋଜନ,समायोजन
administrative cost,प्रशासनिक लागत,પ્રશાસનિક લાગત,प्रशासनिक लागत,ਪ੍ਰਸ਼ਾਸਨਿਕ ਲਾਗਤ,প্রশাসনিক লাগত,प्रशासनिक लागत,ಪ್ರಶಾಸನಿಕ ಲಾಗತ,പ്രശാസനിക ലാഗത,ப்ரசாஸநிக லாகத,ప్రశాసనిక లాగత,پرشاسنک لاگت,প্রশাসনিক লাগত,ପ୍ରଶାସନିକ ଲାଗତ,प्रशासनिक लागत
