Telugu,Odiya
అమ్రి నల్ గ్రూప్ (కుండల),ଅମ୍ରି ନାଲ୍ ଗୋଷ୍ଠୀ (କୁମ୍ଭାରର)
అనాక్రోనిజం,ଆନାକ୍ରୋନିଜିମ୍ |
అనాక్రోనిస్టిక్,ଆନାକ୍ରୋନିଷ୍ଟିକ୍ |
పూర్వీకుడు,ପୂର୍ବପୁରୁଷ
పూర్వీకుల ఆరాధన,ପୂର୍ବପୁରୁଷ ପୂଜା |
పూర్వీకులు,ପିତୃପୁରୁଷ
పూర్వీకులు,ପିତୃପୁରୁଷ
పూర్వీకులు,ପିତୃପୁରୁଷ
పూర్వీకులు,ପିତୃପୁରୁଷ
ప్రాచీన పాలన,ପ୍ରାଚୀନ ଶାସନ
ప్రాచీన,ପ୍ରାଚୀନ
పురాతన బల్లాడ్,ପ୍ରାଚୀନ ବାଲାଡ୍ |
పురాతన నమ్మకం,ପ୍ରାଚୀନ ବିଶ୍ୱାସ
ప్రాచీన ఆచారం,ପ୍ରାଚୀନ ପ୍ରଥା
పురాతన చరిత్ర,ପ୍ରାଚୀନ ଇତିହାସ
పురాతన స్మారక చిహ్నాలు,ପ୍ରାଚୀନ ସ୍ମାରକୀ
ఉదంతము,ଉପନ୍ୟାସ
ఏంజెలోట్,ଆଞ୍ଜେଲଟ୍ |
ఏంజెలస్,ଆଞ୍ଜେଲସ୍ |
అంజివిన్ (=అంజెవిన్),ଆଞ୍ଜେଭିନ୍ (= ଆଞ୍ଜେଭିନ୍)
కోణాలు,କୋଣ
ఆంగ్లికన్,ଅଙ୍ଗଲିକାନ୍ |
ఆంగ్లికన్ కమ్యూనియన్,ଅଙ୍ଗଲିକାନ୍ ଯୋଗାଯୋଗ |
ఆంగ్లికనిజం,ଅଙ୍ଗଲିକାନିଜିମ୍ |
ఆంగ్లో-ఫోబ్,ଆଙ୍ଗ୍ଲୋ-ଫୋବେ |
ఆంగ్లో-ఫోబియా,ଆଙ୍ଗ୍ଲୋ-ଫୋବିୟା |
ఆంగ్లో-సాక్సన్,ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସନ୍ |
ఆంగ్లో-సాక్సోనిజం,ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସୋନିଜିମ୍ |
అన్నలిస్ట్,ଆନ୍ନାଲିଷ୍ଟ |
అన్నల్స్,ବାର୍ଷିକ
అనుబంధం,ସଂଲଗ୍ନ
యాంటీ-బెల్లం,ଆଣ୍ଟେ-ବେଲମ୍ |
ముందు తేదీ,ଆଣ୍ଟେ ତାରିଖ |
మత వ్యతిరేకత,ଧର୍ମ-ବିରୋଧୀ
మతాధికారుల వ్యతిరేక చట్టం,ଧର୍ମ-ବିରୋଧୀ ନିୟମ
ప్రాచీనకాలం,ପ୍ରାଚୀନତା
వ్యతిరేక అద్దె,ଆଣ୍ଟି-ଭଡା
వ్యతిరేక అద్దె,ଆଣ୍ଟି-ଭଡା
సెమిటిజం వ్యతిరేకత,ବିରୋଧୀ ଦଳ
అంజాక్,ଅଞ୍ଜାକ |
అపెల్లా,ଆପେଲା |
అరలు,ଅରୁଲୁ |
ఆర్చ్ బిషప్,ଆର୍ ବିଶପ୍ |
ఆర్చ్ డచీ,ଆର୍ ଡୁଚି |
ఆర్చ్ డ్యూక్,ଆର୍ ଡ୍ୟୁକ୍ |
ఆర్కైఫ్ (=ఆర్కైవల్ సేకరణ),ଆର୍କିଫ୍ (= ଅଭିଲେଖାଗାର ସଂଗ୍ରହ)
ఆర్కిపిస్కోపేట్,ଆର୍କିପିସ୍କୋପେଟ୍ |
దొర,ଆଭିମୁଖ୍ୟ
దొర,ଆରିଷ୍ଟୋକ୍ରାଟ୍ |
కులీన స్నోబరీ,ଆରିଷ୍ଟୋକ୍ରାଟ୍ ସ୍ନୋବେରୀ |
అరిస్టాటిలియన్,ଆରିଷ୍ଟୋଟେଲିଆନ୍ |
ఆర్మడ,ଆର୍ମଡା |
ఆర్మడ (=ది స్పానిష్ ఆర్మడ),ଆର୍ମଡା (= ସ୍ପାନିସ୍ ଆର୍ମଡା)
ఆయుధాగాడు (=ఆయుధాకారుడు),ବାହୁବଳୀ (= ବାହୁବଳୀ)
కవచం (=కవచం),ବାହୁବଳୀ (= ବାହୁବଳୀ)
ఆయుధాగాడు,ବାହୁବଳୀ |
ఆర్యన్,ଆର୍ଯ୍ୟନ୍
ఆర్యన్,ଆର୍ଯ୍ୟନ୍
అస్కారి,ଆସ୍କାରି |
కేటాయించండి,ନ୍ୟସ୍ତ କରନ୍ତୁ |
అసైజ్ చేయండి,Assize
అసైజ్ చేయండి,Assize
అసైజ్ చేయండి,Assize
అసైజ్ ఆఫ్ ఆర్మ్స్ యాక్ట్,ଆର୍ମସ୍ ଆକ୍ଟର ଆସାଇଜ୍ |
డారీన్ ప్రెజెంట్‌మెంట్ అసైజ్,ଡାରେନ୍ ପ୍ରେଜେଣ୍ଟେସନ୍ ର ଆସାଇଜ୍ |
మోర్ట్ &#39;D&#39; పూర్వీకుల అస్సైజ్,ମର୍ଟ &#39;ଡି&#39; ପୂର୍ବପୁରୁଷଙ୍କ ଅନୁଧ୍ୟାନ |
అసైజ్ ఆఫ్ నవల డిస్సీసిన్,ନୋଭେଲ୍ ଡିସାଇସିନ୍ ର ଆସାଇଜ୍ |
దారుణం,ଅତ୍ୟାଚାର
దాడి,ଆକ୍ରମଣ
ఆలిక్ కౌన్సిల్,ଆୟୁଲିକ୍ ପରିଷଦ |
గెడ్డెస్ యొక్క గొడ్డలి (=ది గెడెస్ గొడ్డలి),ଗେଡିର କୁରା (ି (= ଗେଡି କୁରା) ି)
యాక్సిస్ (=ది రోమ్-బెర్లిన్-టోక్యో యాక్సిస్),ଆକ୍ସିସ୍ (= ରୋମ୍-ବର୍ଲିନ୍-ଟୋକିଓ ଆକ୍ସିସ୍)
బాబిలోన్,ବାବିଲ
బాబిలోనియన్ బందిఖానా (=బాబిలోనియన్ బందిఖానా),ବାବିଲର ବନ୍ଦୀତା (= ବାବିଲୋନ ବନ୍ଦୀ)
బచ్చనాల్ భక్తుడు,ବ୍ୟାଚାନାଲ ଭକ୍ତ
బచ్చనాలియా,ବ୍ୟାଚାନାଲିଆ |
బ్రహ్మచారి,ଅବିବାହିତ
బాగ్దాద్ ఒప్పందం,ବାଗଦାଦ ଚୁକ୍ତି |
బాల్కన్ లీగ్,ବାଲକାନ୍ ଲିଗ୍ |
బాల్కన్ ఒప్పందం,ବାଲକାନ୍ ଚୁକ୍ତି |
బాల్కన్ యుద్ధాలు,ବାଲକାନ ଯୁଦ୍ଧ |
బాల్టిక్ ఒప్పందం,ବାଲ୍ଟିକ୍ ଚୁକ୍ତି |
బందిపోటు,ବୃନ୍ଦାବନ
బాండుంగ్ కాన్ఫరెన్స్,ବୃନ୍ଦାବନ ସମ୍ମିଳନୀ |
బహిష్కరణ,ବହିଷ୍କାର |
బ్యానర్,ବ୍ୟାନର |
బార్బేరియన్,ବର୍ବର
బార్బికన్,ବାର୍ବିକାନ୍ |
బార్డోలీ సత్యాగ్రహం,ବାର୍ଡୋଲି ସତ୍ୟଗ୍ରାହ |
బార్న్ బర్నర్స్,ବାର୍ ବର୍ନର୍ସ |
బారన్,ବରୁଣ |
బారోనేజ్,ବରୁଣ
బారోన్స్ మేజర్లు,ବାରୋନସ୍ ମେଜୋରସ୍ |
బారోన్స్ మైనర్లు,ବାରୋନସ୍ ମାଇନୋରସ୍ |
బారోనెస్,ବରୁଣେସ୍ |
బారోనెట్,ବରୁଣେଟ୍ |
బారోనెటేజ్,ବରୁଣେଟେଜ୍ |
బారోనెటేజ్,ବରୁଣେଟେଜ୍ |
బారోనెట్సీ,ବାରୋନେଟସି |
బారోనీ,ବାରୋନି |
బారకూన్,ବାରାକୁନ୍ |
బారకూన్,ବାରାକୁନ୍ |
బారికేడ్ (=బారికాడో),ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ)
బారికేడ్ (=బారికాడో),ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ)
బారికేడ్ (=బారికాడో),ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ)
మూల శిబిరం,ବେସ୍ କ୍ୟାମ୍ପ୍ |
బసిలికా,ବେସିଲିକା |
బసిలికా,ବେସିଲିକା |
బస్తీలా,ବସ୍ତିଲା |
బాస్టిల్,ବସ୍ତିଲ୍ |
బాస్టిల్,ବସ୍ତିଲ୍ |
బ్యాటరీ,ବ୍ୟାଟେରୀ
యుద్ధం,ଯୁଦ୍ଧ
బాటిల్-అరే,ବଟଲ୍-ଆରେ |
యుద్ధానికి వెళ్ళే సైనికులు చేసే నినాదాలు,ଯୁଦ୍ଧ କାନ୍ଦ |
బాటిల్ డిన్,ଯୁଦ୍ଧ ଡିନ |
యుద్ధ క్షేత్రం,ଯୁଦ୍ଧ କ୍ଷେତ୍ର |
యుద్ధ శ్లోకం,ଯୁଦ୍ଧ ଭଜନ
స్పర్స్ యుద్ధం,ସ୍ପର୍ସର ଯୁଦ୍ଧ |
స్టాండర్డ్ యుద్ధం,ମାନାଙ୍କ ଯୁଦ୍ଧ |
యుద్ధనౌక,ଯୁଦ୍ଧ ଜାହାଜ |
యుద్ధనౌక-బలం,ଯୁଦ୍ଧ-ଶକ୍ତି |
Bayeux వస్త్రం,ବାୟକ୍ସ ଟେପେଷ୍ଟ୍ରି |
బెకన్,ବିକନ୍ |
బెకన్ టవర్,ବିକନ୍ ଟାୱାର୍ |
బీవర్,ବିଭର୍ |
బీవర్,ବିଭର୍ |
సముద్రపు బిచ్చగాళ్ళు,ସମୁଦ୍ରର ଭିକାରୀ |
బెల్లికోస్,ବେଲିକୋଜ୍ |
బెల్లికోస్,ବେଲିକୋଜ୍ |
బెల్లికోస్,ବେଲିକୋଜ୍ |
బెల్లికోసిటీ,ବେଲିକୋସିଟି |
బెలోనా,ବେଲୋନା |
ప్రయోజనం,ଉପକାର
మతపెద్దల వల్ల ప్రయోజనం,ପାଦ୍ରୀମାନଙ୍କର ଲାଭ
బెనెలక్స్,ବେନେଲକ୍ସ |
బెర్లిన్ డిక్రీ,ବର୍ଲିନ୍ ଆଦେଶ |
బెర్సెర్కర్,ବର୍ସରକର |
బెసెంట్ (=బెజాంట్),ବେସାଣ୍ଟ (= ବେଜାଣ୍ଟ)
బేతేలు,ବ Bethel ଥେଲ୍ |
గ్రంథకర్త,Bibliolater
గ్రంథారాధన,ଗ୍ରନ୍ଥସମୂହ
బిగ్ బెర్తా,ବିଗ୍ ବର୍ଥା |
మతోన్మాదుడు,ବିଗଟ୍ |
బిల్లేటింగ్,ବିଲିଂ
అటెయిండర్ బిల్లు,ଅଟ୍ଟାଇଣ୍ଡରର ବିଲ୍ |
హక్కుల చట్టం,ଅଧିକାର ବିଲ୍ |
జీవిత చరిత్ర రచయిత,ଜୀବନୀ
జన్మ కథలు,ଜନ୍ମ କାହାଣୀ |
తాత్కాలిక శిబిరం,ବିଭିଆକ୍ |
తాత్కాలిక శిబిరం,ବିଭିଆକ୍ |
తాత్కాలిక శిబిరం,ବିଭିଆକ୍ |
బిజోనియా,ବିଜୋନିଆ |
బ్లాక్ బర్డింగ్,କଳା ପକ୍ଷୀ
నల్ల జండా,କଳା ପତାକା
కృష్ణ బిలం,ବ୍ଲାକ୍ ହୋଲ୍ |
కృష్ణ బిలం,ବ୍ଲାକ୍ ହୋଲ୍ |
నల్ల కాలు (=స్కాబ్),କଳା ଗୋଡ (= ସ୍କାବ)
నల్ల చొక్కా,କଳା ସାର୍ଟ |
బ్లజోన్,ବ୍ଲାଜନ୍
బ్లజోన్,ବ୍ଲାଜନ୍
బ్లేజోన్రీ,ବ୍ଲାଜୋନ୍ରି |
బ్లజోన్రీ,ବ୍ଲାଜୋନ୍ରି |
బ్లిట్జ్‌క్రీగ్,ବ୍ଲିଟ୍ସ୍କ୍ରିଗ୍ |
రక్తరహిత విప్లవం (=గ్లోరియస్ రివల్యూషన్),ରକ୍ତହୀନ ବିପ୍ଳବ (= ଗ or ରବମୟ ବିପ୍ଳବ)
బ్లడ్వైట్,ରକ୍ତଚାପ
బ్లడీ మేరీ,ରକ୍ତାକ୍ତ ମରିୟମ |
నీలం,ନୀଳ
నీలం రక్తం,ନୀଳ ରକ୍ତ
నీలి పుస్తకం,ନୀଳ ପୁସ୍ତକ |
నీలం రంగు రిబ్బన్,ନୀଳ ରିବନ୍ |
నీలం రంగు రిబ్బన్,ନୀଳ ରିବନ୍ |
బ్లూస్ (=రాయల్ హార్స్ గార్డ్స్),ବ୍ଲୁଜ୍ (= ରୟାଲ୍ ଘୋଡା ଗାର୍ଡ)
నీలం చొక్కా,ନୀଳ ସାର୍ଟ |
బ్లూ వాటర్ స్కూల్,ନୀଳ ଜଳ ବିଦ୍ୟାଳୟ |
బోర్డ్ ఆఫ్ కంట్రోల్,ନିୟନ୍ତ୍ରଣ ବୋର୍ଡ |
శరీర కవచం,ଶରୀରର ଅସ୍ତ୍ରଶସ୍ତ୍ର |
బోయర్,ବୋଇର୍
దోపిడి,ବୁଟି
బరో,ବୋରୱୋ |
బౌల్యూటేరియన్,ବୁଲୁଟେରିଅନ୍ |
బోర్బన్,ବୋର୍ବନ୍ |
బాక్సర్ తిరుగుబాటు,ବକ୍ସର ବିଦ୍ରୋହ |
బ్రేస్,ବନ୍ଧନୀ
బ్రాస్సార్డ్,ପିତ୍ତଳ |
బ్రాస్సార్డ్,ପିତ୍ତଳ |
బ్రెడ్ కాలనీలు,ରୁଟି କଲୋନୀ |
బ్రెస్ట్ ప్లేట్,ସ୍ତନ ପ୍ଲେଟ୍ |
రొమ్ము పని,ସ୍ତନ କାମ
బ్రెట్వాల్డా,ବ୍ରେଟୱାଲଡା |
బ్రిగాండ్,ବ୍ରିଗାଣ୍ଡ୍ |
బ్రిగేండేజ్,ବ୍ରିଗେଣ୍ଡେଜ୍
బ్రిటిష్ కామన్వెల్త్ ఆఫ్ నేషన్స్,ବ୍ରିଟିଶ୍ କମନୱେଲଥ୍ ଅଫ୍ ନେସନ୍ସ |
బ్రౌన్ షర్ట్స్ (=నాజీలు),ବ୍ରାଉନ୍ ସାର୍ଟ (= ନାଜି)
బ్రస్సెల్స్ ట్రీటీ (పాక్ట్) సంస్థ (=వెస్ట్రన్ యూరోపియన్ యూనియన్),ବ୍ରୁସେଲ୍ସ ଚୁକ୍ତି (ଚୁକ୍ତି) ସଂଗଠନ (= ପଶ୍ଚିମ ୟୁରୋପୀୟ ୟୁନିଅନ୍)
యెదురు,ବଫ୍ |
యెదురు,ବଫ୍ |
బఫ్-కోటు,ବଫ୍-କୋଟ୍ |
బఫ్స్,ବଫସ୍ |
బులే (=మండలి),ବୁଲେ (= ପରିଷଦ)
బర్గేజ్,ବନ୍ଧକ
బర్గెస్,ବରଗଡ |
బైజాంటైన్,ବାଇଜାଣ୍ଟାଇନ
బైజాంటైన్ చర్చి,ବ yz ଜୟନ୍ତ ଚର୍ଚ୍ଚ
బైజాంటైన్ సామ్రాజ్యం,ବ yz ଜୟନ୍ତ ସାମ୍ରାଜ୍ୟ |
బైజాంటైన్ యుగం,ବାଇଜାଣ୍ଟାଇନ ଯୁଗ
బైజాంటైన్ చరిత్రకారులు,ବ yz ଜୟନ୍ତ histor ତିହାସିକମାନେ |
కాబాల్,କ୍ୟାବଲ୍ |
సీజరిజం,କେଜରିଜିମ୍ |
ఖలీఫ్,ଖଲିଫ୍ |
కాలిగ్రాఫర్,କଲିଗ୍ରାଫର୍ |
కాలిగ్రాఫిస్ట్,କଲିଗ୍ରାଫିଷ୍ଟ |
కాలిగ్రఫీ,କାଲିଗ୍ରାଫି |
కాల్ట్రాప్,କାଲ୍ଟ୍ରପ୍ |
సాహచర్యం,କାମାଡେରି |
కమరిల్లా,କାମାରିଲା |
కమరిల్లా,କାମାରିଲା |
కామెలాకమ్,କାମେଲାକମ୍ |
మభ్యపెట్టడం,କାମୁଫ୍ଲେଜ୍ |
ప్రచారం,ଅଭିଯାନ |
క్యాంపు అనుచరుడు,କ୍ୟାମ୍ପ ଅନୁସରଣକାରୀ |
కాంపో శాంటో,କ୍ୟାମ୍ପୋ ସାଣ୍ଟୋ |
క్యాంపస్ మార్టియస్,କ୍ୟାମ୍ପସ୍ ମାର୍ଟିସ୍
కనెఫోరా,କାନେଫୋରା |
కంగు,କଙ୍ଗୁ
ఫిరంగి,କାନନେଡ୍ |
ఫిరంగి మేత,ତୋପ ଖାଇବା |
కానన్,କାନନ୍ |
కానన్ చట్టం,କାନନ୍ ନିୟମ |
కానోపస్ డిక్రీ,କାନୋପସ୍ ଆଦେଶ |
ఆయుధాలు పట్టుకోవడం,ବାହୁବଳୀ
బందీ,ବନ୍ଦୀ
కాప్టర్,କ୍ୟାପ୍ଟର
కార్డినల్,କାର୍ଡିନାଲ୍ |
కార్ల్,କାର୍ଲ |
కరోలింగియన్ రాజవంశం,କାରୋଲିଙ୍ଗିଆନ୍ ରାଜବଂଶ |
కార్తుసియన్ శాఖ,କାର୍ଟୁସିଆନ୍ ସମ୍ପ୍ରଦାୟ |
కార్టోసా,କାର୍ଟୋସା |
కాస్టేలియన్,କାଷ୍ଟେଲିଆନ୍ |
కాస్టేలియన్,କାଷ୍ଟେଲିଆନ୍ |
కుల వ్యవస్థ,ଜାତି ପ୍ରଣାଳୀ |
కోట,ଦୁର୍ଗ
కోట,ଦୁର୍ଗ
కోట పట్టణం,ଦୁର୍ଗ ସହର
కాస్ట్రా,କାଷ୍ଟ୍ରା |
కాస్ట్రా,କାଷ୍ଟ୍ରା |
కేథడ్రా,କ୍ୟାଥେଡ୍ରା |
కేథడ్రల్,କ୍ୟାଥେଡ୍ରାଲ୍ |
కాటో స్ట్రీట్ కుట్ర,କାଟୋ ଷ୍ଟ୍ରିଟ୍ ଷଡଯନ୍ତ୍ର |
కౌడిల్లో,କାଉଡିଲୋ |
కావలీర్,କାଭାଲିଅର୍ |
కావలీర్,କାଭାଲିଅର୍ |
కావలీర్ పార్లమెంట్,କାଭାଲିଅର୍ ସଂସଦ |
అదుల్లాం గుహ,ଅଦୁଲ୍ଲାମର ଗୁମ୍ଫା |
గుహ పెయింటింగ్,ଗୁମ୍ଫା ଚିତ୍ର
గుహ పెయింటింగ్,ଗୁମ୍ଫା ଚିତ୍ର
సెంటంవిర్,Centumvir
సెంచూరియన్,ସେଞ୍ଚୁରିଅନ୍ |
సెంచరీ,ଶତାବ୍ଦୀ
చైన్ ఆర్మర్ (=చైన్ మెయిల్),ଶୃଙ୍ଖଳା ବାହୁବଳୀ (= ଶୃଙ୍ଖଳା ମେଲ୍)
చాంట్రీ,ଚାନ୍ଟ୍ରି |
చాంట్రీ,ଚାନ୍ଟ୍ରି |
చాప్ పుస్తకం,ଅଧ୍ୟାୟ ପୁସ୍ତକ
చాప్లిన్,ଚାପଲେନ୍ |
అధ్యాయం,ଅଧ୍ୟାୟ
ప్రమాదాల అధ్యాయం,ଦୁର୍ଘଟଣାର ଅଧ୍ୟାୟ |
ఆరోపణ,ଚାର୍ଜ
ఛార్జ్ డి&#39;ఎఫైర్స్,ଡିଫେୟାର୍ ଚାର୍ଜ କରନ୍ତୁ |
ఛార్జ్ విడిపోవడం,ଚାର୍ଜ ବିଭାଜନ |
ఛార్జర్,ଚାର୍ଜର
రథము,ରଥ
రథసారధి,ରଥ
రథసారధి,ରଥ
రథసారధి,ରଥ
ఛారిటీ వంటగది,ଚାରିଟି ରୋଷେଇ ଘର |
చార్టర్,ଚାର୍ଟର୍
చార్టిస్ట్ ఉద్యమం (=చార్టిజం),ଚାର୍ଟିଷ୍ଟ ଆନ୍ଦୋଳନ (= ଚାର୍ଟିଜିମ୍)
చార్టోఫిలాసియం,ଚାର୍ଟୋଫିଲାସିୟମ୍ |
చాటౌ,Chateau |
చెక్ పోస్ట్,ପୋଷ୍ଟ ଯାଞ୍ଚ କରନ୍ତୁ |
రసాయన యుద్ధం,ରାସାୟନିକ ଯୁଦ୍ଧ |
చెస్టర్,ଚେଷ୍ଟର୍ |
చీఫ్,ମୁଖ୍ୟ
అధిపతి,ମୁଖିଆ
అధిపతి,ମୁଖିଆ
అధిపతి,ମୁଖିଆ
షిఫాన్,ଚିଫନ୍ |
శూరత్వం,ପ୍ରତିଦ୍ୱନ୍ଦ୍ୱିତା |
ఎంచుకున్న వ్యక్తులు,ମନୋନୀତ ଲୋକ
క్రిస్మోగ్రఫీ,କ୍ରିସମୋଗ୍ରାଫିନ୍ |
క్రైస్తవమత సామ్రాజ్యం,ଖ୍ରୀଷ୍ଟଧର୍ମ
క్రైస్తవ యుగం,ଖ୍ରୀଷ୍ଟିଆନ ଯୁଗ |
క్రిస్టియన్ సోషలిజం,ଖ୍ରୀଷ୍ଟିଆନ ସମାଜବାଦ |
క్రానికల్,ଇତିହାସ
క్రానికల్,କ୍ରୋନିକଲର୍
Chryse Chersonese,କ୍ରିସ୍ ଚେରସୋନିସ୍ |
సిమిలియం,ସିମେଲିୟମ୍ |
సింక్వెసెంటో స్టైల్,ସିନକେସେଣ୍ଟୋ ଷ୍ଟାଇଲ୍ |
ప్రదక్షిణ,ସର୍କୁନାଭିଗେସନ୍ |
సిస్టెర్సియన్ సన్యాసి,ସିଷ୍ଟର୍ସିଆନ୍ ମାଙ୍କଡ |
కోట,ସୀତା
అనులేఖనం,ଉଦ୍ଧୃତ
అనులేఖనం,ଉଦ୍ଧୃତ
శాసన ఉల్లంఘన,ନାଗରିକ ଅବମାନନା |
పౌర యుద్ధం,ଗୃହଯୁଦ୍ଧ |
సివిస్ రోమనస్,ସିଭିସ୍ ରୋମାନସ୍ |
సాంప్రదాయ వయస్సు,ଶାସ୍ତ୍ରୀୟ ବୟସ |
క్లెఫ్ట్ (=క్లెఫ్ట్),କ୍ଲିଫ୍ଟ (= କ୍ଲେଫ୍ଟ)
మతాధికారం,ଧର୍ମ ଧର୍ମ
క్లర్చ్,କ୍ଲାରଚ
క్లినియాక్ ఉద్యమం,କ୍ଲୁନିୟକ୍ ଗତିବିଧି |
కోటు కవచం,କୋଟ ବାହୁ
కోట్ ఆఫ్ ఆర్మ్స్,କୋଟ୍
కోట్ ఆఫ్ ఆర్మ్స్,କୋଟ୍
కోట్ ఆఫ్ ఆర్మ్స్,କୋଟ୍
కోట్ ఆఫ్ మెయిల్,କୋଟ୍ ମେଲ୍ |
కోహోర్ట్,କୋହର୍ଟ |
కమిటియా,Comitia
కమిటియా సెంచురియాటా,Comitia Centuriata
కమిటియా క్యూరియాటా,Comitia Curiata
కమిటియా ట్రిబ్యూటా,Comitia Tributa
స్మారక వంపు,ସ୍ମରଣୀୟ ଆର୍
స్మారక నాణెం,ସ୍ମରଣୀୟ ମୁଦ୍ରା
స్మారక ముద్ర,ସ୍ମରଣୀୟ ସିଲ୍ |
సాధారణ క్షేత్రం,ସାଧାରଣ କ୍ଷେତ୍ର |
కమ్యూనార్డ్,କମ୍ୟୁନାର୍ଡ |
కాంకోర్డాట్,କନକର୍ଡେଟ୍ |
కాంకోర్డాట్,କନକର୍ଡେଟ୍ |
కండోటియర్,କଣ୍ଡୋଟିଅର୍ |
నిర్ధారణ కార్టరమ్,ନିଶ୍ଚିତକରଣ କାର୍ଟାରମ୍ |
సంఘర్షణ,ଦ୍ୱନ୍ଦ୍ୱ |
సభ,ମଣ୍ଡଳୀ
రాష్ట్రాన్ని జయించడం,ରାଜ୍ୟ ଜିତିବା |
విజేత,ଜୟ
విజేత,କନକ୍ୟୁଷ୍ଟାଡର୍ |
కన్సిలియం,କନସିଲିୟମ୍ |
క్రమబద్ధమైన,ସ୍ଥିର
కుట్ర,ଷଡଯନ୍ତ୍ର
కుట్ర,ଷଡଯନ୍ତ୍ର
కాన్సులేట్,କନସୁଲେଟ୍ |
సలహా పుస్తకం,କନସୁଲେସନ୍ ବୁକ୍ |
ఖండాంతర వ్యవస్థ,କଣ୍ଟିନେଣ୍ଟାଲ୍ ସିଷ୍ଟମ୍ |
కన్వెన్షన్ పార్లమెంట్,ସମ୍ମିଳନୀ ସଂସଦ |
