Malayalam,English
തടയണ,Barrage
ബാരറ്റ്,Barrett
അടിസ്ഥാനം,Base
അടിസ്ഥാന കൈമാറ്റം,Base exchange
അടിസ്ഥാന ലൈൻ,Base line 
നിലവറ,Basement
ബേസ്മെൻറ് മതിൽ,Basement wall
അടിസ്ഥാന പ്ലേറ്റ്,Base plate
"അടിസ്ഥാന പ്ലേറ്റ്, ക്രമീകരിക്കാവുന്ന","Base plate, adjustable"
അടിസ്ഥാന സാച്ചുറേഷൻ,Base saturation
ബസോയ്ഡ്,Basoid
ബാറ്റ്,Bat
ബാത്ത് ആൻഡ് ഡബ്ല്യുസി,Bath and W.C.
ബാറ്റർ കുറ്റി,Batter peg
ബാറ്റർ പിയർ,Batter pier
ബാറ്റർ ഭരണം,Batter rule
ബോൾക്ക് (ബാക്ക്),Baulk (balk)
ബേ,Bay
ചുമക്കുന്നയാൾ,Bearer
വഹിക്കാനുള്ള ശേഷി,Bearing capacity
ബെയറിംഗ് പൈൽ,Bearing pile
ബെയറിംഗ് സ്ട്രാറ്റം,Bearing stratum
കിടക്ക,Bed
ബെഡ്ഡിംഗ് വിമാനം,Bedding plane
കിടക്ക ജോയിന്റ്,Bed joint
കിടക്ക പാറ,Bed rock
കിടപ്പുമുറി,Bed room
തേനീച്ചമെഴുകിൽ,Beeswax
മണി പെട്ടി,Bell box
ബെല്ലിംഗ് ബക്കറ്റ്,Belling bucket
ബെല്ലോഫ്രം,Bellofram
ബെഞ്ച് ചെയ്ത അടിത്തറ,Benched foundation
ബെഞ്ചിംഗ്,Benching
ബെഞ്ച് മാർക്ക്,Bench mark
ആനുകൂല്യ ചെലവ് വിശകലനം,Benefit cost analysis
ബെർം,Berm
ബെവൽഡ് ക്ലോഷർ,Bevelled closure
"ബി-ചക്രവാളം,&quot;ബി-","B-horizon,""B-"
ബിയാറ്റ്,Biat
ബൈൻഡർ,Binder
ബൈൻഡിംഗ് മെറ്റീരിയൽ,Binding material
ബയോട്ടിന്റെ സിദ്ധാന്തം,Biot's theory
ബിറ്റുമെൻ,Bitumen
കറുത്ത പരുത്തി മണ്ണ്,Black cotton soil
കറുത്ത ഭൂമി,Black earth 
കറുത്ത ടർഫ് മണ്ണ്,Black turf soil
ബ്ലേഡ്,Blade
ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ് സിമന്റ്,Blast furnace slag cement
ബ്ലോക്കി ഘടന,Blocky structure
ബോഗി പ്രതിരോധം,Bogie resistance
ബോഗ്-ഇരുമ്പ് അയിര്,Bog-iron ore
ബോണ്ട്,Bond
ബന്ധിത അംഗം,Bonded member
ബോണ്ടഡ് പോസ്റ്റ് ടെൻഷനിംഗ്,Bonded post tensioning
ബോണ്ട് കല്ല്,Bond stone
കെട്ടിയ വെള്ളം,Bound water
ബോക്സ് ഗട്ടർ,Box gutter
ബ്രേസ്,Brace
ബ്രിക്ക്-ഓൺ-എഡ്ജ്,Brick-on-edge
കടിഞ്ഞാൺ,Bridle
തെളിച്ചം,Brightness
തവിട്ട് മണ്ണ്,Brown soil
കെട്ടിടം,Building
ബിൽഡിംഗ് സർവേയർ,Building surveyor
ബഫർ,Buffer
ബഫർ കർവ്,Buffer curve
ബഫറിംഗ്,Buffering
ബഫറിംഗ് ശേഷി,Buffering capacity
ബണ്ടർ,Bunder
ബട്രസ്,Buttress
സി-ചക്രവാളം,C-horizon
കേബിൾ,Cable
കേബിൾ മോൾഡിംഗ്,Cable moulding
കേബിളിംഗ്,Cabling
ചെറിയമുറി,Cabin
ക്യാബിൻ ഹുക്ക്,Cabin hook
കാബിനറ്റ്,Cabinet
കാബോൾട്ട് ഉപേക്ഷിച്ചു,Cabolt's quit
കഫറ്റീരിയ,Cafeteria
കൂട്ടിൽ,Cage
കൂട് നിർമ്മാണം,Cage construction
കയീൻ ഫോർമുല,Cain's formula
കൈസൺ,Caisson
കെയ്സൺ രോഗം,Caisson disease
കൈസൺ ഫൗണ്ടേഷൻ,Caisson foundation
കൈസൺ ചിത,Caisson pile
കാൽക്കറിയസ് ഇഷ്ടിക,Calcareous brick
സുഷിരമുള്ള കളിമണ്ണ്,Calcareous clay
സുഷിരമുള്ള പുറംതോട്,Calcareous crust
കാൽസിഫിക്കേഷൻ,Calcification
കാൽസിനേഷൻ,Calcination
കാൽസൈൻ,Calcine 
കാൽസൈറ്റ്,Calcite
കാൽസ്യം-അലുമിനേറ്റ് സിമന്റ്,Calcium-aluminate cement
കാൽസ്യം-സിലിക്കേറ്റ് ഇഷ്ടിക,Calcium-silicate brick
കാൽസ്യം-സിലിക്കേറ്റ് ഹൈഡ്രേറ്റ്,Calcium-silicate hydrate
കാലിച്ചെ,Caliche
കാലിഫോർണിയ ബെയറിംഗ് റേഷ്യോ,California bearing ratio
കാലിപ്പർ,Caliper
കലോറിമീറ്റർ,Calorimeter
കാംബർ,Camber
കനാൽ,Canal
മേലാപ്പ്,Canopy
കാന്റിലിവർ ഫൂട്ടിംഗ്,Cantilever footing
തൊപ്പി,Cap
ശേഷി,Capacity
എയിൽ ട്രാക്കിന്റെ ശേഷി,Capacity of ail track
തൊപ്പി കേബിൾ,Cap cable
കാപ്പിലാരിറ്റി,Capillarity
കാപ്പിലറി ബ്രേക്ക്,Capillary break
കാപ്പിലറി ഒഴുക്ക്,Capillary flow
കാപ്പിലറി ഈർപ്പം അല്ലെങ്കിൽ കാപ്പിലറി വെള്ളം,Capillary moisture or capillary water
കാപ്പിലറി പോർ സ്പേസ്,Capillary pore space
കാപ്പിലറി പൊറോസിറ്റി,Capillary porosity
കാപ്പിലറി സ്പേസ്,Capillary space
ക്യാപ്‌ചർ വേഗത,Capture velocity
കാർബണേഷൻ,Carbonation
കാർബൺ കറുപ്പ്,Carbon black
കാസ്റ്റ്ബിൾ റിഫ്രാക്റ്ററി,Castble refractory
കാസ്റ്റ്-ഇൻ-പ്ലേസ് അല്ലെങ്കിൽ കാസ്റ്റ്-ഇൻ-സിറ്റു,Cast-in-place or cast-in-situ
കാസ്റ്റ്-ഇൻ-പ്ലേസ് പൈൽ,Cast-in-place pile
ജാതി,Castor
എറിയുന്ന കല്ല്,Cast stone
കാറ്റലിസ്റ്റ്,Catalyst
കാറ്റെന,Catena
പൂച്ച മുഖം,Cat face
പൂച്ചയുടെ തല,Cat head
കാറ്റേഷൻ,Cation
പൂച്ച നടത്തം,Cat walk
കാവിറ്റേഷൻ കേടുപാടുകൾ,Cavitation damage
സെലൈറ്റ്,Celite
സെല്ലുലാർ കോൺക്രീറ്റ്,Cellular concrete
സെല്ലുലാർ നിർമ്മാണം,Cellular construction
സിമന്റ്,Cement
"സിമന്റ്, ബിറ്റുമിനസ്","Cement, bituminous"
"സിമന്റ്, ഉയർന്ന ശക്തി","Cement, high strength"
"സിമന്റ്, ഹൈഡ്രോളിക്","Cement, hydraulic"
"സിമന്റ്, കുറഞ്ഞ ചൂട്","Cement, low heat"
"സിമന്റ്, കൊത്തുപണി","Cement, masonary"
"സിമന്റ്, പ്രകൃതി","Cement, natural"
"സിമന്റ്, പോർട്ട്ലാൻഡ്","Cement, portland"
"സിമന്റ്, പോർട്ട്ലാൻഡ് ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ്","Cement, portland blast furnace slag"
"സിമന്റ്, പോർട്ട്ലാൻഡ് പോസോളാൻ","Cement, portland pozzolan"
"സിമന്റ്, സ്ലാഗ്","Cement, slag"
"സിമന്റ്, സൾഫേറ്റ് പ്രതിരോധം","Cement, sulphate resistant"
"സിമന്റ്, സൂപ്പർ സൾഫേറ്റ്","Cement, super sulphated"
"സിമന്റ്, വെള്ള","Cement, white"
സിമന്റ്-അഗ്രഗേറ്റ് അനുപാതം,Cement-aggregate ratio
സിമന്റ് ഉള്ളടക്കം,Cement content
സിമന്റ് ജെൽ,Cement gel
സിമന്റ് തോക്ക്,Cement gun
സിമന്റ് ചൂള,Cement kiln
സിമന്റ് പെയിന്റ്,Cement paint
സിമന്റ് പ്ലാസ്റ്റർ,Cement plaster
സിമന്റ് പാറ,Cement rock
സിമന്റ് സ്ലറി,Cement slurry
സിമന്റ് സംഭരണം,Cement storage
സിമന്റേഷൻ പ്രക്രിയ,Cementation process
കേന്ദ്രീകരിക്കുന്നു,Centering
കേന്ദ്രീകരിക്കലും ഷട്ടറിംഗും,Centering and shuttering
സെൻട്രൽ മിക്സഡ് കോൺക്രീറ്റ്,Central mixed concrete
സെൻട്രൽ മിക്സർ,Central mixer
അപകേന്ദ്ര ഫാൻ,Centrifugal fan
ചോക്ക്,Chalk
ചാംഫർ,Chamfer
ചേംഫർ സ്ട്രിപ്പ്,Chamfer strip
ചാനൽ ബീം,Channel beam
സ്വഭാവസവിശേഷത ലോഡ്,Characteristic load
സ്വഭാവ ശക്തി,Characteristic strength
ചാർജ്ജ് ഓഫ്,Charge off
ചാർജിംഗ്,Charging
പരിശോധിക്കുന്നു,Checking
കെമിക്കൽ ബോണ്ട്,Chemical bond
ചെർനോസെം,Chernozem
ചെസ്റ്റ്നട്ട് മണ്ണ്,Chestnut soil
ചിമ്മിനി ഗട്ടർ,Chimney gutter
ചിപ്പ് ബോർഡ്,Chip board
ചിപ്പിംഗ്,Chipping
ചിപ്സ്,Chips
ചട്ടി,Chute
ക്ലാസ് (കോൺക്രീറ്റ്),Class (of concrete)
കളിമണ്ണ്,Clay
കളിമൺ ഉള്ളടക്കം,Clay content
കളിമൺ പാൻ,Clay pan
പൂർണമായി കാലിയാക്കുക,Cleanout
ക്ലീനപ്പ്,Clean up
ക്ലീറ്റ്,Cleat
ക്ലിങ്കർ,Clinker
ക്ലിപ്പ്,Clip
കട്ടപിടിക്കൽ,Coagulation
നാടൻ മൊത്തത്തിലുള്ളത്,Coarse aggregate
പരുക്കൻ ധാന്യമുള്ള മണ്ണ്,Coarse grained soil
കോട്ട്,Coat
കോഫർ ഡാം,Coffer dam
ഒത്തുചേരൽ,Cohesion
കൊളോയിഡ്,Colloid
കൊളോയ്ഡൽ ഈർപ്പം തുല്യ അനുപാതം,Colloidal moisture equivalent ratio
കൊളോയ്ഡൽ സിസ്റ്റം,Colloidal system
കൊളുവിയൽ മണ്ണ്,Colluvial soil
കോളം,Column
കോമ്പഡ് ഫിനിഷ്,Combed finish
സംയോജിത കാൽപ്പാദം,Combined footing
സംയോജിത വെള്ളം,Combined water
പൊതു മുറി,Common room
പൂർത്തീകരണ സർട്ടിഫിക്കറ്റ്,Completion certificate
ഘടകം ചതുരം,Component square
കോൺക്രീറ്റ്,Concrete
കോൺക്രീഷൻ,Concretion
ഏകീകൃത നിരക്ക്/ഫ്ലാറ്റ് നിരക്ക്,Consolidated rate/flat rate
മലിനീകരണം,Contaminants
ആൽക്കോട്ട് പാചകം ചെയ്യുന്നു,Cooking alcove
നേരിടുകയാണ്,Coping
കോർബെൽ,Corbel
കോർണിസ്,Cornice
കപ്ലർ,Coupler
"കപ്ലർ, ഇരട്ട","Coupler, double"
"കപ്ലർ, പുട്ട്ലോഗ്","Coupler, putlog"
"കപ്ലർ, സ്വിവൽ","Coupler, swivel"
കോഴ്സ്,Course
ക്രമരഹിതമായ അവശിഷ്ടങ്ങൾ കൊത്തുപണികൾ,Coursed random rubble masonry
മൂടിയ പ്രദേശം,Covered area
ഇഴയുക,Creep
ക്രീപ്പ് കോഫിഫിഷ്യന്റ്,Creep coefficient
ക്രോട്ടോവിൻ,Crotovine
കാക്ക കാൽ,Crow foot
നുറുക്കിന്റെ ഘടന,Crumb structure
കർബ്,Curb
നിലവിലുള്ളത്,Current
വക്ര പ്രതിരോധം,Curve resistance
ഈർപ്പം പ്രൂഫ് കോഴ്സ്,Damp proof course
പൂർത്തിയാക്കിയ തീയതി,Date of completion
ഡെഡ് ലോഡ്,Dead load
ചത്ത വെള്ളം,Dead water
ഡെസിബെൽ,Decibel
ഡിഫ്ലോക്കുലേഷൻ,Deflocculation
വായുസഞ്ചാരത്തിന്റെ ഡിഗ്രി അല്ലെങ്കിൽ എയർ സ്പേസ് അനുപാതം,Degree of aeration or air space ratio
അഗ്രഗേഷൻ ബിരുദം,Degree of aggregation
വ്യാപനത്തിന്റെ അളവ്,Degree of dispersion
സാച്ചുറേഷൻ ഡിഗ്രി,Degree of saturation
സാന്ദ്രത,Density
മരുഭൂമിയിലെ നടപ്പാത,Desert pavement
മരുഭൂമിയിലെ മണ്ണ്,Desert soil
വിശദാംശങ്ങൾ,Details
വികസന കാലയളവ്,Development period
ഡി-ചക്രവാളം,D-horizon
ഡയഗണൽ ബോണ്ട്,Diagonal bond
ഡയഗ്രം,Diagram
ഡിജിറ്റൽ ഡോക്ക്,Digital dock
വ്യത്യസ്ത ജലനിരക്ക്,Differential water rate
ഡില്യൂഷൻ വെന്റിലേഷൻ,Dilution ventilation
ഡിലുവിയം,Diluvium
ഡൈനിംഗ് റൂം,Dining room
ദിശ കുറ്റി,Direction peg
വിസരണം,Dispersion
ഡിസ്റ്റെമ്പർ,Distemper
മുറിവാല്,Dock
വാതിൽ,Door
ഡോർമർ,Dormer
ഡോർമർ പരിശോധന,Dormer check
ഇരട്ട ഫ്ലെമിഷ് ബോണ്ട്,Double flemish bond
ഇരട്ട പാളി,Double layer
ഡോവൽ,Dowel
വരക്കാനുള്ള ബോർഡ്,Drawing board
സന്ദര്ശകമുറി,Drawing room
ഡ്രിഫ്റ്റ്,Drift
ഉണങ്ങിയ ബൾബ് താപനില,Dry bulb temperature
ഡ്രൈ ഡോക്ക്,Dry dock
ഉണങ്ങിയ റബ്ബർ കൊത്തുപണി,Dry rubber masonry
ഡച്ച് ബോണ്ട്,Dutch bond
കുള്ളൻ മതിൽ,Dwarf wall
പാർപ്പിട യൂണിറ്റ്,Dwelling unit
ഈവ്,Eave
ഈവ്സ് ഗട്ടർ,Eaves gutter
സാമ്പത്തിക സാധ്യത,Economic feasibility
എക്ടോഡൈനാമോർഫിക് മണ്ണ്,Ectodynamorphic soil
എഡ്ഡി,Eddy
ഫലപ്രദമായ വലിപ്പം,Effective size
പുഷ്പം,Efflorescence
മലിനജലം,Effluent
ഉയരത്തിലുമുള്ള,Elevation
എലുവിയേഷൻ,Eluviation
എലൂവിയം,Eluvium
എൻഡോഡൈനാമോർഫിക് മണ്ണ്,Endodynamorphic soil
എഞ്ചിനീയറിംഗ് സാധ്യത,Engineering feasibility
ഇംഗ്ലീഷ് ബോണ്ട്,English bond
ഇംഗ്ലീഷ് ഗാർഡൻ വാൾ ബോണ്ട്,English garden wall bond
"EPM (ഒരു ദശലക്ഷത്തിന് തുല്യം),&quot;","E.P.M. (equivalent per million),"""
തുല്യ ഭാരം,Equivalent weight
ഉദാ,Erg
കൈമാറ്റം ചെയ്യാവുന്നത്,Exchangeable
കൈമാറ്റം ചെയ്യാവുന്ന അസിഡിറ്റി,Exchangeable acidity
കൈമാറ്റം ചെയ്യാവുന്ന സോഡിയം ശതമാനം (ESP),Exchangeable sodium percentage (ESP)
ഇ.എസ്.പി.,E. S P.
അസിഡിറ്റി കൈമാറ്റം ചെയ്യുക,Exchange acidity
എക്സ്ചേഞ്ച് കോംപ്ലക്സ്,Exchange complex
എക്സോസ്റ്റ്,Exhaust
തുറന്ന ഫിനിഷ്,Exposed finish
കണ്ണ്,Eye
കണ് പുരികം,Eye brow
അഭിമുഖീകരിക്കുന്നു,Facing
ഫേസിംഗ് ബോണ്ട്,Facing bond
സുരക്ഷാ ഘടകം,Factor of safety
വീഴ്ച,Fall
ഫേഷ്യ,Facia
ഫേഷ്യൽ ബോർഡ്,Facia board
തെറ്റ്,Fault
വയലിലെ ഈർപ്പം,Field moisture
അന്തിമ ഈർപ്പം തുല്യമാണ്,Final moisture equivalent
ഫില്ലറ്റ് (മോർട്ടാർ),Fillet (of mortar)
ഫൈനൽ,Finial
അന്തിമ അളവ്,Final measurement
അന്തിമ പേയ്മെന്റ്q,Final paymentq
ഫൈനൽ പ്രീ-സ്ട്രെസ്,Final pre stress
അവസാന പിരിമുറുക്കം,Final tension
സാമ്പത്തിക സാധ്യത,Financial feasibility
ഫൈൻ അഗ്രഗേറ്റ്,Fine aggregate
പിളർന്ന പാറ,Fissured rock
പതാക കല്ല്,Flag stone
ഫ്ലെമിഷ് ബോണ്ട്,Flemish bond
മിന്നുന്നു,Flashing
മിന്നുന്ന പ്രവാഹം,Flashy stream
പരന്ന മേൽക്കൂര,Flat roof
ഫ്ലെഷെ,Fleche
ഫ്ലെമിഷ് ഗാർഡൻ വാൾ ബോണ്ട്,Flemish garden wall bond
ഫ്ലിന്റ്,Flint
ഫ്ലിന്റ് മതിൽ,Flint wall
ഫ്ലോട്ടിംഗ് ഫ്ലോർ,Floating floor
ഫ്ലോക്കുലേഷൻ,Flocculation
ഫ്ലോക്കുലേഷൻ പരിധി,Flocculation limit
ഫ്ലോക്കുലേഷൻ അനുപാതം,Flocculation ratio
ഫ്ലോക്കുളുകൾ,Floccules
തറ,Floor
ഫ്ലോർ സീൽ,Floor seal
ഒഴുക്ക്,Flow
ഏറ്റക്കുറച്ചിലുകൾ,Fluctuation
കാൽനടയായി,Footing
ഫൗണ്ടേഷൻ,Foundation
ഫ്രീ ഫാൾ ബാരോ ടോപ്പിംഗ് മിക്സർ,Free fall barrow topping mixer
ഫ്രീ ഫാൾ മിക്സർ (ഡ്രം തരം),Free fall mixer (drum type)
സ്വതന്ത്ര കല്ല്,Free stone
ഫ്രെഷെറ്റ്,Freshet
ഘർഷണ കൂമ്പാരം,Friction pile
തവള,Frog
ഗേബിൾ,Gable
ഗബ്ലെറ്റ്,Gablet
ഗാംബ്രൽ മേൽക്കൂര,Gambrel roof
ഗേജ്,Gauge
അളക്കൽ വിഭാഗം,Gauging section
ഗേജിംഗ് സ്റ്റേഷൻ,Gauging station
പൊതുവായ ലൊക്കേഷൻ പ്ലാൻ,General location plan
പൊതു വെന്റിലേഷൻ,General ventilation
ജി ചക്രവാളം അല്ലെങ്കിൽ ഗ്ലേ ചക്രവാളം,G horizon or gley horizon
വരെ ഗ്ലേഷ്യൽ,Glacial till
ഗ്നീസ്,Gneiss
ഗുഡ്സ് യാർഡ്,Goods yard
ഗ്രേഡിയന്റ് പ്രതിരോധം,Gradient resistance
ഗ്രാനൈറ്റ്,Granite
ഗ്രാനുലാർ ഘടന,Granular structure
ഗ്രാനുലേഷൻ,Granulation
ഗ്രാനുൾ,Granule
ഗുരുത്വാകർഷണ ജല രഹിത ജലം,Gravitational water free water
ഗുരുത്വാകർഷണ മുറ്റം,Gravitational yard
വലിയ മണ്ണ് ഗ്രൂപ്പ്,Great soil group
ഗ്രില്ലേജ് അടിസ്ഥാനം,Grillage foundation
ഗ്രൗണ്ട് ഹാൻഡ് മോൾഡിംഗ്,Ground hand moulding
ഗ്രൂപ്പുചെയ്ത ഡോക്ക്,Grouped dock
ഗ്രൂപ്പ് ഭവനം,Group housing
അതിഥി മുറി,Guest room
ഗട്ടർ,Gutter
ഗട്ടർ വഹിക്കുന്നയാൾ,Gutter bearer
ഗട്ടർ പരിശോധന,Gutter check
ചുറ്റിക ഡ്രസ്സിംഗ്,Hammer dressing
തുറമുഖം,Harbour
അഭയകേന്ദ്രം,Harbour of refuge
ഹാർഡ് പാൻ,Hard pan
തലക്കെട്ട്,Header
തലക്കെട്ട് ബോണ്ട്,Header bond
ഹെഡ്ഡർ കോഴ്സ്,Header course
ഹെഡ് ഗേറ്റ് ഘടന,Head gate structure
കനാലിന്റെ തലവൻ,Head of canal
ഹെഡ് റെഗുലേറ്റർ,Head regulator
മത്തി അസ്ഥിബന്ധം,Herring bone bond
ഹൃദയം,Hearting
നനവിന്റെ ചൂട്,Heat of wetting
ഉയർന്ന അലുമിന സിമന്റ്,High alumina cement
ഹിപ്,Hip
ഹിപ് ക്യാപ്പിംഗ്,Hip capping
ഇടുങ്ങിയ അറ്റം,Hipped end
ഹുഡ്,Hood
ഹുഡ് മോൾഡിംഗ്,Hood moulding
ഹുക്കിന്റെ നിയമം,Hook's law
വളയം ഇരുമ്പ്,Hoop iron
ചക്രവാളം,Horizon
ഹ്യുമിഡിഫിക്കേഷൻ,Humidification
"ഈർപ്പം, കേവല","Humidity, absolute"
"ഈർപ്പം, ആപേക്ഷികം","Humidity, relative"
ഹമ്പ് യാർഡ്,Hump yard
ഹൈഡ്രോളിക് മർദ്ദം,Hydraulic pressure
ജലാംശം,Hydration
ജലവിശ്ലേഷണം,Hydrolysis
ഹൈഡ്രോലൈറ്റിക് അസിഡിറ്റി,Hydrolytic acidity
ഹൈഡ്രോമോർഫിക് മണ്ണ്,Hydromorphic soil
ഹൈഡ്രോഫിലിക് കൊളോയിഡ്,Hydrophilic colloid
ഹൈഡ്രോഫോബിക് കൊളോയിഡ്,Hydrophobic colloid
ഹൈഡ്രോസ്റ്റാറ്റിക് മർദ്ദം അനുപാതം,Hydrostatic pressure ratio
ഹൈഗ്രോസ്കാപ്റ്റിക് ഗുണകം,Hygroscaptic coefficient
ഹൈഗ്രോസ്കോപ്പിക് ഈർപ്പം,Hygroscopic moisture
ഹൈഡ്രോസ്കോപ്പിസിറ്റി,Hydroscopicity
ഹൈഗ്രോസ്കോപ്പിക് ഈർപ്പം,Hygroscopic moisture
ഹൈപ്പർബാറിക് ചേംബർ,Hyperbaric chamber
ഹൈപ്പർസ്റ്റാറ്റിക് ഫ്രെയിം,Hyperstatic frame
ഹൈപ്സോമീറ്റർ,Hypsometer
പ്രകാശം,Illumination
ഇംബിബേഷൻ ഈർപ്പം,Imbibation moisture
പാകമാകാത്ത മണ്ണ്,Immature soil
പിടിച്ചെടുത്ത ഡോക്ക്,Impounded dock
ഭൂമിയുടെ വരുമാനം വർദ്ധിപ്പിക്കുക,Increment of land revenue
സ്വതന്ത്ര സ്കാർഫോൾഡ്,Independent scaffold
ഇൻഡുറേറ്റഡ്,Indurated
പ്രാരംഭ പ്രിസ്ട്രെസ്,Initial prestress
പ്രാരംഭ ടെൻഷൻ,Initial tension
ഉൾനാടൻ ജലപാത തുറമുഖം,Inland waterway port
ഇൻസുലേറ്റിംഗ് ബോർഡ്,Insulating board
ഇന്റർമീഡിയറ്റ് പോർട്ട്,Intermediate port
ആന്തരിക ഘർഷണം,Internal friction
ഇൻട്രാസോണൽ മണ്ണ്,Intrazonal soil
അയോൺ,Ion
അയോൺ എക്സ്ചേഞ്ച്,Ion exchange
ഇരുമ്പ് പാൻ,Iron pan
ജലസേചന ഭൂമി,Irrigated land
ജലസേചനം,Irrigation
ജലസേചന സെസ്,Irrigation cess
ജാംബ്,Jamb
ജോഗിൾ,Joggle
ജോഗിൾ പിൻ,Joggle pin
ജൂൾ,Joule
ജമ്പർ,Jumper
കിലോഗ്രാം,Kilogram
കിലോഗ്രാം ശക്തി,Kilogram force
കിലോഗ്രാം ഫോഴ്സ് മീറ്റർ,Kilogram force meter
കിലോവാട്ട് മണിക്കൂർ,Kilowatt hour
രാജാവ് അടച്ചുപൂട്ടൽ,King closure
അടുക്കള,Kitchen
ലേസ്ഡ് കോളം,Laced column
ലാഗിംഗ്,Lagging
ലാമെല്ല റൂട്ട്,Lamella root
ലാമിനാർ ഒഴുക്ക്,Laminar flow
വിളക്ക് ദ്വാരം,Lamp hole
ഭൂമി ശേഖരിക്കൽ,Land accretion
ലാൻഡ് സ്ലൈഡിംഗ്,Land sliding
ലാറ്ററൈറ്റ്,Laterite
ലാറ്ററൈറ്റ് മണ്ണ്,Laterite soil
വലിയ സംഖ്യകളുടെ നിയമം,Law of large numbers
ലേഔട്ട് പ്ലാൻ,Layout plan
ലെഡ്ജർ,Ledger
നാരങ്ങ പാൻ,Lime pan
ലിന്റൽ,Lintel
ദ്രാവക പരിധി,Liquid limit
ലൈവ് ലോഡ്,Live load
പശിമരാശി,Loam
പ്രാദേശിക എക്‌സ്‌ഹോസ്റ്റ് വെന്റിലേഷൻ,Local exhaust ventilation
ലോക്കോ യാർഡ്,Loco yard
ലോസ്,Loess
കുറഞ്ഞ പ്ലാസ്റ്റിക് പരിധി,Lower plastic limit
കുറഞ്ഞ ചൂട് സിമന്റ്,Low heat cement
മെഷീൻ മോൾഡിംഗ്,Machine moulding
മാക്രോസ്ട്രക്ചർ,Macrostructure
പ്രധാന ഹെഡ് റെഗുലേറ്റർ,Main head regulator
പ്രധാന തുറമുഖം,Main port
മേക്കപ്പ് എയർ,Makeup air
മാൻസാർഡ്,Mansard
മാർഷലിംഗ് യാർഡ്,Marshalling yard
കൊത്തുപണി,Masonry
പക്വത താപനില,Maturing temperature
മെസാനൈൻ തറ,Mezzanine floor
മെക്കാനിക്കൽ വിശകലനം,Mechanical analysis
മെക്കാനിക്കൽ വെന്റിലേഷൻ,Mechanical ventilation
മെട്രിക് സിസ്റ്റം,Metric system
മൈക്രോസ്ട്രക്ചർ,Microstructure
മില്ലി തുല്യം,Milli equivalent
ഒരു ലിറ്ററിന് തുല്യമായ മില്ലി,Milli equivalent per litre
ധാതു,Mineral
