Hindi,English
"1.कैलकुलेटर चिप,2. परिकलक चिप",calculator chip
आह्वान,call
नाम आह्वान,call by name
संदर्भ आह्वान,call by reference
मान आह्वान,call by value
चर आह्वान,call by variables
आहवान गेट,call gate
"1.निरस्त करना, 2.रद्द करना",cancel
निरसन बटन,cancel button
"1.विहित,2. कैनॉनिकल",canonical
विहित रूप,canonical form
क्षमता,capability
क्षमता सूची,capability list
"1.क्षमता,2. धारिता",capacity
कैप्स लॉक कुंजी,caps lock key
"1.कार्ड,2. पत्रक",card
कार्ड पाठक,card reader
प्रमुखता,cardinality
वाहक,carrier
वाहक बैंड,carrier band
वाहक भार,carrier load
वाहक संकेत,carrier signal
वाहक तरंग,carrier wave
हासिल,carry
हासिल अंक,carry digit
हासिल ध्वज,carry flag
"1.काट्रिज डिस्क, 2.काट्रिज चक्रिका",cartridge disk
"1.कास्केड, 2.सोपानी",cascade
केस,case
कैथोड-रे-टयूब (सी आर टी),cathod ray tube (CRT)
कैथोड किरण नलिका (सी. आर. टी.) कैथोड-रे-टयूब,cathode ray tube (CRT)
सी डी रॉम डिस्क ड्रािव,CD ROM disk drive
सेल,cell
सेल एनीमेशन,cell animation
सेल्युलर फोन,cellular phone
"1.केंद्रीय स्मृति,2. केंद्रीय मेमोरी",central memory
केद्रीय प्रक्रमण एकक (सी पी यू),central processing unit (CPU)
केंद्रीकृत तंत्र,centralized system
प्रमाणीकृत टेप,certified tape
श्रृंखला,chain
"1.श्रृंखला आंकड़ा, 2.श्रृंखला सामग्री",chain data
श्रृंखला कड़ी,chain link
श्रृंखलन,chaining
"1.प्रणाल, 2.चैनल",channel
"1.प्रणाल व्यस्त टोन, 2.चैनल व्यस्त टोन",channel busy tone
"1.प्रणाल क्षमता, 2.चैनल क्षमता",channel capacity
"1.प्रणाल नियंत्रक, 2.चैनल नियंत्रक",channel controller
"1.प्रणाल त्रुटि, 2.चैनल त्रुटि",channel error
"1.चैनल कार्यक्रम, 2.चैनल प्रोग्राम",channel program
"1.प्रणाल विश्वसनीयता, 2.चैनल विश्वसनीयता",channel reliability
"1.प्रणाल समुच्चय, 2.चैनल समुच्चय",channel set
संप्रतीक,character
"1.संप्रतीक कूट,2. संप्रतीक कोड",character code
संप्रतीक कुंजी,character key
संप्रतीक पाठक,character reader
"1.संप्रतीक सािज, 2.संप्रतीक आमाप",character size
संचित्र,chart
"1.न्याधार, 2.चैसिस",chassis
जाँच बिट,check bit
जाँच अंक,check digit
जाँच योग,check sum
जाँच शब्द,check word
चिप,chip
चिप सेट,chip set
"1.चुनना, 2.चयन",choose
वर्णिक रूप से,chromatically
"1.सािफर,2. शून्य,3. सीफर",cipher
परिपथ,circuit
वर्तुल सूची,circular list
सायरस,cirus
उल्लेख,citation
"1.श्रेणी, 2.वर्ग",class
वर्ग चर,class variable
वर्गीकरण,classification
अपमार्जन,clear
अपमार्जित क्षेत्र,clear area
"1.अपमार्जित प्रणाली, 2.अपमार्जित चैनल",clear channel
दबाना,click
"1.ग्राहक,2. क्लाइट",client
"1.ग्राहक परिसेवक, 2.ग्राहक सर्वर",client server
ग्राहक स्टब,client stub
कर्तन कला,clip art
कर्तन कला पुस्तकालय,clip art library
क्लिप बोर्ड,clip board
क्लिपर,clipper
क्लिपर चिप,clipper chip
गुट,clique
"1.घड़ी,2. कालद",clock
कालद चक्र,clock cycle
कालद आवृत्ति,clock frequency
कालद हार्डवेयर,clock hardware
कालद स्पंद,clock pulse
कालद गति,clock speed
कालद तुल्यकालन,clock synchronization
कालद टिक,clock tick
क्लोन,clone
बंद,close
संवृत परिपथ टी.वी. (सी.सी.टी.वी.),close circuit TV (CCTV)
संवरण,closure
"1.मेघाभिकलन,2.क्लाुड कंप्यूटिंग",cloud computing
गुच्छ,cluster
"1.विलेपित कार्ड,2. विलेपित पत्रक",coated card
लेपित कागज,coated paper
समाक्षीय,coaxial
समाक्ष केबल,coaxial cable
कोडासिल,codasyl
"1.कूट, 2.कोड",code
"1.कूट जनक,2. कोड जनक",code generator
कूट पृष्ठ,code page
"1.कूट शब्द, 2.कोड शब्द",code word
"1.कोडर, 2.कूटक",coder
"1.कूट लेखन जाँच, 2. कोडन जाँच",coding check
कूट लेखन रूप,coding form
"1.कूटलेखन पत्र, 2. कोडन शीट",coding sheet
गुणांक,coefficient
ससंजन,coherence
"1.शीत बूट, 2.शीत प्रारंभ",cold boot
शीत प्रारंभ,cold start
सहयोग,collaboration
निपात,collapse
"1.परिमिलन, 2.समानुक्रमित करना",collate
"1.समानुक्रमित टेप,2. कालेट टेप",collate tape
टक्कर,collision
कोलन,colon
"1.वर्ण, 2.रंग",colour (color)
रंग संतृप्ति,colour saturation
रंग सारणी,colour table
स्तंभ,column
संयोजन,combination
समिश्र पेटी,combo box
"1.समादेश, 2.कमांड",command
समादेश बटन,command button
समादेश सूची,command list
टिप्पणी,comment
"1.वचन बद्धता, 2.प्रतिबद्धता",commitment
वस्तु,commodity
सामान्य व्यवसाय उन्मुखी भाषा (कोबोल),Common Business Oriented Language (Cobol)
सामान्य त्रुटि,common error
सामान्य भाषा,common language
"1.सामान्य नेमक,2. सामान्य नित्यक्रम",common routine
संचार,communication
संचार रेखा,communication line
संचार विधा,communication mode
"1. संचार नेटवर्क, 2. संचार जालक्रम",communication network
संचार प्राचल,communication parameter
संचार तंत्र,communication system
संहनन,compaction
संपीडप्रसारित्र,compander
संपीडप्रसारण,companding
कंपनी नेटवर्क,company network
तुलना परीक्षण,comparison test
"1.सुसंगति, 2.संगतता",compatibility
सुसंगत,compatible
संकलन,compilation
संकलन तथा कार्यपालन,compile and go
"1.संकलक, 2.क्रमादेश अंतरक",compiler
संकलक भाषा,compiler language
पूरक,complementary
दस-पूरक,complement-on-ten
पूरक,complementor
"1.संपूर्ण हस्तगत, 2.संपूर्ण हासिल",complete carry
सम्मिश्र,complex
सम्मिश्र संख्या,complex number
घटक,component
कॉम,component object model (COM)
संयुक्त,composite
संयोजन,composition
"1.अभिकलनीय, 2.अभिकल्पनात्मक",computational
कंप्यूटर,computer
कंप्यूटर केन्द्र,computer centre
कंप्यूटर विशेषज्ञ,computer expert
कंप्यूटर ग्राफिक्स,computer graphics
कंप्यूटर अनुदेश,computer instruction
"1.कंप्यूटर भाषा, 2.अभिकलक भाषा",computer language
"1.कंप्यूटर नेटवर्क, 2.कंप्यूटर जालक्रम",computer network
कंप्यूटर विज्ञान,computer science
कंप्यूटर सुरक्षा,computer security
कंप्यूटर अनुकरण,computer simulaton
कंप्यूटर विशेषज्ञ,computer specialist
कंप्यूटरीकरण,computerisation
कंप्यूटरविद्,computerist
कंप्यूटरीकरण,computerize
"1.अभिकलन,2. कंप्यूटन",computing
संकल्पना,concept
"1.समरूपता, 2.सहसंगता, 3.संगमन",concurrency
"संगामी, समरूपी",concurrent
प्रतिबंध चर,condition variable
प्रतिबंधित संकारक,conditional operator
प्रतिबंधित कथन,conditional statement
चालक,conductor
"1.दूर सम्मेलन, 2.सम्मेलन",conferencing
गोपनीयता,confidentiality
"1.संविन्यास, 2.संरूपण",configuration
संकुलन,congestion
संयोजन,conjunction
संबंधन गति,connect speed
संबंधन,connection
संबंधन रहित संचार,connection less communication
संबधन मुक्ति,connection release
संयोजकता,connectivity
"1.संबंधक, 2.संयोजक",connector
क्रमागत,consecutive
अनुवर्ती,consequent
कन्सोल,console
समेकन,consolidation
"1.नियतांक,2. स्थिरांक",constant
अचर अनुदेश,constant instruction
प्रतिबंधित,constraint
संरचक,constructor
पात्र,container
"1.अन्तर्वस्तु, 2.अंश",content
सन्दर्भ,context
सन्दर्भ मुक्त व्याकरण (सी एफ जी),context free grammar (CFG)
सन्दर्भ स्विच,context switch
"1.आकस्मिक, 2.आकस्मिकता",contingency
विसंगति,contraction
विपर्यास,contrast
नियंत्रण,control
नियंत्रण क्षेत्र,control area
नियंत्रण बिट,control bit
नियंत्रक बस,control bus
नियंत्रण कार्ड,control card
नियंत्रण परिपथ,control circuit
नियंत्रण चक्र,control cycle
"1.नियंत्रण अभियांत्रिकी, 2.नियंत्रण इंजीनियरी",control engineering
नियंत्रण कुंजी,control key
नियंत्रण तर्क,control logic
नियंत्रण पाश,control loop
नियंत्रण चिन्ह,control mark
नियंत्रण संक्रिया,control operation
नियंत्रण पैनल,control panel
नियंत्रण संकेत,control signal
नियंत्रण स्विच,control switch
नियंत्रण टेप,control tape
"1.नियंत्रण टर्मिनल, 2.नियंत्रण अंतक",control terminal
"1.नियंत्रण एकक,2. नियंत्रण इकाई",control unit (CU)
अभिसरण,convergence
संवाद,conversation
संवादी काल भाजन,conversational time sharing
रूपांतरण,conversion
परिवर्तक,converter
कुक-प्रमेय,Cook's theorem
सह प्रक्रमक,co-processor
प्रतिलिपि,copy
सर्वाधिकार,copyright
कॉर्ड,cord
"1.कॉर्डलेस टेलीफोन,2. तार रहित टेलीफोन, 3. तार रहित दूरभाष",cordless telephone
उपप्रमेय,corollary
संशोधन,correction
"1.अनुपयोगी, 2. विकृत",corrupted
गणना,count
गणक,counter
देश कूट,country code
सहप्रसरण,covariance
"1.व्याप्ति क्षेत्र,2. प्रसारण",coverage
ध्वंस,crash
क्रांतिक पथ,critical path
क्रांतिक पथ विधि (सी पी एम),critical path method (CPM)
"1.प्रति परीक्षण, 2.क्रास जांच",cross check
"1.क्रॉस क्रमादेश-अंतरक,2. प्रति क्रमादेश-अंतरक",cross compiler
अप्रासंगिक सिग्नल,cross fire
अप्रासंगिक वार्ता,cross talk
गूढालेखी,cryptographic
"1.गूढालेखन, 2.गूढालेखिकी, 3.क्रिप्टोग्राफी",cryptography
मुद्रा प्रतीक,currency symbol
वर्तमान निर्देशिका,current directory
वर्तमान विंडो,current window
कर्सर,cursor
वक्र,curve
"1.काटो और चिपकाओ, 2.कर्तन और चिपकाना",cut and paste
कर्तन विधि,cut method
सािबर,cyber
सािबर कैफे,cyber café
सािबर कैश,cyber cash
सािबर अपराध,cyber crime
सािबर डेलिक्स,cyber delics
सािबर कानून,cyber law
सािबर सेक्स,cyber sex
"1.सािबर विज्ञान,2. साइबरनेटिक्स",cybernatics
"1.सािबरकरण,2. सािबरीकरण",cybernation
चक्र,cycle
"1.चक्र स्मृति, 2.चक्र मेमोरी",cycle memory
चक्र हरण,cycle steal
चक्र काल,cycle time
चक्रीय,cyclic
डेमॉन,daemon
डेजी चक्र,daisy wheel
आँकड़ा प्रशासक,data administrator
आँकड़ा नियतन,data allocation
"1.आँकड़ा क्षेत्र, 2.डाटा क्षेत्र",data area
"1.आँकड़ा सरणी,2. ऑकड़ा व्यूह",data array
"1.डाटा-बेस, 2. आँकड़ा आधार",data base
डाटा विभंग,data break
"1.आँकडा बस, 2. डाटा बस",data bus
"1.ऑकड़ा वाहक, 2.डाटा वाहक",data carrier
आँकड़ा कोष्ठिका,data cell
"1.आँकड़ा प्रणाल, 2. आँकड़ा चैनल",data channel
आँकड़ा संचार,data communication
"1.आँकड़ा संपीडन, 2. डाटा संपीडन",data compression
आँकड़ा क्षेत्र,data field
आँकड़ा संचिका,data file
"1.आँकड़ा प्रवाह, 2. डाटा प्रवाह",data flow
"1.आँकड़ा प्रवाह संचित्र, 2.चार्ट",data flow Chart
आँकड़ा पदानुक्रम,data hierarchy
आँकड़ा स्तर,data level
"1.आँकड़ा संग्रह, 2. आँकड़ा लाइब्रेरी",data library
आँकड़ा कड़ी परत,data link layer
आँकड़ा कड़ी परत (डी एल एल),data link layer (DLL)
"1.आँकड़ा प्रबंधन, 2.डाटा प्रबंधन",data management
"1.ऑकड़ा प्रकलन, 2.डाटा प्रकलन",data manipulation
आँकड़ा प्रकलन भाषा (डी एम एल),data manipulation language (DML)
"आँकड़ा माडेम, डाटा माडेम",data modem
"1.आँकड़ा आपरिवर्तन, 2. आँकड़ा आशोधन",data modification
"1.आँकड़ा जालक्रम, 2.डाटा नेटवर्क",data network
"1.आँकड़ा संक्रिया, 2.डाटा संक्रिया",data operation
"1.आँकड़ा संगठन्अ,2. डाटा संगठन",data organization
"1.आँकड़ा निर्गम, 2.डाटा निर्गम",data output
"1.आँकड़ा पथ, 2. डाटा पथ",data path
"1.आँकड़ा तैयारी, 2. डाटा तैयारी",data prepration
"1.आँकड़ा गोपनीयता, 2. डाटा गोपनीयता",data privacy
"1.ऑकड़ा प्रक्रमक, 2. डाटा प्रक्रमक",data processor
"1.आँकड़ा रक्षण, 2. डाटा रक्षण",data protection
"1.आँकड़ा अभिलेख, 2. डाटा अभिलेख",data record
"1.आँकड़ा पुनः-प्राप्ति, 2. डाटा पुन:प्राप्ति",data retrieval
"1.आँकड़ा नेमिक, 2. आँकड़ा रुटीन",data routine
"1.आँकड़ा सुरक्षा, 2. डाटा सुरक्षा",data security
"1.आँकड़ा समुच्चय,2. डाटा समुच्चय",data set
"1.आँकड़ा संकेत, 2.डाटा संकेत",data signal
"1.आँकड़ा अभिगम, 2. डाटा अभिगम",data sink
"1.आँकड़ा स्रोत, 2.डाटा स्रोत",data source
"1.आँकड़ा विनिर्देश,2. डाटा विनिर्देश",data specification
"1.आँकड़ा केंद्र, 2. डाटा केंद्र",data station
"1.ऑकड़ा भंडारण, 2. डाटा भंडारण",data storage
आँकड़ा भंडारण संरचना,data storage structure
"1.ऑकड़ा संरचना, 2. डाटा संरचना",data structure
"1.आँकड़ा स्विच, 2. डाटा स्विच",data switch
"1.आँकड़ा सारणी, 2.डाटा सारणी",data table
"1.आँकड़ा अंतक,2. डाटा अंतक",data terminal
"1.आँकड़ा अनुलेखन, 2. डाटा अनुलेखन",data transcription
"1.आँकड़ा अंतरण,2. डाटा अंतरण",data transfer
"1.आँकड़ा संचरण, 2. डाटा संचरण",data transmission
"1.आँकड़ा संचरण प्रणाली, 2. डाटा संचरण प्रणाली",data transmission Channel
"1.आँकड़ा प्रारुप, 2. डाटा प्रारुप",data type
"1.आँकड़ा एकक, 2. डाटा एकक",data unit
