Malayalam,Bengali
"ബാലിസ്റ്റിക്, ബാലിസ്റ്റിക്","ব্যালিস্টিক, ব্যালিস্টিক"
"പ്രൊജക്ഷൻ ഗാൽവനോമീറ്റർ, പ്രൊജക്ഷൻ ഗാൽവനോമീറ്റർ","প্রজেকশন গ্যালভানোমিটার, প্রজেকশন গ্যালভানোমিটার"
മിസൈൽ,মিসাইল
"ബാലിസ്റ്റിക്സ്, ആയുധം","ব্যালিস্টিক, অস্ত্র"
പ്രൊജക്ഷൻ,অভিক্ষেপ
സ്വതന്ത്ര പാത,বিনামূল্যে পথচলা
"ബലൂൺ, ബലൂൺ","বেলুন, বেলুন"
ബാൽമർ നിർത്തലാക്കൽ,balmer discontinuity
"ബാൻഡ്, ബാൻഡ്, ബാൻഡ്","ব্যান্ড, ব্যান্ড, ব্যান্ড"
സ്ഫോടനം,বিস্ফোরণ
"അറേ, ബീം, തീരം, ബാങ്ക്, തീരം","অ্যারে, মরীচি, তীরে, ব্যাংক, উপকূল"
"കോളം, ബാർ, കോബ്, ബ്ലോക്ക്, ബാർ, വടി, ബാർ, 8. മതിൽ, 9. ലൈൻ, 10. എഡ്ജ്, 1 ബ്ലോക്ക്, 1, ബാർ, 1, ലൈൻ, 1, ടെസ്റ്റ് ലൈൻ","কলাম, বার, কোব, ব্লক, বার, রড, বার, 8. প্রাচীর, 9. লাইন, 10. প্রান্ত, 1 ব্লক, 1, বার, 1, লাইন, 1, পরীক্ষা লাইন"
ബാർഡീൻ തത്വം,বারদিন নীতি
ബാർഖൗസെൻ പ്രഭാവം,বারখাউসেন প্রভাব
ബാർലോ സൈക്കിൾ,বারলো চক্র
ബാർ കാന്തം,বার চুম্বক
കളപ്പുര,শস্যাগার
വായു മർദ്ദം ഗ്രാഫ്,বায়ু চাপ গ্রাফ
"ബാരോഗ്രാഫ്, ബാരോഗ്രാഫ്","barograph, barograph"
ബാരോമീറ്റർ,ব্যারোমিটার
അന്തരീക്ഷമർദ്ദം,বায়ুমণ্ডলীয় চাপ
"കോസ്മോസ്, ബാരോമോസ്ഫിയർ","cosmos, baromosphere"
പെൻഡുലം പെൻഡുലം,পেন্ডুলাম
"തടസ്സം, ആണവ, ആണവ തടസ്സം","বাধা, পারমাণবিক, পারমাণবিক বাধা"
തടസ്സം നില,বাধা স্তর
ബാരിയോൺ,বেরিয়ন
ഗുരുമണ്ഡലം,গুরুমন্ডল
അടിസ്ഥാന ബാൻഡ്,বেস ব্যান্ড
"അടിസ്ഥാന, അടിസ്ഥാന, ക്ഷാര","মৌলিক, মৌলিক, ক্ষারীয়"
അടിസ്ഥാനം,ভিত্তি
"എണ്ണൽ, ടീം രൂപീകരണം","গণনা, দল গঠন"
"ജലസംഭരണി, ജലസംഭരണി, ഹീറ്റർ, ചൂടാക്കൽ പാത്രം, കുളി","কুন্ড, কুন্ড, হিটার, গরম করার পাত্র, স্নান"
ബാറ്ററി,ব্যাটারি
"അറേ സെഗ്മെന്റ്, ചേമ്പർ, ബേ","অ্যারে সেগমেন্ট, চেম্বার, উপসাগর"
പ്രദർശനം,প্রদর্শনী
കിബാൻ,কিবন
"മാണിക, ബീഡ്","মানিকা, বিড"
"ബീം, ബീം, ബീം, ട്രംപ്","মরীচি, মরীচি, মরীচি, ট্রাম্প"
"ഡിക്മാൻ, ഡിക്കൺ","ডিকম্যান, ডিকন"
"ഡോൾ, വിസ്പൻഡ്","dole, vispand"
ബെക്വറൽ പ്രഭാവം,বেকারেল প্রভাব
മണി ഭരണി,বেল জার
തുരുത്തി,বেল
മണി ക്ലോക്ക്,বেল ঘড়ি
"വേദിക, ബെഞ്ച്","বেদিকা, বেঞ্চ"
"മോഡ്, ബങ്ക് (എഡി.), ബെൻഡ് (വി.)","মোড, বাঙ্ক (সম্পাদনা), বাঁক (v.)"
ബാങ്കൻ,ব্যাংকান
"വളഞ്ഞു, വളഞ്ഞു","bent, bent"
ബെർണൂലി-സമവാക്യം,বার্নোলি-সমীকরণ
അടിസ്ഥാന-പ്രവർത്തനം,বেসাল-ফাংশন
മികച്ച അഡീഷൻ,সেরা আনুগত্য
ബീറ്റ (ബി),বিটা (খ)
ബീറ്റാട്രോൺ,betatron
bethe മോഡൽ,মডেল
bivatron,বিভাট্রন
BH കർവ്,বিএইচ বক্ররেখা
ദ്വികോണാകൃതിയിലുള്ള,দ্বিভুজাকার
"പക്ഷപാതം, പക്ഷപാതം","পক্ষপাত, পক্ষপাত"
ദ്വി-അക്ഷാംശം,দ্বি-অক্ষীয়
ബിക്രോമേറ്റ് സെൽ,বিক্রোমেট কোষ
അഭ്യവതാൽ,অভিবতাল
ഇരട്ട ആന്റിന,ডবল অ্যান্টেনা
ബൈകോൺവെക്സ്,দ্বিকনভেক্স
"ബൈ-ക്രിസ്റ്റൽ, ഡ്യുവൽ-ക്രിസ്റ്റൽ","দ্বি-স্ফটিক, দ্বৈত-স্ফটিক"
ദ്വിദിശ മൈക്രോഫോൺ,দ্বিমুখী মাইক্রোফোন
ദ്വിപദ മാതൃക,দ্বিপদী মডেল
ഡയീഷ്യസ്,ডিপ্লয়েড
ഉഭയകക്ഷി,দ্বিপাক্ষিক
ബൈലിനയർ,দ্বিরেখার
ദ്വിതന്മാത്ര,বাইমোলিকুলার
"ദ്വി-വേരിയബിൾ, ബൈ-ബേസ്, ഡ്യുവൽ","দ্বি-পরিবর্তনশীল, দ্বি-বেস, দ্বৈত"
"ബൈനറി കോഡ്, ബൈനറി കോഡ്","বাইনারি কোড, বাইনারি কোড"
കളി താരം,খেলা তারকা
ബൈനറി രീതി,বাইনারি পদ্ধতি
ദ്വിമുഖം,দ্বিপার্শ্ব
ബോണ്ട്,বন্ধন
"ബൈനോക്കുലർ, ബൈനോക്കുലർ","বাইনোকুলার, বাইনোকুলার"
ബൈനറി,বাইনারি
ദ്വിപദ വിതരണം,দ্বিপদ ডিস্ট্রিবিউশন
"ദ്വികേന്ദ്രം, ദ്വികേന്ദ്രം, ബൈന്യൂക്ലിയേറ്റഡ്","দ্বিকেন্দ্রিক, দ্বিকেন্দ্রিক, দ্বিমুখী"
ബയോഡൈനാമിക്സ്,বায়োডাইনামিকস
ബയോ ഇലക്ട്രോണിക്സ്,জৈব ইলেকট্রনিক্স
ജൈവഭൗതികശാസ്ത്രജ്ഞൻ,জীবপদার্থবিদ
ബയോഫിസിക്സ്,জীবপদার্থবিদ্যা
ജൈവ ഉപഗ്രഹം,জৈবিক উপগ্রহ
"ഛായാഗ്രാഹകൻ, ബയോസ്കോപ്പ്","সিনেমাটোগ্রাফার, বায়োস্কোপ"
