Tamil,English
முழுமையான எலக்ட்ரோநெக்டிவிட்டி,Absolute permittivity
முழுமையான ஈர்ப்பு,Absolute pitch
முழுமையான அழுத்தம்,Absolute pressure = true pressure
முழுமையான சொத்து,Absolute property
முழுமையான அளவிடல்,Absolute scalar
வெப்பநிலையின் இறுதி அளவு*,Absolute scale of temperature
"absolute synchrony, absolute synchrony",Absolute simultancity
முழுமையான மன அழுத்தம்,Absolute stress
முழுமையான சமச்சீர்,Absolute symmetry
முழுமையான இயக்க உடல்,Absolute system of motion
முழுமையான அலகு அமைப்பு,Absolute system of units
முழுமையான வெப்பநிலை,Absolute temperature
முழுமையான நேரம்,Absolute time
முழுமையான அலகுகள்,Absolute unit
துல்லியமான மதிப்பு,Absolute value
முழு எண் கால்குலேட்டர்,Absolute value computer
முழுமையான வேகம்,Absolute velocity
முழுமையான பாகுத்தன்மை,Absolute viscosity
முழுமையான எடை,Absolute weight
முழுமையான பூஜ்ஜியம்*,Absolute zero
பூஜ்ஜியத்தின் முழுமையான வகுப்பான்,Absolute zero devisor
உறிஞ்சி,Absorb
உறிஞ்சுதல் குறியீடு*,Absorbance
உறிஞ்சப்பட்ட ஆற்றல்,Absorbed energy
"உறிஞ்சும், உறிஞ்சும்",Absorber
உறிஞ்சும் ஊடகம்*,Absorbing medium
உறிஞ்சும் திறன்,Absorbing power
உறிஞ்சுதல்,Absorptance
உறிஞ்சும் அளவி*,Absorptiometer
உறிஞ்சும் அளவீடு*,Absorptiometry
உறிஞ்சுதல்,Absorption
உறிஞ்சுதல் - இசைக்குழு*,Absorption band
உறிஞ்சுதல் சுற்று,Absorption circuit
உறிஞ்சுதல் குணகம்,Absorption coeffieient
உறிஞ்சுதல் நெடுவரிசை,Absorption column
உறிஞ்சுதல் மாறிலி,Absorption constant
உறிஞ்சுதல் தொடர்ச்சி,Absorption continua
உறிஞ்சுதல் மண்டலம்,Absorption cross section
உறிஞ்சுதல் மின்னோட்டம்,Absorption current
உறிஞ்சுதல் வளைவு*,Absorption curve (=transmission curve)
உறிஞ்சுதல் முறிவு,Absorption discontinuity
உறிஞ்சுதல் மைய,Absorption edge
உறிஞ்சுதல் காரணி,Absorption factor
உறிஞ்சுதல் வடிகட்டி,Absorption filter
உறிஞ்சுதல் ஃபிளேம் ஃபோட்டோமெட்ரி*,Absorption flame photometry
உறிஞ்சும் ஹைக்ரோமீட்டர்,Absorption hygrometer
உறிஞ்சுதல் அடுக்கு,Absorption index
உறிஞ்சுதல் விளிம்பு,Absorption limit
உறிஞ்சுதல் வரி,Absorption line
உறிஞ்சுதல் இழப்பு,Absorption loss
உறிஞ்சுதல் பண்பேற்றம்,Absorption modulation=loss modulation
ஒளி உறிஞ்சுதல்,Absorption of light
கதிர்வீச்சு ஆற்றலை உறிஞ்சுதல்,Absorption of radiant energy
உறிஞ்சுதல் உச்சம்,Absorption peak
உறிஞ்சுதல் ஒளி அளவீடு,Absorption photometry
உறிஞ்சுதல் விகிதம்,Absorption ratio
உறிஞ்சுதல் வரம்பு*,Absorption series
உறிஞ்சும் நிறமாலை ஒளி அளவீடு*,Absorption spectro photometry
உறிஞ்சுதல் ஸ்பெக்ட்ரம்*,Absorption spectrum
"உறிஞ்சும் குழாய், உறிஞ்சும் குழாய்",Absorption tube
உறிஞ்சும் ஹைக்ரோமீட்டர்,Absorption vavemeter
உறிஞ்சக்கூடிய*,Absorptive
உறிஞ்சும் ஆவியாக்கி,Absorptive attenuator
உறிஞ்சுதல் சட்டம்*,Absorptive law
உறிஞ்சுதல் ஊடகம்,Absorptive medium
"உறிஞ்சும் திறன், உறிஞ்சுதல்*",Absorptive power
உறிஞ்சுதல்*,Absorptivity
ஸ்டூடியோ அலங்காரம்,Abstract set=studio decoration
பன்மடங்கு விகிதம்,Abundance ratio
கைவிடு,Abvolt
பற்றி,Abwatt
முடுக்கி,Accelerate
முடுக்கம்-நிறுத்த தூரம்,Accelerate-stop distance
விரைந்தார்,Accelerated
விரைவான நேர விளைவு சோதனை,Accelerated ageing test
விரைவான ஓட்டம்,Accelerated flow
விரைவான வேகம்,Accelerated motion
விரைவான உடல்,Accelerated system
முடுக்கி எடை,Accelerating balance
முடுக்கி மின்முனை*,Accelerating electrode
முடுக்கி நேரம்*,Accelerating period
முடுக்கி கட்டம்,Accelerating phase
முடுக்கி விகிதம்,Accelerating rate
முடுக்கி மின்னழுத்தம்*,Accelerating voltage
முடுக்கம்,Acceleration
துரிதப்படுத்தப்பட்ட எரிப்பு,Acceleration blowout=rich extinction=flame out
முடுக்கம் குணகம்,Acceleration coefficient
முடுக்கம் கூறு,Acceleration component
புவியீர்ப்பு காரணமாக முடுக்கம்,Acceleration due to gravity
முடுக்கம் காரணி,Acceleration factor
துரிதப்படுத்தப்பட்ட கட்டணம்,Acceleration feedback
ஈர்ப்பு முடுக்கம்,Acceleration of gravity
முடுக்கம் சாத்தியம்,Acceleration potential
முடுக்கம் சட்டம்,Acceleration principle
முடுக்கம் செயல்முறை,Acceleration process
முடுக்கம் மண்டலம்,Acceleration space
முடுக்கம் முறை,Acceleration technique
"முடுக்கம் சகிப்புத்தன்மை, முடுக்கம் சகிப்புத்தன்மை",Acceleration tolerance
முடுக்கம் திசையன்,Acceleration vector
முடுக்கம்-மின்னழுத்தம்,Acceleration voltage
முடுக்கம் அலை,Acceleration wave
முடுக்கி,Accelerative
"முடுக்கி, முடுக்கி*",Accelerator
முடுக்கி சமன்பாடு,Accelerator equation
முடுக்கி*,Accelerograph
முடுக்கமானி,Accelerometer
முடுக்கமானி பொருத்தம்,Accelerometer matching
முன் அழுத்தம் கொடுப்பவர்,Accentuator
சரியான எழுத்துக்கள்,Acceptable character
ஏற்றுக்கொள்ளும் கோணம்,Acceptance angle
ஏற்றுக்கொள்ளும் விவரக்குறிப்பு,Acceptance specifications
ஏற்றுக்கொள்ளக்கூடிய சோதனை,Acceptance test
"ஏற்பவர்*, ஏற்பவர்",Acceptor
ஏற்பி அணு,Acceptor atom
ஏற்பி பிணைப்பு,Acceptor bond
பெறுதல் சுற்று,Acceptor circuit
ஏற்பி நிலை,Acceptor level
நன்கொடையாளர் மூலக்கூறு,Acceptor molecule
ஏற்பி சொத்து,Acceptor property
ஏற்பி சொத்து நிலை,Acceptor property level
முடுக்கி குழாய்,Accererating tube
"அணுகல், காத்திருப்பு, அணுகல்",Access
புஜை அணுகவும்,Access arm
அணுகல் அமைப்பு,Access mechanism
அணுகல் நேரம்,Access time
அணுகல்,Accessibility
"கூடுதல், துணை, துணை (v, ), துணைக்கருவிகள்",Accessory
கூடுதல் கட்டுப்பாடுகள்,Accessory condition
தற்செயல்,Accidental coincidence
தற்செயலான திருத்தம்,Accidental correction
தற்செயலான உயிர் உருவாக்கம்,Accidental degeneracy
தற்செயலான திசைதிருப்பல்,Accidental double refraction
பார்வையாளர் பிழை,Accidental error
"திடீர் நிறுத்தம், திடீர் கவ்வி",Accidental jamming
தற்செயலான பரிமாற்றம்,Accidental transmission
சீரற்ற மாறுபாடு,Accidental variation
சரிசெய்தல்,Accommodation
அமைந்துள்ளது,Accumbent
திரட்டப்பட்ட பிழை,Accumulated error
"திரட்சி, குவிப்பு",Accumulation
ஆற்றல் சேமிப்பு,Accumulation of energy
திரட்டி*,Accumulator
துல்லியம்,Accuracy
யதார்த்தம்,Accurate
உண்மையான கருவி கவனிப்பு,Accurate instrumental observation
துல்லியமான வரம்பு குறிப்பான்,Accurate range marker
துல்லியமான ஸ்கேனிங்,Accurate scanning
பயிற்சி,Accustomisation
முடுக்கி செல்*,Acdelerating chamber
நிறமற்ற லென்ஸ்*,Achromat
நிறமற்ற*,Achromatic
நிறமற்ற பகுப்பாய்வி,Achromatic analyser
அதிர்வெண் நடுநிலை ஆண்டெனா,Achromatic antenna
நிறமற்ற வடிவம்,Achromatic figure
நிறமற்ற விளிம்பு,Achromatic fringe
நிறமற்ற லென்ஸ்*,Achromatic lens
நிறமற்ற புள்ளி பாதை,Achromatic locus
நிறமற்ற லென்ஸ்,Achromatic object lens
வண்ணப் பட்டகம்,Achromatic prism
வண்ணமயமான தொலைநோக்கி,Achromatic telescope
நிறமற்ற தன்மை*,Achromaticity
நிறமாற்றம்*,Achromatisation
நிறமற்ற தன்மை*,Achromatism
"மீள், பயனற்ற, பயனற்ற",Aclastic
"ஏகோர்ன் ஹோஸ், பாஞ்சு ஹோஸ்",Acorn tube
மினியேச்சர் வால்வு,Acorn valve
அகோஃபோனி,Acouphony
ஒலியியல்,Acoustic
ஒலி உறிஞ்சுதல்,Acoustic absorptivity
ஒலியியல் குறைப்பு குணகம்,Acoustic attenuation coeffcient
ஒலிக் குறைப்பு,Acoustic attenuation constant
ஒலி திருடன் அலாரம்,Acoustic burglar alarm
ஒலியியல் கொள்ளளவு,Acoustic capacitance
கேட்கும் மையம்,Acoustic centre
ஒலியியல் விளக்கம்,Acoustic clarifier
ஒலி உறை,Acoustic cloud
ஒலி பதில்,Acoustic compliance
ஒலியியல் கூறு,Acoustic component
ஒலி கடத்துத்திறன்,Acoustic conductivity
ஒலி தணித்தல்,Acoustic damping
ஒலி சிதறல்,Acoustic dispersion
ஒலி ஹேக்கர்,Acoustic dissipation element
ஒலி ஆற்றல்*,Acoustic energy
ஒலி ஆற்றல் சமன்பாடு,Acoustic energy equation
ஒலி சமன்பாடு,Acoustic equation
ஒலி மறுசீரமைப்பு,Acoustic feedback
கிளாட்னி வடிவங்கள்,Acoustic figures (Chladni figures)
ஒலி வடிகட்டி,Acoustic filter
ஒலி ஜெனரேட்டர்,Acoustic generator
ஒலி தட்டு,Acoustic grating
ஒலி மின்மறுப்பு*,Acoustic impedance
ஒலி மந்தநிலை,Acoustic inertance
ஒலி தீவிரம்,Acoustic intensity
ஒலி குறுக்கீடு மீட்டர்,Acoustic interferometer
ஒலி குறுக்கீடு கண்டறிதல்,Acoustic intrusion detector
ஒலி லென்ஸ்,Acoustic lens
ஒலி வரி,Acoustic line
ஒலி நிறை,Acoustic mass
ஒலி பொருள்,Acoustic material
ஒலியியல் என்பது இலவச பாதை,Acoustic mean free path
ஒலி முறை,Acoustic mode
ஒலி சத்தம்,Acoustic noise
ஒலி ஓம்*,Acoustic ohm
"ஒலியியல் குழு, ஒலி பலகை",Acoustic panel
ஒலி நிலை மாறிலி,Acoustic phase constant
ஒலி ரிசீவர்,Acoustic pickup (sound box)
ஒலி அழுத்தம்,Acoustic pressure
ஒலியின் சமச்சீர் விதி,Acoustic principle of similarity
ஒலி பரிமாற்றம்,Acoustic propagation constant
ஒலியியல் பண்புகள்,Acoustic property
ஒலி நாற்புறம்,Acoustic quardrupole
ஒலி கதிர்வீச்சு உறுப்பு,Acoustic radiating element
ஒலி கதிர்வீச்சு,Acoustic radiation
ஒலி எதிர்ப்பு,Acoustic radiator
ஒலி ரேடியோமீட்டர்,Acoustic radiometer
ஒலி அதிர்ச்சி,Acoustic reactance
ஒலி பரஸ்பர தேற்றம்,Acoustic reciprocity theorem
ஒலி குறைப்பு காரணி,Acoustic reduction factor
ஒலி பிரதிபலிப்பு குணகம்,Acoustic reflection coefficient
ஒலி ஒளிவிலகல்,Acoustic refraction
ஒலி எதிர்ப்பு,Acoustic resistance
ஒலி பதில்,Acoustic responsiveness
ஒலி சிதறல்,Acoustic scattering
கேட்கும் புள்ளி,Acoustic spot
ஒலி விறைப்பு,Acoustic stiffiness
ஒலி அமைப்பு,Acoustic system
ஒலி வெப்பமானி,Acoustic thermometer
ஒலி வேகம்,Acoustic velocity
ஒலி அலை,Acoustic wave
ஒலியியல்,Acoustical
ஒலி உறிஞ்சுதல் குணகம்,Acoustical absorption co-efficient
ஒலி உறிஞ்சுதல் கூறு,Acoustical absorption factor
ஒலி சுற்று,Acoustical circuit
ஒலி பதில்,Acoustical compliance
ஒலி தாமதக் கோடு,Acoustical delay line
ஒலி சிதைவு,Acoustical distortion
ஒலி ஒலியியல்,Acoustical energetics
ஒலி வடிகட்டி,Acoustical filter
ஒலி மின்மறுப்பு*,Acoustical impedance (=acoustic impedance)
ஃபோனோகிராஃப்,Acoustical labyrinth
ஒலி ஓம்*,Acoustical ohm
ஒலி மாறிலி,Acoustical phase constant
ஒலி ஃபோனான்,Acoustical phonan
ஒலி பரிமாற்ற மாறிலி,Acoustical propagation constant (=propagation constant)
ஒலி மாற்று குணகம்,Acoustical reduction factor
ஒலி எதிர்ப்பு,Acoustical resistance
ஒலி விறைப்பு,Acoustical stiffness
ஒலி அலகு,Acoustical unit
ஒலி எதிர்ப்பு,Acoustically insulated
ஒலி பக்கக் கோடு,Acoustico-lateral line
"ஒலியியல், ஒலியியல்",Acoustics
ஒலி மீட்டர்,Acoustimeter
ஒலி அழுத்தம்,Acoustomotive pressure=sound pressure
கையகப்படுத்தல் ரேடார்,Acquisition radar
ஒளிச்சேர்க்கை கதிர்வீச்சு,Actinic ray
ஆக்டினியம் உமிழ்வு,Actinium emnation
ஆக்டினோ-யுரேனியம்,Actino-uranium
ஆக்டினோ-யுரேனியம் தொடர்,Actino-uranium series
கதிரியக்க மின்சாரம்,Actinoelectricity
"ஆக்டினோமீட்டர், ஃபோட்டோமிக்ரோமீட்டர்",Actinometer
"செயல், செயல்",Action
செயல் மற்றும் எதிர்வினை,Action and reaction
செயல் மாறிலி,Action constant
செல்வாக்கு மண்டலம்,Action radium (=effective area)
"செயல்படுத்தப்பட்டது, செயல்படுத்தப்பட்டது",Activated
செயலில் பரவல்,Activated diffusion
"செயல்படுத்தப்பட்ட ஃபைபர், செயல்படுத்தப்பட்ட ஃபைபர்",Activated filament
செயல்படுத்தும் விளைவு,Activating effect
செயல்படுத்தும் விளைவு,Activation
செயல்படுத்தும் பகுப்பாய்வு,Activation analysis
செயல்பாட்டு மையம்,Activation centre
செயல்படுத்தும் சோதனையாளர்,Activation cross-section
செயல்படுத்தும் ஆற்றல்,Activation energy
செயல்படுத்தும் என்ட்ரோபி,Activation entropy
செயல்படுத்தல் அதிக மின்னழுத்தம்,Activation over-voltage
செயல்படுத்தும் விகிதம்,Activation rate
"செயல்படுத்துபவர், செயல்படுத்துபவர்",Activator
செயல்படுத்தும் அணு,Activator atom
முடுக்கி,Activator of accelerator
செயலில் உறிஞ்சுதல்,Active absorption
செயலில் வான்வழி,Active aerial
கதிர்வீச்சு ஆபத்து மண்டலம்,Active area (controlled area)
செயலில் உள்ள சாதனம்,Active device
செயலில் இலக்கு,Active homing
செயலில் உள்ள ஹைட்ரஜன்*,Active hydrogen
செயலில் கண்ணி,Active lattice
செயலில் வரி செயலில் வரி,Active line
செயலில் வளையம்,Active loop
செயலில் உள்ள குறியீடு*,Active mass
செயலில் உள்ள பொருட்கள்,Active material
செயலில் உள்ள மூலக்கூறு,Active molecule
செயலில் கண்ணி,Active network
செயலில் மறுஉருவாக்கம்,Active re-absorption
செயலில் உள்ள பகுதி,Active region
செயலில் கட்டுப்பாடு,Active regulation
செயலில் உள்ள செயற்கைக்கோள்,Active satellite
செயலில் பிளவுபட்ட சூரிய சுடர்,Active sunspot prominence
செயலில் நுண்ணூட்டச்சத்துக்கள்,Active trace sub stances
செயலில் கண்காணிப்பு அமைப்பு,Active tracking system
செயலில் மின்மாற்றி,Active transducer
செயலில் உட்கொள்ளல்,Active uptake
செயல்பாட்டு குணகம்*,Activity coefficient
செயல்பாட்டுக் குறியீடு,Activity index
செயல்பாட்டு விகிதம்,Activity ratio
செயல்பாட்டு திசையன்,Activity vector
உண்மையான மானிட்டர்,Actual monitor
உண்மையான மன அழுத்தம்,Actual stress
தூண்டுதல்,Actuate
தொடங்குபவர்,Actuating
தொடங்குபவர்,Acturator
தீவிரமானி,Acuity meter
கேட்கும் கூர்மை,Acuity of hearing
புகைப்படக் கூர்மை மதிப்பு,Acutance
குறுங்கோணம்,Acute angle
கிசுகிசுத்தல்,Acute exposure
கடுமையான முக்கோணம்,Acute triangle
அசைக்ளிக்,Acyclic
தேர்வுமுறை பயன்பாடு,Adaptation manoeuver
உகந்த நிலை,Adapted stae
தகவமைப்பு கட்டுப்பாட்டு அமைப்பு,Adaptive control system
அடாப்டோமீட்டர்,Adaptometer
அட்காக் ஆண்டெனா,Adcock antenna
மொத்தத்தில்,Add
தொகுப்பு நேரம்,Add time
தொகுத்தல்-கழித்தல் நேரம்,Add-subtract time
சேர்ப்பான்,Adder
"தொகை, கூட்டல், கூட்டுத்தொகை (பதிப்பு), சேர்க்கை (v.)",Addition
கூட்டல் மாறிலி,Addition constant
முடுக்கம்-தொகை விதி,Addition law of acceleration
தூரம்-தொகை விதி,Addition law of distance
வேகம்-தொகை விதி,Addition law of velocity
திசையன்களின் தொகை,Addition of vectors
சேகரிப்பு எதிர்வினை,Addition reaction
கூடுதல் தளம்,Additional half plane
"இணைப்பு தொனி, கூடுதல் தொனி (உயிர்)",Additional tone
"சேர்க்கை, சேர்க்கை",Additive
சேர்க்கை அமைப்பு,Additive channel
இணைப்பு எழுத்துக்கள்,Additive colour
மொத்த எழுத்து செயல்முறை,Additive colour process
கூடுதல் நிரப்பு நிறம்,Additive complementary colour
சேர்க்கை மாறிலி,Additive constant
சேர்க்கை இழுவை,Additive drag
சேர்க்கை விளைவு,Additive effect
சேர்க்கை காரணி,Additive factor
சேர்க்கை செயல்பாடு,Additive function
சேர்க்கை கலவை,Additive mixing
சேர்க்கை வேர்,Additive primary
சேர்க்கை செயல்முறை,Additive process
சேர்க்கை,Additive property
சேர்க்கை குவாண்டம் எண்,Additive quantum number
சேகரிப்பு எதிர்வினை,Additive reaction
சேர்க்கை,Additivity
அடிட்ரான்,Additron
தெரியும்*,Address
முகவரி கணக்கீடு,Address computation
முகவரி,Address counter
முகவரி குறியாக்கம்,Address decoding
முகவரி வெளிப்பாடு,Address expression
முகவரித்திறன்,Address facility
முகவரிப் பட்டி,Address format
முகவரி விளக்கு,Address light
முகவரி மாற்றம்,Address modification
பதன்ஷ்,Address part
முகவரி பதிவு,Address register
முகவரி தேர்வு சுவிட்ச்,Address selection swith
முகவரி வரிசையாக்க அட்டவணை,Address table sort
உரையாற்றுதல்,Addressing
adresograph,Addressograph
முகவரி அமைப்பு,Addresssing system
ஒட்டுதல்,Adhesion
ஒட்டுதல் அழுத்தம்,Adhesion tension
பிசின் ஆற்றல்,Adhesional energy
பிசின் தடுப்பு,Adhesive blocking
அடியாபட்,Adiabat
அடியாபாடிக்,Adiabatic
அடியாபாடிக் முடுக்கம்,Adiabatic acceleration
அடியாபாடிக் தோராயம்,Adiabatic approximation
அடியாபாட்டிக் தொகுதி குணகம்,Adiabatic bulk modulus
அடியாபாட்டிக் வெப்பமானி,Adiabatic calorimeter
அடிபயாடிக் மாற்றம்,Adiabatic change
"அடியாபாடிக் விளக்கப்படம், அடியாபாட்டிக் விளக்கப்படம்",Adiabatic chart
அடியாபாடிக் சுருக்கத்தன்மை,Adiabatic compressibility
அடியாபாடிக் சுருக்கம்,Adiabatic compression
அடியாபாடிக் கருத்தடை,Adiabatic containment
அடியாபாடிக் குளிரூட்டும் வரம்பு,Adiabatic cooling limit
அடியாபாடிக் வளைவு,Adiabatic curve
அடியாபாடிக் சிதைவு,Adiabatic deformation
அடியாபாடிக் டிமேக்னடைசேஷன்,Adiabatic demagnetisation
அடிபயாடிக் தீர்மானம்,Adiabatic dissociation
அடியாபாடிக் இடப்பெயர்ச்சி,Adiabatic drift
அடிபயாடிக் விளைவு,Adiabatic effect
அடியாபாடிக் நெகிழ்ச்சி,Adiabatic elasticity
அடியாபாடிக் நீள்வட்டம்,Adiabatic ellipse
அடியாபாட்டிக் முழு வெப்ப இழப்பு,Adiabatic enthalpy drop
அடியாபாடிக் சமன்பாடு,Adiabatic equation
அடியாபாடிக் நிலை சமன்பாடு,Adiabatic equation of state
அடியாபாடிக் சமநிலை வெப்பநிலை,Adiabatic equilibrium temperature
அடிபயாடிக் சமநிலை,Adiabatic equillibrium
அடியாபாடிக் பரவல்,Adiabatic expansion
அடியாபாடிக் சுடர் வெப்பநிலை,Adiabatic flame temperature
அடியாபாடிக் ஓட்டம்,Adiabatic flow
அடிபயாடிக் உச்சரிப்பு,Adiabatic fluctuations
அடியாபாடிக் வாயு சமன்பாடு,Adiabatic gas equation
அடியாபாடிக் சாய்வு,Adiabatic gradient
அடியாபாடிக் வெப்ப இழப்பு,Adiabatic heat drop
அடிபயாடிக் அயனியாக்கம் சாத்தியம்,Adiabatic ionization potential
அடியாபாடிக் தேய்மான விகிதம்,Adiabatic lapse rate
அடியாபாடிக் உந்த கட்டணம்,Adiabatic momentum charge
அடியாபாடிக் செயல்முறை,Adiabatic process
அடிபயாடிக் எதிர்வினை,Adiabatic reaction
அடிபயாடிக் நகர்வு,Adiabatic speed
அடியாபாடிக் சிதைவு ஆற்றல்,Adiabatic strain energy
அடியாபாடிக் உடல்,Adiabatic system
அடியாபாட்டிக் வெப்ப சாய்வு,Adiabatic temperature gradient
அடியாபாடிக் குறைப்பு,Adiabatic throttling
அடியாபாடிக் மாற்றம்,Adiabatic transformation
"ஒளிச்சேர்க்கை, கதிர்வீச்சு எதிர்ப்பு",Adiactinic
வெப்ப பற்றாக்குறை,Adiathermancy
வெப்ப காப்பு,Adiathermanous
உதவியாளர்,Adion
அருகாமை விளைவு,Adjacency effect
"அருகாமை, அருகாமை, அருகாமை",Adjacent
அருகில் உள்ள கோணம்,Adjacent angle
மூடப்பட்ட சேனல் அட்டென்யூவேஷன்,Adjacent channel attenuation
மூடப்பட்ட சுற்று,Adjacent circuit
மூடப்பட்ட கட்டம்,Adjacent phase
"இணைக்கப்பட்ட வீடியோ கேரியர், இணைக்கப்பட்ட பட கேரியர்",Adjacent picture carrier=adjacent vision carrier
மூடப்பட்ட ஒலி கேரியர்,Adjacent sound carrier
மூடப்பட்ட சேனல் தேர்வு,Adjeacent channel selectivity
மூடப்பட்ட சேனல் தடை,Adjecent channel interference
சரிசெய்யக்கூடிய மின்தேக்கி,Adjestable condenser
சரிசெய்யக்கூடிய லென்ஸ் வைத்திருப்பவர்,Adjestable lens holder
அனுசரிப்பு உருப்பெருக்கி,Adjestable magnifier
சரிசெய்யக்கூடிய அழுத்தம்,Adjestable pressure
சரிசெய்யக்கூடிய குறுகிய சுற்று,Adjestable short
சரிசெய்தல்,Adjustor
ஊடுருவல்,Admittance
ஊடுருவல் ஆபரேட்டர்,Admittance operator
உறிஞ்சுதல்*,Adsorption
முன்கூட்டியே பந்து,Advance ball
முன்னோக்கி,Advanced
மேம்படுத்தப்பட்ட கடத்தும் காது கேளாமை,Advanced conductive deafness
முன்னோக்கி சாத்தியம்,Advanced potential
முற்போக்கான அலை,Advancing wave
முற்போக்கான அலை முன்,Advancing wave front
வென்ட்ரல் வீணை,Aeolian harp
அயோலியன் தொனி,Aeolian tone
"eon (ஆண்டு), சகாப்தம்",Aeon
"அகாஷி, வைவா (வி.) ஏரியல் (பதிப்பு)",Aerial
வான்வழி வரிசை,Aerial array
ஆண்டெனா அட்டென்யூட்டர்,Aerial attenuator
ஆண்டெனா பூஸ்டர்,Aerial booster
வான்வழி கேபிள்,Aerial cable
காற்று கேமரா,Aerial camera
ஆண்டெனா சர்க்யூட் பிரேக்கர்,Aerial circuit breaker
ஆண்டெனா கட்டுப்பாட்டு பலகை,Aerial control table
ஆண்டெனா பொருத்தமற்ற சமிக்ஞை,Aerial cross talk
ஆண்டெனா ஸ்ட்ரீம்,Aerial current
ஆண்டெனா தணித்தல்,Aerial damping
