Odiya,Bengali
ସଂପୂର୍ଣ୍ଣ କ୍ଷମତା,পরম ক্ষমতা
ସଂପୂର୍ଣ୍ଣ ଉଚ୍ଚତା |,পরম উচ্চতা
ସଂପୂର୍ଣ୍ଣ ପିଗମେଣ୍ଟ |,পরম রঙ্গক
"ସଂପୂର୍ଣ୍ଣ ବିନ୍ୟାସ, ଅସ୍ପଷ୍ଟ ବିନ୍ୟାସ |","পরম কনফিগারেশন, দ্ব্যর্থহীন কনফিগারেশন"
ସଂପୂର୍ଣ୍ଣ କୁଲମ୍ବ |,পরম কুলম্ব
ସମ୍ପୂର୍ଣ୍ଣ ଅନ୍ଧକାର |,সম্পূর্ণ অন্ধকার
ସଂପୂର୍ଣ୍ଣ କାର୍ଯ୍ୟସୂଚୀ,পরম সময়সূচী
ସଂପୂର୍ଣ୍ଣ ଘନତା *,পরম ঘনত্ব*
ସଂପୂର୍ଣ୍ଣ ଜଳ ନିଷ୍କାସନ |,পরম নিষ্কাশন
ସଂପୂର୍ଣ୍ଣ EMU | (ବ elect ଦ୍ୟୁତିକ ଚୁମ୍ବକୀୟ ଏକକ),পরম ইএমইউ (ইলেক্ট্রোম্যাগনেটিক ইউনিট)
ସଂପୂର୍ଣ୍ଣ ESU | (ଷ୍ଟାଟିକ୍ ୟୁନିଟ୍),পরম ESU (স্থির শক্তি ইউনিট)
ସଂପୂର୍ଣ୍ଣ ଦକ୍ଷତା |,পরম দক্ষতা
ସଂପୂର୍ଣ୍ଣ ଇଲେକ୍ଟ୍ରୋମିଟର |,পরম ইলেক্ট্রোমিটার
ସଂପୂର୍ଣ୍ଣ ଫ୍ରିକ୍ୱେନ୍ସି ସଂପୂର୍ଣ୍ଣ ଫ୍ରିକ୍ୱେନ୍ସି |,পরম ফ্রিকোয়েন্সি পরম ফ্রিকোয়েন্সি
ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |,পরম আর্দ্রতা
ସଂପୂର୍ଣ୍ଣ ଘଟଣା,পরম ঘটনা
ସଂପୂର୍ଣ୍ଣ ପ୍ରତୀକାତ୍ମକ ସୂଚକାଙ୍କ |,পরম প্রতিসরাঙ্ক সূচক
ସଂପୂର୍ଣ୍ଣ ଅସ୍ଥିରତା |,পরম অস্থিরতা
ସଂପୂର୍ଣ୍ଣ ଅସ୍ଥିରତା |,পরম অস্থিরতা
"ସଂପୂର୍ଣ୍ଣ ତୀବ୍ରତା, ସଂପୂର୍ଣ୍ଣ ତୀବ୍ରତା |","পরম তীব্রতা, পরম তীব্রতা"
ଆଥେନିଆର ସଂପୂର୍ଣ୍ଣ ସୀମା |,অ্যাথেনিয়ার পরম সীমা
ସଂପୂର୍ଣ୍ଣ ଆଲୋକୀକରଣ ସିଲ୍ |,পরম আলোকসজ্জা সিল
ସଂପୂର୍ଣ୍ଣ ଆଲୋକ ବକ୍ର,পরম হালকা বক্ররেখা
ସଂପୂର୍ଣ୍ଣ ପରିମାଣ,পরম মাত্রা
ସଂପୂର୍ଣ୍ଣ ବାରୋମିଟର |,পরম ব্যারোমিটার
ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ,সর্বোচ্চ সর্বোচ্চ
ସଂପୂର୍ଣ୍ଣ ଚରମ,পরম চরম
ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |,পরম সর্বনিম্ন
ସଂପୂର୍ଣ୍ଣ ଗତି,পরম গতিবেগ
ସଂପୂର୍ଣ୍ଣ ଗତି,পরম গতি
ସଂପୂର୍ଣ୍ଣ ସଂଗୀତ |,পরম সঙ্গীত
ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |,পরম পর্যবেক্ষণ
ସଂପୂର୍ଣ୍ଣ ଓହମ୍ |,পরম ওম
ସଂପୂର୍ଣ୍ଣ ଆଭିମୁଖ୍ୟ,পরম অভিযোজন
ସଂପୂର୍ଣ୍ଣ ଇଲେକ୍ଟ୍ରୋନେଗେଟିଭିଟି |,পরম বৈদ্যুতিক ঋণাত্মকতা
ସଂପୂର୍ଣ୍ଣ ମାଧ୍ୟାକର୍ଷଣ |,পরম মাধ্যাকর্ষণ
ସଂପୂର୍ଣ୍ଣ ଚାପ |,পরম চাপ
ସଂପୂର୍ଣ୍ଣ ସମ୍ପତ୍ତି |,পরম সম্পত্তি
ସଂପୂର୍ଣ୍ଣ ସ୍କାଲାର୍ |,পরম স্কেলার
ତାପମାତ୍ରାର ଚରମ ମାପ *,তাপমাত্রার পরম স্কেল*
"ସଂପୂର୍ଣ୍ଣ ସିଙ୍କ୍ରୋନି, ସଂପୂର୍ଣ୍ଣ ସିଙ୍କ୍ରୋନି |","পরম সমলয়, পরম সমলয়"
ସଂପୂର୍ଣ୍ଣ ଚାପ |,পরম চাপ
ସଂପୂର୍ଣ୍ଣ ସମୃଦ୍ଧତା |,পরম প্রতিসাম্য
ସଂପୂର୍ଣ୍ଣ ଗତି ଶରୀର |,পরম গতি শরীর
ସଂପୂର୍ଣ୍ଣ ୟୁନିଟ୍ ସିଷ୍ଟମ୍ |,পরম ইউনিট সিস্টেম
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,পরম তাপমাত্রা
ସଂପୂର୍ଣ୍ଣ ସମୟ |,পরম সময়
ସଂପୂର୍ଣ୍ଣ ଏକକ |,পরম একক
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,পরম মান
ପୂର୍ଣ୍ଣ କାଲକୁଲେଟର,পূর্ণসংখ্যা ক্যালকুলেটর
ସଂପୂର୍ଣ୍ଣ ବେଗ,পরম বেগ
ସଂପୂର୍ଣ୍ଣ ସାନ୍ଦ୍ରତା |,পরম সান্দ্রতা
ସଂପୂର୍ଣ୍ଣ ଓଜନ |,পরম ওজন
ସଂପୂର୍ଣ୍ଣ ଶୂନ *,পরম শূন্য*
ଶୂନ୍ୟର ସଂପୂର୍ଣ୍ଣ ବିଭାଜନକାରୀ |,শূন্যের পরম ভাজক
ଶୋଷଣ,শোষণ করা
ଅବସାଦ ସୂଚକାଙ୍କ *,শোষণ সূচক*
ଶୋଷିତ ଶକ୍ତି,শোষিত শক্তি
"ଶୋଷକ, ଶୋଷକ","শোষক, শোষক"
ଅବଶୋଷକ ମାଧ୍ୟମ *,শোষক মাধ্যম*
ଅବଶୋଷଣ କ୍ଷମତା |,শোষণ ক্ষমতা
ଅବସାଦ |,শোষণ
ଶୋଷଣକାରୀ *,শোষণ যন্ত্র*
ଶୋଷଣକାରୀ *,শোষণমিতি*
ଅବଶୋଷଣ,শোষণ
ଅବଶୋଷଣ - ବ୍ୟାଣ୍ଡ *,শোষণ - ব্যান্ড*
ଅବଶୋଷଣ ସର୍କିଟ |,শোষণ সার্কিট
ଶୋଷଣ ଗୁଣବତ୍ତା,শোষণ গুণাঙ্ক
ଅବଶୋଷଣ ସ୍ତମ୍ଭ,শোষণ কলাম
ଅବଶୋଷଣ ସ୍ଥିର |,শোষণ ধ্রুবক
ଅବଶୋଷଣ କ୍ରମାଗତ |,শোষণ ধারাবাহিকতা
ଅବଶୋଷଣ ଜୋନ୍ |,শোষণ অঞ্চল
ଅବଶୋଷଣ କରେଣ୍ଟ |,শোষণ বর্তমান
ଅବଶୋଷଣ ବକ୍ର *,শোষণ বক্ররেখা*
ଅବଶୋଷଣ ଭଙ୍ଗା |,শোষণ ফ্র্যাকচার
ଅବଶୋଷଣ କୋର୍ |,শোষণ কোর
ଅବଶୋଷଣ କାରକ |,শোষণ ফ্যাক্টর
ଅବଶୋଷଣ ଫିଲ୍ଟର୍ |,শোষণ ফিল্টার
ଅବଶୋଷଣ ଫ୍ଲେମ୍ ଫୋଟୋମେଟ୍ରି *,শোষণ শিখা ফটোমেট্রি*
ଅବଶୋଷଣ ହାଇଗ୍ରୋମିଟର |,শোষণ হাইগ্রোমিটার
ଅବଶୋଷଣ ପ୍ରଦର୍ଶକ |,শোষণ সূচক
ଶୋଷଣ ମାର୍ଜିନ,শোষণ প্রান্তিক
ଅବଶୋଷଣ ରେଖା |,শোষণ লাইন
ଅବଶୋଷଣ କ୍ଷତି |,শোষণ ক্ষতি
ଅବଶୋଷଣ ମଡ୍ୟୁଲେସନ୍ |,শোষণ মড্যুলেশন
ହାଲୁକା ଅବଶୋଷଣ |,আলো শোষণ
ବିକିରଣ ଶକ୍ତିର ଅବଶୋଷଣ |,বিকিরণ শক্তি শোষণ
ଅବଶୋଷଣ ଶିଖର |,শোষণ শিখর
ଅବଶୋଷଣ ଫୋଟୋମେଟ୍ରି |,শোষণ ফটোমেট্রি
ଅବଶୋଷଣ ଅନୁପାତ |,শোষণ অনুপাত
ଅବଶୋଷଣ ପରିସର *,শোষণ পরিসীমা*
ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ ଫୋଟୋମେଟ୍ରି *,শোষণ স্পেকট্রাম ফটোমেট্রি*
ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ *,শোষণ বর্ণালী*
"ଅବଶୋଷଣ ଟ୍ୟୁବ୍, ଅବଶୋଷଣ ଟ୍ୟୁବ୍ |","শোষণ নল, শোষণ নল"
ଅବଶୋଷଣ ହାଇଗ୍ରୋମିଟର |,শোষণ হাইগ্রোমিটার
ଶୋଷଣକାରୀ *,শোষক*
ଶୋଷକ ବାଷ୍ପୀକରଣକାରୀ |,শোষক বাষ্পীভবনকারী
ଅବଶୋଷଣ ନିୟମ *,শোষণ আইন*
ଅବଶୋଷଣ ମାଧ୍ୟମ |,শোষণ মাধ্যম
"ଅବଶୋଷଣ କ୍ଷମତା, ଅବଶୋଷଣ *","শোষণ ক্ষমতা, শোষণ*"
ଅବସାଦ *,শোষণ*
ଷ୍ଟୁଡିଓ ସାଜସଜ୍ଜା |,স্টুডিও সজ্জা
ବହୁଗୁଣ ଅନୁପାତ |,বহুগুণ অনুপাত
abvolt,বিভ্রান্তি
ବିଷୟରେ,সম্পর্কিত
ତ୍ୱରାନ୍ୱିତ କର |,ত্বরান্বিত করা
ତ୍ୱରଣ-ସ୍ଥଗିତ ଦୂରତା |,ত্বরণ-স্টপ দূরত্ব
ଶୀଘ୍ର ଶୀଘ୍ର,তাড়াতাড়ি
ଶୀଘ୍ର ସମୟ ପ୍ରଭାବ ପରୀକ୍ଷା |,দ্রুত সময়ের প্রভাব পরীক্ষা
ଶୀଘ୍ର ପ୍ରବାହ,দ্রুত প্রবাহ
ଦ୍ରୁତ ଗତି,দ্রুত গতি
ଶୀଘ୍ର ଶରୀର,দ্রুত শরীর
ତ୍ୱରଣକାରୀ ଓଜନ,এক্সিলারেটর ওজনকারী
ତ୍ୱରକ ଇଲେକ୍ଟ୍ରୋଡ୍ *,এক্সিলারেটর ইলেক্ট্রোড*
ତ୍ୱରକ ସମୟ *,এক্সিলারেটরের সময়*
ତ୍ୱରକ ପର୍ଯ୍ୟାୟ |,এক্সিলারেটর ফেজ
ତ୍ୱରଣକାରୀ ହାର,অ্যাক্সিলারেটর হার
ତ୍ୱରକ ଭୋଲଟେଜ୍ *,এক্সিলারেটর ভোল্টেজ*
ତ୍ୱରଣ,ত্বরণ
ତ୍ୱରିତ ଜାଳେଣି |,ত্বরিত জ্বলন
ତ୍ୱରଣ ଗୁଣବତ୍ତା,ত্বরণ সহগ
ତ୍ୱରଣ ଉପାଦାନ,ত্বরণ উপাদান
ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |,মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি
ତ୍ୱରଣ କାରକ,ত্বরণ ফ্যাক্টর
ତ୍ୱରିତ ଚାର୍ଜ |,ত্বরিত চার্জ
ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ,অভিকর্ষের ত্বরণ
ତ୍ୱରଣ ସମ୍ଭାବନା |,ত্বরণ সম্ভাবনা
ତ୍ୱରଣ ନିୟମ,ত্বরণ আইন
ତ୍ୱରଣ ପ୍ରକ୍ରିୟା,ত্বরণ প্রক্রিয়া
ତ୍ୱରଣ କ୍ଷେତ୍ର,ত্বরণ অঞ্চল
ତ୍ୱରଣ ପଦ୍ଧତି,ত্বরণ পদ্ধতি
"ତ୍ୱରଣ ସହନଶୀଳତା, ତ୍ୱରଣ ସହନଶୀଳତା |","ত্বরণ সহনশীলতা, ত্বরণ সহনশীলতা"
ତ୍ୱରଣ ଭେକ୍ଟର,ত্বরণ ভেক্টর
ତ୍ୱରଣ-ଭୋଲଟେଜ୍,ত্বরণ-ভোল্টেজ
ତ୍ୱରଣ ତରଙ୍ଗ,ত্বরণ তরঙ্গ
ତ୍ୱରକ,এক্সিলারেটর
"ତ୍ୱରାନ୍ୱିତ, ତ୍ୱରକ *","ত্বরণ, ত্বরণক*"
ତ୍ୱରକ ସମୀକରଣ |,অ্যাক্সিলারেটর সমীকরণ
ତ୍ୱରକ *,এক্সিলারেটর*
ଆକ୍ସିଲେରୋମିଟର,অ্যাক্সিলোমিটার
ଆକ୍ସିଲେରୋମିଟର ମେଳ |,অ্যাক্সিলোমিটার মিল
ସମ୍ମାନ,prestresser
ବ valid ଧ ବର୍ଣ୍ଣଗୁଡିକ |,বৈধ অক্ষর
ଗ୍ରହଣ କୋଣ,গ্রহণযোগ্যতা কোণ
ଗ୍ରହଣ ନିର୍ଦ୍ଦିଷ୍ଟକରଣ |,গ্রহণযোগ্যতা স্পেসিফিকেশন
ଗ୍ରହଣୀୟ ପରୀକ୍ଷା,গ্রহণযোগ্য পরীক্ষা
"ଗ୍ରହଣକାରୀ *, ଗ୍ରହଣକାରୀ","গ্রহণকারী*, গ্রহণকারী"
ରିସେପ୍ଟର ପରମାଣୁ |,রিসেপ্টর পরমাণু
ରିସେପ୍ଟର ବଣ୍ଡ |,রিসেপ্টর বন্ড
ରିସିଭର୍ ସର୍କିଟ୍ |,রিসিভার সার্কিট
ରିସେପ୍ଟର ସ୍ତର,রিসেপ্টর স্তর
ଦାତା ଅଣୁ,দাতা অণু
ରିସେପ୍ଟର ସମ୍ପତ୍ତି |,রিসেপ্টর সম্পত্তি
ରିସେପ୍ଟର ସମ୍ପତ୍ତି ସ୍ତର |,রিসেপ্টর সম্পত্তি স্তর
ତ୍ୱରକ ହୋସ୍ |,অ্যাক্সিলারেটর পায়ের পাতার মোজাবিশেষ
"ପ୍ରବେଶ, ଅପେକ୍ଷା, ପ୍ରବେଶ","অ্যাক্সেস, অপেক্ষা, অ্যাক্সেস"
ଭୁଜ୍ ପ୍ରବେଶ କରନ୍ତୁ |,ভুজ অ্যাক্সেস করুন
ଆକ୍ସେସ୍ ସିଷ୍ଟମ୍ |,অ্যাক্সেস সিস্টেম
ପ୍ରବେଶ ସମୟ,প্রবেশাধিকার সময়
ଅଭିଗମ୍ୟତା,অ্যাক্সেসযোগ্যতা
"ଅତିରିକ୍ତ, ସହାୟକ, ଆନୁଷଙ୍ଗିକ (v, ), ଆନୁଷଙ୍ଗିକ |","অতিরিক্ত, সহায়ক, আনুষঙ্গিক (v, ), আনুষাঙ্গিক"
ଅତିରିକ୍ତ ପ୍ରତିବନ୍ଧକ |,অতিরিক্ত সীমাবদ্ধতা
ସୁଯୋଗ ସମକକ୍ଷ |,কাকতালীয়
ଆକସ୍ମିକ ସଂଶୋଧନ |,আকস্মিক সংশোধন
ଆକସ୍ମିକ ବାୟୋଜେନେସିସ୍ |,দুর্ঘটনাজনিত বায়োজেনেসিস
ଆକସ୍ମିକ ବିଭ୍ରାଟ |,আকস্মিক ডাইভারশন
ପରିଦର୍ଶକ ତ୍ରୁଟି |,ভিজিটর ত্রুটি
"ହଠାତ୍ ବନ୍ଦ, ଆକସ୍ମିକ ବନ୍ଦ |","হঠাৎ বন্ধ, হঠাৎ বাতা"
ଆକସ୍ମିକ ସଂକ୍ରମଣ,দুর্ঘটনাজনিত সংক্রমণ
ଅନିୟମିତ ଭିନ୍ନତା |,এলোমেলো পার্থক্য
ଆଡଜଷ୍ଟମେଣ୍ଟ୍,সমন্বয়
ସ୍ଥିତ,অবস্থিত
ସଂଗୃହିତ ତ୍ରୁଟି |,সঞ্চিত ত্রুটি
"ଜମା, ଜମା","accumulation, accumulation"
ଶକ୍ତି ସଂରକ୍ଷଣ,শক্তি সঞ্চয়
ଜମାକାରୀ *,সঞ্চয়ক*
ସଠିକତା,সঠিকতা
ବାସ୍ତବତା,বাস্তবতা
ପ୍ରକୃତ ଯନ୍ତ୍ରର ପର୍ଯ୍ୟବେକ୍ଷଣ |,বাস্তব যন্ত্র পর্যবেক্ষণ
ସଠିକ୍ ପରିସର ମାର୍କର |,সঠিক পরিসীমা চিহ্নিতকারী
ସଠିକତା ସ୍କାନିଂ |,নির্ভুলতা স্ক্যানিং
ଅଭ୍ୟାସ କର |,অনুশীলন করা
ତ୍ୱରକ କକ୍ଷ *,এক্সিলারেটর সেল*
ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ *,অ্যাক্রোমেটিক লেন্স*
ଆକ୍ରୋମାଟିକ୍ *,অ্যাক্রোমেটিক*
ଆକ୍ରୋମାଟିକ୍ ଆନାଲିଜର୍ |,অ্যাক্রোম্যাটিক বিশ্লেষক
ଫ୍ରିକ୍ୱେନ୍ସି ନିରପେକ୍ଷ ଆଣ୍ଟେନା |,ফ্রিকোয়েন্সি নিরপেক্ষ অ্যান্টেনা
ଆକ୍ରୋମାଟିକ୍ ଆକୃତି |,অ্যাক্রোমেটিক আকৃতি
ଆକ୍ରୋମାଟିକ୍ ଫ୍ରିଙ୍ଗ୍ |,অ্যাক্রোম্যাটিক ফ্রিঞ্জ
ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ *,অ্যাক্রোমেটিক লেন্স*
ଆକ୍ରୋମାଟିକ୍ ପଏଣ୍ଟ ପଥ |,অ্যাক্রোম্যাটিক পয়েন্ট পাথ
ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |,অ্যাক্রোম্যাটিক লেন্স
ଆକ୍ରୋମାଟିକ୍ ପ୍ରିଜିମ୍ |,অ্যাক্রোমেটিক প্রিজম
ଆକ୍ରୋମାଟିକ୍ ଟେଲିସ୍କୋପ୍ |,অ্যাক্রোম্যাটিক টেলিস্কোপ
ଆକ୍ରୋମାଟିଟି *,বর্ণহীনতা*
ଆକ୍ରୋମାଟାଇଜେସନ୍ *,অ্যাক্রোমাটাইজেশন*
ଆକ୍ରୋମାଟିଟି *,বর্ণহীনতা*
"ଇଲାଷ୍ଟିକ୍, ଅପ୍ରାକୃତିକ, ଚିତ୍ତାକର୍ଷକ |","স্থিতিস্থাপক, অবাধ্য, অবাধ্য"
"ଆକୋରନ୍ ହୋସ୍, ବାଞ୍ଜୁ ହୋସ୍ |","আকর্ণ হোস, বানজু হোস"
କ୍ଷୁଦ୍ର ଭଲଭ୍ |,ক্ষুদ্রাকৃতির ভালভ
ଇକୋଫୋନି |,ইকোফোনি
ଶବ୍ଦ,শাব্দিক
ଆକାଶବାଣୀ ଅବଶୋଷଣ |,শাব্দ শোষণ
ଆକାଶବାଣୀ ଆଟେଣ୍ଡେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,অ্যাকোস্টিক অ্যাটেন্যুয়েশন সহগ
ଆକାଶବାଣୀ,অ্যাকোস্টিক অ্যাটেন্যুয়েশন
ଶବ୍ଦ ଚୋର ଆଲାର୍ମ |,শাব্দ চোর অ্যালার্ম
ଆକାଶବାଣୀ କ୍ଷମତା |,অ্যাকোস্টিক ক্যাপাসিট্যান্স
ଶ୍ରବଣ କେନ୍ଦ୍ର,শ্রবণ কেন্দ্র
ଆକାଶବାଣୀ ବ୍ୟାଖ୍ୟା,শাব্দ ব্যাখ্যা
ଶବ୍ଦ କଭର |,শাব্দ আবরণ
ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |,শাব্দ প্রতিক্রিয়া
ଆକାଶବାଣୀ ଉପାଦାନ |,শাব্দিক উপাদান
ଆକାଶବାଣୀ,শাব্দ পরিবাহিতা
ଆକାଶବାଣୀ ଡମ୍ପିଂ |,শাব্দ স্যাঁতসেঁতে
ଆକାଶବାଣୀ ବିଚ୍ଛେଦ |,শাব্দ বিচ্ছুরণ
ସାଉଣ୍ଡ ହ୍ୟାକର୍ |,শব্দ হ্যাকার
ଶବ୍ଦ ଶକ୍ତି *,শাব্দ শক্তি*
ଶବ୍ଦ ଶକ୍ତି ସମୀକରଣ |,শাব্দ শক্তি সমীকরণ
ଆକାଶବାଣୀ ସମୀକରଣ |,শাব্দিক সমীকরণ
ଶବ୍ଦ ପୁନ st ସ୍ଥାପନ |,শাব্দ পুনঃস্থাপন
କ୍ଲାଡନି ଆକୃତି |,ক্ল্যাডনি আকার
ଶବ୍ଦ ଫିଲ୍ଟର୍ |,শাব্দ ফিল্টার
ଶବ୍ଦ ଜେନେରେଟର,শব্দ জেনারেটর
ଆକାଶବାଣୀ,শাব্দ ঝাঁঝরি
ଶବ୍ଦଗତ ପ୍ରତିରୋଧ *,শব্দের সংরোধ*
ଶବ୍ଦଗତ ନିଷ୍କ୍ରିୟତା |,শাব্দিক জড়তা
ଶବ୍ଦ ତୀବ୍ରତା |,শাব্দ তীব্রতা
ଆକାଶବାଣୀ ବାଧା ମିଟର |,শাব্দ হস্তক্ষেপ মিটার
ଆକାଶବାଣୀ ବାଧା ଚିହ୍ନଟକାରୀ |,শাব্দ হস্তক্ষেপ আবিষ্কারক
ଶବ୍ଦ ଲେନ୍ସ |,শাব্দ লেন্স
ଧ୍ୱନି ରେଖା |,শব্দ লাইন
ଆକାଶବାଣୀ,শাব্দ ভর
ଶବ୍ଦ ପଦାର୍ଥ |,শাব্দ উপাদান
ଶବ୍ଦର ଅର୍ଥ ହେଉଛି ମୁକ୍ତ ପଥ |,অ্যাকোস্টিক মানে মুক্ত পথ
ଆକାଶବାଣୀ ମୋଡ୍ |,শাব্দ মোড
ଶବ୍ଦ ଶବ୍ଦ,শাব্দিক শব্দ
ଆକାଶବାଣୀ ଓମ୍ *,শাব্দিক ওহম*
"ଆକାଶବାଣୀ ପ୍ୟାନେଲ୍, ଆକାଶବାଣୀ ବୋର୍ଡ |","অ্যাকোস্টিক প্যানেল, অ্যাকোস্টিক বোর্ড"
ଶବ୍ଦ ଚରଣ ସ୍ଥିର |,শাব্দ ফেজ ধ্রুবক
ଆକାଶବାଣୀ,শাব্দ রিসিভার
ଶବ୍ଦ ଚାପ,শাব্দ চাপ
ଶବ୍ଦର ସମୃଦ୍ଧ ନିୟମ |,শব্দের প্রতিসাম্য নিয়ম
ଶବ୍ଦ ସଂକ୍ରମଣ,শাব্দ সংক্রমণ
ଶବ୍ଦ ଗୁଣ,শাব্দ বৈশিষ্ট্য
ଆକାଶବାଣୀ ଚତୁର୍ଭୁଜ |,শাব্দ চতুর্ভুজ
ଆକାଶବାଣୀ ବିକିରଣ ଉପାଦାନ |,শাব্দ বিকিরণ উপাদান
ଆକାଶବାଣୀ ବିକିରଣ |,শাব্দ বিকিরণ
ସାଉଣ୍ଡ ପ୍ରୁଫ୍ |,শব্দরোধী
