Hindi,Odiya
आकाश-विपथन,ଆକାଶ ଅବକ୍ଷୟ |
एबफैराड,abfarad
एबहेनरी,ଏବେନେରୀ |
ऐबनी प्रभाव (ऐबनी नियम),ଇବୋନି ପ୍ରଭାବ |
अपसामान्य ध्रुवण,ଅସ୍ୱାଭାବିକ ପୋଲାରାଇଜେସନ୍ |
अपसामान्य संचरण,ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ
अपसामान्य परावर्तन,ପରମାନନ୍ଦ ପ୍ରତିଫଳନ |
अपसामान्य अपवर्तन*,ଅସ୍ୱାଭାବିକ ପ୍ରତିକ୍ରିୟା *
अपसामान्य प्रतिरोध,ପରମାନନ୍ଦ ପ୍ରତିରୋଧ |
ऐब-ओम,ab-om
"पूर्वपात, विफलन","ଅଗ୍ରାଧିକାର, ବିଫଳତା |"
"असंलग्न, सहसा, खड़ा, विच्छिन्न, खंडित","ସଂଲଗ୍ନ, ସାଧାରଣତ, ଠିଆ, ବିଚ୍ଛିନ୍ନ, ଖଣ୍ଡବିଖଣ୍ଡିତ |"
सहसा जंप,ବାରମ୍ବାର ଡେଇଁପଡେ |
भुज*,ହାତ *
लुप्त परावर्तन,ହଜିଯାଇଥିବା ପ୍ରତିଫଳନ |
लुप्त स्पैक्ट्रम,ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |
"निरपेक्ष, परम, अचर, परिशुद्ध","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |"
निरपेक्ष त्वरण,ସଂପୂର୍ଣ୍ଣ ତ୍ୱରଣ
निरपेक्ष यथार्थता,ସଂପୂର୍ଣ୍ଣ ବାସ୍ତବତା |
निरपेक्ष पता,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
भूसापेक्ष तुंगतामापी,ଜିଓ-ଆପେକ୍ଷିକ ଉଚ୍ଚତା |
भूसापेक्ष तुंगता,ଭ ge ଗୋଳିକ ଉଚ୍ଚତା |
निरपेक्ष ऐम्पियर,ସଂପୂର୍ଣ୍ଣ ଆମ୍ପେର୍ |
परम क्वथनांक,ସଂପୂର୍ଣ୍ଣ ଫୁଟିବା ବିନ୍ଦୁ |
निरपेक्ष तेजमापीय दीप्ति,ସଂପୂର୍ଣ୍ଣ ଉଜ୍ଜ୍ୱଳତା |
निरपेक्ष धारिता,ସଂପୂର୍ଣ୍ଣ କ୍ଷମତା
निरपेक्ष ऊँचाई,ସଂପୂର୍ଣ୍ଣ ଉଚ୍ଚତା |
निरपेक्ष वर्णाक,ସଂପୂର୍ଣ୍ଣ ପିଗମେଣ୍ଟ |
"निरपेक्ष विन्यास, असंदिग्ध विन्यास","ସଂପୂର୍ଣ୍ଣ ବିନ୍ୟାସ, ଅସ୍ପଷ୍ଟ ବିନ୍ୟାସ |"
निरपेक्ष कूलॉम,ସଂପୂର୍ଣ୍ଣ କୁଲମ୍ବ |
पूर्ण अंधकार,ସମ୍ପୂର୍ଣ୍ଣ ଅନ୍ଧକାର |
निरपेक्ष कालनिर्धारण,ସଂପୂର୍ଣ୍ଣ କାର୍ଯ୍ୟସୂଚୀ
निरपेक्ष घनत्व*,ସଂପୂର୍ଣ୍ଣ ଘନତା *
निरपेक्ष अपवहन,ସଂପୂର୍ଣ୍ଣ ଜଳ ନିଷ୍କାସନ |
निरपेक्ष इ.एम.यू. (विद्युत् चुबंकीय मात्रक),ସଂପୂର୍ଣ୍ଣ EMU | (ବ elect ଦ୍ୟୁତିକ ଚୁମ୍ବକୀୟ ଏକକ)
निरपेक्ष इ.एस.यू. (स्थिर विद्युत् मात्रक),ସଂପୂର୍ଣ୍ଣ ESU | (ଷ୍ଟାଟିକ୍ ୟୁନିଟ୍)
निरपेक्ष दक्षता,ସଂପୂର୍ଣ୍ଣ ଦକ୍ଷତା |
निरपेक्ष विद्युतमापी,ସଂପୂର୍ଣ୍ଣ ଇଲେକ୍ଟ୍ରୋମିଟର |
"निरपेक्ष बारंबारता, निरपेक्ष आवृत्ति",ସଂପୂର୍ଣ୍ଣ ଫ୍ରିକ୍ୱେନ୍ସି ସଂପୂର୍ଣ୍ଣ ଫ୍ରିକ୍ୱେନ୍ସି |
निरपेक्ष आर्द्रता,ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |
निरपेक्ष आपतन,ସଂପୂର୍ଣ୍ଣ ଘଟଣା
निरपेक्ष अपवर्तनांक,ସଂପୂର୍ଣ୍ଣ ପ୍ରତୀକାତ୍ମକ ସୂଚକାଙ୍କ |
निरपेक्ष अस्‍थायित्व,ସଂପୂର୍ଣ୍ଣ ଅସ୍ଥିରତା |
निरपेक्ष अस्‍थायित्व,ସଂପୂର୍ଣ୍ଣ ଅସ୍ଥିରତା |
"निरपेक्ष तीव्रता, निरपेक्ष उग्रता","ସଂପୂର୍ଣ୍ଣ ତୀବ୍ରତା, ସଂପୂର୍ଣ୍ଣ ତୀବ୍ରତା |"
शैथिल्य की निरपेक्ष सीमा,ଆଥେନିଆର ସଂପୂର୍ଣ୍ଣ ସୀମା |
निरपेक्ष ज्योतिर्मयता देहली,ସଂପୂର୍ଣ୍ଣ ଆଲୋକୀକରଣ ସିଲ୍ |
निरपेक्ष ज्योति वक्र,ସଂପୂର୍ଣ୍ଣ ଆଲୋକ ବକ୍ର
निरपेक्ष कांतिमान,ସଂପୂର୍ଣ୍ଣ ପରିମାଣ
निरपेक्ष दाबांतरमापी,ସଂପୂର୍ଣ୍ଣ ବାରୋମିଟର |
परम उच्चिष्ठ,ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ
निरपेक्ष चरम सीमांक,ସଂପୂର୍ଣ୍ଣ ଚରମ
परम निम्निष्ठ,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
निरपेक्ष संवेग,ସଂପୂର୍ଣ୍ଣ ଗତି
निरपेक्ष गति,ସଂପୂର୍ଣ୍ଣ ଗତି
निरपेक्ष संगीत,ସଂପୂର୍ଣ୍ଣ ସଂଗୀତ |
निरपेक्ष प्रेक्षण,ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |
निरपेक्ष ओम,ସଂପୂର୍ଣ୍ଣ ଓହମ୍ |
निरपेक्ष दिगविन्यास,ସଂପୂର୍ଣ୍ଣ ଆଭିମୁଖ୍ୟ
निरपेक्ष विद्युत्-शीलता,ସଂପୂର୍ଣ୍ଣ ଇଲେକ୍ଟ୍ରୋନେଗେଟିଭିଟି |
निरपेक्ष तारत्व,ସଂପୂର୍ଣ୍ଣ ମାଧ୍ୟାକର୍ଷଣ |
निरपेक्ष दाब,ସଂପୂର୍ଣ୍ଣ ଚାପ |
निरपेक्ष गुणधर्म,ସଂପୂର୍ଣ୍ଣ ସମ୍ପତ୍ତି |
निरपेक्ष अदिश,ସଂପୂର୍ଣ୍ଣ ସ୍କାଲାର୍ |
ताप का परम मापक्रम*,ତାପମାତ୍ରାର ଚରମ ମାପ *
"निरपेक्ष युगपत्ता, निरपेक्ष समकालिकता","ସଂପୂର୍ଣ୍ଣ ସିଙ୍କ୍ରୋନି, ସଂପୂର୍ଣ୍ଣ ସିଙ୍କ୍ରୋନି |"
निरपेक्ष प्रतिबल,ସଂପୂର୍ଣ୍ଣ ଚାପ |
निरपेक्ष सममिति,ସଂପୂର୍ଣ୍ଣ ସମୃଦ୍ଧତା |
निरपेक्ष गति-निकाय,ସଂପୂର୍ଣ୍ଣ ଗତି ଶରୀର |
निरपेक्ष मात्रक पद्धति,ସଂପୂର୍ଣ୍ଣ ୟୁନିଟ୍ ସିଷ୍ଟମ୍ |
परम ताप,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
निरपेक्ष काल,ସଂପୂର୍ଣ୍ଣ ସମୟ |
निरपेक्ष मात्रक,ସଂପୂର୍ଣ୍ଣ ଏକକ |
निरपेक्ष मान,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
पूर्णाक अभिकलित्र,ପୂର୍ଣ୍ଣ କାଲକୁଲେଟର
निरपेक्ष वेग,ସଂପୂର୍ଣ୍ଣ ବେଗ
निरपेक्ष श्यानता,ସଂପୂର୍ଣ୍ଣ ସାନ୍ଦ୍ରତା |
निरपेक्ष भार,ସଂପୂର୍ଣ୍ଣ ଓଜନ |
परम शून्य*,ସଂପୂର୍ଣ୍ଣ ଶୂନ *
शून्य का निरपेक्ष भाजक,ଶୂନ୍ୟର ସଂପୂର୍ଣ୍ଣ ବିଭାଜନକାରୀ |
अवशोषण करना,ଶୋଷଣ
अवशोषणांक*,ଅବସାଦ ସୂଚକାଙ୍କ *
अवशोषित ऊर्जा,ଶୋଷିତ ଶକ୍ତି
"अवशोषक, अवशोषी","ଶୋଷକ, ଶୋଷକ"
अवशोषी माध्यम*,ଅବଶୋଷକ ମାଧ୍ୟମ *
अवशोषण सामर्थ्य,ଅବଶୋଷଣ କ୍ଷମତା |
अवशोषणांश,ଅବସାଦ |
अवशोषणमापी*,ଶୋଷଣକାରୀ *
अवशोषणामिति*,ଶୋଷଣକାରୀ *
अवशोषण,ଅବଶୋଷଣ
अवशोषण - बैन्ड*,ଅବଶୋଷଣ - ବ୍ୟାଣ୍ଡ *
अवशोषण परिपथ,ଅବଶୋଷଣ ସର୍କିଟ |
अवशोषण-गुणांक,ଶୋଷଣ ଗୁଣବତ୍ତା
अवशोषण-स्तम्भ,ଅବଶୋଷଣ ସ୍ତମ୍ଭ
अवशोषण-स्थिरांक,ଅବଶୋଷଣ ସ୍ଥିର |
अवशोषण सांतत्यक,ଅବଶୋଷଣ କ୍ରମାଗତ |
अवशोषण-परिक्षेत्र,ଅବଶୋଷଣ ଜୋନ୍ |
अवशोषण-धारा,ଅବଶୋଷଣ କରେଣ୍ଟ |
अवशोषण वक्र*,ଅବଶୋଷଣ ବକ୍ର *
अवशोषण भंग,ଅବଶୋଷଣ ଭଙ୍ଗା |
अवशोषण कोर,ଅବଶୋଷଣ କୋର୍ |
अवशोषण गुणक,ଅବଶୋଷଣ କାରକ |
अवशोषण फिल्टर,ଅବଶୋଷଣ ଫିଲ୍ଟର୍ |
अवशोषण ज्वाला प्रकाशमिति*,ଅବଶୋଷଣ ଫ୍ଲେମ୍ ଫୋଟୋମେଟ୍ରି *
अवशोषण आर्द्रतामापी,ଅବଶୋଷଣ ହାଇଗ୍ରୋମିଟର |
अवशोषण घातांक,ଅବଶୋଷଣ ପ୍ରଦର୍ଶକ |
अवशोषण सीमांत,ଶୋଷଣ ମାର୍ଜିନ
अवशोषण रेखा,ଅବଶୋଷଣ ରେଖା |
अवशोषणजन्य हानि,ଅବଶୋଷଣ କ୍ଷତି |
अवशोषण माडुलन,ଅବଶୋଷଣ ମଡ୍ୟୁଲେସନ୍ |
प्रकाश अवशोषण,ହାଲୁକା ଅବଶୋଷଣ |
विकिरण ऊर्जा का अवशोषण,ବିକିରଣ ଶକ୍ତିର ଅବଶୋଷଣ |
अवशोषण शिखर,ଅବଶୋଷଣ ଶିଖର |
अवशोषण प्रकाशमिति,ଅବଶୋଷଣ ଫୋଟୋମେଟ୍ରି |
अवशोषण अनुपात,ଅବଶୋଷଣ ଅନୁପାତ |
अवशोषण श्रेणी*,ଅବଶୋଷଣ ପରିସର *
अवशोषण स्पेक्ट्रम प्रकाशमिति*,ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ ଫୋଟୋମେଟ୍ରି *
अवशोषण स्पेक्ट्रम*,ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ *
"अवशोषण नली, अवशोषण नाल","ଅବଶୋଷଣ ଟ୍ୟୁବ୍, ଅବଶୋଷଣ ଟ୍ୟୁବ୍ |"
अवशोषण तरगमापी,ଅବଶୋଷଣ ହାଇଗ୍ରୋମିଟର |
अवशोषी*,ଶୋଷଣକାରୀ *
अवशोषी क्षीणकारी,ଶୋଷକ ବାଷ୍ପୀକରଣକାରୀ |
अवशोषण नियम*,ଅବଶୋଷଣ ନିୟମ *
अवशोषण माध्यम,ଅବଶୋଷଣ ମାଧ୍ୟମ |
"अवशोषण क्षमता, अवशोषकता*","ଅବଶୋଷଣ କ୍ଷମତା, ଅବଶୋଷଣ *"
अवशोषकता*,ଅବସାଦ *
स्टूडिओ सज्जा,ଷ୍ଟୁଡିଓ ସାଜସଜ୍ଜା |
बाहुल्य अनुपात,ବହୁଗୁଣ ଅନୁପାତ |
ऐबवोल्ट,abvolt
ऐबवाट,ବିଷୟରେ
त्वरित करना,ତ୍ୱରାନ୍ୱିତ କର |
त्वरण-विराम दूरी,ତ୍ୱରଣ-ସ୍ଥଗିତ ଦୂରତା |
त्वरित,ଶୀଘ୍ର ଶୀଘ୍ର
त्वरित कालप्रभावन परीक्षण,ଶୀଘ୍ର ସମୟ ପ୍ରଭାବ ପରୀକ୍ଷା |
त्वरित प्रवाह,ଶୀଘ୍ର ପ୍ରବାହ
त्वरित गति,ଦ୍ରୁତ ଗତି
त्वरित निकाय,ଶୀଘ୍ର ଶରୀର
त्वरक तुला,ତ୍ୱରଣକାରୀ ଓଜନ
त्वरक इलैक्ट्रोड*,ତ୍ୱରକ ଇଲେକ୍ଟ୍ରୋଡ୍ *
त्वरक काल*,ତ୍ୱରକ ସମୟ *
त्वरक प्रावस्था,ତ୍ୱରକ ପର୍ଯ୍ୟାୟ |
त्वरक दर,ତ୍ୱରଣକାରୀ ହାର
त्वरक वोल्टता*,ତ୍ୱରକ ଭୋଲଟେଜ୍ *
त्वरण,ତ୍ୱରଣ
त्वरणिक अपदहन,ତ୍ୱରିତ ଜାଳେଣି |
त्वरण गुणांक,ତ୍ୱରଣ ଗୁଣବତ୍ତା
त्वरण घटक,ତ୍ୱରଣ ଉପାଦାନ
गुरूत्वीय त्वरण,ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |
त्वरण गुणक,ତ୍ୱରଣ କାରକ
त्वरणिक प्रतिभरण,ତ୍ୱରିତ ଚାର୍ଜ |
गुरूत्व त्वरण,ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ
त्वरण विभव,ତ୍ୱରଣ ସମ୍ଭାବନା |
त्वरण-नियम,ତ୍ୱରଣ ନିୟମ
त्वरण-प्रक्रम,ତ୍ୱରଣ ପ୍ରକ୍ରିୟା
त्वरण प्रेदश,ତ୍ୱରଣ କ୍ଷେତ୍ର
त्वरण प्रविधी,ତ୍ୱରଣ ପଦ୍ଧତି
"त्वरण सहिष्णुता, त्वरण सहनसीमा","ତ୍ୱରଣ ସହନଶୀଳତା, ତ୍ୱରଣ ସହନଶୀଳତା |"
त्वरण-सदिश,ତ୍ୱରଣ ଭେକ୍ଟର
त्वरण-वोल्टता,ତ୍ୱରଣ-ଭୋଲଟେଜ୍
त्वरण तरंग,ତ୍ୱରଣ ତରଙ୍ଗ
त्वरक,ତ୍ୱରକ
"त्वरित्र, त्वरक*","ତ୍ୱରାନ୍ୱିତ, ତ୍ୱରକ *"
त्वरक समीकरण,ତ୍ୱରକ ସମୀକରଣ |
त्वरणलेखी*,ତ୍ୱରକ *
त्वरणमापी,ଆକ୍ସିଲେରୋମିଟର
त्वरणमापीय सुमेलन,ଆକ୍ସିଲେରୋମିଟର ମେଳ |
प्राक्प्रबलक,ସମ୍ମାନ
मान्य वर्ण,ବ valid ଧ ବର୍ଣ୍ଣଗୁଡିକ |
स्वीकरण-कोण,ଗ୍ରହଣ କୋଣ
स्वीकरण-विनिर्देश,ଗ୍ରହଣ ନିର୍ଦ୍ଦିଷ୍ଟକରଣ |
स्वीकारी परीक्षण,ଗ୍ରହଣୀୟ ପରୀକ୍ଷା
"ग्राही*, स्वीकारी","ଗ୍ରହଣକାରୀ *, ଗ୍ରହଣକାରୀ"
ग्राही परमाणु,ରିସେପ୍ଟର ପରମାଣୁ |
ग्राही आबंध,ରିସେପ୍ଟର ବଣ୍ଡ |
ग्राही परिपथ,ରିସିଭର୍ ସର୍କିଟ୍ |
ग्राही स्तर,ରିସେପ୍ଟର ସ୍ତର
आदाता अणु,ଦାତା ଅଣୁ
ग्राही गुणधर्म,ରିସେପ୍ଟର ସମ୍ପତ୍ତି |
ग्राही गुणधर्म तल,ରିସେପ୍ଟର ସମ୍ପତ୍ତି ସ୍ତର |
त्वरक नली,ତ୍ୱରକ ହୋସ୍ |
"अभिगम, प्रतीक्षा, अभिगम्यता","ପ୍ରବେଶ, ଅପେକ୍ଷା, ପ୍ରବେଶ"
अभिगम भुज,ଭୁଜ୍ ପ୍ରବେଶ କରନ୍ତୁ |
अभिगम-तंत्र,ଆକ୍ସେସ୍ ସିଷ୍ଟମ୍ |
अभिगम काल,ପ୍ରବେଶ ସମୟ
अभिगम्यता,ଅଭିଗମ୍ୟତା
"अतिरिक्त, सहायक, गौण (वि, ), उपसाधन","ଅତିରିକ୍ତ, ସହାୟକ, ଆନୁଷଙ୍ଗିକ (v, ), ଆନୁଷଙ୍ଗିକ |"
अतिरिक्त प्रतिबन्ध,ଅତିରିକ୍ତ ପ୍ରତିବନ୍ଧକ |
संयोगी संपात,ସୁଯୋଗ ସମକକ୍ଷ |
संयोगी संपात-संशोधन,ଆକସ୍ମିକ ସଂଶୋଧନ |
आकस्मिक द्विजनन,ଆକସ୍ମିକ ବାୟୋଜେନେସିସ୍ |
आकस्मिक द्विअपवर्तन,ଆକସ୍ମିକ ବିଭ୍ରାଟ |
आगन्तुक त्रुटि,ପରିଦର୍ଶକ ତ୍ରୁଟି |
"आकस्मिक रोक, आकस्मिक जकड़","ହଠାତ୍ ବନ୍ଦ, ଆକସ୍ମିକ ବନ୍ଦ |"
आकस्मिक संचारण,ଆକସ୍ମିକ ସଂକ୍ରମଣ
आकस्मिक विचरण,ଅନିୟମିତ ଭିନ୍ନତା |
समंजन,ଆଡଜଷ୍ଟମେଣ୍ଟ୍
प्रतिस्थित,ସ୍ଥିତ
संचित त्रुटि,ସଂଗୃହିତ ତ୍ରୁଟି |
"संचय, संचयन","ଜମା, ଜମା"
ऊर्जा संचय,ଶକ୍ତି ସଂରକ୍ଷଣ
संचायक*,ଜମାକାରୀ *
यथार्थता,ସଠିକତା
यथार्थ,ବାସ୍ତବତା
यथार्थ उपकरण प्रेक्षण,ପ୍ରକୃତ ଯନ୍ତ୍ରର ପର୍ଯ୍ୟବେକ୍ଷଣ |
यथार्थ परास चिह्नक,ସଠିକ୍ ପରିସର ମାର୍କର |
यथार्थ क्रमवीक्षण,ସଠିକତା ସ୍କାନିଂ |
अभ्यसन,ଅଭ୍ୟାସ କର |
त्वरक कोष्ठ*,ତ୍ୱରକ କକ୍ଷ *
अवर्णक लेन्स*,ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ *
अवर्णक*,ଆକ୍ରୋମାଟିକ୍ *
अवर्णक विश्लेषक,ଆକ୍ରୋମାଟିକ୍ ଆନାଲିଜର୍ |
आवृत्ति निरपेक्ष ऐन्टेना,ଫ୍ରିକ୍ୱେନ୍ସି ନିରପେକ୍ଷ ଆଣ୍ଟେନା |
अवर्णक आकृति,ଆକ୍ରୋମାଟିକ୍ ଆକୃତି |
अवर्णक फ्रिंज,ଆକ୍ରୋମାଟିକ୍ ଫ୍ରିଙ୍ଗ୍ |
अवर्णक लेन्स*,ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ *
अवर्णक बिन्दु पथ,ଆକ୍ରୋମାଟିକ୍ ପଏଣ୍ଟ ପଥ |
अवर्णक अभिदृश्य लेन्स,ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |
अवर्णक प्रिज़्म,ଆକ୍ରୋମାଟିକ୍ ପ୍ରିଜିମ୍ |
अवर्णक दूरदर्शक,ଆକ୍ରୋମାଟିକ୍ ଟେଲିସ୍କୋପ୍ |
अवर्णकता*,ଆକ୍ରୋମାଟିଟି *
अवर्णीकरण*,ଆକ୍ରୋମାଟାଇଜେସନ୍ *
अवर्णकता*,ଆକ୍ରୋମାଟିଟି *
"एक्लास्टिक, अनपवर्तनिक, अवपवर्तनी","ଇଲାଷ୍ଟିକ୍, ଅପ୍ରାକୃତିକ, ଚିତ୍ତାକର୍ଷକ |"
"एकॉर्न नली, बंजु नली","ଆକୋରନ୍ ହୋସ୍, ବାଞ୍ଜୁ ହୋସ୍ |"
लघु वाल्व,କ୍ଷୁଦ୍ର ଭଲଭ୍ |
एकूफ़ोनी,ଇକୋଫୋନି |
ध्वानिक,ଶବ୍ଦ
ध्वानिक अवशोषकता,ଆକାଶବାଣୀ ଅବଶୋଷଣ |
ध्वानिक क्षीणन गुणांक,ଆକାଶବାଣୀ ଆଟେଣ୍ଡେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
ध्वानिक क्षीणनांक,ଆକାଶବାଣୀ
ध्वानिक चोर अलार्म,ଶବ୍ଦ ଚୋର ଆଲାର୍ମ |
ध्वानिक धारिता,ଆକାଶବାଣୀ କ୍ଷମତା |
श्रवण-केन्द्र,ଶ୍ରବଣ କେନ୍ଦ୍ର
ध्वानिक स्पष्टकारी,ଆକାଶବାଣୀ ବ୍ୟାଖ୍ୟା
ध्वानिक छदपट्ट,ଶବ୍ଦ କଭର |
ध्वानिक अनुवृत्ति,ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |
ध्वानिक घटक,ଆକାଶବାଣୀ ଉପାଦାନ |
ध्वानिक चालकता,ଆକାଶବାଣୀ
ध्वानिक अवमंदन,ଆକାଶବାଣୀ ଡମ୍ପିଂ |
ध्वानिक परिक्षेपण,ଆକାଶବାଣୀ ବିଚ୍ଛେଦ |
ध्वनि हासक,ସାଉଣ୍ଡ ହ୍ୟାକର୍ |
ध्वानिक ऊर्जा*,ଶବ୍ଦ ଶକ୍ତି *
ध्वनिक ऊर्जा समीकरण,ଶବ୍ଦ ଶକ୍ତି ସମୀକରଣ |
ध्वानिक समीकरण,ଆକାଶବାଣୀ ସମୀକରଣ |
ध्वानिक पुनर्निवेश,ଶବ୍ଦ ପୁନ st ସ୍ଥାପନ |
क्लैडनी आकृतियाँ,କ୍ଲାଡନି ଆକୃତି |
ध्वानिक फ़िल्टर,ଶବ୍ଦ ଫିଲ୍ଟର୍ |
ध्वनि जनित्र,ଶବ୍ଦ ଜେନେରେଟର
ध्वानिक ग्रेटिंग,ଆକାଶବାଣୀ
ध्वानिक प्रतिबाधा*,ଶବ୍ଦଗତ ପ୍ରତିରୋଧ *
ध्वानिक जड़त्व,ଶବ୍ଦଗତ ନିଷ୍କ୍ରିୟତା |
ध्वानिक तीव्रता,ଶବ୍ଦ ତୀବ୍ରତା |
ध्वानिक व्यतिकरणमापी,ଆକାଶବାଣୀ ବାଧା ମିଟର |
ध्वानिक अतिक्रमण संसूचक,ଆକାଶବାଣୀ ବାଧା ଚିହ୍ନଟକାରୀ |
ध्वानिक लेन्स,ଶବ୍ଦ ଲେନ୍ସ |
ध्वनि लाइन,ଧ୍ୱନି ରେଖା |
ध्वानिक संहति,ଆକାଶବାଣୀ
ध्वानिक सामग्री,ଶବ୍ଦ ପଦାର୍ଥ |
ध्वानिक माध्य मुक्त पथ,ଶବ୍ଦର ଅର୍ଥ ହେଉଛି ମୁକ୍ତ ପଥ |
ध्वानिक विधा,ଆକାଶବାଣୀ ମୋଡ୍ |
ध्वानिक रव,ଶବ୍ଦ ଶବ୍ଦ
ध्वानिक ओम*,ଆକାଶବାଣୀ ଓମ୍ *
"ध्वानिक पैनल, ध्वानिक पट्ट","ଆକାଶବାଣୀ ପ୍ୟାନେଲ୍, ଆକାଶବାଣୀ ବୋର୍ଡ |"
ध्वानिक प्रावस्था स्थिरांक,ଶବ୍ଦ ଚରଣ ସ୍ଥିର |
ध्वानिक उद्ग्राही,ଆକାଶବାଣୀ
ध्वानिक दाब,ଶବ୍ଦ ଚାପ
ध्वनि का समरूपता नियम,ଶବ୍ଦର ସମୃଦ୍ଧ ନିୟମ |
ध्वानिक संचरणांक,ଶବ୍ଦ ସଂକ୍ରମଣ
ध्वानिक गुणधर्म,ଶବ୍ଦ ଗୁଣ
ध्वानिक चतुर्ध्रुवी,ଆକାଶବାଣୀ ଚତୁର୍ଭୁଜ |
ध्वानिक विकिरक अवयव,ଆକାଶବାଣୀ ବିକିରଣ ଉପାଦାନ |
ध्वनिक विकिरण,ଆକାଶବାଣୀ ବିକିରଣ |
ध्वनि-विकिरक,ସାଉଣ୍ଡ ପ୍ରୁଫ୍ |
ध्वानिक-विकिरणमापी,ଆକାଶବାଣୀ ରେଡିଓମିଟର |
ध्वानिक प्रतिघात,ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |
ध्वानिक पारस्पर्य प्रमेय,ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା ଥିଓରେମ୍ |
ध्वानिक अपचयन गुणक,ଶବ୍ଦ ହ୍ରାସ କାରକ |
ध्वानिक परावर्तन गुणांक,ଆକାଶବାଣୀ ପ୍ରତିଫଳନ କୋଏଫିସିଏଣ୍ଟ୍ |
ध्वानिक अपवर्तन,ଆକାଶବାଣୀ ପ୍ରତିଫଳନ |
ध्वानिक प्रतिरोध,ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |
ध्वानिक अनुक्रियता,ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |
ध्वानिक प्रकीर्णन,ଆକାଶବାଣୀ ବିଛାଇବା |
श्रवण-बिन्दु,ଶ୍ରବଣ ବିନ୍ଦୁ |
ध्वानिक दुर्नम्यता,ଶବ୍ଦର ଦୃ id ତା |
ध्वानिक तंत्र,ଶବ୍ଦ ପ୍ରଣାଳୀ |
