Assamese,English
খ-হ বক্ৰ,B-H curve
"bias, পক্ষপাতিত্ব",Bias
বায়াছ কাৰেণ্ট,Bias current
বায়াছ ৰেজিষ্টেন্স,Bias resistor
ডাবল এন্টেনা,Biconical antenna
দ্বিমুখী লোড কাৰেণ্ট,Bidirection load current
দ্বিমুখী এন্টেনা,Bi-directional antenna
দ্বিমুখী পোহৰ নিৰ্গত কৰা ডাইঅ&#39;ড,Bidirectional LED
দ্বিমুখী থাইৰিষ্টৰ,Bidirectional thyristor
bi FET প্ৰযুক্তি,Bi-FET technology
বাই পইণ্ট ট্ৰেন্সফৰ্মাৰ,Bifilar transformer
ডাবল ফিউজন,Bifilar winding
দ্বিপাক্ষিক বৰ্তনী,Bilateral network
বাইনাৰী,Binary
বাইনাৰী যোগফল,Binary addition
বাইনাৰী বৰ্তনী,Binary circuit
বাইনাৰী ক&#39;ড কৰা দশমিক,Binary coded decimal (BCD)
বাইনাৰী ক&#39;ড কৰা দশমিক ব্যৱস্থা,Binary coded decimal system
বাইনাৰী ডাইপোল কেপাচিটৰ,Binary commutating capacitor
বাইনাৰী কেলকুলেটৰ,Binary counter
বাইনাৰী কেলকুলেটৰ,Binary counter
বাইনাৰী ডিকোডাৰ,Binary decoder
বাইনাৰী জখলা,Binary ladder
বাইনাৰী পেথ&#39;মিটাৰ,Binary odometer
বাইনাৰী অৱস্থা,Binary state
বাইনাৰী-দশমিক ডিকোডাৰ,Binary to decimal decoders
বাইনাৰী লোড,Binary weight
বাইনাৰী শব্দ,Binary word
বাইপোলাৰ,Bipolar
বাইপোলাৰ কেপাচিটৰ,Bipolar capacitor
বাইপোলাৰ ডিভাইচ,Bipolar device
বাইপোলাৰ উৎস,Bipolar power supply
বাইপোলাৰ ট্ৰেঞ্জিষ্টৰ,Bipolar transistor
বাইপোলাৰ জংচন ট্ৰেঞ্জিষ্টৰ,Bipolar junction transistor
দ্বিঘাত ফিল্টাৰ,Biquad filter
ডাবল পজিচন,Bistable
দুটা পৰ্যায়ৰ মাল্টিভাইব্ৰেটৰ,Bistable multivibratic
দ্বিমুখী ৰিলে,Bistable relay
দুটা পৰ্যায়ৰ অৱস্থা,Bistable state
দুটা অৱস্থানৰ ট্ৰিগাৰ,Bistable trigger
বিট ভুল,Bit error
বিট ভুলৰ হাৰ,Bit error rate (BER)
বিট ভুল,Bit error
bitkal ত্ৰুটি,Bit timing error
অন্ধ বাকচ,Black box
ঘনীভূত স্পন্দন,Blanking pulses
নিঃসৰণকাৰী,Bleeder
নিঃসৰণ প্ৰতিৰোধক,Bleeder resistor
অন্ধতা,Blind speed
ছেগমেণ্ট ডায়াগ্ৰাম,Block diagram
ব্লক কৰা ইম্পিডেন্স,Block impedance
ফ্ৰেগমেণ্ট ট্ৰেন্সফাৰ,Block transfer
ইন্টাৰচেপ্ট,Blocking
ৰেজিষ্টৰ কেপাচিটৰ,Blocking capacitor
ৰেজিষ্টৰ কেপাচিটৰ,Blocking capacitor
ব্লক কৰা দোলক,Blocking oscillator
ৰেজিষ্টৰ দোলক,Blocking oscillator
ৰেজিষ্টৰ ভল্টেজ,Blocking voltage
ব্ল&#39;ৱাৰ,Blower
বোড ডায়াগ্ৰাম,Bode diagram/plot
voltzmann সম্পৰ্ক,Boltzmann relation
voltzmann ধ্ৰুৱক,Boltzmann's constant
বান্ধোন,Bond
বান্ধি ৰখা ষ্ট্ৰেইন গেজ,Bonded strain gauge
স্ব-সহায়ক এম্প্লিফায়াৰ,Boot strapping amplifier
বুলিয়ান বীজগণিত,Boolean algebra
বুলিয়ান সমীকৰণ,Boolean equation
বুট ষ্ট্ৰেপন,Boot strapping
বুথৰ এলগৰিদম,Booth's algorithm
বুটষ্ট্ৰেপ প্ৰিজম বৰ্তনী,Bootstrap sweep circuit
bosscutts শাসন কৰে,Bosanquert's law
বসু-চৌধাৰী হকেনহাম (BCH) কোড,"Bose-Chaudhary-Hoeckingham
 (BCH) code"
"জপিয়াই, জপিয়াই",Bounce
বান্ধ খাই থকা ইলেক্ট্ৰন,Bound electron
bragg প্ৰতিফলক,Bragg reflector
আন্তঃসংলগ্ন তাঁৰ,Braided wire
শাখা,Branch
শাখা-প্ৰশাখা,Branching
পৰীক্ষা বৰ্ড,Bread board
ব্ৰেক জ&#39;ন,Break down region
ভল্টেজ ভাঙি যোৱা,Break down voltage
ব্ৰেকডাউন ডাইঅ&#39;ড,Breakdown diode
ভাঙন স্থিৰকৰণ,Breakdown rating
ভল্টেজ ভাঙি যোৱা,Breakdown voltage
সেঁতু,Bridge
ব্ৰীজ ৰেক্টিফায়াৰ,Bridge rectifier
বহল বেণ্ড,Broad band
সম্প্ৰচাৰ বেণ্ড,Broad cast band
নক্ষত্ৰীয় এৰে,Broad side array
সম্প্ৰচাৰ,Broadcast
সম্প্ৰচাৰ এন্টেনা,Broadcast antenna
সম্প্ৰচাৰ গ্ৰাহক,Broadcast receiver
কম্পাঙ্ক সম্প্ৰচাৰ গ্ৰাহক,Broadcast receiver frequency
সম্প্ৰচাৰ ট্ৰেন্সমিটাৰ,Broadcast transmitter
বুষ্টাৰ এন্টেনা,Booster
বাছ এন্টেনা,Bruce antenna
ব্ৰাছ বিসৰ্জন,Brush discharge
bubbling AND গেট,Bubbled AND gate
বুডবুডু বা গেট,Bubbled OR gate
বুদবুদযুক্ত স্মৃতিশক্তি,Bubble memory
ক্ষতিপূৰণমূলক ভল্টেজ,Bucking voltage
বাফাৰ,Buffer
বাফাৰ এম্প্লিফায়াৰ,Buffer amplifier
বাফাৰ বৰ্তনী,Buffer circuit
বাফাৰ অপাৰেটৰ,Buffer driver
বাফাৰ ৰেজিষ্টাৰ,Buffer register
বাল্ব,Bulb
জনসংখ্যাৰ প্ৰভাৱ,Bulk effect
মেক্ৰ&#39; অৰ্ধপৰিবাহী যন্ত্ৰ,Bulk semi-conductor device
মুঠি,Buncher
ডুব যোৱা বিনিময়,Burried crossover
ডুব যোৱা স্তৰ,Burried layer
ডুব যোৱা সংস্পৰ্শ,Burrier contact
ব্লাষ্ট এম্প্লিফায়াৰ,Burst amplifier
ব্লাষ্ট কভাৰ,Burst blanking
ব্লাষ্ট ফায়াৰিং,Burst firing
বিস্ফোৰণ দুৱাৰ এম্প্লিফায়াৰ,Burst gate amplifier
বাৰ্ষ্ট মোড,Burst mode
বিস্ফোৰণ বিভাজক,Burst separator
বিস্ফোৰণ সংকেত,Burst signal
বাৰ্ষ্ট ভুল সংশোধক ক&#39;ড,Burst-error correcting code
বাছ,Bus
বাছ বাৰ,Bus bar
বাছ সংস্থা,Bus organisation
বাছৰ মানদণ্ড,Bus standard
মাত্ৰ ক্ষণিক,Bus transient
ফিল্টাৰৰ মূল্যৰ মাখন,Butter worth filter
bnc তাঁৰ,BNC cable
বিএনচি জইণ্টাৰ,BNC connector
বাই-ৱে,By pass
বাইপাছ কেপাচিটৰ,Bypass capacitor
বাইট,Byte
ভি বেণ্ড,C band
C বেণ্ড এন্টেনা,C band antenna
তাঁৰ,Cable
তাঁৰৰ ৰুটিং,Cable routing
টেলিগ্ৰাফ টেলিভিছন,Cable version
কেশ্ব মেমৰি,Cache memory
ছিছিম ফ্ৰিকুৱেন্সি ষ্টেণ্ডাৰ্ড,Caesium frequency standard
কেলকুলেটৰ,Calculator
মানাংকন,Calibration
কল ঠিকনা,Call address
কলপিট দোলক,Colpitt's oscillator
কেম কৰ্ডাৰ,Camcorder
কেমেৰা,Camera
কেমেৰাৰ নলী,Camera tube
কেণ্ডেলা,Candela
মমবাতিৰ শক্তি,Candle power
কেন্টিলিভাৰ ষ্ট্ৰেইন গেজ,Cantilever strain gauge
ধৰি ৰখা,Capacitance
ৰক্তচাপ ট্ৰেন্সডুচাৰ,Capacitance blood pressure transducer
ধাৰণকাৰী বিতৰক,Capacitance distributor
চুক্তি ধাৰণ কৰা,Capacitance junction
ধাৰণক্ষমতা গেজ,Capacitance meter
ধৰি ৰখা সংগ্ৰাহক,Capacitance pick-up
ধাৰণক্ষমতা বিক্ৰিয়াশীলতা,Capacitive reactance
"কেপাচিটিভ এনাৰ্জি কনভাৰ্টাৰ, ট্ৰেন্সডুচাৰ",Capacitive transducer
কেপাচিটৰ,Capacitor
কেপাচিটৰ বেংক,Capacitor bank
কেপাচিটৰ ফিল্টাৰ,Capacitor filter
কেপাচিটৰ ইনপুট ফিল্টাৰ,Capacitor input filter
উইঞ্চ মটৰ,Capstan motor
পুলি চাৰ্ভো বডি,Capstan servo system
চৰখী,Capston
বন্দী কৰা,Capture
capture clause,Capture cross-section
কেপচাৰ ইফেক্ট,Capture effect
বাহক শব্দ অনুপাত,Carrier to noise ratio (CNR)
গাড়ী ৰেডিঅ&#39;,Car radio
কাৰ্বন ৰেজিষ্টৰ,Carbon resistor
কাৰ্ড ৰিডাৰ,Card reader
কাৰ্ডিঅ&#39;ইড ডায়েগ্ৰাম,Cardiod diagram
গাড়ী,Carriage
carriage return,Carriage return
বাহক,Carrier
বাহক যোগাযোগ,Carrier communication
বাহক ঘনত্ব,Carrier concentration
বাহক কম্পাঙ্ক,Carrier frequency
বাহক প্ৰজনন,Carrier generation
বাহক স্তৰ,Carrier level
বাহক জীৱন,Carrier life time
বাহক গতিশীলতা,Carrier mobility
বাহক গুণন,Carrier multiplication
বাহক শব্দৰ মাত্ৰা,Carrier noise level
বাহক পৰিসৰ,Carrier range
বাহক পুনৰুদ্ধাৰ বৰ্তনী,Carrier recovery circuits
বাহক পুনৰ সন্নিৱিষ্ট কৰা,Carrier reinsertion
পৰিবাহী বিকিৰণ,Carrier scattering
বাহক দমন,Carrier suppression
বাহক পিঞ্জৰা,Carrier trapping
বাহক বেগ,Carrier velocity
হেণ্ড বিট,Carry bit
ধাৰণ কৰা পতাকা,Carry flag
"দখলৰ পঞ্জীয়ন, দখলৰ পঞ্জী",Carry register
পৰ্টেবল জেনেৰেটৰ,Carry-generator
carson&#39;s আইন,Carson's rule
কাৰ্টিজ ফিউজ,Cartridge fuse
কাৰ্টিজ টেপ,Cartridge tape
কেৰী ফষ্টাৰ ব্ৰীজ,Carry foster bridge
ষ্টেপ এম্প্লিফায়াৰ,Cascade amplifier
গ্ৰেডেচন,Cascading
কেছকেড এম্প্লিফায়াৰ,Cascade amplifier
"কেস্কোড এম্প্লিফায়াৰ, ষ্টেপ এম্প্লিফায়াৰ",Cascode amplifier
কেছেট,Cassette
প্ৰৰোচনা,Catalysis
বন্দী কোটাৰ,Catcher cavity
কেথ&#39;ড,Cathode
কেথ&#39;ড ট্ৰেইলিং,Cathode follower
কেথ&#39;ড ট্ৰেইলিং এম্প্লিফায়াৰ,Cathode follower amplifier
কেথ&#39;ড লুমিনেন্স,Cathode luminescence
কেথ&#39;ড পদাৰ্থ,Cathode material
কেথ’ড ৰশ্মিৰ অচিলোস্কোপ,Cathode ray oscilloscope (CRO)
কেথ&#39;ড ৰশ্মিৰ নলী,Cathode ray tube (CRT)
কেথ&#39;ড কণা নিক্ষেপ,Cathode sputtering
কেথ&#39;ড লুমিনেন্স,Cathode luminescence
কুয়াৰ ফিল্টাৰ,Cauer filter
kaver ফিল্টাৰ,Caver filter
কোটৰ,Cavity
এণ্ট্ৰেল ৰেডিয়চন,Cavity radiation
কটাৰ অনুনাদক,Cavity resonator
ফেট চাৰ্জ কাপল্ড ডিভাইচ (CCD),CCD (=charge couled device) amplifier
cd ৰম,CD-ROM
cd ৰম ড্ৰাইভ,CD-ROM drive
কোষ (বেটাৰী),Cell (battery)
কেন্দ্ৰীয় সম্পদ উপাদান,Central processing element
কেন্দ্ৰীয় সম্পদ একক,Central processing unit (CPU)
কেন্দ্ৰীয় প্ৰচেছৰ,Central processor
গড় স্কেল,Central value
মধ্যম কম্পাঙ্ক,Centre frequency
মাজৰ এক্সজেষ্ট ট্ৰেন্সফৰ্মাৰ,Centre tapped transformer
"চিৰামিক, মাটি",Ceramic
চিৰামিক ভৰোৱা,Ceramic filler
চিৰামিক ফিল্টাৰ,Ceramic filter
চিৰামিক সামগ্ৰী,Ceramic material
চিৰামিক অনুনাদক,Ceramic resonator
চিৰামিক শব্দ গ্ৰাহক,Ceremic phono pick up
cerenkov কেলকুলেটৰ,Cerenkov counter
সৰমত,Cermet
চলকোজেনাইড,Chalcogenoid
কেলকোপাইৰাইট,Chalcopyrite
"চেনেল, চেনেল",Channel
চেনেল বেণ্ড সম্প্ৰসাৰণ,Channel bandwidth
চেনেল ক&#39;ডাৰ,Channel encoder
চেনেল কম্পাঙ্ক,Channel frequency
চেনেলৰ চৰিত্ৰ,Channel selector
চেনেল পৃথকীকৰণ,Channel separation
চেনেল তত্ত্ব,Channeling theory
আখৰ উৎপাদক,Character generator
চৰিত্ৰ চিনাক্তকৰণ,Character recognization
বৈশিষ্ট্যপূৰ্ণ ইম্পিডেন্স,Characteristic impedance
চাৰ্জ কেৰিয়াৰ,Charge carrier
চাৰ্জ নিয়ন্ত্ৰণ প্ৰাচল,Charge control parameter
চাৰ্জ সংযুক্ত ডিভাইচ,Charge coupled device
চাৰ্জ কাপল্ড ৰেণ্ডম এক্সেছ মেমৰি,Charge coupled random access memory
আধান ঘনত্ব,Charge density
চাৰ্জ ইনজেকচন ডিভাইচ,Charge injection device
চাৰ্জ লছ,Charge loss
চাৰ্জ পাম্পিং,Charge pumping
চাৰ্জ চেন্সিং এম্প্লিফায়াৰ,Charge sensitive amplifier
চাৰ্জ সংৰক্ষণ,Charge storage
আধানযুক্ত কণা,Charged particle
ভাবুকতা,Charger
ফ্ৰেম,Chassis
ৰবিশ্বেভ ফিল্টাৰ,Chebyshev filter
মুঠ পৰীক্ষা কৰক,Check sum
কম্পাঙ্ক পৰীক্ষা কৰক,Check up frequency
ৰাসায়নিক বন্ধন,Chemical bond
ৰাসায়নিক বাষ্প নিক্ষেপ,Chemical vapour deposition
শিশুৰ তলাৰ সুবিধা,Child lock facility
শিশুৰ আইন,Child's law
চিপ,Chip
চিপ সক্ৰিয়কৰণ,Chip enable
choke,Choke
intermittent,Choppar
মাজে মাজে এম্প্লিফায়াৰ,Chopper amplifier
মাজে মাজে এম্প্লিফায়াৰ,Chopper amplifier
মাজে মাজে মোড,Chopper mode
ক্ৰ&#39;মা এম্প্লিফায়াৰ,Chroma amplifier
বৈশিষ্ট্য নিৰ্ণয়ৰ ডায়েগ্ৰাম,Chromaticity diagram
ৰং কৰা,Chrominance
বৃত্তৰ ডায়েগ্ৰাম,Circle diagram
বৰ্তনী,Circuit
বৰ্তনী বিশ্লেষণ,Circuit analysis
বৰ্তনী ভাঙক,Circuit breaker
বৰ্তনীৰ ডায়েগ্ৰাম,Circuit diagram
বৰ্তনী সংকেত,Circuit rotation
চাৰ্কিট চুইচিং,Circuit switching
বৃত্তাকাৰ তৰংগ পথ,Circular wave guide
প্ৰচলিত স্মৃতিশক্তি,Circulating memory
বণ্ডিং বৰ্তনী,Clamping circuit
clap দোলক,Clapp oscillator
ক্লাছ A এম্প্লিফায়াৰ,Class A amplifier
ক শ্ৰেণী] খ] গ] ঘ কাৰ্য্যসমূহ,"Class A, B, C, D operation"
ক্লাছ বি এম্প্লিফায়াৰ,Class B amplifier
ক্লাছ C এম্প্লিফায়াৰ,Class C amplifier
ক্লাছ D এম্প্লিফায়াৰ,Class D amplifier
S শ্ৰেণীৰ শৰীৰ,Class S system
"বহিষ্কাৰ, পৰিষ্কাৰ",Clear
শ্বিয়াৰিং,Clipping
শ্বিয়াৰিং বৰ্তনী,Clipping circuit
calad,Clock
ঘড়ীৰ কম্পাঙ্ক,Clock frequency
ঘড়ী পালছ জেনেৰেটৰ,Clock pulse generator
কাদাল আৰ এছ ফ্লিপ ফ্লপ,Clocked RS flip-flop
বন্ধ বৰ্তনী টেলিভিছন,Closed circuit television
বন্ধ লুপ কাৰ্য্য,Closed loop operation
বন্ধ লুপ লাভ,Closed-loop gain
পৰিপূৰক ধাতুৰ অৰ্ধপৰিবাহী,CMOS (complementary MOS)
CMOS ডিভাইচ,CMOS devices
চি এম আৰ আৰ (সাধাৰণ মোড নিষ্ক্ৰিয়কৰণ অনুপাত),CMRR (common mode rejection ratio)
CO2laser,CO2 lasor
সমাক্ষীয় কেবল,Co-axial cable
সমাক্ষীয় কোটাৰ,Co-axial cavity
সমাক্ষীয় সংযোগকাৰী,Coaxial connector
"সমাক্ষীয় সংযোগকাৰী, সমাক্ষীয় সংযোগকাৰী",Co-axial connector
সমাক্ষীয় ৰেখা,Co-axial line
সমাক্ষীয় ৰেখা,Co-axial line
সমাক্ষীয় তৰংগ পথ,Co-axial wave guide
ক&#39;ড সলনি কৰা,Code conversion
ক&#39;ড চেঞ্জাৰ,Code converter
"ক&#39;ডেক, ক&#39;ডাৰ-ডিকোডাৰ",CoDEC
ষ্টেৰিঅ&#39; ক&#39;ডিং,Coding (stereo)
কাপলিং সহগ,Co efficient of coupling
নিয়ন্ত্ৰণকাৰী বল,Coercive force
সুসংহত পোহৰ,Coherent light
ৰাশিফল,Coil
কইল ৱাইণ্ডিং মেচিন,Coil winding machine
কাকতলীয়া বৰ্তনী,Coincidence circuit
গৰম কেথ&#39;ড টিউব,Cold cathode tube
ঠাণ্ডা ৱেল্ডিং পইণ্ট,Cold solder point
"সংগ্ৰাহক, সংগ্ৰাহক",Collector
সংগ্ৰহ কৰা ধাৰা,Collector current
সংগ্ৰাহক ক্ষয়,Collector dissipation
সংগ্ৰাহকৰ দক্ষতা,Collector efficiency
সমান্তৰাল লেন্স,Collimation lens
চৰিত্ৰ খচৰা প্ৰস্তুত কৰা,Color graphics
ৰং বিস্ফোৰণ,Colour burst
"ৰঙৰ ক&#39;ড, আখৰৰ ক&#39;ড",Colour code
ৰঙৰ পাৰ্থক্য সংকেত,Colour difference signals
এন্টিডট,Colour killer
ৰঙৰ মনিটৰ,Colour monitor
চৰিত্ৰৰ পুনৰুত্পাদন,Colour production
ৰঙৰ পৰিপূৰকতা,Colour saturation
ৰঙীন বাহক কম্পাঙ্ক,Colour subcarrier frequency
ৰঙীন সংকেত,Colour syne signal
ৰঙীন টেলিভিছন,Colour television
ৰঙীন টেলিভিছনৰ শৰীৰ,Colour television system
"স্তম্ভ স্পীকাৰ, স্তম্ভৰ দৰে শব্দ জমাকাৰী",Column speaker
"কম্ব ফিল্টাৰ, কম্ব ফিল্টাৰ",Comb filter
সংযোগ বৰ্তনী,Combinational circuit
কম্বিনেটৰিয়েল লজিক,Combinational logic
আদেশ,Command
সাধাৰণ ভিত্তি পৰিবৰ্ধক,Common base amplifier
সাধাৰণ ভিত্তি বিন্যাস,Common base configuration
সাধাৰণ সংগ্ৰাহক পৰিবৰ্ধক,"Common collector amplifier
 (= emitter follower)"
সাধাৰণ সংগ্ৰাহক সংৰূপ,Common collector configuration
সাধাৰণ কেপাচিটিভ এম্প্লিফায়াৰ,Common drain amplifier
