Bengali,Kannada
"যোগফল, যোগ, সমষ্টি (সম্পাদনা), যোজক (v.)","ಮೊತ್ತ, ಸಂಕಲನ, ಒಟ್ಟು (ed.), ಸಂಯೋಜಕ (v.)"
"সংযোজক স্বর, অতিরিক্ত স্বর (স্বর)","ಸಂಯೋಜಕ ಸ್ವರ, ಹೆಚ್ಚುವರಿ ಸ್ವರ (ಸ್ವರ)"
সংযোজনকারী,ಸಂಯೋಜಕ
আনুগত্য,ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
আঠালো শক্তি,ಅಂಟಿಕೊಳ್ಳುವ ಶಕ್ತಿ
adiabat,ಅಡಿಯಾಬಟ್
adiabatic,ಅಡಿಯಾಬಾಟಿಕ್
তাপ নিরোধক,ಶಾಖ ನಿರೋಧಕ
সংযুক্তি,ಬಾಂಧವ್ಯ
সামঞ্জস্যযোগ্য,ಹೊಂದಾಣಿಕೆ
অনুপ্রবেশ,ನುಗ್ಗುವಿಕೆ
শোষণ,ಹೊರಹೀರುವಿಕೆ
এগিয়ে,ಮುಂದೆ
প্রগতিশীল,ಪ್ರಗತಿಪರ
"আকাশী, ভাইভা (v.), বায়বীয় (ed.)","ಆಕಾಶಿ, ವಾಯು (ವಿ.), ವೈಮಾನಿಕ (ಸಂ)"
অ্যান্টেনা প্রবাহ,ಆಂಟೆನಾ ಸ್ಟ್ರೀಮ್
বায়বীয় জরিপ,ವೈಮಾನಿಕ ಸಮೀಕ್ಷೆ
বায়ু বেগ,ಗಾಳಿಯ ವೇಗ
এরোডাইনামিক সহগ,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಗುಣಾಂಕ
এরোডাইনামিক,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ
বায়ুগতিবিদ্যা,ವಾಯುಬಲವಿಜ್ಞಾನ
বৈমানিক,ಏರೋನಾಟಿಕಲ್
বৈমানিক,ಏರೋನಾಟಿಕ್ಸ್
বায়ু নাড়ি,ಗಾಳಿಯ ನಾಡಿ
"বায়ুমণ্ডল, গ্যাসোস্ফিয়ার","ವಾತಾವರಣ, ಅನಿಲಗೋಳ"
ফোকাস সিস্টেম,ಕೇಂದ್ರೀಕೃತ ವ್ಯವಸ್ಥೆ
পিছনে ইগনিশন,ಹಿಂಭಾಗದ ದಹನ
পিছনের আলো,ಹಿಂಬದಿ ಬೆಳಕು
আঘাত,ಕನ್ಕ್ಯುಶನ್
"বয়স, বয়স, বয়স, যুগ (সম্পাদনা), সময়কে প্রভাবিত করতে (ভার।), সময়, সময়ের দ্বারা প্রভাবিত হওয়া","ವಯಸ್ಸು, ವಯಸ್ಸು, ವಯಸ್ಸು, ಯುಗ (ed.), ಸಮಯವನ್ನು ಪ್ರಭಾವಿಸಲು (ver.), ಸಮಯ, ಸಮಯದಿಂದ ಪ್ರಭಾವಿತವಾಗಿರುತ್ತದೆ"
সময় প্রভাবিত,ಸಮಯ ಪ್ರಭಾವಿತವಾಗಿದೆ
"বার্ধক্য, বার্ধক্য","ವಯಸ್ಸಾದ, ವಯಸ್ಸಾದ"
সময়ের প্রভাব,ಸಮಯದ ಪರಿಣಾಮ
সময় প্রভাব পরীক্ষা,ಸಮಯ ಪರಿಣಾಮ ಪರೀಕ್ಷೆ
মাধ্যাকর্ষণহীন,ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಲ್ಲದ
পুনর্মিলন,ಸಮನ್ವಯ
"বায়ুবাহিত রাডার, বায়বীয় রাডার","ವಾಯುಗಾಮಿ ರಾಡಾರ್, ವೈಮಾನಿಕ ರಾಡಾರ್"
"বায়বীয় লক্ষ্য, বায়বীয় লক্ষ্য","ವೈಮಾನಿಕ ಗುರಿ, ವೈಮಾನಿಕ ಗುರಿ"
বায়ু শ্বাসযন্ত্র,ವಾಯು ಉಸಿರಾಟಕಾರಕ
এয়ার কন্ডিশনিং,ಹವಾನಿಯಂತ್ರಣ
এয়ারক্রু ট্রান্সফরমার,ಏರ್ಕ್ರೂ ಟ್ರಾನ್ಸ್ಫಾರ್ಮರ್
বিমান,ವಿಮಾನ
প্রান্তিককরণ,ಜೋಡಣೆ
প্রান্তিককরণ ত্রুটি,ಜೋಡಣೆ ದೋಷ
লাইভ সার্কিট,ಲೈವ್ ಸರ್ಕ್ಯೂಟ್
সম্পূর্ণ কাচের টিউব,ಪೂರ್ಣ ಗಾಜಿನ ಕೊಳವೆ
পুরো ধাতব টিউব,ಸಂಪೂರ್ಣ ಲೋಹದ ಕೊಳವೆ
ঠিক করতে,ಸರಿಪಡಿಸಲು
"মিসরাতু (সম্পাদনা), মিশ্রাতভান (ক্রি.)","ಮಿಶ್ರತು (ಸಂ), ಮಿಶ್ರತ್ವಾನ್ (ಸಿಆರ್.)"
mishratvan,ಮಿಶ್ರತ್ವಾನ್
সর্বব্যাপী মাধ্যম,ಸರ್ವತ್ರ ಮಾಧ್ಯಮ
ওমনি অ্যান্টেনা,ಓಮ್ನಿ ಆಂಟೆನಾ
পঞ্জিকা,ಪಂಚಾಂಗ
আলফা,ಆಲ್ಫಾ
আলফা-ক্রিয়াকলাপ,ಆಲ್ಫಾ ಚಟುವಟಿಕೆ
আলফানিউমেরিক,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್
আলফা রশ্মি,ಆಲ್ಫಾ ಕಿರಣ
পরিবর্তন,ಬದಲಾವಣೆ
"বিকল্প, বিকল্প","ಪರ್ಯಾಯ, ಪರ್ಯಾಯ"
বিকল্প,ಆವರ್ತಕ
altimeter,ಅಲ್ಟಿಮೀಟರ್
altimeter,ಅಲ್ಟಿಮೀಟರ್
অলটাইমেট্রি,ಆಲ್ಟೈಮೆಟ್ರಿ
"উচ্চতা, উচ্চতা, উচ্চতা, উচ্চতা","ಎತ್ತರ, ಎತ್ತರ, ಎತ್ತರ, ಎತ್ತರ"
অ্যারিথমেটিক রিজনিং ইউনিট (ALU),ಅಂಕಗಣಿತದ ತಾರ್ಕಿಕ ಘಟಕ (ALU)
amaget নিয়ম,ಅಮೇಟ್ ನಿಯಮ
পরিবেশ,ಪರಿಸರ
অ্যামিক্রন,ಅಮಿಕ್ರಾನ್
অ্যামিটার,ವಿದ್ಯುತ್ ಪ್ರವಾಹ ಮಾಪಕ
অ্যাম্পিয়ার,ಆಂಪಿಯರ್
অ্যাম্পিয়ার-ল,ಆಂಪಿಯರ್-ಕಾನೂನು
উভচর আয়ন,ಉಭಯಚರ ಅಯಾನು
পরিবর্ধন,ವರ್ಧನೆ
পরিবর্ধক,ಆಂಪ್ಲಿಫಯರ್
"কোণ, মাত্রা","ಕೋನ, ಆಯಾಮ"
ক এম.উ. (পারমাণবিক ভর একক),ಎ. ಎಂ.ಯು. (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ)
উপযুক্ত,ಹೊಂದಬಲ್ಲ
সাদৃশ্য,ಸಾದೃಶ್ಯ
বিশ্লেষক,ವಿಶ್ಲೇಷಕ
বিশ্লেষণ,ವಿಶ್ಲೇಷಣೆ
বিশ্লেষণাত্মক,ವಿಶ್ಲೇಷಣಾತ್ಮಕ
অ-বিন্দু,ಪಾಯಿಂಟ್ ಅಲ್ಲದ
অস্বাভাবিক,ಅಸಂಗತ
এবং দরজা,ಮತ್ತು ಬಾಗಿಲು
অ শাব্দিক,ಅಕೌಸ್ಟಿಕ್ ಅಲ್ಲದ
অস্বাভাবিক স্থিতিস্থাপকতা,ಅಸಂಗತ ಸ್ಥಿತಿಸ್ಥಾಪಕತ್ವ
নির্জল,ಜಲರಹಿತ
কোণ,ಕೋನ
অ্যাংস্ট্রম ইউনিট,ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ
কৌণিক,ಕೋನೀಯ
প্রটেক্টর ভার্নিয়ার,ಪ್ರೊಟ್ರಾಕ್ಟರ್ ವರ್ನಿಯರ್
বিতর্কিত,ವಿವಾದಾತೀತ
অসম্মান,ಗೌರವವಿಲ್ಲದ
অ্যাক্রোম্যাটিক চুম্বকীয়করণ,ವರ್ಣರಹಿತ ಕಾಂತೀಕರಣ
শিথিল,ಆಲಸ್ಯ
anion,ಅಯಾನ್
অপ্রতিসম,ಅಸಮ್ಮಿತ
আইসোট্রপিক,ಐಸೊಟ್ರೊಪಿಕ್
আইসোট্রপিজম,ಐಸೊಟ್ರೋಪಿಸಮ್
মুছে ফেলা,ಅಳಿಸುವಿಕೆ
বর্ণনাকারী,ನಿರೂಪಕ
অ্যানোড,ಆನೋಡ್
anodization,ಆನೋಡೈಸೇಶನ್
অসামঞ্জস্যপূর্ণ,ಅಸಮಂಜಸ
অপটিক্যাল সিস্টেম,ಆಪ್ಟಿಕಲ್ ಸಿಸ್ಟಮ್
অ্যান্টেনা,ಆಂಟೆನಾ
antiberion,ಆಂಟಿಬೆರಿಯನ್
বিরোধী বন্ধন সম্পত্তি,ವಿರೋಧಿ ಬಂಧ ಆಸ್ತಿ
পাল্টা বন্ড,ಕೌಂಟರ್ ಬಾಂಡ್
বিপরীত শক্তি,ಹಿಮ್ಮುಖ ಶಕ್ತಿ
ডায়ম্যাগনেটিক,ಡಯಾಮ್ಯಾಗ್ನೆಟಿಕ್
ডায়ম্যাগনেটিক উপাদান,ಡಯಾಮ್ಯಾಗ್ನೆಟಿಕ್ ವಸ್ತು
প্রদাহ বিরোধী,ವಿರೋಧಿ ಉರಿಯೂತ
বিরোধী মাধ্যাকর্ষণ,ಗುರುತ್ವ ವಿರೋಧಿ
antilamda কণা,antilamda ಕಣ
এলিলেপ্টন,ಅಲೆಲೆಪ್ಟನ್
ডায়ম্যাগনেটিক,ಕಾಂತೀಯ
প্রতিপদার্থ,ಆಂಟಿಮಾಟರ್
ক্ষেপণাস্ত্র বিরোধী,ವಿರೋಧಿ ಕ್ಷಿಪಣಿ
অ্যান্টিনিউট্রন,ಆಂಟಿನ್ಯೂಟ್ರಾನ್
স্পন্দনশীল,ಮಿಡಿಯುತ್ತಿದೆ
অ্যান্টিনিউক্লিয়ন,ಆಂಟಿನ್ಯೂಕ್ಲಿಯಾನ್
প্রতিকণা,ಪ್ರತಿಕಣ
অ্যান্টিপ্রোটন,ಆಂಟಿಪ್ರೋಟಾನ್
প্রতিফলক,ವಿರೋಧಿ ಪ್ರತಿಫಲಿತ
প্রতিসম,ಆಂಟಿಸಮ್ಮಿತೀಯ
অ পুনরাবৃত্ত,ಮರುಕಳಿಸುವುದಿಲ್ಲ
anachronism,ಅನಾಕ್ರೊನಿಸಮ್
ছিদ্রযুক্ত স্ক্যানিং ডিস্ক,ರಂದ್ರ ಸ್ಕ್ಯಾನಿಂಗ್ ಡಿಸ್ಕ್
দ্বারক,ದ್ವಾರಕ್
"শীর্ষ, শীর্ষ, সামনে","ಮೇಲ್ಭಾಗ, ಮೇಲ್ಭಾಗ, ಮುಂಭಾಗ"
"সূর্য উচ্চ, সূর্য উচ্চ, অপ্সর","ಸೂರ್ಯ ಅಧಿಕ, ಸೂರ್ಯ ಅಧಿಕ, ಅಪ್ಸೌರ್"
উদাসীন লেইস,ನಿರಾಸಕ್ತಿ ಲೇಸ್
অ করুণ,ಕರುಣಾಜನಕವಲ್ಲದ
অ-অক্ষমতা,ಅಂಗವೈಕಲ್ಯವಲ್ಲದ
খুব অ্যাক্রোমেটিক,ಬಹಳ ವರ್ಣರಹಿತ
"land-high, apogee","ಭೂಮಿ-ಎತ್ತರ, ಅಪೋಜಿ"
"nonpolar, circumpolar","ಧ್ರುವೀಯವಲ್ಲದ, ವೃತ್ತಾಕಾರದ"
parapolarity,ಪರಧ್ರುವೀಯತೆ
যন্ত্র,ಸಾಧನ
"ভার্চুয়াল, ভিজ্যুয়াল","ವಾಸ್ತವ, ದೃಶ್ಯ"
দৃশ্যমান সূর্য,ಗೋಚರ ಸೂರ್ಯ
চাক্ষুষ সময়,ದೃಶ್ಯ ಸಮಯ
উদ্ভূত চেহারা,ಹೊರಹೊಮ್ಮುವ ನೋಟ
আবেদন,ಅಪ್ಲಿಕೇಶನ್
প্রযোজ্যতা,ಅನ್ವಯಿಸುವಿಕೆ
প্রয়োগ করা,ಅನ್ವಯಿಸಲಾಗಿದೆ
পর্যবেক্ষণযোগ্য,ಗಮನಿಸಬಹುದಾದ
পন্থা,ಅನುಸಂಧಾನ
"কাছাকাছি, প্রায়","ಹತ್ತಿರ, ಸುಮಾರು"
অনুমান,ಅಂದಾಜು
বাষ্পের চাপ,ಆವಿಯ ಒತ್ತಡ
স্বেচ্ছায়,ಸ್ವಯಂಪ್ರೇರಿತ
"চাপ চুল্লি, চাপ চুল্লি","ಆರ್ಕ್ ಫರ್ನೇಸ್, ಆರ್ಕ್ ಫರ್ನೇಸ್"
আর্কিমিডিসের আইন,ಆರ್ಕಿಮಿಡಿಸ್ ಕಾನೂನು
স্থাপত্য শাব্দবিদ্যা,ವಾಸ್ತುಶಿಲ್ಪದ ಅಕೌಸ್ಟಿಕ್ಸ್
চাপ বাতি,ಆರ್ಕ್ ದೀಪ
আর্ক-স্পেকট্রাম,ಆರ್ಕ್-ಸ್ಪೆಕ್ಟ್ರಮ್
"এলাকা, এলাকা","ಪ್ರದೇಶ, ಪ್ರದೇಶ"
"আঞ্চলিক, আঞ্চলিক","ಪ್ರಾದೇಶಿಕ, ಪ್ರಾದೇಶಿಕ"
"হাত, বাহু, শাখা","ತೋಳು, ತೋಳು, ಶಾಖೆ"
অপেশাদার,ಹವ್ಯಾಸಿ
"অ্যারে, অ্যারে","ವ್ಯೂಹ, ವ್ಯೂಹ"
রিসিভার,ರಿಸೀವರ್
উচ্চারণ স্বচ্ছতা,ಉಚ್ಚಾರಣೆ ಸ್ಪಷ್ಟತೆ
সিন্থেটিক,ಸಂಶ್ಲೇಷಿತ
কৃত্রিম রূপান্তর,ಕೃತಕ ರೂಪಾಂತರ
আরোহী,ಆರೋಹಣ
আরোহণ,ಆರೋಹಣ
আরোহণ,ಹತ್ತುವುದು
আগলি,ಆಗೋಲಿ
সমষ্টি,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
এর সেট,ಜೊತೆ
"সমাবেশ, সমাবেশ","ಜೋಡಿಸುವುದು, ಜೋಡಿಸುವುದು"
"একত্রিত করা, একত্রিত করা, একত্রিত করা","ಜೋಡಿಸುವುದು, ಜೋಡಿಸುವುದು, ಜೋಡಿಸುವುದು"
নির্ভুল অনুমান,ನಿಖರವಾದ ಅಂದಾಜು
নির্দিষ্ট (কোয়ান্টাম সংখ্যার) স্পেসিফিকেশন,ನಿರ್ದಿಷ್ಟಪಡಿಸಿದ (ಕ್ವಾಂಟಮ್ ಸಂಖ್ಯೆಗಳ) ವಿಶೇಷಣಗಳು
"সম্পর্কিত, সহযোগী, সংঘবদ্ধ","ಸಂಬಂಧಿತ, ಸಹಾಯಕ, ಸಂಯೋಜಿತ"
স্বরধ্বনি,ಸ್ವರ ಧ್ವನಿ
স্বয়ংক্রিয় মাল্টিভাইব্রেটর,ಸ್ವಯಂಚಾಲಿತ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
অ্যাস্থেনিক,ಅಸ್ತೇನಿಕ್
"পরিহার, দৃষ্টিভঙ্গি","ಇಂದ್ರಿಯನಿಗ್ರಹ, ಅಸ್ಟಿಗ್ಮ್ಯಾಟಿಸಮ್"
মহাকাশ ভ্রমণ ইলেকট্রনিক্স,ಬಾಹ್ಯಾಕಾಶ ಪ್ರಯಾಣ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್
জ্যোতির্পদার্থবিদ্যা,ಖಗೋಳ ಭೌತಶಾಸ್ತ್ರ
মহাকাশচারী,ಗಗನಯಾತ್ರಿ
জ্যোতির্বিজ্ঞানী,ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ
স্বর্গীয়,ಆಕಾಶ
জ্যোতির্বিদ্যা,ಖಗೋಳಶಾಸ್ತ್ರ
জ্যোতির্পদার্থবিদ্যা,ಖಗೋಳ ಭೌತಶಾಸ್ತ್ರ
অপ্রতিসম,ಅಸಮ್ಮಿತ
অ্যাসিম্পোটিক,ಲಕ್ಷಣರಹಿತ
উত্তেজক,ಉಲ್ಬಣಗೊಳಿಸುತ್ತಿದೆ
অ্যাসিঙ্ক্রোনাস,ಅಸಮಕಾಲಿಕ
"বায়ুমণ্ডল, বায়ুমণ্ডল","ವಾತಾವರಣ, ವಾತಾವರಣ"
বায়ুমণ্ডলীয়,ವಾತಾವರಣದ
বায়ু অশান্তি,ಗಾಳಿ ಪ್ರಕ್ಷುಬ್ಧತೆ
পারমাণবিক,ಪರಮಾಣು
পারমাণবিক,ಪರಮಾಣು
পারমাণবিকতা,ಪರಮಾಣುತ್ವ
পারমাণবিক ভর,ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ
পারমাণবিক সংখ্যা,ಪರಮಾಣು ಸಂಖ್ಯೆ
"পারমাণবিক চুল্লি, পারমাণবিক গাদা","ಪರಮಾಣು ರಿಯಾಕ್ಟರ್, ಪರಮಾಣು ರಾಶಿ"
পারমাণবিক,ಪರಮಾಣು
কণা,ಕಣ
কণা,ಕಣ
ক্ষয়,ಕ್ಷೀಣತೆ
"attenuating, attenuating","ಕ್ಷೀಣಿಸುವುದು, ಕ್ಷೀಣಿಸುವುದು"
কবজ,ಮೋಡಿ
আকর্ষণ শক্তি,ಆಕರ್ಷಣೆಯ ಶಕ್ತಿ
শ্রবণযোগ্যতা,ಶ್ರವ್ಯತೆ
অডিও ফ্রিকোয়েন্সি পরিবর্ধক,ಆಡಿಯೊ ಆವರ್ತನ ಆಂಪ್ಲಿಫಯರ್
শ্রবণযোগ্য,ಶ್ರವ್ಯ
অডিও জেনারেটর,ಆಡಿಯೋ ಜನರೇಟರ್
শ্রবণযোগ্যতা গ্রাফ,ಶ್ರವಣ ಗ್ರಾಫ್
শ্রবণ বিজ্ঞান,ಶ್ರವಣ ವಿಜ್ಞಾನ
অডিওমিটার,ಆಡಿಯೋಮೀಟರ್
শ্রবণযোগ্য ফ্রিকোয়েন্সি অসিলেটর,ಶ್ರವ್ಯ ಆವರ್ತನ ಆಂದೋಲಕ
শব্দ সংকেত,ಧ್ವನಿ ಸಂಕೇತ
অডিও-ভিজ্যুয়াল,ಶ್ರವ್ಯ-ದೃಶ್ಯ
"অডিটোরিয়াম, অডিটোরিয়াম","ಸಭಾಂಗಣ, ಸಭಾಂಗಣ"
ওজেড ইফেক্ট,OZ ಪರಿಣಾಮ
পদোন্নতি,ಪ್ರಚಾರ
বর্ধক,ವರ್ಧಕ
মেরু শিখা,ಧ್ರುವ ಜ್ವಾಲೆ
দক্ষিণ মেরু শিখা,ದಕ್ಷಿಣ ಧ್ರುವ ಜ್ವಾಲೆ
উত্তর মেরু শিখা,ಉತ್ತರ ಧ್ರುವ ಜ್ವಾಲೆ
স্বয়ংক্রিয় সতর্কতা,ಸ್ವಯಂಚಾಲಿತ ಎಚ್ಚರಿಕೆ
স্বয়ংক্রিয় সমান্তরালকারী,ಸ್ವಯಂ ಸಮಾನಾಂತರಕಾರಕ
"স্বয়ংক্রিয়, স্বয়ংক্রিয়, স্বয়ংক্রিয়","ಸ್ವಯಂಚಾಲಿತ, ಸ್ವಯಂಚಾಲಿತ, ಸ್ವಯಂಚಾಲಿತ"
"অটোমেশন, অটোমেশন","ಯಾಂತ್ರೀಕೃತಗೊಂಡ, ಯಾಂತ್ರೀಕೃತಗೊಂಡ"
"সহকারী, সমবায়, অতিরিক্ত","ಸಹಾಯಕ, ಸಹಕಾರಿ, ಹೆಚ್ಚುವರಿ"
"অবদাভা, তুষারপাত","ಅವದಾವ, ಅವಲಾಂಚೆ"
"মানে, মানে","ಅರ್ಥ, ಅರ್ಥ"
পরিবার,ಪರಿವಾರನ್
অক্ষীয়,ಅಕ್ಷೀಯ
অক্ষ,ಅಕ್ಷರೇಖೆ
আজিমুথ,ಅಜಿಮುತ್
আজিমুথ,ಅಜಿಮುತ್
পেছনে,ಹಿಂದೆ
"পটভূমি, পটভূমি","ಹಿನ್ನೆಲೆ, ಹಿನ್ನೆಲೆ"
"পশ্চাৎপদ, পশ্চাৎপদ","ಹಿಂದುಳಿದ, ಹಿಂದುಳಿದ"
পরিবর্তন,ತಿರುವು
ব্যাক ভোল্টেজ পালসার,ಬ್ಯಾಕ್ ವೋಲ್ಟೇಜ್ ಪಲ್ಸರ್
সম্পর্ক পরবর্তী,ನಂತರದ ಸಂಬಂಧ
প্রতিদান,ಮರುಪಾವತಿ
বিরোধী ভোল্টেজ,ವಿರೋಧಿ ವೋಲ್ಟೇಜ್
পোস্টেরিয়র স্ক্যাটারিং,ಹಿಂಭಾಗದ ಚದುರುವಿಕೆ
অন্তর্বর্তী তরঙ্গ,ತೆರಪಿನ ಅಲೆ
অন্তরক,ಇನ್ಸುಲೇಟರ್
প্যারাশুট জাম্প,ಪ್ಯಾರಾಚೂಟ್ ಜಿಗಿತ
গরম করার,ಬಿಸಿ
"ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য","ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ"
ব্যালেন্সার,ಬ್ಯಾಲೆನ್ಸರ್
ভারসাম্য,ಸಮತೋಲನ
গ্লাবুল,ಗೋಳಾಕಾರದ
"ব্যালিস্টিক, ব্যালিস্টিক","ಬ್ಯಾಲಿಸ್ಟಿಕ್, ಬ್ಯಾಲಿಸ್ಟಿಕ್"
"প্রজেকশন গ্যালভানোমিটার, প্রজেকশন গ্যালভানোমিটার","ಪ್ರೊಜೆಕ್ಷನ್ ಗಾಲ್ವನೋಮೀಟರ್, ಪ್ರೊಜೆಕ್ಷನ್ ಗಾಲ್ವನೋಮೀಟರ್"
মিসাইল,ಕ್ಷಿಪಣಿ
"ব্যালিস্টিক, অস্ত্র","ಬ್ಯಾಲಿಸ್ಟಿಕ್ಸ್, ಶಸ್ತ್ರಾಸ್ತ್ರ"
অভিক্ষেপ,ಪ್ರೊಜೆಕ್ಷನ್
বিনামূল্যে পথচলা,ಉಚಿತ ಪಥ
"বেলুন, বেলুন","ಬಲೂನ್, ಬಲೂನ್"
balmer discontinuity,ಬಾಲ್ಮರ್ ಸ್ಥಗಿತಗೊಳಿಸುವಿಕೆ
"ব্যান্ড, ব্যান্ড, ব্যান্ড","ಬ್ಯಾಂಡ್, ಬ್ಯಾಂಡ್, ಬ್ಯಾಂಡ್"
বিস্ফোরণ,ಸ್ಫೋಟ
"অ্যারে, মরীচি, তীরে, ব্যাংক, উপকূল","ವ್ಯೂಹ, ಕಿರಣ, ತೀರ, ದಂಡೆ, ಕರಾವಳಿ"
