Gujarati,Assamese
વિરોધી પ્રતિબિંબીત કોટિંગ,এন্টি-ৰিফ্লেক্টিভ আৱৰণ
એન્ટિલોગિન એમ્પ્લીફાયર,এন্টিলগিন এম্প্লিফায়াৰ
પ્રતિરોધક સર્કિટ,এন্টিৰেজোনেণ্ট চাৰ্কিট
દ્વારક સમયગાળો,দ্বাৰক যুগ
વર્ચ્યુઅલ પાવર,ভাৰ্চুৱেল শক্তি
વાયર કનેક્શન,তাঁৰৰ সংযোগ
અંદાજિત વોલ્ટેજ ગેઇન,আনুমানিক ভোল্টেজ লাভ
આર્મસ્ટ્રોંગ મોડ્યુલેટર,আৰ্মষ্ট্ৰং মডুলেটৰ
એન્ટેના એરે,এন্টেনা এৰে
"કદ ગુણોત્તર, પાસા ગુણોત્તર","আকাৰৰ অনুপাত, দৃষ্টি অনুপাত"
ફ્લોટિંગ સર્કિટ (ફ્રી ઓપરેટિંગ સર્કિટ),ভাসমান বৰ্তনী (মুক্ত অপাৰেটিং বৰ্তনী)
સ્વચાલિત મલ્ટિવાઇબ્રેટર,স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ
ફ્લોટિંગ મલ્ટિવાઇબ્રેટર,ভাসমান মাল্টিভাইব্ৰেটৰ
અસમપ્રમાણ જંકશન,অসমতাপূৰ্ণ সংযোগস্থল
અસુમેળ કેલ્ક્યુલેટર,এচিনক্ৰ&#39;নাছ কেলকুলেটৰ
પરમાણુ,পাৰমাণৱিক
અણુ સંખ્યા,পাৰমাণৱিক সংখ্যা
અણુ માળખું,পাৰমাণৱিক গঠন
ઓડિયો એમ્પ્લીફાયર,অডিঅ&#39; এম্প্লিফায়াৰ
ઓડિયો એમ્પ્લીફાયર,অডিঅ&#39; এম্প্লিফায়াৰ
ઓડિયો કેસેટ,অডিঅ&#39; কেছেট
ઓડિયો સર્કિટ,অডিঅ&#39; বৰ্তনী
સાંભળી શકાય તેવી આવર્તન,শ্ৰৱণযোগ্য কম্পাঙ্ক
આપોઆપ વોલ્ટેજ નિયંત્રણ,স্বয়ংক্ৰিয় ভল্টেজ নিয়ন্ত্ৰণ
હિમપ્રપાત,হিমস্খলন
સરેરાશ ડિટેક્ટર,গড় ডিটেক্টৰ
અક્ષીય મોડ,অক্ষীয় ধৰণ
અક્ષીય ગુણોત્તર,অক্ষীয় অনুপাত
એન્ટેના,এন্টেনা
પાછળનું ઇલેક્ટ્રોમોટિવ બળ,পিছলৈ ইলেক্ট্ৰ&#39;ম&#39;টিভ বল
પાછળનો વિસ્તાર,পিছফালৰ অঞ্চল
પાછા સ્કેટર,পিছলৈ বিক্ষিপ্ততা
પૃષ્ઠભૂમિ ચાર્જ,পটভূমি চাৰ্জ
બાજુનો અવાજ,কাষৰ শব্দ
પ્રત્યાગમન,ৰেট্ৰ&#39;গ্ৰেছন
પશ્ચાદવર્તી ઇરેડિયેશન,পশ্চাৎ বিকিৰণ
બેકવર્ડ ડાયોડ / બેકવર્ડ ડાયોડ,বেকৱাৰ্ড ডাইঅ&#39;ড / বেকৱাৰ্ড ডাইঅ&#39;ড
બેકવર્ડ વેવ ઓસિલેટર,পিছলৈ তৰংগ দোলক
"અવરોધ, અવરોધ","বাধা, বাধা"
અવરોધ,বাধাগ্ৰস্ততা
સંતુલિત પુલ,সুষম দলং
સંતુલિત મોડ્યુલેટર,সুষম মডুলেটৰ
સંતુલિત મોડ્યુલેટર,সুষম মডুলেটৰ
સંતુલિત સર્કિટ,সুষম বৰ্তনী
સંતુલિત ઢાળ ડિટેક્ટર,ভাৰসাম্যপূৰ্ণ গ্ৰেডিয়েণ্ট ডিটেক্টৰ
વર્તમાન સ્ટેબિલાઇઝર પ્રતિકાર,কাৰেণ্ট ষ্টেবিলাইজাৰ ৰেজিষ্টেন্স
બોલોમીટર,বলোমিটাৰ
બોલોમીટર પુલ,বলোমিটাৰ দলং
બલૂન,বেলুন
બનાના જેક,কল জেক
બનાના પ્લગ,কল প্লাগ
"બેન્ડ, પાટો","বেণ্ড, বেণ্ডেজ"
બેન્ડ ડ્રાઈવર,বেণ্ড ড্ৰাইভাৰ
બેન્ડ ઊર્જા,বেণ্ড শক্তি
બેન્ડ ગેપ,বেণ্ড গেপ
બેડપાર્ક એમ્પ્લીફાયર,badpark এম্প্লিফায়াৰ
બેન્ડ પાસ ફિલ્ટર,বেণ্ড পাছ ফিল্টাৰ
બાઉડ રેટ જનરેટર,বড হাৰ জেনেৰেটৰ
banddispersion,banddispersion
બેન્ડ રેઝિસ્ટર,বেণ্ড ৰেজিষ্টৰ
બેન્ડ બ્રેકર ફિલ્ટર,বেণ্ড ব্ৰেকাৰ ফিল্টাৰ
બેન્ડ વિસ્તરણ,বেণ্ড সম্প্ৰসাৰণ
બેન્ડ રીમુવર ફિલ્ટર,বেণ্ড আঁতৰোৱা ফিল্টাৰ
બેન્ડ વિસ્તરણ ડિફ્લેક્શન ગુણક,বেণ্ড এক্সপান্সন ডিফ্লেকচন মাল্টিপ্লাইয়াৰ
બેન્ડ એક્સ્ટેંશન અંતર ગુણક,বেণ্ড সম্প্ৰসাৰণ দূৰত্ব বহুগুণক
"બીમ કેપેસિટર, બેંક કેપેસિટર","ৰশ্মি কেপাচিটৰ, বেংক কেপাচিটৰ"
"બાર્કર કોડ, બાર્કર કોડ","বাৰ্কাৰ কোড, বাৰ্কাৰ কোড"
barravaugen માપદંડ,barravaugen মাপকাঠী
બેરેટર,বেৰেটৰ
અવરોધ,বাধা
ઇન્સ્યુલેટીંગ કેપેસિટર,ইনচুলেটিং কেপাচিটৰ
અવરોધ ઊર્જા,বাধা শক্তি
રેઝિસ્ટર વોલ્ટેજ,ৰেজিষ্টৰ ভল্টেজ
બાર્ટલેટ વિન્ડો,বাৰ্টলেট উইণ্ড&#39;
"આધાર, આધાર","ভিত্তি, ভিত্তি"
આધાર બેન્ડ,বেচ বেণ্ড
બેઝ બેન્ડ ટ્રાન્સમિશન,বেচ বেণ্ড ট্ৰেন্সমিছন
બેઝ ચાર્જ,ভিত্তি চাৰ্জ
આધાર પ્રવાહ,বেচ কাৰেণ্ট
આધાર વર્તમાન સ્ત્રોત,ভিত্তি বিদ্যুৎ প্ৰবাহৰ উৎস
આધાર ઉતારવું,বেচ শ্বিয়াৰিং
આધાર મદન,আধাৰ মদন
આધાર ઉત્સર્જક ફીડ,বেচ এমিটাৰ ফিড
આધાર ઉત્સર્જક જંકશન,বেচ এমিটাৰ জংচন
બેઝ ઈન્જેક્શન,বেচ ইনজেকচন
જમીન રેખા,গ্ৰাউণ্ড লাইন
આધાર પ્રતિકાર,ভিত্তি ৰেজিষ্টেন্স
આધાર સ્ત્રોત,ভিত্তি উৎস
આધાર વિસ્તરણ પ્રતિકાર,ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা
આધાર વિસ્તરણ પ્રતિકાર,ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা
આધાર જાડાઈ,ভিত্তিৰ বেধ
બેઝ એક્સેસ,ভিত্তি অভিগম
"આધાર પહોળાઈ મોડ્યુલેશન, આધાર વિસ્તરણ મોડ્યુલેશન","ভিত্তি প্ৰস্থ মডুলেচন, ভিত্তি সম্প্ৰসাৰণ মডুলেচন"
આધાર કલેક્ટર સંધિ,ভিত্তি সংগ্ৰাহক চুক্তি
ગંધ,গোন্ধ
બાસ આવર્તન,বেছ ফ্ৰিকুৱেন্সি
બેટરી,বেটাৰি
બાઉડ,baud
બાઉડ દર,বড হাৰ
બાઉડ રેટ જનરેટર,বড হাৰ জেনেৰেটৰ
બોડો કોડ,বডো ক&#39;ড
"સંકેત, દીવાદાંડી","সংকেত, বিকন"
"મણિકા, બીડ","মণিকা, বিড"
મેનિક કેપેસિટર,মেনিক কেপাচিটৰ
મણિકર્તાપિ પ્રતિરોધકો,মণিকাৰতাপি ৰেজিষ্টৰ
"બીમ એન્ટેના, બીમ એન્ટેના","ৰশ্মি এন্টেনা, ৰশ্মি এন্টেনা"
બીમ ડિટેક્ટર,ৰশ্মি ডিটেক্টৰ
બીમ પાવર નળી,ৰশ্মি শক্তিৰ নলী
બીમ સ્વિચિંગ નોઝલ,ৰশ্মি চুইচিং নজেল
બીમ વિસ્તરણ,ৰশ্মি প্ৰসাৰণ
હરાવ્યું આવર્તન,বিট ফ্ৰিকুৱেন্সি
બીટ-ફ્રિકવન્સી ઓસિલેટર,বিট-ফ্ৰিকুৱেন্সি অচিলেটৰ
પલ્સ ઓસિલેટર,পালছ দোলক
બેલ,বেল
બેન્ડિંગ નુકશાન,বেণ্ডিং লছ
બેસેલ ફિલ્ટર,বেচেল ফিল্টাৰ
બેટા,বিটা
b-h વળાંક,খ-হ বক্ৰ
"પૂર્વગ્રહ, પૂર્વગ્રહ","bias, পক্ষপাতিত্ব"
પૂર્વગ્રહ વર્તમાન,বায়াছ কাৰেণ্ট
પૂર્વગ્રહ પ્રતિકાર,বায়াছ ৰেজিষ্টেন্স
ડબલ એન્ટેના,ডাবল এন্টেনা
દ્વિપક્ષીય લોડ વર્તમાન,দ্বিমুখী লোড কাৰেণ্ট
દ્વિદિશ એન્ટેના,দ্বিমুখী এন্টেনা
દ્વિદિશ પ્રકાશ ઉત્સર્જક ડાયોડ,দ্বিমুখী পোহৰ নিৰ্গত কৰা ডাইঅ&#39;ড
દ્વિપક્ષીય થાઇરિસ્ટર,দ্বিমুখী থাইৰিষ্টৰ
bi FET ટેકનોલોજી,bi FET প্ৰযুক্তি
બાય પોઇન્ટ ટ્રાન્સફોર્મર,বাই পইণ্ট ট্ৰেন্সফৰ্মাৰ
ડબલ ફ્યુઝન,ডাবল ফিউজন
દ્વિપક્ષીય સર્કિટ,দ্বিপাক্ষিক বৰ্তনী
દ્વિસંગી,বাইনাৰী
દ્વિસંગી રકમ,বাইনাৰী যোগফল
દ્વિસંગી સર્કિટ,বাইনাৰী বৰ্তনী
દ્વિસંગી કોડેડ દશાંશ,বাইনাৰী ক&#39;ড কৰা দশমিক
દ્વિસંગી કોડેડ દશાંશ સિસ્ટમ,বাইনাৰী ক&#39;ড কৰা দশমিক ব্যৱস্থা
દ્વિસંગી દ્વિધ્રુવ કેપેસિટર,বাইনাৰী ডাইপোল কেপাচিটৰ
દ્વિસંગી કેલ્ક્યુલેટર,বাইনাৰী কেলকুলেটৰ
દ્વિસંગી કેલ્ક્યુલેટર,বাইনাৰী কেলকুলেটৰ
દ્વિસંગી ડીકોડર,বাইনাৰী ডিকোডাৰ
દ્વિસંગી નિસરણી,বাইনাৰী জখলা
બાઈનરી પેથોમીટર,বাইনাৰী পেথ&#39;মিটাৰ
દ્વિસંગી સ્થિતિ,বাইনাৰী অৱস্থা
દ્વિસંગી-દશાંશ ડીકોડર,বাইনাৰী-দশমিক ডিকোডাৰ
બાઈનરી લોડ,বাইনাৰী লোড
દ્વિસંગી શબ્દો,বাইনাৰী শব্দ
દ્વિધ્રુવી,বাইপোলাৰ
બાયપોલર કેપેસિટર,বাইপোলাৰ কেপাচিটৰ
દ્વિધ્રુવી ઉપકરણ,বাইপোলাৰ ডিভাইচ
દ્વિધ્રુવી સ્ત્રોત,বাইপোলাৰ উৎস
બાયપોલર ટ્રાંઝિસ્ટર,বাইপোলাৰ ট্ৰেঞ্জিষ্টৰ
બાયપોલર જંકશન ટ્રાંઝિસ્ટર,বাইপোলাৰ জংচন ট্ৰেঞ্জিষ্টৰ
ચતુર્ભુજ ફિલ્ટર,দ্বিঘাত ফিল্টাৰ
ડબલ સ્થિતિ,ডাবল পজিচন
બે તબક્કાનું મલ્ટિવાઇબ્રેટર,দুটা পৰ্যায়ৰ মাল্টিভাইব্ৰেটৰ
દ્વિપક્ષીય રિલે,দ্বিমুখী ৰিলে
બે તબક્કાની સ્થિતિ,দুটা পৰ্যায়ৰ অৱস্থা
બે-સ્થિતિ ટ્રિગર,দুটা অৱস্থানৰ ট্ৰিগাৰ
બીટ ભૂલ,বিট ভুল
બીટ ભૂલ દર,বিট ভুলৰ হাৰ
બીટ ભૂલ,বিট ভুল
બિટકલ ભૂલ,bitkal ত্ৰুটি
અંધ બોક્સ,অন্ধ বাকচ
કન્ડેન્સ્ડ પલ્સ,ঘনীভূত স্পন্দন
સચિવ,নিঃসৰণকাৰী
સ્ત્રાવ અવરોધક,নিঃসৰণ প্ৰতিৰোধক
અંધત્વ,অন্ধতা
સેગમેન્ટ ડાયાગ્રામ,ছেগমেণ্ট ডায়াগ্ৰাম
અવરોધક અવરોધ,ব্লক কৰা ইম্পিডেন্স
ટુકડો ટ્રાન્સફર,ফ্ৰেগমেণ্ট ট্ৰেন্সফাৰ
ઇન્ટરસેપ્ટ,ইন্টাৰচেপ্ট
રેઝિસ્ટર કેપેસિટર,ৰেজিষ্টৰ কেপাচিটৰ
રેઝિસ્ટર કેપેસિટર,ৰেজিষ্টৰ কেপাচিটৰ
રેઝિસ્ટર ઓસિલેટર,ব্লক কৰা দোলক
અવરોધિત ઓસિલેટર,ৰেজিষ্টৰ দোলক
રેઝિસ્ટર વોલ્ટેજ,ৰেজিষ্টৰ ভল্টেজ
બ્લોઅર,ব্ল&#39;ৱাৰ
બોડ ડાયાગ્રામ,বোড ডায়াগ্ৰাম
વોલ્ટ્ઝમેન સંબંધ,voltzmann সম্পৰ্ক
વોલ્ટ્ઝમેન સતત,voltzmann ধ্ৰুৱক
બોન્ડ,বান্ধোন
બંધાયેલ તાણ ગેજ,বান্ধি ৰখা ষ্ট্ৰেইন গেজ
સ્વ-સહાયક એમ્પ્લીફાયર,স্ব-সহায়ক এম্প্লিফায়াৰ
બુલિયન બીજગણિત,বুলিয়ান বীজগণিত
બુલિયન સમીકરણ,বুলিয়ান সমীকৰণ
બુટ Strapon,বুট ষ্ট্ৰেপন
બૂથનું અલ્ગોરિધમ,বুথৰ এলগৰিদম
બુટસ્ટ્રેપ પ્રિઝમ સર્કિટ,বুটষ্ট্ৰেপ প্ৰিজম বৰ্তনী
bosscutts નિયમ,bosscutts শাসন কৰে
બોઝ-ચૌધરી હોકેનહામ (BCH) કોડ,বসু-চৌধাৰী হকেনহাম (BCH) কোড
"કૂદકો, કૂદકો","জপিয়াই, জপিয়াই"
બંધાયેલ ઇલેક્ટ્રોન,বান্ধ খাই থকা ইলেক্ট্ৰন
બ્રેગ રિફ્લેક્ટર,bragg প্ৰতিফলক
ગૂંથેલા વાયર,আন্তঃসংলগ্ন তাঁৰ
શાખા,শাখা
શાખાઓ,শাখা-প্ৰশাখা
પ્રયોગ બોર્ડ,পৰীক্ষা বৰ্ড
બ્રેક ઝોન,ব্ৰেক জ&#39;ন
બ્રેકિંગ વોલ્ટેજ,ভল্টেজ ভাঙি যোৱা
બ્રેકડાઉન ડાયોડ,ব্ৰেকডাউন ডাইঅ&#39;ড
અસ્થિભંગ ફિક્સેશન,ভাঙন স্থিৰকৰণ
બ્રેકિંગ વોલ્ટેજ,ভল্টেজ ভাঙি যোৱা
પુલ,সেঁতু
પુલ સુધારક,ব্ৰীজ ৰেক্টিফায়াৰ
વિશાળ બેન્ડ,বহল বেণ্ড
બ્રોડકાસ્ટ બેન્ડ,সম্প্ৰচাৰ বেণ্ড
અપાર્થિવ એરે,নক্ষত্ৰীয় এৰে
પ્રસારણ,সম্প্ৰচাৰ
બ્રોડકાસ્ટ એન્ટેના,সম্প্ৰচাৰ এন্টেনা
બ્રોડકાસ્ટ રીસીવર,সম্প্ৰচাৰ গ্ৰাহক
ફ્રીક્વન્સી બ્રોડકાસ્ટ રીસીવર,কম্পাঙ্ক সম্প্ৰচাৰ গ্ৰাহক
બ્રોડકાસ્ટ ટ્રાન્સમીટર,সম্প্ৰচাৰ ট্ৰেন্সমিটাৰ
બૂસ્ટર એન્ટેના,বুষ্টাৰ এন্টেনা
બસ એન્ટેના,বাছ এন্টেনা
બ્રશ નિમજ્જન,ব্ৰাছ বিসৰ্জন
પરપોટા અને દરવાજો,bubbling AND গেট
બુડબુડુ અથવા ગેટ,বুডবুডু বা গেট
બબલી મેમરી,বুদবুদযুক্ত স্মৃতিশক্তি
વળતર આપતું વોલ્ટેજ,ক্ষতিপূৰণমূলক ভল্টেজ
બફર,বাফাৰ
બફર એમ્પ્લીફાયર,বাফাৰ এম্প্লিফায়াৰ
બફર સર્કિટ,বাফাৰ বৰ্তনী
બફર ઓપરેટર,বাফাৰ অপাৰেটৰ
બફર રજીસ્ટર,বাফাৰ ৰেজিষ্টাৰ
બલ્બ,বাল্ব
વસ્તી અસર,জনসংখ্যাৰ প্ৰভাৱ
મેક્રો સેમિકન્ડક્ટર ઉપકરણ,মেক্ৰ&#39; অৰ্ধপৰিবাহী যন্ত্ৰ
ટોળું,মুঠি
ડૂબી ગયેલ વિનિમય,ডুব যোৱা বিনিময়
ડૂબી ગયેલ સ્તર,ডুব যোৱা স্তৰ
ડૂબી ગયેલો સંપર્ક,ডুব যোৱা সংস্পৰ্শ
બ્લાસ્ટ એમ્પ્લીફાયર,ব্লাষ্ট এম্প্লিফায়াৰ
બ્લાસ્ટ કવર,ব্লাষ্ট কভাৰ
બ્લાસ્ટ ફાયરિંગ,ব্লাষ্ট ফায়াৰিং
વિસ્ફોટ ડોર એમ્પ્લીફાયર,বিস্ফোৰণ দুৱাৰ এম্প্লিফায়াৰ
વિસ્ફોટ મોડ,বাৰ্ষ্ট মোড
વિસ્ફોટ વિભાજક,বিস্ফোৰণ বিভাজক
વિસ્ફોટ સંકેત,বিস্ফোৰণ সংকেত
વિસ્ફોટ ભૂલ સુધારનાર કોડ,বাৰ্ষ্ট ভুল সংশোধক ক&#39;ড
પૂરતૂ,বাছ
બસ બાર,বাছ বাৰ
બસ સંસ્થા,বাছ সংস্থা
બસ ધોરણ,বাছৰ মানদণ্ড
માત્ર ક્ષણિક,মাত্ৰ ক্ষণিক
માખણ વર્થ ફિલ્ટર,ফিল্টাৰৰ মূল্যৰ মাখন
bnc વાયર,bnc তাঁৰ
BNC જોઈન્ટર,বিএনচি জইণ্টাৰ
બાય-વે,বাই-ৱে
બાયપાસ કેપેસિટર,বাইপাছ কেপাচিটৰ
બાઈટ,বাইট
વી બેન્ડ,ভি বেণ্ড
સી બેન્ડ એન્ટેના,C বেণ্ড এন্টেনা
વાયર,তাঁৰ
વાયર રૂટીંગ,তাঁৰৰ ৰুটিং
ટેલિગ્રાફ ટેલિવિઝન,টেলিগ্ৰাফ টেলিভিছন
કેશ મેમરી,কেশ্ব মেমৰি
સિસિમ ફ્રીક્વન્સી સ્ટાન્ડર્ડ,ছিছিম ফ্ৰিকুৱেন্সি ষ্টেণ্ডাৰ্ড
કેલ્ક્યુલેટર,কেলকুলেটৰ
માપાંકન,মানাংকন
કૉલ સરનામું,কল ঠিকনা
કૉલપિટ ઓસિલેટર,কলপিট দোলক
કેમ કોર્ડર,কেম কৰ্ডাৰ
કેમેરા,কেমেৰা
કેમેરા નળી,কেমেৰাৰ নলী
candela,কেণ্ডেলা
મીણબત્તીની શક્તિ,মমবাতিৰ শক্তি
કેન્ટીલીવર તાણ ગેજ,কেন্টিলিভাৰ ষ্ট্ৰেইন গেজ
હોલ્ડિંગ,ধৰি ৰখা
કેપેસીટન્સ બ્લડ પ્રેશર ટ્રાન્સડ્યુસર,ৰক্তচাপ ট্ৰেন্সডুচাৰ
હોલ્ડિંગ ડિસ્ટ્રીબ્યુટર,ধাৰণকাৰী বিতৰক
સંધિ હોલ્ડિંગ,চুক্তি ধাৰণ কৰা
કેપેસિટેન્સ ગેજ,ধাৰণক্ষমতা গেজ
હોલ્ડિંગ કલેક્ટર,ধৰি ৰখা সংগ্ৰাহক
ક્ષમતા પ્રતિક્રિયા,ধাৰণক্ষমতা বিক্ৰিয়াশীলতা
"કેપેસિટીવ એનર્જી કન્વર્ટર, ટ્રાન્સડ્યુસર","কেপাচিটিভ এনাৰ্জি কনভাৰ্টাৰ, ট্ৰেন্সডুচাৰ"
કેપેસિટર,কেপাচিটৰ
કેપેસિટર બેંક,কেপাচিটৰ বেংক
કેપેસિટર ફિલ્ટર,কেপাচিটৰ ফিল্টাৰ
કેપેસિટર ઇનપુટ ફિલ્ટર,কেপাচিটৰ ইনপুট ফিল্টাৰ
વિંચ મોટર,উইঞ্চ মটৰ
પુલી સર્વો બોડી,পুলি চাৰ্ভো বডি
ચરખી,চৰখী
કેપ્ચર,বন্দী কৰা
કેપ્ચર કલમ,capture clause
કેપ્ચર અસર,কেপচাৰ ইফেক্ট
વાહક અવાજ ગુણોત્તર,বাহক শব্দ অনুপাত
કાર રેડિયો,গাড়ী ৰেডিঅ&#39;
કાર્બન રેઝિસ્ટર,কাৰ্বন ৰেজিষ্টৰ
કાર્ડ રીડર,কাৰ্ড ৰিডাৰ
કાર્ડિયોઇડ ડાયાગ્રામ,কাৰ্ডিঅ&#39;ইড ডায়েগ্ৰাম
વાહન,গাড়ী
વાહન વળતર,carriage return
વાહક,বাহক
વાહક સંચાર,বাহক যোগাযোগ
વાહક એકાગ્રતા,বাহক ঘনত্ব
વાહક આવર્તન,বাহক কম্পাঙ্ক
વાહક પ્રજનન,বাহক প্ৰজনন
વાહક સ્તર,বাহক স্তৰ
વાહક જીવન,বাহক জীৱন
વાહક ગતિશીલતા,বাহক গতিশীলতা
વાહક ગુણાકાર,বাহক গুণন
વાહક અવાજ સ્તર,বাহক শব্দৰ মাত্ৰা
વાહક શ્રેણી,বাহক পৰিসৰ
વાહક પુનઃપ્રાપ્તિ સર્કિટ,বাহক পুনৰুদ্ধাৰ বৰ্তনী
વાહક પુનઃનિર્માણ,বাহক পুনৰ সন্নিৱিষ্ট কৰা
વાહક છૂટાછવાયા,পৰিবাহী বিকিৰণ
વાહક દમન,বাহক দমন
વાહક પાંજરું,বাহক পিঞ্জৰা
વાહક વેગ,বাহক বেগ
હેન્ડ બીટ,হেণ্ড বিট
ધ્વજ રાખવામાં આવ્યો,ধাৰণ কৰা পতাকা
"કબજાની નોંધણી, કબજાની નોંધણી","দখলৰ পঞ্জীয়ন, দখলৰ পঞ্জী"
પોર્ટેબલ જનરેટર,পৰ্টেবল জেনেৰেটৰ
કાર્સનનો કાયદો,carson&#39;s আইন
કારતૂસ ફ્યુઝ,কাৰ্টিজ ফিউজ
કારતૂસ ટેપ,কাৰ্টিজ টেপ
કેરી ફોસ્ટર બ્રિજ,কেৰী ফষ্টাৰ ব্ৰীজ
સ્ટેપ એમ્પ્લીફાયર,ষ্টেপ এম্প্লিফায়াৰ
ગ્રેડેશન,গ্ৰেডেচন
કાસ્કેડ એમ્પ્લીફાયર,কেছকেড এম্প্লিফায়াৰ
"કાસ્કોડ એમ્પ્લીફાયર, સ્ટેપ એમ્પ્લીફાયર","কেস্কোড এম্প্লিফায়াৰ, ষ্টেপ এম্প্লিফায়াৰ"
કેસેટ,কেছেট
પ્રેરિત,প্ৰৰোচনা
કેપ્ટિવ કોટર,বন্দী কোটাৰ
કેથોડ,কেথ&#39;ড
કેથોડ પાછળનું,কেথ&#39;ড ট্ৰেইলিং
કેથોડ ટ્રેલિંગ એમ્પ્લીફાયર,কেথ&#39;ড ট্ৰেইলিং এম্প্লিফায়াৰ
કેથોડ લ્યુમિનન્સ,কেথ&#39;ড লুমিনেন্স
કેથોડ સામગ્રી,কেথ&#39;ড পদাৰ্থ
કેથોડ રે ઓસિલોસ્કોપ,কেথ’ড ৰশ্মিৰ অচিলোস্কোপ
કેથોડ રે ટ્યુબ,কেথ&#39;ড ৰশ্মিৰ নলী
કેથોડ કણો જુબાની,কেথ&#39;ড কণা নিক্ষেপ
કેથોડ લ્યુમિનન્સ,কেথ&#39;ড লুমিনেন্স
કોયર ફિલ્ટર,কুয়াৰ ফিল্টাৰ
કેવર ફિલ્ટર,kaver ফিল্টাৰ
કોટર,কোটৰ
એન્ટ્રાલ રેડિયેશન,এণ্ট্ৰেল ৰেডিয়চন
કોટર રેઝોનેટર,কটাৰ অনুনাদক
