Odiya,Assamese
ଆନୁମାନିକ ସମ୍ପତ୍ତି,আনুমানিক বৈশিষ্ট্য
ଦକ୍ଷତା ପରୀକ୍ଷା ବ୍ୟାଟେରୀ |,aptitude পৰীক্ষাৰ বেটাৰী
ଅର୍ଗାନ୍ ଚିତ୍ର |,আৰ্গাণ্ড ডায়েগ্ৰাম
ମନଇଚ୍ଛା ମନୋନୀତ |,ইচ্ছাকৃতভাৱে বাছি লোৱা
ଇଚ୍ଛାଧୀନ |,স্বেচ্ছাচাৰী
ଇଚ୍ଛାଧୀନ ସ୍ଥିର |,ইচ্ছাকৃত ধ্ৰুৱক
ଇଚ୍ଛାଧୀନ ଉପାଦାନ |,ইচ্ছাকৃত উপাদান
ଇଚ୍ଛାଧୀନ ବିନ୍ଦୁ |,ইচ্ছাকৃত বিন্দু
ଆର୍କେମିଡିଆନ୍ ନିୟମ |,আৰ্কিমিডিয়ান আইন
ଆର୍କିମିଡିସ୍ ନୀତି |,আৰ্কিমিডিছ নীতি
ଆର୍କ ଲମ୍ବ |,চাপৰ দৈৰ্ঘ্য
ବୃତ୍ତର ଆର୍କ |,বৃত্তৰ চাপ
ଆର୍କ ସାଇନ ବଣ୍ଟନ |,চাপ চাইন বিতৰণ
ଆର୍କ ସାଇନ ପରିବର୍ତ୍ତନ,চাপ চাইন ৰূপান্তৰ
କ୍ଷେତ୍ର,এলাকা
ଆରେଲ୍ ଟେକ୍ସଚର୍ |,এৰিয়াল টেক্সচাৰ
ଜଟିଳ ସଂଖ୍ୟାର ଯୁକ୍ତି,জটিল সংখ্যাৰ যুক্তি
ଗାଣିତିକ ଅର୍ଥ |,গাণিতিক গড়
ଗାଣିତିକ କାର୍ଯ୍ୟ,গাণিতিক কাৰ্য্য
ଗାଣିତିକ ଏକକ,গাণিতিক একক
ବ୍ୟବସ୍ଥା,ব্যৱস্থা
ଆରେ,এৰে
କୃତ୍ରିମ ଉପଗ୍ରହ |,কৃত্ৰিম উপগ্ৰহ
କୃତ୍ରିମ ଭେରିଏବଲ୍ |,কৃত্ৰিম চলক
ଆରୋହଣ,আৰোহণ কৰা
ଆରୋହଣ,আৰোহী
ତୀବ୍ରତାର କ୍ରମ,মাত্ৰাৰ আৰোহী ক্ৰম
ଆରୋହଣ କ୍ରମ |,আৰোহী শৃংখলা
ଏକତ୍ରକାରୀ ଭାଷା |,এছেম্বলাৰ ভাষা
ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା,নিযুক্তিৰ সমস্যা
ସହଯୋଗୀ ନିୟମ |,সহযোগী আইন
ଅପରେଟର୍ମାନଙ୍କର ଆସୋସିଏଟିଭ୍ ନିୟମ |,অপাৰেটৰৰ এছ&#39;চিয়েটিভ ল&#39;
ଆସୋସିଏଟିଭ୍ ଅପରେସନ୍ |,এছ&#39;চিয়েটিভ অপাৰেচন
ସହଯୋଗୀତା |,সহযোগিতা
ଅନୁମାନ କରାଯାଉଥିବା ଅର୍ଥ |,ধৰি লোৱা গড়
ସମ୍ଭାବ୍ୟ ବଣ୍ଟନ ଅନୁମାନ କରାଯାଇଛି |,ধাৰণা কৰা সম্ভাৱনা বিতৰণ
ଅନୁମାନ,ধাৰণা
ଜ୍ୟୋତିଷ ଶାସ୍ତ୍ର,জ্যোতিষ
ମହାକାଶଚାରୀ ଇଞ୍ଜିନିୟର,মহাকাশ অভিযন্তা
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନୀ,জ্যোতিৰ্বিজ্ঞানী
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ ଘଣ୍ଟା |,জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ,জ্যোতিৰ্বিজ্ঞান
ଅସୀମିତ ବକ୍ର,অসমতাপূৰ্ণ বক্ৰ
ଅସୀମତା |,বিষমতা
asymptote,asymptote
ଅସ୍ମିପଟୋଟିକ୍ |,এছিম্পটটিক
ଅସାମାଜିକ ଭାବରେ ଦକ୍ଷ ଆକଳନକାରୀ |,asymptotically দক্ষ অনুমানক
ଅସାମାଜିକ ଭାବରେ ନିରପେକ୍ଷ ଆକଳନକାରୀ |,asymptotically নিৰপেক্ষ অনুমানক
ଅସ୍ମିତିକ ଆଚରଣ |,asymptotic আচৰণ
ଅସ୍ମିପଟୋଟିକ୍ ବଣ୍ଟନ କାର୍ଯ୍ୟ |,এছিম্পটটিক বিতৰণ ফলন
ଅସ୍ମିପଟୋଟିକ୍ ବିସ୍ତାର |,এছিম্পটটিক প্ৰসাৰণ
ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |,বায়ুমণ্ডলীয় চাপ
ଅନିୟମିତତାରେ |,যাদৃচ্ছিকভাৱে
ଗୁଣ,বৈশিষ্ট্য
ଗୁଣବତ୍ତା ନମୁନା ପ୍ରକ୍ରିୟା,বৈশিষ্ট্যসমূহৰ নমুনা সংগ্ৰহ পদ্ধতি
ବୃଦ୍ଧି ହୋଇଥିବା ମାଟ୍ରିକ୍ସ,বৰ্ধিত মেট্ৰিক্স
ଅଟୋକୋରେଲେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,স্ব-সম্বন্ধ সহগ
ଅଟୋକୋରେଲେସନ୍ ଫଙ୍କସନ୍,স্বয়ংসম্বন্ধ কাৰ্য্য
ଅଟୋକୋଭାରିଆନ୍ସ |,অটোকোভেৰিয়েন্স
ସ୍ୱୟଂଚାଳିତ କମ୍ପ୍ୟୁଟର |,স্বয়ংক্ৰিয় কম্পিউটাৰ
ଆତ୍ମସମ୍ମାନ,অটোৰিগ্ৰেছন
ସହାୟକ ସମୀକରଣ,সহায়ক সমীকৰণ
ହାରାହାରି ନମୁନା ସଂଖ୍ୟା ବକ୍ର (ASN ବକ୍ର),গড় নমুনা সংখ্যা বক্ৰ (ASN বক্ৰ)
axiom,axiom
ସ୍ୱୀକୃତିପ୍ରାପ୍ତ ଉପାୟ |,স্বতন্ত্ৰীয় পদ্ধতি
ସମ୍ଭାବ୍ୟତାର axiom |,সম্ভাৱনাৰ স্বতন্ত্ৰতা
ଅକ୍ଷ,অক্ষ
ଅବସିସା ର ଅକ୍ଷ |,abscissa ৰ অক্ষ
ପୃଥିବୀର ଅକ୍ଷ,পৃথিৱীৰ অক্ষ
ବିପ୍ଳବର ଅକ୍ଷ,বিপ্লৱৰ অক্ষ
ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ,ঘূৰ্ণনৰ অক্ষ
ସ୍ପିନ୍ ର ଅକ୍ଷ |,স্পিনৰ অক্ষ
ବ୍ୟାକ୍-ପ୍ରତିସ୍ଥାପନ,বেক-বিকল্প
ପଛୁଆ ପାର୍ଥକ୍ୟ |,পিছপৰা পাৰ্থক্য
ପଛୁଆ-ଇଣ୍ଟରପୋଲେସନ୍ ସୂତ୍ର |,বেকৱাৰ্ড-ইন্টাৰপলেচন সূত্ৰ
ସନ୍ତୁଳନ,ভাৰসাম্যতা বজাই ৰখা
ସନ୍ତୁଳିତ ଡିଜାଇନ୍ |,সুষম ডিজাইন
ତୂଳନା ପତ୍ର,বেলেন্স শ্বীট
ବାଲିଷ୍ଟିକ୍ କ୍ଷେପଣାସ୍ତ୍ର |,বেলিষ্টিক মিছাইল
ବାଲିଷ୍ଟିକ୍,বেলিষ্টিকছ
ଦଣ୍ଡିକା,বাৰ
ଆଧାର,ভেঁটি
ମୂଳ କୋଣ,ভিত্তি কোণ
ଲୋଗାରିଦମର ଆଧାର |,লগাৰিদমৰ ভিত্তি
ମ basic ଳିକ,প্ৰাথমিক
ମ basic ଳିକ ସମ୍ଭାବ୍ୟ ସମାଧାନ |,মূল সম্ভৱপৰ সমাধান
ମ basic ଳିକ ସମାଧାନ |,মূল সমাধান
ମ basic ଳିକ ଭେରିଏବଲ୍ |,মূল চলক
ଆଧାର,ভিত্তিত
ଆଧାର ଉପାଦାନ |,ভিত্তি উপাদান
ଆଧାର ମ୍ୟାଟ୍ରିକ୍ସ |,ভিত্তি মেট্ৰিক্স
ଏକ ଭେକ୍ଟର ସ୍ପେସ୍ ର ଆଧାର |,এটা ভেক্টৰ স্থানৰ ভিত্তি
ସବ୍ ସ୍ପେସ୍ ର ଆଧାର |,উপস্থানৰ ভিত্তি
ବାଏସିଆନ୍ ଆକଳନ |,বেইছিয়ান অনুমান
ବାଇସ୍ ନିୟମ |,বেইছৰ নিয়ম
ବାଇସ୍ ଥିଓରେମ୍ |,বেইছৰ উপপাদ্য
ବର୍ନୁଲି ବଣ୍ଟନ |,বাৰ্নৌলি বিতৰণ
ବର୍ନୁଲି ସଂଖ୍ୟା |,বাৰ্নৌলি নম্বৰ
ବର୍ନୁଲି ସମ୍ଭାବ୍ୟ କାର୍ଯ୍ୟ |,বাৰ্নৌলি সম্ভাৱনা ফলন
ବର୍ନୁଲିଙ୍କ ସମୀକରଣ |,বাৰ্নৌলিৰ সমীকৰণ
ବେରୀ କାର୍ଯ୍ୟ,বেৰী ফাংচন
ସର୍ବୋତ୍ତମ ଫିଟ୍ |,বেষ্ট ফিট
ସର୍ବୋତ୍ତମ - ଫିଟ୍ ଲାଇନ୍ |,শ্ৰেষ্ঠ - ফিট লাইন
ସର୍ବୋତ୍ତମ ସମାଧାନ |,উত্তম সমাধান
ସର୍ବୋତ୍ତମ ରଣନୀତି |,শ্ৰেষ্ঠ কৌশলসমূহ
ବିଟା ବଣ୍ଟନ |,বিটা বিতৰণ
ପକ୍ଷପାତ,পক্ষপাত
ପକ୍ଷପାତ ଅନୁମାନ |,পক্ষপাতমূলক অনুমান
ବିହାରମୋନିକ୍ ସମୀକରଣ |,বিহাৰমনিক সমীকৰণ
bijection,bijection
ବାୟଜେକ୍ଟିଭ୍ ମାନଚିତ୍ର,bijective মানচিত্ৰ
ବାୟଜେକ୍ଟିଭ୍ ମ୍ୟାପିଙ୍ଗ୍ |,bijective মেপিং
ବିଲିନାର୍ ଫର୍ମ |,দ্বিৰৈখিক ৰূপ
ବିଲିନାର୍ ଫଙ୍କସନ୍,দ্বিৰৈখিক ফলন
ବିଲିନାର୍ ହର୍ମିଟିଆନ୍ ଫର୍ମ |,দ্বিৰৈখিক হাৰ্মিটিয়ান ৰূপ
ବାଇନାରୀ,বাইনাৰী
ବାଇନାରୀ କୋଡ୍ |,বাইনাৰী ক&#39;ড
ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ |,বাইনাৰী ক&#39;ড কৰা দশমিক
ବାଇନାରୀ କୋଡିଂ |,বাইনাৰী ক&#39;ডিং
ବାଇନାରୀ କମ୍ପ୍ୟୁଟର |,বাইনাৰী কম্পিউটাৰ
ବାଇନାରୀ ଅଙ୍କ,বাইনাৰী অংক
ବାଇନାରୀ ଅପରେସନ୍ |,বাইনাৰী অপাৰেচন
ବାଇନାରୀ ସିଷ୍ଟମ୍ |,বাইনাৰী ব্যৱস্থা
ବାଇନାରୀ ଭେରିଏବଲ୍ |,বাইনাৰী চলক
ଦ୍ୱିପାକ୍ଷିକ ଗୁଣବତ୍ତା |,দ্বিপদ সহগ
ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ |,দ্বিপদ বিতৰণ
ଦ୍ୱିପାକ୍ଷିକ ସମୀକରଣ |,দ্বিপদ সমীকৰণ
ଦ୍ୱିପାକ୍ଷିକ ବିସ୍ତାର |,দ্বিপদ সম্প্ৰসাৰণ
ଦ୍ୱିପାକ୍ଷିକ ଅଭିବ୍ୟକ୍ତି |,দ্বিপদ অভিব্যক্তি
ଦ୍ୱିପାକ୍ଷିକ ରାଣ୍ଡମ୍ ଭେରିଏବଲ୍ |,দ্বিপদ ৰেণ্ডম চলক
ଦ୍ୱିପାକ୍ଷିକ ତତ୍ତ୍। |,দ্বিপদ উপপাদ্য
ବିଭାଜନ,দ্বিখণ্ড
ବିଭାଜନ ପଦ୍ଧତି |,দ্বিখণ্ডন পদ্ধতি
bisector,দ্বিখণ্ড
ଦ୍ୱିପାକ୍ଷିକ |,biserial
ବିଟ୍,বিট
ଦ୍ୱିପାକ୍ଷିକ ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ |,দ্বিচলকীয় দ্বিপদ বিতৰণ
ବିଭାରିଏଟ୍ ସମ୍ପର୍କ କୋଏଫିସିଏଣ୍ଟ୍ |,দ্বিচলকীয় সম্পৰ্ক সহগ
ବିଭାରିଏଟ୍ ବଣ୍ଟନ |,দ্বিচলকীয় বিতৰণ
ସାଧାରଣ ବଣ୍ଟନ,দ্বিচলকীয় স্বাভাৱিক বিতৰণ
ବିଭେକ୍ଟର୍ |,বাইভেক্টৰ
ବୋଲ୍ଟଜମାନ୍ ସମୀକରଣ |,বোল্টজমেন সমীকৰণ
ବୁଲିୟନ୍ ବୀଜ ବର୍ଣ୍ଣନା |,বুলিয়ান বীজগণিত
ବୋଷ - ଆଇନଷ୍ଟାଇନ ପରିସଂଖ୍ୟାନ |,Bose - আইনষ্টাইন পৰিসংখ্যা
ସୀମା ଅବସ୍ଥା,সীমাৰ অৱস্থা
ସୀମା ସ୍ତର |,সীমা স্তৰ
ସୀମା ରେଖା |,সীমাৰেখা
ସୀମା ମୂଲ୍ୟ,সীমা মূল্য
ସୀମା ମୂଲ୍ୟ ସମସ୍ୟା |,সীমা মূল্যৰ সমস্যা
ସୀମାବଦ୍ଧ କାର୍ଯ୍ୟ,সীমাবদ্ধ ফলন
ସୀମିତ ମାଟ୍ରିକ୍ସ |,সীমাবদ্ধ মেট্ৰিক্স
ସୀମାବଦ୍ଧ ଅଞ୍ଚଳ |,সীমাবদ্ধ অঞ্চল
ସୀମାବଦ୍ଧ ସେଟ୍ |,সীমাবদ্ধ ছেট
ବ୍ରାଉନିଆନ୍ ଗତି |,ব্ৰাউনিয়ান গতি
ଗଣନା କର,গণনা কৰ
ଗଣନା,গণনা কৰা
ଗଣନା ଯନ୍ତ୍ର,গণনা কৰা মেচিন
ଗଣନା,গণনা কৰা
ଗଣନା ପ୍ରଣାଳୀ,গণনামূলক পদ্ধতি
କାଲକୁଲେଟର,কেলকুলেটৰ
ଗଣନା,কেলকুলাছ
ପରିବର୍ତ୍ତନର ଗଣନା,তাৰতম্যৰ কেলকুলাছ
କ୍ୟାଲୋରୀ,কেলৰি
ବାତିଲ ନିୟମ,বাতিল আইন
କାନୋନିକାଲ୍ ସମୀକରଣ |,কেননিক সমীকৰণ
କାନୋନିକାଲ୍ ଫର୍ମ |,কেননিক ৰূপ
କାନୋନିକାଲ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,কেননিক মেট্ৰিক্স
କ୍ୟାଣ୍ଟର ସେଟ୍ |,কেন্টৰ ছেট
କ୍ୟାଣ୍ଟରର ଟର୍ନାରୀ ସେଟ୍ |,কেণ্টৰৰ ত্ৰিমাত্ৰিক চেট
କ୍ଷମତା ସମ୍ପନ୍ନ ପରିବହନ ସମସ୍ୟା |,ক্ষমতাসম্পন্ন পৰিবহণ সমস্যা
କ୍ଷମତା,ক্ষমতা
କ୍ୟାପିଲାରୀ ଫୋର୍ସ |,কেপিলাৰী বল
କାର୍ଡିନାଲ୍ ସଂଖ୍ୟା,কাৰ্ডিনেল নম্বৰ
କାର୍ଟେସିଆନ୍ କୁମ୍ଭ |,কাৰ্টেছিয়ান অক্ষ
କାର୍ଟେସିଆନ୍ ସଂଯୋଜନା |,কাৰ্টেছিয়ান স্থানাংক
କାର୍ଟେସିଆନ୍ ଉତ୍ପାଦ |,কাৰ্টেছিয়ান উৎপাদন
ସେଟ୍ ର କାର୍ଟେସିଆନ୍ ଉତ୍ପାଦ |,গোটৰ কাৰ্টেছিয়ান উৎপাদক
କେସ୍ ଷ୍ଟଡି |,কেছ ষ্টডি
ବିପର୍ଯ୍ୟସ୍ତ ପରିବର୍ତ୍ତନ,বিপৰ্যয়জনক উঠা-নমা
କ୍ୟାଟେନାରୀ |,কেটেনাৰী
କାଚି ବଣ୍ଟନ |,কাউচি বিতৰণ
କାଚି ସୂତ୍ର |,কাউচি সূত্ৰ
କାଚି ଗୁରସାଟ ଥିଓରେମ୍ |,কৌচি গৌৰছাট উপপাদ্য
କାଚି ରିମାନ୍ ଅବସ୍ଥା |,কাউচি ৰিমেন চৰ্ত
କାଚି କ୍ରମ |,ক&#39;চি ক্ৰম
କାଚି ଇଣ୍ଟିଗ୍ରାଲ୍ |,কৌচি অবিচ্ছেদ্য
କାଚି ମୁଖ୍ୟ ମୂଲ୍ୟ |,কাউচি প্ৰধান মূল্য
