Odiya,English
ଆଲଗୋରିଦମ ଦକ୍ଷତା |,algorithm efficiency
ଛଦ୍ମନାମ,alias
ଶ୍ରେଣୀବଦ୍ଧତା |,alignment
ଆବଣ୍ଟନ,allocation
ବର୍ଣ୍ଣାନୁକ୍ରମିକ,alphabetic
ବର୍ଣ୍ଣମାଳା,alphanumeric
ବର୍ଣ୍ଣମାଳା କି ବୋର୍ଡ |,alphanumeric key board
ଆଲଫା-ପରୀକ୍ଷା,alpha-test
ଆଲଫା-ସଂସ୍କରଣ |,alpha-version
alt କି,alt key
altavista,altavista
ଅସ୍ପଷ୍ଟତା |,ambiguity
ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ,ambiguous grammar
ଆମେରିକୀୟ ଜାତୀୟ ମାନକ ପ୍ରତିଷ୍ଠାନ (ANSI),American National Standards Institute (ANSI)
ସୂଚନା ଆଦାନ ପ୍ରଦାନ ପାଇଁ ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କୋଡ୍ (ASCII),American Standard Code For Information Interchange (ASCII)
analog,analog
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,analog computer
analog ଉପକରଣ,analog device
ଆନାଗଲ୍ ମୋଡେମ୍ |,analog modem
ଡିଜିଟାଲ୍ କନଭର୍ଟର (ADC),Analog To Digital Converter (ADC)
ଏବଂ,AND
ଏବଂ ସର୍କିଟ |,AND circuit
ଏବଂ ଫାଟକ |,AND gate
ଏବଂ ଅପରେସନ୍ ନୁହେଁ (ବହିଷ୍କାର),AND not operation (Exclusion)
ଆନିମେସନ୍,animation
ଟିପ୍ପଣୀ,annotation
ଅନୋମାଲିୟା |,anomaly
ପ୍ରାଚୀନ,antecedent
ଆଶାକର୍ମୀ ପେଜିଂ |,anticipatory paging
ଆଣ୍ଟି-ସିମେଟ୍ରିକ୍ |,anti-symmetric
ଆଣ୍ଟିଭାଇରସ୍ ପ୍ରୋଗ୍ରାମ୍ |,antivirus program
ଆପଲେଟ୍,applet
ପ୍ରୟୋଗ ବିକାଶକାରୀ,application developer
ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ,application programming
ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍ (API),application programming interface (API)
ପ୍ରୟୋଗ ସଫ୍ଟୱେର୍,application software
ପ୍ରୟୋଗ ଭାଷା |,applicative language
ଆନୁମାନିକ ତତ୍ତ୍। |,approximation theory
ସ୍ଥାପତ୍ୟ,architecture
କ୍ଷେତ୍ର ସ୍ଥାନାନ୍ତର |,area transfer
ଯୁକ୍ତି,argument
ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ |,arithmatic and logic unit
ଗାଣିତିକ ଯାଞ୍ଚ |,arithmatic check
ଗାଣିତିକ ସ୍ଥିର |,arithmatic constant
ଗାଣିତିକ ତଥ୍ୟ,arithmatic data
ଗାଣିତିକ ନିର୍ଦ୍ଦେଶ,arithmatical instruction
ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ (ALU),arithmetic and logic unit (ALU)
ARPANET,ARPANET
ଆରେ,array
ଆରେ କ୍ୟାଚ୍,array cache
ଆରେ କମ୍ପ୍ୟୁଟର |,array computer
ଆରେ ଉପାଦାନ |,array element
ଆରେ ନାମ,array name
ଆରେ ସଞ୍ଚାଳକ,array processor
ତୀର କିଗୁଡ଼ିକ,arrow keys
ଆର୍ଟିକିଲେସନ୍,articulation
ଆର୍ଟିକ୍ୟୁଲେସନ୍ ପଏଣ୍ଟ |,articulation point
କୃତ୍ରିମ ସଙ୍କୋଚନ |,artificial compaction
କୃତ୍ରିମ ନିୟନ୍ତ୍ରଣ |,artificial control
କୃତ୍ରିମ ବୁଦ୍ଧି,artificial intelligence
ଆରୋହଣ,ascender
ଆରୋହଣ କ୍ରମ,ascending sort
ASCII ବେଟିକାଲ୍ କ୍ରମ |,ASCII betical order
ASCII ନିୟନ୍ତ୍ରଣ ବର୍ଣ୍ଣ |,ASCII control character
ASCII ଫାଇଲ୍ |,ASCII file
ASCII ଫଣ୍ଟ |,ASCII font
ASCII ସ୍ଥାନାନ୍ତର |,ASCII transfer
ଆନୁମାନିକ ଅନୁପାତ,aspect ratio
ASPI,ASPI
ASR ଟାଇମର୍ |,ASR timer
ଏକତ୍ର ହୁଅ,assemble
ଏକତ୍ରକାରୀ,assembler
ସଭା,assembly
ସଭା ଭାଷା |,assembly language
ଧାରଣା,assertion
ଆସାଇନମେଣ୍ଟ,assignment
ସଙ୍ଗଠନ,association
ସହଯୋଗୀ ଠିକଣା,associative address
ସହଯୋଗୀ ସ୍ମୃତି,associative memory
ନକ୍ଷତ୍ର,asteric
ଅସୀମିତ |,asymmetric
ଅସନ୍ତୁଳିତ |,asynchronous
ଅସନ୍ତୁଳିତ ଡିଜିଟାଲ୍ ସବସ୍କ୍ରାଇବର ଲାଇନ (ADSL),asynchronous Digital Subscriber Line (ADSL)
ଅସନ୍ତୁଳିତ ସମୟ ବିଭାଗ ମଲ୍ଟିପ୍ଲେସିଙ୍ଗ୍ (ATDM),asynchronous Time Division Multiplexing (ATDM)
ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର |,asynchronous transfer
ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର ମୋଡ୍ (ଏଟିଏମ୍),asynchronous Transfer Mode (ATM)
ପରମାଣୁ,atom
ସଂଲଗ୍ନିତ ଡକ୍ୟୁମେଣ୍ଟ୍ |,attached document
ସଂଲଗ୍ନ ଫାଇଲ୍ |,attached file
ସଂଲଗ୍ନ,attachment
ଗୁଣ,attribute
ଅଡିଓ,audio
ପ୍ରୋଗ୍ରାମିଂ ଅଡିଟ୍ କରନ୍ତୁ |,audit programming
ଅଡିଟ୍ ଟ୍ରେଲ୍ |,audit trail
ବୃଦ୍ଧି,augmentation
ପ୍ରାମାଣିକିକରଣ ପ୍ରୋଟୋକଲ୍ |,authentication protocol
ଲେଖକ ପ୍ରଣାଳୀ,authoring system
ପ୍ରାଧିକରଣ,authorization
ଅଟୋ ଅବଷ୍ଟ୍ରାକ୍ଟ |,auto abstract
ଅଟୋବୋଟିଂ,autobooting
ଅଟୋକ୍ୟାଡ୍ |,autocad
ଅଟୋଲୋଜି ଅନ୍,autolog on
ଅଟୋମେଟା |,automata
ସ୍ୱୟଂଚାଳିତ ତତ୍ତ୍। |,automata theory
ସ୍ୱୟଂଚାଳିତ ଗଣନା,automatic computing
ସ୍ୱୟଂଚାଳିତ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |,automatic data processing
ସ୍ୱୟଂଚାଳିତ ତ୍ରୁଟି ସଂଶୋଧନ |,automatic error correction
ସ୍ୱୟଂଚାଳିତ କାର୍ଯ୍ୟ,automatic function
ସ୍ୱୟଂଚାଳିତ ସୂଚକାଙ୍କ |,automatic indexing
ସ୍ୱୟଂଚାଳିତ ଲାଇବ୍ରେରୀ କଲ୍ |,automatic library call
ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ |,automatic programming
ସ୍ୱୟଂଚାଳିତ ପୁନରୁଦ୍ଧାର ପ୍ରୋଗ୍ରାମ |,automatic recovery program
ସ୍ୱୟଂଚାଳିତ ରୁଟିନ୍ |,automatic routine
ସ୍ୱୟଂଚାଳିତ ତନ୍ତ୍ର ପୁନରୁଦ୍ଧାର,automatic system recovery
ସ୍ୱୟଂଚାଳିତ ଟେଲର୍ ମେସିନ୍ (ଏଟିଏମ୍),automatic teller machine (ATM)
ସ୍ୱୟଂଚାଳିତ,automation
ସ୍ଵତଃ ଚଳିତ,autoplay
ଅଟୋସେଭ୍ |,autosave
ସହାୟକକାରୀ,auxiliary
ସହାୟକ ସ୍ମୃତି,auxiliary memory
ସହାୟକ ଷ୍ଟୋରେଜ୍,auxiliary storage
ଉପଲବ୍ଧ ତାଲିକା |,available list
ଉପଲବ୍ଧ ସମୟ |,available time
ହାରାହାରି,average
awk (ଭାଷା),awk (language)
ବ୍ୟାକେଣ୍ଡ୍ |,backend
ବ୍ୟାକେଣ୍ଡ୍ ସଞ୍ଚାଳକ |,backend processor
ବ୍ୟାକଫେସ୍ ଅପସାରଣ |,backface removal
ପୃଷ୍ଠଭୂମି ପ୍ରକ୍ରିୟାକରଣ |,background processing
ବ୍ୟାକିଂ ଷ୍ଟୋର |,backing store
ବ୍ୟାକପ୍ୟାଚ୍,backpatching
ବ୍ୟାକସ୍ପେସ୍ |,backspace
ବ୍ୟାକଟ୍ରାକ୍,backtracking
ବ୍ୟାକ୍ ଅପ୍ |,back-up
ବ୍ୟାକ୍ ଅପ୍ ମେମୋରୀ |,back-up memory
ପଛୁଆ ତ୍ରୁଟି ପୁନରୁଦ୍ଧାର,backward error recovery
ତୂଳନା ପତ୍ର,balance sheet
ବ୍ୟାଣ୍ଡ,band
ବ୍ୟାଣ୍ଡ ଓସାର |,band width
ବ୍ୟାଙ୍କର ଆଲଗୋରିଦମ |,banker's algorithm
ବାର୍ କୋଡ୍,bar code
ବାର୍ କୋଡ୍ ସ୍କାନର୍ |,bar code scanner
ବାର୍ ଗ୍ରାଫ୍ |,bar graph
ମୂଳ ଠିକଣା,base address
ବେସ୍ ବ୍ୟାଣ୍ଡ |,base band
ଆଧାର ସଂଖ୍ୟା,base number
ଆଧାର ଟେବୁଲ୍ |,base table
ବେସିକ୍ |,BASIC
ମ basic ଳିକ ନିୟନ୍ତ୍ରଣ |,basic control
ମ basic ଳିକ ଇନପୁଟ୍ |,basic input
ମ basic ଳିକ ନିର୍ଦ୍ଦେଶ,basic instruction
ମ basic ଳିକ ଆଉଟପୁଟ୍,basic output
ମ basic ଳିକ ପଦକ୍ଷେପ |,basic step
ବ୍ୟାଚ୍,batch
ବ୍ୟାଚ୍ ଫାଇଲ୍ |,batch file
ବ୍ୟାଚ୍ ସ୍ଥିତି |,batch position
ବ୍ୟାଚ୍ ପ୍ରକ୍ରିୟାକରଣ |,batch processing
ବ୍ୟାଚ୍ ସିଷ୍ଟମ୍ |,batch system
baud,baud
ବାଉଡ୍ ହାର,baud rate
ବିମ୍,beam
ମାନଦଣ୍ଡ,benchmark
ଦ୍ୱି-ଦିଗୀୟ ଯୋଗାଯୋଗ |,bidirectional communication
ଦ୍ୱି-ଦିଗୀୟ ଲିଙ୍କ୍ |,bidirectional link
ବାଇନାରୀ କୋଡ୍ |,binary code
ବାଇନାରୀ ଅଙ୍କ,binary digit
ବାଇନାରୀ ଇନପୁଟ୍ ଆଉଟପୁଟ୍ ସିଷ୍ଟମ୍ (BIOS),binary Input output system (BIOS)
ବାଇନାରୀ ସଂଖ୍ୟା,binary number
ବାଇନାରୀ ଅପରେଟର୍ |,binary operator
ବାଇନାରୀ ସମ୍ପର୍କ |,binary relation
ବାଇନାରୀ ସନ୍ଧାନ |,binary search
ବାଇନାରୀ ସନ୍ଧାନ ବୃକ୍ଷ (BST),binary search tree (BST)
ବାଇନାରୀ ସ୍ଥାନାନ୍ତର |,binary transfer
ବାଇନାରୀ ଗଛ |,binary tree
ଦ୍ୱିପାକ୍ଷିକ ସ୍ମୃତି,bipolar memory
ଜନ୍ମ ମୃତ୍ୟୁ ମଡେଲ |,birth death model
ଜନ୍ମ ମୃତ୍ୟୁ ପ୍ରକ୍ରିୟା |,birth death process
ବିଟ୍,bit
ବିଟ୍ ଦୋଷ |,bit fault
ବିଟ୍ ମାନଚିତ୍ର,bit map
ବିଟ୍ ମାନଚିତ୍ର ପିକ୍ସେଲ୍ (BMP),bit map pixel (BMP)
ବିଟ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,bit matrix
ବିଟ୍ ପ୍ୟାଟର୍ |,bit pattern
ବିଟ୍ ସ୍ଥିତି |,bit position
ବିଟ୍ ହାର,bit rate
କଳା ବାକ୍ସ ପରୀକ୍ଷା,black box testing
ink ଲସି ଉଠୁଛି |,blinking
ବ୍ଲକ,block
କ୍ୟାଚ୍ ଅବରୋଧ କରନ୍ତୁ |,block cache
ଯାଞ୍ଚ ଯାଞ୍ଚ କରନ୍ତୁ |,block check
କପି କପି କରନ୍ତୁ |,block copy
ବ୍ଲକ ଚିତ୍ର,block diagram
ନେଟୱର୍କକୁ ଅବରୋଧ କରୁଛି,blocking network
ବୋର୍ଡ,board
ପୁସ୍ତକ ଚିହ୍ନ,book mark
ବୁଲିଅନ୍ ବୀଜ ବିବେଚନା |,boolean algebra
ବୁଲିଅନ୍ ସମ୍ପର୍କ |,boolean relation
ବୁଟ ବିଭାଜନ,boot partition
ବୁଟ ଷ୍ଟ୍ରାପିଂ,boot strapping
ବୁଟ-ଷ୍ଟ୍ରାପ ଲୋଡର,boot-strap loader
ସେତୁ,bridge
ବ୍ରଡବ୍ୟାଣ୍ଡ ନେଟୱର୍କିଙ୍ଗ |,broadband networking
ପ୍ରସାରଣ,broadcast
ରେଡିଓ ପ୍ରସାରଣ |,broadcast radio
ବ୍ରାଉଜ୍ କରନ୍ତୁ |,browse
ବ୍ରାଉଜର୍,browser
ବି-ଗଛ |,B-Tree
ବବୁଲ୍ ମେମୋରୀ |,bubble memory
ବବୁଲ୍ ସର୍ଟ୍ |,bubble sort
ବାଲଟି,bucket
ସାଥୀ ସିଷ୍ଟମ୍,buddy system
ବଜେଟ୍ ପ୍ରଭାବଶାଳୀ ନିୟନ୍ତ୍ରଣ |,budget effective control
ବଫର୍,buffer
ତ୍ରୁଟି,bug
ବସ୍,bus
ବାଇଟ୍ |,byte
ବାଇଟ୍ କୋଡ୍ |,byte code
ଗ,c
C ++,C++
କ୍ୟାଚ୍,cache
କ୍ୟାଚ୍ ବଫର୍ |,cache buffer
କ୍ୟାଶେ ମେମୋରୀ,cache memory
ଗଣନା,calculation
କାଲକୁଲେଟର,calculator
କାଲକୁଲେଟର ଚିପ୍,calculator chip
କଲ୍ କରନ୍ତୁ |,call
ନାମରେ କଲ୍ କରନ୍ତୁ |,call by name
ରେଫରେନ୍ସ ଦ୍ୱାରା କଲ୍ କରନ୍ତୁ |,call by reference
ମୂଲ୍ୟ ଅନୁଯାୟୀ କଲ୍ କରନ୍ତୁ |,call by value
ଭେରିଏବଲ୍ ଦ୍ୱାରା କଲ୍ କରନ୍ତୁ |,call by variables
କଲ୍ ଗେଟ୍ |,call gate
ବାତିଲ୍ କରନ୍ତୁ |,cancel
ବାତିଲ୍ ବଟନ୍,cancel button
କାନୋନିକାଲ୍ |,canonical
କାନୋନିକାଲ୍ ଫର୍ମ |,canonical form
ସାମର୍ଥ୍ୟ |,capability
ସାମର୍ଥ୍ୟ ତାଲିକା |,capability list
କ୍ଷମତା,capacity
କ୍ୟାପ୍ ଲକ୍ କୀ |,caps lock key
କାର୍ଡ,card
କାର୍ଡ ରିଡର୍ |,card reader
ହୃଦୟ,cardinality
ବାହକ,carrier
ବାହକ ବ୍ୟାଣ୍ଡ |,carrier band
ବାହକ ଭାର,carrier load
ବାହକ ସଙ୍କେତ,carrier signal
ବାହକ ତରଙ୍ଗ |,carrier wave
ବହନ କର,carry
ଅଙ୍କ ବହନ କର |,carry digit
ପତାକା ବହନ କର |,carry flag
କାର୍ଟ୍ରିଜ୍ ଡିସ୍କ |,cartridge disk
କ୍ୟାସକେଡ୍ |,cascade
କେସ୍,case
କ୍ୟାଥୋଡ୍ ରେଡ୍ ଟ୍ୟୁବ୍ (CRT),cathod ray tube (CRT)
କ୍ୟାଥୋଡ୍ ରେଶ୍ ଟ୍ୟୁବ୍ (CRT),cathode ray tube (CRT)
CD ROM ଡିସ୍କ ଡ୍ରାଇଭ |,CD ROM disk drive
କକ୍ଷ,cell
ସେଲ୍ ଆନିମେସନ୍ |,cell animation
ସେଲୁଲାର୍ ଫୋନ୍ |,cellular phone
କେନ୍ଦ୍ରୀୟ ସ୍ମୃତି,central memory
କେନ୍ଦ୍ରୀୟ ପ୍ରକ୍ରିୟାକରଣ ଏକକ (CPU),central processing unit (CPU)
କେନ୍ଦ୍ରୀଭୂତ ପ୍ରଣାଳୀ |,centralized system
ସାର୍ଟିଫିକେଟ୍ ଟେପ୍ |,certified tape
ଶୃଙ୍ଖଳା,chain
ଶୃଙ୍ଖଳା ତଥ୍ୟ,chain data
ଶୃଙ୍ଖଳା ଲିଙ୍କ୍ |,chain link
ଶିକୁଳି,chaining
ଚ୍ୟାନେଲ୍ |,channel
ଚ୍ୟାନେଲ ବ୍ୟସ୍ତ ସ୍ୱର |,channel busy tone
ଚ୍ୟାନେଲ କ୍ଷମତା |,channel capacity
ଚ୍ୟାନେଲ ନିୟନ୍ତ୍ରକ,channel controller
ଚ୍ୟାନେଲ ତ୍ରୁଟି |,channel error
ଚ୍ୟାନେଲ୍ ପ୍ରୋଗ୍ରାମ୍ |,channel program
ଚ୍ୟାନେଲ ନିର୍ଭରଯୋଗ୍ୟତା |,channel reliability
ଚ୍ୟାନେଲ୍ ସେଟ୍ |,channel set
ବର୍ଣ୍ଣ,character
ବର୍ଣ୍ଣ କୋଡ୍,character code
ବର୍ଣ୍ଣ ଚାବି,character key
ବର୍ଣ୍ଣ ପାଠକ,character reader
ବର୍ଣ୍ଣ ଆକାର,character size
ଚାର୍ଟ,chart
ଖାସ୍,chassis
ବିଟ୍ ଯାଞ୍ଚ କରନ୍ତୁ |,check bit
ଅଙ୍କ ଯାଞ୍ଚ କରନ୍ତୁ |,check digit
ଯାଞ୍ଚ ରାଶି,check sum
ଶବ୍ଦ ଯାଞ୍ଚ କରନ୍ତୁ |,check word
ଚିପ୍,chip
ଚିପ୍ ସେଟ୍ |,chip set
ବାଛନ୍ତୁ |,choose
କ୍ରୋମେଟିକ୍,chromatically
ସାଇଫର୍,cipher
ସର୍କିଟ,circuit
ବୃତ୍ତାକାର ତାଲିକା |,circular list
ସାଇରସ୍,cirus
ଉଦ୍ଧୃତ,citation
ଶ୍ରେଣୀ,class
କ୍ଲାସ୍ ଭେରିଏବଲ୍ |,class variable
ବର୍ଗୀକରଣ,classification
ସଫା,clear
ପରିଷ୍କାର କ୍ଷେତ୍ର,clear area
ଚ୍ୟାନେଲ୍ ସଫା କରନ୍ତୁ |,clear channel
କ୍ଲିକ୍ କରନ୍ତୁ |,click
କ୍ଲାଏଣ୍ଟ,client
କ୍ଲାଏଣ୍ଟ ସର୍ଭର |,client server
କ୍ଲାଏଣ୍ଟ ଷ୍ଟବ୍ |,client stub
କ୍ଲିପ୍ ଆର୍ଟ,clip art
କ୍ଲିପ୍ ଆର୍ଟ ଲାଇବ୍ରେରୀ |,clip art library
କ୍ଲିପ୍ ବୋର୍ଡ |,clip board
କ୍ଲିପର୍,clipper
କ୍ଲିପର୍ ଚିପ୍ |,clipper chip
କ୍ଲିକ୍,clique
ଘଣ୍ଟା,clock
ଘଣ୍ଟା ଚକ୍ର |,clock cycle
ଘଣ୍ଟା ଆବୃତ୍ତି,clock frequency
ଘଣ୍ଟା ହାର୍ଡୱେର୍ |,clock hardware
ଘଣ୍ଟା ନାଡ |,clock pulse
ଘଣ୍ଟା ଗତି,clock speed
ଘଣ୍ଟା ସିଙ୍କ୍ରୋନାଇଜେସନ୍ |,clock synchronization
ଘଣ୍ଟା ଟିକ୍ |,clock tick
କ୍ଲୋନ୍ |,clone
ବନ୍ଦ,close
କ୍ଲୋଜ ସର୍କିଟ ଟିଭି (CCTV),close circuit TV (CCTV)
ବନ୍ଦ,closure
କ୍ଲାଉଡ୍ ଗଣନା,cloud computing
କ୍ଲଷ୍ଟର,cluster
ଆଚ୍ଛାଦିତ କାର୍ଡ |,coated card
ଆବୃତ କାଗଜ |,coated paper
ସମବାୟ,coaxial
ସମବାୟ କେବୁଲ୍ |,coaxial cable
କୋଡାସିଲ୍ |,codasyl
କୋଡ୍,code
କୋଡ୍ ଜେନେରେଟର,code generator
କୋଡ୍ ପୃଷ୍ଠା |,code page
କୋଡ୍ ୱାର୍ଡ,code word
କୋଡର୍,coder
କୋଡିଂ ଯାଞ୍ଚ |,coding check
କୋଡିଂ ଫର୍ମ |,coding form
କୋଡିଂ ସିଟ୍ |,coding sheet
ଗୁଣବତ୍ତା,coefficient
ସମନ୍ୱୟ,coherence
ଥଣ୍ଡା ବୁଟ,cold boot
ଥଣ୍ଡା ଆରମ୍ଭ,cold start
ସହଯୋଗ,collaboration
ଭୁଶୁଡ଼ିବା |,collapse
ସଂଗ୍ରହ କରନ୍ତୁ |,collate
କୋଲେଟ୍ ଟେପ୍ |,collate tape
ଧକ୍କା,collision
କୋଲନ୍,colon
ରଙ୍ଗ (ରଙ୍ଗ),colour (color)
ରଙ୍ଗ ପରିପୃଷ୍ଠା |,colour saturation
ରଙ୍ଗ ଟେବୁଲ୍ |,colour table
ସ୍ତମ୍ଭ,column
ମିଶ୍ରଣ,combination
କମ୍ବୋ ବାକ୍ସ,combo box
ନିର୍ଦ୍ଦେଶ,command
ନିର୍ଦ୍ଦେଶ ବଟନ୍,command button
ନିର୍ଦ୍ଦେଶ ତାଲିକା |,command list
ମନ୍ତବ୍ୟ ଦିଅନ୍ତୁ |,comment
ପ୍ରତିବଦ୍ଧତା,commitment
ଦ୍ରବ୍ୟ,commodity
ସାଧାରଣ ବ୍ୟବସାୟ ଓରିଏଣ୍ଟେଡ୍ ଭାଷା (କୋବୋଲ୍),Common Business Oriented Language (Cobol)
ସାଧାରଣ ତ୍ରୁଟି |,common error
ସାଧାରଣ ଭାଷା |,common language
ସାଧାରଣ ରୁଟିନ୍ |,common routine
ଯୋଗାଯୋଗ |,communication
ଯୋଗାଯୋଗ ରେଖା,communication line
ଯୋଗାଯୋଗ ମୋଡ୍ |,communication mode
ଯୋଗାଯୋଗ ନେଟୱାର୍କ |,communication network
ଯୋଗାଯୋଗ ପାରାମିଟର,communication parameter
ଯୋଗାଯୋଗ ବ୍ୟବସ୍ଥା |,communication system
ସଙ୍କୋଚନ,compaction
କମ୍ପାଣ୍ଡର୍,compander
କମ୍ପାଣ୍ଡିଂ,companding
କମ୍ପାନୀ ନେଟୱାର୍କ |,company network
ତୁଳନା ପରୀକ୍ଷା,comparison test
ସୁସଙ୍ଗତତା,compatibility
ସୁସଙ୍ଗତ,compatible
ସଂକଳନ,compilation
ସଙ୍କଳନ କର ଏବଂ ଯାଅ |,compile and go
କମ୍ପାଇଲର୍,compiler
ସଙ୍କଳନକାରୀ ଭାଷା |,compiler language
ସଂପନ୍ନ,complementary
ସପ୍ଲିମେଣ୍ଟ-ଅନ-ଦଶ,complement-on-ten
ସଂପନ୍ନକାରୀ |,complementor
ସମ୍ପୁର୍ଣ୍ଣ ବହନ,complete carry
ଜଟିଳ,complex
ଜଟିଳ ସଂଖ୍ୟା,complex number
ଉପାଦାନ,component
ଉପାଦାନ ବସ୍ତୁ ମଡେଲ (COM),component object model (COM)
ମିଶ୍ରିତ,composite
ରଚନା,composition
ଗଣନା,computational
କମ୍ପ୍ୟୁଟର,computer
କମ୍ପ୍ୟୁଟର କେନ୍ଦ୍ର,computer centre
କମ୍ପ୍ୟୁଟର ବିଶେଷଜ୍ଞ |,computer expert
