Hindi,Bengali
पता संकेतक,ঠিকানা পয়েন্টার
पता पंजी,ঠিকানা রেজিস্টার
पता संकेत,ঠিকানা সংকেত
पता आमाप,ঠিকানা আকার
पता स्थान,ঠিকানা স্থান
पता स्थान अभिज्ञापक,ঠিকানা স্পেস আইডেন্টিফায়ার
पता विराम,ঠিকানা স্টপ
पता अनुरेख,ঠিকানা ট্রেস
पता मार्ग,ঠিকানা ট্র্যাক
पता अनुवाद,ঠিকানা অনুবাদ
पता अनुवादक,ঠিকানা অনুবাদক
संकलन व्यवकलन काल,বিয়োগের সময় যোগ করুন
संकलन काल,সময় যোগ করুন
संलग्नता,সংলগ্নতা
संलग्नता संरचना,সংলগ্ন কাঠামো
संलग्न प्रणाल,সংলগ্ন চ্যানেল
संलग्न प्रांत,সংলগ্ন ডোমেন
सहखंडज मैट्रिक्स,সংলগ্ন ম্যাট্রিক্স
संलग्न आसंधि,সংলগ্ন নোড
संलग्न उपक्षेत्र,সংলগ্ন সুবেরিয়া
संलग्न (तंत्र),স্থগিত (সিস্টেম)
समायोजन,সামঞ্জস্য করুন
समायोज्य विस्तार,সামঞ্জস্যযোগ্য মাত্রা
समायोज्य पाठ्यांश विधा,পাঠ্য মোড সামঞ্জস্য করুন
प्रशासनिक आँकड़ा संसाधन,প্রশাসনিক ডেটা প্রসেসিং
प्रशासनिक प्रचालन,প্রশাসনিক অপারেশন
प्रशासनिक प्रचालक,প্রশাসনিক অপারেটর
प्रशासनिक प्रचालन केन्द्र,প্রশাসনিক অপারেটর স্টেশন
प्रशासन सहाय तंत्र,প্রশাসনিক সহায়তা সিস্টেম
उन्नत संचार सेवा,উন্নত যোগাযোগ পরিষেবা
उन्नत सूचना तंत्र,উন্নত তথ্য সিস্টেম
उन्नत प्रकाशिक संप्रतीक पठित्र,উন্নত অপটিক্যাল চরিত্র পাঠক
उन्नत वैज्ञानिक अभिकलित्र,উন্নত বৈজ্ঞানিক কম্পিউটার
एरियल,এরিয়াল
पुंज,সমষ্টি
पुंज व्यंजक,সামগ্রিক অভিব্যক্তি
संधानित्र,লক্ষ্য বৃত্ত
संधान प्रतीक,লক্ষ্য ক্ষেত্র (= লক্ষ্য প্রতীক)
संधान प्रतीक,লক্ষ্য প্রতীক
वायुवाहित अभिकलित्र तंत्र,বায়ুবাহিত কম্পিউটার সিস্টেম
बीजीय आइगनमान समस्या,বীজগণিত ইগেনভ্যালু সমস্যা
बीजीय समाकलन,"বীজগণিত
 মিশ্রণ"
"बीजीय भाषा, बीज भाषा",বীজগণিত ভাষা
बीजीय प्रकलन,বীজগণিত হেরফের
बीजीय प्रकलन भाषा,বীজগণিত ম্যানিপুলেশন ভাষা
बीजोन्मुखी भाषा,বীজগণিতমুখী ভাষা
बीजीय विस्थापन,বীজগণিত শিফট
बीजीय चिह्न परिपाटी,বীজগণিত সাইন কনভেনশন
ऐल्गॉल,অ্যালগল
ऐल्गॉल लक्षण,অ্যালগল বৈশিষ্ট্য
ऐल्गॉल क्रमादेशन,অ্যালগল প্রোগ্রামিং
"कलन विधि, एल्गोरिथ्म",অ্যালগরিদম
कलन विधि साहचर्य भाषा,অ্যালগরিদম সহযোগী ভাষা
कलन विधि वर्गीकरण,অ্যালগরিদম শ্রেণিবিন্যাস
कलन विधि जटिलता,অ্যালগরিদম জটিলতা
कलन विधि अभिकलनीयता,অ্যালগরিদম গণনাযোগ্যতা
कलन विधि विश्लेषण,অ্যালগরিদমিক বিশ্লেষণ
कलनविधीय उपगमन,অ্যালগরিদমিক পদ্ধতির
कलनविधीय भाषा,অ্যালগরিদমিক ভাষা
कलनविधीय नेमका,অ্যালগরিদমিক রুটিন
कलनविधीय सिद्धांत,অ্যালগরিদমিক তত্ত্ব
अपर,ওরফে
उपघटन,এলিয়াসিং
"अपर नाम, उर्फ नाम",ওরফে নাম (= বিকল্প নাম)
सरेखण,প্রান্তিককরণ
नियतन,বরাদ্দ
नियतन संरचना,বরাদ্দ কাঠামো
सर्वोद्देशीय अभिकलित्र,সমস্ত উদ্দেশ্যমূলক কম্পিউটার
अक्षरात्मक संप्रतीक,বর্ণমালা চরিত্র
अक्षरात्मक संप्रतीक समुच्चय,বর্ণমালা চরিত্র সেট
अक्षरात्मक संप्रतीक उपसमुच्चय,বর্ণমালা চরিত্রের সাবসেট
अक्षरात्मक कूट,বর্ণমালা কোড
अक्षरात्मक विस्थापन,বর্ণমালা শিফট
अक्षरात्मक रज्जु,বর্ণমালা স্ট্রিং
अक्षरात्मक शब्द,বর্ণমালা শব্দ
वर्णानुक्रमण,বর্ণমালা
अक्षरात्मक ज्यामितिकी,আলফেজোমেট্রিক্স
अक्षरांकीय,বর্ণমালা
अल्फामोजेक,আলফামোসাইক
अक्षरांकीय,বর্ণমালা
अक्षरांकीय कुंजीपटल युक्ति,আলফানুমারিকাল কীবোর্ড ডিভাইস
अक्षरांकीय संप्रतीक समुच्चय,আলফানিউমেরিক চরিত্র সেট
अक्षरांकीय कूट,আলফানিউমেরিক কোড
अक्षरांकीय कूटलिखित संप्रतीक समुच्चय,আলফানিউমেরিক কোডেড চরিত্র সেট
अक्षरांकीय आँकड़े,আলফানিউমেরিক ডেটা
अक्षरांकीय प्रदर्श युक्ति,আলফানিউমেরিক ডিসপ্লে ডিভাইস
अक्षरांकीय संपादित संप्रतीक,আলফানিউমেরিক সম্পাদিত চরিত্র
अक्षरांकीय क्षेत्र,আলফানিউমেরিক ফিল্ড
अक्षरांकीय अनुदेश,বর্ণমালা নির্দেশ
अक्षरांकीय कुंजी पटल,আলফানিউমেরিক কীবোর্ড
अक्षरांकीय शाटन,আলফানিউমেরিক বাছাই
अक्षरांकीय भंडारण,আলফানিউমেরিক স্টোরেজ
परिवर्तनीय स्मृति,পরিবর্তনযোগ্য মেমরি
परिवर्तन स्विच,পরিবর্তন সুইচ
परिवर्तन,পরিবর্তন
परिवर्तन विधा,পরিবর্তন মোড
वैकल्पिक पुनःप्राप्ति,বিকল্প পুনরুদ্ধার
वैकल्पिक मार्ग,বিকল্প রুট
वैकल्पिक मार्गचयन,বিকল্প রাউটিং
वैकल्पिक मार्ग,বিকল্প ট্র্যাক
अथवा' संक्रिया,বিকল্প (= বা অপারেশন)
वैकल्पिक गुण,বিকল্প বৈশিষ্ট্য
तथा पूरक' संक्रिया,বিকল্প অস্বীকার (= না-অপারেশন)
संदिग्धता त्रुटि,অস্পষ্টতা ত্রুটি
संदिग्धता संर्दभ,অস্পষ্ট রেফারেন্স
अनुरूप,অ্যানালগ
अनुरूप योजक,অ্যানালগ অ্যাডার
अनुरूप प्रणाल,অ্যানালগ চ্যানেল
अनुरूप अभिकलित्र,অ্যানালগ কম্পিউটার
अनुरूप परिवर्तक,অ্যানালগ রূপান্তরকারী
अनुरूप आँकड़े,অ্যানালগ ডেটা
अनुरूप विभाजनी,অ্যানালগ বিভাজক
अनुरूप सुविधा टर्मिनल,অ্যানালগ সুবিধা টার্মিনাল
अनुरूप फलन जनक,"অ্যানালগ ফাংশন
 জেনারেটর"
अनुरूप समाकलन,অ্যানালগ ইন্টিগ্রেশন
अनुरूप गुणक,অ্যানালগ গুণক
अनुरूप क्रमादेशन,অ্যানালগ প্রোগ্রামিং
अनुरूप मापन,অ্যানালগ স্কেলিং
अनुरूप संकेत,এনালগ সংকেত
अनुरूप अनुकार,অ্যানালগ সিমুলেশন
अनुरूप स्विच,অ্যানালগ সুইচ
अनुरूप तंत्र,অ্যানালগ সিস্টেম
अनुरूप अंकीय परिवर्तक,"ডিজিটাল অ্যানালগ
 রূপান্তরকারী"
अनुरूप अंकीयकूटलेखक,"ডিজিটাল অ্যানালগ
 এনকোডার"
अनुरूप संचरण,অ্যানালগ সংক্রমণ
अनुरूप प्रकार,অ্যানালগ প্রকার
विश्लेषण खंड़क,বিশ্লেষণ ব্লক
विश्लेषण विधा,বিশ্লেষণ মোড
वैश्लेषिक इंजन,বিশ্লেষণাত্মক ইঞ্জিন
पूर्वज कार्य,পৈতৃক কাজ
सहायक उपकरण,আনুষঙ্গিক সরঞ্জাম
तथा',এবং
तथा' परिपथ,এবং সার্কিট
तथा' अवयव,এবং উপাদান
तथा' द्वार,এবং গেট
तथा' प्रच्छादन,এবং মাস্কিং
अपवर्जन,এবং অপারেশন নয় (= বর্জন
तथा' संक्रिया,এবং অপারেশন
चयक स्मृति,সংযুক্তি স্মৃতি
टिप्पण,টীকা
आख्यापित्र,ঘোষণা
तुरत उत्तर,উত্তর পাঠাও
उत्तर विलंब,উত্তর দেরি
उत्तर काल,উত্তর সময়
उत्तर बत्ती,উত্তর প্রদীপ
उत्तर सूची,উত্তর তালিকা
केवल उत्तर,শুধুমাত্র উত্তর
प्रत्याशा विधा,প্রত্যাশা মোড
प्रत्याशामूलक चयकन,প্রত্যাশিত বাফারিং
प्रत्याशामूलक हासिल,প্রত্যাশিত বহন
प्रत्याशामूलक पृष्ठन,প্রত্যাশিত পেজিং
प्रतिसंपाती संक्रिया,অ্যান্টিকোয়েনসেন্স অপারেশন
प्रतिसंपाती अवयव,অ্যান্টিকোইনসেন্টেন্ট উপাদান
अनावर्ती ऐन्टेना,অ্যাপেরিওডিক অ্যান্টেনা
द्वारक पत्रक,অ্যাপারচার কার্ড
द्वारक कूट,অ্যাপারচার কোড
द्वारक काल,অ্যাপারচার সময়
अनुबंध,সংযোজন
अनुबंध कार्य,অ্যাপেন্ডেজ টাস্ক
अनुप्रयोग विकासक,অ্যাপ্লিকেশন ডেভেলপার
अनुप्रयोग स्तर,আবেদন স্তর
अनुप्रयोग मूलक भाषा,অ্যাপ্লিকেশন ভিত্তিক ভাষা
अनुप्रयोग (क्रमादेश) संकुल,অ্যাপ্লিকেশন প্যাকেজ
अनुप्रयोग क्रमादेश,এপ্লিকেশন প্রোগ্রাম
अनुप्रयोग क्रमादेशन,অ্যাপ্লিকেশন প্রোগ্রামিং
अनुप्रयोग अपेक्षित भाषा,অ্যাপ্লিকেশন প্রয়োজনীয় ভাষা
अनुप्रयोग प्रक्रिया सामग्री,অ্যাপ্লিকেশন সফ্টওয়্যার
अधिरोपण,অ্যাপ্লিক
सन्निकटन सिद्धांत,আনুমানিক তত্ত্ব
स्वेच्छ अभिगम,স্বেচ্ছাসেবী অ্যাক্সেস
स्वेच्छ अनुक्रम अभिकलित्र,স্বেচ্ছাসেবী সিকোয়েন্স কম্পিউটার
मध्यस्थ,সালিশ
"वास्तुकला, स्थापत्यकला",আর্কিটেকচার
पुराभंडारण,সংরক্ষণাগার
क्षेत्र कूट,এরিয়া কোড
क्षेत्र खोज,অঞ্চল অনুসন্ধান
क्षेत्र स्थानांतरण,অঞ্চল স্থানান্তর
क्षेत्र चर,অঞ্চল পরিবর্তনশীল
स्वतंत्र चर,যুক্তি
स्वतंत्र चर पता,যুক্তি ঠিকানা
स्वतंत्र चर सूची,যুক্তি তালিকা
अंकगणितीय अनुदेश,গাণিতিক নির্দেশ
अंक गणितीय एंव तर्क एकक,গাণিতিক এবং যুক্তি ইউনিট
अंकगणितीय नियतन कथन,গাণিতিক অ্যাসাইনমেন্ট বিবৃতি
अंकगणितीय जाँच,গাণিতিক চেক
अंकगणितीय अचर,পাটিগণিত ধ্রুবক
अंकगणितीय रूपांतर,গাণিতিক রূপান্তর
अंकगणितीय आँकड़े,গাণিতিক ডেটা
अंकगणितीय अपवाद,পাটিগণিত ব্যতিক্রম
अंकगणितीय व्यंजक,গাণিতিক অভিব্যক্তি
अंकगणितीय नियत बिन्दु,গাণিতিক স্থির পয়েন্ট
अंकगणितीय पदानुक्रम,পাটিগণিত শ্রেণিবিন্যাস
अंकगणितीय 'यदि' कथन,বিবৃতি যদি গাণিতিক
अंकगणितीय तर्क,গাণিতিক যুক্তি
अंकगणितीय तर्क एकक,গাণিতিক যুক্তি ইউনিট
अंकगणितीय संक्रिया,পাটিগণিত অপারেশন
अंकगणितीय संकारक,পাটিগণিত অপারেটর
अंकगणितीय अधिप्रवाह,পাটিগণিত ওভারফ্লো
अंकगणितीय चित्र आँकड़े,গাণিতিক ছবির ডেটা
अंकगणितीय पूर्वता,গাণিতিক অগ্রাধিকার
अंकगणितीय प्राथमिक अवयव,গাণিতিক প্রাথমিক
अंकगणितीय पंजी,গাণিতিক নিবন্ধ
अंकगणितीय संबंध,গাণিতিক সম্পর্ক
अंकगणितीय क्रमवीक्षण,গাণিতিক স্ক্যান
अंकीय अनुभाग,গাণিতিক বিভাগ
अंकगणितीय विस्थापन,গাণিতিক শিফট
अंकगणितीय विस्थापन,গাণিতিক স্থানান্তর
अंकगणितीय कथन,পাটিগণিত বিবৃতি
अंकगणितीय पद,গাণিতিক শব্দ
अंकगणितीय अधोप्रवाह,পাটিগণিত আন্ডারফ্লো
अंकीय एकक,গাণিতিক ইউনিট
सरणी,অ্যারে
सरणी परिबंध,অ্যারে বাউন্ড
सरणी अभिकलित्र,অ্যারে কম্পিউটার
सरणी विमा,অ্যারে মাত্রা
सरणी अवयव,অ্যারে উপাদান
सरणी व्यंजक,অ্যারে এক্সপ্রেশন
सरणी नाम,অ্যারের নাম
संरचना सरणी,কাঠামোর অ্যারে
सरणी मुद्रण,অ্যারে প্রিন্টিং
सरणी संसाधन,অ্যারে প্রসেসিং
सरणी संसाधित्र,অ্যারে প্রসেসর
संधि बिन्दु,বক্তৃতা পয়েন্ট
कृत्रिम बोध,কৃত্রিম জ্ঞান
कृत्रिम बुद्धि,কৃত্রিম বুদ্ধিমত্তা
कृत्रिम भाषा,কৃত্রিম ভাষা
कृत्रिम चर,কৃত্রিম পরিবর্তনশীল
कला अनुप्रयोग आकड़ा बैंक,আর্টস অ্যাপ্লিকেশন ডেটা ব্যাংক
कला अनुप्रयोग संगीत,আর্টস অ্যাপ্লিকেশন সংগীত
कला अनुप्रयोग प्रतिरूप जनन,আর্টস অ্যাপ্লিকেশন প্যাটার্ন জেনারেশন
आरोहक,আরোহী
आरोही छँटाई,আরোহী বাছাই
आस्की,Ascil
आस्की नियंत्रण संप्रतीक,ASCII নিয়ন্ত্রণ চরিত্র
आस्की कुंजी पटल,ASCII কী বোর্ড
अभिमुखता,দিক
अभिमुखता पत्रक,দিক এবং
कोड़ांतरण,একত্রিত করা
कोड़ांतरित उद्गम,একত্রিত উত্স
कोडांतरण अवधि,সময়কাল একত্রিত করুন
कोडांतरक,এসেম্বলার
कोडांतरक निर्देश,এসেম্বলার ডাইরেক্টিভ
कोडांतरक सुविधा,এসেম্বলার সুবিধা
कोडांतरण भाषा,এসেম্বলার ভাষা
कोडांतरण,একত্রিত
कोडांतरण प्रावस्था,সমাবেশ পর্ব
कोडांतरण काल,সময় একত্রিত
कोडांतरण,সমাবেশ
कोडांतरण भाषा,এসেম্বলি
कोडांतरण भाषा क्रमादेशन,অ্যাসেম্বলি ল্যাঙ্গুয়েজ প্রোগ্রামিং
कोडांतरण भाषा प्रक्रियासामग्री नम्यता,সমাবেশ ভাষা সফ্টওয়্যার নমনীয়তা
कोडांतरण सूचीकरण,সমাবেশ তালিকা
कोडांतरण प्रावस्था,সমাবেশ পর্ব
कोडांतरण नेमका,সমাবেশ রুটিন
कोडांतरण काल,সমাবেশ সময়
कोडांतरण एकक,সমাবেশ ইউনিট
नियतन सूचीकरण,অ্যাসাইনমেন্ট ইনডেক্সিং
नियतन संक्रिया,অ্যাসাইনমেন্ট অপারেশন
नियतन कथन,নিয়োগ বিবৃতি
साहचर्य पता,সহযোগী ঠিকানা
साहचर्य सरणी पंजी,সহযোগী অ্যারে রেজিস্টার
साहचर्य कुंजी,সহযোগী কী
साहचर्य भाषा,সহযোগী ভাষা
साहचर्य स्मृति,সহযোগী স্মৃতি
साहचर्य भंडारण,সহযোগী স্টোরেজ
कल्पित दशमलव बिन्दु,দশমিক বিন্দু ধরে নেওয়া
असममित युक्ति,অসমমিত ডিভাইস
असममित नि/नि.,অসমমিত আই/ও
अतुल्यकालिक; अतुल्यकाली,অ্যাসিঙ্ক্রোনাস
अतुल्यकालिक अभिकलित्र,অ্যাসিঙ্ক্রোনাস কম্পিউটার
अतुल्यकालिक आँकड़ा अंतरण,অ্যাসিঙ্ক্রোনাস ডেটা ট্রান্সফার
अतुल्यकालिक आँकड़ा प्रेषण,অ্যাসিঙ্ক্রোনাস ডেটা ট্রান্সমিশন
अतुल्यकालिक युक्ति,অ্যাসিঙ্ক্রোনাস ডিভাইস
"अतुल्यकाली प्रचालन, अतुल्यकाली संक्रिया",অ্যাসিঙ্ক্রোনাস অপারেশন
अतुल्यकालिक संकेतन,অ্যাসিঙ্ক্রোনাস সিগন্যালিং
अतुल्यकालिक समय विभाजन बहुसंकेतन,অ্যাসিঙ্ক্রোনাস সময় বিভাগ মাল্টিপ্লেক্সিং
अतुल्यकालिक संचरण,অ্যাসিঙ্ক্রোনাস ট্রান্সমিশন
अतुल्यकालिक निष्पादन,অ্যাসিঙ্ক্রোনাস ওয়ার্কিং
संलग्न संसाधन,সংযুক্ত প্রক্রিয়াজাতকরণ
संलग्न संसाधित्र,সংযুক্ত প্রসেসর
संलग्न आलंब संसाधित्र,সংযুক্ত সমর্থন প্রসেসর
उपस्थितसापेक्ष प्रचालन,অপারেশন উপস্থিত
उपस्थिति लीक मुद्रित्र,ট্রেল প্রিন্টারে অংশ নিয়েছেন
ध्यान अंतरायन,মনোযোগ বাধা
ध्यान कुंजी,মনোযোগ কী
क्षीणन,মনোযোগ
क्षीणनांक,অবিচ্ছিন্ন ধ্রুবক
क्षीणन विरूपण,মনোযোগ বিকৃতি
क्षीणन तुल्यकारक,মনোযোগ সমতুল্য
क्षीणकारी,অ্যাটেনুয়েটর
गुण,বৈশিষ্ট্য
श्रव्य सचेतक,শ্রাবণ অ্যালার্ম
श्रव्य कैसट,অডিও ক্যাসেট
श्रव्य जाँच,অডিও তদন্ত
श्रव्य लाइन,অডিও লাইন
श्रव्य अनुक्रिया,অডিও প্রতিক্রিয়া
श्रव्य अनुक्रिया संदेश,অডিও প্রতিক্রিয়া বার্তা
श्रव्य अनुक्रिया एकक,অডিও প্রতিক্রিয়া ইউনিট
श्रव्य टेप भंडारण एकक,অডিওটেপ স্টোরেজ ইউনিট
श्रव्य दूरसंचार लाइन,অডিও টেলিযোগাযোগ লাইন
श्रव्य अंतक,অডিও টার্মিনাল
लेखापरीक्षा समादेश भाषा,অডিট কমান্ড ভাষা
लेखापरीक्षा क्रमादेशन,অডিট প্রোগ্রামিং
लेखा सत्यापन,নিরীক্ষা পথ
योजक,অগেন্ড
संवर्थ,অগমেন্ট
संवर्धक,অগমেন্টার
संलेखक,লেখক
संलेखन,অনুমোদন
संलेखन प्रणाली,অনুমোদন ব্যবস্থা
प्राधिकार,কর্তৃপক্ষ
प्राधिकरण कूट,অনুমোদন কোড
प्राधिकृत क्रमादेश संग्रह,অনুমোদিত গ্রন্থাগার
प्राधिकृत क्रमादेश,অনুমোদিত প্রোগ্রাম
प्राधिकृत क्रमादेश सुविधा,অনুমোদিত প্রোগ্রাম সুবিধা
स्व-साराहरण,অটো অ্যাবস্ট্রাক্ট
स्वतः उत्तरित्र,স্বয়ংক্রিয় উত্তর
स्वतः उत्थानी,অটো বুটিং
स्व उपमार्ग,অটো বাইপাস
स्वतः आह्वान,অটো কল (= স্বয়ংক্রিয় কলিং)
स्वकूटलेखक,অটো কোডার
स्वतः डायलन,স্বয়ংক্রিয় কল
स्वतः प्रवाह,অটোফ্লো
स्वतः सूचक,অটো সূচক
स्वतः सूचकित पताभिगमन,অটো ইনডেক্সড অ্যাড্রেসিং
स्वचल प्ररूप,অটোমেটা
स्वचल प्ररूप सिद्धांत,অটোমেটা তত্ত্ব
स्वचल प्ररूप प्रकार,অটোমেটা টাইপ
कंप्यूटरित ग्रंथ सूची,স্বয়ংক্রিয় গ্রন্থপঞ্জি
कंप्यूटरित आँकड़ा माध्यम,স্বয়ংক্রিয় ডেটা মিডিয়াম
कंप्यूटरित कोश,স্বয়ংক্রিয় অভিধান
