Odiya,Telugu
ଆଲି କ୍ରପ୍ କରିବା |,అల్లే క్రాపింగ్
Alloarcy,కేటాయింపు
ଆଲଗଲାମି |,అయోగాగమి
Allomitry,అలోమెట్రీ
ଆଲୋପୋଲିଆପ୍ଲଏଡ୍ |,అల్లోపాలిప్లోయిడ్
Allosynapp ଗୁଡିକ (ଆଲିଷ୍ଟିଣ୍ଡେସ୍),(అలోసిన్సిస్ఐలు
ବିକଳ୍ପ ନୋଟିଂ |,ప్రత్యామ్నాయ బేరింగ్
ବିକଳ୍ପ ଭୂମି ବ୍ୟବହାର |,ప్రత్యామ్నాయ భూ వినియోగం
ପରିବେଶ,పరిసర
ଅମୃତାରା,అమేలియోరెంట్
ଅମିତୋସାଇସ୍ |,అమిటోసిస్
ଅମୃତନ,అమినైజేషన్
ଆମୋନିଫିକେଟ୍,అమ్మోనిఫికేషన్
ଆମୋନିଫାୟର୍,అమ్మోనిఫైయర్
ଅମୋରଫ,AMORFH
ଆମ୍ଫିମିକ୍ସିସ୍ |,యాంఫిమిక్సిస్
ଆମ୍ଫୋଷ୍ଟିକ୍ |,యాంఫోటెరిక్
ଆନାବୋଲିଜିମ୍ |,అనాబాలిజం
ଆନାରୋବେ |,Anaerobe
ଆନୁପ୍ଲଏଡ୍ |,అనూప్లోయిడ్
କୋଣ ବୃକ୍ଷ,యాంగిల్ నాటడం
ପଶୁ କୁମ୍ଭାରୀ,పశుసంరక్షణ
ପଶୁ ମନା କରେ |,జంతు తిరస్కరణ
ଆନିମେଟ୍ ଶକ୍ତିମାନ |,శక్తిని యానిమేట్ చేయండి
Aningoploid,అనిసోప్లాయిడ్
ବାର୍ଷିକ ଉଦ୍ଭିଦ |,వార్షిక ప్లాంట్
ବାର୍ଷିକ,వార్షిక
ଆନେସିଟି,సంశ్లేషణ
ଆନ୍ଥ୍ରାକ୍ସ |,ఆంత్రాక్స్
ଆନ୍ଥ୍ରୋପେନିକ୍ କାରକ |,మానవ కారకం
ଆଣ୍ଟିବାସିସ୍,యాంటీబయోసిస్
ଆଣ୍ଟିବାୟୋଟିକ୍ |,యాంటీబయాటిక్
ପ୍ରତିକାର,విరుగుడు
ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ |,యాంటీఆక్సిడెంట్లు
ଆଣ୍ଟିଟୋକ୍ସିନ୍ |,యాంటిటాక్సిన్
ବ୍ରହ୍ମାଣ୍ଡ,యాన్యులస్
ଆପିଡ୍ |,అఫిడ్
ଆପିକାଲ୍ ଗୁଣ୍ଡ |,ఎపికల్ బడ్
ଆପିକାଲ୍ ପ୍ରାଧାନ୍ୟ |,ఎపికల్ ఆధిపత్యం
ଆପିକାଲ୍ଟର୍ (ମହୁମାଛି ରଖିବା),పుష్పగుచ్ఛము
ଆପୋମିକ୍ସସ୍ |,అపోమిక్సిస్
ଆପୋଟୋଏସ୍,అపోప్టోసిస్
ଅନୁକ୍ରମଣିକା,అనుబంధం
ଭୋକକାରୀ,ఆకలి
ପ୍ରୟୋଗ କରାଯାଏ |,అనువర్తిత
ଜଳୀୟ ତୃଣ,జల కలుపు
ଅର୍ବ୍ରାଲ୍ |,అర్బోరియల్
ସ୍ଥାପନ |,అర్బరైజేషన్
ପ୍ରତ୍ନତାତ୍ତ-ବଟାନିକାଲ୍ ରେକର୍ଡଗୁଡିକ |,ఆర్కియో-బొటానికల్ రికార్డులు
କ୍ଷେତ୍ର ପରିସଂଖ୍ୟାନ,ప్రాంత గణాంకాలు
କ୍ଷେତ୍ର,ప్రాంతం
ARID ECOSYSem |,శుష్క పర్యావరణ వ్యవస్థ
ଅରିଲ୍,అరిల్
ସୁଗନ୍ଧ,వాసన
ସୁଗନ୍ଧିତ ଉଦ୍ଭିଦ |,సుగంధ మొక్క
ସୁଗନ୍ଧିତ ଚାଉଳ |,సుగంధ బియ్యం
ତୀର,బాంజింగ్
ଆସେସିସ୍,అసేప్సిస్
ଅଭିଯୁକ୍ତ,అసెప్టిక్
ଶ୍ୱେକାର ପ୍ରଚାର,అలైంగిక ప్రచారం
ଆମ୍ପେ,పరీక్ష
ସମ୍ପତ୍ତି,ఆస్తులు
ଆସିମେଇର |,సమీకరణ
ସଙ୍ଗଠନ,అసోసియేషన్
Astringent,రక్తస్రావం
ଆସନାପାସୀ |,అసినప్సిస్
ସଂଲଗ୍ନବାଦ,అటావిజం
ପରମାଣିଜର,అటామైజర్
ଆଟ୍ରୋଫି |,క్షీణత
ଅଟୋଗାମି |,ఆటోగామి
ଅଟଲିସିସ୍ |,ఆటోలిసిస్
AroutDation,ఆటోక్సీడేషన్
ଅଟୋପୋଲାପ୍ଲୋଡ୍ |,ఆటోపోలిప్లోయిడ్
Auxins,ఆక్సిన్లు
Awn (ବ୍ରଷ୍ଟଲ୍),దంపతులు
ବାଦାମ |,బాదం
ଆଲୋ,కలబంద
ଅମରାନ୍ତିନ |,అమరాంథస్
ଆମି,Ammi
ଅଜାନର ଘାସ |,అంజన్ గడ్డి
ଆଠର୍ିୟମ୍ |,ఆంథూరియం
"ଆଲୋଲା, ଭାରତୀୟ ଗୋଲାକାର |","అయోన్లా, ఇండియన్ గూస్బెర్రీ"
ଆପଲ୍,ఆపిల్
ଆପ୍ରିକେଟ୍ |,నేరేడు పండు
ଆର୍ବିଆନ୍ ଜସ୍ମିନ୍ |,అర్బియన్ జాస్మిన్
Areca but,అరేకా గింజ
ଅର୍ଜନୁନ୍,అర్జున్
ଆସଫୋଏଡା,అస్ఫోటిడా
ପାଉଁଶ ଗୁଣ୍ଡ |,యాష్ పొట్లకాయ
ଅଶୋକା ଗଛ |,అశోక చెట్టు
ଅଶମ୍ମା ତୃଣକ (ଇଫୋରିୟା),కవచము కలుపు
ଅସରପା,ఆస్పరాగస్
ଆଭୋକାଡୋ |,అవోకాడో
ଆଲଫାଲଫା (ଲୁସେର୍ନ),అంతా అల్నాఫ్న్నే
ପିମ୍ପୁଡ଼ି,చీమలు
ଆପିଡସ୍ |,అఫిడ్స్
ସେନା ପୋକ,ఆర్మీ పురుగు
କୃଷି ଅର୍ଥନୀତିଜ୍ଞ,వ్యవసాయ ఆర్థికవేత్త
କୃଷି ବିସ୍ତାରବାଦୀ |,వ్యవసాయ పొడిగింపు
କୃଷି ବ scientist ଜ୍ଞାନିକ |,వ్యవసాయ శాస్త్రవేత్త
କୃଷି ଅଞ୍ଜିନକାରୀ |,వ్యవసాయ ఇంజనీర్
Agrobiooglist,అగ్రోబయాలజిస్ట్
ସହଯୋଗୀ,వ్యవసాయ శాస్త్రవేత్త
Agropsicsicst,అగ్రోఫిసిక్
ପଶୁ ପ୍ରଜନକ |,జంతువుల పెంపకందారుడు
ବାକିଲସ୍ ଭାଇରସ୍ |,బాసిల్లస్ వైరస్
ବାଣ୍ଡିଲସ୍ |,బాసిల్లస్
ଜୀବାଣୁ,బాక్టీరియా
ବିରାଇଓଟୋକ୍ସିନ୍ |,బాక్టీరియోటాక్సిన్
ବାଗାସେସ୍ |,బాగస్సే
ତୂଳନା ପତ୍ର,బ్యాలెన్స్ షీట్
ସନ୍ତୁଳିତ ଫର୍ଟିଲାଇଜେସନ୍ |,సమతుల్య ఫలదీకరణం
ବାର୍ ଚିତ୍ର |,బార్ రేఖాచిత్రం
ଭୁକିବା |,బెరడు
ବାରୋମିଟର |,బేరోమీటర్
ବନ୍ଧ୍ୟା,బంజరు
ଆଧାର,బేస్
ବାସନ,బేసిన్
ପରଫିପାଲ୍ |,బాసిపెటల్
ଆଧାର ତୁଲମ୍ |,బేసిథెర్నమ్
ବାଇ ମ so ସୁମୀ |,బే రుతుపవనాలు
ଉଦ୍ଭିଦ ବହନ,బేరింగ్ ప్లాంట్
ଶଯ୍ୟା,మం చం
ଶଯ୍ୟା,బెడర్
ଶଯ୍ୟା,పరుపు
ବିଟ୍ ଗୁଣ୍ଡ |,దుంప మొలాసిస్
ଘଣ୍ଟି,బెలోస్
ବେଲ୍ଟ,బెల్ట్
ଲାଭ-ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |,బెనిఫిట్-కాస్ట్ అనాలిసిస్
ପକ୍ଷପାତ (ନମୁନା),పక్షపాతం
ବିଏନୋନିଆଲ୍,ద్వైవార్షిక
Binomial,ద్విపద
ବାୟୋଲାଇଜେଣ୍ଟ |,బయోజెంట్
ବାୟୋସେଡିକ୍ |,బయోక్లైమేట్
ବାୟୋହୀ,బయోఎనర్జీ
ବାୟୋନୋମିକ୍ସ |,బయోనోమిక్స్
ବାୟୋରାକ୍ଟର,బయోఇయాక్టర్
ବାୟୋସଫିର୍,బయోస్పియర్
ବାୟୋଟିକ୍ |,బయోటిక్
ବାୟୋଟାଇପ୍ |,బయోటైప్
ବିସେକ୍ସୁଆଲ୍,ద్విలింగ
ଖାଲି,బ్లాంచింగ్
ବିସ୍ଫୋରଣ,పేలుడు
ମିଶ୍ରଣ,కలపండి
ଶୁକ୍ର,ముడత
ଫୁଲା,పొక్కు
ବ୍ଲୁ ବିପ୍ଳବ,నీలం విప్లవం
ତଳ ଉତ୍ତାପ ଚାମ୍ବର |,దిగువ వేడి గది
ତଳ ଉତ୍ତାପ ଟେକ୍ନିକ୍ |,దిగువ ఉష్ణ సాంకేతికత
ଶାଖା,బ్రాన్
ଶାଖା,శాఖ
ଶାଖା,బ్రాంచ్లెట్
ପ୍ରଜାତି,జాతి
ପ୍ରଜନନ,పెంపకం
ଉଜ୍ଜ୍ୱଳ,బ్రిమ్మింగ్
Etod,సంతానం
ବଡିଙ୍ଗ,బడ్డింగ్
ବଜେଟ୍,బడ్జెట్
ବଫର୍,బఫర్
ବଲ୍ବ,బల్బ్
ବଣ୍ଟନ,బంట్
ଉତ୍ପାଦ ଦ୍ୱାରା,ఉప-ఉత్పత్తి
ବାବୁଲ ଆକାସିଆ |,బాబుల్ అకాసియా
ଶିଶୁ ମକା |,బేబీ మొక్కజొన్న
ବାଥ୍,బేల్
ବିଲ୍,బైల్
ବାଲସାମ,బాల్సం
ବାଉଁଶ,వెదురు
କଦଳୀ,అరటి
ବାନିଆନ୍ ଗଛ |,మర్రి చెట్టు
ବାର୍ଲି,బార్లీ
ବରଗାର୍ଡ ମିଲେଟ୍ |,బార్నియార్డ్ మిల్లెట్
ବେସନ,తులసి
ବଷ୍ଟାର୍ଡ ​​ଏରସ,బాస్టర్డ్ సెడార్
ବଷ୍ଟାର୍ଡ ​​ମିରୋବଲାନ୍ |,బాస్టర్డ్ మైరోబాలన్
ବାହୁଏସିଆ,బౌహినియా
ଦୁ very ଖଦ,బే బెర్రీ
ବିନ୍,బీన్
ବିଲାତି,దుంప
ବେଲାଣ୍ଡୋନା,బెల్లడోన్నా
ହେ,బెర్
Berseim,బెర్సీమ్
Beelt,బెటెల్
ବିଲିମ୍ବି,బిలింబి
ତିକ୍ତ ଗୁଣ୍ଡ |,కాకరకాయ
କଳା ଗ୍ରାମ,బ్లాక్ గ్రామ్
କଳା ନାଇଟ୍ଶେଡ୍ |,బ్లాక్ నైట్ షేడ్
ବଗିନିଭିଆ |,బౌగెన్విలియా
ବୋତଲ ବ୍ରଶ |,బాటిల్ బ్రష్
ବୋତଲ ଗୋବଲଙ୍କ |,బాటిల్ పొట్లకాయ
ବାକ୍ସ ଗଛ,బాక్స్ ట్రీ
ରୁଟି ଫଳ,బ్రెడ్ ఫ్రూట్
Bridal creper,పెళ్లి లత
ବ୍ରିନଜାଲ୍ |,బ్రింజల్
ବ୍ରଡ୍ ବିନ୍ |,బ్రాడ్ బీన్
ବ୍ରୋକୋଲି,బ్రోకలీ
ବ୍ରସେଲର ସ୍ପ୍ରୁଟ୍ |,బ్రస్సెల్ మొలక
ବାଲକ୍ୟୁଟ,బుక్వీట్
ବଟି,బ్యూటియా
ବ୍ୟାଣ୍ଡିକୋଟ୍ |,బాండికూట్
ଭାଲୁ,ఎలుగుబంటి
ପୋକ,బీటిల్
ବ୍ଲିଷ୍ଟର ବିଟଲ୍ |,బొబ్బ బీటిల్
ନୀଳ ଷଣ୍। |,బ్లూ బుల్
ବୋଲ୍ ପୋକ,బోల్ పురుగు
ପ୍ରଜାପତି,సీతాకోకచిలుక
ଜୀବାଣୁ ବିଶେଷଜ୍ଞ |,బాక్టీరియాలజిస్ట్
ବାୟୋକେମିଷ୍ଟ |,బయోకెమిస్ట్
ଜୀବବିଜ୍ଞାନୀ |,జీవశాస్త్రవేత్త
ବାୟୋଟଚନୋଲୋଜିଷ୍ଟ,బయోటెక్నాలజిస్ట్
ଉଦ୍ଭିଦଦାତା,వృక్షశాస్త్రజ్ఞుడు
C ଆର୍ଦ୍ରତା ଚରିତ୍ରିକ ବକ୍ର |,సి తేమ లక్షణ వక్రత
ପିଠା,కేక్
ସହଭାଗୀ,కాల్కారియస్
କାଲସିଫିକେସନ୍ |,కాల్సిఫికేషన్
ଫସଫେଟର କାଲକେଣ୍ଟ |,ఫాస్ఫేట్ యొక్క లెక్కింపు
ଚତୁରତା,కాలోసిటీ
କୁଲସ୍,కాలిస్
କାଲିକ୍ସ,కాలిక్స్
କାଲିକ୍ସ-ଏଣ୍ଡ |,కాలిక్స్-ఎండ్
କାମ୍ବିୟମ୍,కాంబియం
କାକର,క్యాంకర్
କ୍ୟାନିଂ,క్యానింగ్
ଛାତ,పందిరి
ପୁଞ୍ଜି,రాజధాని
କାଗଶ,కాప్రిఫికేషన్
Capsule,క్యాప్సూల్
କାର୍ବନ୍ରେଟେଡ୍ |,కార్బోనేటేడ్
କାର୍ବୋନିଅନାଇଜେସନ୍ |,కార్బోనైజేషన్
କାର୍ପେଲ,కార్పెల్
କାର୍ପସ୍ |,కార్పస్
କାଷ୍ଟିଂ,కాస్టింగ్
କାଟାବୋଲିଜିମ୍ |,క్యాటాబోలిజం
କାଟାଲିସିସ୍ |,ఉత్ప్రేరక
କୀଟପତଙ୍ଗ,గొంగళి పురుగు
C- DNA ଲାଇବ୍ରେରୀ |,సి-డిఎన్ఎ లైబ్రరీ
ଛାତ,పైకప్పు
କକ୍ଷ,సెల్
କେନ୍ଦ୍ରୀୟ ନେତା ବ୍ୟବସ୍ଥା |,కేంద్ర నాయకుడు వ్యవస్థ
ସେଣ୍ଟ୍ରିକ୍ |,సెంట్రిక్
ଶତକଡ଼ା,సెంట్రిఫ్యూగేషన్
ସେଣ୍ଟ୍ରିଫେଜ୍ |,సెంట్రిఫ్యూజ్
ସେଣ୍ଟ୍ରିଓନ୍ |,సెంట్రియోల్
ସେଣ୍ଟ୍ରୋଜେନିକ୍ |,సెంట్రోజెనిక్
ସେଣ୍ଟ୍ରୋଜେନସ୍ |,సెంట్రోజెనస్
କୀପତି,సెర్కస్
ଶସ୍ୟ,ధాన్యం
ପ୍ରମାଣପତ୍ର,ధృవీకరణ
ସାର୍ଟିଫାଏଡ୍ ବିହନ |,ధృవీకరించబడిన విత్తనం
ଚାଉଳ,చాఫ్
ଚେଲାଜା |,చలాజా
କେମୋଟ୍ରୋପିମ୍ |,కెమోట్రోపిజం
ଚିୟମା,చియాస్మా
ଥଣ୍ଡା ଘଣ୍ଟା |,చిల్లింగ్ గంటలు
ଚିଲିଂ ଆଘାତ |,చిల్లింగ్ గాయం
ଚିମେରା |,చిమెరా
ଚୋରାନେଣ୍ଟି |,క్లోరాంథీ
କ୍ଲୋରୋଫିଲେଲ୍ |,క్లోరోఫిల్
ଚୋରୋରୋସାଇସ୍,క్లోరోసిస్
ଚୋରୋରୋଲୋଜି |,క్లోరాలజీ
କ୍ରୋମାମାସିଡ୍ |,క్రోమాటిడ్
ଚ୍ରୋମାଟିନ୍ |,క్రోమాటిన్
ଚ୍ରୋମାଟୋଗ୍ରାଫି,క్రోమాటోగ్రఫీ
ଚୋରମାଟୋଲିଆସିସ୍,క్రోమాటోలిసిస్
କ୍ରୋମେଣ୍ଟ୍ରେ |,క్రోమోసెంట్రే
ଚେରମୋଲେନ୍ସେସ୍,క్రోమోజెనిసిస్
କ୍ରୋମ୍ରୋପ୍ରୋଇଟେନ୍ |,క్రోమోప్రొటీన్
କ୍ରୋମୋଜୋମ୍,క్రోమోజోమ్
କ୍ରନିକ୍,దీర్ఘకాలిక
କୃଷି,సిట్రేంజ్
କ୍ଲାନ୍ତ,క్లాడోడ్
ବର୍ଗୀକରଣ,వర్గీకరణ
ମାଟି,మట్టి
ସଫା କରିବା,శుభ్రపరచడం
କ୍ଲିସିଷ୍ଟଗାମି |,క్లిస్టోగామి
ଜଳମୟ ଫଳ |,క్లైమాక్టెరిక్ పండు
ଜଳବାୟୁ,వాతావరణం
କମ୍ପନୋଲୋଜି,క్లైమాటాలజీ
କ୍ଲିପର୍,క్లిప్పర్
କ୍ଲାନ୍ତ,క్లాడ్
କ୍ଲୋନ,క్లోన్
ମେଘ,మేఘం
Ump ୁଲା |,క్లాంప్
କ୍ଲଷ୍ଟର,క్లస్టర్
କଠିନ,ముతక
କୋଟ୍ (ବିହନ),విత్తనం
ନଡିଆ,కోకన్
ସହଯୋଗୀ,కోఎంజైమ్
ଘନିଷ୍ଠ,సమన్వయం
କୋର,కోయిర్
କୁଲେରରିଜା,కోలియోరిజా
କଲର,కాలర్
କୋଲଏଡ୍ (ମାଟି),ఘోథ
କୋନିଲେଲା,కొలుమెల్లా
ସ୍ତମ୍ଭ,కాలమ్
ପ୍ରଶଂସା,ప్రారంభం
ବାଣିଜ୍ୟିକ ବ୍ୟାଙ୍କ,వాణిజ్య బ్యాంకు
ଦ୍ରବ୍ୟ,వస్తువు
ସମ୍ପ୍ରଦାୟ,సంఘం
ସଙ୍କୋଚନ (ମାଟିର),సంపీడన (మట్టి)
ସୁସଙ୍ଗତତା,అనుకూలత
ସୁସଙ୍ଗତତା,అనుకూలత
କ୍ଷତିପୂରଣ,పరిహారం
ପ୍ରତିଯୋଗିତାମୂଳକ ପାରସ୍ପରିକ କ୍ରିୟା |,పోటీ పరస్పర చర్య
ସମ୍ପୃକ୍ତ ଫସଲ,పరిపూరకరమైన పంట
ଜଟିଳ,క్లిష్టమైన
ଉପାଦାନ,భాగం
ରଚନା,కూర్పు
କମ୍ପୋଷ୍ଟ,కంపోస్ట్
ଯ ound ଗିକ ଆଗ୍ରହ |,చక్రవడ్డీ
ଗଣନା,గణన
କମ୍ପ୍ୟୁଟର,కంప్యూటర్
ଏକାଗ୍ରତା,ఏకాగ్రత
କଣ୍ଡିସନର,కండీషనర్
ଆଚରଣ,ప్రవర్తన
ବିନ୍ୟାସ,ఆకృతీకరణ
ଅନୁକୂଳ,అనుగుణ్యత
ଦ୍ୱନ୍ଦ୍ୱ,గందరగోళం
ମିଳିତତା,సంయోగం
ସଂଯୋଗ,కనెక్టివ్
ସଂରକ୍ଷଣ,పరిరక్షణ
ସଂସ୍ଥାଗୁଡ଼ିକ,ఏకీకరణ
ନିରନ୍ତର,భాగాలు
ଗ୍ରାହକ,వినియోగదారు
ବ୍ୟବହାର,వినియోగం
ପ୍ରଦୂଷଣ,కాలుష్యం
ବିଷୟବସ୍ତୁ ବୃକ୍ଷ,ఆకృతి నాటడం
ବିଷୟବସ୍ତୁ,ఆకృతి
ଚୁକ୍ତିନାମା ଚାଷ,కాంట్రాక్ట్ వ్యవసాయం
ନିୟନ୍ତ୍ରିତ ଷ୍ଟୋରେଜ୍ |,నియంత్రిత నిల్వ
ସହ-ଅପରେଟିଭ୍ ବ୍ୟାଙ୍କ |,సహకార బ్యాంక్
ସହଯୋଗ,సహకారం
ସହଯୋଗୀ,కాపిస్
କରମ୍,కార్మ్
କରୋଲଲା,కొరోల్లా
କର୍ଟେକ୍ସ,కార్టెక్స్
ମୂଲ୍ୟ,ధర
କୋଟିଲିଡନ୍ (ବିହନ),కోడిలిడాన్
କ୍ରେଡିଟ୍ ସମାଜ |,క్రెడిట్ సొసైటీ
କ୍ରେଡିଟ୍,క్రెడిట్
କ୍ରେସର୍ମର,రుణదాత
କ୍ରେଷ୍ଟଷ୍ଟ,క్రెస్ట్
ଚୂର୍ଣ୍ଣ କରନ୍ତୁ |,ముడతలు
ସଙ୍କଟ,సంక్షోభం
ମାନଦଣ୍ଡ,ప్రమాణం
ଗୁରୁତର,క్లిష్టమైన
କ୍ରପ୍ ବୀମା |,పంట భీమా
ଫସଲ loan ଣ,పంట రుణం
ଫସଲ,పంట
କ୍ରପ୍ ଏରିଆ |,పంట ప్రాంతం
କ୍ରସ୍-ଅସଙ୍ଗତ |,క్రాస్ ఇన్ఫాంపిబుల్
ମୁକୁଟ (ଉଦ୍ଭିଦ),క్రౌన్ (మొక్క)
ଖଣ୍ଡ,ముక్క
ଭୂତଳ,క్రస్ట్
କ୍ରିପ୍ଟୋଗାମ୍ |,క్రిప్టోమ్
CULE (ଫଳ),మెడ (పండ్లు)
କୁଲମ୍,కుల్మ్
ଚାଷ ଜ,సాగు
ଚାଷ,సాగు
ପତ୍ରିକା,సాగు
ସଂସ୍କୃତି,సంస్కృతి
କ୍ୟୁସିଂ,క్యూరింగ్
କୁଞ୍ଚଳ,కర్లింగ్
ମୁଦ୍ରା |,కరెన్సీ
କୁମଲେ,క్యూటికల్
କାଟିବା,కట్టింగ్
Cyst,తిత్తి
ସାଇଟୋଚ୍ରୋମ୍ |,సైటోక్రోమ్
ସାଇଟୋଗାମି |,సైటోగామి
ସାଇଟୋଜେନେସୀ |,సైటోజెనిసిస్
ସାଇଟୋଜେନେଟିକ୍ସ,సైటోజెనెటిక్స్
ସାଇଟୋୋକାଇନ୍ସିସ୍,సైటోకినిసిస్
ସାଇଟୋଲୋଜି,సైటోలజీ
CYTOYLISISISTS,సైటోలిసిస్
ସାଇଟୋମେରେ,సైటోమీర్
ସାଇଟୋପ୍ଲାଜମ୍,సైటోప్లాజమ్
ବନ୍ଧାକୋବି,క్యాబేజీ
କାକଟସ୍ |,కాక్టస్
କ୍ୟାଲେଣ୍ଡୋୁଲା |,కలేన్ద్యులా
କାନାରି ଘାସ (ଫାର୍ଲିସ୍),ఫలారిస్
କାନନା |,Canna
କ୍ୟାପିଟିସ୍,కాపారిస్
Capsicum,క్యాప్సికం
କାରାମୋବୋଲା |,కారాంబోలా
କାରାସା |,కారాపా
କାର୍ଡାମୋମ |,ఏలకులు
କାର୍ନେସନ୍ |,కార్నేషన్
ଗାଜର,కారెట్
କାଜୁ ବାଦାମ |,జీడి పప్పు
କ୍ୟାସିୟା,కాసియా
କାଷ୍ଟର |,కాస్టర్
ଫୁଲକୋବି |,కాలీఫ్లవర్
ସେଲରି,సెలెరీ
ଚମ୍ପାକ୍,ఛాంపాక్
