Assamese,Gujarati
ব্যভিচাৰী,ભેળસેળ કરનાર
এক্ট&#39;পিক,એક્ટોપિક
Isidiospore Isidium বিজাণু,ઇસિડિયોસ્પોર ઇસિડિયમ બીજકણ
বায়ুগতিশীল প্ৰক্ৰিয়া,એરોડાયનેમિક પ્રક્રિયા
ventral,વેન્ટ્રલ
বায়ুমণ্ডলীয় কৰা,વાયુયુક્ત કરવું
১.বায়ু ২.আকাশী,1. હવા 2. આકાશી
১.এৰ’মিটাৰ ২.এৰ’মিটাৰ ৩.এৰ’মিটাৰ,1. એરોમીટર 2. એરોમીટર 3. એરોમીટર
এৰ&#39;ছল,એરોસોલ
১/ পুষ্পশোভিত ২) গ্ৰীষ্মকালীন নিদ্ৰা,1. પુષ્પવૃત્તિ 2. ઉનાળાની નિષ્ક્રિયતા
ৰোগৰ বিজ্ঞান,રોગનું વિજ્ઞાન
বনানীকৰণ,વનીકરણ
১.আন্দোলন ২.অস্থিৰতা,1. આંદોલન 2. અશાંતિ
আগমাৰ্ক,એગમાર્ક
১/ ভূমি সম্পৰ্কীয় ২/ কৃষি,1. જમીન સંબંધિત 2. કૃષિ
কৃষি ক্লিনিক,કૃષિ ક્લિનિક
১/ কৃষি শ্ৰম ২) কৃষি শ্ৰম,1. ખેત મજૂરી 2. ખેત મજૂરી
কৃষি বিপণন,કૃષિ માર્કેટિંગ
কৃষি প্ৰযুক্তি,કૃષિ ટેકનોલોજી
1. কৃষি 2. কৃষি 3. কৃষি বিজ্ঞান,1. કૃષિ 2. ખેતી 3. કૃષિ વિજ્ઞાન
কৃষি বনজ,કૃષિ વનસંવર્ધન
কৃষি জৈৱ বৈচিত্ৰ্য,કૃષિ જૈવવિવિધતા
কৃষি জৈৱিক দোষ,કૃષિ કાર્બનિક ખામીઓ
কৃষি জীৱবিজ্ঞান,કૃષિ જીવવિજ્ઞાન
কৃষি-জলবায়ু বৈচিত্ৰ্য,કૃષિ-આબોહવાની વિવિધતા
কৃষি জলবায়ু মণ্ডল সৃষ্টি,એગ્રોક્લાઇમેટિક ઝોનની રચના
কৃষি বনানীকৰণ,કૃષિ વનીકરણ
কৃষি বিজ্ঞান,કૃષિ વિજ્ઞાન
কৃষিভিত্তিক,કૃષિવિજ્ઞાન
কৃষি পশুপালন,કૃષિ પશુપાલન
শস্য প্ৰক্ৰিয়াকৰণ,પાક પ્રક્રિયા
ঘাঁহ বিজ্ঞান,ઘાસ વિજ્ઞાન
শস্যৰ প্ৰকাৰ,પાકનો પ્રકાર
এপিফাইট,એપિફાઇટ
আইকিওচি মাটি,aikiochi માટી
ৰঙৰ অন্ধতা,રંગ અંધત્વ
আলফিছল,આલ્ફીસોલ
শেলাই,શેવાળ
শেলাইৰ ৰোগ,શેવાળ રોગ
ক্ষাৰকীয় পানী,આલ્કલી પાણી
ক্ষাৰকীয়,આલ્કલાઇન
বিকল্প,વૈકલ્પિક
allelo ৰসায়ন বিজ্ঞান,એલેલો રસાયણશાસ્ત્ર
এলিল,એલીલ
এলেল&#39;পেথী,એલોપથી
ভেঠী শস্য,વેથી પાક
consummation,પૂર્ણતા
নিষেচন কৰা,ગર્ભાધાન
১.আপেক্ষিকতা ২.এলোমেট্ৰি,1. સાપેક્ષતા 2. એલોમેટ્રી
multiploidy,મલ્ટીપ્લોઇડી
১/ পেৰাজাইগোচিটি,1. પેરાઝીગોસિટી
1. বিকল্প বছৰৰ ফলন 2. বিকল্প ফলন,1. વૈકલ્પિક વર્ષ કાર્ય 2. વૈકલ્પિક કાર્ય
বিকল্প ভূমি ব্যৱহাৰ,વૈકલ્પિક જમીનનો ઉપયોગ
পৰিৱেশ,પર્યાવરણ
সংস্কাৰক,સુધારક
মাইট’ছিছ,મિટોસિસ
আমিনন,આમીન
এমোনিয়ন,એમોનિયન
amniferous,એમ્નિફરસ
১.অকাৰ্যকৰী ৰূপ ২.অৰূপী,1. બિનઅસરકારક સ્વરૂપ 2. અરૂપી
উভচৰ মিশ্ৰণ,ઉભયજીવી મિશ્રણ
এম্ফোটেৰিক,એમ્ફોટેરિક
ষ্টকপাইলিং,સંગ્રહ
১/ এনাৰোবিক ২.এনাৰোবিক জীৱ,1. એનારોબિક 2. એનારોબિક સજીવો
হেপ্লয়ড,હેપ્લોઇડ
কৌণিক ৰোপণ,કોણીય વાવેતર
পশুপালন,પશુપાલન
পশুৰ মল-মূত্ৰ,પ્રાણીના મળમૂત્ર
জীৱন্ত শক্তি,જીવંત ઊર્જા
অস্বাভাৱিক,વિસંગત
এবছৰীয়া উদ্ভিদ,એક વર્ષ જૂનો છોડ
বছেৰেকীয়া,વાર્ષિક
1. আনন্দ 2. উজ্জ্বলতা,1. પરમાનંદ 2. ઉજાસ
এন্থ্ৰেক্স,એન્થ્રેક્સ
মানৱজনিত কাৰকসমূহ,એન્થ્રોપોજેનિક પરિબળો
জীয়াই থকা,અસ્તિત્વ
১/ এন্টিবায়টিক ২। এন্টিবায়টিক,1. એન્ટિબાયોટિક 2. એન્ટિબાયોટિક
repulsive,પ્રતિકૂળ
এন্টিঅক্সিডেন্ট,એન્ટીઑકિસડન્ટ
এন্টিটক্সিন,એન્ટિટોક્સિન
ৰিং ফিংগাৰ,રિંગ આંગળી
১.এফিড ২.মহু ৩.চেপা,1. એફિડ 2. મહુ 3. ચેપા
শীৰ্ষ কলি,ટોચની કળી
শীৰ্ষ ফলপ্ৰসূতা,ટોચની અસરકારકતા
মৌমাখি ৰখা,મધમાખી ઉછેર
অযৌনতা,અજાતીયતા
এপ&#39;প্টোছিছ,એપોપ્ટોસિસ
appendages,પરિશિષ્ટ
appetizer,ભૂખ લગાડનાર
প্ৰয়োগ কৰা হৈছে,લાગુ
জলজ অপতৃণ,જળચર નીંદણ
১.গছ ২.গছৰ বাসিন্দা,1. વૃક્ષ 2. વૃક્ષ નિવાસી
শাখা-প্ৰশাখা,શાખાઓ
প্ৰ&#39;ট&#39;বোটানিকেল ৰেকৰ্ড,પ્રોટોબોટનિકલ રેકોર્ડ્સ
জ&#39;ন নম্বৰ,ઝોન નંબર
১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল,1. વિસ્તાર 2. વિસ્તાર
শুকান পৰিৱেশ তন্ত্ৰ,શુષ્ક ઇકોસિસ્ટમ
কুটিলডন,કોટિલેડોન
সৌৰভ,સૌરભ
সুগন্ধিযুক্ত উদ্ভিদ,સુગંધિત છોડ
সুগন্ধি চাউল,સુગંધિત ચોખા
ইক্ষু পুষ্পন,ઇક્ષુ પુષ્પન
বীজাণুমুক্ত,એસેપ્ટિક
১.এচেপ্টিক ২.এচেপ্টিক,1. એસેપ્ટિક 2. એસેપ્ટિક
অযৌন প্ৰজনন,અજાતીય પ્રજનન
আকাৰ,કદ
সম্পত্তি,સંપત્તિ
১/ আত্মসাৎ ২. আত্মসাৎ,1. એસિમિલેશન 2. એસિમિલેશન
১.সংঘ ২.সংঘ,1. એસોસિએશન 2. એસોસિએશન
1. স্তম্ভ 2. astringency,1. કૉલમ 2. અસ્પષ્ટતા
হেটেৰ&#39;জাইগোচিটি,હેટરોઝાયગોસિટી
১.পূৰ্বপুৰুষ ২.আটাভিজম,1. પૂર્વજ 2. એટાવિઝમ
কণা,કણ
1. অনিশ্চয়তা 2. বিকলতা,1. પુષ્ટિ 2. ક્ષતિ
self pairing,સ્વ જોડી
অটোলাইছিছ,ઓટોલિસિસ
1. স্বতঃস্ফূৰ্ত অক্সিডেচন 2. স্বতঃস্ফূৰ্ত অক্সিডেচন,1. સ્વયંસ્ફુરિત ઓક્સિડેશન 2. સ્વયંસ્ફુરિત ઓક્સિડેશન
self multiplexed,સ્વ મલ્ટિપ્લેક્સ્ડ
অক্সিন,ઓક્સિન
১/ জোকাৰি যোৱা ২. টোড,1. હચમચી 2. દેડકો
পেনাল ভাইৰাছ,દંડ વાયરસ
১.বেচিলাছ ২.বেচিলাছ,1. બેસિલસ 2. બેસિલસ
১/ বেক্টেৰিয়া ২) বেক্টেৰিয়া,1. બેક્ટેરિયા 2. બેક્ટેરિયા
বেক্টেৰিয়াৰ বিষাক্ত পদাৰ্থ,બેક્ટેરિયલ ઝેર
বাগাছ,બગાસ
বেলেন্স শ্বীট,સરવૈયા
সুষম সাৰৰ ব্যৱহাৰ,સંતુલિત ખાતરનો ઉપયોગ
বাৰ গ্ৰাফ,બાર ગ્રાફ
বাকলি,છાલ
১.বেৰ’মিটাৰ ২.বেৰ’মিটাৰ,1. બેરોમીટર 2. બેરોમીટર
১. বাজাৰ ২. নিষ্ক্ৰিয় ৩. বন্যাৰ্ত,1. બઝર 2. જડ 3. ઉજ્જડ
1. ভিত্তি 2. ভিত্তি 3. কুপাং,1. આધાર 2. આધાર 3. કપંગ
১.তালা ২.বেচিন,1. તાલા 2. બેસિન
তালাবিছাৰী,તલાબીસરી
১.বেচিষ্টেৰনাম ২.মূল ধাৰণকাৰী,1. બેસિસ્ટર્નમ 2. રુટ ધારક
উপসাগৰীয় বাৰিষা,ગલ્ફ ચોમાસું
ফলৰ উদ্ভিদ,ફળનો છોડ
বিছনা,પથારી
বিচনা উদ্ভিদ,બેડ પ્લાન્ટ
বিচনা চাদৰ,પથારી
বুটমাহৰ গুড়,બીટ દાળ
bellows,બેલો
১.ষ্ট্ৰিপ ২.ভূখণ্ড,1. પટ્ટી 2. ભૂપ્રદેશ
লাভ-খৰচ বিশ্লেষণ,નફો-ખર્ચ વિશ્લેષણ
আকাংক্ষিত (Sampling),મહત્વાકાંક્ષી (સેમ્પલિંગ)
দ্বিবাৰ্ষিক উদ্ভিদ,દ્વિવાર્ષિક છોડ
দ্বিপদ,દ્વિપદી
বায়&#39;ফেক্টৰ,બાયોફેક્ટર
জৈৱিক জলবায়ু,જૈવિક આબોહવા
জৈৱ শক্তি,જૈવ ઊર્જા
প্ৰাণীৰ পৰিস্থিতিতন্ত্ৰ,પ્રાણીસૃષ્ટિ ઇકોલોજી
১/ বায়’-প্ৰচেছৰ ২.বায়’-ৰিয়ক্টৰ,1. બાયો-પ્રોસેસર 2. બાયો-રિએક્ટર
জৈৱমণ্ডল,બાયોસ્ફિયર
জৈৱিক,જૈવિક
প্ৰাণীজগত,પ્રાણીસૃષ્ટિ
ডিভিলিংগি,ડિવિલિંગી
ধাৱলান,ધવલન
১/প্ৰধ্বাসন (ৰোগ) ২) গাষ্ট ৰোগ,1. પ્રધવાસન (રોગ) 2. ગસ્ટ રોગ
মিশ্ৰণ,મિશ્રણ
১.আংমাৰী (ৰোগ) ২.ব্লাইট (ৰোগ) ২.,1. અંગમારી (રોગ) 2. બ્લાઈટ (રોગ)
১/ ফোহা ২. ফোহা ৩. বিস্ফোৰণ ৪. ফোহা,1. ફોલ્લો 2. ફોલ્લો 3. ફાટી નીકળવો 4. ફોલ્લો
নীলা বিপ্লৱ,વાદળી ક્રાંતિ
প্লেনাৰ হিটিং চেম্বাৰ,પ્લાનર હીટિંગ ચેમ્બર
সমতল উত্তাপন প্ৰযুক্তি,પ્લાનર હીટિંગ ટેકનોલોજી
ব্ৰাণ,થૂલું
শাখা-প্ৰশাখা,શાખાઓ
১.ডাল ২.উপশাখা,1. ટ્વિગ 2. સબબ્રાન્ચ
বংশবৃদ্ধি,જાતિ
প্ৰজনন,પ્રજનન
আগতীয়াকৈ অংকুৰণৰ চিকিৎসা,પ્રારંભિક અંકુરણ સારવાર
১. পোৱালি ২. কণী ৩. ভ্ৰূণ,1. બચ્ચા 2. ઇંડા 3. ગર્ભ
budding,ઉભરતા
বাজেট,બજેટ
১.এম্ফোটেৰিক ২.বাফাৰ,1.એમ્ફોટેરિક 2. બફર
মিঠা আলু,શક્કરિયા
বান্ট (ৰোগ),બંટ (રોગ)
1. উপ-উৎপাদন 2. উপ-উৎপাদন,1. આડપેદાશ 2. આડપેદાશ
c আৰ্দ্ৰতা নিৰ্দিষ্টকৰণ বক্ৰ,c ભેજ સ્પષ્ટીકરણ વળાંક
তেলৰ কেক,તેલ કેક
১.চূণ ২.কেলচিয়াম,1. ચૂનો 2. કેલ્શિયમ
calcion,કેલ્સિયન
ফছফেট আঁতৰোৱা,ફોસ્ફેટ દૂર કરવું
১.কিনাটা ২.কালাটা,1. કિનાટા 2. કેલાટા
১.কেলাছ ২.ৰশ্মি,1.કેલસ 2. કિરણ
1. ফুলৰ গুটি 2. calyx,1. સેપલ્સ 2. કેલિક્સ
বাহ্যিক শেষ,બહારનો છેડો
এধা,એધા
কেন্সাৰ (বেক্টেৰিয়াৰ ৰোগ),કર્કશ (બેક્ટેરિયલ રોગ)
কেনিং,કેનિંગ
আকাশ,આકાશ
বিত্ত,ફાઇનાન્સ
পৰগাছা (ডুমুৰৰ),પરાગનયન (અંજીરનું)
১.কেপচুল ২.কেপচুল ৩.কেপচুল,1. કેપ્સ્યુલ 2. કેપ્સ્યુલ 3. કેપ્સ્યુલ
কাৰ্বনাইজড,કાર્બનયુક્ત
কাৰ্বনেন,કાર્બનન
carapace,કારાપેસ
এপাত হাতৰ অলংকাৰ,બંગડી
1. ঢালাই (লোহা) 2. ক্ষীপতি (পোক),1. કાસ્ટિંગ (લોખંડ) 2. ક્ષિપ્તિ (જંતુ)
কেটাবলিজম,અપચય
প্ৰৰোচনা,પ્રેરિત
1. পোক 2. পোক,1. કેટરપિલર 2. કેટરપિલર
গ ঘ. এন. ক. সংগ্ৰহ,c ડી. એન. a સંગ્રહ
পৰিসৰ,શ્રેણી
১.কোষ ২.কোষ,1. સેલ 2. સેલ
কেন্দ্ৰীয় ফ্ৰন্ট ব্যৱস্থা,કેન્દ્રીય ફ્રન્ટ સિસ્ટમ
1. বিন্দু 2. ফোকাচ,1. બિંદુ 2. ફોકસ
কেন্দ্ৰচালিতকৰণ,સેન્ટ્રીફ્યુગેશન
কেন্দ্ৰচালিত কৰক,સેન્ટ્રીફ્યુજ
তাৰকা কেন্দ্ৰ,સ્ટાર સેન્ટર
এপিজেনেটিক,એપિજેનેટિક
কেন্দ্ৰজা,કેન્દ્રજા
loom,લૂમ
১/ শস্যৰ বীজ ২. ছিৰিয়েল,1. અનાજ 2. સીરીયલ
১.প্ৰমাণীকৰণ ২.প্ৰমাণীকৰণ,1. પ્રમાણપત્ર 2. પ્રમાણપત્ર
প্ৰমাণিত বীজ,પ્રમાણિત બીજ
১) খেৰ ২.কুট্টি ৩.শালক সহপাত্ৰ,1. સ્ટ્રો 2. કુટ્ટી 3. શલક સહપાત્ર
১.নিভাগ ২.কৈলাজা,1. નિભાગ 2. કૈલાજા
চাইম&#39;গ্ৰাফী,કીમોગ્રાફી
১.কিয়াজমা ২.ব্যস্ত,1. કિયાઝમા 2. વ્યસ્ત
ছুপাৰকুলিং ঘন্টা,સુપરકૂલિંગ કલાકો
হিম ক্ষতি,હિમ નુકસાન
১/ ভিচিৰোটাকি ২.চিমেৰা,1. વિચિરોતકી 2. ચિમેરા
সেউজীয়া দাইল,લીલો પોર્રીજ
১.পাতল ২.সেউজীয়া,1. પર્ણસમૂહ 2. લીલો
চাইন&#39;ছিছ,સાયનોસિસ
জৈৱিক বিতৰণ বিজ্ঞান,જૈવિક વિતરણ વિજ્ઞાન
১) ক্ৰ’মেটিড ২) আধা ক্ৰম’জম,1. ક્રોમેટિડ 2. અર્ધ રંગસૂત્રો
ক্ৰ&#39;মেটিন,ક્રોમેટિન
ক্ৰ&#39;মাট&#39;গ্ৰাফী,ક્રોમેટોગ્રાફી
ক্ৰ&#39;মেটিনেচন,ક્રોમેટિનલેશન
অলিন্দৰ বিন্দু,ધમની બિંદુ
ক্ৰ&#39;মেট&#39;জেনেছিছ,ક્રોમેટોજેનેસિસ
১/ ক্ৰম’প্ৰটিন ২.ৰঞ্জক প্ৰটিন,1. ક્રોમોપ્રોટીન 2. પિગમેન્ટપ્રોટીન
১.ক্ৰম’জম ২.ক্ৰম’জম,1. રંગસૂત્રો 2. રંગસૂત્રો
1. দীৰ্ঘদিনীয়া 2. দীৰ্ঘদিনীয়া 3. দীৰ্ঘদিনীয়া 4. অচল,1. ક્રોનિક 2. ક્રોનિક 3. ક્રોનિક 4. અપ્રચલિત
ট্যাগ এর সাথে ছবি &#39;citrange&#39;:,સાઇટ્રેન્જ
পতন উৎসৱ,પાનખર તહેવાર
শ্ৰেণীবিভাজন,વર્ગીકરણ
১.মাটি ২.মাটি,1. માટી 2. માટી
১/ পৰিষ্কাৰ কৰা ২.স্ক্ৰাব কৰা ৩. পৰিষ্কাৰ কৰা ৪.বিশুদ্ধকৰণ,1. સફાઈ 2. સ્ક્રબિંગ 3. સફાઈ 4. શુદ્ધિકરણ
স্থায়ী পৰগাছা,સતત પરાગનયન
ক্ৰুচিফেৰাছ ফল,ક્રુસિફેરસ ફળ
জলবায়ু,વાતાવરણ
জলবায়ুবিজ্ঞান,આબોહવાશાસ્ત્ર
shear,કાતર
গোট (মাটি),ગઠ્ઠો (માટી)
ক্ল&#39;ন,ક્લોન
১.ডাৱৰ ২.ডাৱৰ,1.વાદળો 2.વાદળો
ক্লাম্প,ઝુંડ
মুঠি,ટોળું
১.মোটা ২.ৰুক্ষ ৩.কেঁচা ৪.ৰুক্ষ,1. બરછટ 2. ખરબચડી 3. કાચી 4. ખરબચડી
১.আৱৰণ ২.চামৰাৰ টুকুৰা,1. કવર 2. ચામડું
কয়া,કોયા
১/ কো-এনজাইম ২.কো-এনজাইম,1. કોએનઝાઇમ 2. કો-એન્ઝાઇમ
সংহতি,સંયોગ
১/ আঁহ (পাট পাট) ২) নাৰিকল মোটা,1. ફાઇબર (જ્યુટ જ્યુટ) 2. નારિયેળ બરછટ
মুলংকুৰ চোলা,મુલંકુર ચોલા
,
কলয়ড (মাটি),કોલોઇડ (માટી)
১.স্তম্ভ ২.কলমেলা,1.કૉલમ 2.કોલ્યુમેલા
১/ শাস্তি ২.স্তম্ভ ৩.স্তম্ভ,1. દંડ 2. કૉલમ 3. કૉલમ
কমিউনিয়ন,કોમ્યુનિયન
বাণিজ্যিক বেংক,કોમર્શિયલ બેંક
১/ পণ্য ২/ ব্যৱসায়িক সামগ্ৰী,1. કોમોડિટી 2. મર્ચેન્ડાઇઝ
সমুদায়,સમુદાય
সংকোচন (মাটিৰ),કોમ્પેક્શન (માટીનું)
1. সামঞ্জস্যতা 2. সামঞ্জস্যতা,1. સુસંગતતા 2. સુસંગતતા
সামঞ্জস্যতা,સુસંગતતા
১/ ক্ষতিপূৰণ ২/ ক্ষতিপূৰণ,1. વળતર 2. વળતર
প্ৰতিযোগিতামূলক পাৰস্পৰিক ক্ৰিয়া,સ્પર્ધાત્મક ક્રિયાપ્રતિક્રિયા
শস্যৰ পৰিপূৰক,પૂરક પાક
১.সংমিশ্ৰিত ২.জটিল,1.સંયુક્ત 2.જટિલ
সমষ্টিবাসী,ઘટક
সুৰ-ৰচনা,રચના
পচন সাৰ,ખાતર
যৌগিক আগ্ৰহ,સંયોજન વ્યાજ
গণনা,ગણતરી
1. কম্পিউটাৰ 2. কম্পিউটাৰ,1. કોમ્પ્યુટર 2. કોમ્પ્યુટર
১/ ঘনত্ব ২. ঘনত্ব,1. એકાગ્રતા 2. એકાગ્રતા
১.অপ্টিমাইজাৰ ২.ৰিভাইটালাইজাৰ,1. ઑપ્ટિમાઇઝર 2. રિવાઇટલાઇઝર
পৰিবাহীতা,વાહકતા
1. বিন্যাস 2. বিন্যাস,1. રૂપરેખાંકન 2. રૂપરેખા
1. অনুকূলতা 2. সংৰূপ 3. অনুকূলতা,1. અનુરૂપતા 2. રૂપરેખાંકન 3. અનુરૂપતા
১.সংহতি ২.সংকৰকৰণ,1. એકીકરણ 2. હાઇબ્રિડાઇઝેશન
সংযোজন,જોડાણ
1. যোগকৰণ 2. সংযোগী,1. એડિટિવ 2. કનેક્ટિવ
সুৰক্ষা,રક્ષણ
একত্ৰীকৰণ,એકીકરણ
১.উপাদান ২.উপাদান,1. ઘટક 2. ઘટકો
গ্ৰাহক,ઉપભોક્તા
সেৱন,વપરાશ
দূষণ কৰা,દૂષણ
কনট্যুৰ ৰোপণ,સમોચ્ચ વાવેતર
কনট্যুৰ ৰেখা,સમોચ્ચ રેખા
১/ ঠিকাদাৰী খেতি ২.ঠিকাদাৰী খেতি ৩.চুক্তিবদ্ধ কৃষি,1. કોન્ટ્રાક્ટ ફાર્મિંગ 2. કોન્ટ્રાક્ટ ફાર્મિંગ 3. કોન્ટ્રાક્ટ ફાર્મિંગ
নিয়ন্ত্ৰিত বায়ুমণ্ডলীয় সংৰক্ষণ,નિયંત્રિત વાતાવરણીય સંગ્રહ
সমবায় বেংক,સહકારી બેંક
সমবায় সমিতিৰ সদস্য,સહકારી મંડળીના સભ્ય
গুলমাৱন,ગુલમાવન
ঘনকীয়,ક્યુબ્ડ
১.দলপুঞ্জ ২.কৰোলা,1. દાલપુંજ 2. કોરોલા
১.কৰ্টেক্স ২.কৰ্টেক্স,1. કોર્ટેક્સ 2. કોર્ટેક્સ
খৰচ,ખર્ચ
কুটিলডন,કોટિલેડોન
ক্ৰেডিট কমিটি,ક્રેડિટ કમિટી
১/ ঋণ দিয়া ২.ক্ৰেডিট,1. ધિરાણ 2. ક્રેડિટ
১/ ঋণদাতা ২.পাওনাদাৰ,1. શાહુકાર 2. લેણદાર
1. শিখৰ 2. শিখৰ 3. শিখৰ,1. ક્રેસ્ટ 2. શિરોબિંદુ 3. સ્પાયર
প্ৰত্যাহাৰ,પાછું ખેંચવું
বিপদ,સમસ્યા
পৰীক্ষা,પરીક્ષણ
জটিল অৱস্থা,જટિલ
শস্যৰ বীমা,પાક વીમો
শস্যৰ ঋণ,પાક લોન
১.শস্য ২.শস্য,1. પાક 2. પાક
খেতি কৰা অঞ্চল,ખેતી વિસ્તાર
ক্ৰছ অসঙ্গতিপূৰ্ণ,ક્રોસ અસંગત
1. মুকুট 2. শিখৰ (উদ্ভিদ),1. તાજ 2. શિખર (છોડ)
কোমল কণা,નરમ કણો
খোলা,પોપડો
1. ক্ৰিপ্টোগাম 2. নন-ফ্ল&#39;ৰিফৰ্ম,1. ક્રિપ્ટોગમ 2. નોન-ફ્લોરીફોર્મ
ছাঁটনি (ফল),કાપણી (ફળ)
কলম,પેન
জাত জাত,કલ્ટીવાર વિવિધ
১.ট্ৰেকচন ২.কৃষি ৩.খেতি কৰা,1. ટ્રેક્શન 2. ખેતી 3. ખેતી
১/ কৃষক ২/ খেতিয়ক,1. ખેડૂત 2. ખેડૂત
১.খেতি ২.খেতি ৩.পালন,1. ખેતી 2. ખેતી 3. ઉછેર
১.সম্পদ ২.প্ৰস্তুতি,1.સંસાધન 2.તૈયારી
১.কুন্তলন ২.কুঞ্চন,1.કુંતલન 2.કુંચોન
মুদ্ৰা,મુદ્રા
১.এপিডাৰ্মিছ ২.কিউটিকল,1. બાહ્ય ત્વચા 2. ક્યુટિકલ
1. কলম 2. কাটি 3. কাটি 4. কাটি 5. কাটিব,1. પેન 2. કટિંગ 3. કટીંગ 4. કટીંગ 5. કટીંગ
১.কৃমিৰ কৰ্পাছ ২.চিষ্ট ৩.চিষ্ট ৪.বিকৃত গোট ৫.নিওপ্লাজম,1. કૃમિ કોર્પસ 2. ફોલ્લો 3. ફોલ્લો 4. વિકૃત ગઠ્ઠો 5. નિયોપ્લાઝમ
চাইট&#39;ক্ৰ&#39;ম,સાયટોક્રોમ
কোষ সংযোজন,કોષ જોડાણ
কোষৰ প্ৰজনন,સેલ પ્રજનન
কোষৰ জিনীয় বিজ্ঞান,સેલ જીનેટિક્સ
চাইট’প্লাজমিক বিভাজন,સાયટોપ્લાઝમિક વિભાજન
কোষ জীৱবিজ্ঞান,સેલ બાયોલોજી
কোষৰ লাইছিছ,સેલ લિસિસ
১) চাইট’মিৰ ২) কোষৰ বিভাজন,1. સાયટોમેર 2. કોષ વિભાજન
চাইট’প্লাজম,સાયટોપ્લાઝમ
১/ দুগ্ধজাত সামগ্ৰী ২.দুগ্ধজাত সামগ্ৰী,1. ડેરી 2. ડેરી
দুগ্ধ উদ্যোগ,ડેરી ઉદ્યોગ
১.বান্ধ ২.প্ৰজননকাৰী,1. ડેમ 2. સંવર્ધક
দিন নিৰপেক্ষ উদ্ভিদ,ડે એબ્સોલ્યુટ પ્લાન્ટ
ফুল ফুলাৰ পিছদিনা,ફૂલો પછીનો દિવસ
সম্পূৰ্ণ ফুল ফুলাৰ পিছত দিন,સંપૂર્ણ ફૂલો પછીનો દિવસ
অদক্ষতা,બિનકાર્યક્ષમતા
ডিকেলচিফিকেশন,decalcification
1. dislodge 2. dislodge কৰা,1. ડિસ્લોજ 2. ડિસ્લોજ
পচি যোৱা,સડો
পৰ্ণপাতী,પાનખર
১.দশমিক ২.দশমিক,1. દશાંશ 2. દશાંશ
হীনমন্যতা,હીનતા
