Punjabi,Assamese
ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ,গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য
ਮੰਨਣਯੋਗ ਪਰਿਕਲਪਨਾ,গ্ৰহণযোগ্য অনুমান
ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ,বায়ুগতিবিদ্যা বল
ਐਰੋਡਾਇਨਾਮਿਕਸ,বায়ুগতিবিদ্যা
affine ਜਿਓਮੈਟਰੀ,affine জ্যামিতি
affine ਮੈਪਿੰਗ,affine মেপিং
affine ਪਰਿਵਰਤਨ,affine ৰূপান্তৰ
ਵੇਰੀਏਬਲ ਇਕੱਠੇ ਕਰਨਾ,চলকসমূহ একত্ৰিত কৰা
ਅਲਜਬਰਾ,বীজগণিত
ਬੀਜਗਣਿਤ ਬੰਦ,বীজগণিতীয়ভাৱে বন্ধ কৰা হৈছে
ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ,বীজগণিতীয় সমীকৰণ
ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ,বীজগণিতীয় প্ৰকাশ
ਬੀਜਗਣਿਤ ਰੂਪ,বীজগণিতীয় ৰূপ
ਬੀਜਗਣਿਤ ਫੰਕਸ਼ਨ,বীজগণিতীয় ফলন
ਬੀਜਗਣਿਤ ਜਿਓਮੈਟਰੀ,বীজগণিতীয় জ্যামিতি
ਬੀਜਗਣਿਤ ਗੁਣਾ,বীজগণিতীয় বহুগুণতা
ਬੀਜਗਣਿਤ ਪ੍ਰਣਾਲੀ,বীজগণিতীয় ব্যৱস্থা
ਸਾਰੇ ਪੂਰਨ ਅੰਕ ਸਮੱਸਿਆ,সকলো-পূৰ্ণসংখ্যা সমস্যা
ਵੰਡ ਸਮੱਸਿਆ,আবণ্টনৰ সমস্যা
ਵਰਣਮਾਲਾ ਸੰਕੇਤ,বৰ্ণানুক্ৰমিক সংকেত
ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ,বৰ্ণানুক্ৰমিক আখৰ
ਵਿਕਲਪਕ ਕੋਣ,বিকল্প কোণ
ਬਦਲਵੇਂ ਰੂਪ,বিকল্প ৰূপ
ਬਦਲਵੇਂ ਸਮੂਹ,বিকল্প গোট
ਬਦਲਵੀਂ ਮੈਟਰਿਕਸ,বিকল্প মেট্ৰিক্স
ਬਦਲਵੀਂ ਲੜੀ,বিকল্প শৃংখলা
ਵਿਕਲਪਕ ਅਨੁਮਾਨ,বিকল্প অনুমান
ਵਿਕਲਪਕ ਅਨੁਕੂਲਤਾ,বিকল্প optima
ਵਿਕਲਪਕ ਨਤੀਜਾ,বিকল্প ফলাফল
ਐਨਾਲਾਗ-ਟੂ-ਡਿਜੀਟਲ ਕਨਵਰਟਰ,এনালগ-টু-ডিজিটেল ৰূপান্তৰক
ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ,এনালগ কম্পিউটাৰ
ਵਿਸ਼ਲੇਸ਼ਣ,বিশ্লেষণ
ਸਹਿਪ੍ਰਸਤੀ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ,সহাৱস্থানৰ বিশ্লেষণ
ਗਣਨਾ ਡੇਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ,গণনা তথ্যৰ বিশ্লেষণ
ਵਿਭਿੰਨਤਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ,ভ্যাৰিয়েন্সৰ বিশ্লেষণ
ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਜਿਓਮੈਟਰੀ,বিশ্লেষণাত্মক জ্যামিতি
ਵਿਸ਼ਲੇਸ਼ਣ ਫੰਕਸ਼ਨ,বিশ্লেষণাত্মক কাৰ্য্য
ਕੋਣ,কোণ
ਸੰਪਰਕ ਦਾ ਕੋਣ,সংস্পৰ্শৰ কোণ
ਭਟਕਣ ਦਾ ਕੋਣ,বিচ্যুতিৰ কোণ
ਡਿਪਰੈਸ਼ਨ ਦਾ ਕੋਣ,বিষণ্ণতাৰ কোণ
ਭਟਕਣ ਦਾ ਕੋਣ,বিচ্যুতিৰ কোণ
ਵਿਭਿੰਨਤਾ ਦਾ ਕੋਣ,বিবৰ্তনৰ কোণ
ਉਚਾਈ ਦਾ ਕੋਣ,উচ্চতাৰ কোণ
ਘਟਨਾ ਦਾ ਕੋਣ,প্ৰাদুৰ্ভাৱৰ কোণ
ਪ੍ਰੋਜੈਕਸ਼ਨ ਦਾ ਕੋਣ,প্ৰক্ষেপণৰ কোণ
ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ,প্ৰতিফলনৰ কোণ
ਅਪਵਰਤਨ ਦਾ ਕੋਣ,বিবৰ্তনৰ কোণ
ਰੋਟੇਸ਼ਨ ਦਾ ਕੋਣ,ঘূৰ্ণনৰ কোণ
ਕੁੱਲ ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ,মুঠ প্ৰতিফলনৰ কোণ
ਕੋਣੀ ਪ੍ਰਵੇਗ,কৌণিক ত্বৰণ
ਕੋਣੀ ਗਤੀ,কৌণিক গতি
ਕੋਣੀ ਗਤੀ,কৌণিক গতি
ਕੋਣੀ ਵੇਗ,কৌণিক বেগ
ਐਨੁਲਸ,annulus
ਜਵਾਬ,উত্তৰ
ਵਿਰੋਧੀ ਡੈਰੀਵੇਟਿਵ,এন্টি – ডেৰাইভেটিভ
ਵਿਰੋਧੀ ਸਮਰੂਪ ਫੰਕਸ਼ਨ,এন্টিচিমেট্ৰিক ফাংচন
ਲਾਗੂ ਹੈ,প্ৰযোজ্য
ਐਪਲੀਕੇਸ਼ਨ,দৰ্খাস্ত
ਲਾਗੂ ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ,ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে
ਲਾਗੂ ਕੀਤੀ ਜਿਓਮੈਟਰੀ,প্ৰয়োগ কৰা জ্যামিতি
ਲਾਗੂ ਗਣਿਤ,প্ৰয়োগ কৰা গণিত
ਲਾਗੂ ਅੰਕੜੇ,প্ৰয়োগ কৰা পৰিসংখ্যা
ਲਗਭਗ,অনুমানিক
ਲਗਭਗ ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ,প্ৰায় অবিৰত ফলন
ਅੰਦਾਜ਼ਨ ਢੰਗ,আনুমানিক পদ্ধতি
ਅੰਦਾਜ਼ਨ ਹੱਲ,আনুমানিক সমাধান
ਲਗਭਗ ਸਮੱਸਿਆ,আনুমানিক সমস্যা
ਲਗਭਗ ਸੰਪਤੀ,আনুমানিক বৈশিষ্ট্য
ਯੋਗਤਾ ਟੈਸਟ ਬੈਟਰੀ,aptitude পৰীক্ষাৰ বেটাৰী
Argand ਚਿੱਤਰ,আৰ্গাণ্ড ডায়েগ্ৰাম
ਆਪਹੁਦਰੇ ਢੰਗ ਨਾਲ ਚੁਣਿਆ ਗਿਆ ਹੈ,ইচ্ছাকৃতভাৱে বাছি লোৱা
ਮਨਮਾਨੀ,স্বেচ্ছাচাৰী
ਆਪਹੁਦਰੇ ਸਥਿਰ,ইচ্ছাকৃত ধ্ৰুৱক
ਆਪਹੁਦਰੇ ਤੱਤ,ইচ্ছাকৃত উপাদান
ਮਨਮਾਨੀ ਬਿੰਦੂ,ইচ্ছাকৃত বিন্দু
ਆਰਕੀਮੀਡੀਅਨ ਕਾਨੂੰਨ,আৰ্কিমিডিয়ান আইন
ਆਰਕੀਮੀਡੀਜ਼ ਸਿਧਾਂਤ,আৰ্কিমিডিছ নীতি
ਚਾਪ ਦੀ ਲੰਬਾਈ,চাপৰ দৈৰ্ঘ্য
ਚੱਕਰ ਦਾ ਚਾਪ,বৃত্তৰ চাপ
ਚਾਪ ਸਾਇਨ ਵੰਡ,চাপ চাইন বিতৰণ
ਚਾਪ ਸਾਇਨ ਪਰਿਵਰਤਨ,চাপ চাইন ৰূপান্তৰ
ਖੇਤਰ,এলাকা
ਖੇਤਰੀ ਬਣਤਰ,এৰিয়াল টেক্সচাৰ
ਕੰਪਲੈਕਸ ਨੰਬਰ ਦੀ ਦਲੀਲ,জটিল সংখ্যাৰ যুক্তি
ਗਣਿਤ ਦਾ ਮਤਲਬ,গাণিতিক গড়
ਗਣਿਤ ਦੀ ਕਾਰਵਾਈ,গাণিতিক কাৰ্য্য
ਗਣਿਤ ਦੀ ਇਕਾਈ,গাণিতিক একক
ਪ੍ਰਬੰਧ,ব্যৱস্থা
ਐਰੇ,এৰে
ਨਕਲੀ ਸੈਟੇਲਾਈਟ,কৃত্ৰিম উপগ্ৰহ
ਨਕਲੀ ਵੇਰੀਏਬਲ,কৃত্ৰিম চলক
ਚੜ੍ਹਨਾ,আৰোহণ কৰা
ਵੱਧਦੇ ਹੋਏ,আৰোহী
ਤੀਬਰਤਾ ਦਾ ਵੱਧਦਾ ਕ੍ਰਮ,মাত্ৰাৰ আৰোহী ক্ৰম
ਚੜ੍ਹਦੀ ਲੜੀ,আৰোহী শৃংখলা
ਅਸੈਂਬਲਰ ਭਾਸ਼ਾ,এছেম্বলাৰ ভাষা
ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ,নিযুক্তিৰ সমস্যা
ਸਹਿਯੋਗੀ ਕਾਨੂੰਨ,সহযোগী আইন
ਆਪਰੇਟਰਾਂ ਦਾ ਸਹਿਯੋਗੀ ਕਾਨੂੰਨ,অপাৰেটৰৰ এছ&#39;চিয়েটিভ ল&#39;
ਸਹਿਯੋਗੀ ਕਾਰਵਾਈ,এছ&#39;চিয়েটিভ অপাৰেচন
ਸੰਗਤ,সহযোগিতা
ਮਤਲਬ ਮੰਨਿਆ,ধৰি লোৱা গড়
ਅਨੁਮਾਨਿਤ ਸੰਭਾਵਨਾ ਵੰਡ,ধাৰণা কৰা সম্ভাৱনা বিতৰণ
ਧਾਰਨਾ,ধাৰণা
ਜੋਤਿਸ਼,জ্যোতিষ
ਪੁਲਾੜ ਵਿਗਿਆਨੀ ਇੰਜੀਨੀਅਰ,মহাকাশ অভিযন্তা
ਖਗੋਲ ਵਿਗਿਆਨੀ,জ্যোতিৰ্বিজ্ঞানী
ਖਗੋਲੀ ਘੜੀ,জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী
ਖਗੋਲ ਵਿਗਿਆਨ,জ্যোতিৰ্বিজ্ঞান
ਅਸਮਿਤ ਵਕਰ,অসমতাপূৰ্ণ বক্ৰ
ਅਸਮਿਤੀ,বিষমতা
asymptote,asymptote
asymptotic,এছিম্পটটিক
asymptotically ਕੁਸ਼ਲ ਅਨੁਮਾਨਕ,asymptotically দক্ষ অনুমানক
asymptotically ਨਿਰਪੱਖ ਅਨੁਮਾਨਕ,asymptotically নিৰপেক্ষ অনুমানক
asymptotic ਵਿਵਹਾਰ,asymptotic আচৰণ
asymptotic ਵੰਡ ਫੰਕਸ਼ਨ,এছিম্পটটিক বিতৰণ ফলন
asymptotic ਵਿਸਥਾਰ,এছিম্পটটিক প্ৰসাৰণ
ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ,বায়ুমণ্ডলীয় চাপ
ਬੇਤਰਤੀਬੇ &#39;ਤੇ,যাদৃচ্ছিকভাৱে
ਵਿਸ਼ੇਸ਼ਤਾ,বৈশিষ্ট্য
ਗੁਣ ਨਮੂਨਾ ਪ੍ਰਕਿਰਿਆ,বৈশিষ্ট্যসমূহৰ নমুনা সংগ্ৰহ পদ্ধতি
ਵਧੀ ਹੋਈ ਮੈਟਰਿਕਸ,বৰ্ধিত মেট্ৰিক্স
ਸਵੈ-ਸੰਬੰਧ ਗੁਣਾਂਕ,স্ব-সম্বন্ধ সহগ
ਸਵੈ-ਸਬੰਧੀ ਫੰਕਸ਼ਨ,স্বয়ংসম্বন্ধ কাৰ্য্য
autocovariance,অটোকোভেৰিয়েন্স
ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਰ,স্বয়ংক্ৰিয় কম্পিউটাৰ
ਆਟੋਰਿਗਰੇਸ਼ਨ,অটোৰিগ্ৰেছন
ਸਹਾਇਕ ਸਮੀਕਰਨ,সহায়ক সমীকৰণ
ਔਸਤ ਨਮੂਨਾ ਨੰਬਰ ਵਕਰ (ASN ਕਰਵ),গড় নমুনা সংখ্যা বক্ৰ (ASN বক্ৰ)
axiom,axiom
ਸਵੈ-ਜੀਵਨੀ ਪਹੁੰਚ,স্বতন্ত্ৰীয় পদ্ধতি
ਸੰਭਾਵਨਾ ਦਾ axiom,সম্ভাৱনাৰ স্বতন্ত্ৰতা
ਧੁਰਾ,অক্ষ
abscissa ਦਾ ਧੁਰਾ,abscissa ৰ অক্ষ
ਧਰਤੀ ਦੀ ਧੁਰੀ,পৃথিৱীৰ অক্ষ
ਇਨਕਲਾਬ ਦੀ ਧੁਰੀ,বিপ্লৱৰ অক্ষ
ਰੋਟੇਸ਼ਨ ਦਾ ਧੁਰਾ,ঘূৰ্ণনৰ অক্ষ
ਸਪਿਨ ਦਾ ਧੁਰਾ,স্পিনৰ অক্ষ
ਵਾਪਸ-ਸਥਾਪਨਾ,বেক-বিকল্প
ਪਿਛਲਾ ਫਰਕ,পিছপৰা পাৰ্থক্য
ਬੈਕਵਰਡ-ਇੰਟਰਪੋਲੇਸ਼ਨ ਫਾਰਮੂਲਾ,বেকৱাৰ্ড-ইন্টাৰপলেচন সূত্ৰ
ਸੰਤੁਲਨ,ভাৰসাম্যতা বজাই ৰখা
ਸੰਤੁਲਿਤ ਡਿਜ਼ਾਈਨ,সুষম ডিজাইন
ਸੰਤੁਲਨ ਸ਼ੀਟ,বেলেন্স শ্বীট
ਬੈਲਿਸਟਿਕ ਮਿਜ਼ਾਈਲ,বেলিষ্টিক মিছাইল
ਬੈਲਿਸਟਿਕਸ,বেলিষ্টিকছ
ਪੱਟੀ,বাৰ
ਅਧਾਰ,ভেঁটি
ਅਧਾਰ ਕੋਣ,ভিত্তি কোণ
ਲਘੂਗਣਕ ਦਾ ਅਧਾਰ,লগাৰিদমৰ ভিত্তি
ਬੁਨਿਆਦੀ,প্ৰাথমিক
ਬੁਨਿਆਦੀ ਸੰਭਵ ਹੱਲ,মূল সম্ভৱপৰ সমাধান
ਬੁਨਿਆਦੀ ਹੱਲ,মূল সমাধান
ਬੁਨਿਆਦੀ ਵੇਰੀਏਬਲ,মূল চলক
ਆਧਾਰ,ভিত্তিত
ਆਧਾਰ ਤੱਤ,ভিত্তি উপাদান
ਆਧਾਰ ਮੈਟਰਿਕਸ,ভিত্তি মেট্ৰিক্স
ਇੱਕ ਵੈਕਟਰ ਸਪੇਸ ਦਾ ਅਧਾਰ,এটা ভেক্টৰ স্থানৰ ভিত্তি
ਸਬਸਪੇਸ ਦਾ ਆਧਾਰ,উপস্থানৰ ভিত্তি
ਬੇਸੀਅਨ ਅੰਦਾਜ਼ਾ,বেইছিয়ান অনুমান
ਬੇਸ ਦਾ ਕਾਨੂੰਨ,বেইছৰ নিয়ম
ਬੇਅਸ ਦਾ ਸਿਧਾਂਤ,বেইছৰ উপপাদ্য
ਬਰਨੌਲੀ ਵੰਡ,বাৰ্নৌলি বিতৰণ
ਬਰਨੌਲੀ ਨੰਬਰ,বাৰ্নৌলি নম্বৰ
ਬਰਨੌਲੀ ਪ੍ਰੋਬੇਬਿਲਟੀ ਫੰਕਸ਼ਨ,বাৰ্নৌলি সম্ভাৱনা ফলন
ਬਰਨੌਲੀ ਦਾ ਸਮੀਕਰਨ,বাৰ্নৌলিৰ সমীকৰণ
ਬੇਰੀ ਫੰਕਸ਼ਨ,বেৰী ফাংচন
ਵਧੀਆ ਫਿੱਟ,বেষ্ট ফিট
ਵਧੀਆ - ਫਿੱਟ ਲਾਈਨ,শ্ৰেষ্ঠ - ফিট লাইন
ਵਧੀਆ ਹੱਲ,উত্তম সমাধান
ਵਧੀਆ ਰਣਨੀਤੀਆਂ,শ্ৰেষ্ঠ কৌশলসমূহ
ਬੀਟਾ ਵੰਡ,বিটা বিতৰণ
ਪੱਖਪਾਤ,পক্ষপাত
ਪੱਖਪਾਤੀ ਅਨੁਮਾਨ,পক্ষপাতমূলক অনুমান
biharmonic ਸਮੀਕਰਨ,বিহাৰমনিক সমীকৰণ
ਦੋਭਾਗ,bijection
ਦੋ-ਪੱਖੀ ਨਕਸ਼ਾ,bijective মানচিত্ৰ
ਦੋ-ਪੱਖੀ ਮੈਪਿੰਗ,bijective মেপিং
ਦੋ-ਲੀਨੀਅਰ ਫਾਰਮ,দ্বিৰৈখিক ৰূপ
ਦੋ-ਲੀਨੀਅਰ ਫੰਕਸ਼ਨ,দ্বিৰৈখিক ফলন
ਦੋ-ਲੀਨੀਅਰ ਹਰਮੀਟੀਅਨ ਰੂਪ,দ্বিৰৈখিক হাৰ্মিটিয়ান ৰূপ
ਬਾਈਨਰੀ,বাইনাৰী
ਬਾਈਨਰੀ ਕੋਡ,বাইনাৰী ক&#39;ড
ਬਾਈਨਰੀ ਕੋਡਿਡ ਦਸ਼ਮਲਵ,বাইনাৰী ক&#39;ড কৰা দশমিক
ਬਾਈਨਰੀ ਕੋਡਿੰਗ,বাইনাৰী ক&#39;ডিং
ਬਾਈਨਰੀ ਕੰਪਿਊਟਰ,বাইনাৰী কম্পিউটাৰ
ਬਾਈਨਰੀ ਅੰਕ,বাইনাৰী অংক
ਬਾਈਨਰੀ ਕਾਰਵਾਈ,বাইনাৰী অপাৰেচন
ਬਾਈਨਰੀ ਸਿਸਟਮ,বাইনাৰী ব্যৱস্থা
ਬਾਈਨਰੀ ਵੇਰੀਏਬਲ,বাইনাৰী চলক
ਬਾਇਨੋਮੀਅਲ ਗੁਣਾਂਕ,দ্বিপদ সহগ
ਬਾਇਨੋਮੀਅਲ ਵੰਡ,দ্বিপদ বিতৰণ
ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ,দ্বিপদ সমীকৰণ
ਬਾਇਨੋਮੀਅਲ ਵਿਸਤਾਰ,দ্বিপদ সম্প্ৰসাৰণ
ਦੋਨੋਮੀ ਸਮੀਕਰਨ,দ্বিপদ অভিব্যক্তি
ਬਾਇਨੋਮੀਅਲ ਬੇਤਰਤੀਬ ਵੇਰੀਏਬਲ,দ্বিপদ ৰেণ্ডম চলক
ਬਾਇਨੋਮੀਅਲ ਥਿਊਰਮ,দ্বিপদ উপপাদ্য
ਦੋਭਾਗ,দ্বিখণ্ড
ਦੋਭਾਗ ਵਿਧੀ,দ্বিখণ্ডন পদ্ধতি
ਬਾਈਸੈਕਟਰ,দ্বিখণ্ড
biserial,biserial
ਬਿੱਟ,বিট
bivariate binomial distribution,দ্বিচলকীয় দ্বিপদ বিতৰণ
ਬਾਇਵਾਰੀਏਟ ਸਹਿ-ਸਬੰਧ ਗੁਣਾਂਕ,দ্বিচলকীয় সম্পৰ্ক সহগ
ਦੋ-ਪੱਖੀ ਵੰਡ,দ্বিচলকীয় বিতৰণ
ਬਾਇਵਰੀਏਟ ਸਧਾਰਣ ਵੰਡ,দ্বিচলকীয় স্বাভাৱিক বিতৰণ
bivector,বাইভেক্টৰ
ਬੋਲਟਜ਼ਮੈਨ ਸਮੀਕਰਨ,বোল্টজমেন সমীকৰণ
ਬੂਲੀਅਨ ਅਲਜਬਰਾ,বুলিয়ান বীজগণিত
ਬੋਸ - ਆਈਨਸਟਾਈਨ ਦੇ ਅੰਕੜੇ,Bose - আইনষ্টাইন পৰিসংখ্যা
ਸੀਮਾ ਸਥਿਤੀ,সীমাৰ অৱস্থা
ਸੀਮਾ ਪਰਤ,সীমা স্তৰ
ਸੀਮਾ ਰੇਖਾ,সীমাৰেখা
ਸੀਮਾ ਮੁੱਲ,সীমা মূল্য
ਸੀਮਾ ਮੁੱਲ ਸਮੱਸਿਆ,সীমা মূল্যৰ সমস্যা
ਸੀਮਾਬੱਧ ਫੰਕਸ਼ਨ,সীমাবদ্ধ ফলন
ਸੀਮਾਬੱਧ ਮੈਟ੍ਰਿਕਸ,সীমাবদ্ধ মেট্ৰিক্স
ਸੀਮਾਬੱਧ ਖੇਤਰ,সীমাবদ্ধ অঞ্চল
ਸੀਮਾਬੱਧ ਸੈੱਟ,সীমাবদ্ধ ছেট
ਬ੍ਰਾਊਨੀਅਨ ਮੋਸ਼ਨ,ব্ৰাউনিয়ান গতি
ਗਣਨਾ ਕਰੋ,গণনা কৰ
ਗਣਨਾ,গণনা কৰা
ਗਣਨਾ ਮਸ਼ੀਨ,গণনা কৰা মেচিন
ਗਣਨਾ,গণনা কৰা
ਗਣਨਾ ਵਿਧੀ,গণনামূলক পদ্ধতি
ਕੈਲਕੁਲੇਟਰ,কেলকুলেটৰ
ਕੈਲਕੂਲਸ,কেলকুলাছ
ਪਰਿਵਰਤਨ ਦਾ ਕੈਲਕੂਲਸ,তাৰতম্যৰ কেলকুলাছ
ਕੈਲੋਰੀ,কেলৰি
ਰੱਦ ਕਰਨ ਦਾ ਕਾਨੂੰਨ,বাতিল আইন
ਕੈਨੋਨੀਕਲ ਸਮੀਕਰਨ,কেননিক সমীকৰণ
ਕੈਨੋਨੀਕਲ ਰੂਪ,কেননিক ৰূপ
ਕੈਨੋਨੀਕਲ ਮੈਟ੍ਰਿਕਸ,কেননিক মেট্ৰিক্স
ਕੈਂਟਰ ਸੈੱਟ,কেন্টৰ ছেট
ਕੈਂਟਰ ਦਾ ਟਰਨਰੀ ਸੈੱਟ,কেণ্টৰৰ ত্ৰিমাত্ৰিক চেট
ਸਮਰੱਥਾ ਵਾਲੀ ਆਵਾਜਾਈ ਦੀ ਸਮੱਸਿਆ,ক্ষমতাসম্পন্ন পৰিবহণ সমস্যা
ਸਮਰੱਥਾ,ক্ষমতা
ਕੇਸ਼ਿਕਾ ਬਲ,কেপিলাৰী বল
ਮੁੱਖ ਨੰਬਰ,কাৰ্ডিনেল নম্বৰ
ਕਾਰਟੇਸੀਅਨ ਧੁਰੇ,কাৰ্টেছিয়ান অক্ষ
ਕਾਰਟੇਸੀਅਨ ਕੋਆਰਡੀਨੇਟਸ,কাৰ্টেছিয়ান স্থানাংক
ਕਾਰਟੇਸੀਅਨ ਉਤਪਾਦ,কাৰ্টেছিয়ান উৎপাদন
ਸੈੱਟਾਂ ਦਾ ਕਾਰਟੇਸ਼ੀਅਨ ਉਤਪਾਦ,গোটৰ কাৰ্টেছিয়ান উৎপাদক
ਮਾਮਲੇ &#39;ਦਾ ਅਧਿਐਨ,কেছ ষ্টডি
ਘਾਤਕ ਉਤਰਾਅ-ਚੜ੍ਹਾਅ,বিপৰ্যয়জনক উঠা-নমা
ਕੈਟੇਨਰੀ,কেটেনাৰী
ਕੌਚੀ ਵੰਡ,কাউচি বিতৰণ
ਕੌਚੀ ਫਾਰਮੂਲਾ,কাউচি সূত্ৰ
ਕੌਚੀ ਗੌਰਸਤ ਪ੍ਰਮੇਯ,কৌচি গৌৰছাট উপপাদ্য
